ID;Perioden;TotalRevenue_1;Taxes_2;SocialSecurityContributions_3;SalesOfGoodsAndServices_4;Other_5;TotalExpenditure_6;CompensationOfEmployees_7;UseOfGoodsAndServices_8;SocialBenefits_9;GrossFixedCapitalFormation_10;Other_11;BalanceOfTheGeneralGovernmentSector_12;GovernmentDebtEMU_13;FinalConsumptionOfGeneralGovernment_14;Revenue_15;Expenditure_16;BalanceOfTheGeneralGovernmentSector_17;TotalRevenue_18;Taxes_19;SocialSecurityContributions_20;SalesOfGoodsAndServices_21;Other_22;TotalExpenditure_23;CompensationOfEmployees_24;UseOfGoodsAndServices_25;SocialBenefits_26;GrossFixedCapitalFormation_27;Other_28;BalanceOfTheGeneralGovernmentSector_29;GovernmentDebtEMU_30;FinalConsumptionOfGeneralGovernment_31;TaxBurden_32;Revenue_33;Expenditure_34;BalanceOfTheGeneralGovernmentSector_35;FinalConsumptionVolumeChanges_36;LabourInput_37
36;2005 3rd quarter;54611;29398;15840;3733;5640;54619;11136;8190;22513;4998;7782;-8;270194.0;28924;59075.0;57858.0;1217.0;41.7;22.4;12.6;2.8;3.9;42.4;9.1;6.2;17.2;3.8;6.1;-0.7;50.1;22.4;35.0;43.0;42.1;0.9;2.4;
37;2005 4th quarter;64177;36440;16861;3992;6884;61532;13470;9194;22708;5599;10561;2645;268417.0;32152;59653.0;59785.0;-132.0;42.1;22.8;12.2;2.8;4.2;42.3;9.1;6.2;17.1;3.7;6.3;-0.3;49.2;22.3;35.0;42.8;42.9;-0.1;2.6;
38;2005;229470;124654;66547;15097;23172;230867;49463;33823;93051;20347;34183;-1397;268417.0;121722;;;;42.1;22.8;12.2;2.8;4.2;42.3;9.1;6.2;17.1;3.7;6.3;-0.3;49.2;22.3;35.0;;;;1.6;1035.0
39;2006 1st quarter;59436;30462;19797;3831;5346;59875;11331;8681;25751;5312;8800;-439;269487.0;32209;60623.0;61181.0;-558.0;42.5;23.0;12.4;2.8;4.3;42.6;9.0;6.2;17.4;3.8;6.3;-0.1;48.6;22.6;35.4;42.7;43.1;-0.4;9.9;
40;2006 2nd quarter;64322;33838;18900;4051;7533;64943;14042;8842;28726;5664;7669;-621;270310.0;35303;63030.0;61906.0;1124.0;43.1;23.1;12.7;2.8;4.5;42.8;8.9;6.2;17.7;3.8;6.2;0.3;48.0;22.8;35.8;43.8;43.0;0.8;9.3;
41;2006 3rd quarter;58244;29752;18365;3682;6445;59278;11357;8729;25588;5485;8119;-1034;267902.0;32268;63536.0;62888.0;648.0;43.1;22.9;13.0;2.7;4.6;43.1;8.8;6.2;18.0;3.9;6.2;0.1;47.0;23.1;35.8;43.7;43.2;0.4;8.5;
42;2006 4th quarter;68493;39095;18716;4103;6579;65180;13768;9788;26097;6283;9244;3313;259128.0;35712;63495.0;63492.0;3.0;43.2;23.0;13.1;2.7;4.5;43.0;8.7;6.2;18.3;3.9;5.8;0.2;44.7;23.4;36.1;42.9;42.9;0.0;9.7;
43;2006;250495;133147;75778;15667;25903;249276;50498;36040;106162;22744;33832;1219;259128.0;135492;;;;43.2;23.0;13.1;2.7;4.5;43.0;8.7;6.2;18.3;3.9;5.8;0.2;44.7;23.4;36.1;;;;9.3;1024.6
44;2007 1st quarter;63576;32060;20632;3994;6890;63025;11794;9176;26732;5635;9688;551;264356.0;33962;63978.0;64046.0;-68.0;43.3;22.9;13.0;2.7;4.7;42.9;8.7;6.2;18.2;3.9;5.9;0.4;45.0;23.3;36.0;42.4;42.5;0.0;3.1;
45;2007 2nd quarter;64735;35521;18876;4101;6237;67560;14613;9346;29628;5922;8051;-2825;269984.0;37183;64001.0;64510.0;-509.0;42.8;22.9;12.9;2.7;4.4;42.8;8.6;6.2;18.1;3.9;5.9;0.0;45.3;23.3;35.8;42.1;42.5;-0.3;2.5;
46;2007 3rd quarter;58902;31522;18142;3656;5582;61731;11827;9213;26332;5669;8690;-2829;267080.0;33999;64767.0;65498.0;-731.0;42.3;22.9;12.6;2.6;4.2;42.6;8.6;6.2;18.0;3.9;5.9;-0.3;44.2;23.3;35.5;42.0;42.5;-0.5;4.1;
47;2007 4th quarter;74435;42754;19422;4551;7708;68034;14327;10372;27193;6492;9650;6401;261567.0;37606;68753.0;66422.0;2331.0;42.7;23.1;12.6;2.7;4.3;42.5;8.6;6.2;17.9;3.9;5.9;0.2;42.7;23.3;35.7;43.9;42.4;1.5;2.7;
48;2007;261648;141857;77072;16302;26417;260350;52561;38107;109885;23718;36079;1298;261567.0;142750;;;;42.7;23.1;12.6;2.7;4.3;42.5;8.6;6.2;17.9;3.9;5.9;0.2;42.7;23.3;35.7;;;;3.1;1026.2
49;2008 1st quarter;69349;33189;23221;4133;8806;68232;12447;9950;28321;6525;10989;1117;270571.0;36324;69043.0;69159.0;-116.0;43.0;23.0;12.8;2.6;4.6;42.7;8.6;6.3;17.9;4.0;6.0;0.3;43.5;23.4;35.8;43.4;43.4;-0.1;3.0;
50;2008 2nd quarter;69563;37047;20718;4315;7483;72160;15407;10135;31253;6668;8697;-2597;273726.0;39674;69360.0;68958.0;402.0;43.3;23.0;13.0;2.6;4.7;43.0;8.6;6.3;18.0;4.0;6.0;0.3;43.5;23.5;35.9;43.5;43.3;0.3;3.0;
51;2008 3rd quarter;63447;33907;19426;3923;6191;65132;12473;9998;28217;5818;8626;-1685;279428.0;36355;69986.0;69015.0;971.0;43.6;23.1;13.0;2.7;4.8;43.1;8.6;6.4;18.1;4.0;6.0;0.5;44.0;23.6;36.1;43.6;43.0;0.6;3.9;
52;2008 4th quarter;77490;40203;22759;4590;9938;72895;15129;11231;28600;6435;11500;4595;349913.0;40297;71520.0;71242.0;278.0;43.8;22.6;13.5;2.7;5.1;43.6;8.7;6.5;18.2;4.0;6.2;0.2;54.7;23.9;36.1;44.7;44.5;0.2;3.3;
53;2008;279849;144346;86124;16961;32418;278419;55456;41314;116391;25446;39812;1430;349913.0;152650;;;;43.8;22.6;13.5;2.7;5.1;43.6;8.7;6.5;18.2;4.0;6.2;0.2;54.7;23.9;36.1;;;;3.3;1042.8
54;2009 1st quarter;67333;33058;22079;4204;7992;73151;13137;10657;30206;6568;12583;-5818;366025.0;38867;66477.0;74194.0;-7717.0;43.7;22.7;13.4;2.7;5.0;44.6;8.8;6.6;18.6;4.0;6.5;-0.9;57.6;24.4;36.1;42.7;47.6;-5.0;4.3;
55;2009 2nd quarter;64808;35666;17572;4123;7447;74825;16285;10843;33385;6796;7516;-10017;356597.0;42519;65142.0;71545.0;-6403.0;43.4;22.7;13.0;2.7;5.0;45.5;9.1;6.8;19.1;4.1;6.4;-2.1;56.7;25.1;35.7;42.5;46.7;-4.2;4.9;
56;2009 3rd quarter;60155;30770;19215;4036;6134;71877;13175;10710;30476;6512;11004;-11722;356201.0;38907;66121.0;75937.0;-9816.0;43.3;22.4;13.1;2.7;5.1;47.0;9.3;7.0;19.7;4.2;6.8;-3.7;57.2;25.8;35.5;42.9;49.2;-6.4;5.5;
57;2009 4th quarter;71646;38160;19973;4544;8969;77627;15982;12018;30965;6702;11960;-5981;350735.0;43062;66376.0;75895.0;-9519.0;42.7;22.3;12.8;2.7;4.9;48.2;9.5;7.2;20.2;4.3;7.0;-5.4;56.8;26.5;35.1;43.0;49.1;-6.2;4.0;
58;2009;263942;137654;78839;16907;30542;297480;58579;44228;125032;26578;43063;-33538;350735.0;163355;;;;42.7;22.3;12.8;2.7;4.9;48.2;9.5;7.2;20.2;4.3;7.0;-5.4;56.8;26.5;35.1;;;;4.7;1060.0
59;2010 1st quarter;67461;33681;21451;4231;8098;74203;13472;10560;31551;6299;12321;-6742;355227.0;39752;66321.0;75468.0;-9147.0;42.8;22.4;12.7;2.7;5.0;48.4;9.6;7.2;20.5;4.3;6.9;-5.6;57.6;26.6;35.1;42.8;48.7;-5.9;1.5;
60;2010 2nd quarter;69162;37493;20641;4252;6776;79460;16725;10780;35203;6882;9870;-10298;368239.0;43543;69561.0;75950.0;-6389.0;43.2;22.6;13.1;2.7;4.8;48.8;9.6;7.1;20.6;4.2;7.3;-5.6;59.3;26.6;35.6;44.1;48.2;-4.1;1.4;
61;2010 3rd quarter;60150;31249;19257;4188;5456;72451;13511;10648;31715;6291;10286;-12301;369988.0;39847;65980.0;76298.0;-10318.0;42.9;22.5;13.0;2.8;4.7;48.5;9.5;7.0;20.7;4.2;7.1;-5.6;59.1;26.6;35.5;41.5;48.0;-6.5;0.8;
62;2010 4th quarter;75812;40789;21383;4675;8965;77993;16408;11920;32081;6735;10849;-2181;374336.0;44090;70716.0;76374.0;-5658.0;43.2;22.7;13.1;2.7;4.6;48.2;9.5;7.0;20.7;4.1;6.9;-5.0;59.3;26.5;35.8;44.3;47.8;-3.5;0.4;
63;2010;272585;143212;82732;17346;29295;304107;60116;43908;130550;26207;43326;-31522;374336.0;167232;;;;43.2;22.7;13.1;2.7;4.6;48.2;9.5;7.0;20.7;4.1;6.9;-5.0;59.3;26.5;35.8;;;;1.0;1078.2
64;2011 1st quarter;70611;34481;23019;4246;8865;73938;13489;10120;32701;6633;10995;-3327;378082.0;39874;69061.0;75300.0;-6239.0;43.3;22.6;13.2;2.7;4.7;47.7;9.4;6.8;20.7;4.2;6.6;-4.4;59.4;26.3;35.9;43.1;47.0;-3.9;0.0;
65;2011 2nd quarter;67657;37564;19119;4265;6709;78905;16588;10556;36200;6644;8917;-11248;385890.0;43529;67963.0;75375.0;-7412.0;42.9;22.5;12.9;2.7;4.7;47.4;9.4;6.8;20.7;4.1;6.4;-4.5;60.3;26.2;35.5;42.4;47.0;-4.6;0.4;
66;2011 3rd quarter;63725;32582;20904;4242;5997;72066;13384;10370;32475;6234;9603;-8341;391329.0;39860;69749.0;75682.0;-5933.0;43.3;22.6;13.1;2.7;4.8;47.2;9.3;6.7;20.8;4.1;6.3;-3.9;61.0;26.1;35.8;43.2;46.9;-3.7;-0.5;
67;2011 4th quarter;72445;35225;25428;4782;7010;77101;16257;11758;32646;6203;10237;-4656;395731.0;43895;68179.0;75794.0;-7615.0;42.7;21.8;13.8;2.7;4.4;47.0;9.3;6.7;20.8;4.0;6.2;-4.3;61.6;26.0;35.5;42.4;47.1;-4.7;-0.9;
68;2011;274438;139852;88470;17535;28581;302010;59718;42804;134022;25714;39752;-27572;395731.0;167158;;;;42.7;21.8;13.8;2.7;4.4;47.0;9.3;6.7;20.8;4.0;6.2;-4.3;61.6;26.0;35.5;;;;-0.2;1049.5
69;2012 1st quarter;71400;33836;23557;4197;9810;74480;13423;10305;33480;5741;11531;-3080;401677.0;40487;69543.0;75753.0;-6210.0;42.8;21.6;13.8;2.7;4.6;47.0;9.3;6.7;20.9;3.9;6.3;-4.2;62.4;26.1;35.5;43.2;47.1;-3.9;-1.0;
70;2012 2nd quarter;69917;37464;20882;4294;7277;79495;16750;10484;37140;5927;9194;-9578;412021.0;44256;69799.0;75819.0;-6020.0;43.1;21.6;14.1;2.7;4.7;47.0;9.3;6.7;21.1;3.7;6.3;-4.0;63.9;26.1;35.7;43.2;46.9;-3.7;-1.6;
71;2012 3rd quarter;62397;31366;20895;4172;5964;72601;13487;10339;33291;6253;9231;-10204;418274.0;40405;68567.0;76213.0;-7646.0;42.9;21.4;14.1;2.7;4.7;47.2;9.3;6.7;21.2;3.7;6.2;-4.3;65.0;26.3;35.5;42.7;47.4;-4.8;-1.6;
72;2012 4th quarter;75087;32816;29510;4708;8053;77289;16453;11480;34206;6237;8913;-2202;427767.0;44727;70995.0;76332.0;-5337.0;43.2;21.0;14.7;2.7;4.8;47.1;9.3;6.6;21.4;3.7;6.0;-3.9;66.3;26.3;35.7;43.8;47.1;-3.3;-1.1;
73;2012;278801;135482;94844;17371;31104;303865;60113;42608;138117;24158;38869;-25064;427767.0;169875;;;;43.2;21.0;14.7;2.7;4.8;47.1;9.3;6.6;21.4;3.7;6.0;-3.9;66.3;26.3;35.7;;;;-1.3;1029.0
74;2013 1st quarter;74325;34584;24515;4121;11105;71934;13618;10180;34356;5685;8095;2391;430863.0;41321;72170.0;72959.0;-789.0;43.6;21.1;14.8;2.7;5.0;46.6;9.3;6.6;21.5;3.7;5.5;-3.0;66.7;26.4;35.9;44.3;44.8;-0.5;0.4;
75;2013 2nd quarter;72321;37997;22349;4162;7813;79713;16806;10291;38126;6042;8448;-7392;442671.0;44407;71982.0;75910.0;-3928.0;43.9;21.1;15.0;2.7;5.1;46.6;9.3;6.5;21.6;3.7;5.4;-2.7;68.4;26.4;36.1;44.3;46.7;-2.4;0.1;
76;2013 3rd quarter;65312;33057;22324;4105;5826;73490;13563;10280;34404;6103;9140;-8178;441933.0;40576;71822.0;77243.0;-5421.0;44.1;21.3;15.2;2.6;5.0;46.5;9.3;6.5;21.7;3.7;5.3;-2.4;68.0;26.3;36.5;44.0;47.4;-3.3;-0.2;
77;2013 4th quarter;74581;33469;28184;4642;8286;76899;16206;11094;34987;5927;8685;-2318;442543.0;43954;70748.0;76217.0;-5469.0;43.9;21.3;14.9;2.6;5.1;46.3;9.2;6.4;21.7;3.6;5.3;-2.4;67.8;26.1;36.2;43.1;46.4;-3.3;-0.7;
78;2013;286539;139107;97372;17030;33030;302036;60193;41845;141873;23757;34368;-15497;442543.0;170258;;;;43.9;21.3;14.9;2.6;5.1;46.3;9.2;6.4;21.7;3.6;5.3;-2.4;67.8;26.1;36.2;;;;-0.1;1012.7
79;2014 1st quarter;73735;36577;24581;4120;8457;75788;13570;10347;34885;5717;11269;-2053;440732.0;41603;71605.0;76565.0;-4960.0;43.7;21.6;14.9;2.6;4.6;46.8;9.2;6.4;21.8;3.6;5.7;-3.0;67.4;26.1;36.5;43.5;46.5;-3.0;0.3;
80;2014 2nd quarter;73644;41255;21423;4144;6822;80765;16766;10541;38758;5979;8721;-7121;451195.0;44700;73029.0;76801.0;-3772.0;43.8;22.0;14.7;2.6;4.5;46.8;9.2;6.4;21.8;3.6;5.8;-3.0;68.8;26.0;36.7;44.4;46.7;-2.3;0.5;
81;2014 3rd quarter;66283;34952;21905;4245;5181;72476;13576;10702;34330;5907;7961;-6193;449463.0;41148;72968.0;76302.0;-3334.0;43.7;22.2;14.6;2.6;4.4;46.4;9.1;6.5;21.7;3.6;5.6;-2.7;68.2;26.0;36.8;44.0;46.0;-2.0;0.7;
82;2014 4th quarter;77514;34974;30707;4787;7046;77175;16511;11316;34916;5695;8737;339;450615.0;44535;73601.0;76670.0;-3069.0;43.9;22.3;14.9;2.6;4.1;46.2;9.1;6.5;21.6;3.5;5.5;-2.3;68.0;25.9;37.2;43.8;45.6;-1.8;-0.4;
83;2014;291176;147758;98616;17296;27506;306204;60423;42906;142889;23298;36688;-15028;450615.0;171986;;;;43.9;22.3;14.9;2.6;4.1;46.2;9.1;6.5;21.6;3.5;5.5;-2.3;68.0;25.9;37.2;;;;0.3;1005.8
84;2015 1st quarter;75161;39832;24351;4145;6833;76228;13313;10161;35581;5858;11315;-1067;459759.0;41399;73004.0;76794.0;-3790.0;43.9;22.7;14.8;2.6;3.9;46.0;9.0;6.4;21.5;3.5;5.5;-2.1;69.0;25.8;37.4;43.3;45.6;-2.2;0.1;
85;2015 2nd quarter;72655;44165;18446;4148;5896;80484;16469;10274;39296;6509;7936;-7829;448634.0;44525;72113.0;76558.0;-4445.0;43.4;22.9;14.2;2.6;3.7;45.5;8.9;6.3;21.4;3.6;5.3;-2.2;66.7;25.5;37.1;42.3;44.9;-2.6;-0.5;
86;2015 3rd quarter;66446;35076;22336;4204;4830;72556;13589;10358;35128;6147;7334;-6110;446603.0;41350;72828.0;76341.0;-3513.0;43.0;22.7;14.1;2.5;3.6;45.1;8.8;6.2;21.3;3.6;5.2;-2.2;65.8;25.3;36.8;42.3;44.3;-2.0;0.0;
87;2015 4th quarter;78478;37227;31293;4951;5007;77491;16280;11195;34957;5996;9063;987;441401.0;44403;74729.0;77174.0;-2445.0;42.8;22.9;14.1;2.6;3.3;44.9;8.7;6.1;21.2;3.6;5.2;-2.1;64.6;25.1;37.0;43.4;44.8;-1.4;-0.4;
88;2015;292740;156300;96426;17448;22566;306759;59651;41988;144962;24510;35648;-14019;441401.0;171677;;;;42.8;22.9;14.1;2.6;3.3;44.9;8.7;6.1;21.2;3.6;5.2;-2.1;64.6;25.1;37.0;;;;-0.2;970.9
89;2016 1st quarter;76949;42068;25695;4243;4943;76442;13575;9829;35956;5795;11287;507;442068.0;41525;74793.0;76830.0;-2037.0;42.8;23.0;14.2;2.6;3.0;44.6;8.7;6.1;21.1;3.6;5.2;-1.8;64.3;25.0;37.3;43.2;44.4;-1.2;0.8;
90;2016 2nd quarter;78467;44822;23730;4149;5766;80543;16757;10100;40352;6333;7001;-2076;437712.0;45222;77879.0;76732.0;1147.0;43.4;23.0;14.9;2.5;3.0;44.3;8.7;6.0;21.1;3.5;5.0;-1.0;63.2;24.9;37.9;44.6;44.0;0.7;1.3;
