ID;Afzet;Producten;Perioden;Prijsindexcijfers_1;MaandOpMaandOntwikkeling_2;JaarOpJaarOntwikkeling_3
170;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999 februari;99.0;-0.27;-5.31
171;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999 maart;100.0;0.77;-4.28
172;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999 april;100.0;0.52;-3.3
173;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999 mei;100.0;0.18;-2.66
174;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999 juni;101.0;0.54;-1.64
175;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999 juli;102.0;1.53;0.33
176;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999 augustus;103.0;0.66;1.62
177;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999 september;104.0;0.94;2.9
178;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999 oktober;105.0;0.97;4.84
179;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999 november;106.0;1.14;6.3
180;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999 december;107.0;1.03;7.94
181;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;1999;102.0;;0.04
182;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000 januari;109.0;1.38;9.81
183;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000 februari;110.0;1.42;11.67
184;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000 maart;112.0;1.2;12.14
185;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000 april;112.0;0.44;12.05
186;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000 mei;114.0;1.74;13.8
187;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000 juni;115.0;0.69;13.97
188;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000 juli;116.0;0.71;13.04
189;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000 augustus;117.0;0.84;13.24
190;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000 september;119.0;2.01;14.43
191;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000 oktober;120.0;1.01;14.48
192;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000 november;120.0;0.02;13.22
193;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000 december;118.0;-1.76;10.09
194;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2000;115.0;;12.67
195;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001 januari;119.0;0.2;8.8
196;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001 februari;120.0;1.07;8.42
197;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001 maart;120.0;-0.18;6.94
198;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001 april;120.0;0.38;6.87
199;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001 mei;121.0;0.95;6.04
200;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001 juni;120.0;-0.68;4.6
201;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001 juli;118.0;-1.97;1.82
202;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001 augustus;117.0;-0.62;0.35
203;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001 september;118.0;0.37;-1.27
204;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001 oktober;116.0;-1.56;-3.78
205;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001 november;115.0;-0.74;-4.51
206;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001 december;114.0;-0.76;-3.53
207;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2001;118.0;;2.41
208;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002 januari;115.0;0.5;-3.24
209;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002 februari;115.0;0.19;-4.08
210;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002 maart;116.0;0.73;-3.2
211;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002 april;117.0;1.24;-2.37
212;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002 mei;117.0;-0.51;-3.79
213;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002 juni;116.0;-0.71;-3.82
214;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002 juli;117.0;1.14;-0.77
215;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002 augustus;118.0;0.82;0.67
216;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002 september;120.0;1.41;1.71
217;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002 oktober;120.0;0.43;3.76
218;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002 november;119.0;-1.11;3.38
219;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002 december;120.0;1.32;5.54
220;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2002;117.0;;-0.57
221;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003 januari;122.0;1.36;6.44
222;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003 februari;124.0;1.44;7.76
223;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003 maart;123.0;-0.67;6.26
224;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003 april;121.0;-1.91;2.95
225;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003 mei;119.0;-1.26;2.18
226;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003 juni;119.0;-0.18;2.73
227;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003 juli;118.0;-0.64;0.92
228;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003 augustus;119.0;1.09;1.19
229;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003 september;120.0;0.42;0.2
230;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003 oktober;120.0;0.16;-0.07
231;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003 november;121.0;0.48;1.54
232;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003 december;120.0;-0.74;-0.52
233;Totale Nederlandse afzet;CD Delfstoffen en industriële producten;2003;120.0;;2.59
234;Totale Nederlandse afzet;C Delfstoffen;1995 januari;98.0;0.0;0.0
235;Totale Nederlandse afzet;C Delfstoffen;1995 februari;99.0;0.89;0.0
236;Totale Nederlandse afzet;C Delfstoffen;1995 maart;98.0;-0.63;0.0
237;Totale Nederlandse afzet;C Delfstoffen;1995 april;101.0;2.85;0.0
238;Totale Nederlandse afzet;C Delfstoffen;1995 mei;100.0;-1.23;0.0
239;Totale Nederlandse afzet;C Delfstoffen;1995 juni;100.0;-0.16;0.0
240;Totale Nederlandse afzet;C Delfstoffen;1995 juli;105.0;5.03;0.0
241;Totale Nederlandse afzet;C Delfstoffen;1995 augustus;103.0;-2.21;0.0
242;Totale Nederlandse afzet;C Delfstoffen;1995 september;100.0;-2.77;0.0
243;Totale Nederlandse afzet;C Delfstoffen;1995 oktober;94.0;-5.66;0.0
244;Totale Nederlandse afzet;C Delfstoffen;1995 november;94.0;0.16;0.0
245;Totale Nederlandse afzet;C Delfstoffen;1995 december;94.0;-0.55;0.0
246;Totale Nederlandse afzet;C Delfstoffen;1995;99.0;;0.0
247;Totale Nederlandse afzet;C Delfstoffen;1996 januari;96.0;2.12;-2.56
248;Totale Nederlandse afzet;C Delfstoffen;1996 februari;96.0;0.16;-3.26
249;Totale Nederlandse afzet;C Delfstoffen;1996 maart;97.0;1.11;-1.57
250;Totale Nederlandse afzet;C Delfstoffen;1996 april;102.0;5.02;0.51
251;Totale Nederlandse afzet;C Delfstoffen;1996 mei;102.0;0.37;2.14
252;Totale Nederlandse afzet;C Delfstoffen;1996 juni;104.0;1.34;3.67
253;Totale Nederlandse afzet;C Delfstoffen;1996 juli;107.0;3.63;2.28
254;Totale Nederlandse afzet;C Delfstoffen;1996 augustus;109.0;1.97;6.65
255;Totale Nederlandse afzet;C Delfstoffen;1996 september;109.0;-0.11;9.57
256;Totale Nederlandse afzet;C Delfstoffen;1996 oktober;108.0;-1.61;14.28
257;Totale Nederlandse afzet;C Delfstoffen;1996 november;108.0;0.63;14.82
258;Totale Nederlandse afzet;C Delfstoffen;1996 december;109.0;0.91;16.51
259;Totale Nederlandse afzet;C Delfstoffen;1996;104.0;;5.11
260;Totale Nederlandse afzet;C Delfstoffen;1997 januari;114.0;4.1;18.76
261;Totale Nederlandse afzet;C Delfstoffen;1997 februari;114.0;0.59;19.28
262;Totale Nederlandse afzet;C Delfstoffen;1997 maart;114.0;0.1;18.08
263;Totale Nederlandse afzet;C Delfstoffen;1997 april;117.0;1.91;14.59
264;Totale Nederlandse afzet;C Delfstoffen;1997 mei;117.0;0.28;14.49
265;Totale Nederlandse afzet;C Delfstoffen;1997 juni;116.0;-0.48;12.43
266;Totale Nederlandse afzet;C Delfstoffen;1997juli;113.0;-2.74;5.52
267;Totale Nederlandse afzet;C Delfstoffen;1997 augustus;113.0;-0.54;2.93
268;Totale Nederlandse afzet;C Delfstoffen;1997 september;112.0;-0.73;2.28
269;Totale Nederlandse afzet;C Delfstoffen;1997 oktober;111.0;-0.25;3.7
270;Totale Nederlandse afzet;C Delfstoffen;1997 november;111.0;-0.5;2.54
271;Totale Nederlandse afzet;C Delfstoffen;1997 december;111.0;-0.26;1.35
272;Totale Nederlandse afzet;C Delfstoffen;1997;114.0;;9.33
273;Totale Nederlandse afzet;C Delfstoffen;1998 januari;113.0;2.39;-0.32
274;Totale Nederlandse afzet;C Delfstoffen;1998 februari;113.0;-0.06;-0.97
275;Totale Nederlandse afzet;C Delfstoffen;1998 maart;113.0;-0.29;-1.35
276;Totale Nederlandse afzet;C Delfstoffen;1998 april;109.0;-3.0;-6.1
277;Totale Nederlandse afzet;C Delfstoffen;1998 mei;109.0;-0.08;-6.44
278;Totale Nederlandse afzet;C Delfstoffen;1998 juni;107.0;-1.81;-7.68
279;Totale Nederlandse afzet;C Delfstoffen;1998 juli;102.0;-5.43;-10.24
280;Totale Nederlandse afzet;C Delfstoffen;1998 augustus;100.0;-1.48;-11.09
281;Totale Nederlandse afzet;C Delfstoffen;1998 september;98.0;-1.84;-12.08
282;Totale Nederlandse afzet;C Delfstoffen;1998 oktober;94.0;-3.97;-15.36
283;Totale Nederlandse afzet;C Delfstoffen;1998 november;93.0;-1.18;-15.95
284;Totale Nederlandse afzet;C Delfstoffen;1998 december;92.0;-1.12;-16.67
285;Totale Nederlandse afzet;C Delfstoffen;1998;104.0;;-8.62
286;Totale Nederlandse afzet;C Delfstoffen;1999 januari;89.0;-3.58;-21.53
287;Totale Nederlandse afzet;C Delfstoffen;1999 februari;89.0;0.11;-21.39
288;Totale Nederlandse afzet;C Delfstoffen;1999 maart;88.0;-0.77;-21.77
289;Totale Nederlandse afzet;C Delfstoffen;1999 april;88.0;-0.23;-19.54
290;Totale Nederlandse afzet;C Delfstoffen;1999 mei;88.0;0.21;-19.31
291;Totale Nederlandse afzet;C Delfstoffen;1999 juni;89.0;0.79;-17.17
292;Totale Nederlandse afzet;C Delfstoffen;1999 juli;93.0;4.56;-8.42
293;Totale Nederlandse afzet;C Delfstoffen;1999 augustus;94.0;1.48;-5.67
294;Totale Nederlandse afzet;C Delfstoffen;1999 september;96.0;1.93;-2.04
295;Totale Nederlandse afzet;C Delfstoffen;1999 oktober;107.0;11.68;13.93
296;Totale Nederlandse afzet;C Delfstoffen;1999 november;110.0;2.68;18.38
297;Totale Nederlandse afzet;C Delfstoffen;1999 december;113.0;2.81;23.08
298;Totale Nederlandse afzet;C Delfstoffen;1999;96.0;;-7.94
299;Totale Nederlandse afzet;C Delfstoffen;2000 januari;126.0;11.09;41.81
300;Totale Nederlandse afzet;C Delfstoffen;2000 februari;130.0;2.99;45.89
301;Totale Nederlandse afzet;C Delfstoffen;2000 maart;133.0;2.34;50.46
302;Totale Nederlandse afzet;C Delfstoffen;2000 april;141.0;6.18;60.13
303;Totale Nederlandse afzet;C Delfstoffen;2000 mei;145.0;2.64;64.01
304;Totale Nederlandse afzet;C Delfstoffen;2000 juni;149.0;2.76;67.22
305;Totale Nederlandse afzet;C Delfstoffen;2000 juli;157.0;5.68;69.0
306;Totale Nederlandse afzet;C Delfstoffen;2000 augustus;161.0;2.54;70.77
