ID;PlantProtectionProducts;Periods;SalesActiveIngredient_1;SalesActiveIngredientIndexnumber_2
51;I Insecticides and acaricides;2019;1971.0;104.0
52;I Insecticides and acaricides;2020;2415.0;127.0
53;I Insecticides and acaricides;2021;2655.0;140.0
54;I Insecticides and acaricides;2022;2263.0;119.0
55;I Insecticides and acaricides;2023;1660.0;87.0
56;M Molluscicides;2010;16.0;81.0
57;M Molluscicides;2011;20.0;100.0
58;M Molluscicides;2012;27.0;133.0
59;M Molluscicides;2013;23.0;113.0
60;M Molluscicides;2014;27.0;136.0
61;M Molluscicides;2015;20.0;98.0
62;M Molluscicides;2016;20.0;99.0
63;M Molluscicides;2017;30.0;147.0
64;M Molluscicides;2018;11.0;54.0
65;M Molluscicides;2019;14.0;68.0
66;M Molluscicides;2020;16.0;80.0
67;M Molluscicides;2021;31.0;155.0
68;M Molluscicides;2022;19.0;92.0
69;M Molluscicides;2023;14.0;71.0
70;PGR Plant growth regulators;2010;212.0;103.0
71;PGR Plant growth regulators;2011;206.0;100.0
72;PGR Plant growth regulators;2012;304.0;147.0
73;PGR Plant growth regulators;2013;352.0;171.0
74;PGR Plant growth regulators;2014;452.0;219.0
75;PGR Plant growth regulators;2015;426.0;206.0
76;PGR Plant growth regulators;2016;459.0;222.0
77;PGR Plant growth regulators;2017;386.0;187.0
78;PGR Plant growth regulators;2018;386.0;187.0
79;PGR Plant growth regulators;2019;528.0;256.0
80;PGR Plant growth regulators;2020;560.0;272.0
81;PGR Plant growth regulators;2021;559.0;271.0
82;PGR Plant growth regulators;2022;718.0;348.0
83;PGR Plant growth regulators;2023;695.0;337.0
84;ZR Other plant protection products;2010;1335.0;87.0
85;ZR Other plant protection products;2011;1532.0;100.0
86;ZR Other plant protection products;2012;1433.0;94.0
87;ZR Other plant protection products;2013;1582.0;103.0
88;ZR Other plant protection products;2014;281.0;18.0
89;ZR Other plant protection products;2015;58.0;4.0
90;ZR Other plant protection products;2016;82.0;5.0
91;ZR Other plant protection products;2017;53.0;3.0
92;ZR Other plant protection products;2018;127.0;8.0
93;ZR Other plant protection products;2019;96.0;6.0
94;ZR Other plant protection products;2020;270.0;18.0
95;ZR Other plant protection products;2021;262.0;17.0
96;ZR Other plant protection products;2022;316.0;21.0
97;ZR Other plant protection products;2023;241.0;16.0
98;F01 Inorganic fungicides;2010;127.0;97.0
99;F01 Inorganic fungicides;2011;131.0;100.0
100;F01 Inorganic fungicides;2012;132.0;101.0
101;F01 Inorganic fungicides;2013;107.0;82.0
102;F01 Inorganic fungicides;2014;148.0;114.0
103;F01 Inorganic fungicides;2015;146.0;112.0
104;F01 Inorganic fungicides;2016;151.0;115.0
105;F01 Inorganic fungicides;2017;148.0;113.0
106;F01 Inorganic fungicides;2018;148.0;113.0
107;F01 Inorganic fungicides;2019;96.0;74.0
108;F01 Inorganic fungicides;2020;143.0;110.0
109;F01 Inorganic fungicides;2021;164.0;126.0
110;F01 Inorganic fungicides;2022;249.0;191.0
111;F01 Inorganic fungicides;2023;196.0;150.0
112;F02 Fung. carbamates , dithiocarbamates;2010;1951.0;83.0
113;F02 Fung. carbamates , dithiocarbamates;2011;2352.0;100.0
114;F02 Fung. carbamates , dithiocarbamates;2012;2378.0;101.0
115;F02 Fung. carbamates , dithiocarbamates;2013;2263.0;96.0
116;F02 Fung. carbamates , dithiocarbamates;2014;2597.0;110.0
117;F02 Fung. carbamates , dithiocarbamates;2015;2458.0;105.0
118;F02 Fung. carbamates , dithiocarbamates;2016;2894.0;123.0
