ID;Smeermiddelen;Perioden;TotaalMineraleEnSynthSmeermiddelen_1;MineraleSmeermidddelen_2;SynthetischeSmeermiddelen_3
47;Motoroliën;2002 2e halfjaar;34155;29646;4509
48;Motoroliën;2002;72140;62556;9584
49;Motoroliën;2003 1e kwartaal;15554;13477;2077
50;Motoroliën;2003 2e kwartaal;19262;16253;3009
51;Motoroliën;2003 1e halfjaar;34816;29730;5086
52;Motoroliën;2003 3e kwartaal;14424;12058;2366
53;Motoroliën;2003 4e kwartaal;19262;16253;3009
54;Motoroliën;2003 2e halfjaar;34403;28635;5768
55;Motoroliën;2003;69219;58365;10854
56;Tandwieloliën en overbrengingsoliën;2000 1e kwartaal;6262;6073;189
57;Tandwieloliën en overbrengingsoliën;2000 2e kwartaal;5643;5513;130
58;Tandwieloliën en overbrengingsoliën;2000 1e halfjaar;11905;11586;319
59;Tandwieloliën en overbrengingsoliën;2000 3e kwartaal;5470;5336;134
60;Tandwieloliën en overbrengingsoliën;2000 4e kwartaal;6278;6132;146
61;Tandwieloliën en overbrengingsoliën;2000 2e halfjaar;12366;12086;280
62;Tandwieloliën en overbrengingsoliën;2000;24271;23672;599
63;Tandwieloliën en overbrengingsoliën;2001 1e kwartaal;7141;6951;190
64;Tandwieloliën en overbrengingsoliën;2001 2e kwartaal;7318;7160;158
65;Tandwieloliën en overbrengingsoliën;2001 1e halfjaar;14459;14111;348
66;Tandwieloliën en overbrengingsoliën;2001 3e kwartaal;6462;6317;145
67;Tandwieloliën en overbrengingsoliën;2001 4e kwartaal;6970;6778;192
68;Tandwieloliën en overbrengingsoliën;2001 2e halfjaar;13432;13095;337
69;Tandwieloliën en overbrengingsoliën;2001;27891;27206;685
70;Tandwieloliën en overbrengingsoliën;2002 1e kwartaal;7183;6970;213
71;Tandwieloliën en overbrengingsoliën;2002 2e kwartaal;7620;7390;230
72;Tandwieloliën en overbrengingsoliën;2002 1e halfjaar;14803;14360;443
73;Tandwieloliën en overbrengingsoliën;2002 3e kwartaal;7349;7151;198
74;Tandwieloliën en overbrengingsoliën;2002 4e kwartaal;6111;5893;218
75;Tandwieloliën en overbrengingsoliën;2002 2e halfjaar;13460;13044;416
76;Tandwieloliën en overbrengingsoliën;2002;28264;27404;860
77;Tandwieloliën en overbrengingsoliën;2003 1e kwartaal;5734;5527;207
78;Tandwieloliën en overbrengingsoliën;2003 2e kwartaal;7583;7374;209
79;Tandwieloliën en overbrengingsoliën;2003 1e halfjaar;13317;12901;416
80;Tandwieloliën en overbrengingsoliën;2003 3e kwartaal;5323;5097;226
81;Tandwieloliën en overbrengingsoliën;2003 4e kwartaal;7583;7374;209
82;Tandwieloliën en overbrengingsoliën;2003 2e halfjaar;12763;12269;494
83;Tandwieloliën en overbrengingsoliën;2003;26080;25170;910
84;Vetten;2000 1e kwartaal;1205;1194;11
85;Vetten;2000 2e kwartaal;1403;1383;20
86;Vetten;2000 1e halfjaar;2608;2577;31
87;Vetten;2000 3e kwartaal;1136;1127;9
88;Vetten;2000 4e kwartaal;1323;1313;10
89;Vetten;2000 2e halfjaar;2459;2440;19
90;Vetten;2000;5067;5017;50
91;Vetten;2001 1e kwartaal;1181;1169;12
92;Vetten;2001 2e kwartaal;1163;1159;4
93;Vetten;2001 1e halfjaar;2344;2328;16
94;Vetten;2001 3e kwartaal;1196;1179;17
95;Vetten;2001 4e kwartaal;1238;1219;19
96;Vetten;2001 2e halfjaar;2434;2398;36
97;Vetten;2001;4778;4726;52
98;Vetten;2002 1e kwartaal;1242;1213;29
99;Vetten;2002 2e kwartaal;1280;1247;33
100;Vetten;2002 1e halfjaar;2522;2460;62
101;Vetten;2002 3e kwartaal;1145;1118;27
102;Vetten;2002 4e kwartaal;903;885;18
103;Vetten;2002 2e halfjaar;2048;2003;45
104;Vetten;2002;4570;4463;107
105;Vetten;2003 1e kwartaal;908;878;30
106;Vetten;2003 2e kwartaal;1236;1207;29
107;Vetten;2003 1e halfjaar;2144;2085;59
108;Vetten;2003 3e kwartaal;1034;1012;22
109;Vetten;2003 4e kwartaal;1236;1207;29
110;Vetten;2003 2e halfjaar;2304;2260;44
111;Vetten;2003;4448;4345;103
112;Metaalbewerkingsoliën;2000 1e kwartaal;684;552;132
113;Metaalbewerkingsoliën;2000 2e kwartaal;620;505;115
114;Metaalbewerkingsoliën;2000 1e halfjaar;1304;1057;247
115;Metaalbewerkingsoliën;2000 3e kwartaal;705;586;119
116;Metaalbewerkingsoliën;2000 4e kwartaal;758;636;122
117;Metaalbewerkingsoliën;2000 2e halfjaar;1529;1288;241
118;Metaalbewerkingsoliën;2000;2833;2345;488
119;Metaalbewerkingsoliën;2001 1e kwartaal;753;617;136
120;Metaalbewerkingsoliën;2001 2e kwartaal;783;648;135
121;Metaalbewerkingsoliën;2001 1e halfjaar;1536;1265;271
122;Metaalbewerkingsoliën;2001 3e kwartaal;691;580;111
123;Metaalbewerkingsoliën;2001 4e kwartaal;803;750;53
124;Metaalbewerkingsoliën;2001 2e halfjaar;1494;1330;164
125;Metaalbewerkingsoliën;2001;3030;2595;435
126;Metaalbewerkingsoliën;2002 1e kwartaal;947;828;119
127;Metaalbewerkingsoliën;2002 2e kwartaal;985;847;138
128;Metaalbewerkingsoliën;2002 1e halfjaar;1932;1675;257
129;Metaalbewerkingsoliën;2002 3e kwartaal;746;616;130
130;Metaalbewerkingsoliën;2002 4e kwartaal;601;439;162
131;Metaalbewerkingsoliën;2002 2e halfjaar;1347;1055;292
132;Metaalbewerkingsoliën;2002;3279;2730;549
133;Metaalbewerkingsoliën;2003 1e kwartaal;539;408;131
134;Metaalbewerkingsoliën;2003 2e kwartaal;713;568;145
135;Metaalbewerkingsoliën;2003 1e halfjaar;1252;976;276
136;Metaalbewerkingsoliën;2003 3e kwartaal;670;410;260
137;Metaalbewerkingsoliën;2003 4e kwartaal;713;568;145
138;Metaalbewerkingsoliën;2003 2e halfjaar;1502;1022;480
139;Metaalbewerkingsoliën;2003;2754;1998;756
140;Bijzondere smeeroliën;2000 1e kwartaal;663;593;70
141;Bijzondere smeeroliën;2000 2e kwartaal;810;771;39
142;Bijzondere smeeroliën;2000 1e halfjaar;1473;1364;109
143;Bijzondere smeeroliën;2000 3e kwartaal;1004;942;62
144;Bijzondere smeeroliën;2000 4e kwartaal;854;735;119
145;Bijzondere smeeroliën;2000 2e halfjaar;1932;1751;181
146;Bijzondere smeeroliën;2000;3405;3115;290
147;Bijzondere smeeroliën;2001 1e kwartaal;408;363;45
148;Bijzondere smeeroliën;2001 2e kwartaal;1112;1074;38
149;Bijzondere smeeroliën;2001 1e halfjaar;1520;1437;83
150;Bijzondere smeeroliën;2001 3e kwartaal;437;376;61
151;Bijzondere smeeroliën;2001 4e kwartaal;767;647;120
152;Bijzondere smeeroliën;2001 2e halfjaar;1204;1023;181
153;Bijzondere smeeroliën;2001;2724;2460;264
154;Bijzondere smeeroliën;2002 1e kwartaal;920;882;38
155;Bijzondere smeeroliën;2002 2e kwartaal;898;875;23
156;Bijzondere smeeroliën;2002 1e halfjaar;1818;1757;61
157;Bijzondere smeeroliën;2002 3e kwartaal;911;891;20
158;Bijzondere smeeroliën;2002 4e kwartaal;669;640;29
159;Bijzondere smeeroliën;2002 2e halfjaar;1580;1531;49
160;Bijzondere smeeroliën;2002;3398;3288;110
161;Bijzondere smeeroliën;2003 1e kwartaal;461;430;31
162;Bijzondere smeeroliën;2003 2e kwartaal;1003;987;16
163;Bijzondere smeeroliën;2003 1e halfjaar;1464;1417;47
164;Bijzondere smeeroliën;2003 3e kwartaal;394;373;21
165;Bijzondere smeeroliën;2003 4e kwartaal;1003;987;16
166;Bijzondere smeeroliën;2003 2e halfjaar;1480;1444;36
167;Bijzondere smeeroliën;2003;2944;2861;83
168;Overige industriële smeeroliën;2000 1e kwartaal;1905;1814;91
169;Overige industriële smeeroliën;2000 2e kwartaal;1699;1552;147
170;Overige industriële smeeroliën;2000 1e halfjaar;3604;3366;238
171;Overige industriële smeeroliën;2000 3e kwartaal;2033;1878;155
172;Overige industriële smeeroliën;2000 4e kwartaal;2613;2491;122
173;Overige industriële smeeroliën;2000 2e halfjaar;4899;4622;277
174;Overige industriële smeeroliën;2000;8503;7988;515
175;Overige industriële smeeroliën;2001 1e kwartaal;1838;1759;79
176;Overige industriële smeeroliën;2001 2e kwartaal;1930;1853;77
177;Overige industriële smeeroliën;2001 1e halfjaar;3768;3612;156
178;Overige industriële smeeroliën;2001 3e kwartaal;1772;1730;42
179;Overige industriële smeeroliën;2001 4e kwartaal;1555;1481;74
180;Overige industriële smeeroliën;2001 2e halfjaar;3327;3211;116
181;Overige industriële smeeroliën;2001;7095;6823;272
182;Overige industriële smeeroliën;2002 1e kwartaal;1318;1257;61
183;Overige industriële smeeroliën;2002 2e kwartaal;1295;1238;57
184;Overige industriële smeeroliën;2002 1e halfjaar;2613;2495;118
185;Overige industriële smeeroliën;2002 3e kwartaal;1450;1410;40
186;Overige industriële smeeroliën;2002 4e kwartaal;1103;1018;85
187;Overige industriële smeeroliën;2002 2e halfjaar;2553;2428;125
188;Overige industriële smeeroliën;2002;5166;4923;243
189;Overige industriële smeeroliën;2003 1e kwartaal;3007;2962;45
190;Overige industriële smeeroliën;2003 2e kwartaal;3733;3649;84
191;Overige industriële smeeroliën;2003 1e halfjaar;6740;6611;129
192;Overige industriële smeeroliën;2003 3e kwartaal;3140;3072;68
193;Overige industriële smeeroliën;2003 4e kwartaal;3733;3649;84
194;Overige industriële smeeroliën;2003 2e halfjaar;6563;6432;131
195;Overige industriële smeeroliën;2003;13303;13043;260
196;Process oliën;2000 1e kwartaal;7442;7429;13
197;Process oliën;2000 2e kwartaal;8598;8585;13
198;Process oliën;2000 1e halfjaar;16040;16014;26
199;Process oliën;2000 3e kwartaal;6761;6748;13
200;Process oliën;2000 4e kwartaal;6557;6544;13
201;Process oliën;2000 2e halfjaar;13992;13966;26
202;Process oliën;2000;30032;29980;52
203;Process oliën;2001 1e kwartaal;5862;5862;0
204;Process oliën;2001 2e kwartaal;5876;5876;0
205;Process oliën;2001 1e halfjaar;11738;11738;0
206;Process oliën;2001 3e kwartaal;6897;6887;10
207;Process oliën;2001 4e kwartaal;8699;8685;14
208;Process oliën;2001 2e halfjaar;15596;15572;24
209;Process oliën;2001;27334;27310;24
210;Process oliën;2002 1e kwartaal;8293;8279;14
211;Process oliën;2002 2e kwartaal;7833;7819;14
212;Process oliën;2002 1e halfjaar;16126;16098;28
213;Process oliën;2002 3e kwartaal;6566;6564;2
214;Process oliën;2002 4e kwartaal;5464;5464;0
215;Process oliën;2002 2e halfjaar;12030;12028;2
216;Process oliën;2002;28156;28126;30
217;Process oliën;2003 1e kwartaal;3773;3773;0
218;Process oliën;2003 2e kwartaal;4553;4553;0
219;Process oliën;2003 1e halfjaar;8326;8326;0
220;Process oliën;2003 3e kwartaal;3053;3053;0
221;Process oliën;2003 4e kwartaal;4553;4553;0
222;Process oliën;2003 2e halfjaar;7557;7557;0
223;Process oliën;2003;15883;15883;0
224;Overige smeeroliën;2000 1e kwartaal;985;979;6
225;Overige smeeroliën;2000 2e kwartaal;58;26;32
226;Overige smeeroliën;2000 1e halfjaar;1043;1005;38
227;Overige smeeroliën;2000 3e kwartaal;770;587;183
228;Overige smeeroliën;2000 4e kwartaal;4914;4787;127
229;Overige smeeroliën;2000 2e halfjaar;2245;1906;339
230;Overige smeeroliën;2000;3288;2911;377
231;Overige smeeroliën;2001 1e kwartaal;3288;3016;272
232;Overige smeeroliën;2001 2e kwartaal;1626;1505;121
233;Overige smeeroliën;2001 1e halfjaar;4914;4521;393
234;Overige smeeroliën;2001 3e kwartaal;1409;1248;161
235;Overige smeeroliën;2001 4e kwartaal;3292;2695;597
236;Overige smeeroliën;2001 2e halfjaar;4701;3943;758
237;Overige smeeroliën;2001;9615;8464;1151
238;Overige smeeroliën;2002 1e kwartaal;1377;1283;94
239;Overige smeeroliën;2002 2e kwartaal;2823;2634;189
240;Overige smeeroliën;2002 1e halfjaar;4200;3916;284
241;Overige smeeroliën;2002 3e kwartaal;1870;1735;135
242;Overige smeeroliën;2002 4e kwartaal;1651;1514;137
243;Overige smeeroliën;2002 2e halfjaar;3521;3249;272
244;Overige smeeroliën;2002;7721;7165;556
245;Overige smeeroliën;2003 1e kwartaal;1750;1573;177
246;Overige smeeroliën;2003 2e kwartaal;1619;1439;180
247;Overige smeeroliën;2003 1e halfjaar;3369;3012;357
248;Overige smeeroliën;2003 3e kwartaal;1794;1726;68
249;Overige smeeroliën;2003 4e kwartaal;1619;1439;180
250;Overige smeeroliën;2003 2e halfjaar;3691;3478;213
251;Overige smeeroliën;2003;7060;6490;570
