ID;CPIMetOnderliggendeReeksen;Perioden;Prijsindices_1;Inflatie_2
269;Onderliggende reeks II;2005 juni;110.3;1.3
270;Onderliggende reeks II;2005 juli;110.2;1.3
271;Onderliggende reeks II;2005 augustus;110.6;1.5
272;Onderliggende reeks II;2005 september;111.6;1.5
273;Onderliggende reeks II;2005 oktober;111.6;1.5
274;Onderliggende reeks II;2005 november;111.3;1.5
275;Onderliggende reeks II;2005 december;110.8;1.8
276;Onderliggende reeks II;2006 januari;110.9;1.7
277;Onderliggende reeks II;2006 februari;111.4;1.5
278;Onderliggende reeks II;2006 maart;112.2;1.4
279;Onderliggende reeks II;2006 april;112.7;1.7
280;Onderliggende reeks II;2006 mei;112.6;1.7
281;Onderliggende reeks II;2006 juni;112.2;1.7
282;Onderliggende reeks II;2006 juli;112.1;1.7
283;Onderliggende reeks II;2006 augustus;112.6;1.8
284;Onderliggende reeks II;2006 september;113.1;1.3
285;Onderliggende reeks II;2006 oktober;112.9;1.2
286;Onderliggende reeks II;2006 november;112.9;1.4
287;Onderliggende reeks II;2006 december;112.5;1.5
288;Onderliggende reeks III;2001 januari;100.6;2.1
289;Onderliggende reeks III;2001 februari;101.7;2.7
290;Onderliggende reeks III;2001 maart;102.9;3.1
291;Onderliggende reeks III;2001 april;103.6;3.5
292;Onderliggende reeks III;2001 mei;103.9;3.7
293;Onderliggende reeks III;2001 juni;103.5;3.6
294;Onderliggende reeks III;2001 juli;102.8;3.8
295;Onderliggende reeks III;2001 augustus;103.3;3.8
296;Onderliggende reeks III;2001 september;104.8;4.0
297;Onderliggende reeks III;2001 oktober;105.0;3.9
298;Onderliggende reeks III;2001 november;105.0;3.7
299;Onderliggende reeks III;2001 december;104.8;4.0
300;Onderliggende reeks III;2002 januari;105.6;5.0
301;Onderliggende reeks III;2002 februari;106.3;4.5
302;Onderliggende reeks III;2002 maart;107.3;4.3
303;Onderliggende reeks III;2002 april;107.7;4.0
304;Onderliggende reeks III;2002 mei;107.7;3.7
305;Onderliggende reeks III;2002 juni;107.3;3.7
306;Onderliggende reeks III;2002 juli;106.4;3.5
307;Onderliggende reeks III;2002 augustus;106.7;3.3
308;Onderliggende reeks III;2002 september;108.1;3.1
309;Onderliggende reeks III;2002 oktober;107.9;2.8
310;Onderliggende reeks III;2002 november;107.6;2.5
311;Onderliggende reeks III;2002 december;107.1;2.2
312;Onderliggende reeks III;2003 januari;107.0;1.3
313;Onderliggende reeks III;2003 februari;107.7;1.3
314;Onderliggende reeks III;2003 maart;109.0;1.6
315;Onderliggende reeks III;2003 april;109.3;1.5
316;Onderliggende reeks III;2003 mei;109.3;1.5
317;Onderliggende reeks III;2003 juni;108.7;1.3
318;Onderliggende reeks III;2003 juli;107.9;1.4
319;Onderliggende reeks III;2003 augustus;108.1;1.3
320;Onderliggende reeks III;2003 september;109.5;1.3
321;Onderliggende reeks III;2003 oktober;109.2;1.2
322;Onderliggende reeks III;2003 november;108.8;1.1
323;Onderliggende reeks III;2003 december;108.0;0.8
324;Onderliggende reeks III;2004 januari;107.5;0.5
325;Onderliggende reeks III;2004 februari;108.2;0.5
326;Onderliggende reeks III;2004 maart;109.1;0.1
327;Onderliggende reeks III;2004 april;109.2;-0.1
328;Onderliggende reeks III;2004 mei;109.2;-0.1
329;Onderliggende reeks III;2004 juni;108.3;-0.4
330;Onderliggende reeks III;2004 juli;107.3;-0.6
331;Onderliggende reeks III;2004 augustus;107.6;-0.5
332;Onderliggende reeks III;2004 september;108.8;-0.6
333;Onderliggende reeks III;2004 oktober;108.8;-0.4
334;Onderliggende reeks III;2004 november;108.6;-0.2
335;Onderliggende reeks III;2004 december;107.6;-0.4
336;Onderliggende reeks III;2005 januari;107.1;-0.4
337;Onderliggende reeks III;2005 februari;108.0;-0.2
338;Onderliggende reeks III;2005 maart;109.1;0.0
339;Onderliggende reeks III;2005 april;109.1;-0.1
340;Onderliggende reeks III;2005 mei;109.1;-0.1
341;Onderliggende reeks III;2005 juni;108.3;0.0
342;Onderliggende reeks III;2005 juli;107.4;0.1
343;Onderliggende reeks III;2005 augustus;107.7;0.1
344;Onderliggende reeks III;2005 september;108.8;0.0
345;Onderliggende reeks III;2005 oktober;109.0;0.2
346;Onderliggende reeks III;2005 november;109.0;0.4
347;Onderliggende reeks III;2005 december;108.3;0.7
348;Onderliggende reeks III;2006 januari;107.7;0.6
349;Onderliggende reeks III;2006 februari;108.4;0.4
350;Onderliggende reeks III;2006 maart;109.4;0.3
351;Onderliggende reeks III;2006 april;109.7;0.5
352;Onderliggende reeks III;2006 mei;109.6;0.5
353;Onderliggende reeks III;2006 juni;109.1;0.7
354;Onderliggende reeks III;2006 juli;108.0;0.6
355;Onderliggende reeks III;2006 augustus;108.7;0.9
356;Onderliggende reeks III;2006 september;109.8;0.9
357;Onderliggende reeks III;2006 oktober;109.7;0.6
358;Onderliggende reeks III;2006 november;109.7;0.6
359;Onderliggende reeks III;2006 december;109.1;0.7
360;Onderliggende reeks IV;2001 januari;100.5;2.1
361;Onderliggende reeks IV;2001 februari;101.6;2.7
362;Onderliggende reeks IV;2001 maart;102.7;2.9
363;Onderliggende reeks IV;2001 april;103.4;3.3
364;Onderliggende reeks IV;2001 mei;103.6;3.4
365;Onderliggende reeks IV;2001 juni;103.3;3.4
366;Onderliggende reeks IV;2001 juli;102.6;3.6
367;Onderliggende reeks IV;2001 augustus;103.1;3.6
368;Onderliggende reeks IV;2001 september;104.6;3.7
369;Onderliggende reeks IV;2001 oktober;104.9;3.7
370;Onderliggende reeks IV;2001 november;105.0;3.7
371;Onderliggende reeks IV;2001 december;104.6;3.8
372;Onderliggende reeks IV;2002 januari;105.1;4.6
373;Onderliggende reeks IV;2002 februari;105.9;4.2
374;Onderliggende reeks IV;2002 maart;106.9;4.1
375;Onderliggende reeks IV;2002 april;107.4;3.9
376;Onderliggende reeks IV;2002 mei;107.5;3.8
377;Onderliggende reeks IV;2002 juni;107.1;3.7
378;Onderliggende reeks IV;2002 juli;106.2;3.5
379;Onderliggende reeks IV;2002 augustus;106.6;3.4
380;Onderliggende reeks IV;2002 september;107.9;3.2
381;Onderliggende reeks IV;2002 oktober;107.8;2.8
382;Onderliggende reeks IV;2002 november;107.7;2.6
383;Onderliggende reeks IV;2002 december;107.1;2.4
384;Onderliggende reeks IV;2003 januari;106.9;1.7
385;Onderliggende reeks IV;2003 februari;107.5;1.5
386;Onderliggende reeks IV;2003 maart;108.7;1.7
387;Onderliggende reeks IV;2003 april;109.0;1.5
388;Onderliggende reeks IV;2003 mei;109.2;1.6
389;Onderliggende reeks IV;2003 juni;108.5;1.3
390;Onderliggende reeks IV;2003 juli;107.7;1.4
391;Onderliggende reeks IV;2003 augustus;107.9;1.2
392;Onderliggende reeks IV;2003 september;109.2;1.2
393;Onderliggende reeks IV;2003 oktober;109.1;1.2
394;Onderliggende reeks IV;2003 november;108.7;0.9
395;Onderliggende reeks IV;2003 december;108.0;0.8
396;Onderliggende reeks IV;2004 januari;107.4;0.5
397;Onderliggende reeks IV;2004 februari;108.1;0.6
398;Onderliggende reeks IV;2004 maart;109.0;0.3
399;Onderliggende reeks IV;2004 april;109.1;0.1
400;Onderliggende reeks IV;2004 mei;109.1;-0.1
401;Onderliggende reeks IV;2004 juni;108.2;-0.3
402;Onderliggende reeks IV;2004 juli;107.3;-0.4
403;Onderliggende reeks IV;2004 augustus;107.7;-0.2
404;Onderliggende reeks IV;2004 september;108.8;-0.4
405;Onderliggende reeks IV;2004 oktober;108.9;-0.2
406;Onderliggende reeks IV;2004 november;108.8;0.1
407;Onderliggende reeks IV;2004 december;107.7;-0.3
408;Onderliggende reeks IV;2005 januari;107.2;-0.2
409;Onderliggende reeks IV;2005 februari;107.9;-0.2
410;Onderliggende reeks IV;2005 maart;108.9;-0.1
411;Onderliggende reeks IV;2005 april;109.1;0.0
412;Onderliggende reeks IV;2005 mei;109.0;-0.1
413;Onderliggende reeks IV;2005 juni;108.4;0.2
414;Onderliggende reeks IV;2005 juli;107.5;0.2
415;Onderliggende reeks IV;2005 augustus;107.7;0.0
416;Onderliggende reeks IV;2005 september;109.0;0.2
417;Onderliggende reeks IV;2005 oktober;109.1;0.2
418;Onderliggende reeks IV;2005 november;109.0;0.2
419;Onderliggende reeks IV;2005 december;108.3;0.6
420;Onderliggende reeks IV;2006 januari;107.6;0.4
421;Onderliggende reeks IV;2006 februari;108.3;0.4
422;Onderliggende reeks IV;2006 maart;109.3;0.4
423;Onderliggende reeks IV;2006 april;109.6;0.5
424;Onderliggende reeks IV;2006 mei;109.6;0.6
425;Onderliggende reeks IV;2006 juni;108.9;0.5
426;Onderliggende reeks IV;2006 juli;107.8;0.3
427;Onderliggende reeks IV;2006 augustus;108.4;0.6
428;Onderliggende reeks IV;2006 september;109.5;0.5
429;Onderliggende reeks IV;2006 oktober;109.6;0.5
430;Onderliggende reeks IV;2006 november;109.6;0.6
431;Onderliggende reeks IV;2006 december;108.9;0.6
432;Onderliggende reeks V;2001 januari;100.7;2.2
433;Onderliggende reeks V;2001 februari;101.5;2.6
434;Onderliggende reeks V;2001 maart;102.5;2.9
435;Onderliggende reeks V;2001 april;103.0;3.2
436;Onderliggende reeks V;2001 mei;103.2;3.3
437;Onderliggende reeks V;2001 juni;102.9;3.2
438;Onderliggende reeks V;2001 juli;102.9;3.5
439;Onderliggende reeks V;2001 augustus;103.3;3.5
440;Onderliggende reeks V;2001 september;104.5;3.5
441;Onderliggende reeks V;2001 oktober;104.7;3.5
442;Onderliggende reeks V;2001 november;104.8;3.5
443;Onderliggende reeks V;2001 december;104.5;3.6
444;Onderliggende reeks V;2002 januari;104.9;4.2
445;Onderliggende reeks V;2002 februari;105.5;3.9
446;Onderliggende reeks V;2002 maart;106.4;3.8
447;Onderliggende reeks V;2002 april;106.8;3.7
448;Onderliggende reeks V;2002 mei;106.8;3.5
449;Onderliggende reeks V;2002 juni;106.6;3.6
450;Onderliggende reeks V;2002 juli;106.4;3.4
451;Onderliggende reeks V;2002 augustus;106.7;3.3
452;Onderliggende reeks V;2002 september;107.7;3.1
453;Onderliggende reeks V;2002 oktober;107.7;2.9
454;Onderliggende reeks V;2002 november;107.5;2.6
455;Onderliggende reeks V;2002 december;107.1;2.5
456;Onderliggende reeks V;2003 januari;106.9;1.9
457;Onderliggende reeks V;2003 februari;107.4;1.8
458;Onderliggende reeks V;2003 maart;108.4;1.9
459;Onderliggende reeks V;2003 april;108.7;1.8
460;Onderliggende reeks V;2003 mei;108.8;1.9
461;Onderliggende reeks V;2003 juni;108.2;1.5
462;Onderliggende reeks V;2003 juli;108.2;1.7
463;Onderliggende reeks V;2003 augustus;108.4;1.6
464;Onderliggende reeks V;2003 september;109.4;1.6
465;Onderliggende reeks V;2003 oktober;109.4;1.6
466;Onderliggende reeks V;2003 november;109.1;1.5
467;Onderliggende reeks V;2003 december;108.5;1.3
468;Onderliggende reeks V;2004 januari;108.0;1.0
469;Onderliggende reeks V;2004 februari;108.5;1.0
470;Onderliggende reeks V;2004 maart;109.3;0.8
471;Onderliggende reeks V;2004 april;109.4;0.6
472;Onderliggende reeks V;2004 mei;109.3;0.5
473;Onderliggende reeks V;2004 juni;108.7;0.5
474;Onderliggende reeks V;2004 juli;108.5;0.3
475;Onderliggende reeks V;2004 augustus;108.9;0.5
476;Onderliggende reeks V;2004 september;109.8;0.4
477;Onderliggende reeks V;2004 oktober;109.9;0.5
478;Onderliggende reeks V;2004 november;109.7;0.5
479;Onderliggende reeks V;2004 december;108.8;0.3
480;Onderliggende reeks V;2005 januari;108.4;0.4
481;Onderliggende reeks V;2005 februari;109.0;0.5
482;Onderliggende reeks V;2005 maart;109.8;0.5
483;Onderliggende reeks V;2005 april;110.0;0.5
484;Onderliggende reeks V;2005 mei;109.9;0.5
485;Onderliggende reeks V;2005 juni;109.4;0.6
486;Onderliggende reeks V;2005 juli;109.1;0.6
487;Onderliggende reeks V;2005 augustus;109.3;0.4
488;Onderliggende reeks V;2005 september;110.3;0.5
489;Onderliggende reeks V;2005 oktober;110.4;0.5
490;Onderliggende reeks V;2005 november;110.4;0.6
491;Onderliggende reeks V;2005 december;109.8;0.9
492;Onderliggende reeks V;2006 januari;109.2;0.7
493;Onderliggende reeks V;2006 februari;109.8;0.7
494;Onderliggende reeks V;2006 maart;110.6;0.7
495;Onderliggende reeks V;2006 april;110.8;0.7
496;Onderliggende reeks V;2006 mei;110.8;0.8
497;Onderliggende reeks V;2006 juni;110.3;0.8
498;Onderliggende reeks V;2006 juli;110.0;0.8
499;Onderliggende reeks V;2006 augustus;110.4;1.0
500;Onderliggende reeks V;2006 september;111.4;1.0
