ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;PersonenautoSTotaal_5;PersonenautoSJongerDan6Jaar_6;PersonenautoS6JaarEnOuder_7;PersonenautoSBrandstofBenzine_8;PersonenautoSOverigeBrandstof_9;PersonenautoSPerHuishouden_10;PersonenautoSNaarOppervlakte_11;MotorfietsenVanParticulieren_12;VoertuigMetBromfietskentekenVanPart_13
95;Wijk 04 Meeuwen;Aalburg                                 ;Wijk      ;WK073804  ;1;420;95;325;330;95;1.5;73.0;45;75
96;Meeuwen;Aalburg                                 ;Buurt     ;BU07380400;1;380;90;295;300;80;1.6;763.0;40;65
97;Verspreide huizen Meeuwen;Aalburg                                 ;Buurt     ;BU07380409;1;40;5;35;30;10;;;0;10
98;Wijk 05 Drongelen;Aalburg                                 ;Wijk      ;WK073805  ;1;215;60;155;165;50;1.4;40.0;40;25
99;Drongelen;Aalburg                                 ;Buurt     ;BU07380500;1;145;40;105;110;40;1.4;470.0;25;20
100;Verspreide huizen Drongelen;Aalburg                                 ;Buurt     ;BU07380509;1;70;20;45;60;10;1.2;13.0;15;5
101;Wijk 06 Babyloniënbroek;Aalburg                                 ;Wijk      ;WK073806  ;1;250;60;190;185;65;1.6;31.0;25;15
102;Babyloniënbroek;Aalburg                                 ;Buurt     ;BU07380600;1;220;55;165;160;60;1.6;167.0;25;15
103;Verspreide huizen Babyloniënbroek;Aalburg                                 ;Buurt     ;BU07380609;1;30;5;25;25;5;;;0;0
104;Aalsmeer;Aalsmeer                                ;Gemeente  ;GM0358    ;.;14580;4710;9870;13180;1395;1.1;724.0;1420;3235
105;Niet nader toe te delen;Aalsmeer                                ;          ;          ; ;20;0;15;15;0;;;0;0
106;Wel nader toe te delen;Aalsmeer                                ;          ;          ; ;14560;4705;9855;13165;1395;;;1415;3235
107;Wijk 00 Aalsmeer;Aalsmeer                                ;Wijk      ;WK035800  ;1;5545;1740;3810;5045;500;1.0;789.0;485;1110
108;Centrum;Aalsmeer                                ;Buurt     ;BU03580000;1;1020;375;645;930;90;0.9;1899.0;85;205
109;Stommeer;Aalsmeer                                ;Buurt     ;BU03580001;1;2810;825;1985;2565;245;1.0;1528.0;265;535
110;Hornmeer;Aalsmeer                                ;Buurt     ;BU03580004;1;1190;360;830;1095;95;1.1;460.0;80;225
111;Uiterweg;Aalsmeer                                ;Buurt     ;BU03580005;1;530;180;350;455;70;1.3;256.0;55;140
112;Wijk 01 Kudelstraat en Kalslagen;Aalsmeer                                ;Wijk      ;WK035801  ;1;4375;1410;2970;3995;380;1.2;1006.0;420;865
113;Kudelstaart;Aalsmeer                                ;Buurt     ;BU03580100;1;4375;1410;2970;3995;380;1.2;1006.0;420;865
114;Wijk 02 Oosteinde;Aalsmeer                                ;Wijk      ;WK035802  ;1;4635;1560;3080;4125;515;1.2;530.0;510;1260
115;Bovenlanden;Aalsmeer                                ;Buurt     ;BU03580200;1;550;120;430;490;60;1.3;358.0;70;240
116;Greenpark;Aalsmeer                                ;Buurt     ;BU03580201;1;435;100;335;395;40;1.4;207.0;60;125
117;Oosteinde;Aalsmeer                                ;Buurt     ;BU03580205;1;3415;1280;2135;3035;380;1.2;1285.0;335;840
118;Schinkelpolder;Aalsmeer                                ;Buurt     ;BU03580206;1;235;60;180;205;35;1.3;96.0;45;60
119;Aalten;Aalten                                  ;Gemeente  ;GM0197    ;.;12955;2500;10450;11210;1745;1.2;134.0;1385;1295
120;Niet nader toe te delen;Aalten                                  ;          ;          ; ;5;0;5;5;0;;;0;0
121;Wel nader toe te delen;Aalten                                  ;          ;          ; ;12950;2500;10450;11205;1745;;;1380;1295
122;Wijk 01 Buitengebied Aalten;Aalten                                  ;Wijk      ;WK019701  ;1;2085;340;1745;1695;390;1.4;31.0;270;230
123;Barlo-Kern;Aalten                                  ;Buurt     ;BU01970101;1;60;15;45;50;10;;;5;5
124;Verspreide huizen Barlo;Aalten                                  ;Buurt     ;BU01970102;1;245;30;215;190;55;1.5;33.0;40;50
125;Verspreide huizen Heurne;Aalten                                  ;Buurt     ;BU01970103;1;180;30;150;140;35;1.3;24.0;25;25
126;Verspreide huizen IJzerlo;Aalten                                  ;Buurt     ;BU01970104;1;245;50;200;205;40;1.5;27.0;35;20
127;Ijzerlo-kern;Aalten                                  ;Buurt     ;BU01970105;1;80;15;65;65;15;1.5;759.0;10;5
128;Lintelo-kern;Aalten                                  ;Buurt     ;BU01970106;1;95;20;75;70;25;1.6;940.0;10;10
129;Verspreide huizen ten westen van Aalten;Aalten                                  ;Buurt     ;BU01970107;1;105;20;85;80;25;1.0;21.0;15;10
130;Verspreide huizen Lintelo;Aalten                                  ;Buurt     ;BU01970108;1;370;45;325;295;75;1.5;28.0;45;40
131;Verspreide huizen Dalese Veld;Aalten                                  ;Buurt     ;BU01970109;1;25;5;25;20;5;;;0;5
132;Verspreide huizen Dale;Aalten                                  ;Buurt     ;BU01970110;1;360;65;290;305;55;1.5;47.0;55;35
133;Verspreide huizen Haart;Aalten                                  ;Buurt     ;BU01970111;1;280;45;235;235;40;1.3;25.0;20;20
134;Haart-kern;Aalten                                  ;Buurt     ;BU01970112;1;45;5;40;40;5;;;5;10
135;Wijk 02 Bredevoort;Aalten                                  ;Wijk      ;WK019702  ;1;965;175;790;835;130;1.2;98.0;110;150
136;Verspreide huizen Bredevoort;Aalten                                  ;Buurt     ;BU01970201;1;115;20;95;95;20;1.5;19.0;10;20
137;Verspreide huizen Hollenberg;Aalten                                  ;Buurt     ;BU01970202;1;115;20;95;105;15;1.3;86.0;15;30
138;Verspreide huizen Het Zwanenbroek;Aalten                                  ;Buurt     ;BU01970203;1;55;5;50;45;10;;;5;10
139;Bredevoort;Aalten                                  ;Buurt     ;BU01970204;1;680;130;550;590;90;1.1;1190.0;75;95
140;Wijk 03 Aalten Kern;Aalten                                  ;Wijk      ;WK019703  ;1;5830;1160;4670;5055;775;1.1;1141.0;615;525
141;Aalten-kern West;Aalten                                  ;Buurt     ;BU01970301;1;955;180;775;860;95;1.1;1782.0;95;70
142;Aalten-kern Zuid 1;Aalten                                  ;Buurt     ;BU01970302;1;1115;205;915;950;165;1.1;691.0;155;135
143;Aalten-kern Zuid 2;Aalten                                  ;Buurt     ;BU01970303;1;725;155;570;625;100;1.3;1123.0;65;65
144;Aalten-kern Noord/Noordoost;Aalten                                  ;Buurt     ;BU01970304;1;1245;240;1010;1085;165;1.1;1403.0;135;105
145;Aalten Kern 't Kobus;Aalten                                  ;Buurt     ;BU01970305;1;310;90;220;240;70;1.3;736.0;20;5
146;Aalten-kern Oost;Aalten                                  ;Buurt     ;BU01970306;1;480;75;405;420;55;1.1;1533.0;60;45
147;Aalten-kern Centrum;Aalten                                  ;Buurt     ;BU01970307;1;1000;220;780;875;125;0.9;1442.0;90;100
148;Wijk 04 Dinxperlo;Aalten                                  ;Wijk      ;WK019704  ;1;4065;825;3240;3620;445;1.2;297.0;385;390
149;Dinxperlo Centrum/Oost;Aalten                                  ;Buurt     ;BU01970400;1;1310;245;1070;1175;135;1.0;1510.0;125;145
150;Dinxperlo Noord;Aalten                                  ;Buurt     ;BU01970401;1;930;225;705;835;95;1.2;1532.0;90;60
151;Dinxperlo West;Aalten                                  ;Buurt     ;BU01970402;1;1210;240;970;1090;120;1.2;962.0;85;90
152;De Heurne-kern;Aalten                                  ;Buurt     ;BU01970403;1;165;35;130;145;20;1.3;739.0;20;15
153;Verspreide huizen Dinxperlo;Aalten                                  ;Buurt     ;BU01970408;1;105;20;85;90;15;1.1;62.0;20;35
154;Verspreide huizen De Heurne;Aalten                                  ;Buurt     ;BU01970409;1;340;60;280;285;55;1.4;38.0;40;45
155;Achtkarspelen;Achtkarspelen                           ;Gemeente  ;GM0059    ;.;13755;2780;10970;9965;3785;1.2;134.0;1185;2295
156;Niet nader toe te delen;Achtkarspelen                           ;          ;          ; ;5;5;0;0;0;;;0;0
157;Wel nader toe te delen;Achtkarspelen                           ;          ;          ; ;13750;2780;10970;9965;3785;;;1185;2295
158;Wijk 00 Noord;Achtkarspelen                           ;Wijk      ;WK005900  ;1;5800;1210;4590;4195;1605;1.2;125.0;485;900
159;Buitenpost;Achtkarspelen                           ;Buurt     ;BU00590000;1;2270;625;1645;1685;585;1.0;913.0;195;225
160;Twijzel;Achtkarspelen                           ;Buurt     ;BU00590001;1;555;85;470;415;145;1.3;299.0;50;105
161;Kootstertille;Achtkarspelen                           ;Buurt     ;BU00590002;1;1040;175;870;740;300;1.2;831.0;90;165
162;Twijzelerheide;Achtkarspelen                           ;Buurt     ;BU00590003;1;800;115;685;595;200;1.3;634.0;75;245
163;Gerkesklooster;Achtkarspelen                           ;Buurt     ;BU00590004;1;385;60;325;270;115;1.2;625.0;30;60
164;Verspreide huizen Buitenpost;Achtkarspelen                           ;Buurt     ;BU00590005;1;345;75;270;225;120;1.4;22.0;30;30
165;Verspreide huizen Twijzel;Achtkarspelen                           ;Buurt     ;BU00590006;1;55;5;45;35;20;;;0;10
166;Verspreide huizen Kootstertille;Achtkarspelen                           ;Buurt     ;BU00590007;1;195;35;155;125;65;1.5;32.0;10;30
167;Verspreide huizen Twijzelerheide;Achtkarspelen                           ;Buurt     ;BU00590008;1;110;20;90;70;40;1.2;23.0;10;20
168;Verspreide huizen Gerkesklooster;Achtkarspelen                           ;Buurt     ;BU00590009;1;45;5;35;35;10;;;0;10
169;Wijk 01 Centrum;Achtkarspelen                           ;Wijk      ;WK005901  ;1;1730;275;1455;1225;505;1.3;86.0;165;385
170;Stroobos;Achtkarspelen                           ;Buurt     ;BU00590100;1;115;15;100;85;30;1.2;383.0;10;35
171;Drogeham;Achtkarspelen                           ;Buurt     ;BU00590102;1;760;125;635;585;180;1.2;620.0;80;205
172;Augustinusga;Achtkarspelen                           ;Buurt     ;BU00590103;1;600;85;520;415;185;1.4;596.0;45;95
173;Verspreide huizen Stroobos;Achtkarspelen                           ;Buurt     ;BU00590107;1;45;5;40;25;20;;;5;25
174;Verspreide huizen Drogeham;Achtkarspelen                           ;Buurt     ;BU00590108;1;95;15;80;50;45;1.3;11.0;25;20
175;Verspreide huizen Augustinusga;Achtkarspelen                           ;Buurt     ;BU00590109;1;115;25;90;70;45;1.6;18.0;5;10
176;Wijk 02 Zuid;Achtkarspelen                           ;Wijk      ;WK005902  ;1;6220;1295;4925;4540;1680;1.2;173.0;535;1015
177;Surhuisterveen;Achtkarspelen                           ;Buurt     ;BU00590200;1;2700;605;2095;2015;685;1.1;857.0;225;320
178;Harkema;Achtkarspelen                           ;Buurt     ;BU00590201;1;1795;370;1425;1360;435;1.1;722.0;130;390
179;Surhuizum;Achtkarspelen                           ;Buurt     ;BU00590202;1;490;85;410;330;160;1.4;506.0;65;95
180;Boelenslaan;Achtkarspelen                           ;Buurt     ;BU00590203;1;390;60;330;285;105;1.3;585.0;35;70
181;Verspreide huizen Surhuisterveen;Achtkarspelen                           ;Buurt     ;BU00590206;1;220;50;170;150;70;1.6;49.0;25;35
182;Verspreide huizen Harkema;Achtkarspelen                           ;Buurt     ;BU00590207;1;140;40;100;85;55;1.4;35.0;5;35
183;Verspreide huizen Surhuizum;Achtkarspelen                           ;Buurt     ;BU00590208;1;235;40;200;155;85;1.6;17.0;25;20
184;Verspreide huizen Boelenslaan;Achtkarspelen                           ;Buurt     ;BU00590209;1;250;50;200;165;80;1.4;39.0;25;50
185;Alblasserdam;Alblasserdam                            ;Gemeente  ;GM0482    ;.;7955;2435;5525;7010;950;1.0;905.0;525;1000
186;Niet nader toe te delen;Alblasserdam                            ;          ;          ; ;0;0;0;0;0;;;0;0
187;Wel nader toe te delen;Alblasserdam                            ;          ;          ; ;7955;2435;5520;7005;950;;;525;1000
188;Wijk 01 Centrum;Alblasserdam                            ;Wijk      ;WK048201  ;1;1930;620;1310;1685;240;1.0;2112.0;145;215
189;Cortgene;Alblasserdam                            ;Buurt     ;BU04820101;1;375;130;245;325;50;1.0;1773.0;30;30
190;Redersbuurt;Alblasserdam                            ;Buurt     ;BU04820102;1;195;45;150;175;15;0.5;1970.0;15;40
191;kerkbuurt;Alblasserdam                            ;Buurt     ;BU04820103;1;635;160;475;560;75;1.0;2810.0;50;75
192;Polderbuurt;Alblasserdam                            ;Buurt     ;BU04820104;1;260;60;200;225;40;1.4;1795.0;30;45
193;De Werven;Alblasserdam                            ;Buurt     ;BU04820105;1;465;225;240;405;60;1.1;2005.0;20;30
194;Wijk 02 Kinderdijk;Alblasserdam                            ;Wijk      ;WK048202  ;1;1535;470;1070;1330;210;1.0;1612.0;125;220
195;Dijk;Alblasserdam                            ;Buurt     ;BU04820201;1;275;80;190;220;55;1.2;903.0;40;40
196;Vogelbuurt;Alblasserdam                            ;Buurt     ;BU04820202;1;515;160;355;455;60;0.9;3392.0;30;65
197;Waterland;Alblasserdam                            ;Buurt     ;BU04820203;1;200;75;125;175;25;1.2;2237.0;10;15
198;Groene Long;Alblasserdam                            ;Buurt     ;BU04820204;1;0;0;0;0;0;;;0;0
199;Rivierenbuurt;Alblasserdam                            ;Buurt     ;BU04820205;1;340;85;255;300;40;0.9;2914.0;25;55
200;Nieuw Kinderdijk;Alblasserdam                            ;Buurt     ;BU04820206;1;210;65;140;175;30;1.0;2303.0;20;40
201;Wijk 03 Blokweer;Alblasserdam                            ;Wijk      ;WK048203  ;1;3025;915;2110;2700;325;1.0;3480.0;190;365
202;Zeelt;Alblasserdam                            ;Buurt     ;BU04820301;1;455;160;295;400;55;1.3;3532.0;30;30
203;Middelland;Alblasserdam                            ;Buurt     ;BU04820302;1;255;100;160;220;35;1.2;3017.0;20;25
204;Blokweer Noord;Alblasserdam                            ;Buurt     ;BU04820303;1;450;150;300;400;50;1.1;4410.0;40;45
205;Blokweer Zuid;Alblasserdam                            ;Buurt     ;BU04820304;1;280;95;185;255;25;1.0;2706.0;15;15
206;Drentsebuurt;Alblasserdam                            ;Buurt     ;BU04820305;1;385;95;290;345;45;1.0;3385.0;15;80
207;Florabuurt;Alblasserdam                            ;Buurt     ;BU04820306;1;555;150;410;505;50;0.9;3193.0;25;70
208;Staatsliedenbuurt;Alblasserdam                            ;Buurt     ;BU04820307;1;640;165;475;575;70;0.9;3966.0;40;100
209;Wijk 04 Souburgh;Alblasserdam                            ;Wijk      ;WK048204  ;1;1370;405;965;1215;155;0.9;2550.0;60;170
210;Schildersbuurt;Alblasserdam                            ;Buurt     ;BU04820401;1;550;165;385;495;55;1.0;3225.0;20;55
211;Schrijversbuurt;Alblasserdam                            ;Buurt     ;BU04820402;1;580;155;425;505;75;0.9;3033.0;35;75
212;Klein Alblas;Alblasserdam                            ;Buurt     ;BU04820403;1;80;40;40;65;15;1.4;677.0;5;15
213;Oranjebuurt;Alblasserdam                            ;Buurt     ;BU04820404;1;160;40;120;145;15;0.7;2795.0;0;25
214;Wijk 05 Bedrijventerrein;Alblasserdam                            ;Wijk      ;WK048205  ;1;70;15;50;55;15;;;10;20
215;Vinkenwaard;Alblasserdam                            ;Buurt     ;BU04820501;1;10;0;10;10;0;;;0;0
216;Hoogendijk;Alblasserdam                            ;Buurt     ;BU04820502;1;20;5;15;15;5;;;0;15
217;Nieuwland;Alblasserdam                            ;Buurt     ;BU04820503;1;35;10;25;30;5;;;5;5
218;Wijk 06 Landelijk gebied;Alblasserdam                            ;Wijk      ;WK048206  ;1;30;10;15;25;5;;;0;5
219;Polder Blokweer;Alblasserdam                            ;Buurt     ;BU04820601;1;0;0;0;0;0;;;0;0
220;Polder Kortland;Alblasserdam                            ;Buurt     ;BU04820602;1;20;10;15;20;5;;;0;5
221;Polder Souburgh;Alblasserdam                            ;Buurt     ;BU04820603;1;5;0;5;5;0;;;0;0
222;Polder Vinkenwaard;Alblasserdam                            ;Buurt     ;BU04820604;1;0;0;0;0;0;;;0;0
