ID;KenmerkenBaan;BedrijfstakkenBranchesSBI93;Perioden;TotaalBanen_1;Minimumloon_2;k_105Minimumloon_3;k_110Minimumloon_4;k_115Minimumloon_5;k_120Minimumloon_6;k_130Minimumloon_7;TotaalArbeidsvolume_8;Minimumloon_9;k_105Minimumloon_10;k_110Minimumloon_11;k_115Minimumloon_12;k_120Minimumloon_13;k_130Minimumloon_14
34;Totaal;123270;2008;447.0;21.1;26.3;32.3;41.2;51.4;74.2;364.9;10.7;13.5;17.0;22.6;29.3;45.4
35;Totaal;123270;2009;438.9;24.2;29.7;36.7;46.1;56.2;78.7;354.2;11.3;14.3;18.3;24.2;31.0;46.3
36;Totaal;124750;2006;282.3;7.2;8.6;10.2;12.0;14.3;20.3;246.2;5.2;6.1;7.1;8.3;10.0;14.5
37;Totaal;124750;2007;282.0;7.4;8.7;10.2;12.1;14.2;20.1;246.5;5.5;6.4;7.3;8.6;10.2;14.6
38;Totaal;124750;2008;272.9;6.4;7.6;8.9;10.6;12.6;17.9;239.1;4.7;5.5;6.4;7.6;9.0;13.0
39;Totaal;124750;2009;270.1;5.2;6.4;7.8;9.4;11.5;17.0;237.4;3.8;4.6;5.5;6.6;8.1;12.3
40;Totaal;125910;2006;1466.8;115.5;155.6;207.1;284.8;340.4;440.0;1060.0;60.6;81.8;108.5;147.0;179.3;240.6
41;Totaal;125910;2007;1566.9;129.2;174.2;227.5;311.9;373.2;479.7;1147.0;71.9;96.6;126.0;169.3;205.5;272.8
42;Totaal;125910;2008;1615.6;117.4;163.5;214.1;278.1;351.0;468.4;1195.4;68.4;94.2;122.7;158.5;199.6;272.2
43;Totaal;125910;2009;1544.3;128.7;172.5;221.4;270.4;333.7;459.7;1135.7;70.0;93.8;121.3;149.7;185.2;258.3
44;Totaal;129670;2006;499.3;14.7;15.8;17.0;18.8;22.8;29.7;449.2;11.3;12.2;13.2;14.8;18.3;24.3
45;Totaal;129670;2007;501.0;15.0;15.9;17.0;18.6;22.1;28.2;451.9;11.9;12.6;13.5;14.9;18.1;23.4
46;Totaal;129670;2008;498.3;13.9;14.7;15.8;17.3;20.4;26.4;450.7;11.8;12.5;13.4;14.6;17.5;22.6
47;Totaal;129670;2009;514.8;15.6;16.6;17.7;19.3;21.7;27.9;465.4;13.4;14.2;15.1;16.5;18.6;24.0
48;Totaal;130250;2006;471.2;12.6;13.8;15.4;17.8;22.3;35.5;358.6;7.8;8.5;9.3;10.7;13.7;22.1
49;Totaal;130250;2007;484.3;12.9;14.3;15.9;18.3;22.5;35.4;368.1;8.5;9.3;10.1;11.5;14.3;22.5
50;Totaal;130250;2008;500.8;12.1;13.5;15.3;17.8;21.9;34.1;381.4;8.0;8.8;9.7;11.1;13.7;21.6
51;Totaal;130250;2009;508.8;12.5;14.0;15.9;18.5;22.3;33.9;384.9;8.2;9.0;10.1;11.5;13.8;21.1
52;Totaal;131410;2006;1153.8;47.2;61.9;81.1;105.0;133.9;200.2;781.0;28.4;36.4;47.1;61.0;78.0;118.1
53;Totaal;131410;2007;1185.5;58.3;72.7;91.5;115.1;143.9;210.8;810.7;36.6;44.6;55.1;68.8;85.7;126.6
54;Totaal;131410;2008;1207.3;56.7;69.7;86.9;110.2;137.6;206.2;833.1;37.3;44.7;54.7;68.5;84.9;127.3
55;Totaal;131410;2009;1242.8;66.9;80.6;97.4;119.0;145.2;212.5;853.3;43.9;51.7;61.4;74.2;89.9;131.8
56;Totaal;134150;2006;310.6;26.7;34.3;43.7;53.7;63.8;83.4;213.9;14.8;19.1;24.7;30.8;36.6;48.6
57;Totaal;134150;2007;315.9;28.7;37.4;47.6;58.1;68.7;89.4;217.8;16.3;21.4;27.5;33.8;40.0;52.5
58;Totaal;134150;2008;322.1;29.3;37.7;47.8;59.1;69.6;90.8;221.9;16.7;21.6;27.6;34.4;40.6;53.4
59;Totaal;134150;2009;331.0;28.5;37.2;47.5;58.3;69.3;90.5;226.5;16.3;21.2;27.3;33.7;39.9;52.6
60;Voltijd;100010;2006;3844.2;126.8;162.5;207.7;264.5;335.1;495.3;3844.2;126.8;162.5;207.7;264.5;335.1;495.3
61;Voltijd;100010;2007;3938.1;139.8;177.8;227.0;288.3;361.9;529.7;3938.1;139.8;177.8;227.0;288.3;361.9;529.7
62;Voltijd;100010;2008;4013.9;141.3;181.5;230.0;290.5;360.9;526.6;4013.9;141.3;181.5;230.0;290.5;360.9;526.6
63;Voltijd;100010;2009;3892.1;135.9;174.9;223.9;278.9;347.3;501.8;3892.1;135.9;174.9;223.9;278.9;347.3;501.8
64;Voltijd;100070;2006;58.4;3.1;3.8;4.7;5.9;7.2;10.1;58.4;3.1;3.8;4.7;5.9;7.2;10.1
65;Voltijd;100070;2007;59.8;3.2;4.2;5.3;6.6;8.1;11.5;59.8;3.2;4.2;5.3;6.6;8.1;11.5
66;Voltijd;100070;2008;60.3;3.4;4.4;5.5;6.9;8.4;11.9;60.3;3.4;4.4;5.5;6.9;8.4;11.9
67;Voltijd;100070;2009;59.0;3.2;4.3;5.6;6.9;8.6;12.3;59.0;3.2;4.3;5.6;6.9;8.6;12.3
68;Voltijd;101030;2006;6.5;0.1;0.1;0.1;0.1;0.1;0.2;6.5;0.1;0.1;0.1;0.1;0.1;0.2
69;Voltijd;101030;2007;6.5;0.1;0.1;0.1;0.1;0.1;0.2;6.5;0.1;0.1;0.1;0.1;0.1;0.2
70;Voltijd;101030;2008;6.1;0.1;0.1;0.1;0.1;0.1;0.2;6.1;0.1;0.1;0.1;0.1;0.1;0.2
71;Voltijd;101030;2009;6.5;0.1;0.1;0.1;0.1;0.1;0.1;6.5;0.1;0.1;0.1;0.1;0.1;0.1
72;Voltijd;101760;2006;632.5;15.1;21.2;29.1;39.7;52.1;85.1;632.5;15.1;21.2;29.1;39.7;52.1;85.1
73;Voltijd;101760;2007;632.6;16.1;22.1;30.8;41.0;54.1;87.8;632.6;16.1;22.1;30.8;41.0;54.1;87.8
74;Voltijd;101760;2008;635.5;16.5;22.9;31.7;41.7;53.9;85.9;635.5;16.5;22.9;31.7;41.7;53.9;85.9
75;Voltijd;101760;2009;606.9;16.0;22.6;31.7;41.2;56.2;84.2;606.9;16.0;22.6;31.7;41.2;56.2;84.2
76;Voltijd;112710;2006;18.8;0.1;0.1;0.2;0.2;0.2;0.2;18.8;0.1;0.1;0.2;0.2;0.2;0.2
77;Voltijd;112710;2007;20.4;0.2;0.3;0.3;0.3;0.3;0.3;20.4;0.2;0.3;0.3;0.3;0.3;0.3
78;Voltijd;112710;2008;19.5;0.2;0.3;0.3;0.3;0.3;0.4;19.5;0.2;0.3;0.3;0.3;0.3;0.4
79;Voltijd;112710;2009;20.8;0.2;0.3;0.3;0.3;0.3;0.4;20.8;0.2;0.3;0.3;0.3;0.3;0.4
80;Voltijd;113110;2006;303.5;3.9;4.9;6.0;7.4;9.6;14.9;303.5;3.9;4.9;6.0;7.4;9.6;14.9
81;Voltijd;113110;2007;306.6;4.2;5.2;6.3;7.8;10.1;15.7;306.6;4.2;5.2;6.3;7.8;10.1;15.7
82;Voltijd;113110;2008;298.9;3.8;4.8;5.8;7.1;9.0;14.0;298.9;3.8;4.8;5.8;7.1;9.0;14.0
83;Voltijd;113110;2009;294.2;3.6;4.6;5.5;6.7;8.3;13.4;294.2;3.6;4.6;5.5;6.7;8.3;13.4
84;Voltijd;114110;2006;595.5;25.7;35.5;48.3;63.3;81.1;120.5;595.5;25.7;35.5;48.3;63.3;81.1;120.5
85;Voltijd;114110;2007;608.5;26.1;35.9;49.1;65.0;83.6;124.5;608.5;26.1;35.9;49.1;65.0;83.6;124.5
86;Voltijd;114110;2008;617.9;27.2;37.9;50.9;66.5;83.8;123.6;617.9;27.2;37.9;50.9;66.5;83.8;123.6
87;Voltijd;114110;2009;595.7;23.4;33.6;46.7;61.0;77.0;115.3;595.7;23.4;33.6;46.7;61.0;77.0;115.3
88;Voltijd;122690;2006;79.2;5.6;7.2;9.2;12.2;15.9;23.9;79.2;5.6;7.2;9.2;12.2;15.9;23.9
89;Voltijd;122690;2007;82.5;5.9;7.8;10.3;14.1;18.0;26.5;82.5;5.9;7.8;10.3;14.1;18.0;26.5
90;Voltijd;122690;2008;83.8;6.0;8.2;11.3;15.1;18.8;27.6;83.8;6.0;8.2;11.3;15.1;18.8;27.6
91;Voltijd;122690;2009;77.9;5.6;7.9;11.3;14.7;18.1;26.4;77.9;5.6;7.9;11.3;14.7;18.1;26.4
92;Voltijd;123270;2006;277.0;6.9;8.3;10.3;13.4;17.9;27.9;277.0;6.9;8.3;10.3;13.4;17.9;27.9
93;Voltijd;123270;2007;278.6;6.6;8.0;10.1;13.4;17.9;28.1;278.6;6.6;8.0;10.1;13.4;17.9;28.1
94;Voltijd;123270;2008;280.6;5.5;6.8;8.5;11.5;15.5;25.6;280.6;5.5;6.8;8.5;11.5;15.5;25.6
95;Voltijd;123270;2009;270.0;5.0;6.4;8.4;11.5;15.4;24.6;270.0;5.0;6.4;8.4;11.5;15.4;24.6
96;Voltijd;124750;2006;185.6;3.7;4.3;4.9;5.7;6.8;9.9;185.6;3.7;4.3;4.9;5.7;6.8;9.9
97;Voltijd;124750;2007;184.0;3.9;4.5;5.1;5.9;6.9;9.7;184.0;3.9;4.5;5.1;5.9;6.9;9.7
98;Voltijd;124750;2008;178.9;3.5;4.0;4.5;5.3;6.1;8.6;178.9;3.5;4.0;4.5;5.3;6.1;8.6
99;Voltijd;124750;2009;176.1;2.7;3.1;3.6;4.3;5.2;7.6;176.1;2.7;3.1;3.6;4.3;5.2;7.6
100;Voltijd;125910;2006;705.0;29.7;38.9;49.8;62.9;78.2;109.6;705.0;29.7;38.9;49.8;62.9;78.2;109.6
101;Voltijd;125910;2007;765.6;35.9;46.8;59.8;75.8;92.9;128.5;765.6;35.9;46.8;59.8;75.8;92.9;128.5
102;Voltijd;125910;2008;799.5;35.6;47.1;59.5;75.0;92.4;128.5;799.5;35.6;47.1;59.5;75.0;92.4;128.5
103;Voltijd;125910;2009;751.8;33.5;43.7;55.6;68.3;83.9;116.1;751.8;33.5;43.7;55.6;68.3;83.9;116.1
104;Voltijd;129670;2006;351.2;9.2;9.8;10.5;11.7;14.7;19.4;351.2;9.2;9.8;10.5;11.7;14.7;19.4
105;Voltijd;129670;2007;351.8;9.8;10.3;11.0;12.0;14.8;19.0;351.8;9.8;10.3;11.0;12.0;14.8;19.0
106;Voltijd;129670;2008;350.5;10.1;10.7;11.3;12.4;14.8;18.8;350.5;10.1;10.7;11.3;12.4;14.8;18.8
107;Voltijd;129670;2009;357.6;11.3;12.0;12.7;13.8;15.5;19.7;357.6;11.3;12.0;12.7;13.8;15.5;19.7
108;Voltijd;130250;2006;197.3;5.0;5.3;5.7;6.3;7.9;12.1;197.3;5.0;5.3;5.7;6.3;7.9;12.1
109;Voltijd;130250;2007;195.1;5.5;5.9;6.3;6.9;8.5;12.6;195.1;5.5;5.9;6.3;6.9;8.5;12.6
110;Voltijd;130250;2008;207.4;5.3;5.7;6.0;6.6;8.0;12.1;207.4;5.3;5.7;6.0;6.6;8.0;12.1
111;Voltijd;130250;2009;203.3;5.5;5.9;6.3;6.9;8.0;11.8;203.3;5.5;5.9;6.3;6.9;8.0;11.8
112;Voltijd;131410;2006;304.0;11.6;14.0;17.0;21.0;25.9;38.2;304.0;11.6;14.0;17.0;21.0;25.9;38.2
113;Voltijd;131410;2007;314.2;14.4;16.6;19.5;23.3;27.9;40.3;314.2;14.4;16.6;19.5;23.3;27.9;40.3
114;Voltijd;131410;2008;339.0;15.6;18.1;21.1;25.3;30.2;43.5;339.0;15.6;18.1;21.1;25.3;30.2;43.5
115;Voltijd;131410;2009;338.0;17.5;20.1;23.1;27.1;31.8;44.9;338.0;17.5;20.1;23.1;27.1;31.8;44.9
116;Voltijd;134150;2006;129.8;7.2;9.1;11.8;14.7;17.4;23.4;129.8;7.2;9.1;11.8;14.7;17.4;23.4
117;Voltijd;134150;2007;131.9;7.9;10.1;13.0;15.9;18.8;24.9;131.9;7.9;10.1;13.0;15.9;18.8;24.9
118;Voltijd;134150;2008;136.2;8.5;10.7;13.5;16.8;19.7;26.1;136.2;8.5;10.7;13.5;16.8;19.7;26.1
119;Voltijd;134150;2009;134.4;8.1;10.3;13.1;16.1;18.8;24.9;134.4;8.1;10.3;13.1;16.1;18.8;24.9
120;Deeltijd;100010;2006;3698.4;323.7;432.8;567.9;736.7;888.9;1197.4;1878.4;125.1;169.7;225.7;296.7;363.0;500.1
121;Deeltijd;100010;2007;3817.4;346.2;464.5;605.0;782.6;947.6;1273.0;1964.4;140.4;189.3;249.1;324.4;396.7;541.6
122;Deeltijd;100010;2008;3866.5;322.8;443.3;581.9;738.0;907.2;1232.3;1995.6;132.1;182.2;242.3;310.6;385.4;533.6
123;Deeltijd;100010;2009;3926.6;342.5;464.8;602.8;742.4;904.5;1233.0;2031.0;139.4;190.3;250.3;312.0;382.7;533.2
124;Deeltijd;100070;2006;67.3;9.6;12.5;16.3;20.2;24.3;32.6;25.9;3.2;4.2;5.5;6.8;8.3;11.2
125;Deeltijd;100070;2007;65.6;9.0;12.4;16.2;20.0;24.3;33.0;25.5;3.2;4.4;5.8;7.1;8.6;11.8
126;Deeltijd;100070;2008;62.9;8.0;11.0;14.3;18.0;22.2;30.2;24.9;2.9;4.0;5.2;6.5;8.0;10.9
127;Deeltijd;100070;2009;62.8;7.3;10.0;13.1;16.3;20.7;28.4;25.9;2.8;3.8;5.0;6.2;7.8;10.8
128;Deeltijd;101030;2006;1.2;0.0;0.0;0.1;0.1;0.1;0.1;0.8;0.0;0.0;0.0;0.0;0.0;0.0
129;Deeltijd;101030;2007;1.2;0.0;0.0;0.1;0.1;0.1;0.1;0.9;0.0;0.0;0.0;0.0;0.0;0.0
130;Deeltijd;101030;2008;1.3;0.0;0.0;0.0;0.0;0.1;0.1;0.9;0.0;0.0;0.0;0.0;0.0;0.0
131;Deeltijd;101030;2009;1.4;0.0;0.0;0.0;0.0;0.0;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
132;Deeltijd;101760;2006;215.0;17.0;25.0;33.7;42.0;51.0;68.9;128.9;8.4;13.0;17.9;22.5;27.3;36.9
133;Deeltijd;101760;2007;216.0;17.1;25.1;34.6;42.7;52.4;70.1;131.4;9.1;13.6;19.1;23.5;28.8;38.3
134;Deeltijd;101760;2008;224.4;17.6;26.2;36.0;44.2;53.4;70.8;137.0;9.4;14.4;20.2;24.8;29.9;39.3
135;Deeltijd;101760;2009;223.1;16.8;27.6;37.9;46.0;55.2;72.4;137.2;9.3;15.7;21.9;26.4;31.4;40.7
136;Deeltijd;112710;2006;5.6;0.1;0.1;0.1;0.1;0.1;0.1;4.1;0.0;0.0;0.0;0.0;0.0;0.1
137;Deeltijd;112710;2007;4.9;0.1;0.1;0.1;0.1;0.1;0.1;3.6;0.0;0.0;0.0;0.1;0.1;0.1
138;Deeltijd;112710;2008;5.3;0.1;0.1;0.1;0.1;0.1;0.1;3.9;0.0;0.0;0.0;0.1;0.1;0.1
139;Deeltijd;112710;2009;6.0;0.1;0.1;0.1;0.1;0.2;0.2;4.5;0.1;0.1;0.1;0.1;0.1;0.1
140;Deeltijd;113110;2006;75.3;3.9;4.9;5.8;6.9;8.1;10.7;42.8;1.6;2.0;2.3;2.8;3.3;4.4
141;Deeltijd;113110;2007;75.9;3.9;4.9;5.9;7.0;8.2;11.1;43.6;1.7;2.1;2.5;3.0;3.5;4.8
142;Deeltijd;113110;2008;87.3;3.3;4.3;5.2;6.2;7.3;10.2;52.7;1.5;1.9;2.3;2.7;3.2;4.4
143;Deeltijd;113110;2009;84.9;3.2;4.1;5.0;6.0;7.2;9.8;50.9;1.5;1.9;2.2;2.7;3.1;4.3
144;Deeltijd;114110;2006;632.6;85.1;115.1;151.8;190.3;228.5;316.5;275.2;33.7;45.8;61.3;78.2;94.5;130.8
145;Deeltijd;114110;2007;655.2;87.9;120.5;158.8;200.6;245.6;342.2;288.2;35.2;48.5;65.0;83.3;102.4;141.8
146;Deeltijd;114110;2008;675.0;85.1;119.0;157.9;197.9;237.0;321.8;296.8;33.3;47.2;64.4;82.5;100.0;136.9
147;Deeltijd;114110;2009;688.4;82.9;116.2;155.0;192.8;231.1;307.7;300.3;31.9;45.5;62.7;79.9;97.0;131.9
148;Deeltijd;122690;2006;223.0;36.2;48.5;63.4;79.6;96.0;125.0;78.4;11.5;15.5;20.3;25.8;31.5;42.3
149;Deeltijd;122690;2007;233.3;38.4;53.4;71.3;88.9;106.6;139.2;82.8;12.3;17.2;23.1;29.3;35.5;47.8
150;Deeltijd;122690;2008;238.3;36.0;52.5;71.8;90.1;109.3;144.2;84.7;11.5;16.8;23.3;29.7;36.4;49.7
151;Deeltijd;122690;2009;240.4;34.3;51.3;70.1;88.1;108.8;143.8;85.0;10.6;16.0;22.2;28.3;35.2;48.5
152;Deeltijd;123270;2006;167.4;14.3;18.0;22.0;27.9;34.4;47.0;86.2;5.0;6.4;8.0;10.4;13.2;18.9
153;Deeltijd;123270;2007;172.3;15.6;19.2;23.2;29.1;35.4;48.6;89.1;5.4;6.8;8.5;11.0;13.8;19.9
154;Deeltijd;123270;2008;166.5;15.6;19.6;23.7;29.7;35.9;48.6;84.3;5.2;6.7;8.5;11.1;13.8;19.8
155;Deeltijd;123270;2009;169.0;19.1;23.3;28.3;34.6;40.8;54.1;84.2;6.3;7.9;9.9;12.7;15.6;21.7
156;Deeltijd;124750;2006;96.7;3.5;4.4;5.3;6.3;7.5;10.4;60.5;1.4;1.8;2.2;2.6;3.2;4.6
157;Deeltijd;124750;2007;98.0;3.4;4.2;5.1;6.2;7.4;10.4;62.4;1.5;1.9;2.3;2.8;3.3;4.9
158;Deeltijd;124750;2008;94.0;2.9;3.6;4.4;5.3;6.5;9.3;60.2;1.2;1.5;1.9;2.3;2.9;4.4
159;Deeltijd;124750;2009;94.0;2.5;3.3;4.1;5.1;6.3;9.4;61.3;1.1;1.5;1.9;2.4;3.0;4.7
160;Deeltijd;125910;2006;761.8;85.9;116.7;157.3;221.9;262.2;330.4;355.0;30.9;42.9;58.7;84.0;101.0;130.9
161;Deeltijd;125910;2007;801.3;93.4;127.4;167.7;236.2;280.3;351.2;381.4;36.1;49.8;66.2;93.6;112.6;144.3
162;Deeltijd;125910;2008;816.1;81.7;116.5;154.6;203.0;258.6;340.0;395.9;32.8;47.2;63.2;83.5;107.2;143.7
163;Deeltijd;125910;2009;792.5;95.2;128.7;165.8;202.1;249.8;343.7;384.0;36.4;50.1;65.7;81.3;101.3;142.3
164;Deeltijd;129670;2006;148.1;5.5;6.0;6.5;7.1;8.1;10.3;98.1;2.2;2.5;2.7;3.1;3.6;4.9
165;Deeltijd;129670;2007;149.2;5.2;5.6;6.0;6.6;7.3;9.2;100.1;2.1;2.3;2.6;2.9;3.3;4.3
166;Deeltijd;129670;2008;147.8;3.8;4.1;4.4;4.9;5.6;7.6;100.2;1.7;1.8;2.0;2.3;2.7;3.8
167;Deeltijd;129670;2009;157.2;4.2;4.6;5.0;5.5;6.2;8.2;107.8;2.1;2.2;2.4;2.7;3.1;4.3
168;Deeltijd;130250;2006;273.9;7.6;8.5;9.7;11.5;14.4;23.4;161.3;2.8;3.2;3.6;4.4;5.8;10.0
169;Deeltijd;130250;2007;289.2;7.5;8.4;9.6;11.3;14.0;22.8;173.1;3.0;3.4;3.8;4.6;5.8;9.9
170;Deeltijd;130250;2008;293.5;6.8;7.8;9.3;11.2;13.9;22.0;174.1;2.7;3.1;3.7;4.5;5.7;9.4
171;Deeltijd;130250;2009;305.5;7.0;8.0;9.6;11.6;14.3;22.1;181.6;2.7;3.1;3.7;4.6;5.7;9.3
172;Deeltijd;131410;2006;849.9;35.7;47.9;64.1;84.0;108.0;162.0;477.1;16.8;22.5;30.1;39.9;52.0;79.9
173;Deeltijd;131410;2007;871.3;43.9;56.0;71.9;91.7;116.0;170.5;496.6;22.2;27.9;35.6;45.4;57.7;86.3
174;Deeltijd;131410;2008;868.2;41.1;51.7;65.8;84.9;107.4;162.7;494.0;21.6;26.6;33.6;43.2;54.7;83.8
175;Deeltijd;131410;2009;904.8;49.4;60.5;74.3;91.9;113.3;167.6;515.3;26.4;31.6;38.3;47.1;58.1;86.9
176;Deeltijd;134150;2006;180.8;19.5;25.2;31.9;39.1;46.4;60.1;84.1;7.6;10.0;12.9;16.1;19.3;25.3
177;Deeltijd;134150;2007;184.0;20.8;27.3;34.6;42.2;50.0;64.5;85.9;8.4;11.2;14.5;17.9;21.2;27.5
178;Deeltijd;134150;2008;185.9;20.8;27.0;34.3;42.3;49.9;64.7;85.7;8.2;10.9;14.0;17.5;20.8;27.3
179;Deeltijd;134150;2009;196.6;20.4;27.0;34.4;42.2;50.6;65.6;92.1;8.2;10.9;14.2;17.6;21.2;27.8
180;Arbeidsduur: minder dan 12 uur per week;100010;2006;1082.6;160.9;209.9;268.2;337.7;396.5;511.3;186.0;27.1;35.8;46.3;59.1;69.5;89.8
181;Arbeidsduur: minder dan 12 uur per week;100010;2007;1097.5;164.0;216.6;275.2;347.8;411.5;533.2;190.7;28.6;37.9;48.3;61.7;73.1;94.7
182;Arbeidsduur: minder dan 12 uur per week;100010;2008;1121.6;151.4;204.6;261.0;322.3;386.9;503.7;194.8;26.4;35.9;45.9;57.0;68.8;89.7
183;Arbeidsduur: minder dan 12 uur per week;100010;2009;1129.9;161.2;215.4;271.3;325.8;389.8;505.4;192.4;27.0;36.5;46.3;55.9;67.3;88.1
184;Arbeidsduur: minder dan 12 uur per week;100070;2006;32.7;5.6;7.3;9.5;11.6;13.8;18.1;5.3;0.9;1.1;1.5;1.9;2.2;2.9
185;Arbeidsduur: minder dan 12 uur per week;100070;2007;32.0;5.0;6.9;9.0;11.1;13.4;17.9;5.3;0.9;1.2;1.5;1.9;2.3;3.0
186;Arbeidsduur: minder dan 12 uur per week;100070;2008;30.1;4.4;6.1;7.8;9.7;12.0;16.1;4.9;0.7;1.0;1.3;1.6;2.0;2.7
187;Arbeidsduur: minder dan 12 uur per week;100070;2009;28.3;3.8;5.2;6.7;8.3;10.6;14.3;4.5;0.6;0.9;1.1;1.4;1.7;2.3
188;Arbeidsduur: minder dan 12 uur per week;101030;2006;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
189;Arbeidsduur: minder dan 12 uur per week;101030;2007;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
190;Arbeidsduur: minder dan 12 uur per week;101030;2008;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
