ID;ZwareMetalen;Perioden;TotaalBrutoBelasting_1;DierlijkeMest_2;Kunstmest_3;DepositieNeerslag_4;OverigeBronnen_5;TotaalAfvoerMetGewassen_6;TotaalAkkerbouwgewassen_7;Snijmais_8;Tarwe_9;Aardappelen_10;Suikerbieten_11;OverigeAkkerbouwgewassen_12;TotaalGraslandgewassen_13;Hooi_14;Kuilgras_15;Weidegras_16;TotaalTuinbouwgewassen_17;GroenteEnFruit_18;OverigeTuinbouwgewassen_19;NettoBelastingAanvoerMinusAfvoer_20
46;Cadmium (Cd);1996;6;3;2;1;0;3;1.0;0.3;0.1;0.3;0.3;0.0;1.6;0.1;0.7;0.9;0.0;0;0.0;3
47;Cadmium (Cd);1997;6;3;2;1;0;3;1.2;0.3;0.1;0.3;0.3;0.2;1.7;0.1;1.0;0.6;0.0;0;0.0;3
48;Cadmium (Cd);1998;6;3;2;1;0;3;0.9;0.3;0.1;0.2;0.3;0.0;1.6;0.1;0.9;0.7;0.0;0;0.0;3
49;Cadmium (Cd);1999;6;3;2;1;0;3;1.1;0.3;0.1;0.3;0.3;0.1;1.7;0.1;0.9;0.8;0.0;0;0.0;3
50;Cadmium (Cd);2000;6;3;2;1;0;3;1.0;0.3;0.1;0.3;0.3;0.0;1.6;0.1;0.9;0.7;0.0;0;0.0;3
51;Cadmium (Cd);2001;5;3;1;1;0;3;1.0;0.3;0.1;0.2;0.3;0.1;1.6;0.1;0.8;0.7;0.0;0;0.0;2
52;Cadmium (Cd);2002;5;3;1;1;0;3;1.0;0.3;0.1;0.3;0.3;0.0;1.7;0.1;1.0;0.6;0.0;0;0.0;2
53;Cadmium (Cd);2003;5;3;1;1;0;3;1.0;0.3;0.1;0.2;0.3;0.1;1.5;0.1;0.8;0.6;0.0;0;0.0;2
54;Cadmium (Cd);2004;4;3;1;1;0;3;1.0;0.3;0.1;0.3;0.3;0.0;1.7;0.1;1.0;0.6;0.0;0;0.0;1
55;Cadmium (Cd);2005;4;3;1;1;0;3;1.0;0.3;0.1;0.2;0.3;0.1;1.6;0.1;1.0;0.6;0.0;0;0.0;2
56;Cadmium (Cd);2006;5;3;2;1;0;3;0.9;0.3;0.1;0.2;0.2;0.1;1.6;0.1;0.8;0.8;0.0;0;0.0;2
57;Cadmium (Cd);2007;4;3;1;0;0;3;1.0;0.3;0.1;0.2;0.3;0.1;1.7;0.1;0.9;0.8;0.0;0;0.0;2
58;Cadmium (Cd);2008;5;3;1;1;0;3;1.0;0.4;0.1;0.2;0.2;0.1;1.7;0.0;1.0;0.7;0.0;0;0.0;2
59;Cadmium (Cd);2009;4;3;0;1;0;3;1.0;0.4;0.1;0.3;0.3;0.0;1.6;0.0;1.0;0.6;0.0;0;0.0;1
