ID;Geslacht;Onderwijssoorten;Perioden;TotaalLeerlingen_1;CumiLeerlingen_2;CumiLeerlingenIn_3;Achterstandsleerlingen_4;AchterstandsleerlingenIn_5;k_025Leerlingen_6;k_030Leerlingen_7;k_040Leerlingen_8;k_070Leerlingen_9;k_090Leerlingen_10;k_120Leerlingen_11;k_4JaarOfJonger_12;k_5Jaar_13;k_6Jaar_14;k_7Jaar_15;k_8Jaar_16;k_9Jaar_17;k_10Jaar_18;k_11Jaar_19;k_12Jaar_20;k_13Jaar_21;k_14JaarOfOuder_22
10;Totaal mannen en vrouwen;Totaal primair onderwijs;2001/'02;1604346;245462.0;15.0;420600.0;26.0;213704.0;;1079.0;3353.0;202464.0;;144828;190794;192081;194341;194820;197314;199470;195066;82884;12192;556
11;Totaal mannen en vrouwen;Totaal primair onderwijs;2002/'03;1602045;246177.0;15.0;402552.0;25.0;198086.0;;1109.0;3405.0;199952.0;;146561;194092;190529;191637;194024;194673;197060;195409;85019;12519;522
12;Totaal mannen en vrouwen;Totaal primair onderwijs;2003/'04;1599228;242715.0;15.0;384466.0;24.0;184115.0;;1342.0;3223.0;195786.0;;149517;196504;193774;190041;190994;193652;194183;192747;84564;12699;553
13;Totaal mannen en vrouwen;Totaal primair onderwijs;2004/'05;1599227;240715.0;15.0;367533.0;23.0;171263.0;;1306.0;3127.0;191837.0;;151652;200046;195965;193069;189220;190460;192982;189558;83345;12417;513
14;Totaal mannen en vrouwen;Totaal primair onderwijs;2005/'06;1597777;240168.0;15.0;350236.0;22.0;158923.0;;1336.0;3089.0;186888.0;;150239;201484;199044;194988;191970;188325;189398;187675;82106;12105;443
15;Totaal mannen en vrouwen;Totaal primair onderwijs;2006/'07;1595279;237106.0;15.0;320613.0;20.0;116983.0;39073.0;1231.0;2301.0;137460.0;23565.0;147635;199308;200649;198154;194000;191292;187541;184118;80395;11757;430
16;Totaal mannen en vrouwen;Totaal primair onderwijs;2007/'08;1597480;221293.0;14.0;279677.0;18.0;74803.0;68498.0;662.0;1376.0;89839.0;44499.0;147587;197160;198836;199878;197392;193267;190569;182247;78661;11501;382
17;Totaal mannen en vrouwen;Totaal primair onderwijs;2008/'09;1597387;200543.0;13.0;240214.0;15.0;37728.0;91061.0;391.0;702.0;47410.0;62922.0;142829;195442;196860;198386;199319;196902;192799;185132;78410;10975;333
18;Totaal mannen en vrouwen;Totaal primair onderwijs;2009/'10;1591744;182339.0;11.0;207027.0;13.0;;119651.0;;;;87376.0;138713;189721;195673;196519;198103;199347;196780;187600;78355;10649;284
19;Totaal mannen en vrouwen;Totaal primair onderwijs;2010/'11;1577750;;;196402.0;12.0;;111670.0;;;;84732.0;136750;183764;189670;195776;196056;197290;200549;193338;79581;4926;50
20;Totaal mannen en vrouwen;Totaal primair onderwijs;2011/'12;1559265;;;186547.0;12.0;;104229.0;;;;82318.0;134899;182205;183932;189438;195516;195828;197191;198009;77530;4667;50
21;Totaal mannen en vrouwen;Totaal primair onderwijs;2012/'13;1537934;;;173951.0;11.0;;95898.0;;;;78053.0;137796;179182;182230;183535;189075;195206;195532;194399;76412;4537;30
22;Totaal mannen en vrouwen;Totaal primair onderwijs;2013/'14;1514855;;;159969.0;11.0;;86653.0;;;;73316.0;137118;182201;179217;182026;183143;188698;194897;192404;70948;4160;43
23;Totaal mannen en vrouwen;Totaal primair onderwijs;2014/'15;1494424;;;147090.0;10.0;;78468.0;;;;68622.0;135155;182332;182521;179067;181928;183066;188510;191526;66581;3695;43
24;Totaal mannen en vrouwen;Basisonderwijs;1991/'92;1407760;161283.0;11.0;;;;;;;155939.0;;138131;183614;176635;171243;164638;163160;167899;166711;65062;9829;838
25;Totaal mannen en vrouwen;Basisonderwijs;1992/'93;1414665;165751.0;12.0;;;;;;;161938.0;;137534;184665;182547;174374;168746;162920;161991;164624;66228;10204;832
26;Totaal mannen en vrouwen;Basisonderwijs;1993/'94;1426533;177617.0;12.0;;;;;;;169825.0;;139029;184637;184093;180915;172618;167288;162240;158985;65219;10617;892
27;Totaal mannen en vrouwen;Basisonderwijs;1994/'95;1451055;186521.0;13.0;;;;;;;176051.0;;145584;188115;184202;182264;178840;170860;166360;159123;64352;10461;894
28;Totaal mannen en vrouwen;Basisonderwijs;1995/'96;1477052;197115.0;13.0;581524.0;39.0;395793.0;;1500.0;3870.0;180361.0;;147502;194934;187028;182051;179856;176751;169577;163097;65235;10202;819
29;Totaal mannen en vrouwen;Basisonderwijs;1996/'97;1501601;203485.0;14.0;555148.0;37.0;365760.0;;1475.0;3639.0;184274.0;;146124;196368;194036;185513;180410;178294;176023;166477;67028;10570;758
30;Totaal mannen en vrouwen;Basisonderwijs;1997/'98;1520196;210986.0;14.0;483208.0;32.0;289800.0;;1341.0;3630.0;188437.0;;144238;194394;195485;192407;183723;178672;177281;172777;69702;10774;743
31;Totaal mannen en vrouwen;Basisonderwijs;1998/'99;1533928;219451.0;14.0;465205.0;30.0;266627.0;;1300.0;3507.0;193771.0;;144532;192847;193882;194117;190881;182234;177957;174098;71432;11216;732
32;Totaal mannen en vrouwen;Basisonderwijs;1999/'00;1545148;227392.0;15.0;449651.0;29.0;246950.0;;1198.0;3430.0;198073.0;;141278;190577;191852;190679;190653;190690;188192;177734;72026;10873;594
33;Totaal mannen en vrouwen;Basisonderwijs;2000/'01;1546548;233053.0;15.0;433348.0;28.0;228164.0;;1132.0;3341.0;200711.0;;141462;190802;192065;190862;190825;190840;188323;177837;72064;10880;588
34;Totaal mannen en vrouwen;Basisonderwijs;2001/'02;1552490;236730.0;15.0;420600.0;27.0;213704.0;;1079.0;3353.0;202464.0;;144613;189973;190066;190271;188877;188655;189320;184292;74812;11069;542
35;Totaal mannen en vrouwen;Basisonderwijs;2002/'03;1549968;237087.0;15.0;402552.0;26.0;198086.0;;1109.0;3405.0;199952.0;;146318;193285;188573;187789;187878;186256;186617;184567;76633;11541;511
36;Totaal mannen en vrouwen;Basisonderwijs;2003/'04;1547729;233513.0;15.0;384466.0;25.0;184115.0;;1342.0;3223.0;195786.0;;149292;195714;191840;186374;185274;185183;184167;181666;76050;11633;536
37;Totaal mannen en vrouwen;Basisonderwijs;2004/'05;1549139;231469.0;15.0;367533.0;24.0;171263.0;;1306.0;3127.0;191837.0;;151406;199261;194128;189528;183683;182562;183109;178914;74670;11379;499
38;Totaal mannen en vrouwen;Basisonderwijs;2005/'06;1549459;230923.0;15.0;350236.0;23.0;158923.0;;1336.0;3089.0;186888.0;;149982;200614;197176;191518;186695;180785;180221;177295;73719;11021;433
39;Totaal mannen en vrouwen;Basisonderwijs;2006/'07;1548969;228324.0;15.0;320613.0;21.0;116983.0;39073.0;1231.0;2301.0;137460.0;23565.0;147398;198547;198781;194823;188825;184123;178747;174384;72250;10682;409
40;Totaal mannen en vrouwen;Basisonderwijs;2007/'08;1552548;212741.0;14.0;279677.0;18.0;74803.0;68498.0;662.0;1376.0;89839.0;44499.0;147342;196306;197101;196570;192247;186273;182165;172904;70879;10398;363
41;Totaal mannen en vrouwen;Basisonderwijs;2008/'09;1553332;192222.0;12.0;240214.0;15.0;37728.0;91061.0;391.0;702.0;47410.0;62922.0;142563;194581;195091;195280;194200;189822;184445;176127;70928;9983;312
42;Totaal mannen en vrouwen;Basisonderwijs;2009/'10;1548419;173962.0;11.0;207027.0;13.0;;119651.0;;;;87376.0;138460;188850;193899;193540;193320;192300;188335;178611;71035;9792;277
43;Totaal mannen en vrouwen;Basisonderwijs;2010/'11;1534929;;;196402.0;13.0;;111670.0;;;;84732.0;136507;182856;187928;192678;191493;190751;192105;184237;72300;4029;45
44;Totaal mannen en vrouwen;Basisonderwijs;2011/'12;1517497;;;186547.0;12.0;;104229.0;;;;82318.0;134617;181253;182143;186521;190940;189595;189304;188907;70332;3841;33
45;Totaal mannen en vrouwen;Basisonderwijs;2012/'13;1498008;;;173951.0;12.0;;95898.0;;;;78053.0;137493;178253;180428;180536;184888;189199;188101;185940;69393;3748;28
46;Totaal mannen en vrouwen;Basisonderwijs;2013/'14;1476722;;;159969.0;11.0;;86653.0;;;;73316.0;136810;181136;177571;179099;178920;183121;187723;184368;64520;3414;40
47;Totaal mannen en vrouwen;Basisonderwijs;2014/'15;1457578;;;147090.0;10.0;;78468.0;;;;68622.0;134799;181302;180686;176302;177765;177519;181831;183792;60463;3079;40
48;Totaal mannen en vrouwen;Speciaal basisonderwijs;1991/'92;55431;6429.0;12.0;;;;;;;;;330;843;2112;4324;6570;8953;10573;10887;8708;2063;68
49;Totaal mannen en vrouwen;Speciaal basisonderwijs;1992/'93;55647;6761.0;12.0;;;;;;;;;270;883;2221;4338;6716;8876;10260;11128;8950;1933;72
50;Totaal mannen en vrouwen;Speciaal basisonderwijs;1993/'94;56385;7154.0;13.0;;;;;;;;;284;961;2394;4500;6904;9112;10182;10805;9177;2000;66
51;Totaal mannen en vrouwen;Speciaal basisonderwijs;1994/'95;57090;7385.0;13.0;;;;;;;;;331;949;2417;4718;7173;9416;10499;10715;8829;1997;46
52;Totaal mannen en vrouwen;Speciaal basisonderwijs;1995/'96;57501;7694.0;13.0;;;;;;;;;333;1024;2375;4574;7275;9595;10889;10948;8586;1859;43
53;Totaal mannen en vrouwen;Speciaal basisonderwijs;1996/'97;55575;7696.0;14.0;;;;;;;;;327;995;2232;4096;6405;9244;10611;11185;8687;1751;42
54;Totaal mannen en vrouwen;Speciaal basisonderwijs;1997/'98;54635;7818.0;14.0;;;;;;;;;289;1002;2282;4124;6115;8676;10487;11078;8897;1639;46
55;Totaal mannen en vrouwen;Speciaal basisonderwijs;1998/'99;53611;7983.0;15.0;;;;;;;;;330;980;2332;4239;6233;8342;9954;10942;8652;1581;26
56;Totaal mannen en vrouwen;Speciaal basisonderwijs;1999/'00;52120;8038.0;15.0;;;;;;;;;253;903;2160;4204;6175;8379;9702;10386;8564;1373;21
57;Totaal mannen en vrouwen;Speciaal basisonderwijs;2000/'01;51558;8433.0;16.0;;;;;;;;;233;854;2100;3964;6218;8462;10057;10280;8138;1235;17
58;Totaal mannen en vrouwen;Speciaal basisonderwijs;2001/'02;51856;8732.0;17.0;;;;;;;;;215;821;2015;4070;5943;8659;10150;10774;8072;1123;14
59;Totaal mannen en vrouwen;Speciaal basisonderwijs;2002/'03;52077;9090.0;17.0;;;;;;;;;243;807;1956;3848;6146;8417;10443;10842;8386;978;11
60;Totaal mannen en vrouwen;Speciaal basisonderwijs;2003/'04;51499;9202.0;18.0;;;;;;;;;225;790;1934;3667;5720;8469;10016;11081;8514;1066;17
61;Totaal mannen en vrouwen;Speciaal basisonderwijs;2004/'05;50088;9246.0;18.0;;;;;;;;;246;785;1837;3541;5537;7898;9873;10644;8675;1038;14
62;Totaal mannen en vrouwen;Speciaal basisonderwijs;2005/'06;48318;9245.0;19.0;;;;;;;;;257;870;1868;3470;5275;7540;9177;10380;8387;1084;10
63;Totaal mannen en vrouwen;Speciaal basisonderwijs;2006/'07;46310;8782.0;19.0;;;;;;;;;237;761;1868;3331;5175;7169;8794;9734;8145;1075;21
64;Totaal mannen en vrouwen;Speciaal basisonderwijs;2007/'08;44932;8552.0;19.0;;;;;;;;;245;854;1735;3308;5145;6994;8404;9343;7782;1103;19
65;Totaal mannen en vrouwen;Speciaal basisonderwijs;2008/'09;44055;8321.0;19.0;;;;;;;;;266;861;1769;3106;5119;7080;8354;9005;7482;992;21
66;Totaal mannen en vrouwen;Speciaal basisonderwijs;2009/'10;43325;8377.0;19.0;;;;;;;;;253;871;1774;2979;4783;7047;8445;8989;7320;857;7
67;Totaal mannen en vrouwen;Speciaal basisonderwijs;2010/'11;42821;;;;;;;;;;;243;908;1742;3098;4563;6539;8444;9101;7281;897;5
68;Totaal mannen en vrouwen;Speciaal basisonderwijs;2011/'12;41768;;;;;;;;;;;282;952;1789;2917;4576;6233;7887;9102;7198;826;6
69;Totaal mannen en vrouwen;Speciaal basisonderwijs;2012/'13;39926;;;;;;;;;;;303;929;1802;2999;4187;6007;7431;8459;7019;789;1
70;Totaal mannen en vrouwen;Speciaal basisonderwijs;2013/'14;38133;;;;;;;;;;;308;1065;1646;2927;4223;5577;7174;8036;6428;746;3
71;Totaal mannen en vrouwen;Speciaal basisonderwijs;2014/'15;36846;;;;;;;;;;;356;1030;1835;2765;4163;5547;6679;7734;6118;616;3
72;Mannen;Totaal primair onderwijs;1991/'92;748959;;;;;;;;;78757.0;;70958;93703;90916;89597;87131;87652;90652;90495;40262;7093;500
73;Mannen;Totaal primair onderwijs;1992/'93;752480;;;;;;;;;81748.0;;70268;94919;93705;90888;89553;87425;87678;89469;40942;7137;496
74;Mannen;Totaal primair onderwijs;1993/'94;759320;;;;;;;;;85993.0;;71010;94647;95456;94001;91269;90047;87683;86707;40585;7394;521
75;Mannen;Totaal primair onderwijs;1994/'95;772501;;;;;;;;;89459.0;;74623;96394;95139;95672;94329;91734;90228;86709;39953;7235;485
76;Mannen;Totaal primair onderwijs;1995/'96;787009;;;292636.0;37.0;198069.0;;748.0;1849.0;91970.0;;75750;100306;96618;95138;95778;94615;91785;89140;40303;7103;473
77;Mannen;Totaal primair onderwijs;1996/'97;798791;;;279418.0;35.0;183074.0;;749.0;1751.0;93844.0;;75264;101053;100519;96672;95190;95990;94742;90557;41227;7152;425
78;Mannen;Totaal primair onderwijs;1997/'98;807656;;;242907.0;30.0;144488.0;;685.0;1779.0;95955.0;;74031;100197;101140;100519;96704;95465;95999;93603;42449;7137;412
79;Mannen;Totaal primair onderwijs;1998/'99;815196;;;234097.0;29.0;132838.0;;670.0;1746.0;98843.0;;74361;99254;100590;101313;100817;96997;95684;94830;43552;7383;415
80;Mannen;Totaal primair onderwijs;1999/'00;820870;;;226400.0;28.0;122972.0;;609.0;1692.0;101127.0;;73061;98345;99371;99728;100571;101520;100979;96064;43777;7110;344
81;Mannen;Totaal primair onderwijs;2000/'01;821032;;;218185.0;27.0;113471.0;;564.0;1665.0;102485.0;;73132;98418;99447;99535;100753;101608;101294;95942;43554;7009;340
82;Mannen;Totaal primair onderwijs;2001/'02;824002;;;211540.0;26.0;106317.0;;523.0;1675.0;103025.0;;74333;98152;98423;99404;99354;100778;101557;99795;44890;7009;307
83;Mannen;Totaal primair onderwijs;2002/'03;822635;;;202400.0;25.0;98584.0;;550.0;1679.0;101587.0;;75327;99453;97809;98047;99105;99201;100531;99645;46067;7172;278
84;Mannen;Totaal primair onderwijs;2003/'04;822490;;;193469.0;24.0;91819.0;;684.0;1538.0;99428.0;;77301;101009;99167;97488;97658;98979;99015;98612;45708;7246;307
85;Mannen;Totaal primair onderwijs;2004/'05;821396;;;184495.0;22.0;85263.0;;665.0;1508.0;97059.0;;77890;102959;100480;98592;96869;97180;98403;96709;44981;7055;278
86;Mannen;Totaal primair onderwijs;2005/'06;819050;;;175508.0;21.0;78996.0;;666.0;1495.0;94351.0;;76671;103119;102135;99760;97850;96188;96445;95822;44009;6814;237
87;Mannen;Totaal primair onderwijs;2006/'07;816275;;;160313.0;20.0;57787.0;19833.0;615.0;1091.0;69038.0;11949.0;75511;101568;102443;101350;98956;97209;95558;93740;43097;6610;233
88;Mannen;Totaal primair onderwijs;2007/'08;816969;;;139599.0;17.0;36825.0;34314.0;328.0;638.0;45073.0;22421.0;75457;100792;101206;101876;100783;98397;96635;92950;42174;6497;202
89;Mannen;Totaal primair onderwijs;2008/'09;815496;;;119667.0;15.0;18559.0;45341.0;190.0;318.0;23627.0;31632.0;72891;99661;100432;100748;101330;100182;97881;93901;42072;6221;177
90;Mannen;Totaal primair onderwijs;2009/'10;810471;;;103037.0;13.0;;59374.0;;;;43663.0;70760;96576;99452;99947;100314;100874;99611;95164;41640;5978;155
91;Mannen;Totaal primair onderwijs;2010/'11;802287;;;97493.0;12.0;;55311.0;;;;42182.0;69623;93415;96133;99396;99359;99664;101049;97779;43057;2785;27
92;Mannen;Totaal primair onderwijs;2011/'12;792450;;;92505.0;12.0;;51491.0;;;;41014.0;68301;92888;93465;95921;99092;99091;99480;99586;41948;2657;21
93;Mannen;Totaal primair onderwijs;2012/'13;781900;;;86141.0;11.0;;47366.0;;;;38775.0;70240;90898;92870;93143;95599;98797;98802;97996;41036;2502;17
94;Mannen;Totaal primair onderwijs;2013/'14;770514;;;79253.0;10.0;;42918.0;;;;36335.0;69701;92862;90902;92694;92805;95260;98475;97157;38367;2269;22
95;Mannen;Totaal primair onderwijs;2014/'15;759712;;;72723.0;10.0;;38746.0;;;;33977.0;68447;92778;92960;90676;92442;92623;94992;96703;36055;2011;25
96;Mannen;Basisonderwijs;1991/'92;711025;;;;;;;;;78757.0;;70706;93083;89428;86702;82682;81517;83526;83032;34267;5631;451
97;Mannen;Basisonderwijs;1992/'93;714486;;;;;;;;;81748.0;;70073;94271;92120;87926;85030;81411;80659;81988;34810;5754;444
98;Mannen;Basisonderwijs;1993/'94;720817;;;;;;;;;85993.0;;70799;93929;93715;90931;86528;83884;80805;79372;34387;5991;476
99;Mannen;Basisonderwijs;1994/'95;733538;;;;;;;;;89459.0;;74394;95693;93355;92412;89439;85319;83123;79486;33965;5892;460
100;Mannen;Basisonderwijs;1995/'96;747828;;;292636.0;39.0;198069.0;;748.0;1849.0;91970.0;;75496;99577;94913;91948;90803;88112;84421;81789;34511;5809;449
101;Mannen;Basisonderwijs;1996/'97;760896;;;279418.0;37.0;183074.0;;749.0;1751.0;93844.0;;75014;100323;98913;93833;90772;89676;87559;83010;35414;5981;401
102;Mannen;Basisonderwijs;1997/'98;770291;;;242907.0;32.0;144488.0;;685.0;1779.0;95955.0;;73817;99441;99490;97641;92487;89511;88916;86125;36458;6020;385
103;Mannen;Basisonderwijs;1998/'99;778611;;;234097.0;30.0;132838.0;;670.0;1746.0;98843.0;;74120;98537;98902;98407;96503;91315;88911;87470;37732;6318;396
104;Mannen;Basisonderwijs;1999/'00;785261;;;226400.0;29.0;122972.0;;609.0;1692.0;101127.0;;72864;97682;97843;96745;96360;95818;94443;89009;38004;6164;329
105;Mannen;Basisonderwijs;2000/'01;785953;;;218185.0;28.0;113471.0;;564.0;1665.0;102485.0;;72961;97790;97951;96835;96446;95889;94505;89057;38023;6169;327
106;Mannen;Basisonderwijs;2001/'02;788965;;;211540.0;27.0;106317.0;;523.0;1675.0;103025.0;;74175;97527;96987;96625;95380;94869;94791;92570;39495;6248;298
107;Mannen;Basisonderwijs;2002/'03;787636;;;202400.0;26.0;98584.0;;550.0;1679.0;101587.0;;75135;98846;96379;95425;94983;93606;93589;92465;40429;6510;269
108;Mannen;Basisonderwijs;2003/'04;788017;;;193469.0;25.0;91819.0;;684.0;1538.0;99428.0;;77152;100406;97751;94968;93788;93343;92443;91279;40077;6515;295
109;Mannen;Basisonderwijs;2004/'05;787952;;;184495.0;23.0;85263.0;;665.0;1508.0;97059.0;;77719;102390;99124;96122;93087;91977;91887;89773;39247;6356;270
110;Mannen;Basisonderwijs;2005/'06;786836;;;175508.0;22.0;78996.0;;666.0;1495.0;94351.0;;76472;102519;100777;97325;94261;91121;90439;89006;38597;6090;229
111;Mannen;Basisonderwijs;2006/'07;785375;;;160313.0;20.0;57787.0;19833.0;615.0;1091.0;69038.0;11949.0;75345;100990;101147;98995;95390;92458;89722;87423;37768;5917;220
112;Mannen;Basisonderwijs;2007/'08;787003;;;139599.0;18.0;36825.0;34314.0;328.0;638.0;45073.0;22421.0;75278;100180;99974;99625;97262;93669;91126;86786;37154;5756;193
113;Mannen;Basisonderwijs;2008/'09;786161;;;119667.0;15.0;18559.0;45341.0;190.0;318.0;23627.0;31632.0;72707;99043;99166;98606;97919;95470;92326;88069;37126;5565;164
114;Mannen;Basisonderwijs;2009/'10;781862;;;103037.0;13.0;;59374.0;;;;43663.0;70579;95930;98215;97898;97110;96274;94099;89242;36947;5417;151
115;Mannen;Basisonderwijs;2010/'11;774161;;;97493.0;13.0;;55311.0;;;;42182.0;69464;92746;94904;97269;96332;95374;95626;91880;38319;2223;24
116;Mannen;Basisonderwijs;2011/'12;765086;;;92505.0;12.0;;51491.0;;;;41014.0;68091;92220;92170;93913;96012;95065;94352;93811;37325;2110;16
117;Mannen;Basisonderwijs;2012/'13;755816;;;86141.0;11.0;;47366.0;;;;38775.0;70021;90226;91609;91070;92776;94843;94079;92526;36652;1998;15
118;Mannen;Basisonderwijs;2013/'14;745480;;;79253.0;11.0;;42918.0;;;;36335.0;69489;92080;89728;90673;89961;91564;93836;92058;34249;1822;20
119;Mannen;Basisonderwijs;2014/'15;735431;;;72723.0;10.0;;38746.0;;;;33977.0;68177;92032;91647;88755;89632;88972;90654;91716;32202;1621;23
120;Mannen;Speciaal basisonderwijs;1991/'92;37934;4161.0;11.0;;;;;;;;;252;620;1488;2895;4449;6135;7126;7463;5995;1462;49
121;Mannen;Speciaal basisonderwijs;1992/'93;37994;4319.0;11.0;;;;;;;;;195;648;1585;2962;4523;6014;7019;7481;6132;1383;52
122;Mannen;Speciaal basisonderwijs;1993/'94;38503;4663.0;12.0;;;;;;;;;211;718;1741;3070;4741;6163;6878;7335;6198;1403;45
123;Mannen;Speciaal basisonderwijs;1994/'95;38963;4856.0;12.0;;;;;;;;;229;701;1784;3260;4890;6415;7105;7223;5988;1343;25
124;Mannen;Speciaal basisonderwijs;1995/'96;39181;5075.0;13.0;;;;;;;;;254;729;1705;3190;4975;6503;7364;7351;5792;1294;24
125;Mannen;Speciaal basisonderwijs;1996/'97;37895;5077.0;13.0;;;;;;;;;250;730;1606;2839;4418;6314;7183;7547;5813;1171;24
126;Mannen;Speciaal basisonderwijs;1997/'98;37365;5155.0;14.0;;;;;;;;;214;756;1650;2878;4217;5954;7083;7478;5991;1117;27
127;Mannen;Speciaal basisonderwijs;1998/'99;36585;5282.0;14.0;;;;;;;;;241;717;1688;2906;4314;5682;6773;7360;5820;1065;19
128;Mannen;Speciaal basisonderwijs;1999/'00;35609;5301.0;15.0;;;;;;;;;197;663;1528;2983;4211;5702;6536;7055;5773;946;15
129;Mannen;Speciaal basisonderwijs;2000/'01;35079;5547.0;16.0;;;;;;;;;171;628;1496;2700;4307;5719;6789;6885;5531;840;13
130;Mannen;Speciaal basisonderwijs;2001/'02;35037;5634.0;16.0;;;;;;;;;158;625;1436;2779;3974;5909;6766;7225;5395;761;9
131;Mannen;Speciaal basisonderwijs;2002/'03;34999;5850.0;17.0;;;;;;;;;192;607;1430;2622;4122;5595;6942;7180;5638;662;9
132;Mannen;Speciaal basisonderwijs;2003/'04;34473;5955.0;17.0;;;;;;;;;149;603;1416;2520;3870;5636;6572;7333;5631;731;12
133;Mannen;Speciaal basisonderwijs;2004/'05;33444;6027.0;18.0;;;;;;;;;171;569;1356;2470;3782;5203;6516;6936;5734;699;8
134;Mannen;Speciaal basisonderwijs;2005/'06;32214;5978.0;19.0;;;;;;;;;199;600;1358;2435;3589;5067;6006;6816;5412;724;8
135;Mannen;Speciaal basisonderwijs;2006/'07;30900;5699.0;18.0;;;;;;;;;166;578;1296;2355;3566;4751;5836;6317;5329;693;13
136;Mannen;Speciaal basisonderwijs;2007/'08;29966;5627.0;19.0;;;;;;;;;179;612;1232;2251;3521;4728;5509;6164;5020;741;9
137;Mannen;Speciaal basisonderwijs;2008/'09;29335;5445.0;19.0;;;;;;;;;184;618;1266;2142;3411;4712;5555;5832;4946;656;13
138;Mannen;Speciaal basisonderwijs;2009/'10;28609;5428.0;19.0;;;;;;;;;181;646;1237;2049;3204;4600;5512;5922;4693;561;4
139;Mannen;Speciaal basisonderwijs;2010/'11;28126;;;;;;;;;;;159;669;1229;2127;3027;4290;5423;5899;4738;562;3
140;Mannen;Speciaal basisonderwijs;2011/'12;27364;;;;;;;;;;;210;668;1295;2008;3080;4026;5128;5775;4623;547;4
141;Mannen;Speciaal basisonderwijs;2012/'13;26084;;;;;;;;;;;219;672;1261;2073;2823;3954;4723;5470;4384;504;1
142;Mannen;Speciaal basisonderwijs;2013/'14;25034;;;;;;;;;;;212;782;1174;2021;2844;3696;4639;5099;4118;447;2
143;Mannen;Speciaal basisonderwijs;2014/'15;24281;;;;;;;;;;;270;746;1313;1921;2810;3651;4338;4987;3853;390;2
144;Vrouwen;Totaal primair onderwijs;1991/'92;714232;;;;;;;;;77182.0;;67503;90754;87831;85970;84077;84461;87820;87103;33508;4799;406
145;Vrouwen;Totaal primair onderwijs;1992/'93;717832;;;;;;;;;80190.0;;67536;90629;91063;87824;85909;84371;84573;86283;34236;5000;408
146;Vrouwen;Totaal primair onderwijs;1993/'94;723598;;;;;;;;;83832.0;;68303;90951;91031;91414;88253;86353;84739;83083;33811;5223;437
147;Vrouwen;Totaal primair onderwijs;1994/'95;735644;;;;;;;;;86592.0;;71292;92670;91480;91310;91684;88542;86631;83129;33228;5223;455
148;Vrouwen;Totaal primair onderwijs;1995/'96;747544;;;288888.0;39.0;197724.0;;752.0;2021.0;88391.0;;72085;95652;92785;91487;91353;91731;88681;84905;33518;4958;389
149;Vrouwen;Totaal primair onderwijs;1996/'97;758385;;;275730.0;36.0;182686.0;;726.0;1888.0;90430.0;;71187;96310;95749;92937;91625;91548;91892;87105;34488;5169;375
