ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;Superbenzine_28;SuperLoodvrij_29;EuroLoodvrij_30;Mengbenzine_31;Diesel_32;AutogasLpg_33;Motorolie_34;Zoetwaren_35;Ijs_36;Dranken_37;Snacks_38;TabakED_39;OverigeVoedingsmiddelen_40;TijdschriftenEnKranten_41;AudiovisueleProducten_42;Bloemen_43;AccessoiresOnderdelenEnBanden_44;OverigeArtikelen_45;OverigeHandelsactiviteiten_46;ReparatiesInclGebruikteOnderdelen_47;Verhuur_48;Autowassen_49;OverigeDienstverlening_50;OntvangstenVoorUitleenEnSubsidie_51;TotaalPersoneelskosten_52;BrutoLonenEnSalarissen_53;SocialeLasten_54;Pensioenpremies_55;KostenUitzendkrachten_56;KostenIngeleendPersoneel_57;OverigePersoneelskosten_58;TotaalOverigeBedrijfslasten_59;TotaalHuisvestingskosten_60;BetaaldeHurenPachtenEDVanLeasing_61;OnroerendeZaakbelastingMilieuheffing_62;Energiekosten_63;ReparatieEnOnderhoudskosten_64;Verzekeringen_65;OverigeHuisvestingskosten_66;TotaalInventarisEnMachinekosten_67;BetaaldeHurenEnKostenVanOperLease_68;Onderhoudskosten_69;OverigeInventarisEnMachinekosten_70;TotaalAutokosten_71;BetaaldeHurenEnKostenVanOperLease_72;Brandstof_73;OverigeAutokosten_74;TotaalVerkoopkosten_75;ReclameEnAdvertentiekosten_76;ReisVerblijfsEnRepresentatiekosten_77;OverigeVerkoopkosten_78;TotaalAndereKosten_79;AccountantsEnAdviesdiensten_80;KantoorbenodigdhDrukwerkVakliteratuur_81;OverigeVerzekeringen_82;OverigeKostprijsverhogendeBelastingen_83;Communicatiekosten_84;Beheerskosten_85;OverigeAutomatiseringskosten_86;NogNietEerderGenoemdeBedrijfskosten_87;TotaalAantalWerkzamePersonen_88;WerknemersOpDeLoonlijst_89;WerknemersNietOpLoonlijst_90;OverigPersoneel_91;AantalVte_92;TotaalInvesteringen_93;TotaalMaterieleVasteActiva_94;Bedrijfsruimten_95;Vervoermiddelen_96;Computers_97;OverigeMachinesApparatenED_98;OverigeMaterieleVasteActiva_99;TotaalImmaterieleVasteActiva_100
10;750 000 tot 1 500 000 euro;1998;3.0;365;364;2;362;1;349;94.8;1.5;0.8;3.0;11;4;1;0;3;3;16;0;16;9.1;4.1;4.3;0.4;;;364;8.6;6.5;45.2;0.3;20.1;7.0;0.3;1.2;0.3;0.6;0.1;6.5;0.5;0.3;0.0;0.2;0.8;0.8;0.1;0.4;0.1;0.1;0.0;2.7;5;85.2;12.4;0.3;0.8;0.3;3.7;11;4;;;;;;;1;;;;0;;;;3;;;;3;;;;;;;;;10;50.7;49.3;0.0;8;1;100.0;6.4;45.5;3.1;34.2;10.9;0.0
11;750 000 tot 1 500 000 euro;1999;2.0;217;216;3;213;1;208;94.2;2.0;0.6;3.2;7;2;0;0;2;2;9;0;9;9.2;3.9;4.1;3.5;;;216;7.2;7.0;49.0;0.3;18.9;3.4;0.4;1.2;0.1;0.7;0.1;7.6;0.0;0.4;0.0;0.2;1.0;0.7;0.4;1.1;0.0;0.0;0.1;2.5;4;85.4;13.4;0.7;0.0;0.0;3.1;7;2;;;;;;;0;;;;0;;;;2;;;;2;;;;;;;;;5;43.9;56.1;0.0;4;8;100.0;50.3;2.4;1.5;2.4;43.4;0.0
12;1 500 000 tot 3 000 000 euro;1996;5.5;1166;1163;12;1151;3;1122;91.9;3.2;0.8;4.0;45;15;2;2;12;14;44;-4;40;11.4;3.4;3.4;0.4;529.3;22.0;1163;9.4;9.5;41.8;0.5;18.6;4.9;0.4;1.7;0.2;0.9;0.1;8.4;0.4;0.5;0.1;0.2;0.7;0.8;0.1;0.3;0.1;0.4;0.1;1.3;36;86.7;8.4;1.6;1.0;0.2;3.4;45;15;55.9;1.6;26.1;8.3;1.6;6.5;2;4.3;85.5;10.2;2;2.1;11.0;86.8;12;47.6;4.9;47.5;14;30.6;6.3;7.3;1.0;9.3;18.2;3.4;24.0;32;82.6;16.0;1.4;22;5;94.1;35.1;24.3;5.6;17.4;11.7;5.9
13;1 500 000 tot 3 000 000 euro;1997;6.4;1327;1324;17;1307;3;1294;91.8;3.4;1.1;3.8;49;16;2;1;16;13;32;1;33;10.3;2.2;2.5;1.6;571.9;23.6;1324;7.8;9.4;45.5;0.4;18.1;4.9;0.4;1.6;0.2;0.8;0.2;7.3;0.1;0.4;0.1;0.2;0.7;0.5;0.1;0.4;0.0;0.6;0.3;1.0;44;87.9;8.0;1.4;0.5;0.3;2.9;49;16;55.9;1.9;26.2;8.3;1.9;5.6;2;3.2;89.9;6.8;1;2.1;21.2;76.7;16;37.4;3.2;59.3;13;33.6;7.0;6.5;1.5;9.7;15.2;1.0;25.5;32;85.4;14.4;0.3;23;21;99.9;83.6;0.9;0.5;11.8;3.2;0.1
14;1 500 000 tot 3 000 000 euro;1998;5.4;1159;1151;13;1138;8;1125;92.4;3.1;0.9;3.6;41;13;2;2;14;10;34;0;34;9.8;2.6;2.9;0.8;;;1151;6.8;8.9;46.2;0.3;18.8;4.1;0.4;1.7;0.1;1.0;0.3;8.1;0.0;0.4;0.1;0.2;0.7;0.7;0.1;0.4;0.0;0.7;0.1;1.4;35;84.8;10.7;1.4;0.5;1.4;2.6;41;13;;;;;;;2;;;;2;;;;14;;;;10;;;;;;;;;29;82.0;17.1;0.8;22;10;98.1;30.9;9.6;0.9;24.6;32.0;1.9
15;1 500 000 tot 3 000 000 euro;1999;6.0;1257;1253;15;1237;4;1227;91.9;3.1;0.9;4.0;49;17;2;2;16;13;30;-2;28;9.9;2.0;2.3;1.1;;;1253;6.2;8.6;44.0;0.3;21.3;3.9;0.5;1.7;0.2;1.1;0.4;8.0;0.1;0.5;0.1;0.2;0.8;1.0;0.1;0.4;0.0;0.0;0.1;1.9;38;81.5;12.3;1.9;3.5;0.1;2.7;49;17;;;;;;;2;;;;2;;;;16;;;;13;;;;;;;;;31;74.9;19.3;5.8;20;14;99.8;49.1;11.6;2.1;34.4;2.5;0.2
16;3 000 000 euro en meer;1996;4.5;3413;3408;38;3370;5;3350;91.0;3.8;0.4;4.8;159;58;5;4;39;54;63;-3;60;10.5;1.7;1.7;0.5;613.4;23.9;3408;7.9;8.8;41.5;0.2;22.6;4.9;0.4;1.6;0.2;1.2;0.7;6.4;0.1;0.4;0.1;0.2;0.5;0.7;0.4;0.3;0.1;0.7;0.1;0.7;128;83.5;7.6;2.1;2.3;1.2;4.1;159;58;69.0;2.0;15.6;5.9;1.3;6.2;5;23.0;60.4;16.7;4;21.9;17.2;60.9;39;25.6;2.4;72.0;54;10.1;3.9;2.8;0.2;5.5;56.1;1.5;20.0;81;95.8;2.5;1.7;56;18;97.1;35.4;11.2;1.3;36.2;13.0;2.9
17;3 000 000 euro en meer;1997;4.1;3637;3630;32;3597;7;3587;90.8;4.1;0.4;4.8;171;62;4;4;45;57;49;-3;46;10.3;1.3;1.3;0.2;598.8;24.4;3630;6.4;8.1;42.0;0.4;23.5;4.9;0.4;1.5;0.3;1.5;0.9;6.6;0.1;0.4;0.1;0.2;0.5;0.8;0.5;0.1;0.0;0.4;0.3;0.9;146;83.3;7.5;1.8;2.3;0.9;5.1;171;62;68.4;1.8;16.9;5.5;0.7;6.7;4;20.7;55.3;24.0;4;23.7;18.6;57.7;45;18.2;2.6;79.3;57;11.7;3.6;2.9;0.1;6.2;56.6;2.1;16.8;88;97.5;1.5;1.0;61;9;99.8;20.8;10.7;2.4;55.0;10.9;0.2
18;3 000 000 euro en meer;1998;4.4;4020;4012;38;3974;8;3967;90.7;4.1;0.4;4.7;187;65;5;4;50;63;52;-6;46;10.3;1.2;1.2;0.3;;;4012;5.0;7.3;43.9;0.4;22.9;4.3;0.5;1.6;0.3;1.5;1.1;7.3;0.2;0.5;0.1;0.2;0.5;0.8;0.6;0.1;0.0;0.5;0.3;0.9;164;78.8;10.3;2.4;4.6;0.6;4.2;187;65;;;;;;;5;;;;4;;;;50;;;;63;;;;;;;;;91;95.9;2.0;2.1;65;12;87.6;12.4;20.0;1.3;26.7;27.3;12.4
19;3 000 000 euro en meer;1999;4.5;4658;4651;34;4616;7;4596;90.8;4.0;0.4;4.9;225;83;5;6;60;71;62;-5;57;10.3;1.2;1.2;0.6;;;4651;3.5;6.6;44.1;0.4;24.8;4.3;0.4;1.5;0.3;1.5;1.4;7.2;0.3;0.5;0.1;0.2;0.6;1.1;0.5;0.1;0.0;0.1;0.1;0.6;182;78.2;10.7;2.8;4.1;0.2;4.5;225;83;;;;;;;5;;;;6;;;;60;;;;71;;;;;;;;;98;96.4;1.9;1.7;69;29;93.0;45.2;6.4;1.3;28.1;12.0;7.0
