ID;BedrijfstakkenBranchesSBI2008;Bedrijfsgrootte;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5
90;R Cultuur, sport en recreatie;Totaal werkzame personen;3.7;49.5;29.34;24.72;1687.0
91;R Cultuur, sport en recreatie;1 tot 10 werkzame personen;0.8;42.8;24.96;21.38;1714.0
92;R Cultuur, sport en recreatie;10 tot 100 werkzame personen;1.6;47.3;28.06;23.58;1684.0
93;R Cultuur, sport en recreatie;100 tot 500 werkzame personen;0.9;59.1;35.36;29.6;1672.0
94;R Cultuur, sport en recreatie;500 of meer werkzame personen;0.4;56.2;33.84;28.04;1661.0
95;S Overige dienstverlening;Totaal werkzame personen;4.9;49.6;30.28;25.3;1637.0
96;S Overige dienstverlening;1 tot 10 werkzame personen;1.3;38.8;23.69;20.09;1639.0
97;S Overige dienstverlening;10 tot 100 werkzame personen;1.6;50.8;31.14;25.9;1631.0
98;S Overige dienstverlening;100 tot 500 werkzame personen;1.1;59.9;36.24;30.12;1652.0
99;S Overige dienstverlening;500 of meer werkzame personen;0.9;56.9;34.96;28.78;1627.0
