ID;Vervoerwijzen;Perioden;TotaalGoederenvervoer_1;BinnenlandsGoederenvervoer_2;Totaal_3;AanvoerNaarNederland_4;AfvoerNaarBuitenland_5
82;Wegvervoer;2002;653;486.0;166;82;84
83;Wegvervoer;2003;707;536.0;171;85;87
84;Wegvervoer;2004;704;510.0;194;93;101
85;Wegvervoer;2005;708;516.0;192;91;101
86;Wegvervoer;2006;726;523.0;203;97;106
87;Wegvervoer;2007;754;546.0;208;99;109
88;Wegvervoer;2008;734;529.0;204;99;105
89;Wegvervoer;2009;726;538.0;188;89;99
90;Wegvervoer;2010;705;526.0;179;87;92
91;Wegvervoer;2011;705;522.0;183;90;94
92;Wegvervoer;2012;681;502.0;179;87;93
93;Wegvervoer;2013;690;510.0;181;86;95
94;Wegvervoer;2014;692;509.0;183;88;96
95;Wegvervoer;2015;701;514.0;187;90;97
96;Wegvervoer;2016;730;536.0;194;94;101
97;Wegvervoer;2017;745;542.0;204;99;105
98;Wegvervoer;2018;756;555.0;201;96;105
99;Wegvervoer;2019;767;568.0;199;95;103
100;Wegvervoer;2020;770;567.0;203;101;102
101;Wegvervoer;2021;785;578.0;207;101;106
102;Wegvervoer;2022;777;582.0;195;92;103
103;Wegvervoer;2023;729;534.0;194;92;103
104;Spoorvervoer;1998;25;5.0;21;7;13
105;Spoorvervoer;1999;25;5.0;21;7;14
106;Spoorvervoer;2000;28;5.0;23;8;15
107;Spoorvervoer;2001;26;4.0;22;7;15
108;Spoorvervoer;2002;28;6.0;22;7;15
109;Spoorvervoer;2003;30;6.0;24;7;17
110;Spoorvervoer;2004;33;6.0;27;7;20
111;Spoorvervoer;2005;34;6.0;28;8;20
112;Spoorvervoer;2006;37;6.0;31;8;23
113;Spoorvervoer;2007;39;6.0;34;9;25
114;Spoorvervoer;2008;38;5.0;33;9;24
115;Spoorvervoer;2009;31;5.0;27;7;19
116;Spoorvervoer;2010;33;5.0;29;8;21
117;Spoorvervoer;2011;37;6.0;32;8;23
118;Spoorvervoer;2012;36;3.0;33;8;24
119;Spoorvervoer;2013;37;3.0;34;8;26
120;Spoorvervoer;2014;38;3.0;35;9;26
121;Spoorvervoer;2015;40;3.0;37;9;27
122;Spoorvervoer;2016;40;3.0;37;10;27
123;Spoorvervoer;2017;38;3.0;35;10;25
124;Spoorvervoer;2018;38;3.0;34;10;25
125;Spoorvervoer;2019;38;3.0;35;9;26
126;Spoorvervoer;2020;36;3.0;33;9;23
127;Spoorvervoer;2021;39;3.0;36;10;26
128;Spoorvervoer;2022;41;3.0;38;10;27
129;Spoorvervoer;2023;36;2.0;34;10;24
130;Luchtvaart;1998;1;;1;1;1
131;Luchtvaart;1999;1;;1;1;1
132;Luchtvaart;2000;1;;1;1;1
133;Luchtvaart;2001;1;;1;1;1
134;Luchtvaart;2002;1;;1;1;1
135;Luchtvaart;2003;1;;1;1;1
136;Luchtvaart;2004;1;;1;1;1
137;Luchtvaart;2005;2;;2;1;1
138;Luchtvaart;2006;2;;2;1;1
139;Luchtvaart;2007;2;;2;1;1
140;Luchtvaart;2008;2;;2;1;1
141;Luchtvaart;2009;1;;1;1;1
142;Luchtvaart;2010;2;;2;1;1
143;Luchtvaart;2011;2;;2;1;1
144;Luchtvaart;2012;2;;2;1;1
145;Luchtvaart;2013;2;0.0;2;1;1
146;Luchtvaart;2014;2;0.0;2;1;1
147;Luchtvaart;2015;2;0.0;2;1;1
148;Luchtvaart;2016;2;0.0;2;1;1
149;Luchtvaart;2017;2;0.0;2;1;1
150;Luchtvaart;2018;2;0.0;2;1;1
151;Luchtvaart;2019;2;0.0;2;1;1
152;Luchtvaart;2020;2;0.0;2;1;1
153;Luchtvaart;2021;2;0.0;2;1;1
154;Luchtvaart;2022;2;0.0;2;1;1
155;Luchtvaart;2023;1;0.0;1;1;1
156;Buisleidingvervoer;1998;109;;109;16;93
157;Buisleidingvervoer;1999;108;;108;17;91
158;Buisleidingvervoer;2000;104;;104;13;91
159;Buisleidingvervoer;2001;118;;118;21;97
160;Buisleidingvervoer;2002;121;;121;21;101
161;Buisleidingvervoer;2003;126;;126;23;103
162;Buisleidingvervoer;2004;133;;133;25;109
163;Buisleidingvervoer;2005;126;;126;26;100
164;Buisleidingvervoer;2006;125;;125;27;98
165;Buisleidingvervoer;2007;125;;125;26;99
166;Buisleidingvervoer;2008;127;;127;24;103
167;Buisleidingvervoer;2009;103;;103;13;90
168;Buisleidingvervoer;2010;106;;106;13;94
169;Buisleidingvervoer;2011;110;;110;21;89
170;Buisleidingvervoer;2012;124;;124;26;98
171;Buisleidingvervoer;2013;382;261.0;122;21;101
172;Buisleidingvervoer;2014;356;237.0;119;22;97
173;Buisleidingvervoer;2015;341;223.0;118;28;90
174;Buisleidingvervoer;2016;347;223.0;124;31;93
175;Buisleidingvervoer;2017;344;219.0;125;36;89
176;Buisleidingvervoer;2018;331;205.0;126;41;85
177;Buisleidingvervoer;2019;332;211.0;121;41;80
178;Buisleidingvervoer;2020;296;184.0;112;43;69
179;Buisleidingvervoer;2021;306;187.0;118;41;77
180;Buisleidingvervoer;2022;311;171.0;140;59;81
181;Buisleidingvervoer;2023;301;167.0;134;54;80
