ID;Perioden;TotaalActiva_1;OnroerendeZaken_2;NietGeconsolideerdeDeelnemingen_3;Aandelen_4;Obligaties_5;HypothecaireLeningen_6;LeningenOpSchuldbekentenis_7;DepositoSBijKredietinstellingen_8;OverigeBeleggingen_9;BeleggingenVoorRisicoPolishouders_10;KortlopendeVorderingen_11;OverigeActiva_12;OverlopendeActiva_13;TotaalPassiva_14;GestortEnOpgevraagdKapitaal_15;Agio_16;Herwaarderingsreserve_17;OverigeReserves_18;OnverdeeldeWinst_19;AchtergesteldeSchulden_20;TotaalTechnVoorzRisicoVerzekeraars_21;VoorNietVerdiendePremies_22;VoorLevensverzekering_23;VoorWinstverdelingEnKortingen_24;OverigeTechnischeVoorziening_25;TechnVoorzieningenRisicoPolishouders_26;BedrijfseconomischeVoorzieningen_27;KortlopendeSchulden_28;OverlopendePassiva_29;TotaalLasten_30;TotaalTechnischeRekening_31;UitkeringenEigenRekening_32;WijzigingOverigeTVEigenRekening_33;WinstdelingEnKortingen_34;Bedrijfskosten_35;Beleggingslasten_36;NietGerealiseerdVerliesOpBeleggingen_37;GeboektTenGunsteVanReserves_38;OverigeTechnischeLastenEigenRekening_39;AanNTRToegerekendeBeleggingsopbrengst_40;ResultaatTechnischeRekening_41;TotaalNietTechnischeRekening_42;AndereLasten_43;BelastingenResultaat_44;ResultaatNaBelastingen_45;TotaalBaten_46;TotaalTechnischeRekening_47;VerdiendePremiesEigenRekening_48;OpbrengstenUitBeleggingen_49;NietGerealiseerdeWinstOpBeleggingen_50;GeboektTenLasteVanReserves_51;OverigeTechnischeBatenEigenRekening_52;TotaalNietTechnischeRekening_53;ResultaatTechnischeRekening_54;ToegerekendeOpbrengstUitBeleggingen_55;AndereBaten_56
10;1990;1287;64;30;153;203;92;594;68;0;0;80;3;0;1287;3;0;0;59;0;0;1179;0;1179;0;0;0;0;46;0;229;212;119;55;0;47;0;0;0;0;0;-9;17;6;4;7;229;212;169;87;-44;0;0;17;-9;0;26
11;1991;1488;68;54;195;339;90;602;34;0;0;98;8;0;1488;3;0;0;74;0;0;1336;0;1333;0;3;0;0;75;0;406;376;134;174;1;93;0;0;0;0;0;-26;30;9;7;14;406;376;249;96;31;0;0;30;-26;0;56
12;1992;1664;74;64;266;407;85;626;16;0;0;125;1;0;1664;3;0;0;89;0;0;1533;0;1531;0;2;0;0;39;0;469;437;124;198;1;128;0;0;0;0;0;-14;32;12;7;13;469;437;307;105;25;0;0;32;-14;0;46
13;1993;2087;77;59;587;521;88;620;22;0;0;109;4;0;2087;3;0;0;118;0;0;1919;0;1916;0;3;0;0;47;0;692;646;138;385;1;125;0;0;0;0;0;-3;46;22;8;16;692;646;347;108;191;0;0;46;-3;0;49
14;1994;2207;78;87;562;548;115;552;104;0;0;158;3;0;2207;3;0;0;69;0;0;2080;0;2077;0;3;0;0;55;0;457;411;155;293;1;143;0;0;0;0;0;-181;46;14;11;21;457;411;403;81;-73;0;0;46;-181;0;227
15;1994 na rapportagewijziging;2249;9;5;20;70;19;79;1;6;1862;80;42;58;2250;3;0;5;83;0;0;125;0;123;0;2;1946;19;56;12;706;674;155;152;1;113;39;176;3;3;4;28;32;1;10;21;706;673;378;111;8;103;73;33;29;4;0
16;1995;2710;8;5;28;87;23;83;0;7;2270;97;32;70;2710;3;0;12;98;0;0;145;0;142;0;3;2343;23;66;19;952;914;178;417;1;109;3;7;159;2;5;33;38;0;13;25;952;912;449;151;241;6;65;38;33;5;0
17;1996;3444;8;4;36;103;29;77;0;10;2906;126;56;90;3444;3;0;21;121;0;14;167;0;164;0;3;2989;28;74;28;1357;1313;193;668;1;138;2;13;252;3;9;34;43;0;13;30;1357;1314;563;258;396;12;85;43;34;9;0
18;1997;4418;6;3;50;111;26;69;0;14;3831;112;93;102;4418;3;11;18;143;0;14;194;0;189;0;5;3852;32;133;19;1978;1925;211;960;1;158;2;44;490;4;12;43;55;0;17;38;1978;1922;673;409;691;50;99;56;43;12;1
19;1998;5365;7;3;85;173;23;46;0;21;4659;113;168;67;5365;3;25;39;170;0;32;223;0;218;0;5;4656;32;154;31;2038;1979;292;862;1;176;4;148;431;4;12;49;61;0;20;41;2038;1976;752;358;679;82;105;62;49;12;1
20;1999;6595;9;1;98;202;15;32;0;25;5890;82;176;63;6595;3;0;42;203;2;32;198;0;185;0;13;5879;31;172;32;2876;2804;278;1652;0;129;4;130;536;5;10;60;73;0;24;49;2876;2801;727;997;921;71;85;74;60;10;4
21;2000;6921;8;2;114;279;24;28;0;31;6058;151;173;54;6921;3;0;36;240;7;32;226;0;212;0;14;6145;31;182;20;1100;1004;329;293;0;117;6;141;10;13;8;87;96;1;33;62;1100;1004;788;12;112;0;92;96;87;8;1
22;2001;7828;7;2;193;608;76;38;0;51;6427;164;251;11;7828;3;38;10;347;5;0;597;3;556;4;34;6540;38;220;30;878;755;391;-123;4;151;6;219;0;2;8;97;123;18;36;69;878;755;904;-226;2;0;75;123;97;9;17
23;2002;6823;7;3;191;579;122;42;0;61;5353;112;344;9;6823;3;38;4;378;3;0;640;3;620;4;13;5474;17;248;18;209;127;411;-1000;5;133;36;474;0;5;-18;81;82;22;28;32;209;126;890;-840;4;0;72;83;81;-18;20
