ID;Perioden;Volumemutaties_1;VolumeIndexcijfers_2
134;2007 4e kwartaal;3.0;110.1
135;2007;5.6;108.1
136;2008 januari;10.1;112.8
137;2008 februari;10.7;119.6
138;2008 maart;-4.8;113.5
139;2008 1e kwartaal;4.9;115.3
140;2008 april;14.1;124.1
141;2008 mei;0.8;109.8
142;2008 juni;1.9;131.7
143;2008 2e kwartaal;5.3;121.8
144;2008 juli;-1.5;87.0
145;2008 augustus;2.3;72.3
146;2008 september;6.4;139.2
147;2008 3e kwartaal;3.0;99.5
148;2008 oktober;3.7;129.1
149;2008 november;-6.7;115.9
150;2008 december;2.2;83.3
151;2008 4e kwartaal;-0.6;109.4
152;2008;3.2;111.5
153;2009 januari;2.0;115.1
154;2009 februari;-4.9;113.7
155;2009 maart;5.9;120.2
156;2009 1e kwartaal;0.9;116.3
157;2009 april;-4.7;118.3
158;2009 mei;-3.9;105.6
159;2009 juni;-7.1;122.4
160;2009 2e kwartaal;-5.3;115.4
161;2009 juli;4.6;91.1
162;2009 augustus;-15.5;61.1
163;2009 september;-9.1;126.5
164;2009 3e kwartaal;-6.7;92.9
165;2009 oktober;-11.0;114.8
166;2009 november;-9.3;105.1
167;2009 december;-14.5;71.2
168;2009 4e kwartaal;-11.3;97.1
169;2009;-5.5;105.4
170;2010 januari;-17.4;95.0
171;2010 februari;-21.4;89.4
172;2010 maart;-12.0;105.7
173;2010 1e kwartaal;-16.9;96.7
174;2010 april;-11.8;104.3
175;2010 mei;-12.7;92.1
176;2010 juni;-6.5;114.4
177;2010 2e kwartaal;-10.2;103.6
178;2010 juli;-10.9;81.1
179;2010 augustus;-2.6;59.5
180;2010 september;-10.7;113.0
181;2010 3e kwartaal;-9.0;84.5
182;2010 oktober;-9.9;103.4
183;2010 november;-2.4;102.6
184;2010 december;-10.1;64.0
185;2010 4e kwartaal;-7.2;90.0
186;2010;-11.1;93.7
187;2011 januari;11.0;105.5
188;2011 februari;16.9;104.5
189;2011 maart;3.4;109.3
190;2011 1e kwartaal;10.1;106.5
191;2011 april;1.5;105.8
192;2011 mei;17.4;108.2
193;2011 juni;-5.5;108.1
194;2011 2e kwartaal;3.6;107.4
195;2011 juli;-1.7;79.7
196;2011 augustus;2.9;61.2
197;2011 september;4.7;118.3
198;2011 3e kwartaal;2.2;86.4
199;2011 oktober;-2.4;101.0
200;2011 november;1.4;104.1
201;2011 december;8.4;69.4
202;2011 4e kwartaal;1.6;91.5
203;2011;4.5;97.9
204;2012 januari;-7.6;97.6
205;2012 februari;-13.7;90.2
206;2012 maart;-10.0;98.4
207;2012 1e kwartaal;-10.4;95.4
208;2012 april;-9.0;96.2
209;2012 mei;-12.7;94.4
210;2012 juni;-1.8;106.2
211;2012 2e kwartaal;-7.8;99.0
212;2012 juli;-7.0;74.1
213;2012 augustus;-1.1;60.6
214;2012 september;-10.2;106.2
215;2012 3e kwartaal;-7.1;80.3
216;2012 oktober;-5.0;96.0
217;2012 november;-8.3;95.4
218;2012 december;-15.6;58.5
219;2012 4e kwartaal;-8.9;83.3
220;2012;-8.6;89.5
