ID;EnergySourcesTechniques;Periods;ProductionOfElectricity_1;RelativeToTotalUseOfElectricity_2;ProductionOfElectricity_3;RelativeToTotalUseOfElectricity_4;ProductionOfElectricity_5;RelativeToTotalUseOfElectricity_6;Electricity_7;RelativeToTotalUseOfElectricity_8;Electricity_9;RelativeToTotalUseOfElectricity_10
114;Hydro power;2008 1st quarter;;;22.0;0.07;22.0;0.07;;;;
115;Hydro power;2008 2nd quarter;;;27.0;0.09;27.0;0.1;;;;
116;Hydro power;2008 3rd quarter;;;19.0;0.07;19.0;0.07;;;;
117;Hydro power;2008 4th quarter;;;34.0;0.1;34.0;0.11;;;;
118;Hydro power;2008;100.0;0.08;102.0;0.08;102.0;0.09;18409.0;15.38;;
119;Hydro power;2009 1st quarter;;;34.0;0.11;34.0;0.11;;;;
120;Hydro power;2009 2nd quarter;;;31.0;0.11;31.0;0.11;;;;
121;Hydro power;2009 3rd quarter;;;11.0;0.04;11.0;0.04;;;;
122;Hydro power;2009 4th quarter;;;22.0;0.07;22.0;0.07;;;;
123;Hydro power;2009;100.0;0.08;98.0;0.08;98.0;0.09;16318.0;14.33;;
124;Hydro power;2010 1st quarter;;;34.0;0.11;34.0;0.11;;;;
125;Hydro power;2010 2nd quarter;;;26.0;0.09;26.0;0.1;;;;
126;Hydro power;2010 3rd quarter;;;17.0;0.06;17.0;0.06;;;;
127;Hydro power;2010 4th quarter;;;28.0;0.09;28.0;0.09;;;;
128;Hydro power;2010;101.0;0.08;105.0;0.09;105.0;0.09;15333.0;13.11;;
129;Hydro power;2011 1st quarter;;;32.0;0.1;32.0;0.1;;;;
130;Hydro power;2011 2nd quarter;;;7.0;0.02;7.0;0.03;;;;
131;Hydro power;2011 3rd quarter;;;8.0;0.03;8.0;0.03;;;;
132;Hydro power;2011 4th quarter;;;10.0;0.03;10.0;0.03;;;;
133;Hydro power;2011;100.0;0.08;57.0;0.05;57.0;0.05;22213.0;18.84;;
134;Hydro power;2012 1st quarter;;;29.0;0.09;29.0;0.09;;;;
135;Hydro power;2012 2nd quarter;;;32.0;0.12;32.0;0.12;;;;
136;Hydro power;2012 3rd quarter;;;18.0;0.06;18.0;0.06;;;;
137;Hydro power;2012 4th quarter;;;26.0;0.08;26.0;0.08;;;;
138;Hydro power;2012;100.0;0.08;104.0;0.09;104.0;0.09;29789.0;25.75;;
139;Hydro power;2013 1st quarter;;;35.0;0.11;35.0;0.12;;;;
140;Hydro power;2013 2nd quarter;;;36.0;0.13;36.0;0.14;;;;
141;Hydro power;2013 3rd quarter;;;14.0;0.05;14.0;0.05;;;;
142;Hydro power;2013 4th quarter;;;30.0;0.09;30.0;0.1;;;;
143;Hydro power;2013;101.0;0.09;115.0;0.1;115.0;0.1;33979.0;29.72;;
144;Wind energy, total;1990;56.0;0.07;56.0;0.07;56.0;0.07;;;;
145;Wind energy, total;1991;88.0;0.11;88.0;0.11;88.0;0.11;;;;
146;Wind energy, total;1992;137.0;0.16;147.0;0.17;147.0;0.18;;;;
147;Wind energy, total;1993;173.0;0.2;174.0;0.2;174.0;0.21;;;;
148;Wind energy, total;1994;221.0;0.24;238.0;0.26;238.0;0.27;;;;
149;Wind energy, total;1995;314.0;0.34;317.0;0.34;317.0;0.36;;;;
150;Wind energy, total;1996;435.0;0.45;437.0;0.46;437.0;0.47;;;;
151;Wind energy, total;1997;489.0;0.49;475.0;0.48;475.0;0.5;;;;
152;Wind energy, total;1998;571.0;0.55;640.0;0.62;640.0;0.64;;;;
153;Wind energy, total;1999;642.0;0.61;645.0;0.61;645.0;0.63;;;;
154;Wind energy, total;2000;744.0;0.69;829.0;0.76;829.0;0.79;;;;
155;Wind energy, total;2001;822.0;0.74;825.0;0.74;825.0;0.77;;;;
156;Wind energy, total;2002 1st quarter;;;342.0;1.19;342.0;1.23;;;;
157;Wind energy, total;2002 2nd quarter;;;193.0;0.72;193.0;0.75;;;;
158;Wind energy, total;2002 3rd quarter;;;125.0;0.46;125.0;0.48;;;;
159;Wind energy, total;2002 4th quarter;;;287.0;0.97;287.0;1.01;;;;
160;Wind energy, total;2002;1020.0;0.91;947.0;0.84;947.0;0.87;36.0;0.03;;
161;Wind energy, total;2003 1st quarter;;;338.0;1.14;338.0;1.18;;;;
162;Wind energy, total;2003 2nd quarter;;;303.0;1.12;303.0;1.16;;;;
163;Wind energy, total;2003 3rd quarter;;;194.0;0.71;194.0;0.74;;;;
164;Wind energy, total;2003 4th quarter;;;485.0;1.62;485.0;1.67;;;;
165;Wind energy, total;2003;1359.0;1.19;1320.0;1.16;1320.0;1.2;240.0;0.22;;
166;Wind energy, total;2004 1st quarter;;;585.0;1.91;585.0;1.96;;;;
167;Wind energy, total;2004 2nd quarter;;;351.0;1.24;351.0;1.29;;;;
168;Wind energy, total;2004 3rd quarter;;;411.0;1.44;411.0;1.5;;;;
169;Wind energy, total;2004 4th quarter;;;524.0;1.68;524.0;1.73;;;;
170;Wind energy, total;2004;1763.0;1.49;1871.0;1.58;1871.0;1.63;376.0;0.33;;
171;Wind energy, total;2005 1st quarter;;;740.0;2.38;740.0;2.48;;;;
172;Wind energy, total;2005 2nd quarter;;;391.0;1.39;391.0;1.43;;;;
173;Wind energy, total;2005 3rd quarter;;;340.0;1.2;340.0;1.24;;;;
174;Wind energy, total;2005 4th quarter;;;596.0;1.91;596.0;1.99;;;;
175;Wind energy, total;2005;2034.0;1.71;2067.0;1.74;2067.0;1.81;4.0;0.0;;
176;Wind energy, total;2006 1st quarter;;;674.0;2.11;674.0;2.21;0.0;0.0;;
177;Wind energy, total;2006 2nd quarter;;;583.0;2.06;583.0;2.09;0.0;0.0;;
178;Wind energy, total;2006 3rd quarter;;;389.0;1.35;389.0;1.42;0.0;0.0;;
179;Wind energy, total;2006 4th quarter;;;1089.0;3.48;1089.0;3.59;0.0;0.0;;
180;Wind energy, total;2006;2540.0;2.11;2734.0;2.27;2734.0;2.35;0.0;0.0;;
181;Wind energy, total;2007 1st quarter;;;1194.0;3.68;1194.0;3.82;;;;
182;Wind energy, total;2007 2nd quarter;;;597.0;2.06;597.0;2.13;;;;
183;Wind energy, total;2007 3rd quarter;;;750.0;2.58;750.0;2.67;;;;
184;Wind energy, total;2007 4th quarter;;;897.0;2.78;897.0;2.89;;;;
185;Wind energy, total;2007;3166.0;2.58;3438.0;2.8;3438.0;2.9;140.0;0.12;;
186;Wind energy, total;2008 1st quarter;;;1495.0;4.5;1495.0;4.66;;;;
187;Wind energy, total;2008 2nd quarter;;;712.0;2.44;712.0;2.53;;;;
188;Wind energy, total;2008 3rd quarter;;;869.0;2.98;869.0;3.09;;;;
189;Wind energy, total;2008 4th quarter;;;1183.0;3.64;1183.0;3.77;;;;
190;Wind energy, total;2008;3925.0;3.16;4260.0;3.43;4260.0;3.56;140.0;0.12;;
191;Wind energy, total;2009 1st quarter;;;1193.0;3.78;1193.0;3.94;;;;
192;Wind energy, total;2009 2nd quarter;;;881.0;3.18;881.0;3.29;;;;
193;Wind energy, total;2009 3rd quarter;;;940.0;3.44;940.0;3.59;;;;
194;Wind energy, total;2009 4th quarter;;;1566.0;4.93;1566.0;5.13;;;;
195;Wind energy, total;2009;4481.0;3.78;4581.0;3.87;4581.0;4.02;360.0;0.32;;
196;Wind energy, total;2010 1st quarter;;;1112.0;3.52;1112.0;3.65;;;;
197;Wind energy, total;2010 2nd quarter;;;785.0;2.79;785.0;2.89;;;;
198;Wind energy, total;2010 3rd quarter;;;842.0;2.97;842.0;3.06;;;;
199;Wind energy, total;2010 4th quarter;;;1254.0;3.82;1254.0;3.95;;;;
200;Wind energy, total;2010;4503.0;3.72;3993.0;3.3;3993.0;3.42;449.0;0.38;;
201;Wind energy, total;2011 1st quarter;;;1268.0;3.94;1268.0;4.08;;;;
202;Wind energy, total;2011 2nd quarter;;;1049.0;3.71;1049.0;3.85;;;;
