ID;EnergySourcesTechniques;Periods;ProductionOfElectricity_1;RelativeToTotalUseOfElectricity_2;ProductionOfElectricity_3;RelativeToTotalUseOfElectricity_4;ProductionOfElectricity_5;RelativeToTotalUseOfElectricity_6;Electricity_7;RelativeToTotalUseOfElectricity_8;Electricity_9;RelativeToTotalUseOfElectricity_10
611;Solar pv, grid connected, others;2006 4th quarter;;;;;;;0.0;0.0;;
612;Solar pv, grid connected, others;2006;31.0;0.03;31.0;0.03;31.0;0.03;0.0;0.0;;
613;Solar pv, grid connected, others;2007 1st quarter;;;;;;;0.0;0.0;;
614;Solar pv, grid connected, others;2007 2nd quarter;;;;;;;0.0;0.0;;
615;Solar pv, grid connected, others;2007 3rd quarter;;;;;;;0.0;0.0;;
616;Solar pv, grid connected, others;2007 4th quarter;;;;;;;0.0;0.0;;
617;Solar pv, grid connected, others;2007;31.0;0.03;31.0;0.03;31.0;0.03;0.0;0.0;;
618;Solar pv, grid connected, others;2008 1st quarter;;;;;;;0.0;0.0;;
619;Solar pv, grid connected, others;2008 2nd quarter;;;;;;;0.0;0.0;;
620;Solar pv, grid connected, others;2008 3rd quarter;;;;;;;0.0;0.0;;
621;Solar pv, grid connected, others;2008 4th quarter;;;;;;;0.0;0.0;;
622;Solar pv, grid connected, others;2008;34.0;0.03;34.0;0.03;34.0;0.03;0.0;0.0;;
623;Solar pv, grid connected, others;2009 1st quarter;;;;;;;0.0;0.0;;
624;Solar pv, grid connected, others;2009 2nd quarter;;;;;;;0.0;0.0;;
625;Solar pv, grid connected, others;2009 3rd quarter;;;;;;;0.0;0.0;;
626;Solar pv, grid connected, others;2009 4th quarter;;;;;;;0.0;0.0;;
627;Solar pv, grid connected, others;2009;41.0;0.03;41.0;0.03;41.0;0.04;0.0;0.0;;
628;Solar pv, grid connected, others;2010 1st quarter;;;;;;;0.0;0.0;;
629;Solar pv, grid connected, others;2010 2nd quarter;;;;;;;0.0;0.0;;
630;Solar pv, grid connected, others;2010 3rd quarter;;;;;;;0.0;0.0;;
631;Solar pv, grid connected, others;2010 4th quarter;;;;;;;0.0;0.0;;
632;Solar pv, grid connected, others;2010;54.0;0.04;54.0;0.04;54.0;0.05;0.0;0.0;;
633;Solar pv, grid connected, others;2011 1st quarter;;;;;;;0.0;0.0;;
634;Solar pv, grid connected, others;2011 2nd quarter;;;;;;;0.0;0.0;;
635;Solar pv, grid connected, others;2011 3rd quarter;;;;;;;0.0;0.0;;
636;Solar pv, grid connected, others;2011 4th quarter;;;;;;;0.0;0.0;;
637;Solar pv, grid connected, others;2011;91.0;0.07;91.0;0.07;91.0;0.08;0.0;0.0;;
638;Solar pv, grid connected, others;2012 1st quarter;;;;;;;0.0;0.0;;
639;Solar pv, grid connected, others;2012 2nd quarter;;;;;;;0.0;0.0;;
640;Solar pv, grid connected, others;2012 3rd quarter;;;;;;;0.0;0.0;;
641;Solar pv, grid connected, others;2012 4th quarter;;;;;;;0.0;0.0;;
642;Solar pv, grid connected, others;2012;241.0;0.2;241.0;0.2;241.0;0.21;0.0;0.0;;
643;Solar pv, grid connected, others;2013 1st quarter;;;;;;;;;;
644;Solar pv, grid connected, others;2013 2nd quarter;;;;;;;;;;
645;Solar pv, grid connected, others;2013 3rd quarter;;;;;;;;;;
646;Solar pv, grid connected, others;2013 4th quarter;;;;;;;;;;
647;Solar pv, grid connected, others;2013;;;;;;;0.0;0.0;;
648;Biomass, total;1990;670.0;0.83;670.0;0.83;579.0;0.74;;;;
649;Biomass, total;1991;750.0;0.9;750.0;0.9;654.0;0.81;;;;
650;Biomass, total;1992;752.0;0.87;752.0;0.87;625.0;0.75;;;;
651;Biomass, total;1993;863.0;0.99;863.0;0.99;685.0;0.81;;;;
652;Biomass, total;1994;939.0;1.04;939.0;1.04;748.0;0.86;;;;
653;Biomass, total;1995;1017.0;1.1;1017.0;1.1;808.0;0.91;;;;
654;Biomass, total;1996;1316.0;1.37;1316.0;1.37;1057.0;1.14;;;;
655;Biomass, total;1997;1463.0;1.47;1463.0;1.47;1156.0;1.21;;;;
656;Biomass, total;1998;1592.0;1.55;1592.0;1.55;1262.0;1.27;;;;
657;Biomass, total;1999;1791.0;1.7;1791.0;1.7;1447.0;1.42;;;;
658;Biomass, total;2000;2021.0;1.86;2021.0;1.86;1671.0;1.59;;;;
659;Biomass, total;2001;2374.0;2.14;2374.0;2.14;2024.0;1.89;;;;
660;Biomass, total;2002 1st quarter;;;;;;;;;;
661;Biomass, total;2002 2nd quarter;;;;;;;;;;
662;Biomass, total;2002 3rd quarter;;;;;;;;;;
663;Biomass, total;2002 4th quarter;;;;;;;;;;
664;Biomass, total;2002;2924.0;2.6;2924.0;2.6;2547.0;2.35;4382.0;4.04;;
665;Biomass, total;2003 1st quarter;;;;;;;;;;
666;Biomass, total;2003 2nd quarter;;;;;;;;;;
667;Biomass, total;2003 3rd quarter;;;;;;;;;;
668;Biomass, total;2003 4th quarter;;;;;;;;;;
669;Biomass, total;2003;2564.0;2.25;2564.0;2.25;2217.0;2.02;8704.0;7.92;;
670;Biomass, total;2004 1st quarter;;;;;;;;;;
671;Biomass, total;2004 2nd quarter;;;;;;;;;;
672;Biomass, total;2004 3rd quarter;;;;;;;;;;
673;Biomass, total;2004 4th quarter;;;;;;;;;;
674;Biomass, total;2004;3332.0;2.81;3332.0;2.81;2947.0;2.57;7516.0;6.56;;
675;Biomass, total;2005 1st quarter;;;;;;;;;;
676;Biomass, total;2005 2nd quarter;;;;;;;;;;
677;Biomass, total;2005 3rd quarter;;;;;;;;;;
678;Biomass, total;2005 4th quarter;;;;;;;;;;
679;Biomass, total;2005;5280.0;4.45;5280.0;4.45;4808.0;4.2;1482.0;1.29;;
680;Biomass, total;2006 1st quarter;;;;;;;;;;
681;Biomass, total;2006 2nd quarter;;;;;;;;;;
682;Biomass, total;2006 3rd quarter;;;;;;;;;;
683;Biomass, total;2006 4th quarter;;;;;;;;;;
684;Biomass, total;2006;5191.0;4.31;5191.0;4.31;4691.0;4.04;1430.0;1.23;;
685;Biomass, total;2007 1st quarter;;;;;;;;;;
686;Biomass, total;2007 2nd quarter;;;;;;;;;;
687;Biomass, total;2007 3rd quarter;;;;;;;;;;
688;Biomass, total;2007 4th quarter;;;;;;;;;;
689;Biomass, total;2007;4019.0;3.27;4019.0;3.27;3538.0;2.99;1447.0;1.22;;
690;Biomass, total;2008 1st quarter;;;1327.0;4.0;1168.0;3.64;;;;
691;Biomass, total;2008 2nd quarter;;;998.0;3.42;878.0;3.12;;;;
692;Biomass, total;2008 3rd quarter;;;1260.0;4.32;1108.0;3.94;;;;
693;Biomass, total;2008 4th quarter;;;1564.0;4.81;1376.0;4.39;;;;
694;Biomass, total;2008;5149.0;4.15;5149.0;4.15;4531.0;3.79;374.0;0.31;;
695;Biomass, total;2009 1st quarter;;;1559.0;4.93;1379.0;4.55;;;;
696;Biomass, total;2009 2nd quarter;;;1570.0;5.66;1389.0;5.18;;;;
697;Biomass, total;2009 3rd quarter;;;1524.0;5.58;1348.0;5.15;;;;
698;Biomass, total;2009 4th quarter;;;1476.0;4.65;1306.0;4.28;;;;
699;Biomass, total;2009;6129.0;5.18;6129.0;5.18;5422.0;4.76;260.0;0.23;;
700;Biomass, total;2010 1st quarter;;;1744.0;5.53;1553.0;5.1;;;;
701;Biomass, total;2010 2nd quarter;;;1734.0;6.16;1544.0;5.68;;;;
702;Biomass, total;2010 3rd quarter;;;1696.0;5.98;1510.0;5.49;;;;
703;Biomass, total;2010 4th quarter;;;1884.0;5.74;1677.0;5.28;;;;
704;Biomass, total;2010;7058.0;5.84;7058.0;5.84;6284.0;5.37;205.0;0.18;;
705;Biomass, total;2011 1st quarter;;;1851.0;5.76;1654.0;5.32;;;;
706;Biomass, total;2011 2nd quarter;;;1793.0;6.35;1598.0;5.86;;;;
707;Biomass, total;2011 3rd quarter;;;1813.0;6.32;1607.0;5.8;;;;
708;Biomass, total;2011 4th quarter;;;1615.0;4.9;1417.0;4.45;;;;
709;Biomass, total;2011;7083.0;5.8;7083.0;5.8;6276.0;5.32;1021.0;0.87;;
710;Biomass, total;2012 1st quarter;;;2035.0;6.45;1817.0;5.95;;;;
711;Biomass, total;2012 2nd quarter;;;1770.0;6.35;1571.0;5.83;;;;
712;Biomass, total;2012 3rd quarter;;;1821.0;6.45;1611.0;5.9;;;;
713;Biomass, total;2012 4th quarter;;;1612.0;5.04;1419.0;4.59;;;;
714;Biomass, total;2012;7239.0;6.05;7239.0;6.05;6418.0;5.55;1227.0;1.06;;
715;Biomass, total;2013 1st quarter;;;1558.0;5.05;1366.0;4.56;;;;
716;Biomass, total;2013 2nd quarter;;;1422.0;5.22;1238.0;4.68;;;;
717;Biomass, total;2013 3rd quarter;;;1559.0;5.6;1359.0;5.03;;;;
718;Biomass, total;2013 4th quarter;;;1395.0;4.38;1215.0;3.93;;;;
719;Biomass, total;2013;5934.0;5.04;5934.0;5.04;5178.0;4.53;2081.0;1.82;;
720;"Municipal waste; renewable fraction";1990;539.0;0.67;539.0;0.67;462.0;0.59;;;;
721;"Municipal waste; renewable fraction";1991;588.0;0.71;588.0;0.71;510.0;0.63;;;;
722;"Municipal waste; renewable fraction";1992;567.0;0.66;567.0;0.66;476.0;0.57;;;;
723;"Municipal waste; renewable fraction";1993;634.0;0.73;634.0;0.73;492.0;0.58;;;;
724;"Municipal waste; renewable fraction";1994;661.0;0.73;661.0;0.73;506.0;0.58;;;;
725;"Municipal waste; renewable fraction";1995;703.0;0.76;703.0;0.76;528.0;0.59;;;;
726;"Municipal waste; renewable fraction";1996;953.0;0.99;953.0;0.99;731.0;0.79;;;;
727;"Municipal waste; renewable fraction";1997;1108.0;1.12;1108.0;1.12;836.0;0.87;;;;
728;"Municipal waste; renewable fraction";1998;1188.0;1.15;1188.0;1.15;898.0;0.9;;;;
729;"Municipal waste; renewable fraction";1999;1261.0;1.2;1261.0;1.2;967.0;0.95;;;;
730;"Municipal waste; renewable fraction";2000;1272.0;1.17;1272.0;1.17;987.0;0.94;;;;
731;"Municipal waste; renewable fraction";2001;1214.0;1.09;1214.0;1.09;945.0;0.88;;;;
732;"Municipal waste; renewable fraction";2002 1st quarter;;;;;;;;;;
733;"Municipal waste; renewable fraction";2002 2nd quarter;;;;;;;;;;
734;"Municipal waste; renewable fraction";2002 3rd quarter;;;;;;;;;;
735;"Municipal waste; renewable fraction";2002 4th quarter;;;;;;;;;;
736;"Municipal waste; renewable fraction";2002;1207.0;1.07;1207.0;1.07;933.0;0.86;;;;
737;"Municipal waste; renewable fraction";2003 1st quarter;;;;;;;;;;
738;"Municipal waste; renewable fraction";2003 2nd quarter;;;;;;;;;;
739;"Municipal waste; renewable fraction";2003 3rd quarter;;;;;;;;;;
740;"Municipal waste; renewable fraction";2003 4th quarter;;;;;;;;;;
741;"Municipal waste; renewable fraction";2003;1208.0;1.06;1208.0;1.06;946.0;0.86;;;;
742;"Municipal waste; renewable fraction";2004 1st quarter;;;;;;;;;;
743;"Municipal waste; renewable fraction";2004 2nd quarter;;;;;;;;;;
744;"Municipal waste; renewable fraction";2004 3rd quarter;;;;;;;;;;
745;"Municipal waste; renewable fraction";2004 4th quarter;;;;;;;;;;
746;"Municipal waste; renewable fraction";2004;1178.0;0.99;1178.0;0.99;915.0;0.8;;;;
747;"Municipal waste; renewable fraction";2005 1st quarter;;;;;;;;;;
748;"Municipal waste; renewable fraction";2005 2nd quarter;;;;;;;;;;
749;"Municipal waste; renewable fraction";2005 3rd quarter;;;;;;;;;;
750;"Municipal waste; renewable fraction";2005 4th quarter;;;;;;;;;;
751;"Municipal waste; renewable fraction";2005;1266.0;1.07;1266.0;1.07;984.0;0.86;;;;
752;"Municipal waste; renewable fraction";2006 1st quarter;;;;;;;;;;
753;"Municipal waste; renewable fraction";2006 2nd quarter;;;;;;;;;;
754;"Municipal waste; renewable fraction";2006 3rd quarter;;;;;;;;;;
755;"Municipal waste; renewable fraction";2006 4th quarter;;;;;;;;;;
756;"Municipal waste; renewable fraction";2006;1312.0;1.09;1312.0;1.09;1013.0;0.87;;;;
757;"Municipal waste; renewable fraction";2007 1st quarter;;;;;;;;;;
758;"Municipal waste; renewable fraction";2007 2nd quarter;;;;;;;;;;
759;"Municipal waste; renewable fraction";2007 3rd quarter;;;;;;;;;;
760;"Municipal waste; renewable fraction";2007 4th quarter;;;;;;;;;;
761;"Municipal waste; renewable fraction";2007;1395.0;1.14;1395.0;1.14;1095.0;0.92;;;;
762;"Municipal waste; renewable fraction";2008 1st quarter;;;377.0;1.14;286.0;0.89;;;;
763;"Municipal waste; renewable fraction";2008 2nd quarter;;;328.0;1.12;249.0;0.88;;;;
764;"Municipal waste; renewable fraction";2008 3rd quarter;;;340.0;1.16;258.0;0.92;;;;
765;"Municipal waste; renewable fraction";2008 4th quarter;;;365.0;1.12;277.0;0.88;;;;
766;"Municipal waste; renewable fraction";2008;1409.0;1.14;1409.0;1.14;1070.0;0.89;;;;
767;"Municipal waste; renewable fraction";2009 1st quarter;;;347.0;1.1;267.0;0.88;;;;
768;"Municipal waste; renewable fraction";2009 2nd quarter;;;378.0;1.36;291.0;1.08;;;;
769;"Municipal waste; renewable fraction";2009 3rd quarter;;;400.0;1.46;307.0;1.17;;;;
770;"Municipal waste; renewable fraction";2009 4th quarter;;;446.0;1.41;343.0;1.12;;;;
771;"Municipal waste; renewable fraction";2009;1572.0;1.33;1572.0;1.33;1207.0;1.06;;;;
772;"Municipal waste; renewable fraction";2010 1st quarter;;;423.0;1.34;335.0;1.1;;;;
773;"Municipal waste; renewable fraction";2010 2nd quarter;;;437.0;1.55;346.0;1.27;;;;
774;"Municipal waste; renewable fraction";2010 3rd quarter;;;467.0;1.65;370.0;1.34;;;;
775;"Municipal waste; renewable fraction";2010 4th quarter;;;436.0;1.33;346.0;1.09;;;;
776;"Municipal waste; renewable fraction";2010;1763.0;1.46;1763.0;1.46;1397.0;1.19;;;;
777;"Municipal waste; renewable fraction";2011 1st quarter;;;461.0;1.43;370.0;1.19;;;;
778;"Municipal waste; renewable fraction";2011 2nd quarter;;;480.0;1.7;386.0;1.42;;;;
779;"Municipal waste; renewable fraction";2011 3rd quarter;;;535.0;1.86;430.0;1.55;;;;
780;"Municipal waste; renewable fraction";2011 4th quarter;;;559.0;1.7;449.0;1.41;;;;
781;"Municipal waste; renewable fraction";2011;2034.0;1.67;2034.0;1.67;1634.0;1.39;;;;
782;"Municipal waste; renewable fraction";2012 1st quarter;;;553.0;1.75;446.0;1.46;;;;
783;"Municipal waste; renewable fraction";2012 2nd quarter;;;542.0;1.95;437.0;1.62;;;;
784;"Municipal waste; renewable fraction";2012 3rd quarter;;;597.0;2.12;481.0;1.76;;;;
785;"Municipal waste; renewable fraction";2012 4th quarter;;;542.0;1.69;436.0;1.41;;;;
786;"Municipal waste; renewable fraction";2012;2235.0;1.87;2235.0;1.87;1800.0;1.56;;;;
787;"Municipal waste; renewable fraction";2013 1st quarter;;;532.0;1.72;421.0;1.41;;;;
788;"Municipal waste; renewable fraction";2013 2nd quarter;;;528.0;1.94;419.0;1.58;;;;
789;"Municipal waste; renewable fraction";2013 3rd quarter;;;572.0;2.05;453.0;1.68;;;;
790;"Municipal waste; renewable fraction";2013 4th quarter;;;503.0;1.58;398.0;1.29;;;;
791;"Municipal waste; renewable fraction";2013;2135.0;1.81;2135.0;1.81;1692.0;1.48;;;;
792;Co-firing of biomass in electr. plants;1990;0.0;0.0;0.0;0.0;0.0;0.0;;;;
793;Co-firing of biomass in electr. plants;1991;0.0;0.0;0.0;0.0;0.0;0.0;;;;
794;Co-firing of biomass in electr. plants;1992;0.0;0.0;0.0;0.0;0.0;0.0;;;;
795;Co-firing of biomass in electr. plants;1993;0.0;0.0;0.0;0.0;0.0;0.0;;;;
796;Co-firing of biomass in electr. plants;1994;0.0;0.0;0.0;0.0;0.0;0.0;;;;
797;Co-firing of biomass in electr. plants;1995;4.0;0.0;4.0;0.0;4.0;0.0;;;;
798;Co-firing of biomass in electr. plants;1996;42.0;0.04;42.0;0.04;40.0;0.04;;;;
799;Co-firing of biomass in electr. plants;1997;40.0;0.04;40.0;0.04;38.0;0.04;;;;
800;Co-firing of biomass in electr. plants;1998;101.0;0.1;101.0;0.1;96.0;0.1;;;;
801;Co-firing of biomass in electr. plants;1999;165.0;0.16;165.0;0.16;157.0;0.15;;;;
802;Co-firing of biomass in electr. plants;2000;208.0;0.19;208.0;0.19;198.0;0.19;;;;
803;Co-firing of biomass in electr. plants;2001;591.0;0.53;591.0;0.53;563.0;0.53;;;;
804;Co-firing of biomass in electr. plants;2002 1st quarter;;;216.0;0.75;206.0;0.74;;;;
805;Co-firing of biomass in electr. plants;2002 2nd quarter;;;196.0;0.73;187.0;0.72;;;;
806;Co-firing of biomass in electr. plants;2002 3rd quarter;;;356.0;1.3;339.0;1.29;;;;
807;Co-firing of biomass in electr. plants;2002 4th quarter;;;367.0;1.25;350.0;1.23;;;;
808;Co-firing of biomass in electr. plants;2002;1134.0;1.01;1134.0;1.01;1082.0;1.0;;;;
809;Co-firing of biomass in electr. plants;2003 1st quarter;;;159.0;0.54;151.0;0.53;;;;
810;Co-firing of biomass in electr. plants;2003 2nd quarter;;;130.0;0.48;124.0;0.48;;;;
811;Co-firing of biomass in electr. plants;2003 3rd quarter;;;306.0;1.12;291.0;1.11;;;;
812;Co-firing of biomass in electr. plants;2003 4th quarter;;;200.0;0.67;191.0;0.66;;;;
813;Co-firing of biomass in electr. plants;2003;795.0;0.7;795.0;0.7;757.0;0.69;;;;
814;Co-firing of biomass in electr. plants;2004 1st quarter;;;212.0;0.69;203.0;0.68;;;;
815;Co-firing of biomass in electr. plants;2004 2nd quarter;;;258.0;0.91;247.0;0.91;;;;
816;Co-firing of biomass in electr. plants;2004 3rd quarter;;;447.0;1.56;428.0;1.56;;;;
817;Co-firing of biomass in electr. plants;2004 4th quarter;;;692.0;2.22;662.0;2.19;;;;
818;Co-firing of biomass in electr. plants;2004;1609.0;1.36;1609.0;1.36;1539.0;1.34;;;;
819;Co-firing of biomass in electr. plants;2005 1st quarter;;;931.0;3.0;893.0;2.99;;;;
820;Co-firing of biomass in electr. plants;2005 2nd quarter;;;885.0;3.13;850.0;3.11;;;;
821;Co-firing of biomass in electr. plants;2005 3rd quarter;;;807.0;2.85;774.0;2.82;;;;
822;Co-firing of biomass in electr. plants;2005 4th quarter;;;826.0;2.65;793.0;2.65;;;;
823;Co-firing of biomass in electr. plants;2005;3449.0;2.91;3449.0;2.91;3310.0;2.89;;;;
824;Co-firing of biomass in electr. plants;2006 1st quarter;;;1045.0;3.27;1000.0;3.27;;;;
825;Co-firing of biomass in electr. plants;2006 2nd quarter;;;1193.0;4.21;1141.0;4.1;;;;
826;Co-firing of biomass in electr. plants;2006 3rd quarter;;;495.0;1.72;473.0;1.73;;;;
827;Co-firing of biomass in electr. plants;2006 4th quarter;;;510.0;1.63;488.0;1.61;;;;
828;Co-firing of biomass in electr. plants;2006;3244.0;2.7;3244.0;2.7;3103.0;2.67;;;;
829;Co-firing of biomass in electr. plants;2007 1st quarter;;;356.0;1.1;335.0;1.07;;;;
830;Co-firing of biomass in electr. plants;2007 2nd quarter;;;372.0;1.28;350.0;1.25;;;;
831;Co-firing of biomass in electr. plants;2007 3rd quarter;;;542.0;1.86;511.0;1.82;;;;
832;Co-firing of biomass in electr. plants;2007 4th quarter;;;547.0;1.69;515.0;1.66;;;;
833;Co-firing of biomass in electr. plants;2007;1816.0;1.48;1816.0;1.48;1711.0;1.44;;;;
834;Co-firing of biomass in electr. plants;2008 1st quarter;;;633.0;1.91;596.0;1.86;;;;
835;Co-firing of biomass in electr. plants;2008 2nd quarter;;;332.0;1.14;313.0;1.11;;;;
836;Co-firing of biomass in electr. plants;2008 3rd quarter;;;526.0;1.81;495.0;1.76;;;;
837;Co-firing of biomass in electr. plants;2008 4th quarter;;;757.0;2.33;712.0;2.27;;;;
838;Co-firing of biomass in electr. plants;2008;2248.0;1.81;2248.0;1.81;2116.0;1.77;;;;
839;Co-firing of biomass in electr. plants;2009 1st quarter;;;728.0;2.3;688.0;2.27;;;;
840;Co-firing of biomass in electr. plants;2009 2nd quarter;;;694.0;2.5;656.0;2.45;;;;
841;Co-firing of biomass in electr. plants;2009 3rd quarter;;;644.0;2.36;609.0;2.32;;;;
842;Co-firing of biomass in electr. plants;2009 4th quarter;;;549.0;1.73;519.0;1.7;;;;
843;Co-firing of biomass in electr. plants;2009;2615.0;2.21;2615.0;2.21;2472.0;2.17;;;;
844;Co-firing of biomass in electr. plants;2010 1st quarter;;;778.0;2.46;731.0;2.4;;;;
845;Co-firing of biomass in electr. plants;2010 2nd quarter;;;784.0;2.78;737.0;2.71;;;;
846;Co-firing of biomass in electr. plants;2010 3rd quarter;;;744.0;2.62;700.0;2.54;;;;
847;Co-firing of biomass in electr. plants;2010 4th quarter;;;932.0;2.84;876.0;2.76;;;;
848;Co-firing of biomass in electr. plants;2010;3237.0;2.68;3237.0;2.68;3043.0;2.6;;;;
849;Co-firing of biomass in electr. plants;2011 1st quarter;;;951.0;2.96;890.0;2.86;;;;
850;Co-firing of biomass in electr. plants;2011 2nd quarter;;;875.0;3.1;819.0;3.0;;;;
851;Co-firing of biomass in electr. plants;2011 3rd quarter;;;800.0;2.79;749.0;2.7;;;;
852;Co-firing of biomass in electr. plants;2011 4th quarter;;;557.0;1.69;521.0;1.64;;;;
853;Co-firing of biomass in electr. plants;2011;3182.0;2.61;3182.0;2.61;2979.0;2.53;;;;
854;Co-firing of biomass in electr. plants;2012 1st quarter;;;927.0;2.94;880.0;2.88;;;;
855;Co-firing of biomass in electr. plants;2012 2nd quarter;;;739.0;2.65;701.0;2.6;;;;
856;Co-firing of biomass in electr. plants;2012 3rd quarter;;;731.0;2.59;694.0;2.54;;;;
857;Co-firing of biomass in electr. plants;2012 4th quarter;;;557.0;1.74;528.0;1.71;;;;
858;Co-firing of biomass in electr. plants;2012;2953.0;2.47;2953.0;2.47;2802.0;2.42;;;;
859;Co-firing of biomass in electr. plants;2013 1st quarter;;;535.0;1.73;503.0;1.68;;;;
860;Co-firing of biomass in electr. plants;2013 2nd quarter;;;396.0;1.46;372.0;1.41;;;;
861;Co-firing of biomass in electr. plants;2013 3rd quarter;;;472.0;1.7;444.0;1.64;;;;
862;Co-firing of biomass in electr. plants;2013 4th quarter;;;377.0;1.18;355.0;1.15;;;;
863;Co-firing of biomass in electr. plants;2013;1780.0;1.51;1780.0;1.51;1674.0;1.46;;;;
864;Other biomass combustion;1990;34.0;0.04;34.0;0.04;33.0;0.04;;;;
865;Other biomass combustion;1991;34.0;0.04;34.0;0.04;32.0;0.04;;;;
866;Other biomass combustion;1992;30.0;0.04;30.0;0.04;29.0;0.03;;;;
867;Other biomass combustion;1993;25.0;0.03;25.0;0.03;24.0;0.03;;;;
868;Other biomass combustion;1994;31.0;0.03;31.0;0.03;29.0;0.03;;;;
869;Other biomass combustion;1995;36.0;0.04;36.0;0.04;35.0;0.04;;;;
870;Other biomass combustion;1996;30.0;0.03;30.0;0.03;29.0;0.03;;;;
871;Other biomass combustion;1997;31.0;0.03;31.0;0.03;29.0;0.03;;;;
872;Other biomass combustion;1998;27.0;0.03;27.0;0.03;25.0;0.03;;;;
873;Other biomass combustion;1999;66.0;0.06;66.0;0.06;62.0;0.06;;;;
874;Other biomass combustion;2000;234.0;0.22;234.0;0.22;216.0;0.21;;;;
875;Other biomass combustion;2001;239.0;0.22;239.0;0.22;221.0;0.21;;;;
876;Other biomass combustion;2002 1st quarter;;;;;;;;;;
877;Other biomass combustion;2002 2nd quarter;;;;;;;;;;
878;Other biomass combustion;2002 3rd quarter;;;;;;;;;;
879;Other biomass combustion;2002 4th quarter;;;;;;;;;;
880;Other biomass combustion;2002;233.0;0.21;233.0;0.21;216.0;0.2;;;;
881;Other biomass combustion;2003 1st quarter;;;;;;;;;;
882;Other biomass combustion;2003 2nd quarter;;;;;;;;;;
883;Other biomass combustion;2003 3rd quarter;;;;;;;;;;
884;Other biomass combustion;2003 4th quarter;;;;;;;;;;
885;Other biomass combustion;2003;223.0;0.2;223.0;0.2;205.0;0.19;;;;
886;Other biomass combustion;2004 1st quarter;;;;;;;;;;
887;Other biomass combustion;2004 2nd quarter;;;;;;;;;;
888;Other biomass combustion;2004 3rd quarter;;;;;;;;;;
889;Other biomass combustion;2004 4th quarter;;;;;;;;;;
890;Other biomass combustion;2004;235.0;0.2;235.0;0.2;217.0;0.19;;;;
891;Other biomass combustion;2005 1st quarter;;;;;;;;;;
892;Other biomass combustion;2005 2nd quarter;;;;;;;;;;
893;Other biomass combustion;2005 3rd quarter;;;;;;;;;;
894;Other biomass combustion;2005 4th quarter;;;;;;;;;;
895;Other biomass combustion;2005;253.0;0.21;253.0;0.21;235.0;0.21;;;;
896;Other biomass combustion;2006 1st quarter;;;;;;;;;;
897;Other biomass combustion;2006 2nd quarter;;;;;;;;;;
898;Other biomass combustion;2006 3rd quarter;;;;;;;;;;
899;Other biomass combustion;2006 4th quarter;;;;;;;;;;
900;Other biomass combustion;2006;256.0;0.21;256.0;0.21;236.0;0.2;;;;
901;Other biomass combustion;2007 1st quarter;;;;;;;;;;
902;Other biomass combustion;2007 2nd quarter;;;;;;;;;;
903;Other biomass combustion;2007 3rd quarter;;;;;;;;;;
904;Other biomass combustion;2007 4th quarter;;;;;;;;;;
905;Other biomass combustion;2007;279.0;0.23;279.0;0.23;254.0;0.21;;;;
906;Other biomass combustion;2008 1st quarter;;;150.0;0.45;134.0;0.42;;;;
907;Other biomass combustion;2008 2nd quarter;;;169.0;0.58;152.0;0.54;;;;
908;Other biomass combustion;2008 3rd quarter;;;198.0;0.68;178.0;0.63;;;;
909;Other biomass combustion;2008 4th quarter;;;224.0;0.69;201.0;0.64;;;;
910;Other biomass combustion;2008;741.0;0.6;741.0;0.6;664.0;0.55;;;;
911;Other biomass combustion;2009 1st quarter;;;251.0;0.79;222.0;0.73;;;;
912;Other biomass combustion;2009 2nd quarter;;;268.0;0.97;238.0;0.89;;;;
913;Other biomass combustion;2009 3rd quarter;;;246.0;0.9;218.0;0.83;;;;
914;Other biomass combustion;2009 4th quarter;;;244.0;0.77;217.0;0.71;;;;
915;Other biomass combustion;2009;1009.0;0.85;1009.0;0.85;895.0;0.79;;;;
916;Other biomass combustion;2010 1st quarter;;;281.0;0.89;248.0;0.81;;;;
917;Other biomass combustion;2010 2nd quarter;;;253.0;0.9;223.0;0.82;;;;
918;Other biomass combustion;2010 3rd quarter;;;232.0;0.82;204.0;0.74;;;;
919;Other biomass combustion;2010 4th quarter;;;249.0;0.76;220.0;0.69;;;;
920;Other biomass combustion;2010;1015.0;0.84;1015.0;0.84;894.0;0.76;;;;
921;Other biomass combustion;2011 1st quarter;;;186.0;0.58;162.0;0.52;;;;
922;Other biomass combustion;2011 2nd quarter;;;178.0;0.63;156.0;0.57;;;;
923;Other biomass combustion;2011 3rd quarter;;;211.0;0.74;185.0;0.67;;;;
924;Other biomass combustion;2011 4th quarter;;;231.0;0.7;202.0;0.64;;;;
925;Other biomass combustion;2011;806.0;0.66;806.0;0.66;705.0;0.6;;;;
926;Other biomass combustion;2012 1st quarter;;;284.0;0.9;249.0;0.82;;;;
927;Other biomass combustion;2012 2nd quarter;;;225.0;0.81;198.0;0.73;;;;
928;Other biomass combustion;2012 3rd quarter;;;236.0;0.84;207.0;0.76;;;;
929;Other biomass combustion;2012 4th quarter;;;263.0;0.82;231.0;0.75;;;;
930;Other biomass combustion;2012;1007.0;0.84;1007.0;0.84;885.0;0.76;;;;
931;Other biomass combustion;2013 1st quarter;;;229.0;0.74;201.0;0.67;;;;
932;Other biomass combustion;2013 2nd quarter;;;238.0;0.87;210.0;0.79;;;;
