ID;MunicipalLeviesFrom2017Onwards;Regions;Periods;MunicipalLeviesInMillionOfEuros_1;MunicipalLeviesInEuroInhabitant_2
81;Total municipal tax;Flevoland (PV);2017;210.0;515.0
82;Total municipal tax;Flevoland (PV);2018;219.0;531.0
83;Total municipal tax;Flevoland (PV);2019;230.0;552.0
84;Total municipal tax;Flevoland (PV);2020;236.0;559.0
85;Total municipal tax;Flevoland (PV);2021;247.0;576.0
86;Total municipal tax;Flevoland (PV);2022;255.0;585.0
87;Total municipal tax;Flevoland (PV);2023;275.0;617.0
88;Total municipal tax;Flevoland (PV);2024;303.0;672.0
89;Total municipal tax;Flevoland (PV);2025;343.0;752.0
90;Total municipal tax;Gelderland (PV);2017;1054.0;514.0
91;Total municipal tax;Gelderland (PV);2018;1081.0;525.0
92;Total municipal tax;Gelderland (PV);2019;1107.0;534.0
93;Total municipal tax;Gelderland (PV);2020;1161.0;557.0
94;Total municipal tax;Gelderland (PV);2021;1218.0;581.0
95;Total municipal tax;Gelderland (PV);2022;1189.0;564.0
96;Total municipal tax;Gelderland (PV);2023;1235.0;579.0
97;Total municipal tax;Gelderland (PV);2024;1323.0;615.0
98;Total municipal tax;Gelderland (PV);2025;1421.0;658.0
99;Total municipal tax;Utrecht (PV);2017;676.0;526.0
100;Total municipal tax;Utrecht (PV);2018;697.0;538.0
101;Total municipal tax;Utrecht (PV);2019;750.0;559.0
102;Total municipal tax;Utrecht (PV);2020;790.0;583.0
103;Total municipal tax;Utrecht (PV);2021;853.0;627.0
104;Total municipal tax;Utrecht (PV);2022;887.0;648.0
105;Total municipal tax;Utrecht (PV);2023;959.0;691.0
106;Total municipal tax;Utrecht (PV);2024;1049.0;749.0
107;Total municipal tax;Utrecht (PV);2025;1151.0;817.0
108;Total municipal tax;Noord-Holland (PV);2017;1783.0;634.0
109;Total municipal tax;Noord-Holland (PV);2018;1889.0;667.0
110;Total municipal tax;Noord-Holland (PV);2019;2035.0;713.0
111;Total municipal tax;Noord-Holland (PV);2020;2259.0;785.0
112;Total municipal tax;Noord-Holland (PV);2021;2290.0;793.0
113;Total municipal tax;Noord-Holland (PV);2022;2350.0;807.0
114;Total municipal tax;Noord-Holland (PV);2023;2538.0;859.0
115;Total municipal tax;Noord-Holland (PV);2024;2821.0;946.0
116;Total municipal tax;Noord-Holland (PV);2025;3113.0;1040.0
117;Total municipal tax;Zuid-Holland (PV);2017;2149.0;588.0
118;Total municipal tax;Zuid-Holland (PV);2018;2197.0;597.0
119;Total municipal tax;Zuid-Holland (PV);2019;2268.0;617.0
120;Total municipal tax;Zuid-Holland (PV);2020;2401.0;647.0
121;Total municipal tax;Zuid-Holland (PV);2021;2544.0;683.0
122;Total municipal tax;Zuid-Holland (PV);2022;2581.0;688.0
123;Total municipal tax;Zuid-Holland (PV);2023;2804.0;737.0
124;Total municipal tax;Zuid-Holland (PV);2024;3056.0;796.0
125;Total municipal tax;Zuid-Holland (PV);2025;3298.0;854.0
126;Total municipal tax;Zeeland (PV);2017;265.0;695.0
127;Total municipal tax;Zeeland (PV);2018;272.0;710.0
128;Total municipal tax;Zeeland (PV);2019;278.0;725.0
129;Total municipal tax;Zeeland (PV);2020;289.0;753.0
130;Total municipal tax;Zeeland (PV);2021;305.0;790.0
131;Total municipal tax;Zeeland (PV);2022;311.0;805.0
132;Total municipal tax;Zeeland (PV);2023;329.0;841.0
133;Total municipal tax;Zeeland (PV);2024;348.0;887.0
134;Total municipal tax;Zeeland (PV);2025;367.0;933.0
135;Total municipal tax;Noord-Brabant (PV);2017;1216.0;484.0
136;Total municipal tax;Noord-Brabant (PV);2018;1242.0;491.0
137;Total municipal tax;Noord-Brabant (PV);2019;1287.0;506.0
138;Total municipal tax;Noord-Brabant (PV);2020;1362.0;531.0
139;Total municipal tax;Noord-Brabant (PV);2021;1423.0;553.0
140;Total municipal tax;Noord-Brabant (PV);2022;1478.0;570.0
141;Total municipal tax;Noord-Brabant (PV);2023;1530.0;582.0
142;Total municipal tax;Noord-Brabant (PV);2024;1652.0;624.0
143;Total municipal tax;Noord-Brabant (PV);2025;1772.0;665.0
144;Total municipal tax;Limburg (PV);2017;620.0;555.0
145;Total municipal tax;Limburg (PV);2018;629.0;563.0
146;Total municipal tax;Limburg (PV);2019;644.0;577.0
147;Total municipal tax;Limburg (PV);2020;676.0;605.0
148;Total municipal tax;Limburg (PV);2021;703.0;630.0
149;Total municipal tax;Limburg (PV);2022;726.0;649.0
150;Total municipal tax;Limburg (PV);2023;753.0;667.0
151;Total municipal tax;Limburg (PV);2024;797.0;703.0
152;Total municipal tax;Limburg (PV);2025;837.0;737.0
153;Total municipal tax;Oost-Groningen (CR);2017;72.0;490.0
154;Total municipal tax;Oost-Groningen (CR);2018;66.0;487.0
155;Total municipal tax;Oost-Groningen (CR);2019;67.0;495.0
156;Total municipal tax;Oost-Groningen (CR);2020;70.0;514.0
157;Total municipal tax;Oost-Groningen (CR);2021;73.0;540.0
158;Total municipal tax;Oost-Groningen (CR);2022;76.0;558.0
159;Total municipal tax;Oost-Groningen (CR);2023;79.0;570.0
160;Total municipal tax;Oost-Groningen (CR);2024;84.0;607.0
161;Total municipal tax;Oost-Groningen (CR);2025;86.0;620.0
162;Total municipal tax;Delfzijl en omgeving (CR);2017;30.0;642.0
163;Total municipal tax;Delfzijl en omgeving (CR);2018;30.0;651.0
164;Total municipal tax;Delfzijl en omgeving (CR);2019;30.0;662.0
165;Total municipal tax;Delfzijl en omgeving (CR);2020;32.0;688.0
166;Total municipal tax;Delfzijl en omgeving (CR);2021;32.0;699.0
167;Total municipal tax;Delfzijl en omgeving (CR);2022;32.0;708.0
168;Total municipal tax;Delfzijl en omgeving (CR);2023;36.0;783.0
169;Total municipal tax;Delfzijl en omgeving (CR);2024;37.0;818.0
170;Total municipal tax;Delfzijl en omgeving (CR);2025;38.0;851.0
171;Total municipal tax;Overig Groningen (CR);2017;231.0;593.0
172;Total municipal tax;Overig Groningen (CR);2018;241.0;599.0
173;Total municipal tax;Overig Groningen (CR);2019;257.0;638.0
174;Total municipal tax;Overig Groningen (CR);2020;277.0;684.0
175;Total municipal tax;Overig Groningen (CR);2021;294.0;724.0
176;Total municipal tax;Overig Groningen (CR);2022;309.0;758.0
177;Total municipal tax;Overig Groningen (CR);2023;327.0;792.0
178;Total municipal tax;Overig Groningen (CR);2024;354.0;846.0
179;Total municipal tax;Overig Groningen (CR);2025;371.0;884.0
180;Total municipal tax;Noord-Friesland (CR);2017;175.0;539.0
181;Total municipal tax;Noord-Friesland (CR);2018;173.0;544.0
182;Total municipal tax;Noord-Friesland (CR);2019;179.0;559.0
183;Total municipal tax;Noord-Friesland (CR);2020;187.0;583.0
184;Total municipal tax;Noord-Friesland (CR);2021;195.0;606.0
185;Total municipal tax;Noord-Friesland (CR);2022;198.0;612.0
186;Total municipal tax;Noord-Friesland (CR);2023;202.0;619.0
187;Total municipal tax;Noord-Friesland (CR);2024;216.0;657.0
188;Total municipal tax;Noord-Friesland (CR);2025;226.0;685.0
189;Total municipal tax;Zuidwest-Friesland (CR);2017;70.0;519.0
190;Total municipal tax;Zuidwest-Friesland (CR);2018;73.0;519.0
191;Total municipal tax;Zuidwest-Friesland (CR);2019;75.0;531.0
192;Total municipal tax;Zuidwest-Friesland (CR);2020;83.0;585.0
193;Total municipal tax;Zuidwest-Friesland (CR);2021;86.0;604.0
194;Total municipal tax;Zuidwest-Friesland (CR);2022;82.0;576.0
195;Total municipal tax;Zuidwest-Friesland (CR);2023;84.0;589.0
196;Total municipal tax;Zuidwest-Friesland (CR);2024;89.0;624.0
197;Total municipal tax;Zuidwest-Friesland (CR);2025;96.0;672.0
198;Total municipal tax;Zuidoost-Friesland (CR);2017;98.0;527.0
199;Total municipal tax;Zuidoost-Friesland (CR);2018;99.0;528.0
200;Total municipal tax;Zuidoost-Friesland (CR);2019;101.0;542.0
201;Total municipal tax;Zuidoost-Friesland (CR);2020;105.0;561.0
202;Total municipal tax;Zuidoost-Friesland (CR);2021;108.0;576.0
203;Total municipal tax;Zuidoost-Friesland (CR);2022;104.0;549.0
204;Total municipal tax;Zuidoost-Friesland (CR);2023;105.0;554.0
205;Total municipal tax;Zuidoost-Friesland (CR);2024;111.0;582.0
206;Total municipal tax;Zuidoost-Friesland (CR);2025;116.0;606.0
207;Total municipal tax;Noord-Drenthe (CR);2017;89.0;463.0
208;Total municipal tax;Noord-Drenthe (CR);2018;92.0;477.0
209;Total municipal tax;Noord-Drenthe (CR);2019;92.0;479.0
210;Total municipal tax;Noord-Drenthe (CR);2020;94.0;486.0
211;Total municipal tax;Noord-Drenthe (CR);2021;97.0;502.0
212;Total municipal tax;Noord-Drenthe (CR);2022;100.0;516.0
213;Total municipal tax;Noord-Drenthe (CR);2023;105.0;535.0
214;Total municipal tax;Noord-Drenthe (CR);2024;113.0;574.0
215;Total municipal tax;Noord-Drenthe (CR);2025;119.0;602.0
216;Total municipal tax;Zuidoost-Drenthe (CR);2017;90.0;538.0
217;Total municipal tax;Zuidoost-Drenthe (CR);2018;90.0;539.0
218;Total municipal tax;Zuidoost-Drenthe (CR);2019;91.0;542.0
219;Total municipal tax;Zuidoost-Drenthe (CR);2020;93.0;554.0
220;Total municipal tax;Zuidoost-Drenthe (CR);2021;98.0;583.0
221;Total municipal tax;Zuidoost-Drenthe (CR);2022;99.0;586.0
222;Total municipal tax;Zuidoost-Drenthe (CR);2023;101.0;592.0
223;Total municipal tax;Zuidoost-Drenthe (CR);2024;105.0;615.0
224;Total municipal tax;Zuidoost-Drenthe (CR);2025;109.0;638.0
225;Total municipal tax;Zuidwest-Drenthe (CR);2017;62.0;475.0
226;Total municipal tax;Zuidwest-Drenthe (CR);2018;63.0;480.0
227;Total municipal tax;Zuidwest-Drenthe (CR);2019;64.0;482.0
228;Total municipal tax;Zuidwest-Drenthe (CR);2020;68.0;507.0
229;Total municipal tax;Zuidwest-Drenthe (CR);2021;74.0;554.0
230;Total municipal tax;Zuidwest-Drenthe (CR);2022;75.0;553.0
231;Total municipal tax;Zuidwest-Drenthe (CR);2023;77.0;562.0
232;Total municipal tax;Zuidwest-Drenthe (CR);2024;80.0;584.0
233;Total municipal tax;Zuidwest-Drenthe (CR);2025;81.0;588.0
234;Total municipal tax;Noord-Overijssel (CR);2017;180.0;491.0
235;Total municipal tax;Noord-Overijssel (CR);2018;183.0;497.0
236;Total municipal tax;Noord-Overijssel (CR);2019;190.0;510.0
237;Total municipal tax;Noord-Overijssel (CR);2020;203.0;541.0
238;Total municipal tax;Noord-Overijssel (CR);2021;214.0;567.0
239;Total municipal tax;Noord-Overijssel (CR);2022;220.0;580.0
240;Total municipal tax;Noord-Overijssel (CR);2023;227.0;589.0
241;Total municipal tax;Noord-Overijssel (CR);2024;243.0;627.0
242;Total municipal tax;Noord-Overijssel (CR);2025;264.0;678.0
243;Total municipal tax;Zuidwest-Overijssel (CR);2017;78.0;504.0
244;Total municipal tax;Zuidwest-Overijssel (CR);2018;79.0;514.0
245;Total municipal tax;Zuidwest-Overijssel (CR);2019;81.0;518.0
246;Total municipal tax;Zuidwest-Overijssel (CR);2020;85.0;540.0
247;Total municipal tax;Zuidwest-Overijssel (CR);2021;88.0;561.0
248;Total municipal tax;Zuidwest-Overijssel (CR);2022;91.0;573.0
249;Total municipal tax;Zuidwest-Overijssel (CR);2023;92.0;575.0
250;Total municipal tax;Zuidwest-Overijssel (CR);2024;98.0;609.0
251;Total municipal tax;Zuidwest-Overijssel (CR);2025;105.0;648.0
252;Total municipal tax;Twente (CR);2017;326.0;520.0
253;Total municipal tax;Twente (CR);2018;330.0;525.0
254;Total municipal tax;Twente (CR);2019;339.0;539.0
255;Total municipal tax;Twente (CR);2020;356.0;564.0
256;Total municipal tax;Twente (CR);2021;370.0;585.0
257;Total municipal tax;Twente (CR);2022;381.0;600.0
258;Total municipal tax;Twente (CR);2023;393.0;615.0
259;Total municipal tax;Twente (CR);2024;420.0;655.0
260;Total municipal tax;Twente (CR);2025;443.0;688.0
261;Total municipal tax;Veluwe (CR);2017;353.0;521.0
262;Total municipal tax;Veluwe (CR);2018;371.0;543.0
263;Total municipal tax;Veluwe (CR);2019;381.0;553.0
264;Total municipal tax;Veluwe (CR);2020;401.0;577.0
265;Total municipal tax;Veluwe (CR);2021;414.0;590.0
266;Total municipal tax;Veluwe (CR);2022;398.0;563.0
267;Total municipal tax;Veluwe (CR);2023;409.0;571.0
268;Total municipal tax;Veluwe (CR);2024;437.0;605.0
269;Total municipal tax;Veluwe (CR);2025;465.0;640.0
270;Total municipal tax;Achterhoek (CR);2017;181.0;454.0
271;Total municipal tax;Achterhoek (CR);2018;182.0;454.0
272;Total municipal tax;Achterhoek (CR);2019;185.0;463.0
273;Total municipal tax;Achterhoek (CR);2020;194.0;483.0
274;Total municipal tax;Achterhoek (CR);2021;212.0;527.0
275;Total municipal tax;Achterhoek (CR);2022;211.0;522.0
276;Total municipal tax;Achterhoek (CR);2023;216.0;532.0
277;Total municipal tax;Achterhoek (CR);2024;230.0;565.0
278;Total municipal tax;Achterhoek (CR);2025;242.0;594.0
279;Total municipal tax;Arnhem/Nijmegen (CR);2017;410.0;561.0
280;Total municipal tax;Arnhem/Nijmegen (CR);2018;416.0;565.0
281;Total municipal tax;Arnhem/Nijmegen (CR);2019;426.0;577.0
282;Total municipal tax;Arnhem/Nijmegen (CR);2020;445.0;599.0
283;Total municipal tax;Arnhem/Nijmegen (CR);2021;463.0;622.0
284;Total municipal tax;Arnhem/Nijmegen (CR);2022;465.0;621.0
285;Total municipal tax;Arnhem/Nijmegen (CR);2023;488.0;645.0
286;Total municipal tax;Arnhem/Nijmegen (CR);2024;527.0;690.0
287;Total municipal tax;Arnhem/Nijmegen (CR);2025;572.0;743.0
288;Total municipal tax;Zuidwest-Gelderland (CR);2017;109.0;453.0
289;Total municipal tax;Zuidwest-Gelderland (CR);2018;113.0;468.0
290;Total municipal tax;Zuidwest-Gelderland (CR);2019;115.0;472.0
291;Total municipal tax;Zuidwest-Gelderland (CR);2020;121.0;492.0
292;Total municipal tax;Zuidwest-Gelderland (CR);2021;129.0;519.0
293;Total municipal tax;Zuidwest-Gelderland (CR);2022;115.0;460.0
294;Total municipal tax;Zuidwest-Gelderland (CR);2023;122.0;480.0
295;Total municipal tax;Zuidwest-Gelderland (CR);2024;129.0;504.0
296;Total municipal tax;Zuidwest-Gelderland (CR);2025;143.0;555.0
297;Total municipal tax;Utrecht (CR);2017;676.0;526.0
298;Total municipal tax;Utrecht (CR);2018;697.0;538.0
299;Total municipal tax;Utrecht (CR);2019;750.0;559.0
300;Total municipal tax;Utrecht (CR);2020;790.0;583.0
301;Total municipal tax;Utrecht (CR);2021;853.0;627.0
302;Total municipal tax;Utrecht (CR);2022;887.0;648.0
303;Total municipal tax;Utrecht (CR);2023;959.0;691.0
304;Total municipal tax;Utrecht (CR);2024;1049.0;749.0
305;Total municipal tax;Utrecht (CR);2025;1151.0;817.0
306;Total municipal tax;Kop van Noord-Holland (CR);2017;186.0;497.0
307;Total municipal tax;Kop van Noord-Holland (CR);2018;188.0;501.0
308;Total municipal tax;Kop van Noord-Holland (CR);2019;193.0;515.0
309;Total municipal tax;Kop van Noord-Holland (CR);2020;201.0;531.0
310;Total municipal tax;Kop van Noord-Holland (CR);2021;209.0;551.0
311;Total municipal tax;Kop van Noord-Holland (CR);2022;220.0;578.0
312;Total municipal tax;Kop van Noord-Holland (CR);2023;239.0;621.0
313;Total municipal tax;Kop van Noord-Holland (CR);2024;253.0;653.0
314;Total municipal tax;Kop van Noord-Holland (CR);2025;267.0;686.0
315;Total municipal tax;Alkmaar en omgeving (CR);2017;128.0;527.0
316;Total municipal tax;Alkmaar en omgeving (CR);2018;136.0;556.0
317;Total municipal tax;Alkmaar en omgeving (CR);2019;139.0;561.0
318;Total municipal tax;Alkmaar en omgeving (CR);2020;146.0;586.0
319;Total municipal tax;Alkmaar en omgeving (CR);2021;152.0;606.0
320;Total municipal tax;Alkmaar en omgeving (CR);2022;151.0;598.0
321;Total municipal tax;Alkmaar en omgeving (CR);2023;159.0;623.0
322;Total municipal tax;Alkmaar en omgeving (CR);2024;171.0;668.0
323;Total municipal tax;Alkmaar en omgeving (CR);2025;185.0;720.0
324;Total municipal tax;IJmond (CR);2017;97.0;494.0
325;Total municipal tax;IJmond (CR);2018;98.0;495.0
326;Total municipal tax;IJmond (CR);2019;100.0;506.0
327;Total municipal tax;IJmond (CR);2020;104.0;523.0
328;Total municipal tax;IJmond (CR);2021;108.0;543.0
329;Total municipal tax;IJmond (CR);2022;107.0;534.0
330;Total municipal tax;IJmond (CR);2023;111.0;553.0
331;Total municipal tax;IJmond (CR);2024;118.0;586.0
332;Total municipal tax;IJmond (CR);2025;127.0;626.0
333;Total municipal tax;Agglomeratie Haarlem (CR);2017;161.0;695.0
334;Total municipal tax;Agglomeratie Haarlem (CR);2018;163.0;701.0
335;Total municipal tax;Agglomeratie Haarlem (CR);2019;169.0;738.0
336;Total municipal tax;Agglomeratie Haarlem (CR);2020;176.0;763.0
337;Total municipal tax;Agglomeratie Haarlem (CR);2021;184.0;797.0
338;Total municipal tax;Agglomeratie Haarlem (CR);2022;183.0;792.0
339;Total municipal tax;Agglomeratie Haarlem (CR);2023;194.0;825.0
340;Total municipal tax;Agglomeratie Haarlem (CR);2024;214.0;906.0
341;Total municipal tax;Agglomeratie Haarlem (CR);2025;233.0;981.0
342;Total municipal tax;Zaanstreek (CR);2017;96.0;565.0
343;Total municipal tax;Zaanstreek (CR);2018;101.0;590.0
344;Total municipal tax;Zaanstreek (CR);2019;102.0;595.0
345;Total municipal tax;Zaanstreek (CR);2020;106.0;610.0
346;Total municipal tax;Zaanstreek (CR);2021;109.0;627.0
347;Total municipal tax;Zaanstreek (CR);2022;114.0;656.0
348;Total municipal tax;Zaanstreek (CR);2023;118.0;672.0
349;Total municipal tax;Zaanstreek (CR);2024;126.0;705.0
350;Total municipal tax;Zaanstreek (CR);2025;129.0;719.0
351;Total municipal tax;Groot-Amsterdam (CR);2017;985.0;731.0
352;Total municipal tax;Groot-Amsterdam (CR);2018;1067.0;785.0
353;Total municipal tax;Groot-Amsterdam (CR);2019;1195.0;867.0
354;Total municipal tax;Groot-Amsterdam (CR);2020;1386.0;995.0
355;Total municipal tax;Groot-Amsterdam (CR);2021;1379.0;988.0
356;Total municipal tax;Groot-Amsterdam (CR);2022;1424.0;1008.0
357;Total municipal tax;Groot-Amsterdam (CR);2023;1570.0;1076.0
358;Total municipal tax;Groot-Amsterdam (CR);2024;1778.0;1204.0
359;Total municipal tax;Groot-Amsterdam (CR);2025;2002.0;1350.0
360;Total municipal tax;Het Gooi en Vechtstreek (CR);2017;129.0;516.0
361;Total municipal tax;Het Gooi en Vechtstreek (CR);2018;136.0;539.0
362;Total municipal tax;Het Gooi en Vechtstreek (CR);2019;137.0;538.0
363;Total municipal tax;Het Gooi en Vechtstreek (CR);2020;141.0;547.0
364;Total municipal tax;Het Gooi en Vechtstreek (CR);2021;149.0;574.0
365;Total municipal tax;Het Gooi en Vechtstreek (CR);2022;151.0;580.0
366;Total municipal tax;Het Gooi en Vechtstreek (CR);2023;146.0;598.0
367;Total municipal tax;Het Gooi en Vechtstreek (CR);2024;161.0;656.0
368;Total municipal tax;Het Gooi en Vechtstreek (CR);2025;170.0;691.0
369;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2017;258.0;612.0
370;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2018;267.0;629.0
371;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2019;276.0;647.0
372;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2020;289.0;671.0
373;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2021;304.0;704.0
374;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2022;303.0;698.0
375;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2023;322.0;731.0
376;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2024;350.0;785.0
377;Total municipal tax;Agglomeratie Leiden en Bollenstreek (CR);2025;381.0;852.0
378;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2017;446.0;523.0
379;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2018;456.0;528.0
380;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2019;490.0;562.0
381;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2020;527.0;597.0
382;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2021;575.0;648.0
383;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2022;578.0;645.0
384;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2023;650.0;714.0
385;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2024;692.0;754.0
386;Total municipal tax;Agglomeratie 's-Gravenhage (CR);2025;749.0;811.0
387;Total municipal tax;Delft en Westland (CR);2017;127.0;563.0
388;Total municipal tax;Delft en Westland (CR);2018;128.0;560.0
389;Total municipal tax;Delft en Westland (CR);2019;133.0;577.0
390;Total municipal tax;Delft en Westland (CR);2020;142.0;609.0
391;Total municipal tax;Delft en Westland (CR);2021;151.0;645.0
392;Total municipal tax;Delft en Westland (CR);2022;155.0;656.0
393;Total municipal tax;Delft en Westland (CR);2023;161.0;671.0
394;Total municipal tax;Delft en Westland (CR);2024;175.0;714.0
395;Total municipal tax;Delft en Westland (CR);2025;183.0;741.0
396;Total municipal tax;Oost-Zuid-Holland (CR);2017;179.0;551.0
397;Total municipal tax;Oost-Zuid-Holland (CR);2018;179.0;547.0
398;Total municipal tax;Oost-Zuid-Holland (CR);2019;182.0;550.0
399;Total municipal tax;Oost-Zuid-Holland (CR);2020;190.0;569.0
400;Total municipal tax;Oost-Zuid-Holland (CR);2021;198.0;586.0
401;Total municipal tax;Oost-Zuid-Holland (CR);2022;201.0;589.0
402;Total municipal tax;Oost-Zuid-Holland (CR);2023;214.0;620.0
403;Total municipal tax;Oost-Zuid-Holland (CR);2024;230.0;659.0
404;Total municipal tax;Oost-Zuid-Holland (CR);2025;252.0;718.0
405;Total municipal tax;Groot-Rijnmond (CR);2017;919.0;645.0
406;Total municipal tax;Groot-Rijnmond (CR);2018;946.0;661.0
407;Total municipal tax;Groot-Rijnmond (CR);2019;982.0;681.0
408;Total municipal tax;Groot-Rijnmond (CR);2020;1041.0;715.0
409;Total municipal tax;Groot-Rijnmond (CR);2021;1098.0;751.0
410;Total municipal tax;Groot-Rijnmond (CR);2022;1127.0;766.0
411;Total municipal tax;Groot-Rijnmond (CR);2023;1227.0;824.0
