ID;Selectiegroep;k_1977_1;k_1978_2;k_1979_3;k_1980_4;k_1981_5;k_1982_6;k_1983_7;k_1984_8;k_1985_9;k_1986_10;k_1987_11;k_1988_12;k_1989_13;k_1990_14;k_1991_15;k_1992_16;k_1993_17;k_1994_18;k_1995_19;k_1996_20;k_1997_21;k_1998_22;k_1999_23;k_2000_24;k_2001_25;k_2002_26;k_2003_27
25;Astra Informatica Groep NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;40;0;0;0
26;ASW Apparatenfabriek NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;Atag Holding NV;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;37;0;0;0
28;Athlon Groep NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
29;Audet NV;99;99;99;99;99;99;99;99;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;Avalix Groep NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;40;0;0;0
31;Axa Stenman Industries NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;35
32;Axxicon Group NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;35;0;0;0
33;Baan Company NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;75;75;75;75;75
34;Ballast Nedam NV;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
35;Batenburg Beheer NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
36;A L van Beek NV;99;99;99;99;99;99;99;99;99;99;75;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;Beers NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;75;35;0;0
38;Benckiser NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;75;35;0;0;0
39;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99
40;BE Semiconductors Industries NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99
41;Beter Bed Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99
42;Blue Fox Enterprises NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99
43;Blydenstein-Willink NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
44;Braat Bouwstoffen NV;99;99;99;99;99;99;99;99;99;99;99;99;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;Brink Molijn Beheer NV;0;0;0;0;0;0;0;15;99;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;Brocacef Holding NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0
47;Brunel International NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99
48;Buhrmann NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;99;99;99;99;70;99;99;99;99;99
49;Buhrmann-Tetterode NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;40;0;0;0;0;0;0;0;0;0;0
50;Burgman Heybroek NV;0;0;10;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35
51;Caland Holdings NV;99;99;99;99;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;Cap Gemini NV;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0
53;Centric KSI Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99
54;Ceteco Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;25;0;0;0;0
55;Chamotte Unie NV;99;99;99;99;99;99;99;99;99;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;Cindu International NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0
57;Computer Services Solutions Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;25;0
58;Content Beheer NV;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;35;0;0;0;0
59;Copaco NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99
60;C/Tac Align NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
61;CSM NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
62;Crucell NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99
63;DAF NV;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;25;0;0;0;0;0;0;0;0;0;0;0
64;Datex Holding NV;0;0;0;0;0;0;0;0;0;0;15;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;Delft Instruments NV;0;0;0;0;0;0;0;0;0;0;0;0;0;10;99;99;99;99;99;99;99;99;99;99;99;99;99
66;NV Deli Maatschappij;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;Detron Group NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;30;0;0;0
68;Devote NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;30;0;0
69;NV Dico International;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
70;Dikkers & Co NV;99;99;75;75;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;DNC De Nederlanden Compagnie NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;75;99;99;99;75;75
72;Docdata NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99
73;van Dorp Despec Groep NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0
74;Douwe Egberts Kon Tabaksfabriek NV;0;0;0;0;0;15;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;DPA Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99
76;Draka Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99
77;Drentsch Overijsselse Houth. NV Holdoh;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;DSM NV;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99
79;Duiker NV;99;99;99;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;Ehco-KLM Kleding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;30;0;0;0;0;0;0;0;0
81;Elsevier NV;99;99;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;Elsevier NV;0;0;10;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
83;Exendis NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
84;145;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99
85;Emba Maatschappij NV;99;99;99;99;99;99;99;99;99;99;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;Endemol Entertainment Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;35;0;0;0
87;Enkes NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;Eriks Holding NV;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
89;European Marketing Information Serv. NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;75;25;0
90;Exact Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99
91;Fearnly International NV;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;Flexovit International NV;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;35;0;0;0;0;0
93;Free Record Shop Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;50;0
94;Ford NV;99;99;99;99;50;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;Fornix Biosciences NV (vh Artu);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99
96;110;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99
97;Fox Kids Europe NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;99;99;99
98;Fugro NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99
99;Furness NV;99;99;99;99;99;99;99;99;99;99;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0
100;Gamma Holding NV;99;99;99;99;99;99;99;99;99;99;99;99;65;99;99;99;99;99;99;99;99;99;99;99;99;99;99
101;Gelatine Delft NV;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;van Gelder en Zonen NV;99;99;99;75;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;Gelderse Papiergroep NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;35;0;0;0
104;NV Gem. Bezit Crown Van Gelder;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
105;135;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;35;0;0;0;0;0;0;0
106;George Droge NV;99;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;NV Gerofabriek;99;99;99;99;99;99;99;99;75;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;Getronics NV;0;0;0;0;0;0;0;0;0;0;15;65;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
109;Geveke NV;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;75;35
110;van der Giessen-de Noord NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;75;30;0;0;0;0;0
111;Gouda Vuurvast Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
112;Grasso's Kon. Machinefabrieken NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0
113;Groenendijk Yellowcabin Europa NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;35;0;0;0;0;0;0;0
114;Grofsmederij NV;75;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;Grontmij NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
116;Groothandelsgebouwen NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;50;0;0;0
117;NV GTI Holding;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0
118;Hagemeyer NV;99;99;99;99;99;99;99;99;99;99;99;65;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
119;HAL NV;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;NV Handel- en Industrie Mij Ceteco;99;99;99;99;99;99;99;99;99;99;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;Handel Mij Deli Atjeh NV;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;NV Handelmij v.h. Joh. Wolff & Co.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;35;0;0;0;0;0;0;0
123;HCS Technology NV;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;25;0;0;0;0;0;0;0;0;0;0;0
124;van Heek -Tweka NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;25
125;Heijmans NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99
126;Heineken NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
127;Helma Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;Helvoet Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;75;50;0
129;Hero NV;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;H.E.S. Beheer NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99
131;Hitt NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99
132;Jean Heybroek NV;99;99;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;Heybroek & Co NV;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;HIM Furness;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;50;0;0;0
135;NV W A Hoek's Machine- en Zuurstoffab.;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0
136;Holec NV;99;99;99;99;99;99;99;99;99;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;Holland Chemical International NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;35;0;0;0
138;Holland Colours NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99
139;Hollandia Industriële Mij. NV;0;10;99;99;99;99;99;99;99;99;99;99;99;99;99;60;0;0;0;0;0;0;0;0;0;0;0
140;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;99;99;99;40;0;0;0;0;0;0;0
141;Hollandsche Beton Groep NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0
142;Holland Sea Search Holding NV;0;0;0;0;0;15;75;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0
143;155;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;75;99;99;99;99
144;Hotel de L'Europe NV;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;Houthandel v/h Key NV;99;99;99;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
146;Hunter Douglas NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
147;IBB - Kondor Groep NV;99;99;99;99;99;99;99;99;99;99;99;99;99;40;0;0;0;0;0;0;0;0;0;0;0;0;0
148;ICA Holdings NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;ICT Automatisering NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99
150;ICU NV;99;99;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;IGB Holding NV;0;0;0;0;0;0;0;0;0;15;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;IHC Caland NV;0;0;0;0;15;99;99;65;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
153;NV Industrieële Mij;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0
154;Imtech NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
155;Infotheek Groep NV;0;0;0;0;0;0;0;0;0;0;0;0;15;99;25;0;0;0;0;0;0;0;0;0;0;0;0
156;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;99;99;99;99;99;99;99;99;99;99;99;99
157;NV Interlas;99;99;75;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
158;Innoconcepts NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99
159;Inventum NV;99;99;99;99;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;Isotis NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0
161;Kappa NV;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162;160;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99
163;165;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;35;0;0
164;Kendrion NV;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
165;Klene's Suikerwerkfabriek NV;99;99;99;99;99;99;99;99;99;99;99;99;99;40;0;0;0;0;0;0;0;0;0;0;0;0;0
166;Klene Holding NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;35;0;0;0;0
167;F. Kloos en zonen NV;99;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;Kluwer NV;99;99;99;99;99;99;99;99;99;99;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
169;KNSM NV;99;99;99;75;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;KPN Qwest NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;75;25;0
171;Kondor Wessels Groep NV;0;0;0;0;0;0;0;0;0;0;0;0;0;10;99;99;99;99;99;99;65;0;0;0;0;0;0
172;Koninklijke Ahold NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;75
173;Koninklijke Ahrend Groep NV;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0
174;Koninklijke BAM Groep NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
175;Koninklijke Begemann Groep NV;99;99;99;99;99;99;99;99;50;99;99;99;65;99;65;99;99;99;60;99;99;99;99;99;99;99;99
176;Koninklijke van Besouw NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;25;0;0;0;0;0;0;0;0
177;NV Koninklijke Bijenkorf Beheer KBB;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;30;0;0;0;0
178;Koninklijke de Boer Boekhoven NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0
179;Koninklijke Borsumij Whery NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;30;0;0;0;0;0;0;0;0
180;Koninklijke Boskalis Westminster NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
181;Koninklijke Brill NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99
182;NV Kon. Distilleerderij Erven Lucas Bols;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;40;0;0;0;0;0;0;0;0;0;0
183;Koninklijke Econosto NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
184;Kon. Emballage Industrie Van Leer NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;35;0;0;0;0
185;Koninklijke Gist-Brocades NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;30;0;0;0;0;0
186;Koninklijke Grolsch NV;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
187;Koninklijke Hoogovens NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0
188;Koninklijke Houthandel William Pont NV;99;99;99;99;99;99;99;99;99;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
189;NV Koninklijke van Kempen en Begeer;99;99;99;99;99;99;99;99;99;65;99;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;Koninklijke KPN NV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;70;99;99;99;99;99
191;Koninklijke Landré & Merrem NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;30;0;0;0;0
192;Koninklijke Luchtvaart Maatschappij NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
193;Koninklijke Frans Maas Groep NV;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
194;Kononinklijk Ned. Papierfabrieken NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;40;0;0;0;0;0;0;0;0;0;0
195;NV Kon. Ned. Petroleum Maatschappij;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
196;185;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;35;0;0
197;NV Kon. Ned Vliegtuigenfabriek Fokker;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;75;25;0;0;0;0;0;0;0
198;Koninklijke Nedlloyd NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
199;Koninklijke Nedschroef Holding nv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;99;99;99;99;99;99;99;99;99
200;Koninklijke Numico NV;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
201;Koninklijke van Ommeren NV;0;0;0;0;0;0;0;0;0;0;10;65;99;99;99;99;99;99;99;99;99;99;40;0;0;0;0
