ID;Geslacht;Perioden;Vergrijzing_1;Alleenstaanden3064Jaar_2;NietWesterseAllochtonen_3;TotaleBevolkingsgroei_4;Levensverwachting65Jaar_5;Eigenaar_6;WoonuitgavenQuoteVoorEigenaren_7;WoonuitgavenQuoteVoorHuurders_8;PrijsindexcijferWoningenTotaal_9;PrijsindexcijferAppartementen_10;GemiddeldeVerkoopprijsWoningenTotaal_11;GemiddeldeVerkoopprijsAppartementen_12;GeluidshinderVanBuren_13;GeluidshinderVanWegverkeer_14;SlachtofferschapGeweldsdelicten_15;SlachtofferschapVernieling_16;SlachtofferschapVanDiefstaldelicten_17;TotaalSlachtofferschapDelicten_18;Onveiligheidsgevoelens_19;Onderwijsuitgaven_20;Onderwijsdeelname_21;DropOutsVSVErs_22;Opleidingsniveau_23;MensenZonderDiploma_24;BetaaldWerk_25;Werkloosheid_26;Arbeidsduur_27;Zelfstandigen_28;FlexibeleArbeidsrelatie_29;Uurloon_30;Beroepsniveau_31;Werkdruk_32;LageAutonomie_33;Kracht_34;Arbeidsongeschiktheid_35;Ziekteverzuim_36;AantalVerplaatsingen_37;AfgelegdeAfstand_38;VervoerwijzeAuto_39;VervoerwijzeOpenbaarVervoer_40;Verkeersdoden_41;BBPPerCapita_42;GemiddeldInkomen_43;DynamischeKoopkrachtontwikkeling_44;Inkomensverdeling_45;VoornaamsteInkomensbron_46;VasteLasten_47;Consumentenvertrouwen_48;MoeilijkRondkomen_49;PCBezitInCombinatieMetInternet_50;KopenViaInternet_51;TevredenheidMetVriendenEnKennissen_52;NietGeisoleerdVoelen_53;ContactMetBuren_54;ContactMetFamilie_55;ContactMetVrienden_56;TVKijken_57;Sportbeoefening_58;Buitenrecreatie_59;TevredenheidMetVrijetijdsbesteding_60;AanVrijeTijdBesteedGeld_61;LevensverwachtingBijGeboorte_62;ErvarenGezondheid_63;LichamelijkeBeperkingen_64;Roken_65;Overgewicht_66;PsychischeGezondheid_67;PolitiekeInteresse_68;ActiviteitenVoorPolitiekePartij_69;KerkelijkeGezindte_70;Kerkgang_71;OnbetaaldeArbeid_72;HuishoudelijkWerk_73;Kinderverzorging_74;GeorganiseerdVrijwilligerswerk_75;InformeleHulp_76
10;Totaal personen/huishoudens;2000;13.6;13.5;8.9;7.8;;50.4;32.1;36.2;75.0;75.0;172050.0;124177.0;20.0;29.0;5.1;11.1;12.4;26.0;20.8;1502.0;21.3;6.1;21.2;12.0;72.1;3.8;67.9;11.6;8.7;16.44;29.0;5.7;34.0;23.0;13.8;5.5;3.11;32.01;48.6;4.8;6.8;26244.0;17.5;5.0;98.3;66.6;34.2;24.0;9.0;45.0;16.0;49.0;88.0;66.0;83.0;79.0;69.0;54.0;50.0;36.0;2711.0;;19.6;12.0;32.7;44.1;;49.0;1.0;59.0;22.0;;;;45.0;35.0
11;Totaal personen/huishoudens;2001;13.6;13.8;9.3;7.4;;;;;83.0;84.0;188397.0;138613.0;21.0;30.0;5.9;10.6;12.1;25.2;22.5;1628.0;21.7;6.8;20.2;12.5;72.6;3.5;66.6;12.5;8.0;17.58;27.5;5.6;32.0;23.0;14.0;5.4;3.07;31.75;48.5;4.9;6.2;27903.0;19.1;1.6;101.4;66.8;;-1.0;8.0;56.0;23.0;49.0;89.0;67.0;84.0;79.0;69.0;55.0;47.0;38.0;;;19.2;11.4;33.3;44.8;78.5;51.0;1.0;60.0;22.0;13.0;39.0;6.0;43.0;33.0
12;Totaal personen/huishoudens;2002;13.7;14.0;9.7;5.4;;52.2;;;89.0;90.0;199752.0;148882.0;20.0;32.0;6.0;12.0;12.9;27.3;25.4;1729.0;21.7;;21.0;11.9;73.0;4.1;64.9;12.4;7.4;18.27;28.4;5.7;33.0;23.0;14.1;5.3;3.07;31.82;49.5;4.6;6.2;28808.0;19.7;0.1;101.3;66.7;;-20.0;10.0;64.0;27.0;49.0;89.0;69.0;85.0;79.0;69.0;55.0;48.0;36.0;;;19.4;11.0;32.3;44.8;78.8;60.0;1.0;60.0;22.0;;;;42.0;35.0
13;Totaal personen/huishoudens;2003;13.7;14.3;10.0;4.0;;;32.0;35.8;92.0;94.0;204829.0;153562.0;;33.0;5.8;11.0;11.9;25.7;23.7;1849.0;21.8;;22.2;11.2;71.6;5.4;63.6;12.6;7.2;18.92;29.3;5.6;;23.0;14.0;4.7;3.09;31.92;48.5;4.5;6.4;29396.0;19.8;0.7;103.2;65.7;33.0;-35.0;12.0;68.0;31.0;49.0;88.0;70.0;85.0;79.0;68.0;56.0;48.0;35.0;3130.0;;19.5;11.9;30.8;46.1;79.3;;1.0;58.0;21.0;13.0;40.0;6.0;42.0;34.0
14;Totaal personen/huishoudens;2004;13.8;14.4;10.3;2.9;;;32.4;36.0;96.0;97.0;212723.0;158983.0;;31.0;5.3;11.4;12.1;25.6;21.8;1919.0;21.9;;24.1;9.8;71.1;6.4;63.0;13.1;7.5;19.42;29.7;5.6;;24.0;13.9;4.3;3.06;32.71;49.7;4.6;5.1;30167.0;20.2;-0.3;100.9;64.9;;-25.0;13.0;73.0;37.0;49.0;89.0;71.0;85.0;80.0;71.0;57.0;48.0;36.0;3151.0;;19.6;12.7;29.6;46.5;78.6;;1.0;59.0;19.0;;;;43.0;35.0
15;Totaal personen/huishoudens;2005;14.0;14.6;10.4;1.8;;;33.3;37.7;100.0;100.0;222706.0;164914.0;20.0;32.0;5.8;13.0;14.4;28.8;27.0;1998.0;22.0;5.9;24.7;9.1;71.5;6.5;62.6;13.4;8.2;19.74;29.1;;;25.0;13.0;4.3;3.0;32.22;48.3;4.7;4.7;31459.0;20.6;3.0;100.0;64.5;;-22.0;17.0;82.0;46.0;49.0;89.0;71.0;86.0;80.0;69.0;58.0;48.0;35.0;3219.0;;20.1;13.0;29.5;44.9;78.7;;;59.0;20.0;;;;;
16;Totaal personen/huishoudens;2006;14.3;14.9;10.5;1.5;;53.7;33.4;38.0;104.0;104.0;235843.0;173973.0;20.0;33.0;5.1;12.0;12.9;27.2;23.7;2079.0;22.2;5.3;24.9;8.7;72.5;5.5;62.3;13.6;8.8;18.39;29.1;;;24.0;11.9;4.4;3.03;32.31;47.5;4.6;4.6;34903.0;21.4;3.1;102.3;64.7;;-1.0;15.0;85.0;52.0;49.0;90.0;69.0;87.0;81.0;67.0;59.0;46.0;34.0;3280.0;;19.1;12.1;29.6;46.5;79.1;;;58.0;19.0;;;;;
17;Totaal personen/huishoudens;2007;14.5;15.1;10.6;2.9;;54.5;33.6;37.9;109.0;108.0;248325.0;185747.0;21.0;34.0;5.3;11.7;11.2;25.8;21.8;2149.0;22.3;5.1;25.4;8.3;74.3;4.5;61.8;13.8;9.5;18.9;29.6;;;18.0;11.1;4.4;2.99;32.58;48.5;4.7;4.7;36254.0;22.8;1.3;94.5;65.6;;8.0;11.0;87.0;58.0;51.0;91.0;68.0;86.0;81.0;66.0;60.0;48.0;36.0;3548.0;;18.8;12.4;27.9;45.5;79.1;;1.0;57.0;19.0;;;;44.0;28.0
18;Totaal personen/huishoudens;2008;14.7;15.3;10.8;4.9;;55.2;32.9;38.5;112.0;112.0;254918.0;195121.0;19.0;31.0;5.2;11.9;10.9;25.4;20.3;2290.0;22.4;5.0;26.5;8.4;75.9;3.8;61.2;13.8;9.5;19.5;30.5;;;21.0;10.5;4.3;;;;;4.3;34602.0;23.2;1.4;99.6;66.3;;-20.0;12.0;89.0;60.0;52.0;91.0;68.0;86.0;80.0;67.0;60.0;45.0;39.0;3595.0;;19.4;12.4;27.6;46.9;79.7;;1.0;58.0;19.0;;;;42.0;30.0
19;Totaal personen/huishoudens;2009;15.0;15.5;11.0;5.4;;55.9;33.6;39.1;108.0;108.0;238259.0;186370.0;19.0;29.0;;;;;;;22.5;4.5;27.1;8.3;75.6;4.8;60.3;13.9;9.0;20.01;31.0;;;18.0;10.2;4.3;;;;;4.1;;23.4;1.5;100.8;65.4;;-22.0;11.0;92.0;68.0;49.0;89.0;68.0;86.0;81.0;;;48.0;37.0;3723.0;;18.6;12.8;27.1;47.2;79.3;;;54.0;18.0;;;;;
