ID;Toepassingsgroepen;SectorenEnGewassen;Perioden;BedrijvenMetGebruik_1;OppervlakteMetGebruik_2;GebruikGeheleJaar_3;GebruikPerHectare_4;GebruikInJanuari_5;GebruikInFebruari_6;GebruikInMaart_7;GebruikInApril_8;GebruikInMei_9;GebruikInJuni_10;GebruikInJuli_11;GebruikInAugustus_12;GebruikInSeptember_13;GebruikInOktober_14;GebruikInNovember_15;GebruikInDecember_16;MinimaalGebruik_17;GemiddeldLaagGebruik_18;GemiddeldGebruik_19;GemiddeldHoogGebruik_20;MaximaalGebruik_21
46;Totaal chemische bestrijdingsmiddelen;Zomergerst;2000;3113;43537;59749;1.4;0.1;0.0;0.0;3.2;62.5;31.8;1.1;0.3;0.0;1.0;0.0;0.0;0.0;0.6;1.4;2.8;4.2
47;Totaal chemische bestrijdingsmiddelen;Zomergerst;2004;6518;44781;59279;1.3;0.0;0.0;0.0;9.1;72.0;16.8;2.0;0.1;0.0;0.0;0.0;0.0;0.0;0.6;1.323749;2.5;4.5
48;Totaal chemische bestrijdingsmiddelen;Zomergerst excl. zwavel en bact.prep.;1995;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49;Totaal chemische bestrijdingsmiddelen;Zomergerst excl. zwavel en bact.prep.;1998;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;Totaal chemische bestrijdingsmiddelen;Zomergerst excl. zwavel en bact.prep.;2000;0;0;59071;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;Totaal chemische bestrijdingsmiddelen;Zomergerst excl. zwavel en bact.prep.;2004;0;0;59279;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52;Totaal chemische bestrijdingsmiddelen;Bruine bonen;1995;716;2221;5213;2.3;0.7;0.0;0.0;7.5;47.8;27.8;16.2;0.0;0.0;0.0;0.0;0.0;0.2;0.9;2.4;3.9;6.4
53;Totaal chemische bestrijdingsmiddelen;Bruine bonen;1998;589;1956;4973;2.5;0.0;0.0;0.0;12.5;39.2;23.7;21.3;3.2;0.0;0.0;0.0;0.0;0.5;0.8;2.5;4.4;7.2
54;Totaal chemische bestrijdingsmiddelen;Bruine bonen;2000;309;1126;4506;4.0;0.0;0.0;0.0;2.1;28.6;19.7;31.1;15.5;3.0;0.0;0.0;0.0;0.6;1.2;4.0;8.7;14.9
55;Totaal chemische bestrijdingsmiddelen;Bruine bonen;2004;496;2223;4514;2.0;0.6;0.0;0.0;15.5;36.2;21.8;22.9;0.8;2.2;0.0;0.0;0.0;0.1;0.8;2.030635;3.4;5.6
56;Totaal chemische bestrijdingsmiddelen;Veldbonen;1995;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57;Totaal chemische bestrijdingsmiddelen;Veldbonen;1998;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58;Totaal chemische bestrijdingsmiddelen;Veldbonen;2000;147;679;1828;2.7;8.5;0.0;0.0;9.0;15.9;13.7;24.7;15.5;12.7;0.0;0.0;0.0;0.7;1.0;2.7;5.4;6.2
59;Totaal chemische bestrijdingsmiddelen;Veldbonen;2004;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60;Totaal chemische bestrijdingsmiddelen;Erwten groen te oogsten;1995;1229;7131;13171;1.8;4.1;0.0;0.0;19.1;36.7;36.7;3.4;0.0;0.0;0.0;0.0;0.0;0.3;0.6;1.9;3.7;5.0
61;Totaal chemische bestrijdingsmiddelen;Erwten groen te oogsten;1998;785;4589;8488;1.8;2.0;0.0;0.0;25.6;28.6;35.4;8.4;0.0;0.0;0.0;0.0;0.0;0.4;0.8;1.8;2.9;3.8
62;Totaal chemische bestrijdingsmiddelen;Erwten groen te oogsten;2000;934;5867;11566;2.0;3.2;0.0;0.0;27.3;36.4;26.1;7.1;0.0;0.0;0.0;0.0;0.0;0.6;0.9;2.0;3.4;4.1
63;Totaal chemische bestrijdingsmiddelen;Erwten groen te oogsten;2004;765;4861;9191;1.9;1.1;0.0;0.0;31.0;35.0;25.5;7.4;0.0;0.0;0.0;0.0;0.0;0.1;0.6;1.890675;3.6;5.0
64;Totaal chemische bestrijdingsmiddelen;Koolzaad;1995;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65;Totaal chemische bestrijdingsmiddelen;Koolzaad;1998;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66;Totaal chemische bestrijdingsmiddelen;Koolzaad;2000;108;854;1022;1.2;20.4;0.0;0.0;14.0;5.0;2.7;0.0;2.1;45.9;9.8;0.0;0.0;0.0;0.2;1.2;3.2;6.0
67;Totaal chemische bestrijdingsmiddelen;Koolzaad;2004;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68;Totaal chemische bestrijdingsmiddelen;Vlas;1995;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69;Totaal chemische bestrijdingsmiddelen;Vlas;1998;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70;Totaal chemische bestrijdingsmiddelen;Vlas;2000;684;4379;7357;1.7;6.3;0.0;0.0;26.3;65.3;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.6;1.7;3.7;6.5
71;Totaal chemische bestrijdingsmiddelen;Vlas;2004;595;4461;7916;1.8;18.6;0.0;0.0;14.9;62.8;3.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72;Totaal chemische bestrijdingsmiddelen;Graszaad;1995;2930;21893;40142;1.8;14.1;0.0;0.0;36.5;21.1;7.6;1.0;3.2;7.8;8.6;0.0;0.0;0.1;0.3;1.8;4.5;9.6
73;Totaal chemische bestrijdingsmiddelen;Graszaad;1998;3589;28418;40075;1.4;16.3;0.0;0.0;39.8;22.6;10.4;4.9;1.5;4.2;0.4;0.0;0.0;0.1;0.3;1.4;2.7;7.1
74;Totaal chemische bestrijdingsmiddelen;Graszaad;2000;2773;21960;35676;1.6;11.0;0.0;0.0;45.8;21.1;6.4;1.9;6.7;3.9;3.3;0.0;0.0;0.0;0.5;1.6;3.2;5.0
75;Totaal chemische bestrijdingsmiddelen;Graszaad;2004;2748;25325;39133;1.5;14.3;0.0;0.0;29.5;19.0;15.8;3.2;3.2;9.2;5.7;0.0;0.0;0.0;0.4;1.545248;3.1;5.9
76;Totaal chemische bestrijdingsmiddelen;Pootaardappelen;1995;3346;37799;784478;20.8;0.2;0.0;0.0;7.4;10.3;29.0;34.1;17.6;1.4;0.1;0.0;0.0;2.6;5.6;20.8;71.0;138.3
77;Totaal chemische bestrijdingsmiddelen;Pootaardappelen;1998;3276;39948;666723;16.7;0.1;0.0;0.0;1.9;13.9;37.2;33.5;11.8;1.2;0.4;0.0;0.0;3.2;6.6;16.7;33.6;100.6
78;Totaal chemische bestrijdingsmiddelen;Pootaardappelen;2000;3319;41802;598534;14.3;0.1;0.0;0.0;6.4;19.1;38.0;29.1;6.2;0.9;0.2;0.0;0.0;2.6;5.1;14.3;29.2;68.1
79;Totaal chemische bestrijdingsmiddelen;Pootaardappelen;2004;2451;39739;567685;14.3;0.7;0.0;0.0;13.5;18.8;36.3;23.9;5.2;1.5;0.3;0.0;0.0;1.7;4.5;14.28533;34.3;74.1
