ID;StarRating;Regions;Periods;Accommodation_1;Room_2;SleepingPlace_3;Accommodation_4;Room_5;SleepingPlace_6
63;Total;Nederland;2017 April;3636.0;124049.0;270098.0;3564.0;123333.0;268457.0
64;Total;Nederland;2017 May;3636.0;124049.0;270098.0;3594.0;123518.0;268831.0
65;Total;Nederland;2017 June;3636.0;124049.0;270098.0;3589.0;123517.0;268818.0
66;Total;Nederland;2017 July;3636.0;124049.0;270098.0;3584.0;123470.0;268728.0
67;Total;Nederland;2017 August;3636.0;124049.0;270098.0;3576.0;123454.0;268699.0
68;Total;Nederland;2017 September;3636.0;124049.0;270098.0;3585.0;123419.0;268635.0
69;Total;Nederland;2017 October;3636.0;124049.0;270098.0;3529.0;122989.0;267675.0
70;Total;Nederland;2017 November;3636.0;124049.0;270098.0;3386.0;120599.0;262393.0
71;Total;Nederland;2017 December;3636.0;124049.0;270098.0;3332.0;120315.0;261658.0
72;Total;Nederland;2018 January;3760.0;131903.0;286069.0;3311.0;123175.0;267033.0
73;Total;Nederland;2018 February;3760.0;131903.0;286069.0;3467.0;125409.0;271901.0
74;Total;Nederland;2018 March;3760.0;131903.0;286069.0;3566.0;127437.0;276271.0
75;Total;Nederland;2018 April;3760.0;131903.0;286069.0;3693.0;128955.0;280036.0
76;Total;Nederland;2018 May;3760.0;131903.0;286069.0;3714.0;129379.0;281013.0
77;Total;Nederland;2018 June;3760.0;131903.0;286069.0;3712.0;129376.0;280962.0
78;Total;Nederland;2018 July;3760.0;131903.0;286069.0;3694.0;129584.0;281356.0
79;Total;Nederland;2018 August;3760.0;131903.0;286069.0;3684.0;130093.0;282328.0
80;Total;Nederland;2018 September;3760.0;131903.0;286069.0;3697.0;130294.0;282731.0
81;Total;Nederland;2018 October;3760.0;131903.0;286069.0;3647.0;129470.0;280945.0
82;Total;Nederland;2018 November;3760.0;131903.0;286069.0;3513.0;127800.0;277087.0
83;Total;Nederland;2018 December;3760.0;131903.0;286069.0;3438.0;126765.0;274553.0
84;Total;Nederland;2019 January;3806.0;138546.0;303713.0;3361.0;131048.0;287238.0
85;Total;Nederland;2019 February;3806.0;138546.0;303713.0;3504.0;132942.0;291376.0
86;Total;Nederland;2019 March;3806.0;138546.0;303713.0;3614.0;134556.0;295045.0
87;Total;Nederland;2019 April;3806.0;138546.0;303713.0;3743.0;136699.0;299836.0
88;Total;Nederland;2019 May;3806.0;138546.0;303713.0;3764.0;136991.0;300210.0
89;Total;Nederland;2019 June;3806.0;138546.0;303713.0;3756.0;137180.0;300594.0
90;Total;Nederland;2019 July;3806.0;138546.0;303713.0;3747.0;137249.0;300734.0
91;Total;Nederland;2019 August;3806.0;138546.0;303713.0;3743.0;137346.0;300977.0
92;Total;Nederland;2019 September;3806.0;138546.0;303713.0;3760.0;137493.0;301292.0
93;Total;Nederland;2019 October;3806.0;138546.0;303713.0;3702.0;136786.0;299815.0
94;Total;Nederland;2019 November;3806.0;138546.0;303713.0;3555.0;134785.0;294982.0
95;Total;Nederland;2019 December;3806.0;138546.0;303713.0;3489.0;133968.0;293147.0
96;Total;Nederland;2020 January;3816.0;142322.0;312453.0;3368.0;136270.0;298910.0
97;Total;Nederland;2020 February;3816.0;142322.0;312453.0;3503.0;137967.0;302652.0
98;Total;Nederland;2020 March;3816.0;142322.0;312453.0;3540.0;139150.0;305297.0
99;Total;Nederland;2020 April;3816.0;142322.0;312453.0;2974.0;117953.0;258457.0
100;Total;Nederland;2020 May;3816.0;142322.0;312453.0;3043.0;119053.0;260381.0
101;Total;Nederland;2020 June;3816.0;142322.0;312453.0;3552.0;133470.0;291243.0
102;Total;Nederland;2020 July;3816.0;142322.0;312453.0;3658.0;138549.0;303753.0
103;Total;Nederland;2020 August;3816.0;142322.0;312453.0;3682.0;139773.0;306822.0
104;Total;Nederland;2020 September;3816.0;142322.0;312453.0;3702.0;139429.0;305978.0
105;Total;Nederland;2020 October;3816.0;142322.0;312453.0;3649.0;138823.0;304606.0
106;Total;Nederland;2020 November;3816.0;142322.0;312453.0;3499.0;136624.0;299616.0
107;Total;Nederland;2020 December;3816.0;142322.0;312453.0;3448.0;136211.0;298809.0
108;Total;Nederland;2021 January;4044.0;147398.0;322363.0;3565.0;140739.0;307616.0
109;Total;Nederland;2021 February;4044.0;147398.0;322363.0;3698.0;142304.0;311106.0
110;Total;Nederland;2021 March;4044.0;147398.0;322363.0;3808.0;143787.0;314180.0
111;Total;Nederland;2021 April;4044.0;147398.0;322363.0;3934.0;145251.0;317510.0
112;Total;Nederland;2021 May;4044.0;147398.0;322363.0;3957.0;145683.0;318409.0
113;Total;Nederland;2021 June;4044.0;147398.0;322363.0;3989.0;146239.0;319727.0
114;Total;Nederland;2021 July;4044.0;147398.0;322363.0;3985.0;146256.0;319667.0
115;Total;Nederland;2021 August;4044.0;147398.0;322363.0;3976.0;145742.0;318622.0
116;Total;Nederland;2021 September;4044.0;147398.0;322363.0;3970.0;146017.0;319059.0
117;Total;Nederland;2021 October;4044.0;147398.0;322363.0;3921.0;145328.0;317747.0
118;Total;Nederland;2021 November;4044.0;147398.0;322363.0;3778.0;143297.0;312087.0
119;Total;Nederland;2021 December;4044.0;147398.0;322363.0;3705.0;142604.0;311344.0
120;Total;Nederland;2022 January;4254.0;149289.0;327449.0;3827.0;143969.0;315927.0
121;Total;Nederland;2022 February;4254.0;149289.0;327449.0;3917.0;145415.0;319117.0
122;Total;Nederland;2022 March;4254.0;149289.0;327449.0;4046.0;146522.0;321591.0
123;Total;Nederland;2022 April;4254.0;149289.0;327449.0;4169.0;148122.0;324858.0
124;Total;Nederland;2022 May;4254.0;149289.0;327449.0;4187.0;148189.0;325009.0
125;Total;Nederland;2022 June;4254.0;149289.0;327449.0;4189.0;148181.0;324983.0
126;Total;Nederland;2022 July;4254.0;149289.0;327449.0;4182.0;148100.0;324828.0
127;Total;Nederland;2022 August;4254.0;149289.0;327449.0;4182.0;148152.0;324917.0
128;Total;Nederland;2022 September;4254.0;149289.0;327449.0;4160.0;147607.0;323751.0
129;Total;Nederland;2022 October;4254.0;149289.0;327449.0;4118.0;147462.0;323446.0
130;Total;Nederland;2022 November;4254.0;149289.0;327449.0;4004.0;146581.0;321524.0
131;Total;Nederland;2022 December;4254.0;149289.0;327449.0;3935.0;145694.0;319600.0
132;Total;Nederland;2023 January;3910.0;148131.0;321123.0;3516.0;143608.0;311018.0
133;Total;Nederland;2023 February;3910.0;148131.0;321123.0;3585.0;144515.0;313058.0
134;Total;Nederland;2023 March;3910.0;148131.0;321123.0;3719.0;145960.0;316188.0
135;Total;Nederland;2023 April;3910.0;148131.0;321123.0;3846.0;147055.0;318697.0
136;Total;Nederland;2023 May;3910.0;148131.0;321123.0;3871.0;147340.0;319362.0
137;Total;Nederland;2023 June;3910.0;148131.0;321123.0;3877.0;147535.0;319770.0
138;Total;Nederland;2023 July;3910.0;148131.0;321123.0;3871.0;147299.0;319257.0
139;Total;Nederland;2023 August;3910.0;148131.0;321123.0;3858.0;147177.0;319022.0
140;Total;Nederland;2023 September;3910.0;148131.0;321123.0;3852.0;147347.0;319345.0
141;Total;Nederland;2023 October;3910.0;148131.0;321123.0;3800.0;146943.0;318414.0
142;Total;Nederland;2023 November;3910.0;148131.0;321123.0;3682.0;146027.0;316351.0
143;Total;Nederland;2023 December;3910.0;148131.0;321123.0;3632.0;145475.0;315133.0
144;Total;Nederland;2024 January;3842.0;150124.0;328807.0;3476.0;145982.0;319904.0
145;Total;Nederland;2024 February;3842.0;150124.0;328807.0;3545.0;146862.0;321750.0
146;Total;Nederland;2024 March;3842.0;150124.0;328807.0;3671.0;148349.0;324970.0
147;Total;Nederland;2024 April;3842.0;150124.0;328807.0;3800.0;149300.0;327123.0
148;Total;Nederland;2024 May;3842.0;150124.0;328807.0;3811.0;149427.0;327384.0
149;Total;Nederland;2024 June;3842.0;150124.0;328807.0;3820.0;149574.0;327793.0
150;Total;Nederland;2024 July;3842.0;150124.0;328807.0;3813.0;149695.0;328003.0
151;Total;Nederland;2024 August;3842.0;150124.0;328807.0;3809.0;149639.0;327876.0
152;Total;Nederland;2024 September;3842.0;150124.0;328807.0;3811.0;149902.0;328306.0
153;Total;Nederland;2024 October;3842.0;150124.0;328807.0;3756.0;149570.0;327609.0
154;Total;Nederland;2024 November;3842.0;150124.0;328807.0;3644.0;148617.0;325482.0
155;Total;Nederland;2024 December;3842.0;150124.0;328807.0;3602.0;148116.0;324376.0
156;Total;Nederland;2025 January;3938.0;150245.0;334025.0;3552.0;146507.0;325707.0
157;Total;Nederland;2025 February;3938.0;150245.0;334025.0;3612.0;147245.0;327511.0
158;Total;Amsterdam;2012 January;;;;;;
159;Total;Amsterdam;2012 February;;;;;;
160;Total;Amsterdam;2012 March;;;;;;
161;Total;Amsterdam;2012 April;;;;;;
162;Total;Amsterdam;2012 May;;;;;;
163;Total;Amsterdam;2012 June;;;;;;
164;Total;Amsterdam;2012 July;;;;;;
165;Total;Amsterdam;2012 August;;;;;;
166;Total;Amsterdam;2012 September;;;;;;
167;Total;Amsterdam;2012 October;;;;;;
168;Total;Amsterdam;2012 November;;;;;;
169;Total;Amsterdam;2012 December;;;;;;
170;Total;Amsterdam;2013 January;;;;;;
171;Total;Amsterdam;2013 February;;;;;;
172;Total;Amsterdam;2013 March;;;;;;
173;Total;Amsterdam;2013 April;;;;;;
174;Total;Amsterdam;2013 May;;;;;;
175;Total;Amsterdam;2013 June;;;;;;
176;Total;Amsterdam;2013 July;;;;;;
177;Total;Amsterdam;2013 August;;;;;;
178;Total;Amsterdam;2013 September;;;;;;
179;Total;Amsterdam;2013 October;;;;;;
180;Total;Amsterdam;2013 November;;;;;;
181;Total;Amsterdam;2013 December;;;;;;
182;Total;Amsterdam;2014 January;;;;;;
183;Total;Amsterdam;2014 February;;;;;;
184;Total;Amsterdam;2014 March;;;;;;
185;Total;Amsterdam;2014 April;;;;;;
186;Total;Amsterdam;2014 May;;;;;;
187;Total;Amsterdam;2014 June;;;;;;
188;Total;Amsterdam;2014 July;;;;;;
189;Total;Amsterdam;2014 August;;;;;;
190;Total;Amsterdam;2014 September;;;;;;
191;Total;Amsterdam;2014 October;;;;;;
192;Total;Amsterdam;2014 November;;;;;;
193;Total;Amsterdam;2014 December;;;;;;
194;Total;Amsterdam;2015 January;;;;;;
195;Total;Amsterdam;2015 February;;;;;;
196;Total;Amsterdam;2015 March;;;;;;
197;Total;Amsterdam;2015 April;;;;;;
198;Total;Amsterdam;2015 May;;;;;;
199;Total;Amsterdam;2015 June;;;;;;
200;Total;Amsterdam;2015 July;;;;;;
201;Total;Amsterdam;2015 August;;;;;;
202;Total;Amsterdam;2015 September;;;;;;
203;Total;Amsterdam;2015 October;;;;;;
204;Total;Amsterdam;2015 November;;;;;;
205;Total;Amsterdam;2015 December;;;;;;
206;Total;Amsterdam;2016 January;;;;;;
207;Total;Amsterdam;2016 February;;;;;;
208;Total;Amsterdam;2016 March;;;;;;
209;Total;Amsterdam;2016 April;;;;;;
210;Total;Amsterdam;2016 May;;;;;;
211;Total;Amsterdam;2016 June;;;;;;
212;Total;Amsterdam;2016 July;;;;;;
213;Total;Amsterdam;2016 August;;;;;;
214;Total;Amsterdam;2016 September;;;;;;
215;Total;Amsterdam;2016 October;;;;;;
216;Total;Amsterdam;2016 November;;;;;;
217;Total;Amsterdam;2016 December;;;;;;
218;Total;Amsterdam;2017 January;474.0;31087.0;69277.0;454.0;30451.0;67859.0
219;Total;Amsterdam;2017 February;474.0;31087.0;69277.0;458.0;30474.0;67908.0
220;Total;Amsterdam;2017 March;474.0;31087.0;69277.0;465.0;30647.0;68319.0
221;Total;Amsterdam;2017 April;474.0;31087.0;69277.0;472.0;31060.0;69218.0
222;Total;Amsterdam;2017 May;474.0;31087.0;69277.0;472.0;31035.0;69164.0
223;Total;Amsterdam;2017 June;474.0;31087.0;69277.0;471.0;31031.0;69156.0
224;Total;Amsterdam;2017 July;474.0;31087.0;69277.0;472.0;31035.0;69164.0
225;Total;Amsterdam;2017 August;474.0;31087.0;69277.0;472.0;31035.0;69164.0
226;Total;Amsterdam;2017 September;474.0;31087.0;69277.0;472.0;31035.0;69164.0
227;Total;Amsterdam;2017 October;474.0;31087.0;69277.0;468.0;30967.0;69031.0
228;Total;Amsterdam;2017 November;474.0;31087.0;69277.0;462.0;30474.0;67972.0
229;Total;Amsterdam;2017 December;474.0;31087.0;69277.0;459.0;30873.0;68800.0
230;Total;Amsterdam;2018 January;481.0;34887.0;77180.0;458.0;32526.0;72089.0
231;Total;Amsterdam;2018 February;481.0;34887.0;77180.0;462.0;32551.0;72144.0
232;Total;Amsterdam;2018 March;481.0;34887.0;77180.0;468.0;33405.0;73901.0
233;Total;Amsterdam;2018 April;481.0;34887.0;77180.0;473.0;33736.0;74840.0
234;Total;Amsterdam;2018 May;481.0;34887.0;77180.0;472.0;33925.0;75226.0
235;Total;Amsterdam;2018 June;481.0;34887.0;77180.0;472.0;33920.0;75176.0
236;Total;Amsterdam;2018 July;481.0;34887.0;77180.0;473.0;34335.0;75999.0
237;Total;Amsterdam;2018 August;481.0;34887.0;77180.0;473.0;34584.0;76497.0
238;Total;Amsterdam;2018 September;481.0;34887.0;77180.0;473.0;34697.0;76718.0
239;Total;Amsterdam;2018 October;481.0;34887.0;77180.0;470.0;34347.0;76016.0
240;Total;Amsterdam;2018 November;481.0;34887.0;77180.0;465.0;34303.0;75852.0
241;Total;Amsterdam;2018 December;481.0;34887.0;77180.0;458.0;33999.0;75042.0
242;Total;Amsterdam;2019 January;510.0;38590.0;85284.0;489.0;36767.0;81273.0
243;Total;Amsterdam;2019 February;510.0;38590.0;85284.0;492.0;36768.0;81290.0
244;Total;Amsterdam;2019 March;510.0;38590.0;85284.0;498.0;37049.0;82074.0
245;Total;Amsterdam;2019 April;510.0;38590.0;85284.0;504.0;37797.0;83693.0
246;Total;Amsterdam;2019 May;510.0;38590.0;85284.0;503.0;37701.0;83260.0
247;Total;Amsterdam;2019 June;510.0;38590.0;85284.0;503.0;37912.0;83670.0
248;Total;Amsterdam;2019 July;510.0;38590.0;85284.0;502.0;38019.0;83887.0
249;Total;Amsterdam;2019 August;510.0;38590.0;85284.0;502.0;38019.0;83887.0
250;Total;Amsterdam;2019 September;510.0;38590.0;85284.0;505.0;38039.0;83936.0
251;Total;Amsterdam;2019 October;510.0;38590.0;85284.0;503.0;37931.0;83721.0
252;Total;Amsterdam;2019 November;510.0;38590.0;85284.0;498.0;37625.0;82777.0
253;Total;Amsterdam;2019 December;510.0;38590.0;85284.0;496.0;37585.0;82704.0
254;Total;Amsterdam;2020 January;496.0;38578.0;85013.0;473.0;37754.0;83100.0
255;Total;Amsterdam;2020 February;496.0;38578.0;85013.0;478.0;37822.0;83239.0
256;Total;Amsterdam;2020 March;496.0;38578.0;85013.0;479.0;37850.0;83398.0
257;Total;Amsterdam;2020 April;496.0;38578.0;85013.0;344.0;27156.0;58811.0
258;Total;Amsterdam;2020 May;496.0;38578.0;85013.0;341.0;26980.0;58290.0
259;Total;Amsterdam;2020 June;496.0;38578.0;85013.0;412.0;33076.0;71336.0
260;Total;Amsterdam;2020 July;496.0;38578.0;85013.0;450.0;36532.0;80155.0
261;Total;Amsterdam;2020 August;496.0;38578.0;85013.0;465.0;37526.0;82607.0
262;Total;Amsterdam;2020 September;496.0;38578.0;85013.0;467.0;37312.0;82202.0
263;Total;Amsterdam;2020 October;496.0;38578.0;85013.0;465.0;37153.0;81768.0
264;Total;Amsterdam;2020 November;496.0;38578.0;85013.0;462.0;36994.0;81442.0
265;Total;Amsterdam;2020 December;496.0;38578.0;85013.0;463.0;36986.0;81435.0
266;Total;Amsterdam;2021 January;512.0;40520.0;88348.0;484.0;39538.0;86438.0
267;Total;Amsterdam;2021 February;512.0;40520.0;88348.0;489.0;39640.0;86674.0
268;Total;Amsterdam;2021 March;512.0;40520.0;88348.0;490.0;39802.0;86833.0
269;Total;Amsterdam;2021 April;512.0;40520.0;88348.0;494.0;40002.0;87170.0
270;Total;Amsterdam;2021 May;512.0;40520.0;88348.0;497.0;40045.0;87239.0
271;Total;Amsterdam;2021 June;512.0;40520.0;88348.0;502.0;40150.0;87610.0
272;Total;Amsterdam;2021 July;512.0;40520.0;88348.0;504.0;40113.0;87487.0
273;Total;Amsterdam;2021 August;512.0;40520.0;88348.0;501.0;40002.0;87253.0
274;Total;Amsterdam;2021 September;512.0;40520.0;88348.0;504.0;40113.0;87487.0
275;Total;Amsterdam;2021 October;512.0;40520.0;88348.0;501.0;39996.0;87204.0
276;Total;Amsterdam;2021 November;512.0;40520.0;88348.0;496.0;39631.0;85787.0
277;Total;Amsterdam;2021 December;512.0;40520.0;88348.0;495.0;39753.0;86705.0
278;Total;Amsterdam;2022 January;516.0;41093.0;89507.0;498.0;40340.0;87846.0
279;Total;Amsterdam;2022 February;516.0;41093.0;89507.0;499.0;40467.0;88174.0
280;Total;Amsterdam;2022 March;516.0;41093.0;89507.0;503.0;40526.0;88309.0
281;Total;Amsterdam;2022 April;516.0;41093.0;89507.0;505.0;40791.0;88675.0
282;Total;Amsterdam;2022 May;516.0;41093.0;89507.0;507.0;40803.0;88707.0
283;Total;Amsterdam;2022 June;516.0;41093.0;89507.0;506.0;40678.0;88452.0
284;Total;Amsterdam;2022 July;516.0;41093.0;89507.0;508.0;40808.0;88715.0
285;Total;Amsterdam;2022 August;516.0;41093.0;89507.0;505.0;40748.0;88589.0
286;Total;Amsterdam;2022 September;516.0;41093.0;89507.0;505.0;40426.0;87907.0
287;Total;Amsterdam;2022 October;516.0;41093.0;89507.0;505.0;40848.0;88814.0
288;Total;Amsterdam;2022 November;516.0;41093.0;89507.0;503.0;40858.0;88805.0
289;Total;Amsterdam;2022 December;516.0;41093.0;89507.0;500.0;40839.0;88757.0
290;Total;Amsterdam;2023 January;505.0;41347.0;90339.0;494.0;41112.0;89669.0
291;Total;Amsterdam;2023 February;505.0;41347.0;90339.0;495.0;41116.0;89679.0
292;Total;Amsterdam;2023 March;505.0;41347.0;90339.0;498.0;41151.0;89760.0
293;Total;Amsterdam;2023 April;505.0;41347.0;90339.0;501.0;41171.0;89825.0
294;Total;Amsterdam;2023 May;505.0;41347.0;90339.0;502.0;41189.0;89865.0
295;Total;Amsterdam;2023 June;505.0;41347.0;90339.0;504.0;41334.0;90158.0
296;Total;Amsterdam;2023 July;505.0;41347.0;90339.0;504.0;41334.0;90158.0
297;Total;Amsterdam;2023 August;505.0;41347.0;90339.0;504.0;41334.0;90158.0
298;Total;Amsterdam;2023 September;505.0;41347.0;90339.0;504.0;41334.0;90158.0
299;Total;Amsterdam;2023 October;505.0;41347.0;90339.0;502.0;41319.0;90131.0
300;Total;Amsterdam;2023 November;505.0;41347.0;90339.0;500.0;41313.0;90093.0
301;Total;Amsterdam;2023 December;505.0;41347.0;90339.0;500.0;41284.0;90030.0
302;Total;Amsterdam;2024 January;497.0;41991.0;92329.0;487.0;41681.0;91775.0
303;Total;Amsterdam;2024 February;497.0;41991.0;92329.0;489.0;41667.0;91648.0
304;Total;Amsterdam;2024 March;497.0;41991.0;92329.0;491.0;41681.0;91702.0
305;Total;Amsterdam;2024 April;497.0;41991.0;92329.0;494.0;41702.0;91740.0
306;Total;Amsterdam;2024 May;497.0;41991.0;92329.0;494.0;41702.0;91740.0
307;Total;Amsterdam;2024 June;497.0;41991.0;92329.0;494.0;41736.0;91912.0
308;Total;Amsterdam;2024 July;497.0;41991.0;92329.0;494.0;41736.0;91912.0
309;Total;Amsterdam;2024 August;497.0;41991.0;92329.0;493.0;41730.0;91899.0
310;Total;Amsterdam;2024 September;497.0;41991.0;92329.0;496.0;41986.0;92309.0
311;Total;Amsterdam;2024 October;497.0;41991.0;92329.0;495.0;41976.0;92292.0
312;Total;Amsterdam;2024 November;497.0;41991.0;92329.0;493.0;41929.0;92175.0
313;Total;Amsterdam;2024 December;497.0;41991.0;92329.0;492.0;41917.0;92153.0
314;Total;Amsterdam;2025 January;510.0;42178.0;93968.0;506.0;42021.0;93737.0
315;Total;Amsterdam;2025 February;510.0;42178.0;93968.0;506.0;42021.0;93737.0
316;Accommodations without stars;Nederland;2012 January;;;;;;
317;Accommodations without stars;Nederland;2012 February;;;;;;
318;Accommodations without stars;Nederland;2012 March;;;;;;
319;Accommodations without stars;Nederland;2012 April;;;;;;
320;Accommodations without stars;Nederland;2012 May;;;;;;
321;Accommodations without stars;Nederland;2012 June;;;;;;
322;Accommodations without stars;Nederland;2012 July;;;;;;
323;Accommodations without stars;Nederland;2012 August;;;;;;
324;Accommodations without stars;Nederland;2012 September;;;;;;
325;Accommodations without stars;Nederland;2012 October;;;;;;
326;Accommodations without stars;Nederland;2012 November;;;;;;
327;Accommodations without stars;Nederland;2012 December;;;;;;
328;Accommodations without stars;Nederland;2013 January;;;;;;
329;Accommodations without stars;Nederland;2013 February;;;;;;
330;Accommodations without stars;Nederland;2013 March;;;;;;
331;Accommodations without stars;Nederland;2013 April;;;;;;
332;Accommodations without stars;Nederland;2013 May;;;;;;
333;Accommodations without stars;Nederland;2013 June;;;;;;
334;Accommodations without stars;Nederland;2013 July;;;;;;
335;Accommodations without stars;Nederland;2013 August;;;;;;
336;Accommodations without stars;Nederland;2013 September;;;;;;
337;Accommodations without stars;Nederland;2013 October;;;;;;
338;Accommodations without stars;Nederland;2013 November;;;;;;
339;Accommodations without stars;Nederland;2013 December;;;;;;
340;Accommodations without stars;Nederland;2014 January;;;;;;
341;Accommodations without stars;Nederland;2014 February;;;;;;
342;Accommodations without stars;Nederland;2014 March;;;;;;
343;Accommodations without stars;Nederland;2014 April;;;;;;
344;Accommodations without stars;Nederland;2014 May;;;;;;
345;Accommodations without stars;Nederland;2014 June;;;;;;
346;Accommodations without stars;Nederland;2014 July;;;;;;
347;Accommodations without stars;Nederland;2014 August;;;;;;
348;Accommodations without stars;Nederland;2014 September;;;;;;
349;Accommodations without stars;Nederland;2014 October;;;;;;
350;Accommodations without stars;Nederland;2014 November;;;;;;
351;Accommodations without stars;Nederland;2014 December;;;;;;
352;Accommodations without stars;Nederland;2015 January;;;;;;
353;Accommodations without stars;Nederland;2015 February;;;;;;
354;Accommodations without stars;Nederland;2015 March;;;;;;
355;Accommodations without stars;Nederland;2015 April;;;;;;
356;Accommodations without stars;Nederland;2015 May;;;;;;
357;Accommodations without stars;Nederland;2015 June;;;;;;
358;Accommodations without stars;Nederland;2015 July;;;;;;
359;Accommodations without stars;Nederland;2015 August;;;;;;
360;Accommodations without stars;Nederland;2015 September;;;;;;
361;Accommodations without stars;Nederland;2015 October;;;;;;
362;Accommodations without stars;Nederland;2015 November;;;;;;
363;Accommodations without stars;Nederland;2015 December;;;;;;
364;Accommodations without stars;Nederland;2016 January;;;;;;
365;Accommodations without stars;Nederland;2016 February;;;;;;
366;Accommodations without stars;Nederland;2016 March;;;;;;
367;Accommodations without stars;Nederland;2016 April;;;;;;
368;Accommodations without stars;Nederland;2016 May;;;;;;
369;Accommodations without stars;Nederland;2016 June;;;;;;
370;Accommodations without stars;Nederland;2016 July;;;;;;
371;Accommodations without stars;Nederland;2016 August;;;;;;
372;Accommodations without stars;Nederland;2016 September;;;;;;
373;Accommodations without stars;Nederland;2016 October;;;;;;
374;Accommodations without stars;Nederland;2016 November;;;;;;
375;Accommodations without stars;Nederland;2016 December;;;;;;
376;Accommodations without stars;Nederland;2017 January;851.0;8255.0;24114.0;720.0;7204.0;21473.0
377;Accommodations without stars;Nederland;2017 February;851.0;8255.0;24114.0;738.0;7325.0;21719.0
378;Accommodations without stars;Nederland;2017 March;851.0;8255.0;24114.0;760.0;7508.0;22228.0
379;Accommodations without stars;Nederland;2017 April;851.0;8255.0;24114.0;804.0;7874.0;23140.0
380;Accommodations without stars;Nederland;2017 May;851.0;8255.0;24114.0;822.0;7934.0;23286.0
381;Accommodations without stars;Nederland;2017 June;851.0;8255.0;24114.0;821.0;7941.0;23309.0
382;Accommodations without stars;Nederland;2017 July;851.0;8255.0;24114.0;820.0;7918.0;23264.0
383;Accommodations without stars;Nederland;2017 August;851.0;8255.0;24114.0;818.0;7904.0;23234.0
384;Accommodations without stars;Nederland;2017 September;851.0;8255.0;24114.0;822.0;7941.0;23309.0
385;Accommodations without stars;Nederland;2017 October;851.0;8255.0;24114.0;796.0;7736.0;22870.0
386;Accommodations without stars;Nederland;2017 November;851.0;8255.0;24114.0;749.0;7377.0;21840.0
387;Accommodations without stars;Nederland;2017 December;851.0;8255.0;24114.0;733.0;7371.0;21808.0
388;Accommodations without stars;Nederland;2018 January;976.0;10262.0;29041.0;828.0;8698.0;25217.0
389;Accommodations without stars;Nederland;2018 February;976.0;10262.0;29041.0;868.0;8947.0;25775.0
390;Accommodations without stars;Nederland;2018 March;976.0;10262.0;29041.0;903.0;9188.0;26384.0
391;Accommodations without stars;Nederland;2018 April;976.0;10262.0;29041.0;952.0;9776.0;27954.0
