ID;Sectoren;LandenEnRegioS;Perioden;TechnologischInnovatieveBedrijven_1;MediumEnHightechindustrie_2;Hightechdienstensector_3;Totaal_4;MetUniversiteiten_5;MetPubliekeResearchinstellingen_6;AangevraagdeOctrooienBijHetEPO_7;AangevraagdeHightechoctrooienBijEPO_8;AangevraagdeHightechoctrooienBijEPO_9;AangevraagdeTriadischeOctrooien_10;ProductNieuwVoorBedrijfNietMarkt_11;ProductNieuwVoorHetBedrijf_12;Strategie_13;Management_14;Organisatie_15;Marketing_16;Esthetisch_17;OrganisatieEnOfMarketing_18
113;Totaal bedrijfstakken;Finland;2008;46.7;;;;;;;;;;;;;;;;;
114;Totaal bedrijfstakken;Frankrijk;1990;;;;;;;;16.64;;77.0;;;;;;;;
115;Totaal bedrijfstakken;Frankrijk;1991;;;;;;;;16.63;;72.2;;;;;;;;
116;Totaal bedrijfstakken;Frankrijk;1992;;;;;;;192.1;17.58;33.8;67.2;;;;;;;;
117;Totaal bedrijfstakken;Frankrijk;1993;;;;;;;194.7;17.12;33.3;68.4;;;;;;;;
118;Totaal bedrijfstakken;Frankrijk;1994;;;;;;;202.0;18.72;37.8;75.2;;;;;;;;
119;Totaal bedrijfstakken;Frankrijk;1995;;;;;;;207.4;17.17;35.6;77.7;;;;;;;;
120;Totaal bedrijfstakken;Frankrijk;1996;;;;;;;220.9;17.67;39.0;83.8;;;;;;;;
121;Totaal bedrijfstakken;Frankrijk;1997;;;;;;;248.3;20.16;50.0;85.6;;;;;;;;
122;Totaal bedrijfstakken;Frankrijk;1998;;;;;;;272.8;22.55;61.5;87.3;;;;;;;;
123;Totaal bedrijfstakken;Frankrijk;1999;;;;;;;282.6;24.96;70.5;90.8;;;;;;;;
124;Totaal bedrijfstakken;Frankrijk;2000;;;;;;;282.2;24.39;68.8;87.6;;;22.0;19.0;8.0;;4.0;
125;Totaal bedrijfstakken;Frankrijk;2001;;;;;;;278.4;25.55;71.1;88.3;;;;;;;;
126;Totaal bedrijfstakken;Frankrijk;2002;;;;;;;277.0;24.81;68.7;88.5;;;;;;;;
127;Totaal bedrijfstakken;Frankrijk;2003;;;;;;;286.5;22.87;65.5;89.8;;;;;;;;
128;Totaal bedrijfstakken;Frankrijk;2004;;;;;;;300.6;22.24;66.8;91.1;;;;;37.0;18.0;;43.0
129;Totaal bedrijfstakken;Frankrijk;2005;;;;;;;270.4;16.49;44.6;89.5;;;;;;;;
130;Totaal bedrijfstakken;Frankrijk;2006;;;;;;;;;;90.6;;;;;;;;
131;Totaal bedrijfstakken;Frankrijk;2007;;;;;;;;;;;;;;;;;;
132;Totaal bedrijfstakken;Frankrijk;2008;35.1;;;;;;;;;;;;;;;;;
133;Totaal bedrijfstakken;Hongarije;1990;;;;;;;;7.4;;7.1;;;;;;;;
134;Totaal bedrijfstakken;Hongarije;1991;;;;;;;;5.69;;4.9;;;;;;;;
135;Totaal bedrijfstakken;Hongarije;1992;;;;;;;;11.85;;4.4;;;;;;;;
136;Totaal bedrijfstakken;Hongarije;1993;;;;;;;;13.28;;5.7;;;;;;;;
137;Totaal bedrijfstakken;Hongarije;1994;;;;;;;;18.04;;5.1;;;;;;;;
138;Totaal bedrijfstakken;Hongarije;1995;;;;;;;;7.64;;6.1;;;;;;;;
139;Totaal bedrijfstakken;Hongarije;1996;;;;;;;15.1;6.08;0.9;6.1;;;;;;;;
140;Totaal bedrijfstakken;Hongarije;1997;;;;;;;19.4;9.33;1.8;8.0;;;;;;;;
141;Totaal bedrijfstakken;Hongarije;1998;;;;;;;14.4;19.37;2.8;4.4;;;;;;;;
142;Totaal bedrijfstakken;Hongarije;1999;;;;;;;28.5;23.69;6.7;9.1;;;;;;;;
143;Totaal bedrijfstakken;Hongarije;2000;;;;;;;29.5;27.46;8.1;8.8;;;11.0;10.0;11.0;17.0;20.0;
144;Totaal bedrijfstakken;Hongarije;2001;;;;;;;23.6;25.35;6.0;8.0;;;;;;;;
145;Totaal bedrijfstakken;Hongarije;2002;;;;;;;29.1;15.02;4.4;7.0;;;;;;;;
146;Totaal bedrijfstakken;Hongarije;2003;;;;;;;30.1;19.78;5.9;10.2;;;;;;;;
147;Totaal bedrijfstakken;Hongarije;2004;;;;;;;36.7;17.91;6.6;9.6;;;;;20.0;15.0;;26.0
148;Totaal bedrijfstakken;Hongarije;2005;;;;;;;18.7;14.86;2.8;9.1;;;;;;;;
149;Totaal bedrijfstakken;Hongarije;2006;20.1;;;;;;;;;9.6;;;;;;;;28.0
150;Totaal bedrijfstakken;Hongarije;2007;;;;;;;;;;;;;;;;;;
151;Totaal bedrijfstakken;Hongarije;2008;20.8;;;;;;;;;;;;;;;;;
152;Totaal bedrijfstakken;Ierland;1990;;;;;;;;18.97;;19.9;;;;;;;;
153;Totaal bedrijfstakken;Ierland;1991;;;;;;;;23.51;;19.9;;;;;;;;
154;Totaal bedrijfstakken;Ierland;1992;;;;;;;54.6;21.96;12.0;16.5;;;;;;;;
155;Totaal bedrijfstakken;Ierland;1993;;;;;;;50.3;13.02;6.5;13.3;;;;;;;;
156;Totaal bedrijfstakken;Ierland;1994;;;;;;;58.9;18.81;11.1;22.0;;;;;;;;
157;Totaal bedrijfstakken;Ierland;1995;;;;;;;68.1;19.32;13.2;21.3;;;;;;;;
158;Totaal bedrijfstakken;Ierland;1996;;;;;;;74.1;19.43;14.4;18.3;;;;;;;;
159;Totaal bedrijfstakken;Ierland;1997;;;;;;;83.7;21.19;17.7;24.4;;;;;;;;
160;Totaal bedrijfstakken;Ierland;1998;;;;;;;110.8;26.44;29.3;23.3;;;;;;;;
161;Totaal bedrijfstakken;Ierland;1999;;;;;;;124.2;27.46;34.1;42.9;;;;;;;;
162;Totaal bedrijfstakken;Ierland;2000;;;;;;;123.3;28.95;35.7;24.5;;;;;;;;
163;Totaal bedrijfstakken;Ierland;2001;;;;;;;133.9;32.04;42.9;30.2;;;;;;;;
164;Totaal bedrijfstakken;Ierland;2002;;;;;;;116.7;29.67;34.6;27.9;;;;;;;;
165;Totaal bedrijfstakken;Ierland;2003;;;;;;;115.5;23.36;27.0;31.1;;;;;;;;
166;Totaal bedrijfstakken;Ierland;2004;;;;;;;132.3;20.54;27.2;35.5;;;;;50.0;25.0;;55.0
167;Totaal bedrijfstakken;Ierland;2005;;;;;;;129.0;13.46;17.4;31.8;;;;;;;;
168;Totaal bedrijfstakken;Ierland;2006;47.2;;;;;;;;;33.0;;;;;;;;
169;Totaal bedrijfstakken;Ierland;2007;;;;;;;;;;;;;;;;;;
170;Totaal bedrijfstakken;Ierland;2008;44.9;;;;;;;;;;;;;;;;;
171;Totaal bedrijfstakken;Italië;1990;;;;;;;;8.4;;26.2;;;;;;;;
172;Totaal bedrijfstakken;Italië;1991;;;;;;;;7.32;;27.1;;;;;;;;
173;Totaal bedrijfstakken;Italië;1992;;;;;;;;9.28;;23.7;;;;;;;;
174;Totaal bedrijfstakken;Italië;1993;;;;;;;99.8;10.17;10.2;27.2;;;;;;;;
175;Totaal bedrijfstakken;Italië;1994;;;;;;;103.5;11.32;11.7;27.1;;;;;;;;
176;Totaal bedrijfstakken;Italië;1995;;;;;;;110.0;10.18;11.2;27.0;;;;;;;;
177;Totaal bedrijfstakken;Italië;1996;;;;;;;126.4;10.2;12.9;30.5;;;;;;;;
178;Totaal bedrijfstakken;Italië;1997;;;;;;;137.5;10.05;13.8;31.9;;;;;;;;
179;Totaal bedrijfstakken;Italië;1998;;;;;;;147.3;10.7;15.8;28.7;;;;;;;;
180;Totaal bedrijfstakken;Italië;1999;;;;;;;160.2;9.66;15.5;27.7;;;;;;;;
181;Totaal bedrijfstakken;Italië;2000;;;;;;;169.8;11.38;19.3;29.1;;;25.0;17.0;33.0;22.0;31.0;
182;Totaal bedrijfstakken;Italië;2001;;;;;;;167.0;10.04;16.8;30.8;;;;;;;;
183;Totaal bedrijfstakken;Italië;2002;;;;;;;173.5;11.56;20.1;29.1;;;;;;;;
184;Totaal bedrijfstakken;Italië;2003;;;;;;;178.1;10.64;19.0;29.5;;;;;;;;
185;Totaal bedrijfstakken;Italië;2004;;;;;;;186.8;11.12;20.8;30.8;;;;;33.0;18.0;;38.0
186;Totaal bedrijfstakken;Italië;2005;;;;;;;181.8;8.38;15.2;31.3;;;;;;;;
187;Totaal bedrijfstakken;Italië;2006;34.6;;;;;;;;;31.1;;;;;;;;
188;Totaal bedrijfstakken;Italië;2007;;;;;;;;;;;;;;;;;;
189;Totaal bedrijfstakken;Italië;2008;40.1;;;;;;;;;;;;;;;;;
190;Totaal bedrijfstakken;Japan;1990;;;;;;;203.6;32.23;65.6;150.4;;;;;;;;
191;Totaal bedrijfstakken;Japan;1991;;;;;;;180.2;31.82;57.3;131.6;;;;;;;;
192;Totaal bedrijfstakken;Japan;1992;;;;;;;166.9;30.08;50.2;120.7;;;;;;;;
193;Totaal bedrijfstakken;Japan;1993;;;;;;;169.2;30.45;51.5;125.6;;;;;;;;
194;Totaal bedrijfstakken;Japan;1994;;;;;;;165.3;30.52;50.5;124.5;;;;;;;;
195;Totaal bedrijfstakken;Japan;1995;;;;;;;188.3;30.08;56.6;143.7;;;;;;;;
196;Totaal bedrijfstakken;Japan;1996;;;;;;;212.2;31.81;67.5;158.1;;;;;;;;
197;Totaal bedrijfstakken;Japan;1997;;;;;;;224.2;32.31;72.4;163.7;;;;;;;;
198;Totaal bedrijfstakken;Japan;1998;;;;;;;237.2;32.17;76.3;166.9;;;;;;;;
199;Totaal bedrijfstakken;Japan;1999;;;;;;;273.6;32.04;87.7;190.9;;;;;;;;
200;Totaal bedrijfstakken;Japan;2000;;;;;;;317.1;32.63;103.5;220.9;;;;;;;;
201;Totaal bedrijfstakken;Japan;2001;;;;;;;290.3;31.8;92.3;201.8;;;;;;;;
202;Totaal bedrijfstakken;Japan;2002;;;;;;;296.5;33.22;98.5;200.0;;;;;;;;
203;Totaal bedrijfstakken;Japan;2003;;;;;;;313.7;31.73;99.5;212.6;;;;;;;;
204;Totaal bedrijfstakken;Japan;2004;;;;;;;331.1;31.37;103.9;225.1;;;;;;;;
205;Totaal bedrijfstakken;Japan;2005;;;;;;;319.0;21.06;67.2;210.3;;;;;;;;
206;Totaal bedrijfstakken;Japan;2006;;;;;;;;;;213.1;;;;;;;;
207;Totaal bedrijfstakken;Japan;2007;;;;;;;;;;;;;;;;;;
208;Totaal bedrijfstakken;Japan;2008;;;;;;;;;;;;;;;;;;
209;Totaal bedrijfstakken;Nederland;1990;;;;;;;;18.47;;85.1;;;;;;;;
210;Totaal bedrijfstakken;Nederland;1991;;;;;;;;21.28;;84.7;;;;;;;;
211;Totaal bedrijfstakken;Nederland;1992;;;;;;;211.2;22.92;48.4;86.1;;;;;;;;
212;Totaal bedrijfstakken;Nederland;1993;;;;;;;208.1;22.06;45.9;84.2;;;;;;;;
213;Totaal bedrijfstakken;Nederland;1994;;;;;;;211.2;21.22;44.8;94.2;;;;;;;;
214;Totaal bedrijfstakken;Nederland;1995;;;;;;;238.9;24.05;57.5;101.6;;;;;;;;
215;Totaal bedrijfstakken;Nederland;1996;;;;;;;280.9;25.76;72.4;107.1;;;;;;;;
216;Totaal bedrijfstakken;Nederland;1997;;;;;;;308.6;27.46;84.7;108.8;;;;;;;;
217;Totaal bedrijfstakken;Nederland;1998;;;;;;;335.5;30.01;100.7;109.0;;;;;;;;
218;Totaal bedrijfstakken;Nederland;1999;;;;;;;367.9;33.04;121.5;119.3;;;;;;;;
219;Totaal bedrijfstakken;Nederland;2000;;;;;;;422.8;35.2;148.8;130.7;;;34.0;17.0;26.0;17.0;11.0;
220;Totaal bedrijfstakken;Nederland;2001;;;;;;;465.9;40.56;188.9;150.3;;;;;;;;
221;Totaal bedrijfstakken;Nederland;2002;;;;;;;404.7;32.93;133.3;130.5;;;;;;;;
222;Totaal bedrijfstakken;Nederland;2003;;;;;;;404.2;19.31;78.1;123.6;;;;;;;;
223;Totaal bedrijfstakken;Nederland;2004;;;;;;;422.0;28.07;118.4;127.0;;;;;27.0;13.0;;32.0
224;Totaal bedrijfstakken;Nederland;2005;;;;;;;331.8;14.77;49.0;120.6;;;;;;;;
225;Totaal bedrijfstakken;Nederland;2006;35.5;;;;;;;;;116.9;;;;;;;;30.0
226;Totaal bedrijfstakken;Nederland;2007;;;;;;;;;;;;;;;;;;
227;Totaal bedrijfstakken;Nederland;2008;35.0;;;;;;;;;;;;;;;;;
228;Totaal bedrijfstakken;Oostenrijk;1990;;;;;;;;8.04;;49.0;;;;;;;;
229;Totaal bedrijfstakken;Oostenrijk;1991;;;;;;;;8.05;;48.0;;;;;;;;
230;Totaal bedrijfstakken;Oostenrijk;1992;;;;;;;;9.06;;39.1;;;;;;;;
231;Totaal bedrijfstakken;Oostenrijk;1993;;;;;;;;8.42;;46.9;;;;;;;;
232;Totaal bedrijfstakken;Oostenrijk;1994;;;;;;;178.0;11.06;19.7;53.9;;;;;;;;
233;Totaal bedrijfstakken;Oostenrijk;1995;;;;;;;176.0;11.38;20.0;56.6;;;;;;;;
234;Totaal bedrijfstakken;Oostenrijk;1996;;;;;;;200.2;10.06;20.1;55.2;;;;;;;;
235;Totaal bedrijfstakken;Oostenrijk;1997;;;;;;;251.7;9.01;22.7;66.5;;;;;;;;
236;Totaal bedrijfstakken;Oostenrijk;1998;;;;;;;253.6;11.1;28.1;69.2;;;;;;;;
237;Totaal bedrijfstakken;Oostenrijk;1999;;;;;;;278.3;13.61;37.9;64.3;;;;;;;;
238;Totaal bedrijfstakken;Oostenrijk;2000;;;;;;;305.6;12.28;37.5;72.3;;;37.0;33.0;45.0;35.0;31.0;
239;Totaal bedrijfstakken;Oostenrijk;2001;;;;;;;306.6;15.36;47.1;66.8;;;;;;;;
240;Totaal bedrijfstakken;Oostenrijk;2002;;;;;;;326.1;16.89;55.1;80.7;;;;;;;;
241;Totaal bedrijfstakken;Oostenrijk;2003;;;;;;;331.2;14.16;46.9;83.3;;;;;;;;
242;Totaal bedrijfstakken;Oostenrijk;2004;;;;;;;358.0;13.1;46.9;87.0;;;;;49.0;27.0;;54.0
243;Totaal bedrijfstakken;Oostenrijk;2005;;;;;;;372.6;8.87;33.1;86.9;;;;;;;;
244;Totaal bedrijfstakken;Oostenrijk;2006;50.6;;;;;;;;;94.1;;;;;;;;56.0
245;Totaal bedrijfstakken;Oostenrijk;2007;;;;;;;;;;;;;;;;;;
246;Totaal bedrijfstakken;Oostenrijk;2008;42.9;;;;;;;;;;;;;;;;;
247;Totaal bedrijfstakken;Polen;1990;;;;;;;;6.64;;0.3;;;;;;;;
248;Totaal bedrijfstakken;Polen;1991;;;;;;;;3.61;;0.5;;;;;;;;
249;Totaal bedrijfstakken;Polen;1992;;;;;;;;11.7;;0.3;;;;;;;;
250;Totaal bedrijfstakken;Polen;1993;;;;;;;;10.84;;0.7;;;;;;;;
251;Totaal bedrijfstakken;Polen;1994;;;;;;;;14.15;;0.3;;;;;;;;
252;Totaal bedrijfstakken;Polen;1995;;;;;;;;7.38;;0.3;;;;;;;;
253;Totaal bedrijfstakken;Polen;1996;;;;;;;;7.81;;0.6;;;;;;;;
254;Totaal bedrijfstakken;Polen;1997;;;;;;;1.8;12.5;0.2;0.5;;;;;;;;
255;Totaal bedrijfstakken;Polen;1998;;;;;;;1.7;9.62;0.2;0.3;;;;;;;;
256;Totaal bedrijfstakken;Polen;1999;;;;;;;2.0;6.3;0.1;0.5;;;;;;;;
257;Totaal bedrijfstakken;Polen;2000;;;;;;;2.5;10.48;0.3;0.5;;;2.0;1.0;2.0;2.0;3.0;
258;Totaal bedrijfstakken;Polen;2001;;;;;;;3.3;16.34;0.5;0.5;;;;;;;;
