ID;Perioden;CPIWerknemersLaag1969100_1;CPIWerknemersLaag1975100_2;CPIWerknemersLaag1980100_3;CPIWerknemersLaag1985100_4;CPIWerknemersLaag1990100_5;CPIWerknemersLaag1995100_6
115;1978 november;192.6;122.6;;;;
116;1978 december;192.4;122.5;;;;
117;1978;189.3;120.5;;;;
118;1979 januari;192.1;122.3;;;;
119;1979 februari;193.2;123.0;;;;
120;1979 maart;195.1;124.2;;;;
121;1979 april;196.2;124.9;;;;
122;1979 mei;196.2;124.9;;;;
123;1979 juni;196.2;124.9;;;;
124;1979 juli;197.0;125.4;;;;
125;1979 augustus;197.9;126.0;;;;
126;1979 september;199.7;127.1;;;;
127;1979 oktober;201.1;128.0;;;;
128;1979 november;201.4;128.2;;;;
129;1979 december;201.7;128.4;;;;
130;1979;197.3;125.6;;;;
131;1980 januari;;129.1;;;;
132;1980 februari;;130.3;;;;
133;1980 maart;;131.5;;;;
134;1980 april;;132.9;;;;
135;1980 mei;;133.2;;;;
136;1980 juni;;133.1;;;;
137;1980 juli;;134.3;;;;
138;1980 augustus;;134.9;;;;
139;1980 september;;136.0;;;;
140;1980 oktober;;136.6;;;;
141;1980 november;;136.8;;;;
142;1980 december;;137.0;;;;
143;1980;;133.8;100.0;;;
144;1981 januari;;138.0;103.3;;;
145;1981 februari;;138.9;103.8;;;
146;1981 maart;;140.2;104.6;;;
147;1981 april;;141.3;105.4;;;
148;1981 mei;;141.9;105.9;;;
149;1981 juni;;142.0;106.1;;;
150;1981 juli;;143.1;107.1;;;
151;1981 augustus;;143.6;107.4;;;
152;1981 september;;145.2;108.4;;;
153;1981 oktober;;146.3;109.3;;;
154;1981 november;;146.8;109.7;;;
155;1981 december;;146.8;109.8;;;
156;1981;;142.8;106.7;;;
157;1982 januari;;147.6;110.5;;;
158;1982 februari;;148.4;111.0;;;
159;1982 maart;;149.9;111.9;;;
160;1982 april;;150.6;112.3;;;
161;1982 mei;;150.9;112.6;;;
162;1982 juni;;151.2;112.8;;;
163;1982 juli;;151.9;113.5;;;
164;1982 augustus;;152.1;113.6;;;
165;1982 september;;153.1;114.2;;;
166;1982 oktober;;153.5;114.7;;;
167;1982 november;;153.5;114.7;;;
168;1982 december;;153.1;114.5;;;
169;1982;;151.3;113.0;;;
170;1983 januari;;;114.5;;;
171;1983 februari;;;114.7;;;
172;1983 maart;;;114.9;;;
173;1983 april;;;115.3;;;
174;1983 mei;;;115.5;;;
175;1983 juni;;;115.6;;;
176;1983 juli;;;116.2;;;
177;1983 augustus;;;116.6;;;
178;1983 september;;;117.1;;;
179;1983 oktober;;;117.6;;;
180;1983 november;;;117.9;;;
181;1983 december;;;117.9;;;
182;1983;;;116.2;;;
183;1984 januari;;;118.3;;;
184;1984 februari;;;118.9;;;
185;1984 maart;;;119.4;;;
186;1984 april;;;119.8;;;
187;1984 mei;;;119.8;;;
188;1984 juni;;;119.8;;;
189;1984 juli;;;119.8;;;
190;1984 augustus;;;119.9;;;
191;1984 september;;;120.4;;;
192;1984 oktober;;;121.2;;;
193;1984 november;;;121.4;;;
194;1984 december;;;121.2;;;
195;1984;;;120.0;;;
196;1985 januari;;;121.1;;;
197;1985 februari;;;121.5;;;
198;1985 maart;;;122.3;;;
199;1985 april;;;122.8;;;
200;1985 mei;;;122.9;;;
201;1985 juni;;;122.8;;;
202;1985 juli;;;122.6;;;
203;1985 augustus;;;122.6;;;
204;1985 september;;;123.2;;;
205;1985 oktober;;;123.5;;;
206;1985 november;;;123.5;;;
207;1985 december;;;123.2;;;
208;1985;;;122.7;100.0;;
209;1986 januari;;;122.8;100.1;;
210;1986 februari;;;123.0;100.2;;
211;1986 maart;;;123.1;100.2;;
212;1986 april;;;123.5;100.5;;
213;1986 mei;;;123.5;100.5;;
214;1986 juni;;;123.0;100.1;;
215;1986 juli;;;121.8;99.3;;
216;1986 augustus;;;122.0;99.5;;
217;1986 september;;;122.5;99.9;;
218;1986 oktober;;;123.2;100.2;;
219;1986 november;;;123.3;100.3;;
220;1986 december;;;123.1;100.1;;
221;1986;;;122.9;100.1;;
222;1987 januari;;;121.2;98.8;;
223;1987 februari;;;121.5;98.9;;
224;1987 maart;;;121.8;99.1;;
225;1987 april;;;122.1;99.3;;
226;1987 mei;;;122.1;99.2;;
227;1987 juni;;;122.0;99.2;;
228;1987 juli;;;121.9;99.2;;
229;1987 augustus;;;122.3;99.5;;
230;1987 september;;;122.7;99.8;;
231;1987 oktober;;;123.3;100.0;;
232;1987 november;;;123.2;99.9;;
233;1987 december;;;122.9;99.6;;
234;1987;;;122.3;99.4;;
235;1988 januari;;;121.9;99.0;;
236;1988 februari;;;122.1;99.2;;
237;1988 maart;;;122.6;99.7;;
238;1988 april;;;123.0;99.9;;
239;1988 mei;;;123.0;100.0;;
240;1988 juni;;;123.0;99.9;;
241;1988 juli;;;123.1;100.1;;
242;1988 augustus;;;;100.4;;
243;1988 september;;;;100.7;;
244;1988 oktober;;;;100.7;;
245;1988 november;;;;100.9;;
246;1988 december;;;;100.8;;
247;1988;;;;100.1;;
248;1989 januari;;;;99.8;;
249;1989 februari;;;;100.1;;
250;1989 maart;;;;100.5;;
251;1989 april;;;;101.0;;
252;1989 mei;;;;101.0;;
253;1989 juni;;;;100.9;;
254;1989 juli;;;;101.2;;
255;1989 augustus;;;;101.5;;
256;1989 september;;;;102.0;;
257;1989 oktober;;;;102.1;;
258;1989 november;;;;102.1;;
259;1989 december;;;;102.1;;
260;1989;;;;101.2;;
261;1990 januari;;;;102.0;;
262;1990 februari;;;;102.4;;
263;1990 maart;;;;102.8;;
264;1990 april;;;;103.2;;
265;1990 mei;;;;103.3;;
266;1990 juni;;;;103.2;;
267;1990 juli;;;;103.6;;
268;1990 augustus;;;;103.9;;
269;1990 september;;;;104.8;;
270;1990 oktober;;;;105.1;;
271;1990 november;;;;105.0;;
272;1990 december;;;;104.8;;
273;1990;;;;103.7;100.0;
274;1991 januari;;;;105.3;101.1;
275;1991 februari;;;;105.4;101.3;
276;1991 maart;;;;106.1;101.9;
277;1991 april;;;;106.4;102.1;
278;1991 mei;;;;106.6;102.2;
279;1991 juni;;;;106.7;102.4;
280;1991 juli;;;;108.3;103.5;
281;1991 augustus;;;;108.7;103.6;
282;1991 september;;;;109.4;104.5;
283;1991 oktober;;;;109.8;104.8;
284;1991 november;;;;110.0;104.9;
285;1991 december;;;;109.9;104.8;
286;1991;;;;107.7;103.1;
287;1992 januari;;;;109.6;104.4;
288;1992 februari;;;;110.0;105.1;
289;1992 maart;;;;110.6;105.8;
290;1992 april;;;;111.1;106.3;
291;1992 mei;;;;111.1;106.2;
292;1992 juni;;;;111.0;105.9;
293;1992 juli;;;;111.7;106.4;
294;1992 augustus;;;;112.5;106.6;
295;1992 september;;;;113.1;107.5;
296;1992 oktober;;;;113.1;107.4;
297;1992 november;;;;113.2;107.5;
298;1992 december;;;;112.8;107.0;
299;1992;;;;111.7;106.3;
300;1993 januari;;;;112.3;107.0;
301;1993 februari;;;;112.6;107.7;
302;1993 maart;;;;113.1;108.5;
303;1993 april;;;;113.6;108.8;
304;1993 mei;;;;113.6;108.7;
305;1993 juni;;;;113.3;108.3;
306;1993 juli;;;;114.2;109.0;
307;1993 augustus;;;;114.7;109.7;
308;1993 september;;;;115.1;110.2;
309;1993 oktober;;;;115.2;110.3;
310;1993 november;;;;115.1;110.2;
311;1993 december;;;;114.7;109.8;
312;1993;;;;114.0;109.0;
313;1994 januari;;;;115.0;110.2;
314;1994 februari;;;;115.7;110.9;
315;1994 maart;;;;116.3;111.5;
316;1994 april;;;;116.5;111.7;
317;1994 mei;;;;116.6;111.8;
318;1994 juni;;;;116.3;111.5;
319;1994 juli;;;;116.7;111.9;
320;1994 augustus;;;;117.2;112.4;
321;1994 september;;;;118.1;113.2;
322;1994 oktober;;;;118.2;113.3;
323;1994 november;;;;117.9;113.0;
324;1994 december;;;;117.4;112.6;
325;1994;;;;116.8;112.0;
326;1995 januari;;;;;112.8;
327;1995 februari;;;;;113.3;
328;1995 maart;;;;;114.0;
329;1995 april;;;;;114.2;
330;1995 mei;;;;;114.0;
331;1995 juni;;;;;113.8;
332;1995 juli;;;;;113.8;
333;1995 augustus;;;;;114.0;
334;1995 september;;;;;114.8;
335;1995 oktober;;;;;114.7;
336;1995 november;;;;;114.7;
337;1995 december;;;;;114.4;
338;1995;;;;;114.0;100.0
339;1996 januari;;;;;114.9;100.6
340;1996 februari;;;;;115.3;100.9
341;1996 maart;;;;;116.3;101.9
342;1996 april;;;;;116.5;102.2
343;1996 mei;;;;;116.3;101.9
344;1996 juni;;;;;115.8;101.5
345;1996 juli;;;;;116.2;101.8
346;1996 augustus;;;;;116.1;101.6
347;1996 september;;;;;117.1;102.5
348;1996 oktober;;;;;117.5;102.8
349;1996 november;;;;;117.3;102.6
350;1996 december;;;;;117.2;102.5
351;1996;;;;;116.4;101.9
352;1997 januari;;;;;117.5;102.7
353;1997 februari;;;;;117.7;102.9
354;1997 maart;;;;;118.4;103.7
355;1997 april;;;;;118.4;103.8
356;1997 mei;;;;;118.7;104.0
357;1997 juni;;;;;118.2;103.5
358;1997 juli;;;;;118.9;103.9
359;1997 augustus;;;;;119.1;104.1
360;1997 september;;;;;120.1;105.0
361;1997 oktober;;;;;;105.1
362;1997 november;;;;;;105.2
363;1997 december;;;;;;104.9
364;1997;;;;;;104.1
365;1998 januari;;;;;;104.6
366;1998 februari;;;;;;105.2
367;1998 maart;;;;;;106.0
368;1998 april;;;;;;106.3
369;1998 mei;;;;;;106.2
370;1998 juni;;;;;;105.7
371;1998 juli;;;;;;105.9
372;1998 augustus;;;;;;105.9
373;1998 september;;;;;;106.8
374;1998 oktober;;;;;;107.0
375;1998 november;;;;;;107.0
376;1998 december;;;;;;106.7
377;1998;;;;;;106.1
378;1999 januari;;;;;;106.8
379;1999 februari;;;;;;107.4
380;1999 maart;;;;;;108.3
381;1999 april;;;;;;108.5
382;1999 mei;;;;;;108.5
383;1999 juni;;;;;;108.1
384;1999 juli;;;;;;108.0
385;1999 augustus;;;;;;108.6
386;1999 september;;;;;;109.1
387;1999 oktober;;;;;;109.2
388;1999 november;;;;;;109.4
389;1999 december;;;;;;109.0
390;1999;;;;;;108.4
391;2000 januari;;;;;;108.8
392;2000 februari;;;;;;109.4
393;2000 maart;;;;;;110.4
394;2000 april;;;;;;110.6
395;2000 mei;;;;;;111.0
396;2000 juni;;;;;;110.9
397;2000 juli;;;;;;110.9
398;2000 augustus;;;;;;111.3
399;2000 september;;;;;;112.3
400;2000 oktober;;;;;;112.6
401;2000 november;;;;;;112.7
402;2000 december;;;;;;112.1
403;2000;;;;;;111.1
404;2001 januari;;;;;;113.4
405;2001 februari;;;;;;114.3
406;2001 maart;;;;;;115.4
407;2001 april;;;;;;116.1
408;2001 mei;;;;;;116.5
409;2001 juni;;;;;;116.0
410;2001 juli;;;;;;116.2
411;2001 augustus;;;;;;116.5
412;2001 september;;;;;;117.6
413;2001 oktober;;;;;;117.6
414;2001 november;;;;;;117.4
415;2001 december;;;;;;117.1
416;2001;;;;;;116.2
417;2002 januari;;;;;;118.0
418;2002 februari;;;;;;118.5
419;2002 maart;;;;;;119.6
420;2002 april;;;;;;120.2
421;2002 mei;;;;;;120.2
422;2002 juni;;;;;;119.8
423;2002 juli;;;;;;120.1
424;2002 augustus;;;;;;120.2
425;2002 september;;;;;;121.4
426;2002 oktober;;;;;;121.2
427;2002 november;;;;;;120.8
428;2002 december;;;;;;120.6
429;2002;;;;;;120.1
