ID;BedrijfstakkenBranchesSBI2008;Beroepenindeling;Perioden;OntstaneVacatures_1
94;A-U Alle economische activiteiten;053 Managers productie en gespecialis...;2022;
95;A-U Alle economische activiteiten;053 Managers productie en gespecialis...;2023;
96;A-U Alle economische activiteiten;06 Openbaar bestuur, veiligheid en ju...;2018;
97;A-U Alle economische activiteiten;06 Openbaar bestuur, veiligheid en ju...;2019;
98;A-U Alle economische activiteiten;06 Openbaar bestuur, veiligheid en ju...;2020;
99;A-U Alle economische activiteiten;06 Openbaar bestuur, veiligheid en ju...;2021;
100;A-U Alle economische activiteiten;06 Openbaar bestuur, veiligheid en ju...;2022;
101;A-U Alle economische activiteiten;06 Openbaar bestuur, veiligheid en ju...;2023;
102;A-U Alle economische activiteiten;061 Overheidsambtenaren en -bestuurders;2018;3.8
103;A-U Alle economische activiteiten;061 Overheidsambtenaren en -bestuurders;2019;4.6
104;A-U Alle economische activiteiten;061 Overheidsambtenaren en -bestuurders;2020;4.3
105;A-U Alle economische activiteiten;061 Overheidsambtenaren en -bestuurders;2021;5.4
106;A-U Alle economische activiteiten;061 Overheidsambtenaren en -bestuurders;2022;6.6
107;A-U Alle economische activiteiten;061 Overheidsambtenaren en -bestuurders;2023;6.4
108;A-U Alle economische activiteiten;062 Juristen;2018;4.2
109;A-U Alle economische activiteiten;062 Juristen;2019;4.8
110;A-U Alle economische activiteiten;062 Juristen;2020;4.2
111;A-U Alle economische activiteiten;062 Juristen;2021;5.8
112;A-U Alle economische activiteiten;062 Juristen;2022;7.5
113;A-U Alle economische activiteiten;062 Juristen;2023;7.3
114;A-U Alle economische activiteiten;07 Technische beroepen;2018;
115;A-U Alle economische activiteiten;07 Technische beroepen;2019;
116;A-U Alle economische activiteiten;07 Technische beroepen;2020;
117;A-U Alle economische activiteiten;07 Technische beroepen;2021;
118;A-U Alle economische activiteiten;07 Technische beroepen;2022;
119;A-U Alle economische activiteiten;07 Technische beroepen;2023;
120;A-U Alle economische activiteiten;072 Vakspecialisten natuur en techniek;2018;
121;A-U Alle economische activiteiten;072 Vakspecialisten natuur en techniek;2019;
122;A-U Alle economische activiteiten;072 Vakspecialisten natuur en techniek;2020;
123;A-U Alle economische activiteiten;072 Vakspecialisten natuur en techniek;2021;
124;A-U Alle economische activiteiten;072 Vakspecialisten natuur en techniek;2022;
125;A-U Alle economische activiteiten;072 Vakspecialisten natuur en techniek;2023;
126;A-U Alle economische activiteiten;073 Bouwarbeiders;2018;
127;A-U Alle economische activiteiten;073 Bouwarbeiders;2019;
128;A-U Alle economische activiteiten;073 Bouwarbeiders;2020;
129;A-U Alle economische activiteiten;073 Bouwarbeiders;2021;
130;A-U Alle economische activiteiten;073 Bouwarbeiders;2022;
131;A-U Alle economische activiteiten;073 Bouwarbeiders;2023;
132;A-U Alle economische activiteiten;074 Metaalarbeiders, machinemonteurs;2018;65.4
133;A-U Alle economische activiteiten;074 Metaalarbeiders, machinemonteurs;2019;66.4
134;A-U Alle economische activiteiten;074 Metaalarbeiders, machinemonteurs;2020;53.1
135;A-U Alle economische activiteiten;074 Metaalarbeiders, machinemonteurs;2021;64.6
136;A-U Alle economische activiteiten;074 Metaalarbeiders, machinemonteurs;2022;62.4
137;A-U Alle economische activiteiten;074 Metaalarbeiders, machinemonteurs;2023;68.7
138;A-U Alle economische activiteiten;076 Elektriciens en elektronicamonteurs;2018;
139;A-U Alle economische activiteiten;076 Elektriciens en elektronicamonteurs;2019;
140;A-U Alle economische activiteiten;076 Elektriciens en elektronicamonteurs;2020;
141;A-U Alle economische activiteiten;076 Elektriciens en elektronicamonteurs;2021;
142;A-U Alle economische activiteiten;076 Elektriciens en elektronicamonteurs;2022;
143;A-U Alle economische activiteiten;076 Elektriciens en elektronicamonteurs;2023;
144;A-U Alle economische activiteiten;08 ICT beroepen;2018;60.2
145;A-U Alle economische activiteiten;08 ICT beroepen;2019;70.0
146;A-U Alle economische activiteiten;08 ICT beroepen;2020;66.1
147;A-U Alle economische activiteiten;08 ICT beroepen;2021;87.9
148;A-U Alle economische activiteiten;08 ICT beroepen;2022;90.3
149;A-U Alle economische activiteiten;08 ICT beroepen;2023;77.6
150;A-U Alle economische activiteiten;081 Specialisten ICT;2018;50.7
151;A-U Alle economische activiteiten;081 Specialisten ICT;2019;58.7
152;A-U Alle economische activiteiten;081 Specialisten ICT;2020;56.8
153;A-U Alle economische activiteiten;081 Specialisten ICT;2021;74.4
154;A-U Alle economische activiteiten;081 Specialisten ICT;2022;76.3
155;A-U Alle economische activiteiten;081 Specialisten ICT;2023;65.4
156;A-U Alle economische activiteiten;082 Vakspecialisten ICT;2018;9.4
157;A-U Alle economische activiteiten;082 Vakspecialisten ICT;2019;11.2
158;A-U Alle economische activiteiten;082 Vakspecialisten ICT;2020;9.2
159;A-U Alle economische activiteiten;082 Vakspecialisten ICT;2021;13.5
160;A-U Alle economische activiteiten;082 Vakspecialisten ICT;2022;14.1
161;A-U Alle economische activiteiten;082 Vakspecialisten ICT;2023;12.2
162;A-U Alle economische activiteiten;10 Zorg en welzijn beroepen;2018;118.1
163;A-U Alle economische activiteiten;10 Zorg en welzijn beroepen;2019;122.0
164;A-U Alle economische activiteiten;10 Zorg en welzijn beroepen;2020;115.3
165;A-U Alle economische activiteiten;10 Zorg en welzijn beroepen;2021;148.3
166;A-U Alle economische activiteiten;10 Zorg en welzijn beroepen;2022;155.9
167;A-U Alle economische activiteiten;10 Zorg en welzijn beroepen;2023;152.5
168;A-U Alle economische activiteiten;101 Artsen, therapeuten en gespeciali...;2018;30.1
169;A-U Alle economische activiteiten;101 Artsen, therapeuten en gespeciali...;2019;31.0
170;A-U Alle economische activiteiten;101 Artsen, therapeuten en gespeciali...;2020;29.5
171;A-U Alle economische activiteiten;101 Artsen, therapeuten en gespeciali...;2021;36.9
172;A-U Alle economische activiteiten;101 Artsen, therapeuten en gespeciali...;2022;39.1
173;A-U Alle economische activiteiten;101 Artsen, therapeuten en gespeciali...;2023;38.2
174;A-U Alle economische activiteiten;102 Specialisten op maatschappelijk g...;2018;10.1
175;A-U Alle economische activiteiten;102 Specialisten op maatschappelijk g...;2019;11.5
176;A-U Alle economische activiteiten;102 Specialisten op maatschappelijk g...;2020;10.4
177;A-U Alle economische activiteiten;102 Specialisten op maatschappelijk g...;2021;14.4
178;A-U Alle economische activiteiten;102 Specialisten op maatschappelijk g...;2022;16.8
179;A-U Alle economische activiteiten;102 Specialisten op maatschappelijk g...;2023;17.5
180;A-U Alle economische activiteiten;103 Vakspecialisten gezondheidszorg;2018;31.3
181;A-U Alle economische activiteiten;103 Vakspecialisten gezondheidszorg;2019;32.6
182;A-U Alle economische activiteiten;103 Vakspecialisten gezondheidszorg;2020;29.9
183;A-U Alle economische activiteiten;103 Vakspecialisten gezondheidszorg;2021;38.4
184;A-U Alle economische activiteiten;103 Vakspecialisten gezondheidszorg;2022;38.8
185;A-U Alle economische activiteiten;103 Vakspecialisten gezondheidszorg;2023;36.8
186;A-U Alle economische activiteiten;105 Verzorgenden;2018;24.9
187;A-U Alle economische activiteiten;105 Verzorgenden;2019;24.4
188;A-U Alle economische activiteiten;105 Verzorgenden;2020;25.3
189;A-U Alle economische activiteiten;105 Verzorgenden;2021;29.8
190;A-U Alle economische activiteiten;105 Verzorgenden;2022;29.9
191;A-U Alle economische activiteiten;105 Verzorgenden;2023;32.0
192;A-U Alle economische activiteiten;11 Dienstverlenende beroepen;2018;132.3
193;A-U Alle economische activiteiten;11 Dienstverlenende beroepen;2019;137.9
194;A-U Alle economische activiteiten;11 Dienstverlenende beroepen;2020;87.2
195;A-U Alle economische activiteiten;11 Dienstverlenende beroepen;2021;139.3
196;A-U Alle economische activiteiten;11 Dienstverlenende beroepen;2022;171.2
197;A-U Alle economische activiteiten;11 Dienstverlenende beroepen;2023;146.1
198;A-U Alle economische activiteiten;111 Medewerkers persoonlijke dienstve...;2018;
199;A-U Alle economische activiteiten;111 Medewerkers persoonlijke dienstve...;2019;
200;A-U Alle economische activiteiten;111 Medewerkers persoonlijke dienstve...;2020;
201;A-U Alle economische activiteiten;111 Medewerkers persoonlijke dienstve...;2021;
202;A-U Alle economische activiteiten;111 Medewerkers persoonlijke dienstve...;2022;
203;A-U Alle economische activiteiten;111 Medewerkers persoonlijke dienstve...;2023;
204;A-U Alle economische activiteiten;112 Schoonmakers en keukenhulpen;2018;70.2
205;A-U Alle economische activiteiten;112 Schoonmakers en keukenhulpen;2019;73.8
206;A-U Alle economische activiteiten;112 Schoonmakers en keukenhulpen;2020;53.0
207;A-U Alle economische activiteiten;112 Schoonmakers en keukenhulpen;2021;74.4
208;A-U Alle economische activiteiten;112 Schoonmakers en keukenhulpen;2022;90.6
209;A-U Alle economische activiteiten;112 Schoonmakers en keukenhulpen;2023;71.1
210;A-U Alle economische activiteiten;12 Transport en logistiek beroepen;2018;97.6
211;A-U Alle economische activiteiten;12 Transport en logistiek beroepen;2019;98.8
212;A-U Alle economische activiteiten;12 Transport en logistiek beroepen;2020;84.6
213;A-U Alle economische activiteiten;12 Transport en logistiek beroepen;2021;106.4
214;A-U Alle economische activiteiten;12 Transport en logistiek beroepen;2022;110.1
215;A-U Alle economische activiteiten;12 Transport en logistiek beroepen;2023;101.3
216;A-U Alle economische activiteiten;121 Bestuurders voertuigen en bediene...;2018;
217;A-U Alle economische activiteiten;121 Bestuurders voertuigen en bediene...;2019;
218;A-U Alle economische activiteiten;121 Bestuurders voertuigen en bediene...;2020;
219;A-U Alle economische activiteiten;121 Bestuurders voertuigen en bediene...;2021;
220;A-U Alle economische activiteiten;121 Bestuurders voertuigen en bediene...;2022;
221;A-U Alle economische activiteiten;121 Bestuurders voertuigen en bediene...;2023;
222;A-U Alle economische activiteiten;122 Hulpkrachten transport en logistiek;2018;
223;A-U Alle economische activiteiten;122 Hulpkrachten transport en logistiek;2019;
224;A-U Alle economische activiteiten;122 Hulpkrachten transport en logistiek;2020;
225;A-U Alle economische activiteiten;122 Hulpkrachten transport en logistiek;2021;
226;A-U Alle economische activiteiten;122 Hulpkrachten transport en logistiek;2022;
227;A-U Alle economische activiteiten;122 Hulpkrachten transport en logistiek;2023;
228;B-E Nijverheid (geen bouw) en energie;01 Pedagogische beroepen;2018;
229;B-E Nijverheid (geen bouw) en energie;01 Pedagogische beroepen;2019;
230;B-E Nijverheid (geen bouw) en energie;01 Pedagogische beroepen;2020;
231;B-E Nijverheid (geen bouw) en energie;01 Pedagogische beroepen;2021;
232;B-E Nijverheid (geen bouw) en energie;01 Pedagogische beroepen;2022;
233;B-E Nijverheid (geen bouw) en energie;01 Pedagogische beroepen;2023;
234;B-E Nijverheid (geen bouw) en energie;011 Docenten;2018;
235;B-E Nijverheid (geen bouw) en energie;011 Docenten;2019;
236;B-E Nijverheid (geen bouw) en energie;011 Docenten;2020;
237;B-E Nijverheid (geen bouw) en energie;011 Docenten;2021;
238;B-E Nijverheid (geen bouw) en energie;011 Docenten;2022;
239;B-E Nijverheid (geen bouw) en energie;011 Docenten;2023;
240;B-E Nijverheid (geen bouw) en energie;013 Leidsters kinderopvang en onderw...;2018;
241;B-E Nijverheid (geen bouw) en energie;013 Leidsters kinderopvang en onderw...;2019;
242;B-E Nijverheid (geen bouw) en energie;013 Leidsters kinderopvang en onderw...;2020;
243;B-E Nijverheid (geen bouw) en energie;013 Leidsters kinderopvang en onderw...;2021;
244;B-E Nijverheid (geen bouw) en energie;013 Leidsters kinderopvang en onderw...;2022;
245;B-E Nijverheid (geen bouw) en energie;013 Leidsters kinderopvang en onderw...;2023;
246;B-E Nijverheid (geen bouw) en energie;02 Creatieve en taalkundige beroepen;2018;
247;B-E Nijverheid (geen bouw) en energie;02 Creatieve en taalkundige beroepen;2019;
248;B-E Nijverheid (geen bouw) en energie;02 Creatieve en taalkundige beroepen;2020;
249;B-E Nijverheid (geen bouw) en energie;02 Creatieve en taalkundige beroepen;2021;
250;B-E Nijverheid (geen bouw) en energie;02 Creatieve en taalkundige beroepen;2022;
251;B-E Nijverheid (geen bouw) en energie;02 Creatieve en taalkundige beroepen;2023;
252;B-E Nijverheid (geen bouw) en energie;021 Auteurs en kunstenaars;2018;
253;B-E Nijverheid (geen bouw) en energie;021 Auteurs en kunstenaars;2019;
254;B-E Nijverheid (geen bouw) en energie;021 Auteurs en kunstenaars;2020;
255;B-E Nijverheid (geen bouw) en energie;021 Auteurs en kunstenaars;2021;
256;B-E Nijverheid (geen bouw) en energie;021 Auteurs en kunstenaars;2022;
257;B-E Nijverheid (geen bouw) en energie;021 Auteurs en kunstenaars;2023;
258;B-E Nijverheid (geen bouw) en energie;03 Commerciële beroepen;2018;
259;B-E Nijverheid (geen bouw) en energie;03 Commerciële beroepen;2019;
260;B-E Nijverheid (geen bouw) en energie;03 Commerciële beroepen;2020;
261;B-E Nijverheid (geen bouw) en energie;03 Commerciële beroepen;2021;
262;B-E Nijverheid (geen bouw) en energie;03 Commerciële beroepen;2022;
263;B-E Nijverheid (geen bouw) en energie;03 Commerciële beroepen;2023;
264;B-E Nijverheid (geen bouw) en energie;031 Adviseurs marketing, public relat...;2018;2.0
265;B-E Nijverheid (geen bouw) en energie;031 Adviseurs marketing, public relat...;2019;1.8
266;B-E Nijverheid (geen bouw) en energie;031 Adviseurs marketing, public relat...;2020;1.5
267;B-E Nijverheid (geen bouw) en energie;031 Adviseurs marketing, public relat...;2021;2.6
268;B-E Nijverheid (geen bouw) en energie;031 Adviseurs marketing, public relat...;2022;3.0
269;B-E Nijverheid (geen bouw) en energie;031 Adviseurs marketing, public relat...;2023;2.8
270;B-E Nijverheid (geen bouw) en energie;032 Vertegenwoordigers en inkopers;2018;
271;B-E Nijverheid (geen bouw) en energie;032 Vertegenwoordigers en inkopers;2019;
272;B-E Nijverheid (geen bouw) en energie;032 Vertegenwoordigers en inkopers;2020;
273;B-E Nijverheid (geen bouw) en energie;032 Vertegenwoordigers en inkopers;2021;
274;B-E Nijverheid (geen bouw) en energie;032 Vertegenwoordigers en inkopers;2022;
275;B-E Nijverheid (geen bouw) en energie;032 Vertegenwoordigers en inkopers;2023;
276;B-E Nijverheid (geen bouw) en energie;033 Verkopers;2018;
277;B-E Nijverheid (geen bouw) en energie;033 Verkopers;2019;
278;B-E Nijverheid (geen bouw) en energie;033 Verkopers;2020;
279;B-E Nijverheid (geen bouw) en energie;033 Verkopers;2021;
280;B-E Nijverheid (geen bouw) en energie;033 Verkopers;2022;
281;B-E Nijverheid (geen bouw) en energie;033 Verkopers;2023;
282;B-E Nijverheid (geen bouw) en energie;04 Bedrijfseconomische en administrat...;2018;12.4
283;B-E Nijverheid (geen bouw) en energie;04 Bedrijfseconomische en administrat...;2019;13.5
284;B-E Nijverheid (geen bouw) en energie;04 Bedrijfseconomische en administrat...;2020;10.2
285;B-E Nijverheid (geen bouw) en energie;04 Bedrijfseconomische en administrat...;2021;15.6
286;B-E Nijverheid (geen bouw) en energie;04 Bedrijfseconomische en administrat...;2022;18.1
287;B-E Nijverheid (geen bouw) en energie;04 Bedrijfseconomische en administrat...;2023;16.9
288;B-E Nijverheid (geen bouw) en energie;041 Specialisten bedrijfsbeheer en ad...;2018;2.9
289;B-E Nijverheid (geen bouw) en energie;041 Specialisten bedrijfsbeheer en ad...;2019;3.3
290;B-E Nijverheid (geen bouw) en energie;041 Specialisten bedrijfsbeheer en ad...;2020;2.8
291;B-E Nijverheid (geen bouw) en energie;041 Specialisten bedrijfsbeheer en ad...;2021;4.4
292;B-E Nijverheid (geen bouw) en energie;041 Specialisten bedrijfsbeheer en ad...;2022;5.8
293;B-E Nijverheid (geen bouw) en energie;041 Specialisten bedrijfsbeheer en ad...;2023;6.2
294;B-E Nijverheid (geen bouw) en energie;042 Vakspecialisten bedrijfsbeheer en...;2018;
295;B-E Nijverheid (geen bouw) en energie;042 Vakspecialisten bedrijfsbeheer en...;2019;
296;B-E Nijverheid (geen bouw) en energie;042 Vakspecialisten bedrijfsbeheer en...;2020;
297;B-E Nijverheid (geen bouw) en energie;042 Vakspecialisten bedrijfsbeheer en...;2021;
298;B-E Nijverheid (geen bouw) en energie;042 Vakspecialisten bedrijfsbeheer en...;2022;
299;B-E Nijverheid (geen bouw) en energie;042 Vakspecialisten bedrijfsbeheer en...;2023;
300;B-E Nijverheid (geen bouw) en energie;043 Administratief personeel;2018;
301;B-E Nijverheid (geen bouw) en energie;043 Administratief personeel;2019;
302;B-E Nijverheid (geen bouw) en energie;043 Administratief personeel;2020;
303;B-E Nijverheid (geen bouw) en energie;043 Administratief personeel;2021;
304;B-E Nijverheid (geen bouw) en energie;043 Administratief personeel;2022;
305;B-E Nijverheid (geen bouw) en energie;043 Administratief personeel;2023;
306;B-E Nijverheid (geen bouw) en energie;05 Managers;2018;
307;B-E Nijverheid (geen bouw) en energie;05 Managers;2019;
308;B-E Nijverheid (geen bouw) en energie;05 Managers;2020;
309;B-E Nijverheid (geen bouw) en energie;05 Managers;2021;
310;B-E Nijverheid (geen bouw) en energie;05 Managers;2022;
311;B-E Nijverheid (geen bouw) en energie;05 Managers;2023;
312;B-E Nijverheid (geen bouw) en energie;052 Managers op administratief en com...;2018;
313;B-E Nijverheid (geen bouw) en energie;052 Managers op administratief en com...;2019;
314;B-E Nijverheid (geen bouw) en energie;052 Managers op administratief en com...;2020;
315;B-E Nijverheid (geen bouw) en energie;052 Managers op administratief en com...;2021;
316;B-E Nijverheid (geen bouw) en energie;052 Managers op administratief en com...;2022;
317;B-E Nijverheid (geen bouw) en energie;052 Managers op administratief en com...;2023;
318;B-E Nijverheid (geen bouw) en energie;053 Managers productie en gespecialis...;2018;
319;B-E Nijverheid (geen bouw) en energie;053 Managers productie en gespecialis...;2019;
320;B-E Nijverheid (geen bouw) en energie;053 Managers productie en gespecialis...;2020;
321;B-E Nijverheid (geen bouw) en energie;053 Managers productie en gespecialis...;2021;
322;B-E Nijverheid (geen bouw) en energie;053 Managers productie en gespecialis...;2022;
323;B-E Nijverheid (geen bouw) en energie;053 Managers productie en gespecialis...;2023;
324;B-E Nijverheid (geen bouw) en energie;06 Openbaar bestuur, veiligheid en ju...;2018;
325;B-E Nijverheid (geen bouw) en energie;06 Openbaar bestuur, veiligheid en ju...;2019;
326;B-E Nijverheid (geen bouw) en energie;06 Openbaar bestuur, veiligheid en ju...;2020;
327;B-E Nijverheid (geen bouw) en energie;06 Openbaar bestuur, veiligheid en ju...;2021;
328;B-E Nijverheid (geen bouw) en energie;06 Openbaar bestuur, veiligheid en ju...;2022;
329;B-E Nijverheid (geen bouw) en energie;06 Openbaar bestuur, veiligheid en ju...;2023;
330;B-E Nijverheid (geen bouw) en energie;061 Overheidsambtenaren en -bestuurders;2018;
331;B-E Nijverheid (geen bouw) en energie;061 Overheidsambtenaren en -bestuurders;2019;
332;B-E Nijverheid (geen bouw) en energie;061 Overheidsambtenaren en -bestuurders;2020;
333;B-E Nijverheid (geen bouw) en energie;061 Overheidsambtenaren en -bestuurders;2021;
334;B-E Nijverheid (geen bouw) en energie;061 Overheidsambtenaren en -bestuurders;2022;
335;B-E Nijverheid (geen bouw) en energie;061 Overheidsambtenaren en -bestuurders;2023;
336;B-E Nijverheid (geen bouw) en energie;062 Juristen;2018;
337;B-E Nijverheid (geen bouw) en energie;062 Juristen;2019;
338;B-E Nijverheid (geen bouw) en energie;062 Juristen;2020;
339;B-E Nijverheid (geen bouw) en energie;062 Juristen;2021;
340;B-E Nijverheid (geen bouw) en energie;062 Juristen;2022;
341;B-E Nijverheid (geen bouw) en energie;062 Juristen;2023;
342;B-E Nijverheid (geen bouw) en energie;07 Technische beroepen;2018;51.5
343;B-E Nijverheid (geen bouw) en energie;07 Technische beroepen;2019;54.3
344;B-E Nijverheid (geen bouw) en energie;07 Technische beroepen;2020;43.1
345;B-E Nijverheid (geen bouw) en energie;07 Technische beroepen;2021;59.1
346;B-E Nijverheid (geen bouw) en energie;07 Technische beroepen;2022;58.7
347;B-E Nijverheid (geen bouw) en energie;07 Technische beroepen;2023;58.3
348;B-E Nijverheid (geen bouw) en energie;072 Vakspecialisten natuur en techniek;2018;7.2
349;B-E Nijverheid (geen bouw) en energie;072 Vakspecialisten natuur en techniek;2019;8.0
350;B-E Nijverheid (geen bouw) en energie;072 Vakspecialisten natuur en techniek;2020;7.0
351;B-E Nijverheid (geen bouw) en energie;072 Vakspecialisten natuur en techniek;2021;11.4
352;B-E Nijverheid (geen bouw) en energie;072 Vakspecialisten natuur en techniek;2022;10.3
353;B-E Nijverheid (geen bouw) en energie;072 Vakspecialisten natuur en techniek;2023;10.8
354;B-E Nijverheid (geen bouw) en energie;073 Bouwarbeiders;2018;
355;B-E Nijverheid (geen bouw) en energie;073 Bouwarbeiders;2019;
356;B-E Nijverheid (geen bouw) en energie;073 Bouwarbeiders;2020;
357;B-E Nijverheid (geen bouw) en energie;073 Bouwarbeiders;2021;
358;B-E Nijverheid (geen bouw) en energie;073 Bouwarbeiders;2022;
