ID;Regio;SBI93;TotaalBeroepsbevolking_1;MetLagerOnderwijs_2;MetMiddelbaarOnderwijs_3;MetHogerOnderwijs_4;AandeelBeroepsbevolkingInDeRegio_5;LagerOnderwijs_6;MiddelbaarOnderwijs_7;HogerOnderwijs_8
40;Totaal Oost-Nederland;75: Openbaar bestuur;105;21.0;52.0;33.0;7;20.0;50.0;31.0
41;Totaal Oost-Nederland;80: Onderwijs;97;8.0;17.0;71.0;7;8.0;18.0;73.0
42;Totaal Oost-Nederland;85: Gezondheids- en welzijnszorg;216;31.0;113.0;72.0;15;14.0;52.0;33.0
43;Totaal Oost-Nederland;90-93: Cultuur en ov. dienstverlening;56;18.0;24.0;14.0;4;32.0;43.0;25.0
44;Totaal Oost-Nederland;Onbekend;22;6.0;9.0;7.0;2;27.0;41.0;32.0
45;Totaal West-Nederland;Totaal;3348;923.0;1382.0;1041.0;100;28.0;41.0;31.0
46;Totaal West-Nederland;1;75;38.0;32.0;;2;51.0;43.0;
47;Totaal West-Nederland;2;365;131.0;165.0;67.0;11;36.0;45.0;18.0
48;Totaal West-Nederland;3;13;;;;0;;;
49;Totaal West-Nederland;4;202;87.0;95.0;19.0;6;43.0;47.0;9.0
50;Totaal West-Nederland;5;507;199.0;236.0;71.0;15;39.0;47.0;14.0
51;Totaal West-Nederland;6;107;51.0;43.0;;3;48.0;40.0;
52;Totaal West-Nederland;7;258;93.0;113.0;53.0;8;36.0;44.0;21.0
53;Totaal West-Nederland;8;161;24.0;77.0;61.0;5;15.0;48.0;38.0
54;Totaal West-Nederland;9;481;92.0;165.0;224.0;14;19.0;34.0;47.0
55;Totaal West-Nederland;75: Openbaar bestuur;273;44.0;124.0;107.0;8;16.0;45.0;39.0
56;Totaal West-Nederland;80: Onderwijs;211;14.0;32.0;164.0;6;7.0;15.0;78.0
57;Totaal West-Nederland;85: Gezondheids- en welzijnszorg;452;84.0;205.0;162.0;14;19.0;45.0;36.0
58;Totaal West-Nederland;90-93: Cultuur en ov. dienstverlening;170;38.0;60.0;71.0;5;22.0;35.0;42.0
59;Totaal West-Nederland;Onbekend;72;22.0;26.0;23.0;2;31.0;36.0;32.0
60;Totaal Zuid-Nederland;Totaal;1559;466.0;703.0;389.0;100;30.0;45.0;25.0
61;Totaal Zuid-Nederland;1;43;17.0;23.0;;3;40.0;53.0;
62;Totaal Zuid-Nederland;2;335;129.0;144.0;62.0;21;39.0;43.0;19.0
63;Totaal Zuid-Nederland;3;9;;;;1;;;
64;Totaal Zuid-Nederland;4;119;51.0;59.0;8.0;8;43.0;50.0;7.0
65;Totaal Zuid-Nederland;5;237;81.0;129.0;27.0;15;34.0;54.0;11.0
66;Totaal Zuid-Nederland;6;43;21.0;18.0;;3;49.0;42.0;
67;Totaal Zuid-Nederland;7;82;38.0;33.0;11.0;5;46.0;40.0;13.0
68;Totaal Zuid-Nederland;8;51;6.0;27.0;18.0;3;12.0;53.0;35.0
69;Totaal Zuid-Nederland;9;158;30.0;57.0;70.0;10;19.0;36.0;44.0
70;Totaal Zuid-Nederland;75: Openbaar bestuur;103;19.0;50.0;33.0;7;18.0;49.0;32.0
71;Totaal Zuid-Nederland;80: Onderwijs;88;8.0;15.0;64.0;6;9.0;17.0;73.0
72;Totaal Zuid-Nederland;85: Gezondheids- en welzijnszorg;208;38.0;104.0;67.0;13;18.0;50.0;32.0
73;Totaal Zuid-Nederland;90-93: Cultuur en ov. dienstverlening;54;17.0;24.0;12.0;3;31.0;44.0;22.0
74;Totaal Zuid-Nederland;Onbekend;27;8.0;13.0;7.0;2;30.0;48.0;26.0
75;Groningen;Totaal;236;62.0;110.0;65.0;100;26.0;47.0;28.0
76;Groningen;1;7;1.0;5.0;;3;14.0;71.0;
77;Groningen;2;38;16.0;18.0;5.0;16;42.0;47.0;13.0
78;Groningen;3;1;;;;0;;;
79;Groningen;4;15;7.0;7.0;1.0;6;47.0;47.0;7.0
80;Groningen;5;28;9.0;15.0;3.0;12;32.0;54.0;11.0
81;Groningen;6;5;2.0;3.0;;2;40.0;60.0;
82;Groningen;7;15;5.0;7.0;3.0;6;33.0;47.0;20.0
83;Groningen;8;9;1.0;4.0;3.0;4;11.0;44.0;33.0
84;Groningen;9;27;5.0;12.0;10.0;11;19.0;44.0;37.0
85;Groningen;75: Openbaar bestuur;17;3.0;8.0;5.0;7;18.0;47.0;29.0
86;Groningen;80: Onderwijs;20;1.0;4.0;15.0;8;5.0;20.0;75.0
87;Groningen;85: Gezondheids- en welzijnszorg;42;7.0;20.0;15.0;18;17.0;48.0;36.0
88;Groningen;90-93: Cultuur en ov. dienstverlening;8;2.0;4.0;2.0;3;25.0;50.0;25.0
89;Groningen;Onbekend;4;1.0;1.0;2.0;2;25.0;25.0;50.0
90;Friesland;Totaal;264;84.0;125.0;55.0;100;32.0;47.0;21.0
91;Friesland;1;11;6.0;5.0;;4;55.0;45.0;
92;Friesland;2;47;22.0;21.0;4.0;18;47.0;45.0;9.0
93;Friesland;3;1;;;;0;;;
94;Friesland;4;27;13.0;13.0;1.0;10;48.0;48.0;4.0
95;Friesland;5;33;13.0;17.0;3.0;13;39.0;52.0;9.0
96;Friesland;6;7;3.0;3.0;;3;43.0;43.0;
97;Friesland;7;13;6.0;5.0;1.0;5;46.0;38.0;8.0
98;Friesland;8;15;3.0;8.0;5.0;6;20.0;53.0;33.0
99;Friesland;9;20;4.0;8.0;7.0;8;20.0;40.0;35.0
100;Friesland;75: Openbaar bestuur;16;2.0;9.0;5.0;6;13.0;56.0;31.0
101;Friesland;80: Onderwijs;17;2.0;2.0;13.0;6;12.0;12.0;76.0
102;Friesland;85: Gezondheids- en welzijnszorg;43;6.0;25.0;12.0;16;14.0;58.0;28.0
103;Friesland;90-93: Cultuur en ov. dienstverlening;9;2.0;5.0;2.0;3;22.0;56.0;22.0
104;Friesland;Onbekend;4;2.0;2.0;1.0;2;50.0;50.0;25.0
105;Drenthe;Totaal;197;64.0;93.0;41.0;100;32.0;47.0;21.0
106;Drenthe;1;8;5.0;3.0;;4;63.0;38.0;
107;Drenthe;2;34;17.0;13.0;5.0;17;50.0;38.0;15.0
108;Drenthe;3;1;;;;1;;;
109;Drenthe;4;18;10.0;6.0;1.0;9;56.0;33.0;6.0
110;Drenthe;5;27;10.0;15.0;2.0;14;37.0;56.0;7.0
111;Drenthe;6;6;3.0;3.0;;3;50.0;50.0;
112;Drenthe;7;9;4.0;4.0;1.0;5;44.0;44.0;11.0
113;Drenthe;8;6;1.0;3.0;2.0;3;17.0;50.0;33.0
114;Drenthe;9;18;3.0;9.0;6.0;9;17.0;50.0;33.0
115;Drenthe;75: Openbaar bestuur;18;3.0;10.0;5.0;9;17.0;56.0;28.0
116;Drenthe;80: Onderwijs;11;1.0;2.0;9.0;6;9.0;18.0;82.0
117;Drenthe;85: Gezondheids- en welzijnszorg;31;5.0;17.0;9.0;16;16.0;55.0;29.0
118;Drenthe;90-93: Cultuur en ov. dienstverlening;6;1.0;4.0;1.0;3;17.0;67.0;17.0
119;Drenthe;Onbekend;3;1.0;1.0;1.0;2;33.0;33.0;33.0
120;Overijssel;Totaal;465;133.0;230.0;102.0;100;29.0;49.0;22.0
121;Overijssel;1;15;5.0;9.0;;3;33.0;60.0;
122;Overijssel;2;90;39.0;41.0;10.0;19;43.0;46.0;11.0
123;Overijssel;3;2;;;;0;;;
124;Overijssel;4;40;18.0;22.0;1.0;9;45.0;55.0;3.0
125;Overijssel;5;71;24.0;42.0;5.0;15;34.0;59.0;7.0
126;Overijssel;6;12;5.0;7.0;;3;42.0;58.0;
127;Overijssel;7;20;8.0;10.0;1.0;4;40.0;50.0;5.0
128;Overijssel;8;13;2.0;8.0;3.0;3;15.0;62.0;23.0
129;Overijssel;9;43;9.0;18.0;16.0;9;21.0;42.0;37.0
130;Overijssel;75: Openbaar bestuur;32;5.0;17.0;10.0;7;16.0;53.0;31.0
131;Overijssel;80: Onderwijs;34;2.0;6.0;25.0;7;6.0;18.0;74.0
132;Overijssel;85: Gezondheids- en welzijnszorg;72;10.0;40.0;22.0;15;14.0;56.0;31.0
133;Overijssel;90-93: Cultuur en ov. dienstverlening;15;4.0;6.0;4.0;3;27.0;40.0;27.0
134;Overijssel;Onbekend;5;1.0;3.0;1.0;1;20.0;60.0;20.0
135;Flevoland;Totaal;149;45.0;67.0;37.0;100;30.0;45.0;25.0
136;Flevoland;1;8;3.0;4.0;;5;38.0;50.0;
137;Flevoland;2;19;10.0;8.0;2.0;13;53.0;42.0;11.0
138;Flevoland;3;1;;;;1;;;
139;Flevoland;4;9;5.0;4.0;0.0;6;56.0;44.0;0.0
140;Flevoland;5;21;8.0;10.0;4.0;14;38.0;48.0;19.0
141;Flevoland;6;4;2.0;1.0;;3;50.0;25.0;
142;Flevoland;7;10;4.0;5.0;2.0;7;40.0;50.0;20.0
143;Flevoland;8;7;1.0;3.0;3.0;5;14.0;43.0;43.0
144;Flevoland;9;20;4.0;8.0;8.0;13;20.0;40.0;40.0
145;Flevoland;75: Openbaar bestuur;14;4.0;7.0;4.0;9;29.0;50.0;29.0
146;Flevoland;80: Onderwijs;6;0.0;1.0;5.0;4;0.0;17.0;83.0
147;Flevoland;85: Gezondheids- en welzijnszorg;20;3.0;10.0;6.0;13;15.0;50.0;30.0
148;Flevoland;90-93: Cultuur en ov. dienstverlening;5;2.0;3.0;1.0;3;40.0;60.0;20.0
149;Flevoland;Onbekend;3;1.0;1.0;1.0;2;33.0;33.0;33.0
150;Gelderland;Totaal;846;258.0;370.0;218.0;100;30.0;44.0;26.0
151;Gelderland;1;20;8.0;11.0;;2;40.0;55.0;
152;Gelderland;2;140;61.0;57.0;21.0;17;44.0;41.0;15.0
153;Gelderland;3;4;;;;0;;;
154;Gelderland;4;67;32.0;30.0;5.0;8;48.0;45.0;7.0
155;Gelderland;5;133;53.0;67.0;13.0;16;40.0;50.0;10.0
156;Gelderland;6;22;10.0;10.0;;3;45.0;45.0;
157;Gelderland;7;45;21.0;19.0;5.0;5;47.0;42.0;11.0
158;Gelderland;8;35;6.0;17.0;12.0;4;17.0;49.0;34.0
159;Gelderland;9;90;14.0;35.0;41.0;11;16.0;39.0;46.0
160;Gelderland;75: Openbaar bestuur;59;12.0;28.0;19.0;7;20.0;47.0;32.0
161;Gelderland;80: Onderwijs;57;6.0;10.0;41.0;7;11.0;18.0;72.0
162;Gelderland;85: Gezondheids- en welzijnszorg;124;18.0;63.0;44.0;15;15.0;51.0;35.0
163;Gelderland;90-93: Cultuur en ov. dienstverlening;36;12.0;15.0;9.0;4;33.0;42.0;25.0
164;Gelderland;Onbekend;14;4.0;5.0;5.0;2;29.0;36.0;36.0
165;Utrecht;Totaal;523;129.0;199.0;195.0;100;25.0;38.0;37.0
166;Utrecht;1;5;3.0;2.0;;1;60.0;40.0;
167;Utrecht;2;52;17.0;21.0;14.0;10;33.0;40.0;27.0
168;Utrecht;3;3;;;;1;;;
169;Utrecht;4;24;12.0;9.0;2.0;5;50.0;38.0;8.0
170;Utrecht;5;76;26.0;36.0;14.0;15;34.0;47.0;18.0
171;Utrecht;6;14;5.0;7.0;;3;36.0;50.0;
172;Utrecht;7;35;15.0;14.0;7.0;7;43.0;40.0;20.0
173;Utrecht;8;30;5.0;14.0;11.0;6;17.0;47.0;37.0
174;Utrecht;9;87;15.0;28.0;44.0;17;17.0;32.0;51.0
175;Utrecht;75: Openbaar bestuur;38;6.0;13.0;19.0;7;16.0;34.0;50.0
176;Utrecht;80: Onderwijs;40;2.0;6.0;32.0;8;5.0;15.0;80.0
177;Utrecht;85: Gezondheids- en welzijnszorg;81;11.0;36.0;35.0;15;14.0;44.0;43.0
178;Utrecht;90-93: Cultuur en ov. dienstverlening;29;7.0;9.0;12.0;6;24.0;31.0;41.0
179;Utrecht;Onbekend;10;4.0;2.0;4.0;2;40.0;20.0;40.0
180;Noord-Holland;Totaal;1167;298.0;489.0;378.0;100;26.0;42.0;32.0
181;Noord-Holland;1;22;8.0;12.0;;2;36.0;55.0;
182;Noord-Holland;2;117;38.0;57.0;21.0;10;32.0;49.0;18.0
183;Noord-Holland;3;2;;;;0;;;
184;Noord-Holland;4;63;25.0;33.0;5.0;5;40.0;52.0;8.0
185;Noord-Holland;5;184;70.0;86.0;28.0;16;38.0;47.0;15.0
186;Noord-Holland;6;51;21.0;21.0;;4;41.0;41.0;
187;Noord-Holland;7;93;28.0;42.0;23.0;8;30.0;45.0;25.0
188;Noord-Holland;8;61;7.0;28.0;27.0;5;11.0;46.0;44.0
189;Noord-Holland;9;171;31.0;57.0;83.0;15;18.0;33.0;49.0
190;Noord-Holland;75: Openbaar bestuur;87;16.0;42.0;29.0;7;18.0;48.0;33.0
191;Noord-Holland;80: Onderwijs;67;4.0;10.0;52.0;6;6.0;15.0;78.0
192;Noord-Holland;85: Gezondheids- en welzijnszorg;151;26.0;66.0;59.0;13;17.0;44.0;39.0
193;Noord-Holland;90-93: Cultuur en ov. dienstverlening;68;14.0;22.0;31.0;6;21.0;32.0;46.0
194;Noord-Holland;Onbekend;28;9.0;11.0;8.0;2;32.0;39.0;29.0
195;Zuid-Holland;Totaal;1509;453.0;616.0;439.0;100;30.0;41.0;29.0
196;Zuid-Holland;1;44;25.0;16.0;;3;57.0;36.0;
197;Zuid-Holland;2;170;67.0;73.0;29.0;11;39.0;43.0;17.0
198;Zuid-Holland;3;7;;;;0;;;
199;Zuid-Holland;4;102;46.0;45.0;11.0;7;45.0;44.0;11.0
200;Zuid-Holland;5;222;94.0;101.0;26.0;15;42.0;45.0;12.0
201;Zuid-Holland;6;36;22.0;12.0;;2;61.0;33.0;
202;Zuid-Holland;7;122;46.0;54.0;22.0;8;38.0;44.0;18.0
203;Zuid-Holland;8;65;11.0;33.0;22.0;4;17.0;51.0;34.0
204;Zuid-Holland;9;209;43.0;73.0;92.0;14;21.0;35.0;44.0
205;Zuid-Holland;75: Openbaar bestuur;136;20.0;61.0;56.0;9;15.0;45.0;41.0
206;Zuid-Holland;80: Onderwijs;98;8.0;15.0;75.0;6;8.0;15.0;77.0
207;Zuid-Holland;85: Gezondheids- en welzijnszorg;198;43.0;90.0;64.0;13;22.0;45.0;32.0
208;Zuid-Holland;90-93: Cultuur en ov. dienstverlening;68;15.0;27.0;26.0;5;22.0;40.0;38.0
209;Zuid-Holland;Onbekend;32;9.0;11.0;11.0;2;28.0;34.0;34.0
210;Zeeland;Totaal;149;43.0;78.0;29.0;100;29.0;52.0;19.0
211;Zeeland;1;4;2.0;2.0;;3;50.0;50.0;
212;Zeeland;2;26;9.0;14.0;3.0;17;35.0;54.0;12.0
213;Zeeland;3;1;;;;1;;;
214;Zeeland;4;13;4.0;8.0;1.0;9;31.0;62.0;8.0
215;Zeeland;5;25;9.0;13.0;3.0;17;36.0;52.0;12.0
216;Zeeland;6;6;3.0;3.0;;4;50.0;50.0;
217;Zeeland;7;8;4.0;3.0;1.0;5;50.0;38.0;13.0
218;Zeeland;8;5;1.0;2.0;1.0;3;20.0;40.0;20.0
219;Zeeland;9;14;3.0;7.0;5.0;9;21.0;50.0;36.0
220;Zeeland;75: Openbaar bestuur;12;2.0;8.0;3.0;8;17.0;67.0;25.0
221;Zeeland;80: Onderwijs;6;0.0;1.0;5.0;4;0.0;17.0;83.0
222;Zeeland;85: Gezondheids- en welzijnszorg;22;4.0;13.0;4.0;15;18.0;59.0;18.0
223;Zeeland;90-93: Cultuur en ov. dienstverlening;5;2.0;2.0;2.0;3;40.0;40.0;40.0
224;Zeeland;Onbekend;2;0.0;2.0;0.0;1;0.0;100.0;0.0
225;Noord-Brabant;Totaal;1071;319.0;478.0;273.0;100;30.0;45.0;25.0
226;Noord-Brabant;1;30;11.0;17.0;;3;37.0;57.0;
227;Noord-Brabant;2;228;86.0;97.0;46.0;21;38.0;43.0;20.0
228;Noord-Brabant;3;5;;;;0;;;
229;Noord-Brabant;4;88;39.0;43.0;6.0;8;44.0;49.0;7.0
230;Noord-Brabant;5;167;57.0;89.0;21.0;16;34.0;53.0;13.0
231;Noord-Brabant;6;25;13.0;10.0;;2;52.0;40.0;
232;Noord-Brabant;7;55;25.0;23.0;7.0;5;45.0;42.0;13.0
233;Noord-Brabant;8;33;4.0;16.0;13.0;3;12.0;48.0;39.0
234;Noord-Brabant;9;114;22.0;42.0;50.0;11;19.0;37.0;44.0
235;Noord-Brabant;75: Openbaar bestuur;68;12.0;33.0;22.0;6;18.0;49.0;32.0
236;Noord-Brabant;80: Onderwijs;60;5.0;11.0;44.0;6;8.0;18.0;73.0
237;Noord-Brabant;85: Gezondheids- en welzijnszorg;138;25.0;69.0;44.0;13;18.0;50.0;32.0
238;Noord-Brabant;90-93: Cultuur en ov. dienstverlening;39;13.0;16.0;10.0;4;33.0;41.0;26.0
239;Noord-Brabant;Onbekend;19;6.0;9.0;5.0;2;32.0;47.0;26.0
240;Zuid-Limburg;Totaal;488;147.0;225.0;116.0;100;30.0;46.0;24.0
241;Zuid-Limburg;1;13;6.0;6.0;;3;46.0;46.0;
242;Zuid-Limburg;2;107;43.0;47.0;16.0;22;40.0;44.0;15.0
243;Zuid-Limburg;3;4;;;;1;;;
244;Zuid-Limburg;4;31;12.0;16.0;2.0;6;39.0;52.0;6.0
245;Zuid-Limburg;5;70;24.0;40.0;6.0;14;34.0;57.0;9.0
246;Zuid-Limburg;6;18;8.0;8.0;;4;44.0;44.0;
247;Zuid-Limburg;7;27;13.0;10.0;4.0;6;48.0;37.0;15.0
248;Zuid-Limburg;8;18;2.0;11.0;5.0;4;11.0;61.0;28.0
249;Zuid-Limburg;9;44;8.0;15.0;20.0;9;18.0;34.0;45.0
250;Zuid-Limburg;75: Openbaar bestuur;35;7.0;17.0;11.0;7;20.0;49.0;31.0
251;Zuid-Limburg;80: Onderwijs;28;3.0;4.0;20.0;6;11.0;14.0;71.0
252;Zuid-Limburg;85: Gezondheids- en welzijnszorg;70;13.0;35.0;23.0;14;19.0;50.0;33.0
253;Zuid-Limburg;90-93: Cultuur en ov. dienstverlening;15;4.0;8.0;2.0;3;27.0;53.0;13.0
254;Zuid-Limburg;Onbekend;8;2.0;4.0;2.0;2;25.0;50.0;25.0
