ID;PersoonskenmerkenRegioEnBedrijfsind;Perioden;Totaal_1;k_1eJaar_2;k_2eJaar_3;Totaal_4;k_17Dagen_5;k_842Dagen_6;k_4391Dagen_7;k_92182Dagen_8;k_183365Dagen_9;k_366730Dagen_10;Ziekmeldingsfrequentie_11;Totaal_12;Beeindigd1eJaarNaZiekmelding_13;Beeindigd1JrEn2JrNaZiekmelding_14
16;Totaal mannen en vrouwen;2005 2e kwartaal*;3.9;3.9;0.1;3.9;0.6;1.1;0.8;0.7;0.6;0.3;0.87;16.5;16.3;0.2
17;Totaal mannen en vrouwen;2005 3e kwartaal*;3.4;3.4;0.1;3.4;0.5;0.9;0.6;0.6;0.5;0.3;0.73;19.2;18.7;0.6
18;Totaal mannen en vrouwen;2005 4e kwartaal*;3.9;3.8;0.1;3.9;0.7;1.1;0.8;0.6;0.4;0.4;0.98;25.3;23.2;2.1
19;Totaal mannen en vrouwen;2005 jaarcijfer*;4.0;4.0;0.1;4.0;0.7;1.0;0.6;0.6;0.6;0.5;0.99;18.4;17.7;0.7
20;Mannen;2002 1e kwartaal*;5.5;5.5;;5.5;1.0;1.7;1.1;1.0;0.8;;1.34;16.7;16.7;
21;Mannen;2002 2e kwartaal*;4.7;4.7;;4.7;0.7;1.4;0.9;0.9;0.8;;1.02;17.7;17.7;
22;Mannen;2002 3e kwartaal*;4.2;4.2;;4.2;0.6;1.2;0.7;0.8;0.8;;0.85;19.8;19.8;
23;Mannen;2002 4e kwartaal*;4.8;4.8;;4.8;0.9;1.5;0.9;0.8;0.7;;1.22;14.9;14.9;
24;Mannen;2002 jaarcijfer*;4.8;4.8;;4.8;0.8;1.2;0.7;0.7;1.5;;1.11;17.0;17.0;
25;Mannen;2003 1e kwartaal*;4.5;4.5;;4.5;1.1;1.5;0.9;0.6;0.5;;1.38;13.7;13.7;
26;Mannen;2003 2e kwartaal*;4.1;4.1;;4.1;0.7;1.3;0.8;0.8;0.5;;1.0;15.0;15.0;
27;Mannen;2003 3e kwartaal*;3.8;3.8;;3.8;0.6;1.1;0.7;0.8;0.6;;0.88;15.6;15.6;
28;Mannen;2003 4e kwartaal*;4.7;4.7;;4.7;1.0;1.4;0.8;0.8;0.7;;1.28;12.3;12.3;
29;Mannen;2003 jaarcijfer*;4.3;4.3;;4.3;0.8;1.1;0.5;0.5;1.3;;1.13;14.0;14.0;
30;Mannen;2004 1e kwartaal*;4.5;4.5;;4.5;0.9;1.4;0.9;0.7;0.5;;1.24;15.7;15.7;
31;Mannen;2004 2e kwartaal*;3.8;3.8;;3.8;0.6;1.2;0.9;0.7;0.5;;0.93;16.4;16.4;
32;Mannen;2004 3e kwartaal*;3.4;3.4;;3.4;0.5;1.0;0.7;0.7;0.5;;0.79;18.2;18.2;
33;Mannen;2004 4e kwartaal*;3.9;3.9;;3.9;0.9;1.3;0.8;0.5;0.4;;1.17;17.3;17.3;
34;Mannen;2004 jaarcijfer*;3.9;3.9;;3.9;0.7;1.1;0.7;0.6;0.7;;1.03;16.8;16.8;
35;Mannen;2005 1e kwartaal*;4.8;4.7;0.1;4.8;1.1;1.5;0.8;0.7;0.6;0.1;1.38;12.3;12.3;0.0
36;Mannen;2005 2e kwartaal*;3.8;3.7;0.1;3.8;0.6;1.1;0.7;0.6;0.6;0.2;0.85;16.1;15.9;0.2
37;Mannen;2005 3e kwartaal*;3.3;3.2;0.1;3.3;0.4;0.9;0.6;0.6;0.5;0.3;0.7;18.8;18.3;0.5
38;Mannen;2005 4e kwartaal*;3.7;3.7;0.1;3.7;0.7;1.1;0.7;0.5;0.4;0.3;0.96;24.6;22.6;2.0
39;Mannen;2005 jaarcijfer*;3.9;3.8;0.1;3.9;0.7;1.0;0.6;0.6;0.6;0.4;0.97;18.0;17.3;0.7
40;Vrouwen;2002 1e kwartaal*;6.9;6.9;;6.9;1.2;2.0;1.5;1.3;0.9;;1.77;19.0;19.0;
41;Vrouwen;2002 2e kwartaal*;6.0;6.0;;6.0;0.9;1.6;1.3;1.3;0.9;;1.36;20.2;20.2;
42;Vrouwen;2002 3e kwartaal*;5.3;5.3;;5.3;0.7;1.4;1.1;1.1;0.9;;1.17;21.8;21.8;
43;Vrouwen;2002 4e kwartaal*;5.8;5.8;;5.8;1.1;1.7;1.3;1.0;0.7;;1.65;16.2;16.2;
44;Vrouwen;2002 jaarcijfer*;6.0;6.0;;6.0;0.9;1.4;0.9;1.1;1.7;;1.48;19.0;19.0;
45;Vrouwen;2003 1e kwartaal*;5.6;5.6;;5.6;1.3;1.8;1.1;0.8;0.6;;1.94;15.0;15.0;
46;Vrouwen;2003 2e kwartaal*;5.1;5.1;;5.1;0.9;1.5;1.2;1.0;0.5;;1.38;16.7;16.7;
47;Vrouwen;2003 3e kwartaal*;4.7;4.7;;4.7;0.8;1.3;1.0;1.0;0.6;;1.26;17.0;17.0;
48;Vrouwen;2003 4e kwartaal*;5.9;5.9;;5.9;1.2;1.7;1.2;1.1;0.7;;1.79;13.7;13.7;
49;Vrouwen;2003 jaarcijfer*;5.3;5.3;;5.3;1.0;1.2;0.8;0.8;1.5;;1.59;15.4;15.4;
50;Vrouwen;2004 1e kwartaal*;5.0;5.0;;5.0;0.9;1.4;1.2;0.9;0.6;;1.32;17.0;17.0;
51;Vrouwen;2004 2e kwartaal*;4.4;4.4;;4.4;0.6;1.2;1.1;0.9;0.5;;1.0;17.6;17.6;
52;Vrouwen;2004 3e kwartaal*;3.7;3.7;;3.7;0.5;1.0;0.8;0.8;0.6;;0.83;19.4;19.4;
53;Vrouwen;2004 4e kwartaal*;4.2;4.2;;4.2;0.8;1.3;1.0;0.6;0.5;;1.22;18.4;18.4;
54;Vrouwen;2004 jaarcijfer*;4.3;4.3;;4.3;0.7;1.1;0.8;0.8;0.9;;1.09;18.0;18.0;
55;Vrouwen;2005 1e kwartaal*;5.1;5.0;0.1;5.1;1.0;1.4;1.0;0.8;0.6;0.2;1.38;13.1;13.1;0.0
56;Vrouwen;2005 2e kwartaal*;4.1;4.0;0.1;4.1;0.6;1.0;0.9;0.8;0.6;0.3;0.89;17.3;17.1;0.2
57;Vrouwen;2005 3e kwartaal*;3.7;3.6;0.1;3.7;0.5;0.9;0.7;0.7;0.6;0.3;0.79;19.8;19.2;0.6
58;Vrouwen;2005 4e kwartaal*;4.1;4.1;0.1;4.1;0.7;1.1;0.9;0.6;0.5;0.4;1.03;26.4;24.2;2.2
59;Vrouwen;2005 jaarcijfer*;4.3;4.2;0.1;4.3;0.7;1.0;0.7;0.7;0.7;0.5;1.02;19.2;18.4;0.8
60;Leeftijdsklasse 15 tot 65 jaar;2002 1e kwartaal*;6.1;6.1;;6.1;1.1;1.8;1.2;1.1;0.8;;1.52;17.8;17.8;
61;Leeftijdsklasse 15 tot 65 jaar;2002 2e kwartaal*;5.3;5.3;;5.3;0.8;1.5;1.1;1.1;0.8;;1.16;18.9;18.9;
62;Leeftijdsklasse 15 tot 65 jaar;2002 3e kwartaal*;4.6;4.6;;4.6;0.6;1.3;0.9;0.9;0.9;;0.98;20.8;20.8;
63;Leeftijdsklasse 15 tot 65 jaar;2002 4e kwartaal*;5.2;5.2;;5.2;1.0;1.6;1.1;0.9;0.7;;1.4;15.5;15.5;
64;Leeftijdsklasse 15 tot 65 jaar;2002 jaarcijfer*;5.3;5.3;;5.3;0.8;1.3;0.8;0.9;1.5;;1.26;18.0;18.0;
65;Leeftijdsklasse 15 tot 65 jaar;2003 1e kwartaal*;5.0;5.0;;5.0;1.2;1.6;1.0;0.7;0.5;;1.6;14.3;14.3;
66;Leeftijdsklasse 15 tot 65 jaar;2003 2e kwartaal*;4.5;4.5;;4.5;0.8;1.4;1.0;0.9;0.5;;1.16;15.8;15.8;
67;Leeftijdsklasse 15 tot 65 jaar;2003 3e kwartaal*;4.2;4.2;;4.2;0.7;1.2;0.8;0.9;0.6;;1.04;16.3;16.3;
68;Leeftijdsklasse 15 tot 65 jaar;2003 4e kwartaal*;5.2;5.2;;5.2;1.1;1.5;1.0;0.9;0.7;;1.49;13.0;13.0;
69;Leeftijdsklasse 15 tot 65 jaar;2003 jaarcijfer*;4.7;4.7;;4.7;0.9;1.2;0.6;0.6;1.4;;1.32;14.7;14.7;
70;Leeftijdsklasse 15 tot 65 jaar;2004 1e kwartaal*;4.7;4.7;;4.7;0.9;1.4;1.0;0.8;0.6;;1.27;16.2;16.2;
71;Leeftijdsklasse 15 tot 65 jaar;2004 2e kwartaal*;4.0;4.0;;4.0;0.6;1.2;0.9;0.8;0.5;;0.95;16.8;16.8;
72;Leeftijdsklasse 15 tot 65 jaar;2004 3e kwartaal*;3.5;3.5;;3.5;0.5;1.0;0.7;0.7;0.5;;0.8;18.7;18.7;
73;Leeftijdsklasse 15 tot 65 jaar;2004 4e kwartaal*;4.0;4.0;;4.0;0.9;1.3;0.9;0.6;0.4;;1.19;17.7;17.7;
74;Leeftijdsklasse 15 tot 65 jaar;2004 jaarcijfer*;4.0;4.0;;4.0;0.7;1.1;0.7;0.7;0.8;;1.05;17.3;17.3;
75;Leeftijdsklasse 15 tot 65 jaar;2005 1e kwartaal*;4.9;4.8;0.1;4.9;1.0;1.5;0.9;0.8;0.6;0.2;1.38;12.6;12.6;0.0
76;Leeftijdsklasse 15 tot 65 jaar;2005 2e kwartaal*;3.9;3.9;0.1;3.9;0.6;1.1;0.8;0.7;0.6;0.3;0.87;16.5;16.3;0.2
77;Leeftijdsklasse 15 tot 65 jaar;2005 3e kwartaal*;3.4;3.4;0.1;3.4;0.5;0.9;0.6;0.6;0.5;0.3;0.73;19.2;18.7;0.6
78;Leeftijdsklasse 15 tot 65 jaar;2005 4e kwartaal*;3.9;3.8;0.1;3.9;0.7;1.1;0.8;0.6;0.4;0.4;0.98;25.3;23.2;2.1
79;Leeftijdsklasse 15 tot 65 jaar;2005 jaarcijfer*;4.0;4.0;0.1;4.0;0.7;1.0;0.6;0.6;0.6;0.5;0.99;18.4;17.7;0.7
80;Leeftijdsklasse 15 tot 20 jaar;2002 1e kwartaal*;1.8;1.8;;1.8;0.6;0.6;0.3;0.2;0.1;;0.8;9.5;9.5;
81;Leeftijdsklasse 15 tot 20 jaar;2002 2e kwartaal*;1.7;1.7;;1.7;0.5;0.6;0.3;0.2;0.1;;0.7;9.6;9.6;
82;Leeftijdsklasse 15 tot 20 jaar;2002 3e kwartaal*;1.5;1.5;;1.5;0.4;0.5;0.2;0.2;0.1;;0.61;10.0;10.0;
83;Leeftijdsklasse 15 tot 20 jaar;2002 4e kwartaal*;1.8;1.8;;1.8;0.5;0.6;0.3;0.2;0.1;;0.81;8.6;8.6;
84;Leeftijdsklasse 15 tot 20 jaar;2002 jaarcijfer*;1.7;1.7;;1.7;0.5;0.5;0.2;0.2;0.3;;0.73;9.4;9.4;
85;Leeftijdsklasse 15 tot 20 jaar;2003 1e kwartaal*;1.6;1.6;;1.6;0.6;0.5;0.3;0.2;0.1;;0.88;8.1;8.1;
86;Leeftijdsklasse 15 tot 20 jaar;2003 2e kwartaal*;1.4;1.4;;1.4;0.4;0.5;0.3;0.2;0.1;;0.69;9.0;9.0;
87;Leeftijdsklasse 15 tot 20 jaar;2003 3e kwartaal*;1.3;1.3;;1.3;0.4;0.4;0.2;0.2;0.1;;0.62;8.7;8.7;
88;Leeftijdsklasse 15 tot 20 jaar;2003 4e kwartaal*;1.7;1.7;;1.7;0.6;0.5;0.3;0.2;0.1;;0.86;8.0;8.0;
89;Leeftijdsklasse 15 tot 20 jaar;2003 jaarcijfer*;1.5;1.5;;1.5;0.5;0.4;0.2;0.1;0.3;;0.76;8.4;8.4;
90;Leeftijdsklasse 15 tot 20 jaar;2004 1e kwartaal*;1.1;1.1;;1.1;0.3;0.4;0.2;0.2;0.1;;0.47;9.1;9.1;
91;Leeftijdsklasse 15 tot 20 jaar;2004 2e kwartaal*;1.1;1.1;;1.1;0.3;0.4;0.2;0.1;0.1;;0.4;9.7;9.7;
92;Leeftijdsklasse 15 tot 20 jaar;2004 3e kwartaal*;0.9;0.9;;0.9;0.2;0.3;0.2;0.1;0.1;;0.32;10.2;10.2;
93;Leeftijdsklasse 15 tot 20 jaar;2004 4e kwartaal*;1.1;1.1;;1.1;0.3;0.4;0.2;0.1;0.1;;0.48;10.4;10.4;
94;Leeftijdsklasse 15 tot 20 jaar;2004 jaarcijfer*;1.1;1.1;;1.1;0.3;0.3;0.2;0.1;0.1;;0.42;9.9;9.9;
95;Leeftijdsklasse 15 tot 20 jaar;2005 1e kwartaal*;1.1;1.1;0.0;1.1;0.4;0.4;0.2;0.1;0.1;0.0;0.46;7.9;7.9;0.0
96;Leeftijdsklasse 15 tot 20 jaar;2005 2e kwartaal*;0.9;0.9;0.0;0.9;0.2;0.3;0.2;0.1;0.1;0.0;0.34;9.3;9.3;0.0
97;Leeftijdsklasse 15 tot 20 jaar;2005 3e kwartaal*;0.8;0.8;0.0;0.8;0.2;0.3;0.1;0.1;0.1;0.0;0.31;11.0;10.9;0.1
98;Leeftijdsklasse 15 tot 20 jaar;2005 4e kwartaal*;0.9;0.9;0.0;0.9;0.2;0.3;0.2;0.1;0.1;0.0;0.38;12.1;11.8;0.3
99;Leeftijdsklasse 15 tot 20 jaar;2005 jaarcijfer*;0.9;0.9;0.0;0.9;0.3;0.3;0.2;0.1;0.1;0.0;0.37;10.1;10.0;0.1
100;Leeftijdsklasse 15 tot 25 jaar;2002 1e kwartaal*;3.3;3.3;;3.3;0.9;1.0;0.6;0.5;0.3;;1.17;11.4;11.4;
101;Leeftijdsklasse 15 tot 25 jaar;2002 2e kwartaal*;3.0;3.0;;3.0;0.7;0.9;0.6;0.5;0.3;;1.01;11.8;11.8;
102;Leeftijdsklasse 15 tot 25 jaar;2002 3e kwartaal*;2.7;2.7;;2.7;0.6;0.8;0.5;0.4;0.3;;0.88;12.6;12.6;
103;Leeftijdsklasse 15 tot 25 jaar;2002 4e kwartaal*;3.0;3.0;;3.0;0.8;0.9;0.6;0.4;0.3;;1.15;10.4;10.4;
104;Leeftijdsklasse 15 tot 25 jaar;2002 jaarcijfer*;3.0;3.0;;3.0;0.7;0.8;0.4;0.4;0.6;;1.05;11.5;11.5;
105;Leeftijdsklasse 15 tot 25 jaar;2003 1e kwartaal*;2.8;2.8;;2.8;0.9;0.9;0.5;0.3;0.2;;1.26;9.6;9.6;
106;Leeftijdsklasse 15 tot 25 jaar;2003 2e kwartaal*;2.5;2.5;;2.5;0.7;0.8;0.5;0.4;0.2;;0.99;10.4;10.4;
107;Leeftijdsklasse 15 tot 25 jaar;2003 3e kwartaal*;2.3;2.3;;2.3;0.6;0.7;0.4;0.4;0.2;;0.91;10.5;10.5;
108;Leeftijdsklasse 15 tot 25 jaar;2003 4e kwartaal*;2.9;2.9;;2.9;0.8;0.8;0.5;0.5;0.3;;1.2;9.2;9.2;
109;Leeftijdsklasse 15 tot 25 jaar;2003 jaarcijfer*;2.6;2.6;;2.6;0.7;0.7;0.3;0.3;0.6;;1.09;9.9;9.9;
110;Leeftijdsklasse 15 tot 25 jaar;2004 1e kwartaal*;2.1;2.1;;2.1;0.6;0.6;0.4;0.3;0.2;;0.78;10.8;10.8;
111;Leeftijdsklasse 15 tot 25 jaar;2004 2e kwartaal*;1.9;1.9;;1.9;0.4;0.6;0.4;0.3;0.2;;0.65;11.0;11.0;
112;Leeftijdsklasse 15 tot 25 jaar;2004 3e kwartaal*;1.6;1.6;;1.6;0.4;0.5;0.3;0.3;0.1;;0.54;11.7;11.7;
113;Leeftijdsklasse 15 tot 25 jaar;2004 4e kwartaal*;1.9;1.9;;1.9;0.6;0.6;0.4;0.2;0.1;;0.77;11.5;11.5;
114;Leeftijdsklasse 15 tot 25 jaar;2004 jaarcijfer*;1.9;1.9;;1.9;0.5;0.5;0.3;0.3;0.2;;0.68;11.2;11.2;
115;Leeftijdsklasse 15 tot 25 jaar;2005 1e kwartaal*;2.0;1.9;0.0;2.0;0.6;0.6;0.4;0.2;0.1;0.0;0.76;8.8;8.8;0.0
116;Leeftijdsklasse 15 tot 25 jaar;2005 2e kwartaal*;1.6;1.6;0.0;1.6;0.4;0.5;0.3;0.2;0.1;0.0;0.55;10.5;10.4;0.1
117;Leeftijdsklasse 15 tot 25 jaar;2005 3e kwartaal*;1.4;1.4;0.0;1.4;0.3;0.4;0.3;0.2;0.1;0.1;0.5;12.5;12.4;0.2
118;Leeftijdsklasse 15 tot 25 jaar;2005 4e kwartaal*;1.6;1.6;0.0;1.6;0.4;0.5;0.3;0.2;0.1;0.1;0.61;14.1;13.5;0.6
119;Leeftijdsklasse 15 tot 25 jaar;2005 jaarcijfer*;1.6;1.6;0.0;1.6;0.4;0.5;0.3;0.2;0.2;0.1;0.6;11.5;11.3;0.2
120;Leeftijdsklasse 20 tot 25 jaar;2002 1e kwartaal*;4.0;4.0;;4.0;1.0;1.2;0.8;0.6;0.4;;1.37;12.0;12.0;
121;Leeftijdsklasse 20 tot 25 jaar;2002 2e kwartaal*;3.7;3.7;;3.7;0.8;1.1;0.7;0.6;0.4;;1.18;12.5;12.5;
122;Leeftijdsklasse 20 tot 25 jaar;2002 3e kwartaal*;3.4;3.4;;3.4;0.7;1.0;0.6;0.6;0.4;;1.05;13.6;13.6;
123;Leeftijdsklasse 20 tot 25 jaar;2002 4e kwartaal*;3.8;3.8;;3.8;1.0;1.1;0.7;0.6;0.4;;1.36;11.1;11.1;
124;Leeftijdsklasse 20 tot 25 jaar;2002 jaarcijfer*;3.7;3.7;;3.7;0.9;1.0;0.5;0.5;0.8;;1.24;12.2;12.2;
125;Leeftijdsklasse 20 tot 25 jaar;2003 1e kwartaal*;3.4;3.4;;3.4;1.1;1.0;0.6;0.4;0.3;;1.45;10.0;10.0;
126;Leeftijdsklasse 20 tot 25 jaar;2003 2e kwartaal*;3.1;3.1;;3.1;0.8;1.0;0.6;0.5;0.3;;1.15;10.9;10.9;
127;Leeftijdsklasse 20 tot 25 jaar;2003 3e kwartaal*;3.0;3.0;;3.0;0.7;0.9;0.5;0.5;0.3;;1.09;11.1;11.1;
128;Leeftijdsklasse 20 tot 25 jaar;2003 4e kwartaal*;3.7;3.7;;3.7;1.0;1.0;0.7;0.6;0.4;;1.41;9.6;9.6;
129;Leeftijdsklasse 20 tot 25 jaar;2003 jaarcijfer*;3.3;3.3;;3.3;0.9;0.8;0.4;0.4;0.8;;1.27;10.3;10.3;
130;Leeftijdsklasse 20 tot 25 jaar;2004 1e kwartaal*;2.7;2.7;;2.7;0.7;0.8;0.5;0.4;0.2;;0.97;11.3;11.3;
131;Leeftijdsklasse 20 tot 25 jaar;2004 2e kwartaal*;2.4;2.4;;2.4;0.6;0.8;0.6;0.3;0.2;;0.82;11.4;11.4;
132;Leeftijdsklasse 20 tot 25 jaar;2004 3e kwartaal*;2.1;2.1;;2.1;0.5;0.7;0.4;0.3;0.2;;0.7;12.2;12.2;
133;Leeftijdsklasse 20 tot 25 jaar;2004 4e kwartaal*;2.5;2.5;;2.5;0.7;0.8;0.5;0.3;0.2;;0.99;11.9;11.9;
134;Leeftijdsklasse 20 tot 25 jaar;2004 jaarcijfer*;2.5;2.5;;2.5;0.6;0.7;0.4;0.4;0.3;;0.87;11.7;11.7;
135;Leeftijdsklasse 20 tot 25 jaar;2005 1e kwartaal*;2.5;2.5;0.0;2.5;0.8;0.7;0.4;0.3;0.2;0.0;0.95;9.0;9.0;0.0
136;Leeftijdsklasse 20 tot 25 jaar;2005 2e kwartaal*;2.1;2.1;0.0;2.1;0.5;0.6;0.4;0.3;0.2;0.1;0.69;10.9;10.8;0.1
137;Leeftijdsklasse 20 tot 25 jaar;2005 3e kwartaal*;1.9;1.9;0.0;1.9;0.4;0.5;0.4;0.3;0.2;0.1;0.63;13.1;12.9;0.2
138;Leeftijdsklasse 20 tot 25 jaar;2005 4e kwartaal*;2.1;2.1;0.0;2.1;0.5;0.6;0.4;0.3;0.2;0.1;0.78;14.8;14.2;0.6
139;Leeftijdsklasse 20 tot 25 jaar;2005 jaarcijfer*;2.1;2.1;0.0;2.1;0.5;0.6;0.4;0.3;0.2;0.1;0.76;12.0;11.7;0.2
140;Leeftijdsklasse 25 tot 30 jaar;2002 1e kwartaal*;5.7;5.7;;5.7;1.3;1.6;1.1;1.0;0.6;;1.68;14.5;14.5;
141;Leeftijdsklasse 25 tot 30 jaar;2002 2e kwartaal*;5.1;5.1;;5.1;0.9;1.5;1.0;1.0;0.6;;1.36;15.4;15.4;
142;Leeftijdsklasse 25 tot 30 jaar;2002 3e kwartaal*;4.6;4.6;;4.6;0.8;1.3;0.9;0.9;0.6;;1.19;16.7;16.7;
143;Leeftijdsklasse 25 tot 30 jaar;2002 4e kwartaal*;5.2;5.2;;5.2;1.2;1.5;1.1;0.9;0.5;;1.62;13.0;13.0;
144;Leeftijdsklasse 25 tot 30 jaar;2002 jaarcijfer*;5.1;5.1;;5.1;1.0;1.2;0.8;0.9;1.2;;1.46;14.8;14.8;
145;Leeftijdsklasse 25 tot 30 jaar;2003 1e kwartaal*;4.6;4.6;;4.6;1.3;1.4;0.9;0.6;0.4;;1.76;11.6;11.6;
146;Leeftijdsklasse 25 tot 30 jaar;2003 2e kwartaal*;4.3;4.3;;4.3;0.9;1.3;0.9;0.8;0.4;;1.32;12.9;12.9;
147;Leeftijdsklasse 25 tot 30 jaar;2003 3e kwartaal*;4.1;4.1;;4.1;0.8;1.2;0.8;0.8;0.5;;1.24;13.1;13.1;
148;Leeftijdsklasse 25 tot 30 jaar;2003 4e kwartaal*;5.2;5.2;;5.2;1.2;1.4;1.0;0.9;0.6;;1.7;11.1;11.1;
149;Leeftijdsklasse 25 tot 30 jaar;2003 jaarcijfer*;4.5;4.5;;4.5;1.0;1.1;0.6;0.6;1.2;;1.5;12.1;12.1;
150;Leeftijdsklasse 25 tot 30 jaar;2004 1e kwartaal*;4.0;4.0;;4.0;1.0;1.1;0.8;0.6;0.4;;1.4;12.3;12.3;
151;Leeftijdsklasse 25 tot 30 jaar;2004 2e kwartaal*;3.5;3.5;;3.5;0.7;1.0;0.8;0.6;0.3;;1.1;12.9;12.9;
152;Leeftijdsklasse 25 tot 30 jaar;2004 3e kwartaal*;3.1;3.1;;3.1;0.6;0.9;0.7;0.5;0.3;;0.96;13.8;13.8;
153;Leeftijdsklasse 25 tot 30 jaar;2004 4e kwartaal*;3.6;3.6;;3.6;1.0;1.1;0.8;0.4;0.3;;1.36;13.2;13.2;
154;Leeftijdsklasse 25 tot 30 jaar;2004 jaarcijfer*;3.5;3.5;;3.5;0.8;1.0;0.7;0.6;0.5;;1.21;13.0;13.0;
155;Leeftijdsklasse 25 tot 30 jaar;2005 1e kwartaal*;3.9;3.8;0.0;3.9;1.1;1.1;0.7;0.5;0.4;0.1;1.44;10.0;9.9;0.0
156;Leeftijdsklasse 25 tot 30 jaar;2005 2e kwartaal*;3.1;3.1;0.0;3.1;0.7;0.9;0.7;0.5;0.3;0.1;0.96;12.3;12.2;0.1
157;Leeftijdsklasse 25 tot 30 jaar;2005 3e kwartaal*;2.9;2.9;0.0;2.9;0.6;0.8;0.6;0.5;0.3;0.2;0.87;14.7;14.4;0.3
158;Leeftijdsklasse 25 tot 30 jaar;2005 4e kwartaal*;3.3;3.2;0.0;3.3;0.8;0.9;0.7;0.4;0.3;0.2;1.11;17.3;16.4;1.0
159;Leeftijdsklasse 25 tot 30 jaar;2005 jaarcijfer*;3.3;3.3;0.0;3.3;0.8;0.8;0.6;0.5;0.4;0.2;1.09;13.6;13.2;0.3
160;Leeftijdsklasse 25 tot 35 jaar;2002 1e kwartaal*;6.0;6.0;;6.0;1.3;1.7;1.2;1.1;0.7;;1.69;15.5;15.5;
161;Leeftijdsklasse 25 tot 35 jaar;2002 2e kwartaal*;5.3;5.3;;5.3;0.9;1.5;1.1;1.1;0.7;;1.34;16.7;16.7;
162;Leeftijdsklasse 25 tot 35 jaar;2002 3e kwartaal*;4.8;4.8;;4.8;0.8;1.3;1.0;1.0;0.7;;1.16;18.1;18.1;
163;Leeftijdsklasse 25 tot 35 jaar;2002 4e kwartaal*;5.4;5.4;;5.4;1.2;1.6;1.1;0.9;0.6;;1.6;13.7;13.7;
164;Leeftijdsklasse 25 tot 35 jaar;2002 jaarcijfer*;5.4;5.4;;5.4;1.0;1.3;0.8;0.9;1.3;;1.45;15.8;15.8;
165;Leeftijdsklasse 25 tot 35 jaar;2003 1e kwartaal*;4.8;4.8;;4.8;1.3;1.5;0.9;0.6;0.4;;1.77;12.4;12.4;
166;Leeftijdsklasse 25 tot 35 jaar;2003 2e kwartaal*;4.5;4.5;;4.5;0.9;1.4;1.0;0.8;0.4;;1.3;13.8;13.8;
167;Leeftijdsklasse 25 tot 35 jaar;2003 3e kwartaal*;4.3;4.3;;4.3;0.8;1.2;0.9;0.9;0.5;;1.21;14.1;14.1;
168;Leeftijdsklasse 25 tot 35 jaar;2003 4e kwartaal*;5.5;5.5;;5.5;1.2;1.5;1.1;1.0;0.6;;1.7;11.7;11.7;
