ID;RegistrationInDonorregister;Regions;Periods;DonorregisterFixedChoice_1;DonorregisterFixedChoice_2
166;Total registered and non-registered;Zuidwest-Overijssel (CR);2018;135.0;100.0
167;Total registered and non-registered;Zuidwest-Overijssel (CR);2019;136.0;100.0
168;Total registered and non-registered;Twente (CR);2014;540.0;100.0
169;Total registered and non-registered;Twente (CR);2015;541.4;100.0
170;Total registered and non-registered;Twente (CR);2016;543.8;100.0
171;Total registered and non-registered;Twente (CR);2017;546.1;100.0
172;Total registered and non-registered;Twente (CR);2018;548.1;100.0
173;Total registered and non-registered;Twente (CR);2019;551.1;100.0
174;Total registered and non-registered;Veluwe (CR);2014;570.7;100.0
175;Total registered and non-registered;Veluwe (CR);2015;575.4;100.0
176;Total registered and non-registered;Veluwe (CR);2016;579.9;100.0
177;Total registered and non-registered;Veluwe (CR);2017;585.5;100.0
178;Total registered and non-registered;Veluwe (CR);2018;590.6;100.0
179;Total registered and non-registered;Veluwe (CR);2019;596.0;100.0
180;Total registered and non-registered;Achterhoek (CR);2014;349.3;100.0
181;Total registered and non-registered;Achterhoek (CR);2015;350.0;100.0
182;Total registered and non-registered;Achterhoek (CR);2016;351.8;100.0
183;Total registered and non-registered;Achterhoek (CR);2017;353.7;100.0
184;Total registered and non-registered;Achterhoek (CR);2018;355.0;100.0
185;Total registered and non-registered;Achterhoek (CR);2019;356.2;100.0
186;Total registered and non-registered;Arnhem/Nijmegen (CR);2014;627.9;100.0
187;Total registered and non-registered;Arnhem/Nijmegen (CR);2015;632.6;100.0
188;Total registered and non-registered;Arnhem/Nijmegen (CR);2016;637.2;100.0
189;Total registered and non-registered;Arnhem/Nijmegen (CR);2017;642.6;100.0
190;Total registered and non-registered;Arnhem/Nijmegen (CR);2018;647.7;100.0
191;Total registered and non-registered;Arnhem/Nijmegen (CR);2019;651.9;100.0
192;Total registered and non-registered;Zuidwest-Gelderland (CR);2014;202.8;100.0
193;Total registered and non-registered;Zuidwest-Gelderland (CR);2015;204.0;100.0
194;Total registered and non-registered;Zuidwest-Gelderland (CR);2016;205.5;100.0
195;Total registered and non-registered;Zuidwest-Gelderland (CR);2017;207.3;100.0
196;Total registered and non-registered;Zuidwest-Gelderland (CR);2018;208.9;100.0
197;Total registered and non-registered;Zuidwest-Gelderland (CR);2019;211.8;100.0
198;Total registered and non-registered;Utrecht (CR);2014;1070.7;100.0
199;Total registered and non-registered;Utrecht (CR);2015;1081.6;100.0
200;Total registered and non-registered;Utrecht (CR);2016;1092.6;100.0
201;Total registered and non-registered;Utrecht (CR);2017;1104.1;100.0
202;Total registered and non-registered;Utrecht (CR);2018;1115.1;100.0
203;Total registered and non-registered;Utrecht (CR);2019;1127.2;100.0
204;Total registered and non-registered;Kop van Noord-Holland (CR);2014;322.1;100.0
205;Total registered and non-registered;Kop van Noord-Holland (CR);2015;323.5;100.0
206;Total registered and non-registered;Kop van Noord-Holland (CR);2016;324.8;100.0
207;Total registered and non-registered;Kop van Noord-Holland (CR);2017;326.3;100.0
208;Total registered and non-registered;Kop van Noord-Holland (CR);2018;327.9;100.0
209;Total registered and non-registered;Kop van Noord-Holland (CR);2019;329.6;100.0
210;Total registered and non-registered;Alkmaar en omgeving (CR);2014;207.8;100.0
211;Total registered and non-registered;Alkmaar en omgeving (CR);2015;209.0;100.0
212;Total registered and non-registered;Alkmaar en omgeving (CR);2016;210.5;100.0
213;Total registered and non-registered;Alkmaar en omgeving (CR);2017;212.8;100.0
214;Total registered and non-registered;Alkmaar en omgeving (CR);2018;214.6;100.0
215;Total registered and non-registered;Alkmaar en omgeving (CR);2019;216.2;100.0
216;Total registered and non-registered;IJmond (CR);2014;169.5;100.0
217;Total registered and non-registered;IJmond (CR);2015;170.1;100.0
218;Total registered and non-registered;IJmond (CR);2016;171.2;100.0
219;Total registered and non-registered;IJmond (CR);2017;172.3;100.0
220;Total registered and non-registered;IJmond (CR);2018;173.3;100.0
221;Total registered and non-registered;IJmond (CR);2019;174.2;100.0
222;Total registered and non-registered;Agglomeratie Haarlem (CR);2014;195.2;100.0
223;Total registered and non-registered;Agglomeratie Haarlem (CR);2015;196.8;100.0
224;Total registered and non-registered;Agglomeratie Haarlem (CR);2016;198.6;100.0
225;Total registered and non-registered;Agglomeratie Haarlem (CR);2017;200.3;100.0
226;Total registered and non-registered;Agglomeratie Haarlem (CR);2018;201.5;100.0
227;Total registered and non-registered;Agglomeratie Haarlem (CR);2019;203.4;100.0
228;Total registered and non-registered;Zaanstreek (CR);2014;143.9;100.0
229;Total registered and non-registered;Zaanstreek (CR);2015;144.8;100.0
230;Total registered and non-registered;Zaanstreek (CR);2016;145.9;100.0
231;Total registered and non-registered;Zaanstreek (CR);2017;147.1;100.0
232;Total registered and non-registered;Zaanstreek (CR);2018;148.4;100.0
233;Total registered and non-registered;Zaanstreek (CR);2019;149.6;100.0
234;Total registered and non-registered;Groot-Amsterdam (CR);2014;1125.9;100.0
235;Total registered and non-registered;Groot-Amsterdam (CR);2015;1141.3;100.0
236;Total registered and non-registered;Groot-Amsterdam (CR);2016;1156.0;100.0
237;Total registered and non-registered;Groot-Amsterdam (CR);2017;1171.0;100.0
238;Total registered and non-registered;Groot-Amsterdam (CR);2018;1187.0;100.0
239;Total registered and non-registered;Groot-Amsterdam (CR);2019;1200.6;100.0
240;Total registered and non-registered;Het Gooi en Vechtstreek (CR);2014;211.8;100.0
241;Total registered and non-registered;Het Gooi en Vechtstreek (CR);2015;213.2;100.0
242;Total registered and non-registered;Het Gooi en Vechtstreek (CR);2016;215.0;100.0
243;Total registered and non-registered;Het Gooi en Vechtstreek (CR);2017;217.4;100.0
244;Total registered and non-registered;Het Gooi en Vechtstreek (CR);2018;219.4;100.0
245;Total registered and non-registered;Het Gooi en Vechtstreek (CR);2019;221.1;100.0
246;Total registered and non-registered;Agglomeratie Leiden en Bollenstreek (CR);2014;359.1;100.0
247;Total registered and non-registered;Agglomeratie Leiden en Bollenstreek (CR);2015;361.5;100.0
248;Total registered and non-registered;Agglomeratie Leiden en Bollenstreek (CR);2016;364.8;100.0
249;Total registered and non-registered;Agglomeratie Leiden en Bollenstreek (CR);2017;368.3;100.0
250;Total registered and non-registered;Agglomeratie Leiden en Bollenstreek (CR);2018;371.7;100.0
251;Total registered and non-registered;Agglomeratie Leiden en Bollenstreek (CR);2019;374.4;100.0
252;Total registered and non-registered;Agglomeratie 's-Gravenhage (CR);2014;712.2;100.0
253;Total registered and non-registered;Agglomeratie 's-Gravenhage (CR);2015;719.1;100.0
254;Total registered and non-registered;Agglomeratie 's-Gravenhage (CR);2016;726.1;100.0
255;Total registered and non-registered;Agglomeratie 's-Gravenhage (CR);2017;734.0;100.0
256;Total registered and non-registered;Agglomeratie 's-Gravenhage (CR);2018;743.2;100.0
257;Total registered and non-registered;Agglomeratie 's-Gravenhage (CR);2019;751.3;100.0
258;Total registered and non-registered;Delft en Westland (CR);2014;195.0;100.0
259;Total registered and non-registered;Delft en Westland (CR);2015;197.5;100.0
260;Total registered and non-registered;Delft en Westland (CR);2016;198.2;100.0
261;Total registered and non-registered;Delft en Westland (CR);2017;199.2;100.0
262;Total registered and non-registered;Delft en Westland (CR);2018;202.1;100.0
263;Total registered and non-registered;Delft en Westland (CR);2019;204.0;100.0
264;Total registered and non-registered;Oost-Zuid-Holland (CR);2014;272.8;100.0
265;Total registered and non-registered;Oost-Zuid-Holland (CR);2015;274.7;100.0
266;Total registered and non-registered;Oost-Zuid-Holland (CR);2016;277.2;100.0
267;Total registered and non-registered;Oost-Zuid-Holland (CR);2017;280.6;100.0
268;Total registered and non-registered;Oost-Zuid-Holland (CR);2018;284.2;100.0
269;Total registered and non-registered;Oost-Zuid-Holland (CR);2019;287.8;100.0
270;Total registered and non-registered;Groot-Rijnmond (CR);2014;1207.3;100.0
271;Total registered and non-registered;Groot-Rijnmond (CR);2015;1215.4;100.0
272;Total registered and non-registered;Groot-Rijnmond (CR);2016;1222.9;100.0
273;Total registered and non-registered;Groot-Rijnmond (CR);2017;1232.2;100.0
274;Total registered and non-registered;Groot-Rijnmond (CR);2018;1241.6;100.0
275;Total registered and non-registered;Groot-Rijnmond (CR);2019;1251.5;100.0
276;Total registered and non-registered;Zuidoost-Zuid-Holland (CR);2014;342.3;100.0
277;Total registered and non-registered;Zuidoost-Zuid-Holland (CR);2015;343.7;100.0
278;Total registered and non-registered;Zuidoost-Zuid-Holland (CR);2016;344.9;100.0
279;Total registered and non-registered;Zuidoost-Zuid-Holland (CR);2017;346.8;100.0
280;Total registered and non-registered;Zuidoost-Zuid-Holland (CR);2018;348.4;100.0
281;Total registered and non-registered;Zuidoost-Zuid-Holland (CR);2019;350.1;100.0
282;Total registered and non-registered;Zeeuwsch-Vlaanderen (CR);2014;94.0;100.0
283;Total registered and non-registered;Zeeuwsch-Vlaanderen (CR);2015;94.0;100.0
284;Total registered and non-registered;Zeeuwsch-Vlaanderen (CR);2016;94.1;100.0
285;Total registered and non-registered;Zeeuwsch-Vlaanderen (CR);2017;94.3;100.0
286;Total registered and non-registered;Zeeuwsch-Vlaanderen (CR);2018;94.2;100.0
287;Total registered and non-registered;Zeeuwsch-Vlaanderen (CR);2019;94.4;100.0
288;Total registered and non-registered;Overig Zeeland (CR);2014;238.7;100.0
289;Total registered and non-registered;Overig Zeeland (CR);2015;239.5;100.0
290;Total registered and non-registered;Overig Zeeland (CR);2016;240.4;100.0
291;Total registered and non-registered;Overig Zeeland (CR);2017;241.0;100.0
292;Total registered and non-registered;Overig Zeeland (CR);2018;242.1;100.0
293;Total registered and non-registered;Overig Zeeland (CR);2019;242.9;100.0
294;Total registered and non-registered;West-Noord-Brabant (CR);2014;544.0;100.0
295;Total registered and non-registered;West-Noord-Brabant (CR);2015;546.9;100.0
296;Total registered and non-registered;West-Noord-Brabant (CR);2016;549.1;100.0
297;Total registered and non-registered;West-Noord-Brabant (CR);2017;552.0;100.0
298;Total registered and non-registered;West-Noord-Brabant (CR);2018;555.8;100.0
299;Total registered and non-registered;West-Noord-Brabant (CR);2019;558.9;100.0
300;Total registered and non-registered;Midden-Noord-Brabant (CR);2014;405.4;100.0
301;Total registered and non-registered;Midden-Noord-Brabant (CR);2015;407.6;100.0
302;Total registered and non-registered;Midden-Noord-Brabant (CR);2016;410.6;100.0
303;Total registered and non-registered;Midden-Noord-Brabant (CR);2017;413.4;100.0
304;Total registered and non-registered;Midden-Noord-Brabant (CR);2018;416.9;100.0
305;Total registered and non-registered;Midden-Noord-Brabant (CR);2019;420.7;100.0
306;Total registered and non-registered;Noordoost-Noord-Brabant (CR);2014;559.4;100.0
307;Total registered and non-registered;Noordoost-Noord-Brabant (CR);2015;562.7;100.0
308;Total registered and non-registered;Noordoost-Noord-Brabant (CR);2016;566.0;100.0
309;Total registered and non-registered;Noordoost-Noord-Brabant (CR);2017;570.3;100.0
310;Total registered and non-registered;Noordoost-Noord-Brabant (CR);2018;574.4;100.0
311;Total registered and non-registered;Noordoost-Noord-Brabant (CR);2019;578.9;100.0
312;Total registered and non-registered;Zuidoost-Noord-Brabant (CR);2014;653.2;100.0
313;Total registered and non-registered;Zuidoost-Noord-Brabant (CR);2015;658.3;100.0
314;Total registered and non-registered;Zuidoost-Noord-Brabant (CR);2016;663.6;100.0
315;Total registered and non-registered;Zuidoost-Noord-Brabant (CR);2017;669.2;100.0
316;Total registered and non-registered;Zuidoost-Noord-Brabant (CR);2018;674.8;100.0
317;Total registered and non-registered;Zuidoost-Noord-Brabant (CR);2019;681.3;100.0
318;Total registered and non-registered;Noord-Limburg (CR);2014;246.1;100.0
319;Total registered and non-registered;Noord-Limburg (CR);2015;247.0;100.0
320;Total registered and non-registered;Noord-Limburg (CR);2016;247.3;100.0
321;Total registered and non-registered;Noord-Limburg (CR);2017;249.2;100.0
322;Total registered and non-registered;Noord-Limburg (CR);2018;249.6;100.0
323;Total registered and non-registered;Noord-Limburg (CR);2019;250.5;100.0
324;Total registered and non-registered;Midden-Limburg (CR);2014;209.0;100.0
325;Total registered and non-registered;Midden-Limburg (CR);2015;209.6;100.0
326;Total registered and non-registered;Midden-Limburg (CR);2016;210.0;100.0
327;Total registered and non-registered;Midden-Limburg (CR);2017;210.8;100.0
328;Total registered and non-registered;Midden-Limburg (CR);2018;211.6;100.0
329;Total registered and non-registered;Midden-Limburg (CR);2019;211.9;100.0
330;Total registered and non-registered;Zuid-Limburg (CR);2014;544.3;100.0
331;Total registered and non-registered;Zuid-Limburg (CR);2015;543.1;100.0
332;Total registered and non-registered;Zuid-Limburg (CR);2016;542.8;100.0
333;Total registered and non-registered;Zuid-Limburg (CR);2017;542.5;100.0
334;Total registered and non-registered;Zuid-Limburg (CR);2018;541.8;100.0
335;Total registered and non-registered;Zuid-Limburg (CR);2019;540.4;100.0
336;Total registered and non-registered;Flevoland (CR);2014;335.4;100.0
337;Total registered and non-registered;Flevoland (CR);2015;338.2;100.0
338;Total registered and non-registered;Flevoland (CR);2016;341.3;100.0
339;Total registered and non-registered;Flevoland (CR);2017;345.4;100.0
340;Total registered and non-registered;Flevoland (CR);2018;349.4;100.0
341;Total registered and non-registered;Flevoland (CR);2019;354.3;100.0
342;Total registered and non-registered;Aa en Hunze;2014;22.4;100.0
343;Total registered and non-registered;Aa en Hunze;2015;22.4;100.0
344;Total registered and non-registered;Aa en Hunze;2016;22.5;100.0
345;Total registered and non-registered;Aa en Hunze;2017;22.6;100.0
346;Total registered and non-registered;Aa en Hunze;2018;22.8;100.0
347;Total registered and non-registered;Aa en Hunze;2019;22.8;100.0
348;Total registered and non-registered;Aalburg;2014;10.8;100.0
349;Total registered and non-registered;Aalburg;2015;10.9;100.0
350;Total registered and non-registered;Aalburg;2016;11.0;100.0
351;Total registered and non-registered;Aalburg;2017;11.1;100.0
352;Total registered and non-registered;Aalburg;2018;11.2;100.0
353;Total registered and non-registered;Aalburg;2019;11.3;100.0
354;Total registered and non-registered;Aalsmeer;2014;25.9;100.0
355;Total registered and non-registered;Aalsmeer;2015;26.3;100.0
356;Total registered and non-registered;Aalsmeer;2016;26.6;100.0
357;Total registered and non-registered;Aalsmeer;2017;26.8;100.0
358;Total registered and non-registered;Aalsmeer;2018;27.0;100.0
359;Total registered and non-registered;Aalsmeer;2019;27.3;100.0
360;Total registered and non-registered;Aalten;2014;23.3;100.0
361;Total registered and non-registered;Aalten;2015;23.3;100.0
362;Total registered and non-registered;Aalten;2016;23.4;100.0
363;Total registered and non-registered;Aalten;2017;23.6;100.0
364;Total registered and non-registered;Aalten;2018;23.6;100.0
365;Total registered and non-registered;Aalten;2019;23.7;100.0
366;Total registered and non-registered;Achtkarspelen;2014;23.8;100.0
367;Total registered and non-registered;Achtkarspelen;2015;23.8;100.0
368;Total registered and non-registered;Achtkarspelen;2016;23.9;100.0
369;Total registered and non-registered;Achtkarspelen;2017;23.9;100.0
370;Total registered and non-registered;Achtkarspelen;2018;24.0;100.0
371;Total registered and non-registered;Achtkarspelen;2019;24.0;100.0
372;Total registered and non-registered;Alblasserdam;2014;16.6;100.0
373;Total registered and non-registered;Alblasserdam;2015;16.7;100.0
374;Total registered and non-registered;Alblasserdam;2016;16.8;100.0
375;Total registered and non-registered;Alblasserdam;2017;16.9;100.0
376;Total registered and non-registered;Alblasserdam;2018;16.9;100.0
377;Total registered and non-registered;Alblasserdam;2019;16.9;100.0
378;Total registered and non-registered;Albrandswaard;2014;21.2;100.0
379;Total registered and non-registered;Albrandswaard;2015;21.3;100.0
380;Total registered and non-registered;Albrandswaard;2016;21.3;100.0
381;Total registered and non-registered;Albrandswaard;2017;21.4;100.0
382;Total registered and non-registered;Albrandswaard;2018;21.6;100.0
383;Total registered and non-registered;Albrandswaard;2019;21.7;100.0
384;Total registered and non-registered;Alkmaar;2014;92.9;100.0
385;Total registered and non-registered;Alkmaar;2015;93.2;100.0
386;Total registered and non-registered;Alkmaar;2016;93.8;100.0
387;Total registered and non-registered;Alkmaar;2017;94.7;100.0
388;Total registered and non-registered;Alkmaar;2018;94.9;100.0
389;Total registered and non-registered;Alkmaar;2019;95.1;100.0
390;Total registered and non-registered;Almelo;2014;62.3;100.0
391;Total registered and non-registered;Almelo;2015;62.4;100.0
