ID;Onderwijsvolgend;Arbeidskenmerken;Uitkering;GeregistreerdWerkzoekendeBijUWV;RegioS;Perioden;Jongeren15Tot27Jaar_1
101;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2010;91600.0
102;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2011;91500.0
103;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2012;91100.0
104;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2013;90700.0
105;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2014;91100.0
106;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2015;91400.0
107;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2016;92400.0
108;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2017;92800.0
109;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2018;93100.0
110;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2019;93800.0
111;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Fryslân (PV);2020;93700.0
112;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2005;60400.0
113;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2006;60400.0
114;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2007;60500.0
115;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2008;60200.0
116;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2009;60500.0
117;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2010;60800.0
118;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2011;60800.0
119;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2012;60600.0
120;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2013;60200.0
121;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2014;60300.0
122;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2015;60800.0
123;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2016;61900.0
124;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2017;62500.0
125;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2018;63200.0
126;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2019;63800.0
127;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Drenthe (PV);2020;64200.0
128;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2005;167000.0
129;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2006;166700.0
130;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2007;166500.0
131;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2008;166900.0
132;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2009;167700.0
133;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2010;168700.0
134;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2011;168700.0
135;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2012;168100.0
136;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2013;167200.0
137;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2014;167000.0
138;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2015;169000.0
139;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2016;171500.0
140;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2017;173200.0
141;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2018;175500.0
142;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2019;178300.0
143;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Overijssel (PV);2020;179400.0
144;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2005;58700.0
145;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2006;59600.0
146;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2007;59900.0
147;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2008;60900.0
148;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2009;61900.0
149;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2010;62100.0
150;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2011;62300.0
151;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2012;62500.0
152;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2013;62300.0
153;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2014;62300.0
154;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2015;62500.0
155;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2016;63300.0
156;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2017;63600.0
157;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2018;64100.0
158;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2019;64600.0
159;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Flevoland (PV);2020;64700.0
160;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2005;281000.0
161;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2006;281700.0
162;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2007;282700.0
163;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2008;284100.0
164;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2009;287200.0
165;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2010;290000.0
166;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2011;292100.0
167;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2012;294600.0
168;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2013;295700.0
169;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2014;297800.0
170;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2015;301700.0
171;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2016;306900.0
172;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2017;309800.0
173;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2018;312700.0
174;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2019;313600.0
175;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Gelderland (PV);2020;313100.0
176;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2005;184900.0
177;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2006;188000.0
178;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2007;190700.0
179;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2008;192300.0
180;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2009;194000.0
181;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2010;194900.0
182;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2011;195700.0
183;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2012;197000.0
184;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2013;197700.0
185;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2014;199800.0
186;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2015;201900.0
187;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2016;204000.0
188;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2017;206100.0
189;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2018;207300.0
190;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2019;208800.0
191;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Utrecht (PV);2020;208200.0
192;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2005;356600.0
193;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2006;361200.0
194;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2007;366800.0
195;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2008;373400.0
196;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2009;379200.0
197;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2010;386000.0
198;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2011;390100.0
199;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2012;393700.0
200;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2013;397100.0
201;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2014;400700.0
202;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2015;406300.0
203;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2016;412400.0
204;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2017;415300.0
205;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2018;417600.0
206;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2019;420200.0
207;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Holland (PV);2020;418800.0
208;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2005;513600.0
209;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2006;515900.0
210;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2007;516800.0
211;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2008;520400.0
212;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2009;526800.0
213;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2010;532100.0
214;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2011;535700.0
215;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2012;537000.0
216;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2013;536600.0
217;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2014;539800.0
218;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2015;544400.0
219;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2016;550100.0
220;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2017;553800.0
221;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2018;556900.0
222;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2019;561500.0
223;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zuid-Holland (PV);2020;560600.0
224;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2005;48800.0
225;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2006;49000.0
226;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2007;49000.0
227;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2008;49000.0
228;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2009;49000.0
229;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2010;49200.0
230;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2011;49200.0
231;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2012;49100.0
232;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2013;49200.0
233;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2014;49200.0
234;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2015;49800.0
235;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2016;50200.0
236;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2017;50200.0
237;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2018;50300.0
238;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2019;50100.0
239;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Zeeland (PV);2020;50200.0
240;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2005;339200.0
241;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2006;340500.0
242;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2007;341900.0
243;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2008;343700.0
244;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2009;347200.0
245;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2010;350900.0
246;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2011;352800.0
247;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2012;354900.0
248;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2013;356900.0
249;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2014;358900.0
250;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2015;362000.0
251;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2016;366700.0
252;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2017;370400.0
253;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2018;373400.0
254;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2019;375200.0
255;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Noord-Brabant (PV);2020;374600.0
256;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2005;150500.0
257;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2006;150400.0
258;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2007;150200.0
259;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2008;151100.0
260;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2009;152800.0
261;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2010;153800.0
262;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2011;155800.0
263;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2012;156200.0
264;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2013;156300.0
265;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2014;155700.0
266;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2015;155400.0
267;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2016;156300.0
268;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2017;156000.0
269;Totaal ;Totaal ;Totaal met of zonder uitkering;Totaal;Limburg (PV);2018;154600.0
