ID;Vervoerstromen;Goederensoort;Perioden;BrutoplusgewichtOvergeslagenGoederen_1
36;Totaal aan- en afvoer;04 Voedings- en genotmiddelen;2015;38741.0
37;Totaal aan- en afvoer;04 Voedings- en genotmiddelen;2016;36484.0
38;Totaal aan- en afvoer;04 Voedings- en genotmiddelen;2017;39730.0
39;Totaal aan- en afvoer;04 Voedings- en genotmiddelen;2018;40946.0
40;Totaal aan- en afvoer;04 Voedings- en genotmiddelen;2019;41685.0
41;Totaal aan- en afvoer;04 Voedings- en genotmiddelen;2020;40779.0
42;Totaal aan- en afvoer;04 Voedings- en genotmiddelen;2021;42179.0
43;Totaal aan- en afvoer;04 Voedings- en genotmiddelen;2022;40231.0
44;Totaal aan- en afvoer;04 Voedings- en genotmiddelen;2023;38000.0
45;Totaal aan- en afvoer;"05 Textiel en textielproducten; leder...";2015;3736.0
46;Totaal aan- en afvoer;"05 Textiel en textielproducten; leder...";2016;3855.0
47;Totaal aan- en afvoer;"05 Textiel en textielproducten; leder...";2017;4157.0
48;Totaal aan- en afvoer;"05 Textiel en textielproducten; leder...";2018;4614.0
49;Totaal aan- en afvoer;"05 Textiel en textielproducten; leder...";2019;4529.0
50;Totaal aan- en afvoer;"05 Textiel en textielproducten; leder...";2020;4282.0
51;Totaal aan- en afvoer;"05 Textiel en textielproducten; leder...";2021;4687.0
52;Totaal aan- en afvoer;"05 Textiel en textielproducten; leder...";2022;4757.0
53;Totaal aan- en afvoer;"05 Textiel en textielproducten; leder...";2023;4273.0
54;Totaal aan- en afvoer;06 Hout, hout- en kurkwaren (m.u.v. m...;2015;18366.0
55;Totaal aan- en afvoer;06 Hout, hout- en kurkwaren (m.u.v. m...;2016;18572.0
56;Totaal aan- en afvoer;06 Hout, hout- en kurkwaren (m.u.v. m...;2017;21911.0
57;Totaal aan- en afvoer;06 Hout, hout- en kurkwaren (m.u.v. m...;2018;20887.0
58;Totaal aan- en afvoer;06 Hout, hout- en kurkwaren (m.u.v. m...;2019;22206.0
59;Totaal aan- en afvoer;06 Hout, hout- en kurkwaren (m.u.v. m...;2020;21671.0
60;Totaal aan- en afvoer;06 Hout, hout- en kurkwaren (m.u.v. m...;2021;19849.0
61;Totaal aan- en afvoer;06 Hout, hout- en kurkwaren (m.u.v. m...;2022;15778.0
62;Totaal aan- en afvoer;06 Hout, hout- en kurkwaren (m.u.v. m...;2023;14139.0
63;Totaal aan- en afvoer;07 Cokes en geraffineerde aardoliepro...;2015;141709.0
64;Totaal aan- en afvoer;07 Cokes en geraffineerde aardoliepro...;2016;142932.0
65;Totaal aan- en afvoer;07 Cokes en geraffineerde aardoliepro...;2017;119718.0
66;Totaal aan- en afvoer;07 Cokes en geraffineerde aardoliepro...;2018;121212.0
67;Totaal aan- en afvoer;07 Cokes en geraffineerde aardoliepro...;2019;119850.0
68;Totaal aan- en afvoer;07 Cokes en geraffineerde aardoliepro...;2020;104662.0
69;Totaal aan- en afvoer;07 Cokes en geraffineerde aardoliepro...;2021;104922.0
70;Totaal aan- en afvoer;07 Cokes en geraffineerde aardoliepro...;2022;105807.0
71;Totaal aan- en afvoer;07 Cokes en geraffineerde aardoliepro...;2023;97384.0
72;Totaal aan- en afvoer;08 Chemische producten en synthetisch...;2015;52073.0
73;Totaal aan- en afvoer;08 Chemische producten en synthetisch...;2016;54246.0
74;Totaal aan- en afvoer;08 Chemische producten en synthetisch...;2017;73133.0
75;Totaal aan- en afvoer;08 Chemische producten en synthetisch...;2018;73450.0
76;Totaal aan- en afvoer;08 Chemische producten en synthetisch...;2019;71348.0
77;Totaal aan- en afvoer;08 Chemische producten en synthetisch...;2020;69744.0
78;Totaal aan- en afvoer;08 Chemische producten en synthetisch...;2021;74477.0
79;Totaal aan- en afvoer;08 Chemische producten en synthetisch...;2022;68917.0
80;Totaal aan- en afvoer;08 Chemische producten en synthetisch...;2023;65514.0
81;Totaal aan- en afvoer;09 Overige niet-metaalhoudende minera...;2015;4172.0
82;Totaal aan- en afvoer;09 Overige niet-metaalhoudende minera...;2016;4166.0
83;Totaal aan- en afvoer;09 Overige niet-metaalhoudende minera...;2017;4882.0
84;Totaal aan- en afvoer;09 Overige niet-metaalhoudende minera...;2018;5380.0
85;Totaal aan- en afvoer;09 Overige niet-metaalhoudende minera...;2019;5721.0
86;Totaal aan- en afvoer;09 Overige niet-metaalhoudende minera...;2020;5932.0
87;Totaal aan- en afvoer;09 Overige niet-metaalhoudende minera...;2021;6706.0
88;Totaal aan- en afvoer;09 Overige niet-metaalhoudende minera...;2022;6356.0
89;Totaal aan- en afvoer;09 Overige niet-metaalhoudende minera...;2023;5358.0
90;Totaal aan- en afvoer;"10 Metalen in primaire vorm; producte...";2015;22951.0
91;Totaal aan- en afvoer;"10 Metalen in primaire vorm; producte...";2016;21841.0
92;Totaal aan- en afvoer;"10 Metalen in primaire vorm; producte...";2017;23534.0
93;Totaal aan- en afvoer;"10 Metalen in primaire vorm; producte...";2018;25779.0
94;Totaal aan- en afvoer;"10 Metalen in primaire vorm; producte...";2019;24405.0
95;Totaal aan- en afvoer;"10 Metalen in primaire vorm; producte...";2020;22373.0
96;Totaal aan- en afvoer;"10 Metalen in primaire vorm; producte...";2021;22865.0
97;Totaal aan- en afvoer;"10 Metalen in primaire vorm; producte...";2022;22659.0
98;Totaal aan- en afvoer;"10 Metalen in primaire vorm; producte...";2023;21438.0
99;Totaal aan- en afvoer;11 Machines, apparaten en werktuigen,...;2015;9954.0
100;Totaal aan- en afvoer;11 Machines, apparaten en werktuigen,...;2016;9969.0
101;Totaal aan- en afvoer;11 Machines, apparaten en werktuigen,...;2017;11073.0
102;Totaal aan- en afvoer;11 Machines, apparaten en werktuigen,...;2018;12238.0
103;Totaal aan- en afvoer;11 Machines, apparaten en werktuigen,...;2019;12678.0
104;Totaal aan- en afvoer;11 Machines, apparaten en werktuigen,...;2020;12901.0
105;Totaal aan- en afvoer;11 Machines, apparaten en werktuigen,...;2021;14325.0
106;Totaal aan- en afvoer;11 Machines, apparaten en werktuigen,...;2022;15677.0
107;Totaal aan- en afvoer;11 Machines, apparaten en werktuigen,...;2023;14434.0
108;Totaal aan- en afvoer;12 Transportmiddelen;2015;4499.0
109;Totaal aan- en afvoer;12 Transportmiddelen;2016;4848.0
110;Totaal aan- en afvoer;12 Transportmiddelen;2017;5331.0
111;Totaal aan- en afvoer;12 Transportmiddelen;2018;5269.0
112;Totaal aan- en afvoer;12 Transportmiddelen;2019;5618.0
113;Totaal aan- en afvoer;12 Transportmiddelen;2020;4373.0
114;Totaal aan- en afvoer;12 Transportmiddelen;2021;4963.0
115;Totaal aan- en afvoer;12 Transportmiddelen;2022;5057.0
116;Totaal aan- en afvoer;12 Transportmiddelen;2023;5305.0
117;Totaal aan- en afvoer;"13 Meubelen; overige industrieproduct...";2015;2622.0
118;Totaal aan- en afvoer;"13 Meubelen; overige industrieproduct...";2016;2764.0
119;Totaal aan- en afvoer;"13 Meubelen; overige industrieproduct...";2017;2982.0
120;Totaal aan- en afvoer;"13 Meubelen; overige industrieproduct...";2018;3166.0
121;Totaal aan- en afvoer;"13 Meubelen; overige industrieproduct...";2019;3257.0
122;Totaal aan- en afvoer;"13 Meubelen; overige industrieproduct...";2020;3227.0
123;Totaal aan- en afvoer;"13 Meubelen; overige industrieproduct...";2021;4069.0
124;Totaal aan- en afvoer;"13 Meubelen; overige industrieproduct...";2022;3542.0
125;Totaal aan- en afvoer;"13 Meubelen; overige industrieproduct...";2023;2918.0
126;Totaal aan- en afvoer;"14 Secundaire grondstoffen; gemeentel...";2015;9951.0
127;Totaal aan- en afvoer;"14 Secundaire grondstoffen; gemeentel...";2016;10683.0
128;Totaal aan- en afvoer;"14 Secundaire grondstoffen; gemeentel...";2017;11396.0
129;Totaal aan- en afvoer;"14 Secundaire grondstoffen; gemeentel...";2018;11465.0
130;Totaal aan- en afvoer;"14 Secundaire grondstoffen; gemeentel...";2019;11952.0
131;Totaal aan- en afvoer;"14 Secundaire grondstoffen; gemeentel...";2020;13816.0
132;Totaal aan- en afvoer;"14 Secundaire grondstoffen; gemeentel...";2021;14377.0
133;Totaal aan- en afvoer;"14 Secundaire grondstoffen; gemeentel...";2022;13063.0
134;Totaal aan- en afvoer;"14 Secundaire grondstoffen; gemeentel...";2023;14383.0
135;Totaal aan- en afvoer;15 Brieven, pakketten;2015;22.0
136;Totaal aan- en afvoer;15 Brieven, pakketten;2016;17.0
137;Totaal aan- en afvoer;15 Brieven, pakketten;2017;59.0
138;Totaal aan- en afvoer;15 Brieven, pakketten;2018;14.0
139;Totaal aan- en afvoer;15 Brieven, pakketten;2019;22.0
140;Totaal aan- en afvoer;15 Brieven, pakketten;2020;14.0
141;Totaal aan- en afvoer;15 Brieven, pakketten;2021;14.0
142;Totaal aan- en afvoer;15 Brieven, pakketten;2022;9.0
143;Totaal aan- en afvoer;15 Brieven, pakketten;2023;7.0
144;Totaal aan- en afvoer;16 Uitrusting en materiaal voor het v...;2015;4219.0
145;Totaal aan- en afvoer;16 Uitrusting en materiaal voor het v...;2016;4260.0
146;Totaal aan- en afvoer;16 Uitrusting en materiaal voor het v...;2017;4589.0
147;Totaal aan- en afvoer;16 Uitrusting en materiaal voor het v...;2018;4639.0
148;Totaal aan- en afvoer;16 Uitrusting en materiaal voor het v...;2019;4830.0
149;Totaal aan- en afvoer;16 Uitrusting en materiaal voor het v...;2020;4635.0
150;Totaal aan- en afvoer;16 Uitrusting en materiaal voor het v...;2021;5331.0
151;Totaal aan- en afvoer;16 Uitrusting en materiaal voor het v...;2022;5300.0
152;Totaal aan- en afvoer;16 Uitrusting en materiaal voor het v...;2023;4844.0
153;Totaal aan- en afvoer;17 Vervoerde goederen in het kader va...;2015;39.0
154;Totaal aan- en afvoer;17 Vervoerde goederen in het kader va...;2016;42.0
155;Totaal aan- en afvoer;17 Vervoerde goederen in het kader va...;2017;38.0
156;Totaal aan- en afvoer;17 Vervoerde goederen in het kader va...;2018;46.0
157;Totaal aan- en afvoer;17 Vervoerde goederen in het kader va...;2019;40.0
158;Totaal aan- en afvoer;17 Vervoerde goederen in het kader va...;2020;32.0
159;Totaal aan- en afvoer;17 Vervoerde goederen in het kader va...;2021;31.0
160;Totaal aan- en afvoer;17 Vervoerde goederen in het kader va...;2022;33.0
161;Totaal aan- en afvoer;17 Vervoerde goederen in het kader va...;2023;32.0
162;Totaal aan- en afvoer;18 Gegroepeerde goederen: diverse soo...;2015;
163;Totaal aan- en afvoer;18 Gegroepeerde goederen: diverse soo...;2016;
164;Totaal aan- en afvoer;18 Gegroepeerde goederen: diverse soo...;2017;
165;Totaal aan- en afvoer;18 Gegroepeerde goederen: diverse soo...;2018;
166;Totaal aan- en afvoer;18 Gegroepeerde goederen: diverse soo...;2019;
167;Totaal aan- en afvoer;18 Gegroepeerde goederen: diverse soo...;2020;
168;Totaal aan- en afvoer;18 Gegroepeerde goederen: diverse soo...;2021;
169;Totaal aan- en afvoer;18 Gegroepeerde goederen: diverse soo...;2022;
170;Totaal aan- en afvoer;18 Gegroepeerde goederen: diverse soo...;2023;
171;Totaal aan- en afvoer;19 Niet identificeerbare goederen: go...;2015;57576.0
172;Totaal aan- en afvoer;19 Niet identificeerbare goederen: go...;2016;60192.0
173;Totaal aan- en afvoer;19 Niet identificeerbare goederen: go...;2017;62452.0
174;Totaal aan- en afvoer;19 Niet identificeerbare goederen: go...;2018;60057.0
175;Totaal aan- en afvoer;19 Niet identificeerbare goederen: go...;2019;61561.0
176;Totaal aan- en afvoer;19 Niet identificeerbare goederen: go...;2020;59038.0
177;Totaal aan- en afvoer;19 Niet identificeerbare goederen: go...;2021;57205.0
178;Totaal aan- en afvoer;19 Niet identificeerbare goederen: go...;2022;61616.0
179;Totaal aan- en afvoer;19 Niet identificeerbare goederen: go...;2023;53477.0
180;Totaal aan- en afvoer;20 Overige goederen, n.e.g.;2015;109.0
181;Totaal aan- en afvoer;20 Overige goederen, n.e.g.;2016;115.0
182;Totaal aan- en afvoer;20 Overige goederen, n.e.g.;2017;114.0
183;Totaal aan- en afvoer;20 Overige goederen, n.e.g.;2018;125.0
184;Totaal aan- en afvoer;20 Overige goederen, n.e.g.;2019;128.0
185;Totaal aan- en afvoer;20 Overige goederen, n.e.g.;2020;121.0
186;Totaal aan- en afvoer;20 Overige goederen, n.e.g.;2021;137.0
187;Totaal aan- en afvoer;20 Overige goederen, n.e.g.;2022;141.0
188;Totaal aan- en afvoer;20 Overige goederen, n.e.g.;2023;125.0
189;Aanvoer naar Nederland;Totaal goederen;2015;430128.0
190;Aanvoer naar Nederland;Totaal goederen;2016;417749.0
191;Aanvoer naar Nederland;Totaal goederen;2017;428266.0
192;Aanvoer naar Nederland;Totaal goederen;2018;433795.0
193;Aanvoer naar Nederland;Totaal goederen;2019;436319.0
194;Aanvoer naar Nederland;Totaal goederen;2020;387440.0
195;Aanvoer naar Nederland;Totaal goederen;2021;418483.0
196;Aanvoer naar Nederland;Totaal goederen;2022;437842.0
197;Aanvoer naar Nederland;Totaal goederen;2023;400180.0
198;Aanvoer naar Nederland;01 Producten van de landbouw, jacht e...;2015;19488.0
199;Aanvoer naar Nederland;01 Producten van de landbouw, jacht e...;2016;19271.0
200;Aanvoer naar Nederland;01 Producten van de landbouw, jacht e...;2017;21625.0
201;Aanvoer naar Nederland;01 Producten van de landbouw, jacht e...;2018;23696.0
202;Aanvoer naar Nederland;01 Producten van de landbouw, jacht e...;2019;24315.0
203;Aanvoer naar Nederland;01 Producten van de landbouw, jacht e...;2020;25864.0
204;Aanvoer naar Nederland;01 Producten van de landbouw, jacht e...;2021;24441.0
205;Aanvoer naar Nederland;01 Producten van de landbouw, jacht e...;2022;22995.0
206;Aanvoer naar Nederland;01 Producten van de landbouw, jacht e...;2023;21779.0
207;Aanvoer naar Nederland;"02 Steenkool en bruinkool; ruwe aardo...";2015;163114.0
208;Aanvoer naar Nederland;"02 Steenkool en bruinkool; ruwe aardo...";2016;158715.0
209;Aanvoer naar Nederland;"02 Steenkool en bruinkool; ruwe aardo...";2017;156785.0
210;Aanvoer naar Nederland;"02 Steenkool en bruinkool; ruwe aardo...";2018;153103.0
211;Aanvoer naar Nederland;"02 Steenkool en bruinkool; ruwe aardo...";2019;156393.0
212;Aanvoer naar Nederland;"02 Steenkool en bruinkool; ruwe aardo...";2020;129841.0
213;Aanvoer naar Nederland;"02 Steenkool en bruinkool; ruwe aardo...";2021;145321.0
214;Aanvoer naar Nederland;"02 Steenkool en bruinkool; ruwe aardo...";2022;164960.0
215;Aanvoer naar Nederland;"02 Steenkool en bruinkool; ruwe aardo...";2023;152731.0
216;Aanvoer naar Nederland;03 Metaalertsen en andere delfstoffen...;2015;55795.0
217;Aanvoer naar Nederland;03 Metaalertsen en andere delfstoffen...;2016;51766.0
218;Aanvoer naar Nederland;03 Metaalertsen en andere delfstoffen...;2017;55361.0
219;Aanvoer naar Nederland;03 Metaalertsen en andere delfstoffen...;2018;57642.0
220;Aanvoer naar Nederland;03 Metaalertsen en andere delfstoffen...;2019;54772.0
221;Aanvoer naar Nederland;03 Metaalertsen en andere delfstoffen...;2020;45485.0
222;Aanvoer naar Nederland;03 Metaalertsen en andere delfstoffen...;2021;55924.0
223;Aanvoer naar Nederland;03 Metaalertsen en andere delfstoffen...;2022;53632.0
224;Aanvoer naar Nederland;03 Metaalertsen en andere delfstoffen...;2023;50184.0
225;Aanvoer naar Nederland;04 Voedings- en genotmiddelen;2015;22773.0
226;Aanvoer naar Nederland;04 Voedings- en genotmiddelen;2016;21244.0
227;Aanvoer naar Nederland;04 Voedings- en genotmiddelen;2017;23427.0
228;Aanvoer naar Nederland;04 Voedings- en genotmiddelen;2018;23673.0
229;Aanvoer naar Nederland;04 Voedings- en genotmiddelen;2019;24131.0
230;Aanvoer naar Nederland;04 Voedings- en genotmiddelen;2020;22681.0
231;Aanvoer naar Nederland;04 Voedings- en genotmiddelen;2021;22682.0
232;Aanvoer naar Nederland;04 Voedings- en genotmiddelen;2022;21858.0
233;Aanvoer naar Nederland;04 Voedings- en genotmiddelen;2023;19892.0
234;Aanvoer naar Nederland;"05 Textiel en textielproducten; leder...";2015;2775.0
235;Aanvoer naar Nederland;"05 Textiel en textielproducten; leder...";2016;2849.0
236;Aanvoer naar Nederland;"05 Textiel en textielproducten; leder...";2017;3121.0
237;Aanvoer naar Nederland;"05 Textiel en textielproducten; leder...";2018;3471.0
238;Aanvoer naar Nederland;"05 Textiel en textielproducten; leder...";2019;3398.0
239;Aanvoer naar Nederland;"05 Textiel en textielproducten; leder...";2020;3163.0
240;Aanvoer naar Nederland;"05 Textiel en textielproducten; leder...";2021;3487.0
241;Aanvoer naar Nederland;"05 Textiel en textielproducten; leder...";2022;3735.0
242;Aanvoer naar Nederland;"05 Textiel en textielproducten; leder...";2023;3297.0
243;Aanvoer naar Nederland;06 Hout, hout- en kurkwaren (m.u.v. m...;2015;12063.0
244;Aanvoer naar Nederland;06 Hout, hout- en kurkwaren (m.u.v. m...;2016;12093.0
245;Aanvoer naar Nederland;06 Hout, hout- en kurkwaren (m.u.v. m...;2017;13681.0
246;Aanvoer naar Nederland;06 Hout, hout- en kurkwaren (m.u.v. m...;2018;13214.0
247;Aanvoer naar Nederland;06 Hout, hout- en kurkwaren (m.u.v. m...;2019;13475.0
248;Aanvoer naar Nederland;06 Hout, hout- en kurkwaren (m.u.v. m...;2020;12593.0
249;Aanvoer naar Nederland;06 Hout, hout- en kurkwaren (m.u.v. m...;2021;11959.0
250;Aanvoer naar Nederland;06 Hout, hout- en kurkwaren (m.u.v. m...;2022;10136.0
251;Aanvoer naar Nederland;06 Hout, hout- en kurkwaren (m.u.v. m...;2023;8859.0
252;Aanvoer naar Nederland;07 Cokes en geraffineerde aardoliepro...;2015;76858.0
253;Aanvoer naar Nederland;07 Cokes en geraffineerde aardoliepro...;2016;74383.0
254;Aanvoer naar Nederland;07 Cokes en geraffineerde aardoliepro...;2017;67895.0
255;Aanvoer naar Nederland;07 Cokes en geraffineerde aardoliepro...;2018;68632.0
256;Aanvoer naar Nederland;07 Cokes en geraffineerde aardoliepro...;2019;66836.0
257;Aanvoer naar Nederland;07 Cokes en geraffineerde aardoliepro...;2020;57002.0
258;Aanvoer naar Nederland;07 Cokes en geraffineerde aardoliepro...;2021;57937.0
259;Aanvoer naar Nederland;07 Cokes en geraffineerde aardoliepro...;2022;59340.0
260;Aanvoer naar Nederland;07 Cokes en geraffineerde aardoliepro...;2023;52999.0
261;Aanvoer naar Nederland;08 Chemische producten en synthetisch...;2015;26879.0
262;Aanvoer naar Nederland;08 Chemische producten en synthetisch...;2016;26034.0
263;Aanvoer naar Nederland;08 Chemische producten en synthetisch...;2017;29931.0
264;Aanvoer naar Nederland;08 Chemische producten en synthetisch...;2018;31494.0
265;Aanvoer naar Nederland;08 Chemische producten en synthetisch...;2019;32874.0
266;Aanvoer naar Nederland;08 Chemische producten en synthetisch...;2020;31666.0
267;Aanvoer naar Nederland;08 Chemische producten en synthetisch...;2021;33317.0
268;Aanvoer naar Nederland;08 Chemische producten en synthetisch...;2022;36379.0
269;Aanvoer naar Nederland;08 Chemische producten en synthetisch...;2023;32152.0
270;Aanvoer naar Nederland;09 Overige niet-metaalhoudende minera...;2015;2625.0
271;Aanvoer naar Nederland;09 Overige niet-metaalhoudende minera...;2016;2693.0
272;Aanvoer naar Nederland;09 Overige niet-metaalhoudende minera...;2017;2990.0
273;Aanvoer naar Nederland;09 Overige niet-metaalhoudende minera...;2018;3368.0
274;Aanvoer naar Nederland;09 Overige niet-metaalhoudende minera...;2019;3712.0
275;Aanvoer naar Nederland;09 Overige niet-metaalhoudende minera...;2020;4079.0
276;Aanvoer naar Nederland;09 Overige niet-metaalhoudende minera...;2021;4310.0
277;Aanvoer naar Nederland;09 Overige niet-metaalhoudende minera...;2022;4102.0
278;Aanvoer naar Nederland;09 Overige niet-metaalhoudende minera...;2023;3615.0
279;Aanvoer naar Nederland;"10 Metalen in primaire vorm; producte...";2015;14999.0
280;Aanvoer naar Nederland;"10 Metalen in primaire vorm; producte...";2016;14526.0
281;Aanvoer naar Nederland;"10 Metalen in primaire vorm; producte...";2017;15152.0
282;Aanvoer naar Nederland;"10 Metalen in primaire vorm; producte...";2018;16659.0
283;Aanvoer naar Nederland;"10 Metalen in primaire vorm; producte...";2019;15767.0
284;Aanvoer naar Nederland;"10 Metalen in primaire vorm; producte...";2020;14396.0
285;Aanvoer naar Nederland;"10 Metalen in primaire vorm; producte...";2021;15581.0
286;Aanvoer naar Nederland;"10 Metalen in primaire vorm; producte...";2022;15981.0
287;Aanvoer naar Nederland;"10 Metalen in primaire vorm; producte...";2023;13226.0
288;Aanvoer naar Nederland;11 Machines, apparaten en werktuigen,...;2015;6542.0
289;Aanvoer naar Nederland;11 Machines, apparaten en werktuigen,...;2016;6527.0
290;Aanvoer naar Nederland;11 Machines, apparaten en werktuigen,...;2017;7316.0
291;Aanvoer naar Nederland;11 Machines, apparaten en werktuigen,...;2018;8210.0
292;Aanvoer naar Nederland;11 Machines, apparaten en werktuigen,...;2019;8699.0
293;Aanvoer naar Nederland;11 Machines, apparaten en werktuigen,...;2020;9156.0
294;Aanvoer naar Nederland;11 Machines, apparaten en werktuigen,...;2021;10516.0
295;Aanvoer naar Nederland;11 Machines, apparaten en werktuigen,...;2022;12215.0
296;Aanvoer naar Nederland;11 Machines, apparaten en werktuigen,...;2023;11199.0
297;Aanvoer naar Nederland;12 Transportmiddelen;2015;2351.0
298;Aanvoer naar Nederland;12 Transportmiddelen;2016;2643.0
299;Aanvoer naar Nederland;12 Transportmiddelen;2017;2987.0
300;Aanvoer naar Nederland;12 Transportmiddelen;2018;3032.0
301;Aanvoer naar Nederland;12 Transportmiddelen;2019;3100.0
302;Aanvoer naar Nederland;12 Transportmiddelen;2020;2594.0
303;Aanvoer naar Nederland;12 Transportmiddelen;2021;2830.0
304;Aanvoer naar Nederland;12 Transportmiddelen;2022;2925.0
305;Aanvoer naar Nederland;12 Transportmiddelen;2023;3096.0
306;Aanvoer naar Nederland;"13 Meubelen; overige industrieproduct...";2015;1946.0
307;Aanvoer naar Nederland;"13 Meubelen; overige industrieproduct...";2016;2072.0
308;Aanvoer naar Nederland;"13 Meubelen; overige industrieproduct...";2017;2245.0
309;Aanvoer naar Nederland;"13 Meubelen; overige industrieproduct...";2018;2449.0
310;Aanvoer naar Nederland;"13 Meubelen; overige industrieproduct...";2019;2545.0
311;Aanvoer naar Nederland;"13 Meubelen; overige industrieproduct...";2020;2541.0
312;Aanvoer naar Nederland;"13 Meubelen; overige industrieproduct...";2021;3175.0
313;Aanvoer naar Nederland;"13 Meubelen; overige industrieproduct...";2022;2786.0
314;Aanvoer naar Nederland;"13 Meubelen; overige industrieproduct...";2023;2286.0
315;Aanvoer naar Nederland;"14 Secundaire grondstoffen; gemeentel...";2015;3007.0
316;Aanvoer naar Nederland;"14 Secundaire grondstoffen; gemeentel...";2016;3454.0
317;Aanvoer naar Nederland;"14 Secundaire grondstoffen; gemeentel...";2017;3875.0
318;Aanvoer naar Nederland;"14 Secundaire grondstoffen; gemeentel...";2018;4308.0
319;Aanvoer naar Nederland;"14 Secundaire grondstoffen; gemeentel...";2019;4855.0
320;Aanvoer naar Nederland;"14 Secundaire grondstoffen; gemeentel...";2020;6300.0
321;Aanvoer naar Nederland;"14 Secundaire grondstoffen; gemeentel...";2021;6644.0
322;Aanvoer naar Nederland;"14 Secundaire grondstoffen; gemeentel...";2022;6010.0
323;Aanvoer naar Nederland;"14 Secundaire grondstoffen; gemeentel...";2023;5481.0
324;Aanvoer naar Nederland;15 Brieven, pakketten;2015;21.0
325;Aanvoer naar Nederland;15 Brieven, pakketten;2016;16.0
326;Aanvoer naar Nederland;15 Brieven, pakketten;2017;57.0
327;Aanvoer naar Nederland;15 Brieven, pakketten;2018;11.0
328;Aanvoer naar Nederland;15 Brieven, pakketten;2019;16.0
329;Aanvoer naar Nederland;15 Brieven, pakketten;2020;12.0
330;Aanvoer naar Nederland;15 Brieven, pakketten;2021;11.0
331;Aanvoer naar Nederland;15 Brieven, pakketten;2022;8.0
332;Aanvoer naar Nederland;15 Brieven, pakketten;2023;6.0
333;Aanvoer naar Nederland;16 Uitrusting en materiaal voor het v...;2015;4021.0
334;Aanvoer naar Nederland;16 Uitrusting en materiaal voor het v...;2016;3992.0
335;Aanvoer naar Nederland;16 Uitrusting en materiaal voor het v...;2017;4265.0
336;Aanvoer naar Nederland;16 Uitrusting en materiaal voor het v...;2018;4361.0
337;Aanvoer naar Nederland;16 Uitrusting en materiaal voor het v...;2019;4515.0
338;Aanvoer naar Nederland;16 Uitrusting en materiaal voor het v...;2020;4392.0
339;Aanvoer naar Nederland;16 Uitrusting en materiaal voor het v...;2021;4997.0
