ID;Sterklassen;Perioden;ZakelijkeOvernachtingen_1
153;Hotels met 1 ster;2013 januari;10
154;Hotels met 1 ster;2013 februari;10
155;Hotels met 1 ster;2013 maart;10
156;Hotels met 1 ster;2013 1e kwartaal;30
157;Hotels met 1 ster;2013 april;10
158;Hotels met 1 ster;2013 mei;10
159;Hotels met 1 ster;2013 juni;20
160;Hotels met 1 ster;2013 2e kwartaal;40
161;Hotels met 1 ster;2013 juli;10
162;Hotels met 1 ster;2013 augustus;10
163;Hotels met 1 ster;2013 september;20
164;Hotels met 1 ster;2013 3e kwartaal;40
165;Hotels met 1 ster;2013 oktober;10
166;Hotels met 1 ster;2013 november;10
167;Hotels met 1 ster;2013 december;10
168;Hotels met 1 ster;2013 4e kwartaal;30
169;Hotels met 1 ster;2013;140
170;Hotels met 1 ster;2014 januari;10
171;Hotels met 1 ster;2014 februari;10
172;Hotels met 1 ster;2014 maart;10
173;Hotels met 1 ster;2014 1e kwartaal;30
174;Hotels met 1 ster;2014 april;10
175;Hotels met 1 ster;2014 mei;10
176;Hotels met 1 ster;2014 juni;10
177;Hotels met 1 ster;2014 2e kwartaal;30
178;Hotels met 1 ster;2014 juli;10
179;Hotels met 1 ster;2014 augustus;10
180;Hotels met 1 ster;2014 september;10
181;Hotels met 1 ster;2014 3e kwartaal;30
182;Hotels met 1 ster;2014 oktober;10
183;Hotels met 1 ster;2014 november;10
184;Hotels met 1 ster;2014 december;10
185;Hotels met 1 ster;2014 4e kwartaal;30
186;Hotels met 1 ster;2014;120
187;Hotels met 1 ster;2015 januari;10
188;Hotels met 1 ster;2015 februari;10
189;Hotels met 1 ster;2015 maart;10
190;Hotels met 1 ster;2015 1e kwartaal;40
191;Hotels met 1 ster;2015 april;20
192;Hotels met 1 ster;2015 mei;10
193;Hotels met 1 ster;2015 juni;10
194;Hotels met 1 ster;2015 2e kwartaal;40
195;Hotels met 1 ster;2015 juli;10
196;Hotels met 1 ster;2015 augustus;10
197;Hotels met 1 ster;2015 september;10
198;Hotels met 1 ster;2015 3e kwartaal;40
199;Hotels met 1 ster;2015 oktober;10
200;Hotels met 1 ster;2015 november;10
201;Hotels met 1 ster;2015 december;10
202;Hotels met 1 ster;2015 4e kwartaal;40
203;Hotels met 1 ster;2015;150
204;Hotels met 2 sterren;2012 januari;40
205;Hotels met 2 sterren;2012 februari;40
206;Hotels met 2 sterren;2012 maart;40
207;Hotels met 2 sterren;2012 1e kwartaal;120
208;Hotels met 2 sterren;2012 april;40
209;Hotels met 2 sterren;2012 mei;50
210;Hotels met 2 sterren;2012 juni;50
211;Hotels met 2 sterren;2012 2e kwartaal;140
212;Hotels met 2 sterren;2012 juli;40
213;Hotels met 2 sterren;2012 augustus;50
214;Hotels met 2 sterren;2012 september;60
215;Hotels met 2 sterren;2012 3e kwartaal;140
216;Hotels met 2 sterren;2012 oktober;50
217;Hotels met 2 sterren;2012 november;40
218;Hotels met 2 sterren;2012 december;30
219;Hotels met 2 sterren;2012 4e kwartaal;130
220;Hotels met 2 sterren;2012;530
221;Hotels met 2 sterren;2013 januari;30
222;Hotels met 2 sterren;2013 februari;20
223;Hotels met 2 sterren;2013 maart;40
224;Hotels met 2 sterren;2013 1e kwartaal;90
225;Hotels met 2 sterren;2013 april;40
226;Hotels met 2 sterren;2013 mei;50
227;Hotels met 2 sterren;2013 juni;40
228;Hotels met 2 sterren;2013 2e kwartaal;130
229;Hotels met 2 sterren;2013 juli;40
230;Hotels met 2 sterren;2013 augustus;50
231;Hotels met 2 sterren;2013 september;50
232;Hotels met 2 sterren;2013 3e kwartaal;140
233;Hotels met 2 sterren;2013 oktober;40
234;Hotels met 2 sterren;2013 november;30
235;Hotels met 2 sterren;2013 december;20
236;Hotels met 2 sterren;2013 4e kwartaal;90
237;Hotels met 2 sterren;2013;460
238;Hotels met 2 sterren;2014 januari;30
239;Hotels met 2 sterren;2014 februari;20
240;Hotels met 2 sterren;2014 maart;40
241;Hotels met 2 sterren;2014 1e kwartaal;90
242;Hotels met 2 sterren;2014 april;30
243;Hotels met 2 sterren;2014 mei;30
244;Hotels met 2 sterren;2014 juni;40
245;Hotels met 2 sterren;2014 2e kwartaal;100
246;Hotels met 2 sterren;2014 juli;30
247;Hotels met 2 sterren;2014 augustus;40
248;Hotels met 2 sterren;2014 september;40
249;Hotels met 2 sterren;2014 3e kwartaal;110
250;Hotels met 2 sterren;2014 oktober;40
251;Hotels met 2 sterren;2014 november;40
252;Hotels met 2 sterren;2014 december;20
253;Hotels met 2 sterren;2014 4e kwartaal;100
254;Hotels met 2 sterren;2014;390
255;Hotels met 2 sterren;2015 januari;30
256;Hotels met 2 sterren;2015 februari;30
257;Hotels met 2 sterren;2015 maart;30
258;Hotels met 2 sterren;2015 1e kwartaal;90
259;Hotels met 2 sterren;2015 april;40
260;Hotels met 2 sterren;2015 mei;30
261;Hotels met 2 sterren;2015 juni;40
262;Hotels met 2 sterren;2015 2e kwartaal;110
263;Hotels met 2 sterren;2015 juli;30
264;Hotels met 2 sterren;2015 augustus;30
265;Hotels met 2 sterren;2015 september;40
266;Hotels met 2 sterren;2015 3e kwartaal;100
267;Hotels met 2 sterren;2015 oktober;40
268;Hotels met 2 sterren;2015 november;30
269;Hotels met 2 sterren;2015 december;20
270;Hotels met 2 sterren;2015 4e kwartaal;90
271;Hotels met 2 sterren;2015;380
272;Hotels met 3 sterren;2012 januari;250
273;Hotels met 3 sterren;2012 februari;250
274;Hotels met 3 sterren;2012 maart;320
275;Hotels met 3 sterren;2012 1e kwartaal;830
276;Hotels met 3 sterren;2012 april;380
277;Hotels met 3 sterren;2012 mei;390
278;Hotels met 3 sterren;2012 juni;380
279;Hotels met 3 sterren;2012 2e kwartaal;1150
280;Hotels met 3 sterren;2012 juli;320
281;Hotels met 3 sterren;2012 augustus;330
282;Hotels met 3 sterren;2012 september;400
283;Hotels met 3 sterren;2012 3e kwartaal;1060
284;Hotels met 3 sterren;2012 oktober;380
285;Hotels met 3 sterren;2012 november;330
286;Hotels met 3 sterren;2012 december;240
287;Hotels met 3 sterren;2012 4e kwartaal;960
288;Hotels met 3 sterren;2012;3990
289;Hotels met 3 sterren;2013 januari;250
290;Hotels met 3 sterren;2013 februari;250
291;Hotels met 3 sterren;2013 maart;310
292;Hotels met 3 sterren;2013 1e kwartaal;800
293;Hotels met 3 sterren;2013 april;360
294;Hotels met 3 sterren;2013 mei;390
295;Hotels met 3 sterren;2013 juni;370
296;Hotels met 3 sterren;2013 2e kwartaal;1130
297;Hotels met 3 sterren;2013 juli;320
298;Hotels met 3 sterren;2013 augustus;350
299;Hotels met 3 sterren;2013 september;390
300;Hotels met 3 sterren;2013 3e kwartaal;1060
301;Hotels met 3 sterren;2013 oktober;390
302;Hotels met 3 sterren;2013 november;330
303;Hotels met 3 sterren;2013 december;240
304;Hotels met 3 sterren;2013 4e kwartaal;970
305;Hotels met 3 sterren;2013;3970
306;Hotels met 3 sterren;2014 januari;260
307;Hotels met 3 sterren;2014 februari;280
308;Hotels met 3 sterren;2014 maart;340
309;Hotels met 3 sterren;2014 1e kwartaal;890
310;Hotels met 3 sterren;2014 april;380
311;Hotels met 3 sterren;2014 mei;420
312;Hotels met 3 sterren;2014 juni;410
313;Hotels met 3 sterren;2014 2e kwartaal;1210
314;Hotels met 3 sterren;2014 juli;330
315;Hotels met 3 sterren;2014 augustus;360
316;Hotels met 3 sterren;2014 september;440
317;Hotels met 3 sterren;2014 3e kwartaal;1130
318;Hotels met 3 sterren;2014 oktober;420
319;Hotels met 3 sterren;2014 november;350
320;Hotels met 3 sterren;2014 december;260
321;Hotels met 3 sterren;2014 4e kwartaal;1030
322;Hotels met 3 sterren;2014;4260
323;Hotels met 3 sterren;2015 januari;280
324;Hotels met 3 sterren;2015 februari;300
325;Hotels met 3 sterren;2015 maart;330
326;Hotels met 3 sterren;2015 1e kwartaal;910
327;Hotels met 3 sterren;2015 april;400
328;Hotels met 3 sterren;2015 mei;410
329;Hotels met 3 sterren;2015 juni;410
330;Hotels met 3 sterren;2015 2e kwartaal;1220
331;Hotels met 3 sterren;2015 juli;340
332;Hotels met 3 sterren;2015 augustus;370
333;Hotels met 3 sterren;2015 september;420
334;Hotels met 3 sterren;2015 3e kwartaal;1120
335;Hotels met 3 sterren;2015 oktober;420
336;Hotels met 3 sterren;2015 november;360
337;Hotels met 3 sterren;2015 december;270
338;Hotels met 3 sterren;2015 4e kwartaal;1050
339;Hotels met 3 sterren;2015;4300
340;Hotels met 4 sterren;2012 januari;590
341;Hotels met 4 sterren;2012 februari;590
342;Hotels met 4 sterren;2012 maart;750
343;Hotels met 4 sterren;2012 1e kwartaal;1930
344;Hotels met 4 sterren;2012 april;860
345;Hotels met 4 sterren;2012 mei;850
346;Hotels met 4 sterren;2012 juni;780
347;Hotels met 4 sterren;2012 2e kwartaal;2490
348;Hotels met 4 sterren;2012 juli;620
349;Hotels met 4 sterren;2012 augustus;690
350;Hotels met 4 sterren;2012 september;850
351;Hotels met 4 sterren;2012 3e kwartaal;2150
352;Hotels met 4 sterren;2012 oktober;780
353;Hotels met 4 sterren;2012 november;720
354;Hotels met 4 sterren;2012 december;570
355;Hotels met 4 sterren;2012 4e kwartaal;2080
356;Hotels met 4 sterren;2012;8650
357;Hotels met 4 sterren;2013 januari;590
358;Hotels met 4 sterren;2013 februari;580
359;Hotels met 4 sterren;2013 maart;730
360;Hotels met 4 sterren;2013 1e kwartaal;1900
361;Hotels met 4 sterren;2013 april;810
362;Hotels met 4 sterren;2013 mei;860
363;Hotels met 4 sterren;2013 juni;820
364;Hotels met 4 sterren;2013 2e kwartaal;2490
365;Hotels met 4 sterren;2013 juli;670
366;Hotels met 4 sterren;2013 augustus;760
367;Hotels met 4 sterren;2013 september;870
368;Hotels met 4 sterren;2013 3e kwartaal;2290
369;Hotels met 4 sterren;2013 oktober;860
370;Hotels met 4 sterren;2013 november;760
371;Hotels met 4 sterren;2013 december;570
372;Hotels met 4 sterren;2013 4e kwartaal;2180
373;Hotels met 4 sterren;2013;8860
374;Hotels met 4 sterren;2014 januari;590
375;Hotels met 4 sterren;2014 februari;600
376;Hotels met 4 sterren;2014 maart;770
377;Hotels met 4 sterren;2014 1e kwartaal;1950
378;Hotels met 4 sterren;2014 april;820
379;Hotels met 4 sterren;2014 mei;900
380;Hotels met 4 sterren;2014 juni;870
381;Hotels met 4 sterren;2014 2e kwartaal;2590
382;Hotels met 4 sterren;2014 juli;690
383;Hotels met 4 sterren;2014 augustus;740
384;Hotels met 4 sterren;2014 september;850
385;Hotels met 4 sterren;2014 3e kwartaal;2290
386;Hotels met 4 sterren;2014 oktober;850
387;Hotels met 4 sterren;2014 november;760
388;Hotels met 4 sterren;2014 december;620
389;Hotels met 4 sterren;2014 4e kwartaal;2230
390;Hotels met 4 sterren;2014;9070
391;Hotels met 4 sterren;2015 januari;610
392;Hotels met 4 sterren;2015 februari;630
393;Hotels met 4 sterren;2015 maart;740
394;Hotels met 4 sterren;2015 1e kwartaal;1980
395;Hotels met 4 sterren;2015 april;850
396;Hotels met 4 sterren;2015 mei;910
397;Hotels met 4 sterren;2015 juni;830
398;Hotels met 4 sterren;2015 2e kwartaal;2590
399;Hotels met 4 sterren;2015 juli;730
400;Hotels met 4 sterren;2015 augustus;750
401;Hotels met 4 sterren;2015 september;880
402;Hotels met 4 sterren;2015 3e kwartaal;2360
403;Hotels met 4 sterren;2015 oktober;890
404;Hotels met 4 sterren;2015 november;760
405;Hotels met 4 sterren;2015 december;610
406;Hotels met 4 sterren;2015 4e kwartaal;2260
407;Hotels met 4 sterren;2015;9190
408;Hotels met 5 sterren;2012 januari;60
409;Hotels met 5 sterren;2012 februari;60
410;Hotels met 5 sterren;2012 maart;80
411;Hotels met 5 sterren;2012 1e kwartaal;190
412;Hotels met 5 sterren;2012 april;90
413;Hotels met 5 sterren;2012 mei;90
414;Hotels met 5 sterren;2012 juni;100
415;Hotels met 5 sterren;2012 2e kwartaal;280
416;Hotels met 5 sterren;2012 juli;90
417;Hotels met 5 sterren;2012 augustus;80
418;Hotels met 5 sterren;2012 september;90
419;Hotels met 5 sterren;2012 3e kwartaal;260
420;Hotels met 5 sterren;2012 oktober;90
421;Hotels met 5 sterren;2012 november;80
422;Hotels met 5 sterren;2012 december;50
423;Hotels met 5 sterren;2012 4e kwartaal;220
424;Hotels met 5 sterren;2012;950
425;Hotels met 5 sterren;2013 januari;60
426;Hotels met 5 sterren;2013 februari;60
427;Hotels met 5 sterren;2013 maart;80
428;Hotels met 5 sterren;2013 1e kwartaal;200
429;Hotels met 5 sterren;2013 april;90
430;Hotels met 5 sterren;2013 mei;100
431;Hotels met 5 sterren;2013 juni;100
432;Hotels met 5 sterren;2013 2e kwartaal;280
433;Hotels met 5 sterren;2013 juli;70
434;Hotels met 5 sterren;2013 augustus;90
435;Hotels met 5 sterren;2013 september;90
436;Hotels met 5 sterren;2013 3e kwartaal;250
437;Hotels met 5 sterren;2013 oktober;90
438;Hotels met 5 sterren;2013 november;90
439;Hotels met 5 sterren;2013 december;60
440;Hotels met 5 sterren;2013 4e kwartaal;250
441;Hotels met 5 sterren;2013;980
442;Hotels met 5 sterren;2014 januari;60
443;Hotels met 5 sterren;2014 februari;70
444;Hotels met 5 sterren;2014 maart;80
445;Hotels met 5 sterren;2014 1e kwartaal;210
446;Hotels met 5 sterren;2014 april;90
447;Hotels met 5 sterren;2014 mei;100
448;Hotels met 5 sterren;2014 juni;90
449;Hotels met 5 sterren;2014 2e kwartaal;280
450;Hotels met 5 sterren;2014 juli;80
451;Hotels met 5 sterren;2014 augustus;80
452;Hotels met 5 sterren;2014 september;100
453;Hotels met 5 sterren;2014 3e kwartaal;250
454;Hotels met 5 sterren;2014 oktober;100
455;Hotels met 5 sterren;2014 november;80
456;Hotels met 5 sterren;2014 december;60
457;Hotels met 5 sterren;2014 4e kwartaal;240
458;Hotels met 5 sterren;2014;970
459;Hotels met 5 sterren;2015 januari;60
460;Hotels met 5 sterren;2015 februari;70
461;Hotels met 5 sterren;2015 maart;80
462;Hotels met 5 sterren;2015 1e kwartaal;210
463;Hotels met 5 sterren;2015 april;90
464;Hotels met 5 sterren;2015 mei;90
465;Hotels met 5 sterren;2015 juni;90
466;Hotels met 5 sterren;2015 2e kwartaal;270
467;Hotels met 5 sterren;2015 juli;80
468;Hotels met 5 sterren;2015 augustus;90
469;Hotels met 5 sterren;2015 september;90
470;Hotels met 5 sterren;2015 3e kwartaal;270
471;Hotels met 5 sterren;2015 oktober;90
472;Hotels met 5 sterren;2015 november;80
473;Hotels met 5 sterren;2015 december;60
474;Hotels met 5 sterren;2015 4e kwartaal;240
475;Hotels met 5 sterren;2015;980
476;Totaal Amsterdamse hotels;2012 januari;260
477;Totaal Amsterdamse hotels;2012 februari;260
478;Totaal Amsterdamse hotels;2012 maart;320
479;Totaal Amsterdamse hotels;2012 1e kwartaal;840
480;Totaal Amsterdamse hotels;2012 april;390
481;Totaal Amsterdamse hotels;2012 mei;410
482;Totaal Amsterdamse hotels;2012 juni;390
483;Totaal Amsterdamse hotels;2012 2e kwartaal;1180
484;Totaal Amsterdamse hotels;2012 juli;330
485;Totaal Amsterdamse hotels;2012 augustus;340
486;Totaal Amsterdamse hotels;2012 september;400
487;Totaal Amsterdamse hotels;2012 3e kwartaal;1080
488;Totaal Amsterdamse hotels;2012 oktober;390
489;Totaal Amsterdamse hotels;2012 november;360
490;Totaal Amsterdamse hotels;2012 december;270
491;Totaal Amsterdamse hotels;2012 4e kwartaal;1020
492;Totaal Amsterdamse hotels;2012;4120
493;Totaal Amsterdamse hotels;2013 januari;280
494;Totaal Amsterdamse hotels;2013 februari;260
495;Totaal Amsterdamse hotels;2013 maart;330
496;Totaal Amsterdamse hotels;2013 1e kwartaal;870
497;Totaal Amsterdamse hotels;2013 april;390
498;Totaal Amsterdamse hotels;2013 mei;440
499;Totaal Amsterdamse hotels;2013 juni;410
500;Totaal Amsterdamse hotels;2013 2e kwartaal;1230
501;Totaal Amsterdamse hotels;2013 juli;360
502;Totaal Amsterdamse hotels;2013 augustus;420
503;Totaal Amsterdamse hotels;2013 september;450
504;Totaal Amsterdamse hotels;2013 3e kwartaal;1240
505;Totaal Amsterdamse hotels;2013 oktober;420
506;Totaal Amsterdamse hotels;2013 november;370
507;Totaal Amsterdamse hotels;2013 december;280
508;Totaal Amsterdamse hotels;2013 4e kwartaal;1070
509;Totaal Amsterdamse hotels;2013;4410
510;Totaal Amsterdamse hotels;2014 januari;300
511;Totaal Amsterdamse hotels;2014 februari;330
512;Totaal Amsterdamse hotels;2014 maart;370
513;Totaal Amsterdamse hotels;2014 1e kwartaal;1000
514;Totaal Amsterdamse hotels;2014 april;410
515;Totaal Amsterdamse hotels;2014 mei;450
516;Totaal Amsterdamse hotels;2014 juni;430
517;Totaal Amsterdamse hotels;2014 2e kwartaal;1300
518;Totaal Amsterdamse hotels;2014 juli;360
519;Totaal Amsterdamse hotels;2014 augustus;390
520;Totaal Amsterdamse hotels;2014 september;460
521;Totaal Amsterdamse hotels;2014 3e kwartaal;1210
522;Totaal Amsterdamse hotels;2014 oktober;470
523;Totaal Amsterdamse hotels;2014 november;390
524;Totaal Amsterdamse hotels;2014 december;290
525;Totaal Amsterdamse hotels;2014 4e kwartaal;1150
526;Totaal Amsterdamse hotels;2014;4650
527;Totaal Amsterdamse hotels;2015 januari;310
528;Totaal Amsterdamse hotels;2015 februari;330
529;Totaal Amsterdamse hotels;2015 maart;360
530;Totaal Amsterdamse hotels;2015 1e kwartaal;1000
531;Totaal Amsterdamse hotels;2015 april;400
532;Totaal Amsterdamse hotels;2015 mei;420
533;Totaal Amsterdamse hotels;2015 juni;410
534;Totaal Amsterdamse hotels;2015 2e kwartaal;1230
535;Totaal Amsterdamse hotels;2015 juli;370
536;Totaal Amsterdamse hotels;2015 augustus;360
537;Totaal Amsterdamse hotels;2015 september;440
538;Totaal Amsterdamse hotels;2015 3e kwartaal;1180
539;Totaal Amsterdamse hotels;2015 oktober;450
540;Totaal Amsterdamse hotels;2015 november;350
541;Totaal Amsterdamse hotels;2015 december;290
542;Totaal Amsterdamse hotels;2015 4e kwartaal;1090
543;Totaal Amsterdamse hotels;2015;4500
544;Amsterdamse hotels zonder ster;2012 januari;40
545;Amsterdamse hotels zonder ster;2012 februari;30
546;Amsterdamse hotels zonder ster;2012 maart;40
547;Amsterdamse hotels zonder ster;2012 1e kwartaal;110
548;Amsterdamse hotels zonder ster;2012 april;60
549;Amsterdamse hotels zonder ster;2012 mei;60
550;Amsterdamse hotels zonder ster;2012 juni;60
551;Amsterdamse hotels zonder ster;2012 2e kwartaal;180
552;Amsterdamse hotels zonder ster;2012 juli;50
553;Amsterdamse hotels zonder ster;2012 augustus;50
554;Amsterdamse hotels zonder ster;2012 september;50
555;Amsterdamse hotels zonder ster;2012 3e kwartaal;150
556;Amsterdamse hotels zonder ster;2012 oktober;60
557;Amsterdamse hotels zonder ster;2012 november;50
558;Amsterdamse hotels zonder ster;2012 december;40
559;Amsterdamse hotels zonder ster;2012 4e kwartaal;140
560;Amsterdamse hotels zonder ster;2012;570
561;Amsterdamse hotels zonder ster;2013 januari;40
562;Amsterdamse hotels zonder ster;2013 februari;30
563;Amsterdamse hotels zonder ster;2013 maart;40
564;Amsterdamse hotels zonder ster;2013 1e kwartaal;110
565;Amsterdamse hotels zonder ster;2013 april;50
566;Amsterdamse hotels zonder ster;2013 mei;60
567;Amsterdamse hotels zonder ster;2013 juni;50
568;Amsterdamse hotels zonder ster;2013 2e kwartaal;150
569;Amsterdamse hotels zonder ster;2013 juli;40
570;Amsterdamse hotels zonder ster;2013 augustus;50
571;Amsterdamse hotels zonder ster;2013 september;50
572;Amsterdamse hotels zonder ster;2013 3e kwartaal;140
573;Amsterdamse hotels zonder ster;2013 oktober;40
574;Amsterdamse hotels zonder ster;2013 november;40
575;Amsterdamse hotels zonder ster;2013 december;30
576;Amsterdamse hotels zonder ster;2013 4e kwartaal;110
577;Amsterdamse hotels zonder ster;2013;510
578;Amsterdamse hotels zonder ster;2014 januari;40
579;Amsterdamse hotels zonder ster;2014 februari;40
580;Amsterdamse hotels zonder ster;2014 maart;50
581;Amsterdamse hotels zonder ster;2014 1e kwartaal;130
582;Amsterdamse hotels zonder ster;2014 april;60
583;Amsterdamse hotels zonder ster;2014 mei;50
584;Amsterdamse hotels zonder ster;2014 juni;50
585;Amsterdamse hotels zonder ster;2014 2e kwartaal;160
586;Amsterdamse hotels zonder ster;2014 juli;50
587;Amsterdamse hotels zonder ster;2014 augustus;50
588;Amsterdamse hotels zonder ster;2014 september;60
