ID;Beroep;BeroepVoorgaandePeriode;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1
214;Totaal;Totaal;Geslacht: Vrouwen;2008 4e kwartaal;3642.0
215;Totaal;Totaal;Geslacht: Vrouwen;2008;3434.0
216;Totaal;Totaal;Geslacht: Vrouwen;2009 1e kwartaal;3668.0
217;Totaal;Totaal;Geslacht: Vrouwen;2009 2e kwartaal;3670.0
218;Totaal;Totaal;Geslacht: Vrouwen;2009 3e kwartaal;3648.0
219;Totaal;Totaal;Geslacht: Vrouwen;2009 4e kwartaal;3645.0
220;Totaal;Totaal;Geslacht: Vrouwen;2009;3501.0
221;Totaal;Totaal;Geslacht: Vrouwen;2010 1e kwartaal;3635.0
222;Totaal;Totaal;Geslacht: Vrouwen;2010 2e kwartaal;3665.0
223;Totaal;Totaal;Geslacht: Vrouwen;2010 3e kwartaal;3648.0
224;Totaal;Totaal;Geslacht: Vrouwen;2010 4e kwartaal;3647.0
225;Totaal;Totaal;Geslacht: Vrouwen;2010;3525.0
226;Totaal;Totaal;Geslacht: Vrouwen;2011 1e kwartaal;3655.0
227;Totaal;Totaal;Geslacht: Vrouwen;2011 2e kwartaal;3651.0
228;Totaal;Totaal;Geslacht: Vrouwen;2011 3e kwartaal;3649.0
229;Totaal;Totaal;Geslacht: Vrouwen;2011 4e kwartaal;3670.0
230;Totaal;Totaal;Geslacht: Vrouwen;2011;3506.0
231;Totaal;Totaal;Geslacht: Vrouwen;2012 1e kwartaal;3687.0
232;Totaal;Totaal;Geslacht: Vrouwen;2012 2e kwartaal;3678.0
233;Totaal;Totaal;Geslacht: Vrouwen;2012 3e kwartaal;3689.0
234;Totaal;Totaal;Geslacht: Vrouwen;2012 4e kwartaal;3705.0
235;Totaal;Totaal;Geslacht: Vrouwen;2012;3517.0
236;Totaal;Totaal;Geslacht: Vrouwen;2013 1e kwartaal;3692.0
237;Totaal;Totaal;Geslacht: Vrouwen;2013 2e kwartaal;3696.0
238;Totaal;Totaal;Geslacht: Vrouwen;2013 3e kwartaal;3679.0
239;Totaal;Totaal;Geslacht: Vrouwen;2013 4e kwartaal;3653.0
240;Totaal;Totaal;Geslacht: Vrouwen;2013;3529.0
241;Totaal;Totaal;Geslacht: Vrouwen;2014 1e kwartaal;3608.0
242;Totaal;Totaal;Geslacht: Vrouwen;2014 2e kwartaal;3598.0
243;Totaal;Totaal;Geslacht: Vrouwen;2014 3e kwartaal;3616.0
244;Totaal;Totaal;Geslacht: Vrouwen;2014 4e kwartaal;3657.0
245;Totaal;Totaal;Geslacht: Vrouwen;2014;3459.0
246;Totaal;Totaal;Geslacht: Vrouwen;2015 1e kwartaal;3657.0
247;Totaal;Totaal;Geslacht: Vrouwen;2015 2e kwartaal;3670.0
248;Totaal;Totaal;Geslacht: Vrouwen;2015 3e kwartaal;3670.0
249;Totaal;Totaal;Geslacht: Vrouwen;2015 4e kwartaal;3686.0
250;Totaal;Totaal;Geslacht: Vrouwen;2015;3482.0
251;Totaal;Totaal;Geslacht: Vrouwen;2016 1e kwartaal;3703.0
252;Totaal;Totaal;Geslacht: Vrouwen;2016 2e kwartaal;3702.0
253;Totaal;Totaal;Geslacht: Vrouwen;2016 3e kwartaal;3748.0
254;Totaal;Totaal;Geslacht: Vrouwen;2016 4e kwartaal;3765.0
255;Totaal;Totaal;Geslacht: Vrouwen;2016;3546.0
256;Totaal;Totaal;Geslacht: Vrouwen;2017 1e kwartaal;3791.0
257;Totaal;Totaal;Geslacht: Vrouwen;2017 2e kwartaal;3807.0
258;Totaal;Totaal;Geslacht: Vrouwen;2017 3e kwartaal;3829.0
259;Totaal;Totaal;Geslacht: Vrouwen;2017 4e kwartaal;3834.0
260;Totaal;Totaal;Geslacht: Vrouwen;2017;3613.0
261;Totaal;Totaal;Geslacht: Vrouwen;2018 1e kwartaal;3861.0
262;Totaal;Totaal;Geslacht: Vrouwen;2018 2e kwartaal;3881.0
263;Totaal;Totaal;Geslacht: Vrouwen;2018 3e kwartaal;3929.0
264;Totaal;Totaal;Geslacht: Vrouwen;2018 4e kwartaal;3961.0
265;Totaal;Totaal;Geslacht: Vrouwen;2018;3701.0
266;Totaal;Totaal;Geslacht: Vrouwen;2019 1e kwartaal;3995.0
267;Totaal;Totaal;Geslacht: Vrouwen;2019 2e kwartaal;4027.0
268;Totaal;Totaal;Geslacht: Vrouwen;2019 3e kwartaal;4041.0
269;Totaal;Totaal;Geslacht: Vrouwen;2019 4e kwartaal;4042.0
270;Totaal;Totaal;Geslacht: Vrouwen;2019;3811.0
271;Totaal;Totaal;Geslacht: Vrouwen;2020 1e kwartaal;4056.0
272;Totaal;Totaal;Geslacht: Vrouwen;2020 2e kwartaal;4058.0
273;Totaal;Totaal;Geslacht: Vrouwen;2020 3e kwartaal;4019.0
274;Totaal;Totaal;Geslacht: Vrouwen;2020 4e kwartaal;4044.0
275;Totaal;Totaal;Geslacht: Vrouwen;2020;3847.0
276;Totaal;Totaal;Geslacht: Vrouwen;2021 1e kwartaal;
277;Totaal;Totaal;Geslacht: Vrouwen;2021 2e kwartaal;4149.0
278;Totaal;Totaal;Geslacht: Vrouwen;2021 3e kwartaal;4201.0
279;Totaal;Totaal;Geslacht: Vrouwen;2021 4e kwartaal;4227.0
280;Totaal;Totaal;Geslacht: Vrouwen;2022 1e kwartaal;4263.0
281;Totaal;Totaal;Geslacht: Vrouwen;2022 2e kwartaal;4313.0
282;Totaal;Totaal;Migratieachtergrond: Nederland;2003 2e kwartaal;6283.0
283;Totaal;Totaal;Migratieachtergrond: Nederland;2003 3e kwartaal;6234.0
284;Totaal;Totaal;Migratieachtergrond: Nederland;2003 4e kwartaal;6240.0
285;Totaal;Totaal;Migratieachtergrond: Nederland;2004 1e kwartaal;6221.0
286;Totaal;Totaal;Migratieachtergrond: Nederland;2004 2e kwartaal;6198.0
287;Totaal;Totaal;Migratieachtergrond: Nederland;2004 3e kwartaal;6212.0
288;Totaal;Totaal;Migratieachtergrond: Nederland;2004 4e kwartaal;6218.0
289;Totaal;Totaal;Migratieachtergrond: Nederland;2004;6038.0
