ID;EnergyCommodities;SectorBranchesSIC2008;Periods;TotalEnergyConsumption_1;FinalEnergyConsumption_2;NonEnergyUse_3;NetEnergyTransformation_4;EnergyTransformationInput_5;EnergyTransformationOutput_6;TotalEnergyConsumption_7;IndigenousProduction_8;SupplyOfEnergy_9;DeliveryOfEnergy_10;StockChange_11
110;Total energy commodities;106 Grain milling and starch products;2013;10.9;10.2;;0.7;4.8;4.1;10.9;0.2;11.0;0.3;
111;Total energy commodities;106 Grain milling and starch products;2014;10.9;10.2;;0.8;4.9;4.2;10.9;0.2;11.3;0.6;
112;Total energy commodities;106 Grain milling and starch products;2015;11.4;10.7;;0.7;4.7;4.0;11.4;0.2;12.1;1.0;
113;Total energy commodities;106 Grain milling and starch products;2016;11.4;10.5;;0.8;4.7;3.9;11.4;0.1;12.2;0.9;
114;Total energy commodities;107 Manufacture of bakery products;2011;;;;;;;;;;;
115;Total energy commodities;107 Manufacture of bakery products;2012;;;;;;;;;;;
116;Total energy commodities;107 Manufacture of bakery products;2013;;;;;;;;;;;
117;Total energy commodities;107 Manufacture of bakery products;2014;;;;;;;;;;;
118;Total energy commodities;107 Manufacture of bakery products;2015;;;;;;;;;;;
119;Total energy commodities;107 Manufacture of bakery products;2016;;;;;;;;;;;
120;Total energy commodities;108 Manufacture of other food;2011;;;;;;;;;;;
121;Total energy commodities;108 Manufacture of other food;2012;;;;;;;;;;;
122;Total energy commodities;108 Manufacture of other food;2013;;;;;;;;;;;
123;Total energy commodities;108 Manufacture of other food;2014;;;;;;;;;;;
124;Total energy commodities;108 Manufacture of other food;2015;;;;;;;;;;;
125;Total energy commodities;108 Manufacture of other food;2016;;;;;;;;;;;
126;Total energy commodities;109 Manufacture of animal foods;2011;6.9;6.8;;0.1;0.6;0.5;6.9;0.1;6.8;0.0;0.0
127;Total energy commodities;109 Manufacture of animal foods;2012;7.2;7.2;;0.1;0.5;0.4;7.2;0.1;7.2;0.0;0.0
128;Total energy commodities;109 Manufacture of animal foods;2013;7.2;6.9;0.0;0.3;0.7;0.4;7.2;0.5;6.9;0.2;-0.1
129;Total energy commodities;109 Manufacture of animal foods;2014;6.5;6.3;;0.3;0.9;0.6;6.5;0.6;6.2;0.3;0.0
130;Total energy commodities;109 Manufacture of animal foods;2015;7.3;7.0;;0.3;0.8;0.5;7.3;1.3;6.2;0.3;0.0
131;Total energy commodities;109 Manufacture of animal foods;2016;7.3;7.0;;0.3;0.7;0.4;7.3;1.0;6.6;0.3;0.0
132;Total energy commodities;11 Manufacture of beverages;2011;4.2;4.0;;0.2;2.0;1.8;4.2;0.2;4.1;0.0;
133;Total energy commodities;11 Manufacture of beverages;2012;4.2;4.0;;0.2;2.0;1.8;4.2;0.2;4.1;0.0;
134;Total energy commodities;11 Manufacture of beverages;2013;4.2;3.9;;0.2;1.9;1.7;4.2;0.2;4.0;0.0;
135;Total energy commodities;11 Manufacture of beverages;2014;4.1;3.9;;0.2;1.9;1.7;4.1;0.2;4.0;0.0;
136;Total energy commodities;11 Manufacture of beverages;2015;4.2;3.8;;0.5;2.0;1.5;4.2;0.1;4.1;0.0;
137;Total energy commodities;11 Manufacture of beverages;2016;4.2;4.0;;0.2;1.5;1.4;4.2;0.1;4.0;0.0;
138;Total energy commodities;12 Manufacture of tobacco products;2011;1.2;1.2;;;;;1.2;;1.2;;
139;Total energy commodities;12 Manufacture of tobacco products;2012;1.1;1.1;;;;;1.1;;1.1;;
140;Total energy commodities;12 Manufacture of tobacco products;2013;1.2;1.2;;;;;1.2;;1.2;;
141;Total energy commodities;12 Manufacture of tobacco products;2014;0.5;0.5;;;;;0.5;;0.5;;
142;Total energy commodities;12 Manufacture of tobacco products;2015;0.4;0.4;;;;;0.4;;0.4;;
143;Total energy commodities;12 Manufacture of tobacco products;2016;0.4;0.4;;;;;0.4;;0.4;;
144;Total energy commodities;13-15 Man. of textile-, leatherproducts;2011;4.3;4.2;;0.1;0.6;0.5;4.3;;4.3;0.0;
145;Total energy commodities;13-15 Man. of textile-, leatherproducts;2012;4.4;4.2;;0.1;0.7;0.6;4.4;;4.4;0.0;
146;Total energy commodities;13-15 Man. of textile-, leatherproducts;2013;4.4;4.3;;0.1;0.5;0.4;4.4;;4.4;0.0;
147;Total energy commodities;13-15 Man. of textile-, leatherproducts;2014;3.7;3.7;;0.0;0.2;0.2;3.7;;3.7;0.0;
148;Total energy commodities;13-15 Man. of textile-, leatherproducts;2015;3.7;3.7;;;;;3.7;;3.7;0.0;
149;Total energy commodities;13-15 Man. of textile-, leatherproducts;2016;4.1;4.1;;;;;4.1;;4.1;0.1;
150;Total energy commodities;13 Manufacture of textiles;2011;3.9;3.8;;0.1;0.6;0.5;3.9;;3.9;0.0;
151;Total energy commodities;13 Manufacture of textiles;2012;3.9;3.8;;0.1;0.7;0.6;3.9;;3.9;0.0;
152;Total energy commodities;13 Manufacture of textiles;2013;3.9;3.9;;0.1;0.5;0.4;3.9;;4.0;0.0;
153;Total energy commodities;13 Manufacture of textiles;2014;3.3;3.3;;0.0;0.2;0.2;3.3;;3.3;0.0;
154;Total energy commodities;13 Manufacture of textiles;2015;3.3;3.3;;;;;3.3;;3.3;0.0;
155;Total energy commodities;13 Manufacture of textiles;2016;3.4;3.4;;;;;3.4;;3.4;0.0;
156;Total energy commodities;14 Manufacture of wearing apparel;2011;0.2;0.2;;;;;0.2;;0.2;;
157;Total energy commodities;14 Manufacture of wearing apparel;2012;0.2;0.2;;;;;0.2;;0.2;;
158;Total energy commodities;14 Manufacture of wearing apparel;2013;0.2;0.2;;;;;0.2;;0.2;;
159;Total energy commodities;14 Manufacture of wearing apparel;2014;0.1;0.1;;;;;0.1;;0.1;;
160;Total energy commodities;14 Manufacture of wearing apparel;2015;0.2;0.2;;;;;0.2;;0.2;;
161;Total energy commodities;14 Manufacture of wearing apparel;2016;0.2;0.2;;;;;0.2;;0.2;;
162;Total energy commodities;15 Manufacture of leather and footwear;2011;0.3;0.3;;;;;0.3;;0.3;0.0;
163;Total energy commodities;15 Manufacture of leather and footwear;2012;0.3;0.3;;;;;0.3;;0.3;0.0;
164;Total energy commodities;15 Manufacture of leather and footwear;2013;0.3;0.3;;;;;0.3;;0.3;0.0;
165;Total energy commodities;15 Manufacture of leather and footwear;2014;0.2;0.2;;;;;0.2;;0.2;;
166;Total energy commodities;15 Manufacture of leather and footwear;2015;0.2;0.2;;;;;0.2;;0.2;0.0;
167;Total energy commodities;15 Manufacture of leather and footwear;2016;0.5;0.5;;;;;0.5;;0.6;0.0;
168;Total energy commodities;16+23 Man of wooden and buildingmaterial;2011;30.5;30.3;0.0;0.2;0.6;0.4;30.5;2.0;28.6;0.1;0.0
169;Total energy commodities;16+23 Man of wooden and buildingmaterial;2012;28.4;28.2;0.0;0.2;0.6;0.4;28.4;1.9;26.5;0.1;0.0
170;Total energy commodities;16+23 Man of wooden and buildingmaterial;2013;26.3;26.1;;0.2;0.6;0.4;26.3;1.9;24.4;0.0;0.0
171;Total energy commodities;16+23 Man of wooden and buildingmaterial;2014;26.8;26.6;;0.2;0.6;0.4;26.8;2.0;24.9;0.0;0.0
172;Total energy commodities;16+23 Man of wooden and buildingmaterial;2015;27.6;27.3;;0.2;0.8;0.5;27.6;2.0;25.7;0.1;0.0
173;Total energy commodities;16+23 Man of wooden and buildingmaterial;2016;28.9;28.7;;0.2;0.8;0.6;28.9;2.1;27.5;0.7;0.0
174;Total energy commodities;16 Manufacture of wood products;2011;2.9;2.7;;0.2;0.2;0.0;2.9;1.0;1.9;0.1;
175;Total energy commodities;16 Manufacture of wood products;2012;2.8;2.7;;0.1;0.2;0.0;2.8;1.0;1.9;0.0;
176;Total energy commodities;16 Manufacture of wood products;2013;2.5;2.4;;0.1;0.2;0.1;2.5;1.1;1.5;0.0;
177;Total energy commodities;16 Manufacture of wood products;2014;3.0;2.8;;0.1;0.2;0.1;3.0;1.2;1.8;0.0;
178;Total energy commodities;16 Manufacture of wood products;2015;3.1;2.9;;0.2;0.4;0.3;3.1;1.3;1.8;0.1;
179;Total energy commodities;16 Manufacture of wood products;2016;3.2;3.0;;0.2;0.5;0.3;3.2;1.5;1.7;0.1;
180;Total energy commodities;17-18 Manufacture of paper and printing;2011;31.4;27.4;1.9;2.1;14.1;12.0;31.4;1.1;36.1;5.7;0.0
181;Total energy commodities;17-18 Manufacture of paper and printing;2012;31.0;27.5;1.3;2.2;14.0;11.8;31.0;1.3;35.1;5.4;0.0
182;Total energy commodities;17-18 Manufacture of paper and printing;2013;31.0;27.4;1.4;2.2;13.0;10.8;31.0;1.4;32.4;2.8;0.0
183;Total energy commodities;17-18 Manufacture of paper and printing;2014;28.4;24.3;1.5;2.6;13.1;10.5;28.4;1.4;28.7;1.7;
184;Total energy commodities;17-18 Manufacture of paper and printing;2015;27.2;23.7;1.7;1.8;9.9;8.1;27.2;1.5;26.1;0.5;
185;Total energy commodities;17-18 Manufacture of paper and printing;2016;26.6;24.3;0.7;1.5;9.0;7.4;26.6;1.5;25.5;0.4;
186;Total energy commodities;17 Manufacture of paper ;2011;27.6;23.6;1.9;2.1;14.1;12.0;27.6;1.1;32.3;5.7;0.0
187;Total energy commodities;17 Manufacture of paper ;2012;27.2;23.7;1.3;2.2;14.0;11.8;27.2;1.3;31.4;5.4;0.0
188;Total energy commodities;17 Manufacture of paper ;2013;27.8;24.2;1.4;2.1;13.0;10.8;27.8;1.4;29.2;2.8;0.0
189;Total energy commodities;17 Manufacture of paper ;2014;25.7;21.6;1.5;2.6;13.1;10.5;25.7;1.4;26.0;1.7;
190;Total energy commodities;17 Manufacture of paper ;2015;24.2;20.7;1.7;1.8;9.9;8.1;24.2;1.5;23.2;0.5;
191;Total energy commodities;17 Manufacture of paper ;2016;23.3;21.0;0.7;1.5;9.0;7.4;23.3;1.5;22.2;0.4;
192;Total energy commodities;18 Printing and reproduction;2011;3.8;3.8;;0.0;0.0;0.0;3.8;;3.8;0.0;
193;Total energy commodities;18 Printing and reproduction;2012;3.7;3.7;;0.0;0.0;0.0;3.7;;3.7;0.0;
194;Total energy commodities;18 Printing and reproduction;2013;3.2;3.2;;0.0;0.0;0.0;3.2;;3.2;0.0;
195;Total energy commodities;18 Printing and reproduction;2014;2.7;2.7;;0.0;0.0;0.0;2.7;;2.7;0.0;
196;Total energy commodities;18 Printing and reproduction;2015;2.9;2.9;;;;;2.9;;2.9;0.0;
197;Total energy commodities;18 Printing and reproduction;2016;3.3;3.3;;;;;3.3;;3.3;0.0;
198;Total energy commodities;19-22 Refineries and chemistry;2011;1072.8;450.3;547.0;75.5;2804.2;2728.6;1072.8;17.4;5716.7;4735.6;74.3
199;Total energy commodities;19-22 Refineries and chemistry;2012;1085.2;437.5;569.3;78.3;2802.0;2723.7;1085.2;17.4;5678.3;4572.8;-37.8
200;Total energy commodities;19-22 Refineries and chemistry;2013;1059.4;426.3;559.7;73.4;2722.8;2649.4;1059.4;18.1;5402.1;4375.1;14.3
201;Total energy commodities;19-22 Refineries and chemistry;2014;1054.7;421.2;553.9;79.6;2785.8;2706.2;1054.7;25.2;5562.8;4527.8;-5.5
202;Total energy commodities;19-22 Refineries and chemistry;2015;1047.5;422.1;548.8;76.6;2892.4;2815.9;1047.5;78.5;5839.4;4830.1;-40.3
203;Total energy commodities;19-22 Refineries and chemistry;2016;1052.4;432.5;553.9;66.0;2928.6;2862.6;1052.4;71.4;5643.5;4697.7;35.2
204;Total energy commodities;19 Manufacture of coke and petroleum ;2011;209.9;147.5;;62.5;2595.3;2532.8;209.9;0.2;4675.9;4539.8;73.7
205;Total energy commodities;19 Manufacture of coke and petroleum ;2012;203.8;137.3;;66.5;2582.5;2516.0;203.8;0.2;4595.3;4354.5;-37.2
206;Total energy commodities;19 Manufacture of coke and petroleum ;2013;189.3;131.6;;57.7;2513.7;2455.9;189.3;0.0;4332.2;4158.2;15.3
207;Total energy commodities;19 Manufacture of coke and petroleum ;2014;195.7;130.1;;65.7;2578.8;2513.2;195.7;0.0;4518.7;4315.9;-7.1
208;Total energy commodities;19 Manufacture of coke and petroleum ;2015;201.1;140.5;;60.5;2700.6;2640.0;201.1;13.3;4770.4;4553.3;-29.3
209;Total energy commodities;19 Manufacture of coke and petroleum ;2016;191.1;137.3;;53.8;2716.1;2662.3;191.1;17.0;4554.3;4411.8;31.6
210;Total energy commodities;191 Manufacture of coke oven products;2011;14.9;7.4;;7.5;85.0;77.6;14.9;;92.1;75.4;-1.8
211;Total energy commodities;191 Manufacture of coke oven products;2012;12.7;7.2;;5.5;78.8;73.3;12.7;;78.2;68.0;2.5
212;Total energy commodities;191 Manufacture of coke oven products;2013;12.3;7.4;;4.9;80.6;75.8;12.3;;82.2;69.8;-0.1
213;Total energy commodities;191 Manufacture of coke oven products;2014;14.0;7.7;;6.3;83.6;77.2;14.0;;84.5;71.9;1.4
214;Total energy commodities;191 Manufacture of coke oven products;2015;15.5;8.2;;7.3;85.0;77.7;15.5;;84.3;71.8;3.0
215;Total energy commodities;191 Manufacture of coke oven products;2016;14.5;8.1;;6.3;82.9;76.6;14.5;;83.8;70.5;1.2
216;Total energy commodities;192 Manufacture of refined petroleum;2011;195.1;140.1;;55.0;2510.3;2455.2;195.1;0.2;4583.8;4464.4;75.4
217;Total energy commodities;192 Manufacture of refined petroleum;2012;191.1;130.1;;61.0;2503.8;2442.8;191.1;0.2;4517.1;4286.5;-39.6
218;Total energy commodities;192 Manufacture of refined petroleum;2013;177.0;124.1;;52.9;2433.0;2380.2;177.0;0.0;4250.0;4088.4;15.3
219;Total energy commodities;192 Manufacture of refined petroleum;2014;181.7;122.4;;59.3;2495.3;2435.9;181.7;0.0;4434.2;4244.0;-8.4
220;Total energy commodities;192 Manufacture of refined petroleum;2015;185.5;132.3;;53.2;2615.6;2562.3;185.5;13.3;4686.1;4481.5;-32.3
221;Total energy commodities;192 Manufacture of refined petroleum;2016;176.7;129.1;;47.5;2633.2;2585.7;176.7;17.0;4470.5;4341.3;30.5
