ID;Persoonskenmerken;Marges;Perioden;TotaalOnlineAankopenVoorPrive_1;MinderDan3MaandenGeleden_2;k_3Tot12MaandenGeleden_3;MeerDan12MaandenGeleden_4;NogNooit_5;KledingSchoenenAccessoires_6;Sportartikelen_7;SpeelgoedBabyspullen_8;CosmeticaParfumSchoonheidsproducten_9;SchoonmaakmiddelenVerzorgingsartikelen_10;MeubelsWoonaccessoiresTuinartikelen_11;VoertuigenOfOnderdelen_12;EtenswarenDrank_13;MaaltijdenBesteld_14;MedicijnenVitaminepillen_15;GedrukteBoekenTijdschriftenKranten_16;ComputersTabletsMobieleTelefoon_17;ElektronicaHuishoudelijkeApparatuur_18;AndereGoederen_19;MuziekViaStreamingsdienstOfDownload_20;FilmsSeriesViaStreamingsdienst_21;EBooksOnlineTijdschriftenKranten_22;OnlineSpellenGamesOfDownload_23;ComputersoftwareOfSoftwareUpgrades_24;BetaaldeGezondheidsOfSportapps_25;AndereBetaaldeApps_26;KaartjesSportevenementen_27;KaartjesBioscoopCultureleEvenement_28;AbonnementVoorInternetOfTelefoon_29
12;Totaal personen;Bovengrens 95%-interval;2022;87.5;74.7;10.4;3.9;7.6;54.8;27.2;15.3;27.7;20.1;25.8;10.7;25.1;44.1;19.5;22.4;23.2;19.4;26.9;38.3;47.6;19.2;17.6;15.5;5.8;10.7;9.3;35.1;40.0
13;Totaal personen;Bovengrens 95%-interval;2023;91.4;79.6;9.4;4.0;7.4;58.2;28.7;15.4;30.2;22.0;25.3;10.8;23.6;42.8;20.2;22.4;22.2;18.7;31.5;41.1;49.2;20.3;17.5;16.0;6.4;12.5;11.2;43.7;45.7
14;Totaal personen;Bovengrens 95%-interval;2024;93.2;81.8;9.4;3.6;6.5;59.9;29.6;16.1;31.9;24.6;25.5;11.1;22.9;41.7;21.9;22.4;22.2;18.7;24.3;41.3;50.3;;16.8;17.9;7.1;15.0;;;50.2
15;Geslacht: mannen;Waarde;2020;87.3;72.9;10.2;4.1;6.1;45.0;25.9;12.3;16.3;12.9;23.7;12.5;18.7;37.5;13.7;20.3;28.0;21.8;32.8;35.8;44.0;16.6;22.3;21.4;4.7;12.2;9.4;29.5;32.6
16;Geslacht: mannen;Waarde;2021;87.6;77.4;7.5;2.8;5.6;54.3;30.0;16.1;21.7;18.9;29.5;14.8;26.5;48.3;17.4;24.5;28.9;26.3;37.1;37.8;47.1;18.4;22.0;19.9;6.3;11.6;2.7;7.4;36.2
17;Geslacht: mannen;Waarde;2022;88.0;75.4;9.4;3.3;6.5;50.1;28.6;13.8;21.5;16.3;25.5;14.2;24.2;45.1;17.8;20.5;27.3;22.3;30.8;39.9;48.5;18.8;22.2;19.8;6.0;13.2;12.0;34.1;40.6
18;Geslacht: mannen;Waarde;2023;91.8;78.7;9.3;3.8;6.5;50.5;29.3;13.6;20.3;16.7;24.7;13.3;22.0;41.7;17.6;19.0;25.7;21.8;36.0;41.6;48.1;18.8;22.4;19.3;6.0;15.6;13.9;40.4;44.4
19;Geslacht: mannen;Waarde;2024;93.5;81.2;9.1;3.2;5.5;53.9;30.7;15.1;22.7;20.1;24.3;14.8;20.3;42.1;19.6;20.0;25.6;22.4;27.3;43.2;50.9;;22.7;22.8;6.2;17.7;;;51.3
20;Geslacht: mannen;Ondergrens 95%-interval;2020;86.0;71.2;9.2;3.4;5.3;43.2;24.4;11.1;15.0;11.7;22.2;11.4;17.4;35.8;12.5;18.9;26.4;20.3;31.1;34.0;42.2;15.3;20.8;19.9;3.9;11.1;8.4;27.9;31.0
21;Geslacht: mannen;Ondergrens 95%-interval;2021;86.4;75.8;6.5;2.2;4.7;52.5;28.3;14.7;20.2;17.5;27.8;13.5;24.9;46.5;16.0;22.9;27.2;24.7;35.3;36.1;45.2;17.0;20.4;18.5;5.4;10.4;2.1;6.4;34.5
22;Geslacht: mannen;Ondergrens 95%-interval;2022;86.8;73.7;8.3;2.6;5.5;48.2;27.0;12.5;20.0;15.0;23.9;12.9;22.6;43.3;16.4;19.0;25.6;20.8;29.1;38.1;46.7;17.4;20.6;18.3;5.1;11.9;10.8;32.4;38.8
23;Geslacht: mannen;Ondergrens 95%-interval;2023;90.8;77.2;8.2;3.0;5.6;48.6;27.6;12.3;18.8;15.3;23.1;12.1;20.5;39.9;16.2;17.6;24.1;20.3;34.3;39.7;46.3;17.4;20.8;17.9;5.1;14.2;12.7;38.6;42.5
24;Geslacht: mannen;Ondergrens 95%-interval;2024;92.5;79.7;8.1;2.6;4.7;52.1;29.1;13.8;21.2;18.7;22.8;13.5;18.9;40.4;18.2;18.6;24.0;21.0;25.7;41.4;49.1;;21.2;21.3;5.4;16.4;;;49.4
25;Geslacht: mannen;Bovengrens 95%-interval;2020;88.5;74.5;11.3;4.9;7.0;46.7;27.5;13.4;17.6;14.1;25.2;13.7;20.1;39.3;15.0;21.7;29.6;23.2;34.5;37.5;45.7;17.8;23.8;22.8;5.5;13.4;10.4;31.2;34.3
26;Geslacht: mannen;Bovengrens 95%-interval;2021;88.9;79.0;8.5;3.4;6.5;56.2;31.7;17.5;23.2;20.4;31.2;16.0;28.1;50.2;18.8;26.1;30.5;28.0;38.8;39.6;48.9;19.8;23.5;21.4;7.2;12.8;3.3;8.3;38.0
27;Geslacht: mannen;Bovengrens 95%-interval;2022;89.2;77.0;10.5;3.9;7.4;51.9;30.3;15.1;23.0;17.7;27.1;15.5;25.8;47.0;19.2;22.0;28.9;23.9;32.5;41.7;50.4;20.2;23.7;21.2;6.9;14.4;13.2;35.9;42.4
28;Geslacht: mannen;Bovengrens 95%-interval;2023;92.8;80.3;10.4;4.5;7.4;52.3;31.0;14.8;21.8;18.0;26.2;14.6;23.5;43.5;19.0;20.5;27.3;23.3;37.8;43.4;50.0;20.2;23.9;20.8;6.8;16.9;15.2;42.2;46.2
29;Geslacht: mannen;Bovengrens 95%-interval;2024;94.4;82.6;10.3;3.9;6.5;55.7;32.4;16.4;24.3;21.6;25.9;16.1;21.8;43.9;21.1;21.4;27.2;24.0;28.9;45.0;52.7;;24.3;24.4;7.1;19.1;;;53.1
30;Geslacht: vrouwen;Waarde;2020;82.7;69.6;9.2;3.8;8.9;51.8;20.0;13.5;26.3;16.0;22.2;5.0;16.6;33.3;14.3;22.1;15.5;12.7;20.9;28.7;39.5;16.1;11.2;8.6;3.3;5.5;4.5;27.9;28.1
31;Geslacht: vrouwen;Waarde;2021;85.9;77.3;6.4;2.1;6.2;64.1;25.6;15.9;36.1;23.4;30.6;7.1;23.5;45.5;19.4;26.9;19.9;17.3;25.1;32.5;44.5;17.3;11.3;10.4;4.7;6.3;1.5;8.4;34.6
32;Geslacht: vrouwen;Waarde;2022;85.1;71.7;9.8;3.6;7.3;56.8;23.6;14.9;31.5;21.8;23.9;5.7;23.7;40.5;19.2;22.3;17.0;14.6;20.9;34.2;44.1;17.6;11.2;9.5;4.4;6.7;5.1;33.6;36.8
33;Geslacht: vrouwen;Waarde;2023;89.5;78.2;8.0;3.3;6.9;63.3;25.7;15.4;37.5;25.2;23.7;6.7;23.1;41.3;20.8;23.6;16.6;13.6;24.7;38.2;47.7;19.9;10.8;10.9;5.6;7.9;7.0;44.4;44.5
34;Geslacht: vrouwen;Waarde;2024;91.5;80.4;8.2;3.0;6.2;63.4;26.2;15.3;38.4;26.9;24.4;5.8;23.3;38.8;22.1;22.7;16.7;13.0;19.2;37.0;47.1;;9.0;11.1;6.7;10.4;;;46.6
35;Geslacht: vrouwen;Ondergrens 95%-interval;2020;81.2;67.9;8.2;3.1;7.8;50.0;18.6;12.3;24.8;14.7;20.7;4.3;15.3;31.6;13.1;20.6;14.2;11.5;19.4;27.1;37.7;14.8;10.1;7.7;2.7;4.7;3.8;26.3;26.5
36;Geslacht: vrouwen;Ondergrens 95%-interval;2021;84.5;75.7;5.5;1.6;5.3;62.3;24.0;14.5;34.3;21.8;28.9;6.2;21.9;43.6;17.9;25.3;18.4;15.8;23.5;30.7;42.6;15.9;10.1;9.2;3.9;5.4;1.0;7.3;32.8
37;Geslacht: vrouwen;Ondergrens 95%-interval;2022;83.8;70.1;8.7;2.9;6.3;55.0;22.0;13.6;29.8;20.2;22.3;4.8;22.2;38.7;17.7;20.8;15.7;13.3;19.4;32.5;42.3;16.2;10.0;8.5;3.6;5.8;4.3;31.9;35.1
38;Geslacht: vrouwen;Ondergrens 95%-interval;2023;88.4;76.7;7.0;2.6;6.0;61.6;24.1;14.0;35.7;23.6;22.1;5.8;21.6;39.5;19.3;22.1;15.3;12.3;23.2;36.4;45.9;18.5;9.6;9.7;4.8;6.9;6.1;42.6;42.7
39;Geslacht: vrouwen;Ondergrens 95%-interval;2024;90.3;78.8;7.2;2.4;5.4;61.6;24.6;14.0;36.7;25.3;22.9;5.0;21.8;37.0;20.6;21.2;15.4;11.8;17.8;35.3;45.3;;8.0;10.0;5.9;9.4;;;44.8
40;Geslacht: vrouwen;Bovengrens 95%-interval;2020;84.1;71.3;10.3;4.6;9.9;53.6;21.4;14.7;27.9;17.3;23.7;5.8;18.0;35.0;15.5;23.5;16.8;13.9;22.3;30.3;41.2;17.4;12.4;9.6;4.0;6.3;5.2;29.5;29.7
41;Geslacht: vrouwen;Bovengrens 95%-interval;2021;87.3;79.0;7.3;2.7;7.2;65.9;27.2;17.3;37.9;25.0;32.3;8.1;25.0;47.4;20.9;28.6;21.4;18.7;26.7;34.2;46.4;18.7;12.5;11.5;5.4;7.2;1.9;9.4;36.4
42;Geslacht: vrouwen;Bovengrens 95%-interval;2022;86.5;73.4;10.9;4.2;8.3;58.6;25.1;16.2;33.2;23.3;25.4;6.5;25.3;42.3;20.6;23.8;18.4;15.9;22.4;36.0;45.9;19.0;12.4;10.6;5.1;7.7;5.9;35.3;38.6
43;Geslacht: vrouwen;Bovengrens 95%-interval;2023;90.6;79.8;9.0;4.0;7.9;65.1;27.3;16.7;39.3;26.8;25.3;7.7;24.6;43.1;22.3;25.1;18.0;14.8;26.3;40.0;49.5;21.3;11.9;12.0;6.4;8.9;8.0;46.2;46.3
44;Geslacht: vrouwen;Bovengrens 95%-interval;2024;92.5;81.8;9.3;3.7;7.2;65.2;27.8;16.6;40.2;28.5;26.0;6.7;24.9;40.6;23.7;24.2;18.1;14.3;20.7;38.8;48.9;;10.1;12.3;7.7;11.6;;;48.4
45;Leeftijd: 12 tot 25 jaar;Waarde;2020;87.8;73.8;11.5;2.6;7.4;57.0;28.6;4.8;21.8;10.3;14.3;6.4;14.7;42.1;8.3;19.9;26.8;12.2;22.9;43.3;48.7;9.7;29.4;16.1;4.4;7.7;7.0;30.5;36.8
46;Leeftijd: 12 tot 25 jaar;Waarde;2021;86.5;76.0;8.5;1.9;7.5;63.0;31.0;6.2;28.1;16.2;17.6;7.5;21.1;53.3;10.7;20.1;28.0;13.8;25.8;44.9;47.9;9.2;27.3;15.2;4.7;9.0;3.0;9.6;41.0
47;Leeftijd: 12 tot 25 jaar;Waarde;2022;85.4;70.8;12.2;2.4;10.0;56.0;28.3;4.9;24.7;10.9;12.4;7.2;20.5;47.2;10.7;16.1;25.1;10.7;22.3;42.6;44.2;8.4;26.0;12.6;4.5;8.5;11.7;40.6;38.8
48;Leeftijd: 12 tot 25 jaar;Waarde;2023;93.0;82.4;8.2;2.4;7.0;62.9;33.1;6.0;32.0;16.4;15.0;9.6;17.6;47.3;13.8;18.6;25.2;12.0;31.2;47.5;48.5;8.5;26.6;14.8;5.5;11.7;14.3;49.4;44.4
49;Leeftijd: 12 tot 25 jaar;Waarde;2024;93.7;79.9;12.0;1.8;6.3;62.1;32.3;4.6;31.8;16.8;13.5;10.4;16.6;46.2;14.5;18.9;24.0;11.6;17.8;40.5;40.4;;27.2;13.5;5.8;11.9;;;42.1
50;Leeftijd: 12 tot 25 jaar;Ondergrens 95%-interval;2020;85.8;71.1;9.5;1.6;5.9;54.0;25.8;3.4;19.2;8.4;12.1;4.9;12.5;39.1;6.6;17.5;24.1;10.2;20.3;40.3;45.7;7.9;26.7;13.9;3.1;6.0;5.4;27.7;33.8
51;Leeftijd: 12 tot 25 jaar;Ondergrens 95%-interval;2021;84.3;73.3;6.8;1.1;5.9;60.0;28.3;4.7;25.4;13.9;15.3;5.9;18.6;50.3;8.8;17.6;25.3;11.7;23.2;41.9;44.9;7.4;24.6;12.9;3.4;7.2;2.0;7.8;38.0
52;Leeftijd: 12 tot 25 jaar;Ondergrens 95%-interval;2022;83.1;67.9;10.1;1.4;8.1;52.8;25.4;3.5;22.0;9.0;10.3;5.5;17.9;44.0;8.7;13.7;22.4;8.7;19.7;39.5;41.1;6.6;23.2;10.4;3.2;6.7;9.6;37.5;35.7
53;Leeftijd: 12 tot 25 jaar;Ondergrens 95%-interval;2023;91.4;80.0;6.4;1.3;5.3;59.8;30.1;4.4;29.0;14.0;12.7;7.6;15.1;44.2;11.6;16.1;22.5;9.9;28.3;44.3;45.4;6.6;23.8;12.5;4.1;9.6;12.2;46.3;41.3
54;Leeftijd: 12 tot 25 jaar;Ondergrens 95%-interval;2024;92.0;77.3;10.1;1.1;4.9;59.0;29.5;3.4;29.0;14.5;11.5;8.6;14.4;43.1;12.4;16.6;21.5;9.8;15.6;37.5;37.4;;24.6;11.5;4.4;10.0;;;39.0
55;Leeftijd: 12 tot 25 jaar;Bovengrens 95%-interval;2020;89.9;76.5;13.4;3.5;9.0;60.0;31.3;6.1;24.3;12.2;16.5;7.9;16.9;45.1;10.0;22.4;29.5;14.3;25.4;46.3;51.8;11.5;32.2;18.4;5.7;9.3;8.5;33.3;39.7
56;Leeftijd: 12 tot 25 jaar;Bovengrens 95%-interval;2021;88.7;78.7;10.3;2.8;9.2;65.9;33.8;7.7;30.9;18.5;19.9;9.1;23.6;56.4;12.6;22.5;30.7;16.0;28.5;48.0;50.9;11.0;30.0;17.4;5.9;10.7;4.0;11.3;44.0
57;Leeftijd: 12 tot 25 jaar;Bovengrens 95%-interval;2022;87.7;73.8;14.3;3.4;11.9;59.1;31.1;6.3;27.5;12.9;14.5;8.8;23.1;50.4;12.7;18.4;27.8;12.7;25.0;45.8;47.3;10.2;28.8;14.7;5.9;10.3;13.7;43.7;41.9
58;Leeftijd: 12 tot 25 jaar;Bovengrens 95%-interval;2023;94.7;84.9;9.9;3.5;8.6;66.0;36.1;7.6;34.9;18.9;17.4;11.5;20.0;50.5;16.1;21.1;28.0;14.1;34.1;50.6;51.7;10.3;29.4;17.1;7.0;13.8;16.5;52.6;47.6
59;Leeftijd: 12 tot 25 jaar;Bovengrens 95%-interval;2024;95.1;82.3;14.1;2.9;8.0;65.1;35.2;6.3;34.8;19.3;15.8;12.5;19.1;49.3;16.8;21.5;26.7;13.8;20.3;43.6;43.5;;30.1;15.7;7.4;14.1;;;45.1
60;Leeftijd: 25 tot 35 jaar;Waarde;2020;94.1;84.9;6.8;2.4;0.8;63.4;31.4;26.4;30.3;22.4;37.0;12.1;28.9;63.0;18.1;25.9;26.3;24.0;36.7;50.4;65.3;17.7;29.2;19.8;7.5;15.1;8.8;35.8;42.5
61;Leeftijd: 25 tot 35 jaar;Waarde;2021;95.5;90.2;4.5;0.8;;74.5;39.4;34.1;39.3;33.8;46.1;15.5;37.9;74.9;23.5;33.4;31.3;30.1;38.9;57.5;70.0;19.1;26.3;19.5;9.5;13.8;3.9;11.2;54.2
62;Leeftijd: 25 tot 35 jaar;Waarde;2022;94.7;87.5;5.2;1.9;1.5;71.8;36.7;30.6;37.7;32.3;40.7;12.7;38.9;72.1;23.8;28.3;28.7;26.8;33.2;60.9;72.7;20.6;29.2;18.4;8.9;17.3;12.8;46.1;58.0
63;Leeftijd: 25 tot 35 jaar;Waarde;2023;99.0;93.4;4.7;1.0;1.0;72.5;40.1;31.2;39.2;32.1;38.1;12.7;37.5;69.9;26.6;26.2;25.9;25.9;39.9;64.6;71.2;22.1;31.7;17.1;10.8;19.3;16.3;51.8;66.2
64;Leeftijd: 25 tot 35 jaar;Waarde;2024;99.4;93.9;5.0;0.5;0.6;74.7;39.0;30.8;43.1;38.2;38.8;13.4;34.1;68.0;29.9;25.6;30.6;22.5;26.2;66.5;70.4;;27.4;22.4;10.7;22.8;;;69.8
65;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2020;92.0;82.0;4.9;1.1;0.1;59.6;27.8;23.1;26.7;19.2;33.3;9.6;25.4;59.3;15.1;22.5;22.9;20.6;32.9;46.5;61.5;14.8;25.6;16.8;5.5;12.4;6.6;32.1;38.7
66;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2021;93.8;87.9;2.9;0.1;;71.3;35.8;30.7;35.7;30.3;42.5;12.9;34.4;71.6;20.4;29.9;27.9;26.7;35.3;53.8;66.6;16.2;23.1;16.6;7.4;11.3;2.6;8.9;50.6
67;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2022;92.9;85.0;3.5;0.9;0.5;68.4;33.2;27.3;34.1;28.9;37.1;10.3;35.3;68.8;20.7;25.0;25.3;23.6;29.8;57.3;69.4;17.7;25.8;15.5;6.9;14.6;10.3;42.4;54.4
68;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2023;98.2;91.3;2.9;0.2;0.2;69.1;36.5;27.9;35.6;28.6;34.5;10.2;33.9;66.4;23.4;23.0;22.6;22.7;36.3;61.0;67.8;19.0;28.3;14.3;8.6;16.3;13.6;48.1;62.7
69;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2024;98.4;91.9;3.6;0.2;0.2;71.5;35.6;27.7;39.6;34.8;35.4;11.1;30.8;64.6;26.8;22.6;27.4;19.6;23.2;63.1;67.0;;24.4;19.6;8.7;19.9;;;66.4
70;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2020;96.1;87.8;8.8;3.6;1.5;67.1;35.0;29.8;33.8;25.6;40.7;14.6;32.4;66.8;21.1;29.2;29.7;27.3;40.4;54.3;69.0;20.6;32.7;22.9;9.5;17.8;10.9;39.5;46.4
71;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2021;97.2;92.5;6.1;1.4;;77.8;42.9;37.6;42.9;37.3;49.8;18.2;41.4;78.1;26.6;36.8;34.7;33.5;42.5;61.1;73.4;21.9;29.5;22.4;11.6;16.3;5.3;13.5;57.9
72;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2022;96.5;90.1;7.0;2.9;2.5;75.1;40.2;33.9;41.2;35.7;44.3;15.2;42.4;75.4;26.9;31.6;32.0;30.1;36.7;64.5;76.1;23.5;32.6;21.2;11.0;20.1;15.2;49.7;61.7
73;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2023;99.8;95.4;6.4;1.8;1.8;75.9;43.7;34.6;42.7;35.5;41.7;15.1;41.0;73.4;29.8;29.4;29.1;29.0;43.5;68.2;74.7;25.2;35.2;19.9;13.1;22.2;19.0;55.5;69.8
74;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2024;99.8;95.4;6.8;1.4;1.6;77.7;42.5;34.2;46.6;41.7;42.4;16.0;37.5;71.3;33.3;28.8;33.9;25.6;29.4;69.9;73.6;;30.7;25.5;13.1;25.9;;;73.0
75;Leeftijd: 35 tot 45 jaar;Waarde;2020;93.5;86.1;5.6;1.8;1.6;66.5;39.7;34.2;33.0;24.8;36.9;16.0;30.3;54.6;20.4;28.4;30.8;26.3;35.3;43.9;63.2;22.4;22.6;18.9;8.3;16.2;11.7;35.7;35.7
76;Leeftijd: 35 tot 45 jaar;Waarde;2021;95.0;88.4;4.8;1.8;1.5;74.3;41.1;36.1;40.2;32.6;44.9;17.1;38.5;64.2;25.0;31.0;33.2;31.6;39.8;42.6;65.0;20.0;26.8;21.4;8.6;16.5;1.9;8.1;41.5
77;Leeftijd: 35 tot 45 jaar;Waarde;2022;94.9;87.5;5.2;2.2;0.9;69.9;41.1;34.4;38.9;33.4;37.9;17.5;33.9;62.5;27.2;27.0;29.7;28.0;33.7;50.4;68.1;22.6;25.3;17.8;9.3;16.2;11.7;42.9;48.4
78;Leeftijd: 35 tot 45 jaar;Waarde;2023;98.7;89.5;7.4;1.8;1.1;71.7;44.4;33.4;40.1;33.7;36.1;17.8;36.5;59.4;27.2;28.6;28.8;26.0;38.0;54.2;67.3;24.9;20.9;21.1;9.5;16.7;13.7;54.5;55.5
79;Leeftijd: 35 tot 45 jaar;Waarde;2024;98.5;94.2;3.2;1.0;1.5;77.5;44.9;36.6;42.7;38.0;36.5;16.9;35.2;56.3;27.1;25.9;27.5;28.5;31.1;55.7;69.2;;24.8;25.1;10.6;22.0;;;63.0
80;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2020;91.5;83.5;4.0;0.8;0.7;63.2;36.5;31.0;29.8;22.0;33.6;13.6;27.3;51.2;17.7;25.4;27.7;23.4;32.1;40.5;59.9;19.6;19.8;16.3;6.4;13.7;9.5;32.5;32.5
81;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2021;93.2;85.8;3.1;0.7;0.5;70.9;37.5;32.6;36.6;29.2;41.3;14.4;35.0;60.7;21.8;27.6;29.8;28.2;36.2;39.0;61.4;17.1;23.5;18.4;6.7;13.7;1.0;6.1;37.9
82;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2022;93.1;84.9;3.6;1.0;0.2;66.5;37.5;31.0;35.4;30.0;34.4;14.7;30.5;59.0;24.0;23.8;26.3;24.7;30.3;46.8;64.6;19.6;22.2;15.0;7.2;13.6;9.4;39.4;44.7
83;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2023;97.7;87.1;5.4;0.7;0.3;68.4;40.9;30.1;36.6;30.4;32.8;15.1;33.2;55.9;24.1;25.5;25.6;22.9;34.6;50.6;63.9;22.0;18.1;18.3;7.5;14.1;11.4;50.9;52.0
84;Leeftijd: 35 tot 45 jaar;Ondergrens 95%-interval;2024;97.2;92.2;2.1;0.5;0.8;74.4;41.5;33.4;39.4;34.7;33.2;14.5;32.0;52.9;24.2;23.1;24.6;25.5;28.1;52.2;65.8;;21.9;22.2;8.6;19.3;;;59.6
85;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2020;95.4;88.6;7.3;2.7;2.5;69.7;43.0;37.3;36.1;27.7;40.1;18.5;33.4;57.9;23.1;31.4;33.9;29.2;38.5;47.2;66.5;25.1;25.4;21.5;10.1;18.6;13.8;38.9;39.0
86;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2021;96.8;91.0;6.5;2.8;2.5;77.6;44.8;39.6;43.8;36.0;48.6;19.9;42.1;67.8;28.2;34.3;36.7;35.0;43.3;46.2;68.6;22.8;30.0;24.4;10.6;19.2;2.9;10.1;45.1
87;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2022;96.7;90.0;6.9;3.3;1.7;73.3;44.6;37.8;42.5;36.8;41.4;20.3;37.3;66.1;30.4;30.1;33.0;31.2;37.1;54.0;71.5;25.6;28.5;20.5;11.3;18.9;13.9;46.5;52.0
88;Leeftijd: 35 tot 45 jaar;Bovengrens 95%-interval;2023;99.6;91.9;9.5;2.8;1.9;75.0;47.9;36.7;43.5;37.0;39.5;20.5;39.9;62.9;30.4;31.8;32.0;29.1;41.5;57.7;70.8;27.9;23.7;24.0;11.5;19.3;16.0;58.0;59.0
