ID;Beroepsniveau;BedrijfsgrootteSBI93;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
18;Totaal beroepsniveau;01-05 Landbouw en visserij;2002;101.0;58.0;13.62;1540.0;19.8;26.8
19;Totaal beroepsniveau;01-05 Landbouw en visserij;2003;;;;;;
20;Totaal beroepsniveau;10-14 Delftstoffenwinnig;2002;8.6;7.9;26.71;3813.0;54.2;56.2
21;Totaal beroepsniveau;10-14 Delftstoffenwinnig;2003;;;;;;
22;Totaal beroepsniveau;15-37 Industrie;2002;915.4;750.2;17.13;2257.0;31.0;34.2
23;Totaal beroepsniveau;15-37 Industrie;2003;;;;;;
24;Totaal beroepsniveau;40-41 Energie- en waterleidingbedrijven;2002;30.1;26.1;22.83;3070.0;42.2;44.7
25;Totaal beroepsniveau;40-41 Energie- en waterleidingbedrijven;2003;;;;;;
26;Totaal beroepsniveau;45 Bouwnijverheid;2002;400.4;358.1;17.1;2307.0;31.1;32.9
27;Totaal beroepsniveau;45 Bouwnijverheid;2003;;;;;;
28;Totaal beroepsniveau;50-52 Handel;2002;1190.0;613.0;14.5;1545.0;20.7;31.5
29;Totaal beroepsniveau;50-52 Handel;2003;;;;;;
30;Totaal beroepsniveau;55 Horeca;2002;260.9;79.5;11.78;962.0;12.3;24.2
31;Totaal beroepsniveau;55 Horeca;2003;;;;;;
32;Totaal beroepsniveau;60-64 Vervoer en communicatie;2002;444.9;320.7;16.2;2046.0;29.0;34.6
33;Totaal beroepsniveau;60-64 Vervoer en communicatie;2003;;;;;;
34;Totaal beroepsniveau;65-67 Financiële instellingen;2002;262.2;184.1;21.96;2768.0;40.4;47.8
35;Totaal beroepsniveau;65-67 Financiële instellingen;2003;;;;;;
36;Totaal beroepsniveau;70-74 Zakelijke dienstverlening;2002;1120.7;536.5;17.63;1974.0;25.1;39.3
37;Totaal beroepsniveau;70-74 Zakelijke dienstverlening;2003;;;;;;
38;Totaal beroepsniveau;75 Openbaar bestuur;2002;514.0;376.7;20.19;2573.0;34.1;38.0
39;Totaal beroepsniveau;75 Openbaar bestuur;2003;;;;;;
40;Totaal beroepsniveau;801-803 Gesubsidieerde onderwijs;2002;431.9;200.7;20.68;2294.0;30.5;40.4
41;Totaal beroepsniveau;801-803 Gesubsidieerde onderwijs;2003;;;;;;
42;Totaal beroepsniveau;85 Gezondheids- en welzijnzorg;2002;1019.3;238.2;17.35;1622.0;21.2;34.6
43;Totaal beroepsniveau;85 Gezondheids- en welzijnzorg;2003;;;;;;
44;Totaal beroepsniveau;90-93,804 Cultuur en overige dienstv.;2002;297.1;137.6;16.57;1758.0;23.1;33.9
45;Totaal beroepsniveau;90-93,804 Cultuur en overige dienstv.;2003;;;;;;
46;Totaal beroepsniveau;15-16 Voedings- en genotmiddelenind.;2002;139.5;104.0;17.27;2147.0;29.5;35.3
47;Totaal beroepsniveau;15-16 Voedings- en genotmiddelenind.;2003;;;;;;
48;Totaal beroepsniveau;22 Grafische industrie;2002;78.6;57.9;19.9;2518.0;33.5;38.1
49;Totaal beroepsniveau;22 Grafische industrie;2003;;;;;;
50;Totaal beroepsniveau;23-25 Aardolie- en chemische industrie;2002;109.1;95.1;20.41;2773.0;39.2;41.7
51;Totaal beroepsniveau;23-25 Aardolie- en chemische industrie;2003;;;;;;
52;Totaal beroepsniveau;27-35 Metaal- en elektrotechnische ind.;2002;344.9;303.6;17.32;2363.0;32.7;34.6
53;Totaal beroepsniveau;27-35 Metaal- en elektrotechnische ind.;2003;;;;;;
54;Totaal beroepsniveau;Rest industrie;2002;243.3;189.7;14.34;1855.0;24.9;27.9
55;Totaal beroepsniveau;Rest industrie;2003;;;;;;
56;Totaal beroepsniveau;50 Autohandel en - reparatie;2002;130.0;96.1;14.58;1817.0;23.7;28.4
57;Totaal beroepsniveau;50 Autohandel en - reparatie;2003;;;;;;
58;Totaal beroepsniveau;51 Groothandel;2002;428.4;329.1;17.32;2261.0;31.1;36.0
59;Totaal beroepsniveau;51 Groothandel;2003;;;;;;
60;Totaal beroepsniveau;52 Detailhandel;2002;631.6;187.8;11.6;1003.0;13.0;25.2
61;Totaal beroepsniveau;52 Detailhandel;2003;;;;;;
62;Totaal beroepsniveau;60 Openbaar vervoer en wegvervoer;2002;188.9;148.5;14.06;1855.0;28.3;32.6
63;Totaal beroepsniveau;60 Openbaar vervoer en wegvervoer;2003;;;;;;
64;Totaal beroepsniveau;61-64 Rest vervoer en communicatie;2002;256.0;172.2;17.9;2187.0;29.6;36.3
65;Totaal beroepsniveau;61-64 Rest vervoer en communicatie;2003;;;;;;
66;Totaal beroepsniveau;8511 Ziekenhuizen;2002;285.3;98.7;19.32;2002.0;26.5;36.7
67;Totaal beroepsniveau;8511 Ziekenhuizen;2003;;;;;;
68;Totaal beroepsniveau;8531 Verpleeg- en bejaardentehuizen;2002;350.8;66.2;15.8;1427.0;18.9;30.5
69;Totaal beroepsniveau;8531 Verpleeg- en bejaardentehuizen;2003;;;;;;
70;Totaal beroepsniveau;Rest gezondheids- en welzijnzorg;2002;383.2;73.2;17.09;1516.0;19.6;35.4
71;Totaal beroepsniveau;Rest gezondheids- en welzijnzorg;2003;;;;;;
72;Elementair;Totaal bedrijfsgrootte;2002;617.9;246.7;11.37;1071.0;13.8;23.4
73;Elementair;Totaal bedrijfsgrootte;2003;;;;;;
74;Elementair;Bedrijfsgrootte < 10 werknemers;2002;74.0;15.9;10.38;683.0;8.1;20.8
75;Elementair;Bedrijfsgrootte < 10 werknemers;2003;;;;;;
76;Elementair;Bedrijfsgrootte 10-99 werknemers;2002;187.1;101.9;11.02;1171.0;15.5;22.6
77;Elementair;Bedrijfsgrootte 10-99 werknemers;2003;;;;;;
78;Elementair;Bedrijfsgrootte >- 100 werknemers;2002;356.8;128.9;11.72;1099.0;14.2;24.4
79;Elementair;Bedrijfsgrootte >- 100 werknemers;2003;;;;;;
80;Elementair;SBI'93 totaal;2002;617.9;246.7;11.37;1071.0;13.8;23.4
81;Elementair;SBI'93 totaal;2003;;;;;;
82;Elementair;01-05 Landbouw en visserij;2002;;;;;;
83;Elementair;01-05 Landbouw en visserij;2003;;;;;;
84;Elementair;10-45 Industrie en bouwnijverheid;2002;106.3;84.1;12.75;1641.0;21.6;23.9
85;Elementair;10-45 Industrie en bouwnijverheid;2003;;;;;;
86;Elementair;50-74 Commerciële dienstverlening;2002;411.8;132.6;10.73;937.0;11.9;23.4
87;Elementair;50-74 Commerciële dienstverlening;2003;;;;;;
88;Elementair;75-93 Niet-commerciële dienstverlening;2002;94.0;27.7;12.23;1040.0;13.5;23.3
89;Elementair;75-93 Niet-commerciële dienstverlening;2003;;;;;;
90;Elementair;01-05 Landbouw en visserij;2002;;;;;;
91;Elementair;01-05 Landbouw en visserij;2003;;;;;;
92;Elementair;10-14 Delftstoffenwinnig;2002;;;;;;
93;Elementair;10-14 Delftstoffenwinnig;2003;;;;;;
94;Elementair;15-37 Industrie;2002;91.3;70.5;12.14;1563.0;21.2;23.5
95;Elementair;15-37 Industrie;2003;;;;;;
96;Elementair;40-41 Energie- en waterleidingbedrijven;2002;;;;;;
97;Elementair;40-41 Energie- en waterleidingbedrijven;2003;;;;;;
98;Elementair;45 Bouwnijverheid;2002;;;;;;
99;Elementair;45 Bouwnijverheid;2003;;;;;;
100;Elementair;50-52 Handel;2002;166.3;74.8;10.42;999.0;13.3;21.7
101;Elementair;50-52 Handel;2003;;;;;;
102;Elementair;55 Horeca;2002;61.2;11.1;9.65;690.0;8.7;18.2
103;Elementair;55 Horeca;2003;;;;;;
104;Elementair;60-64 Vervoer en communicatie;2002;39.2;18.4;12.15;1225.0;15.5;25.2
105;Elementair;60-64 Vervoer en communicatie;2003;;;;;;
106;Elementair;65-67 Financiële instellingen;2002;;;;;;
107;Elementair;65-67 Financiële instellingen;2003;;;;;;
108;Elementair;70-74 Zakelijke dienstverlening;2002;141.4;26.9;11.12;896.0;10.8;29.0
109;Elementair;70-74 Zakelijke dienstverlening;2003;;;;;;
110;Elementair;75 Openbaar bestuur;2002;14.5;10.1;13.49;1649.0;21.2;24.7
111;Elementair;75 Openbaar bestuur;2003;;;;;;
112;Elementair;801-803 Gesubsidieerde onderwijs;2002;9.8;;11.73;830.0;10.9;20.1
113;Elementair;801-803 Gesubsidieerde onderwijs;2003;;;;;;
114;Elementair;85 Gezondheids- en welzijnzorg;2002;55.5;10.4;11.81;921.0;12.3;22.3
115;Elementair;85 Gezondheids- en welzijnzorg;2003;;;;;;
116;Elementair;90-93,804 Cultuur en overige dienstv.;2002;14.2;5.4;12.16;1029.0;12.2;23.7
117;Elementair;90-93,804 Cultuur en overige dienstv.;2003;;;;;;
118;Elementair;15-16 Voedings- en genotmiddelenind.;2002;23.2;18.0;12.73;1623.0;22.3;24.6
119;Elementair;15-16 Voedings- en genotmiddelenind.;2003;;;;;;
120;Elementair;22 Grafische industrie;2002;;;;;;
121;Elementair;22 Grafische industrie;2003;;;;;;
122;Elementair;23-25 Aardolie- en chemische industrie;2002;7.0;6.3;12.98;1776.0;24.8;25.9
123;Elementair;23-25 Aardolie- en chemische industrie;2003;;;;;;
124;Elementair;27-35 Metaal- en elektrotechnische ind.;2002;19.7;16.2;12.59;1676.0;23.1;25.0
125;Elementair;27-35 Metaal- en elektrotechnische ind.;2003;;;;;;
126;Elementair;Rest industrie;2002;39.5;28.2;11.29;1417.0;18.8;21.2
127;Elementair;Rest industrie;2003;;;;;;
128;Elementair;50 Autohandel en - reparatie;2002;;;;;;
129;Elementair;50 Autohandel en - reparatie;2003;;;;;;
130;Elementair;51 Groothandel;2002;64.5;45.4;10.97;1367.0;18.8;22.9
131;Elementair;51 Groothandel;2003;;;;;;
132;Elementair;52 Detailhandel;2002;88.6;18.7;9.26;653.0;8.2;18.1
133;Elementair;52 Detailhandel;2003;;;;;;
134;Elementair;60 Openbaar vervoer en wegvervoer;2002;;;;;;
135;Elementair;60 Openbaar vervoer en wegvervoer;2003;;;;;;
136;Elementair;61-64 Rest vervoer en communicatie;2002;22.9;12.9;14.08;1540.0;20.6;27.6
137;Elementair;61-64 Rest vervoer en communicatie;2003;;;;;;
138;Elementair;8511 Ziekenhuizen;2002;14.7;4.0;12.78;1090.0;14.6;23.1
139;Elementair;8511 Ziekenhuizen;2003;;;;;;
140;Elementair;8531 Verpleeg- en bejaardentehuizen;2002;28.6;5.0;11.74;861.0;11.6;22.5
141;Elementair;8531 Verpleeg- en bejaardentehuizen;2003;;;;;;
142;Elementair;Rest gezondheids- en welzijnzorg;2002;12.2;1.4;10.72;858.0;11.2;19.5
143;Elementair;Rest gezondheids- en welzijnzorg;2003;;;;;;
144;Lager;Totaal bedrijfsgrootte;2002;1663.0;884.6;13.21;1441.0;19.4;27.3
145;Lager;Totaal bedrijfsgrootte;2003;;;;;;
146;Lager;Bedrijfsgrootte < 10 werknemers;2002;379.1;167.6;12.2;1214.0;16.0;26.2
147;Lager;Bedrijfsgrootte < 10 werknemers;2003;;;;;;
148;Lager;Bedrijfsgrootte 10-99 werknemers;2002;432.4;275.6;13.34;1549.0;21.2;27.4
149;Lager;Bedrijfsgrootte 10-99 werknemers;2003;;;;;;
150;Lager;Bedrijfsgrootte >- 100 werknemers;2002;851.5;441.3;13.55;1487.0;20.0;27.7
151;Lager;Bedrijfsgrootte >- 100 werknemers;2003;;;;;;
152;Lager;SBI'93 totaal;2002;1663.0;884.6;13.21;1441.0;19.4;27.3
153;Lager;SBI'93 totaal;2003;;;;;;
154;Lager;01-05 Landbouw en visserij;2002;49.6;27.0;11.66;1355.0;16.6;21.5
155;Lager;01-05 Landbouw en visserij;2003;;;;;;
156;Lager;10-45 Industrie en bouwnijverheid;2002;404.2;354.6;14.99;1990.0;26.9;28.6
157;Lager;10-45 Industrie en bouwnijverheid;2003;;;;;;
158;Lager;50-74 Commerciële dienstverlening;2002;878.4;363.9;12.04;1210.0;16.6;27.0
159;Lager;50-74 Commerciële dienstverlening;2003;;;;;;
160;Lager;75-93 Niet-commerciële dienstverlening;2002;330.9;139.1;13.71;1395.0;18.2;25.8
161;Lager;75-93 Niet-commerciële dienstverlening;2003;;;;;;
162;Lager;01-05 Landbouw en visserij;2002;49.6;27.0;11.66;1355.0;16.6;21.5
163;Lager;01-05 Landbouw en visserij;2003;;;;;;
164;Lager;10-14 Delftstoffenwinnig;2002;;;;;;
165;Lager;10-14 Delftstoffenwinnig;2003;;;;;;
166;Lager;15-37 Industrie;2002;231.1;189.3;14.03;1797.0;25.0;27.6
167;Lager;15-37 Industrie;2003;;;;;;
168;Lager;40-41 Energie- en waterleidingbedrijven;2002;3.1;2.4;16.84;2157.0;30.5;33.7
169;Lager;40-41 Energie- en waterleidingbedrijven;2003;;;;;;
170;Lager;45 Bouwnijverheid;2002;169.1;162.2;16.16;2248.0;29.4;29.7
171;Lager;45 Bouwnijverheid;2003;;;;;;
172;Lager;50-52 Handel;2002;409.6;141.0;10.91;1018.0;13.8;23.4
173;Lager;50-52 Handel;2003;;;;;;
174;Lager;55 Horeca;2002;99.5;25.0;10.34;819.0;10.1;21.2
175;Lager;55 Horeca;2003;;;;;;
176;Lager;60-64 Vervoer en communicatie;2002;182.0;134.0;13.75;1752.0;26.6;31.9
177;Lager;60-64 Vervoer en communicatie;2003;;;;;;
178;Lager;65-67 Financiële instellingen;2002;35.0;16.1;14.71;1466.0;21.4;30.1
179;Lager;65-67 Financiële instellingen;2003;;;;;;
180;Lager;70-74 Zakelijke dienstverlening;2002;152.3;47.8;12.54;1275.0;15.1;25.9
181;Lager;70-74 Zakelijke dienstverlening;2003;;;;;;
182;Lager;75 Openbaar bestuur;2002;90.5;66.3;15.23;1921.0;25.6;28.7
183;Lager;75 Openbaar bestuur;2003;;;;;;
184;Lager;801-803 Gesubsidieerde onderwijs;2002;28.4;14.2;12.73;1407.0;18.5;23.5
185;Lager;801-803 Gesubsidieerde onderwijs;2003;;;;;;
186;Lager;85 Gezondheids- en welzijnzorg;2002;159.6;31.3;13.13;1114.0;14.4;22.6
187;Lager;85 Gezondheids- en welzijnzorg;2003;;;;;;
188;Lager;90-93,804 Cultuur en overige dienstv.;2002;52.4;27.3;12.53;1334.0;16.8;23.5
189;Lager;90-93,804 Cultuur en overige dienstv.;2003;;;;;;
190;Lager;15-16 Voedings- en genotmiddelenind.;2002;33.2;24.4;15.79;1844.0;26.0;31.8
191;Lager;15-16 Voedings- en genotmiddelenind.;2003;;;;;;
192;Lager;22 Grafische industrie;2002;;;;;;
193;Lager;22 Grafische industrie;2003;;;;;;
194;Lager;23-25 Aardolie- en chemische industrie;2002;24.8;21.0;16.39;2143.0;29.2;31.9
195;Lager;23-25 Aardolie- en chemische industrie;2003;;;;;;
196;Lager;27-35 Metaal- en elektrotechnische ind.;2002;69.5;61.4;13.56;1821.0;26.4;27.9
197;Lager;27-35 Metaal- en elektrotechnische ind.;2003;;;;;;
198;Lager;Rest industrie;2002;84.2;70.6;12.85;1689.0;22.7;24.4
199;Lager;Rest industrie;2003;;;;;;
200;Lager;50 Autohandel en - reparatie;2002;24.3;15.5;11.76;1281.0;16.5;22.3
201;Lager;50 Autohandel en - reparatie;2003;;;;;;
202;Lager;51 Groothandel;2002;92.7;60.8;12.04;1431.0;21.0;26.6
203;Lager;51 Groothandel;2003;;;;;;
204;Lager;52 Detailhandel;2002;292.5;64.7;10.31;865.0;11.3;20.7
205;Lager;52 Detailhandel;2003;;;;;;
206;Lager;60 Openbaar vervoer en wegvervoer;2002;112.3;96.8;13.67;1909.0;30.4;33.0
207;Lager;60 Openbaar vervoer en wegvervoer;2003;;;;;;
208;Lager;61-64 Rest vervoer en communicatie;2002;69.7;37.2;13.94;1499.0;20.6;29.2
209;Lager;61-64 Rest vervoer en communicatie;2003;;;;;;
210;Lager;8511 Ziekenhuizen;2002;35.5;13.5;13.6;1379.0;17.9;23.1
211;Lager;8511 Ziekenhuizen;2003;;;;;;
212;Lager;8531 Verpleeg- en bejaardentehuizen;2002;63.2;11.6;12.69;1102.0;14.3;21.2
213;Lager;8531 Verpleeg- en bejaardentehuizen;2003;;;;;;
214;Lager;Rest gezondheids- en welzijnzorg;2002;60.9;6.2;13.3;973.0;12.6;24.1
215;Lager;Rest gezondheids- en welzijnzorg;2003;;;;;;
216;Middelbaar;Totaal bedrijfsgrootte;2002;2442.3;1489.5;16.81;2024.0;27.3;34.0
217;Middelbaar;Totaal bedrijfsgrootte;2003;;;;;;
218;Middelbaar;Bedrijfsgrootte < 10 werknemers;2002;444.9;253.7;14.92;1731.0;22.4;29.8
219;Middelbaar;Bedrijfsgrootte < 10 werknemers;2003;;;;;;
220;Middelbaar;Bedrijfsgrootte 10-99 werknemers;2002;634.5;427.9;16.61;2088.0;28.1;33.8
221;Middelbaar;Bedrijfsgrootte 10-99 werknemers;2003;;;;;;
222;Middelbaar;Bedrijfsgrootte >- 100 werknemers;2002;1362.9;807.9;17.52;2090.0;28.4;35.5
223;Middelbaar;Bedrijfsgrootte >- 100 werknemers;2003;;;;;;
224;Middelbaar;SBI'93 totaal;2002;2442.3;1489.5;16.81;2024.0;27.3;34.0
225;Middelbaar;SBI'93 totaal;2003;;;;;;
226;Middelbaar;01-05 Landbouw en visserij;2002;;;;;;
227;Middelbaar;01-05 Landbouw en visserij;2003;;;;;;
228;Middelbaar;10-45 Industrie en bouwnijverheid;2002;583.5;490.0;17.52;2339.0;32.5;35.3
229;Middelbaar;10-45 Industrie en bouwnijverheid;2003;;;;;;
230;Middelbaar;50-74 Commerciële dienstverlening;2002;1023.7;673.3;16.63;2085.0;27.9;34.0
231;Middelbaar;50-74 Commerciële dienstverlening;2003;;;;;;
232;Middelbaar;75-93 Niet-commerciële dienstverlening;2002;804.2;301.7;16.39;1704.0;22.7;32.1
233;Middelbaar;75-93 Niet-commerciële dienstverlening;2003;;;;;;
234;Middelbaar;01-05 Landbouw en visserij;2002;;;;;;
235;Middelbaar;01-05 Landbouw en visserij;2003;;;;;;
236;Middelbaar;10-14 Delftstoffenwinnig;2002;3.9;3.5;23.38;3365.0;48.3;50.1
237;Middelbaar;10-14 Delftstoffenwinnig;2003;;;;;;
238;Middelbaar;15-37 Industrie;2002;386.9;323.9;17.5;2345.0;32.4;35.2
239;Middelbaar;15-37 Industrie;2003;;;;;;
240;Middelbaar;40-41 Energie- en waterleidingbedrijven;2002;16.4;13.9;20.68;2750.0;38.7;41.1
241;Middelbaar;40-41 Energie- en waterleidingbedrijven;2003;;;;;;
242;Middelbaar;45 Bouwnijverheid;2002;176.4;148.6;17.13;2266.0;31.6;34.6
243;Middelbaar;45 Bouwnijverheid;2003;;;;;;
244;Middelbaar;50-52 Handel;2002;360.2;259.8;15.58;2001.0;27.0;31.5
245;Middelbaar;50-52 Handel;2003;;;;;;
246;Middelbaar;55 Horeca;2002;47.1;34.0;14.69;1919.0;26.0;26.1
247;Middelbaar;55 Horeca;2003;;;;;;
248;Middelbaar;60-64 Vervoer en communicatie;2002;138.6;103.2;16.69;2170.0;29.7;34.1
249;Middelbaar;60-64 Vervoer en communicatie;2003;;;;;;
250;Middelbaar;65-67 Financiële instellingen;2002;110.1;78.1;19.58;2553.0;36.6;41.9
251;Middelbaar;65-67 Financiële instellingen;2003;;;;;;
252;Middelbaar;70-74 Zakelijke dienstverlening;2002;367.7;198.3;17.01;2017.0;25.6;35.6
253;Middelbaar;70-74 Zakelijke dienstverlening;2003;;;;;;
254;Middelbaar;75 Openbaar bestuur;2002;200.8;149.1;18.45;2354.0;31.4;34.8
255;Middelbaar;75 Openbaar bestuur;2003;;;;;;
256;Middelbaar;801-803 Gesubsidieerde onderwijs;2002;44.2;17.7;15.55;1631.0;21.6;29.9
257;Middelbaar;801-803 Gesubsidieerde onderwijs;2003;;;;;;
258;Middelbaar;85 Gezondheids- en welzijnzorg;2002;448.6;82.1;15.56;1435.0;19.0;28.1
259;Middelbaar;85 Gezondheids- en welzijnzorg;2003;;;;;;
260;Middelbaar;90-93,804 Cultuur en overige dienstv.;2002;110.5;52.7;15.17;1642.0;22.0;31.2
261;Middelbaar;90-93,804 Cultuur en overige dienstv.;2003;;;;;;
262;Middelbaar;15-16 Voedings- en genotmiddelenind.;2002;56.8;41.7;17.19;2179.0;30.0;35.8
263;Middelbaar;15-16 Voedings- en genotmiddelenind.;2003;;;;;;
264;Middelbaar;22 Grafische industrie;2002;38.2;28.6;17.47;2311.0;33.1;36.5
265;Middelbaar;22 Grafische industrie;2003;;;;;;
266;Middelbaar;23-25 Aardolie- en chemische industrie;2002;50.9;44.8;20.89;2854.0;40.3;42.4
267;Middelbaar;23-25 Aardolie- en chemische industrie;2003;;;;;;
268;Middelbaar;27-35 Metaal- en elektrotechnische ind.;2002;171.3;152.0;16.89;2329.0;31.8;33.5
269;Middelbaar;27-35 Metaal- en elektrotechnische ind.;2003;;;;;;
270;Middelbaar;Rest industrie;2002;69.6;56.8;16.71;2169.0;29.8;32.9
271;Middelbaar;Rest industrie;2003;;;;;;
272;Middelbaar;50 Autohandel en - reparatie;2002;75.6;57.2;15.05;1968.0;25.6;29.4
273;Middelbaar;50 Autohandel en - reparatie;2003;;;;;;
274;Middelbaar;51 Groothandel;2002;152.6;120.1;17.44;2340.0;32.5;35.8
275;Middelbaar;51 Groothandel;2003;;;;;;
276;Middelbaar;52 Detailhandel;2002;131.9;82.5;13.52;1628.0;21.4;26.6
277;Middelbaar;52 Detailhandel;2003;;;;;;
278;Middelbaar;60 Openbaar vervoer en wegvervoer;2002;44.8;34.7;14.84;1903.0;27.5;31.3
279;Middelbaar;60 Openbaar vervoer en wegvervoer;2003;;;;;;
280;Middelbaar;61-64 Rest vervoer en communicatie;2002;93.9;68.5;17.56;2298.0;30.7;35.5
281;Middelbaar;61-64 Rest vervoer en communicatie;2003;;;;;;
282;Middelbaar;8511 Ziekenhuizen;2002;117.3;30.3;17.48;1740.0;23.2;30.5
283;Middelbaar;8511 Ziekenhuizen;2003;;;;;;
284;Middelbaar;8531 Verpleeg- en bejaardentehuizen;2002;156.7;25.9;15.68;1443.0;19.3;28.3
285;Middelbaar;8531 Verpleeg- en bejaardentehuizen;2003;;;;;;
286;Middelbaar;Rest gezondheids- en welzijnzorg;2002;174.6;26.0;13.98;1223.0;16.0;25.2
287;Middelbaar;Rest gezondheids- en welzijnzorg;2003;;;;;;
288;Hoger;Totaal bedrijfsgrootte;2002;1195.3;742.6;22.66;2770.0;37.3;46.0
289;Hoger;Totaal bedrijfsgrootte;2003;;;;;;
290;Hoger;Bedrijfsgrootte < 10 werknemers;2002;106.9;58.4;23.54;2701.0;32.3;42.7
291;Hoger;Bedrijfsgrootte < 10 werknemers;2003;;;;;;
292;Hoger;Bedrijfsgrootte 10-99 werknemers;2002;272.9;180.0;22.47;2795.0;37.9;46.6
293;Hoger;Bedrijfsgrootte 10-99 werknemers;2003;;;;;;
294;Hoger;Bedrijfsgrootte >- 100 werknemers;2002;815.4;504.2;22.61;2771.0;37.8;46.1
295;Hoger;Bedrijfsgrootte >- 100 werknemers;2003;;;;;;
296;Hoger;SBI'93 totaal;2002;1195.3;742.6;22.66;2770.0;37.3;46.0
297;Hoger;SBI'93 totaal;2003;;;;;;
298;Hoger;01-05 Landbouw en visserij;2002;;;;;;
299;Hoger;01-05 Landbouw en visserij;2003;;;;;;
300;Hoger;10-45 Industrie en bouwnijverheid;2002;137.2;119.3;25.53;3487.0;47.0;50.3
301;Hoger;10-45 Industrie en bouwnijverheid;2003;;;;;;
302;Hoger;50-74 Commerciële dienstverlening;2002;449.0;354.3;23.66;3192.0;43.5;48.1
303;Hoger;50-74 Commerciële dienstverlening;2003;;;;;;
304;Hoger;75-93 Niet-commerciële dienstverlening;2002;602.0;267.1;21.01;2317.0;30.8;41.3
305;Hoger;75-93 Niet-commerciële dienstverlening;2003;;;;;;
306;Hoger;01-05 Landbouw en visserij;2002;;;;;;
307;Hoger;01-05 Landbouw en visserij;2003;;;;;;
308;Hoger;10-14 Delftstoffenwinnig;2002;;;;;;
309;Hoger;10-14 Delftstoffenwinnig;2003;;;;;;
310;Hoger;15-37 Industrie;2002;102.8;89.9;25.45;3507.0;46.6;49.3
311;Hoger;15-37 Industrie;2003;;;;;;
312;Hoger;40-41 Energie- en waterleidingbedrijven;2002;6.4;5.8;27.85;3847.0;50.9;52.4
313;Hoger;40-41 Energie- en waterleidingbedrijven;2003;;;;;;
314;Hoger;45 Bouwnijverheid;2002;26.6;22.2;24.69;3236.0;46.0;52.1
315;Hoger;45 Bouwnijverheid;2003;;;;;;
316;Hoger;50-52 Handel;2002;114.1;97.1;25.15;3412.0;44.6;49.2
317;Hoger;50-52 Handel;2003;;;;;;
318;Hoger;55 Horeca;2002;;;;;;
319;Hoger;55 Horeca;2003;;;;;;
320;Hoger;60-64 Vervoer en communicatie;2002;50.7;42.6;23.65;3270.0;45.6;46.4
321;Hoger;60-64 Vervoer en communicatie;2003;;;;;;
322;Hoger;65-67 Financiële instellingen;2002;82.3;65.7;26.72;3548.0;51.4;55.2
323;Hoger;65-67 Financiële instellingen;2003;;;;;;
324;Hoger;70-74 Zakelijke dienstverlening;2002;192.3;141.3;21.7;2915.0;39.5;45.1
325;Hoger;70-74 Zakelijke dienstverlening;2003;;;;;;
326;Hoger;75 Openbaar bestuur;2002;109.9;80.2;23.42;3002.0;39.8;44.3
327;Hoger;75 Openbaar bestuur;2003;;;;;;
328;Hoger;801-803 Gesubsidieerde onderwijs;2002;239.4;113.1;20.9;2364.0;31.7;40.3
329;Hoger;801-803 Gesubsidieerde onderwijs;2003;;;;;;
