ID;InstitutioneleSectoren;Perioden;Totaal_1;Woningen_2;Bedrijfsgebouwen_3;GrondWegEnWaterbouwkundigeWerken_4;OverdrachtskostenOpGrond_5;Totaal_6;PersonenautoS_7;OverigeWegvervoermiddelen_8;TreinenEnTrams_9;Schepen_10;Vliegtuigen_11;Computers_12;Telecommunicatieapparatuur_13;MachinesEnInstallaties_14;OverigeMaterieleVasteActiva_15;InCultuurGebrachteActiva_16;OnderzoekEnOntwikkeling_17;ComputerprogrammatuurEnDatabanken_18;OverigeImmaterieleActiva_19;VerkoopVanGebruikteVasteActiva_20;BrutoInvesteringenInVasteActiva_21;Totaal_22;Woningen_23;Bedrijfsgebouwen_24;GrondWegEnWaterbouwkundigeWerken_25;OverdrachtskostenOpGrond_26;Totaal_27;PersonenautoS_28;OverigeWegvervoermiddelen_29;TreinenEnTrams_30;Schepen_31;Vliegtuigen_32;Computers_33;Telecommunicatieapparatuur_34;MachinesEnInstallaties_35;OverigeMaterieleVasteActiva_36;InCultuurGebrachteActiva_37;OnderzoekEnOntwikkeling_38;ComputerprogrammatuurEnDatabanken_39;OverigeImmaterieleActiva_40;VerkoopVanGebruikteVasteActiva_41;BrutoInvesteringenInVasteActiva_42;Totaal_43;Woningen_44;Bedrijfsgebouwen_45;GrondWegEnWaterbouwkundigeWerken_46;OverdrachtskostenOpGrond_47;Totaal_48;PersonenautoS_49;OverigeWegvervoermiddelen_50;TreinenEnTrams_51;Schepen_52;Vliegtuigen_53;Computers_54;Telecommunicatieapparatuur_55;MachinesEnInstallaties_56;OverigeMaterieleVasteActiva_57;InCultuurGebrachteActiva_58;OnderzoekEnOntwikkeling_59;ComputerprogrammatuurEnDatabanken_60;OverigeImmaterieleActiva_61;VerkoopVanGebruikteVasteActiva_62;BrutoInvesteringenInVasteActiva_63;Totaal_64;Woningen_65;Bedrijfsgebouwen_66;GrondWegEnWaterbouwkundigeWerken_67;OverdrachtskostenOpGrond_68;Totaal_69;PersonenautoS_70;OverigeWegvervoermiddelen_71;TreinenEnTrams_72;Schepen_73;Vliegtuigen_74;Computers_75;Telecommunicatieapparatuur_76;MachinesEnInstallaties_77;OverigeMaterieleVasteActiva_78;InCultuurGebrachteActiva_79;OnderzoekEnOntwikkeling_80;ComputerprogrammatuurEnDatabanken_81;OverigeImmaterieleActiva_82;VerkoopVanGebruikteVasteActiva_83;BrutoInvesteringenInVasteActiva_84
10;Totale binnenlandse sectoren;2005;115656;32774;16584;12149;1114;9267;5874;2041;435;516;401;3864;714;12739;5617;225;8667;11135;807;3202;112454;127014;31978;19120;14473;1195;10231;6063;2297;557.0;571.0;615.0;2447;439;15196;6970;215.0;10356;11914;978.0;3517;123361;4.1;5.7;-0.9;11.0;7.3;-0.6;2.3;-4.5;-14.3;7.9;-11.5;14.6;11.9;0.5;1.8;-13.9;-0.3;10.0;-7.8;43.7;3.3;91.1;102.5;86.7;83.9;93.2;90.6;96.9;88.8;78.1;90.4;65.2;157.9;162.7;83.8;80.6;104.8;83.7;93.5;82.5;91.0;91.2
11;Totale binnenlandse sectoren;2006;126095;36045;17700;13328;1164;10508;6426;2355;394;766;567;3878;797;14238;5880;198;8964;12492;903;3101;122994;135431;33852;19776;15477;1217;11433;6511;2640;496.0;835.0;858.0;2708;526;16744;7186;183.0;10409;13116;1054.0;3328;131959;6.6;5.9;3.4;6.9;1.8;11.7;7.4;14.9;-11.0;46.3;39.4;10.7;19.7;10.2;3.1;-14.7;0.5;10.1;7.8;-5.4;7.0;93.1;106.5;89.5;86.1;95.7;91.9;98.7;89.2;79.5;91.7;66.1;143.2;151.6;85.0;81.8;108.0;86.1;95.2;85.6;93.2;93.2
12;Totale binnenlandse sectoren;2007;147272;38652;20405;14573;1112;11053;7117;2533;310;1042;51;4237;861;15571;6721;305;17165;15793;824;3046;144226;154850;35575;22277;16373;1132;11846;7111;2775;385.0;1133.0;76.0;3142;605;17965;8041;275.0;19319;16026;954.0;3216;151468;14.3;5.1;12.6;5.8;-7.0;3.6;9.2;5.1;-22.3;35.6;-91.2;16.0;15.2;7.3;11.9;50.0;85.6;22.2;-9.5;-3.4;14.8;95.1;108.7;91.6;89.0;98.2;93.3;100.1;91.3;80.5;92.0;67.4;134.9;142.2;86.7;83.6;110.9;88.9;98.5;86.4;94.7;95.2
13;Totale binnenlandse sectoren;2008;146166;40044;22747;15528;1022;11837;6615;3124;414;1320;364;4260;835;17783;7026;251;9147;14813;873;3025;143141;150336;35863;23977;16704;1011;12678;6744;3337;489.0;1404.0;516.0;3504;596;19937;8193;231.0;9959;14925;982.0;3193;146982;-2.9;0.8;7.6;2.0;-10.7;7.0;-5.2;20.3;27.1;23.9;582.4;11.5;-1.5;11.0;1.9;-16.1;-48.4;-6.9;2.9;-0.7;-3.0;97.2;111.7;94.9;93.0;101.1;93.4;98.1;93.6;84.6;94.0;70.5;121.6;140.1;89.2;85.8;108.8;91.8;99.2;88.9;94.7;97.4
14;Totale binnenlandse sectoren;2009;136553;35163;22240;15785;941;9252;4700;2163;578;916;895;4143;845;16280;6175;266;10239;14435;789;3425;133128;138216;30577;22532;17007;930;9787;4760;2303;644.0;958.0;1230.0;3674;619;17979;6992;245.0;10979;14602;863.0;3701;134388;-8.1;-14.7;-6.0;1.8;-8.0;-22.8;-29.4;-31.0;31.6;-31.7;138.2;4.9;3.8;-9.8;-14.7;6.4;10.2;-2.2;-12.1;15.9;-8.6;98.8;115.0;98.7;92.8;101.2;94.5;98.7;93.9;89.7;95.6;72.8;112.8;136.5;90.5;88.3;108.4;93.3;98.9;91.5;92.5;99.1
15;Totale binnenlandse sectoren;2010;129102;29857;19739;15988;1096;9913;5262;2001;1133;1181;336;3942;868;15150;5814;259;9683;15765;1028;3204;125898;128781;25698;19651;16755;1072;10383;5323;2067;1251.0;1220.0;452.0;3583;663;16438;6464;235.0;10232;15655;1115.0;3384;125275;-6.8;-16.0;-12.8;-1.5;15.3;6.1;11.8;-10.3;94.3;27.3;-63.2;-2.5;7.1;-8.6;-7.5;-4.1;-6.8;7.2;29.3;-8.6;-6.8;100.2;116.2;100.4;95.4;102.2;95.5;98.8;96.8;90.5;96.8;74.3;110.0;130.9;92.2;89.9;110.1;94.6;100.7;92.2;94.7;100.5
16;Totale binnenlandse sectoren;2011;134228;27497;20113;17366;1122;11551;6439;2683;441;1351;637;4160;1107;17868;6198;200;10314;15763;969;3263;130965;134975;24775;19987;17761;1098;12171;6607;2735;476.0;1419.0;856.0;3962;899;19226;6739;187.0;10759;15989;1035.0;3417;131422;4.8;-3.6;1.7;6.0;2.4;17.2;24.1;32.3;-62.0;16.3;89.3;10.6;35.6;17.0;4.2;-20.5;5.2;2.1;-7.2;1.0;4.9;99.4;111.0;100.6;97.8;102.2;94.9;97.5;98.1;92.6;95.2;74.5;105.0;123.1;92.9;92.0;106.9;95.9;98.6;93.6;95.5;99.7
17;Totale binnenlandse sectoren;2012;125371;23158;18148;15939;1150;11415;6503;2819;509;803;781;4153;1122;16589;5754;251;10315;16196;1181;2866;122505;126250;21585;18096;15970;1300;11879;6628;2845;539.0;848.0;964.0;4029;942;17457;6075;252.0;10645;16564;1242.0;2978;123135;-6.5;-12.9;-9.5;-10.1;18.4;-2.4;0.3;4.0;13.2;-40.3;12.7;1.7;4.8;-9.2;-9.9;34.5;-1.1;3.6;20.0;-12.8;-6.3;99.3;107.3;100.3;99.8;88.5;96.1;98.1;99.1;94.5;94.7;81.0;103.1;119.1;95.0;94.7;99.7;96.9;97.8;95.1;96.2;99.5
18;Totale binnenlandse sectoren;2013;126182;19966;17215;16875;959;10478;5788;2601;481;1008;600;4124;1127;15739;5409;316;14189;18612;1173;4945;121237;126330;18945;16913;16725;1076;10833;5889;2590;496.0;1046.0;748.0;4015;977;16476;5616;332.0;14384;18826;1212.0;5095;121168;0.1;-12.2;-6.5;4.7;-17.2;-8.8;-11.1;-9.0;-7.9;23.4;-22.4;-0.4;3.7;-5.6;-7.5;31.9;35.1;13.7;-2.5;71.1;-1.6;99.9;105.4;101.8;100.9;89.1;96.7;98.3;100.4;96.9;96.4;80.2;102.7;115.4;95.5;96.3;95.2;98.6;98.9;96.8;97.1;100.1
19;Totale binnenlandse sectoren;2014;123532;20620;17038;16343;1197;9915;5643;2627;422;762;461;4068;1183;16759;5503;333;11731;17632;1210;5394;118138;123789;20097;16685;16169;1282;10198;5712;2630;424.0;771.0;566.0;3973;1073;17413;5626;348.0;11794;17839;1229.0;5487;118252;-2.0;6.1;-1.4;-3.3;19.1;-5.9;-3.0;1.6;-14.6;-26.3;-24.3;-1.0;9.8;5.7;0.2;4.7;-18.0;-5.2;1.4;7.7;-2.4;99.8;102.6;102.1;101.1;93.4;97.2;98.8;99.9;99.5;98.8;81.4;102.4;110.3;96.2;97.8;95.8;99.5;98.8;98.4;98.3;99.9
20;Totale binnenlandse sectoren;2015;164037;24127;17275;17582;1410;14050;8047;3021;401;1106;1475;4840;1128;17298;5682;355;34892;24693;705;11504;152533;164037;24127;17275;17582;1410;14050;8047;3021;401.0;1106.0;1475.0;4840;1128;17298;5682;355.0;34892;24693;705.0;11504;152533;32.5;20.1;3.5;8.7;10.0;37.8;40.9;14.8;-5.5;43.4;160.5;21.8;5.2;-0.7;1.0;2.1;195.8;38.4;-42.6;109.7;29.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
21;Totale binnenlandse sectoren;2016;144572;29196;17996;17448;2442;14692;7042;3485;547;1097;2521;6516;1062;16898;5386;341;11027;20904;664;2897;141675;144293;29372;18174;17506;1904;14484;6912;3458;528.0;1106.0;2480.0;6722;1095;16777;5351;364.0;10856;21031;657.0;2871;141422;-12.0;21.7;5.2;-0.4;35.0;3.1;-14.1;14.5;31.7;0.0;68.1;38.9;-2.9;-3.0;-5.8;2.5;-68.9;-14.8;-6.8;-75.0;-7.3;100.2;99.4;99.0;99.7;128.3;101.4;101.9;100.8;103.6;99.2;101.7;96.9;97.0;100.7;100.7;93.7;101.6;99.4;101.1;100.9;100.2
22;Totale binnenlandse sectoren;2017;151432;32942;19249;16828;2456;16829;7791;3628;1698;1806;1906;4142;978;18120;5867;89;11562;21724;646;2762;148670;150063;32999;19428;16443;1843;16450;7530;3597;1624.0;1865.0;1827.0;4288;1053;17908;5791;145.0;11203;21803;638.0;2697;147368;4.0;12.3;6.9;-6.1;-3.2;13.6;8.9;4.0;207.5;68.6;-26.3;-36.2;-3.9;6.7;8.2;-60.1;3.2;3.7;-2.9;-6.1;4.2;100.9;99.8;99.1;102.3;133.2;102.3;103.5;100.9;104.6;96.8;104.3;96.6;92.9;101.2;101.3;61.3;103.2;99.6;101.2;102.4;100.9
23;Totale binnenlandse sectoren;2018;162634;37802;20985;17814;2581;16040;9301;4046;505;988;1200;4198;1057;19435;6717;49;12605;22721;630;4541;158093;157071;36081;20895;16839;1908;15441;8702;4023;481.0;1040.0;1175.0;4337;1159;19014;6551;26.0;11943;22188;611.0;4396;152653;4.7;9.3;7.5;2.4;3.5;-6.1;15.6;11.9;-70.4;-44.2;-35.7;1.1;10.1;6.2;13.1;-82.0;6.6;1.8;-4.3;63.0;3.6;103.5;104.8;100.4;105.8;135.2;103.9;106.9;100.6;105.0;95.0;102.1;96.8;91.2;102.2;102.5;187.8;105.5;102.4;103.2;103.3;103.6
24;Totale binnenlandse sectoren;2019;176696;41062;24114;18456;2904;19759;10738;4196;674;2390;1761;4244;1048;19936;6962;141;13243;24158;669;3888;172808;165836;37305;23437;17013;2105;18559;9819;4128;623.0;2487.0;1582.0;4536;1203;19022;6637;91.0;12232;22942;634.0;3741;162070;5.6;3.4;12.2;1.0;10.3;20.2;12.8;2.6;29.5;139.2;34.7;4.6;3.8;0.0;1.3;249.0;2.4;3.4;3.8;-14.9;6.2;106.5;110.1;102.9;108.5;137.9;106.5;109.4;101.7;108.2;96.1;111.3;93.6;87.1;104.8;104.9;154.8;108.3;105.3;105.6;103.9;106.6
25;Totale binnenlandse sectoren;2020;176843;43068;25194;18623;3477;14069;8736;3396;652;600;685;4429;984;20054;7536;283;13770;24839;517;3906;172937;161564;37067;23554;17002;2460;12917;7746;3301;596.0;628.0;608.0;4849;1173;19050;7088;185.0;12366;23142;490.0;3713;157828;-2.6;-0.6;0.5;-0.1;16.9;-30.4;-21.1;-20.0;-4.3;-74.8;-61.6;6.9;-2.5;0.2;6.8;102.8;1.1;0.9;-22.7;-0.7;-2.6;109.5;116.2;107.0;109.5;141.3;108.9;112.8;102.9;109.4;95.6;112.6;91.3;83.9;105.3;106.3;153.2;111.4;107.3;105.6;105.2;109.6
26;Totale binnenlandse sectoren;2021;189208;47968;26467;19246;4058;14546;8261;4058;572;724;931;4550;1085;21041;8570;230;14660;26203;584;4803;184405;166876;39164;23918;16794;2627;12999;7069;3884;511.0;729.0;829.0;4927;1276;19604;7810;148.0;12512;24282;540.0;4454;162422;3.3;5.7;1.5;-1.2;6.8;0.6;-8.7;17.6;-14.3;16.2;36.4;1.6;8.7;2.9;10.2;-19.8;1.2;4.9;10.3;20.0;2.9;113.4;122.5;110.7;114.6;154.5;111.9;116.9;104.5;111.9;99.3;112.2;92.3;85.0;107.3;109.7;155.2;117.2;107.9;108.1;107.8;113.5
27;Totale binnenlandse sectoren;2022;205489;51852;29736;20836;4092;15414;8467;4589;627;1022;709;4816;1283;23350;9375;272;15257;28429;777;5621;199868;170397;39565;25832;16509;2353;12899;6849;4058;528.0;1002.0;539.0;4985;1475;20004;7644;175.0;12714;25518;690.0;5093;165332;2.1;1.0;8.0;-1.7;-10.4;-0.8;-3.1;4.5;3.3;37.4;-35.0;1.2;15.6;2.0;-2.1;17.8;1.6;5.1;27.7;14.3;1.8;120.6;131.1;115.1;126.2;173.9;119.5;123.6;113.1;118.7;102.0;131.5;96.6;87.0;116.7;122.6;155.8;120.0;111.4;112.6;110.4;120.9
28;Vennootschappen, huishoudens en IZWh's;1995;57045;17312;7204;2818;596;5800;2922;1084;297;564;933;1804;350;10630;2714;331;3868;3161;457;182;56863;75430;26542;11418;3896;1064;7096;3393;1242;553.0;718.0;1539.0;255;119;14124;4383;316.0;6074;3646;689.0;536;74543;;;;;;;;;;;;;;;;;;;;;;75.6;65.2;63.1;72.3;56.0;81.7;86.1;87.3;53.7;78.6;60.6;708.8;293.6;75.3;61.9;104.8;63.7;86.7;66.3;34.0;76.3
29;Vennootschappen, huishoudens en IZWh's;1996;61419;18819;7463;3096;763;5850;3295;1249;260;693;353;2289;382;11346;2957;299;4093;3457;605;253;61166;80396;27699;11447;4258;1299;7111;3773;1427;471.0;891.0;600.0;411;132;15016;4647;343.0;6279;4000;886.0;718;79384;6.6;4.4;0.2;9.3;22.1;0.2;11.2;14.9;-14.8;24.1;-61.0;61.4;10.6;6.3;6.0;8.8;3.4;9.7;28.7;34.1;6.5;76.4;67.9;65.2;72.7;58.7;82.3;87.3;87.5;55.2;77.8;58.8;557.2;289.8;75.6;63.6;87.1;65.2;86.4;68.3;35.2;77.1
30;Vennootschappen, huishoudens en IZWh's;1997;66889;20546;8213;2755;694;5901;3668;1232;183;443;375;2464;425;12823;3533;704;4499;3674;658;162;66727;86346;29364;12312;3740;1144;7241;4227;1442;330.0;581.0;629.0;470;154;16789;5432;760.0;6794;4280;938.0;409;85426;7.4;6.0;7.6;-12.2;-11.9;1.8;12.0;1.0;-30.0;-34.8;4.8;14.5;16.8;11.8;16.9;121.4;8.2;7.0;5.8;-43.1;7.6;77.5;70.0;66.7;73.7;60.6;81.5;86.8;85.4;55.5;76.2;59.6;523.8;276.1;76.4;65.0;92.6;66.2;85.8;70.2;39.6;78.1
31;Vennootschappen, huishoudens en IZWh's;1998;72671;21533;9240;2889;784;7122;4156;1638;176;725;427;2706;560;12911;3978;245;4473;5516;714;374;72297;92970;29712;13495;3893;1189;8638;4740;1948;306.0;879.0;706.0;671;211;16793;5931;261.0;6560;6452;990.0;881;91755;7.7;1.2;9.6;4.1;3.9;19.3;12.2;35.1;-7.1;51.2;12.3;42.6;37.2;0.0;9.2;-65.6;-3.4;50.8;5.6;115.4;7.4;78.2;72.5;68.5;74.2;65.9;82.5;87.7;84.1;57.4;82.5;60.4;403.4;265.2;76.9;67.1;93.8;68.2;85.5;72.1;42.5;78.8
32;Vennootschappen, huishoudens en IZWh's;1999;80779;23279;10784;3224;833;7735;4828;1786;66;819;236;3112;637;14508;4283;332;5045;6390;617;432;80347;101770;30532;15272;4275;1201;9365;5504;2131;113.0;979.0;384.0;942;250;18847;6278;371.0;7189;7330;832.0;892;100479;9.5;2.8;13.2;9.8;1.0;8.4;16.1;9.4;-63.1;11.4;-45.7;40.4;18.6;12.2;5.9;42.0;9.6;13.6;-16.0;1.3;9.5;79.4;76.2;70.6;75.4;69.4;82.6;87.7;83.8;58.3;83.6;61.5;330.4;254.5;77.0;68.2;89.4;70.2;87.2;74.1;48.4;80.0
33;Vennootschappen, huishoudens en IZWh's;2000;85380;25207;11949;3900;1063;8080;4953;1531;172;527;897;3105;614;13768;4277;230;5275;7325;587;460;84920;103815;30958;16067;5006;1390;9537;5467;1791;286.0;630.0;1441.0;1076;248;17510;6087;238.0;7206;8227;776.0;855;102532;2.0;1.4;5.2;17.1;15.7;1.8;-0.7;-16.0;153.0;-35.7;275.4;14.3;-0.9;-7.1;-3.0;-35.8;0.2;12.2;-6.8;-4.2;2.0;82.2;81.4;74.4;77.9;76.5;84.7;90.6;85.5;60.1;83.6;62.3;288.5;247.6;78.6;70.3;96.6;73.2;89.0;75.7;53.8;82.8
34;Vennootschappen, huishoudens en IZWh's;2001;89085;27755;13025;3940;924;8134;5113;1877;200;418;526;3247;526;13099;4516;258;5602;7332;727;1140;87945;104795;31845;16569;4842;1100;9529;5563;2188;318.0;533.0;845.0;1335;228;16448;6223;264.0;7330;8095;922.0;1989;102768;0.9;2.9;3.1;-3.3;-20.9;-0.1;1.8;22.1;11.0;-15.4;-41.4;24.1;-8.1;-6.1;2.2;10.9;1.7;-1.6;18.9;132.6;0.2;85.0;87.2;78.6;81.4;84.0;85.4;91.9;85.8;62.9;78.4;62.3;243.2;230.9;79.6;72.6;97.7;76.4;90.6;78.8;57.3;85.6
35;Vennootschappen, huishoudens en IZWh's;2002;85986;27810;13147;3402;800;7481;4828;1626;269;430;328;2822;509;12384;3982;248;5418;7130;853;1275;84711;97903;30015;15993;4046;931;8641;5209;1885;405.0;500.0;520.0;1347;235;15164;5313;261.0;6811;7735;1048.0;2185;95791;-6.6;-5.7;-3.5;-16.4;-15.4;-9.3;-6.4;-13.9;27.5;-6.2;-38.4;0.9;3.2;-7.8;-14.6;-1.2;-7.1;-4.4;13.6;9.8;-6.8;87.8;92.7;82.2;84.1;86.0;86.6;92.7;86.3;66.3;86.0;63.0;209.4;216.5;81.7;74.9;95.0;79.5;92.2;81.4;58.4;88.4
