ID;LeeftijdMannen;Perioden;TotaalVrouwen_1;k_1519Jaar_2;k_2024Jaar_3;k_2529Jaar_4;k_3034Jaar_5;k_3539Jaar_6;k_4044Jaar_7;k_4549Jaar_8;k_5059Jaar_9;k_60JaarOfOuder_10
36;25-29 jaar;1999;8.3;0.1;1.5;5.0;1.3;0.3;0.1;0.1;0.0;0.0
37;25-29 jaar;2001;6.5;0.1;1.5;3.3;1.0;0.3;0.2;0.0;0.0;0.0
38;25-29 jaar;2003;4.7;0.0;1.2;2.6;0.6;0.1;0.1;0.0;0.0;0.0
39;25-29 jaar;2005;4.9;0.1;1.3;2.8;0.3;0.2;0.0;0.0;0.1;0.0
40;25-29 jaar;2007;5.2;0.0;1.2;2.7;0.9;0.3;0.0;0.0;0.0;0.0
41;25-29 jaar;2009;3.9;0.1;1.1;2.0;0.5;0.2;0.0;0.0;0.0;0.0
42;25-29 jaar;2011;4.8;0.0;1.2;2.3;0.7;0.3;0.2;0.0;0.0;0.0
43;25-29 jaar;2013;4.9;0.0;0.7;3.2;0.7;0.2;0.1;0.0;0.0;0.0
44;30-34 jaar;1994;21.2;0.0;1.3;7.2;9.2;2.1;1.0;0.1;0.3;0.0
45;30-34 jaar;1996;21.2;0.0;1.3;7.2;8.7;2.4;0.9;0.5;0.2;0.1
46;30-34 jaar;1997;21.3;0.0;0.7;7.7;9.5;2.2;0.5;0.5;0.2;0.0
47;30-34 jaar;1999;18.5;0.0;0.7;6.9;8.6;1.6;0.3;0.3;0.1;0.0
48;30-34 jaar;2001;16.6;0.0;0.9;5.1;8.2;1.8;0.5;0.1;0.0;0.0
49;30-34 jaar;2003;14.3;0.0;0.8;4.6;6.9;1.6;0.4;0.0;0.1;0.0
50;30-34 jaar;2005;11.9;0.0;0.6;3.7;5.6;1.3;0.5;0.1;0.0;0.0
51;30-34 jaar;2007;10.3;0.0;0.6;2.9;5.3;0.9;0.4;0.1;0.1;0.0
52;30-34 jaar;2009;10.0;0.0;0.4;3.8;4.3;1.1;0.3;0.2;0.0;0.0
53;30-34 jaar;2011;10.0;0.0;0.4;3.1;4.3;1.3;0.6;0.1;0.1;0.0
54;30-34 jaar;2013;9.7;0.0;0.2;4.1;4.2;0.8;0.3;0.1;0.0;0.0
55;35-39 jaar;1994;18.3;0.0;0.4;1.8;7.4;7.2;1.1;0.3;0.2;0.0
56;35-39 jaar;1996;19.2;0.0;0.3;1.8;7.0;8.0;1.5;0.4;0.2;0.0
57;35-39 jaar;1997;18.7;0.0;0.5;1.8;6.8;6.7;2.1;0.6;0.2;0.0
58;35-39 jaar;1999;20.7;0.0;0.3;1.7;7.5;9.7;1.1;0.2;0.2;0.0
59;35-39 jaar;2001;20.3;0.0;0.1;1.4;7.8;8.6;2.0;0.2;0.1;0.1
60;35-39 jaar;2003;20.1;0.0;0.1;1.6;6.2;9.0;2.6;0.5;0.1;0.0
61;35-39 jaar;2005;19.4;0.0;0.2;1.6;6.6;8.7;1.7;0.3;0.2;0.0
62;35-39 jaar;2007;18.7;0.0;0.1;1.5;6.0;8.8;1.6;0.4;0.1;0.0
63;35-39 jaar;2009;15.6;0.0;0.0;0.9;5.1;7.2;1.7;0.6;0.0;0.0
64;35-39 jaar;2011;13.7;0.0;0.1;1.4;4.4;5.9;1.4;0.4;0.0;0.0
65;35-39 jaar;2013;12.4;0.0;0.0;1.4;3.6;5.1;1.5;0.5;0.1;0.1
66;40-44 jaar;1994;17.0;0.0;0.2;0.7;2.2;7.0;5.7;0.9;0.4;0.0
67;40-44 jaar;1996;17.5;0.0;0.1;0.7;1.9;7.2;5.6;1.4;0.5;0.1
68;40-44 jaar;1997;16.4;0.0;0.1;0.8;2.0;6.3;6.0;1.0;0.2;0.0
69;40-44 jaar;1999;18.0;0.0;0.0;0.7;2.9;6.1;7.0;1.0;0.3;0.0
70;40-44 jaar;2001;19.0;0.0;0.2;0.4;1.9;8.3;6.9;0.9;0.3;0.1
71;40-44 jaar;2003;20.7;0.0;0.1;0.3;2.0;6.9;9.5;1.6;0.3;0.0
72;40-44 jaar;2005;20.1;0.0;0.0;0.6;1.6;7.7;8.2;1.5;0.3;0.0
73;40-44 jaar;2007;20.5;0.0;0.1;0.4;1.5;6.9;9.2;2.1;0.3;0.0
74;40-44 jaar;2009;20.0;0.0;0.1;0.2;1.7;7.8;8.0;1.5;0.7;0.0
75;40-44 jaar;2011;18.3;0.0;0.0;0.3;2.1;5.8;7.8;1.8;0.4;0.0
76;40-44 jaar;2013;17.9;0.0;0.0;0.3;1.9;5.8;6.8;2.1;0.9;0.0
77;45-49 jaar;1994;12.7;0.0;0.0;0.3;0.8;1.6;4.6;4.6;0.7;0.1
78;45-49 jaar;1996;13.9;0.0;0.0;0.2;0.8;2.0;4.7;5.3;0.8;0.1
79;45-49 jaar;1997;13.9;0.0;0.0;0.2;0.7;1.9;5.2;4.8;0.9;0.1
80;45-49 jaar;1999;14.0;0.0;0.1;0.2;0.8;1.8;5.9;4.3;1.0;0.0
81;45-49 jaar;2001;14.6;0.0;0.1;0.2;0.8;1.9;5.4;5.2;1.0;0.0
82;45-49 jaar;2003;16.1;0.0;0.0;0.1;0.8;2.6;6.0;5.9;0.7;0.0
83;45-49 jaar;2005;16.9;0.0;0.0;0.0;0.7;1.9;6.4;6.5;1.2;0.0
84;45-49 jaar;2007;17.6;0.0;0.0;0.3;0.5;2.1;6.3;6.8;1.4;0.1
85;45-49 jaar;2009;19.8;0.0;0.1;0.1;0.5;2.7;7.4;7.5;1.5;0.0
86;45-49 jaar;2011;19.3;0.0;0.1;0.1;0.5;1.8;7.1;7.2;2.3;0.2
87;45-49 jaar;2013;19.2;0.0;0.0;0.2;0.7;2.1;7.0;7.1;2.0;0.0
88;50-59 jaar;1994;10.7;0.0;0.0;0.3;0.5;0.5;1.1;3.5;4.6;0.2
89;50-59 jaar;1996;12.3;0.0;0.0;0.3;0.3;0.9;1.8;3.8;5.0;0.2
90;50-59 jaar;1997;12.7;0.0;0.0;0.1;0.3;0.8;1.7;3.2;6.3;0.3
91;50-59 jaar;1999;14.8;0.0;0.0;0.0;0.2;1.0;2.0;4.4;6.7;0.4
92;50-59 jaar;2001;17.2;0.0;0.0;0.2;0.5;0.9;2.5;5.2;7.4;0.5
93;50-59 jaar;2003;17.8;0.0;0.0;0.1;0.5;0.9;2.7;4.7;8.6;0.3
94;50-59 jaar;2005;20.2;0.0;0.0;0.1;0.3;1.3;2.9;5.6;9.5;0.4
95;50-59 jaar;2007;20.9;0.0;0.0;0.0;0.2;0.7;2.3;6.8;10.3;0.5
96;50-59 jaar;2009;23.7;0.0;0.0;0.0;0.2;0.7;2.9;7.9;11.1;0.9
97;50-59 jaar;2011;23.5;0.0;0.0;0.1;0.3;0.9;2.5;7.1;11.6;0.8
98;50-59 jaar;2013;24.9;0.0;0.0;0.2;0.5;1.0;2.4;7.7;12.6;0.5
99;60 jaar of ouder;1994;3.7;0.0;0.0;0.0;0.0;0.3;0.1;0.4;1.5;1.4
100;60 jaar of ouder;1996;3.9;0.0;0.0;0.0;0.1;0.2;0.2;0.2;1.5;1.6
101;60 jaar of ouder;1997;5.2;0.0;0.0;0.0;0.0;0.1;0.2;0.4;2.2;2.4
102;60 jaar of ouder;1999;4.7;0.0;0.0;0.0;0.0;0.2;0.2;0.3;1.8;2.2
103;60 jaar of ouder;2001;5.0;0.0;0.0;0.0;0.1;0.2;0.2;0.5;1.7;2.2
104;60 jaar of ouder;2003;4.9;0.0;0.0;0.0;0.0;0.1;0.2;0.4;1.8;2.2
105;60 jaar of ouder;2005;5.8;0.0;0.0;0.1;0.1;0.2;0.3;0.5;1.9;2.7
106;60 jaar of ouder;2007;6.3;0.0;0.0;0.0;0.1;0.0;0.2;0.6;2.2;3.1
107;60 jaar of ouder;2009;6.7;0.0;0.0;0.0;0.0;0.2;0.2;0.2;2.5;3.4
108;60 jaar of ouder;2011;9.6;0.0;0.0;0.0;0.1;0.2;0.2;0.6;3.4;4.9
109;60 jaar of ouder;2013;10.1;0.0;0.0;0.1;0.2;0.2;0.5;0.9;3.3;5.0
