ID;Deelgebieden;Perioden;InputPriceIndices_1;ChangesComparedTo1YearEarlier_2
157;4212 Railways and underground railway.;2012 April;99.8;
158;4212 Railways and underground railway.;2012 July;99.8;
159;4212 Railways and underground railway.;2012 October;99.9;
160;4212 Railways and underground railway.;2013 January;99.4;0.1
161;4212 Railways and underground railway.;2013 April;98.9;-0.9
162;4212 Railways and underground railway.;2013 July;97.6;-2.2
163;4212 Railways and underground railway.;2013 October;97.5;-2.5
164;4212 Railways and underground railway.;2014 January;98.0;-1.4
165;4212 Railways and underground railway.;2014 April;97.7;-1.2
166;4212 Railways and underground railway.;2014 July;98.5;0.9
167;4212 Railways and underground railway.;2014 October;99.2;1.8
168;4212 Railways and underground railway.;2015 January;99.6;1.6
169;4212 Railways and underground railway.;2015 April;100.6;3.0
170;4212 Railways and underground railway.;2015 July;100.2;1.8
171;4212 Railways and underground railway.;2015 October;99.7;0.4
172;4212 Railways and underground railway.;2016 January;99.4;-0.2
173;4212 Railways and underground railway.;2016 April;99.5;-1.1
174;4212 Railways and underground railway.;2016 July;101.4;1.1
175;4212 Railways and underground railway.;2016 October;101.3;1.7
176;4212 Railways and underground railway.;2017 January;103.8;4.4
177;4212 Railways and underground railway.;2017 April;104.9;5.4
178;4212 Railways and underground railway.;2017 July;103.7;2.3
179;4212 Railways and underground railway.;2017 October;104.8;3.4
180;4212 Railways and underground railway.;2018 January;105.8;1.9
181;4212 Railways and underground railway.;2018 April;105.8;0.8
182;4212 Railways and underground railway.;2018 July;107.2;3.3
183;4212 Railways and underground railway.;2018 October;107.5;2.6
184;4212 Railways and underground railway.;2019 January;107.7;1.9
185;4212 Railways and underground railway.;2019 April;108.5;2.6
186;4212 Railways and underground railway.;2019 July;109.0;1.6
187;4212 Railways and underground railway.;2019 October;109.3;1.6
188;4212 Railways and underground railway.;2020 January;110.1;2.2
189;4212 Railways and underground railway.;2020 April;109.5;0.9
190;4212 Railways and underground railway.;2020 July;110.2;1.1
191;4212 Railways and underground railway.;2020 October;110.3;1.0
192;4212 Railways and underground railway.;2021 January;112.8;2.4
193;4212 Railways and underground railway.;2021 April;115.6;5.6
194;4212 Railways and underground railway.;2021 July;120.2;9.1
195;4212 Railways and underground railway.;2021 October;123.1;11.6
196;4212 Railways and underground railway.;2022 January;126.5;12.2
197;4212 Railways and underground railway.;2022 April;133.5;15.5
198;4212 Railways and underground railway.;2022 July;134.5;12.0
199;4212 Railways and underground railway.;2022 October;134.4;9.2
200;4212 Railways and underground railway.;2023 January;134.7;6.4
201;4212 Railways and underground railway.;2023 April;135.2;1.3
202;4212 Railways and underground railway.;2023 July;133.4;-0.8
203;4212 Railways and underground railway.;2023 October;133.2;-0.9
204;4212 Railways and underground railway.;2024 January;134.3;-0.3
205;4212 Railways and underground railway.;2024 April;135.4;0.1
206;4212 Railways and underground railway.;2024 July;138.0;3.5
207;4212 Railways and underground railway.;2024 October;136.3;2.3
208;"4212a Railways; New construction";2012 January;98.9;
209;"4212a Railways; New construction";2012 April;99.4;
210;"4212a Railways; New construction";2012 July;99.8;
211;"4212a Railways; New construction";2012 October;99.9;
212;"4212a Railways; New construction";2013 January;99.8;0.8
213;"4212a Railways; New construction";2013 April;99.3;-0.1
214;"4212a Railways; New construction";2013 July;98.4;-1.4
215;"4212a Railways; New construction";2013 October;98.5;-1.4
216;"4212a Railways; New construction";2014 January;99.1;-0.7
217;"4212a Railways; New construction";2014 April;98.7;-0.6
218;"4212a Railways; New construction";2014 July;99.0;0.6
219;"4212a Railways; New construction";2014 October;99.6;1.1
220;"4212a Railways; New construction";2015 January;99.6;0.5
221;"4212a Railways; New construction";2015 April;100.3;1.6
222;"4212a Railways; New construction";2015 July;100.3;1.3
223;"4212a Railways; New construction";2015 October;99.9;0.3
224;"4212a Railways; New construction";2016 January;99.7;0.1
225;"4212a Railways; New construction";2016 April;99.8;-0.5
226;"4212a Railways; New construction";2016 July;101.0;0.7
227;"4212a Railways; New construction";2016 October;101.1;1.2
228;"4212a Railways; New construction";2017 January;102.9;3.2
229;"4212a Railways; New construction";2017 April;103.9;4.2
230;"4212a Railways; New construction";2017 July;103.2;2.2
231;"4212a Railways; New construction";2017 October;104.3;3.2
232;"4212a Railways; New construction";2018 January;105.4;2.5
233;"4212a Railways; New construction";2018 April;105.7;1.7
234;"4212a Railways; New construction";2018 July;107.0;3.6
235;"4212a Railways; New construction";2018 October;107.4;3.0
236;"4212a Railways; New construction";2019 January;108.0;2.4
237;"4212a Railways; New construction";2019 April;108.8;2.9
238;"4212a Railways; New construction";2019 July;109.2;2.1
239;"4212a Railways; New construction";2019 October;109.4;1.9
240;"4212a Railways; New construction";2020 January;110.4;2.3
241;"4212a Railways; New construction";2020 April;110.0;1.1
242;"4212a Railways; New construction";2020 July;110.6;1.3
243;"4212a Railways; New construction";2020 October;110.8;1.3
244;"4212a Railways; New construction";2021 January;113.5;2.8
245;"4212a Railways; New construction";2021 April;115.6;5.1
246;"4212a Railways; New construction";2021 July;119.9;8.4
247;"4212a Railways; New construction";2021 October;121.9;10.0
248;"4212a Railways; New construction";2022 January;125.5;10.6
249;"4212a Railways; New construction";2022 April;132.6;14.7
250;"4212a Railways; New construction";2022 July;133.3;11.2
251;"4212a Railways; New construction";2022 October;132.7;8.9
252;"4212a Railways; New construction";2023 January;133.3;6.1
253;"4212a Railways; New construction";2023 April;134.4;1.3
254;"4212a Railways; New construction";2023 July;133.6;0.3
255;"4212a Railways; New construction";2023 October;133.5;0.6
256;"4212a Railways; New construction";2024 January;135.5;1.7
257;"4212a Railways; New construction";2024 April;136.2;1.4
258;"4212a Railways; New construction";2024 July;138.3;3.5
259;"4212a Railways; New construction";2024 October;137.6;3.0
260;"4212b Railways; Exploitation/Maintenance";2012 January;98.7;
261;"4212b Railways; Exploitation/Maintenance";2012 April;99.1;
262;"4212b Railways; Exploitation/Maintenance";2012 July;99.2;
263;"4212b Railways; Exploitation/Maintenance";2012 October;99.7;
264;"4212b Railways; Exploitation/Maintenance";2013 January;99.8;1.1
265;"4212b Railways; Exploitation/Maintenance";2013 April;99.5;0.4
266;"4212b Railways; Exploitation/Maintenance";2013 July;98.8;-0.4
267;"4212b Railways; Exploitation/Maintenance";2013 October;99.0;-0.7
268;"4212b Railways; Exploitation/Maintenance";2014 January;99.5;-0.3
269;"4212b Railways; Exploitation/Maintenance";2014 April;99.0;-0.5
270;"4212b Railways; Exploitation/Maintenance";2014 July;99.1;0.3
271;"4212b Railways; Exploitation/Maintenance";2014 October;100.0;1.0
272;"4212b Railways; Exploitation/Maintenance";2015 January;99.8;0.3
273;"4212b Railways; Exploitation/Maintenance";2015 April;100.3;1.3
274;"4212b Railways; Exploitation/Maintenance";2015 July;100.2;1.0
275;"4212b Railways; Exploitation/Maintenance";2015 October;100.0;0.0
276;"4212b Railways; Exploitation/Maintenance";2016 January;99.8;0.0
277;"4212b Railways; Exploitation/Maintenance";2016 April;99.8;-0.5
278;"4212b Railways; Exploitation/Maintenance";2016 July;100.9;0.7
279;"4212b Railways; Exploitation/Maintenance";2016 October;101.1;1.2
280;"4212b Railways; Exploitation/Maintenance";2017 January;102.8;2.9
281;"4212b Railways; Exploitation/Maintenance";2017 April;102.9;3.1
282;"4212b Railways; Exploitation/Maintenance";2017 July;102.6;1.7
283;"4212b Railways; Exploitation/Maintenance";2017 October;103.5;2.3
284;"4212b Railways; Exploitation/Maintenance";2018 January;104.6;1.8
285;"4212b Railways; Exploitation/Maintenance";2018 April;104.7;1.8
286;"4212b Railways; Exploitation/Maintenance";2018 July;106.1;3.4
287;"4212b Railways; Exploitation/Maintenance";2018 October;106.7;3.2
288;"4212b Railways; Exploitation/Maintenance";2019 January;108.2;3.4
289;"4212b Railways; Exploitation/Maintenance";2019 April;108.1;3.2
290;"4212b Railways; Exploitation/Maintenance";2019 July;108.4;2.2
291;"4212b Railways; Exploitation/Maintenance";2019 October;109.0;2.1
292;"4212b Railways; Exploitation/Maintenance";2020 January;110.0;1.7
293;"4212b Railways; Exploitation/Maintenance";2020 April;109.0;0.9
294;"4212b Railways; Exploitation/Maintenance";2020 July;110.2;1.6
295;"4212b Railways; Exploitation/Maintenance";2020 October;111.0;1.9
296;"4212b Railways; Exploitation/Maintenance";2021 January;113.4;3.1
297;"4212b Railways; Exploitation/Maintenance";2021 April;114.8;5.2
298;"4212b Railways; Exploitation/Maintenance";2021 July;118.6;7.6
299;"4212b Railways; Exploitation/Maintenance";2021 October;123.3;11.1
300;"4212b Railways; Exploitation/Maintenance";2022 January;131.0;15.5
301;"4212b Railways; Exploitation/Maintenance";2022 April;134.8;17.4
302;"4212b Railways; Exploitation/Maintenance";2022 July;138.8;17.1
303;"4212b Railways; Exploitation/Maintenance";2022 October;139.3;13.0
304;"4212b Railways; Exploitation/Maintenance";2023 January;142.3;8.6
305;"4212b Railways; Exploitation/Maintenance";2023 April;136.1;1.0
306;"4212b Railways; Exploitation/Maintenance";2023 July;133.6;-3.8
307;"4212b Railways; Exploitation/Maintenance";2023 October;134.7;-3.3
308;"4212b Railways; Exploitation/Maintenance";2024 January;133.9;-6.0
309;"4212b Railways; Exploitation/Maintenance";2024 April;132.0;-3.0
310;"4212b Railways; Exploitation/Maintenance";2024 July;134.4;0.6
311;"4212b Railways; Exploitation/Maintenance";2024 October;135.9;0.9
312;"4213 Bridges and tunnels; constructio.";2012 January;100.2;
313;"4213 Bridges and tunnels; constructio.";2012 April;100.6;
314;"4213 Bridges and tunnels; constructio.";2012 July;100.6;
315;"4213 Bridges and tunnels; constructio.";2012 October;100.9;
316;"4213 Bridges and tunnels; constructio.";2013 January;100.8;0.5
317;"4213 Bridges and tunnels; constructio.";2013 April;100.3;-0.3
318;"4213 Bridges and tunnels; constructio.";2013 July;99.5;-1.1
319;"4213 Bridges and tunnels; constructio.";2013 October;99.9;-1.0
320;"4213 Bridges and tunnels; constructio.";2014 January;100.7;-0.1
321;"4213 Bridges and tunnels; constructio.";2014 April;100.1;-0.2
322;"4213 Bridges and tunnels; constructio.";2014 July;100.0;0.6
323;"4213 Bridges and tunnels; constructio.";2014 October;100.5;0.6
324;"4213 Bridges and tunnels; constructio.";2015 January;99.9;-0.7
325;"4213 Bridges and tunnels; constructio.";2015 April;100.3;0.2
326;"4213 Bridges and tunnels; constructio.";2015 July;100.5;0.4
327;"4213 Bridges and tunnels; constructio.";2015 October;99.7;-0.8
328;"4213 Bridges and tunnels; constructio.";2016 January;99.1;-0.8
329;"4213 Bridges and tunnels; constructio.";2016 April;99.6;-0.7
330;"4213 Bridges and tunnels; constructio.";2016 July;101.1;0.7
331;"4213 Bridges and tunnels; constructio.";2016 October;100.9;1.2
332;"4213 Bridges and tunnels; constructio.";2017 January;102.4;3.3
333;"4213 Bridges and tunnels; constructio.";2017 April;103.5;4.0
334;"4213 Bridges and tunnels; constructio.";2017 July;103.2;2.1
335;"4213 Bridges and tunnels; constructio.";2017 October;105.0;4.0
336;"4213 Bridges and tunnels; constructio.";2018 January;106.0;3.5
337;"4213 Bridges and tunnels; constructio.";2018 April;106.3;2.7
338;"4213 Bridges and tunnels; constructio.";2018 July;107.3;4.0
339;"4213 Bridges and tunnels; constructio.";2018 October;108.1;3.0
340;"4213 Bridges and tunnels; constructio.";2019 January;108.6;2.5
341;"4213 Bridges and tunnels; constructio.";2019 April;108.7;2.3
342;"4213 Bridges and tunnels; constructio.";2019 July;109.4;2.0
343;"4213 Bridges and tunnels; constructio.";2019 October;108.9;0.7
344;"4213 Bridges and tunnels; constructio.";2020 January;110.4;1.6
345;"4213 Bridges and tunnels; constructio.";2020 April;109.8;1.0
346;"4213 Bridges and tunnels; constructio.";2020 July;110.5;1.0
347;"4213 Bridges and tunnels; constructio.";2020 October;110.7;1.7
348;"4213 Bridges and tunnels; constructio.";2021 January;114.7;3.9
349;"4213 Bridges and tunnels; constructio.";2021 April;116.2;5.9
350;"4213 Bridges and tunnels; constructio.";2021 July;122.0;10.4
351;"4213 Bridges and tunnels; constructio.";2021 October;123.6;11.7
352;"4213 Bridges and tunnels; constructio.";2022 January;127.5;11.2
353;"4213 Bridges and tunnels; constructio.";2022 April;138.8;19.5
354;"4213 Bridges and tunnels; constructio.";2022 July;137.6;12.8
355;"4213 Bridges and tunnels; constructio.";2022 October;136.5;10.4
356;"4213 Bridges and tunnels; constructio.";2023 January;136.2;6.8
357;"4213 Bridges and tunnels; constructio.";2023 April;136.5;-1.6
358;"4213 Bridges and tunnels; constructio.";2023 July;134.9;-2.0
359;"4213 Bridges and tunnels; constructio.";2023 October;134.3;-1.6
360;"4213 Bridges and tunnels; constructio.";2024 January;136.0;-0.1
361;"4213 Bridges and tunnels; constructio.";2024 April;136.0;-0.4
362;"4213 Bridges and tunnels; constructio.";2024 July;138.7;2.8
363;"4213 Bridges and tunnels; constructio.";2024 October;137.7;2.6
364;4221 Constructions and construction w.;2012 January;95.4;
365;4221 Constructions and construction w.;2012 April;96.1;
366;4221 Constructions and construction w.;2012 July;96.3;
367;4221 Constructions and construction w.;2012 October;96.8;
368;4221 Constructions and construction w.;2013 January;96.6;1.3
369;4221 Constructions and construction w.;2013 April;96.9;0.9
370;4221 Constructions and construction w.;2013 July;97.1;0.9
371;4221 Constructions and construction w.;2013 October;97.1;0.2
372;4221 Constructions and construction w.;2014 January;97.7;1.1
373;4221 Constructions and construction w.;2014 April;97.7;0.8
374;4221 Constructions and construction w.;2014 July;98.4;1.3
375;4221 Constructions and construction w.;2014 October;101.3;4.3
376;4221 Constructions and construction w.;2015 January;100.3;2.7
377;4221 Constructions and construction w.;2015 April;98.9;1.2
378;4221 Constructions and construction w.;2015 July;100.2;1.9
379;4221 Constructions and construction w.;2015 October;100.0;-1.2
380;4221 Constructions and construction w.;2016 January;99.3;-1.0
381;4221 Constructions and construction w.;2016 April;100.5;1.7
382;4221 Constructions and construction w.;2016 July;101.0;0.7
383;4221 Constructions and construction w.;2016 October;101.6;1.6
384;4221 Constructions and construction w.;2017 January;103.5;4.2
385;4221 Constructions and construction w.;2017 April;103.1;2.6
386;4221 Constructions and construction w.;2017 July;105.0;4.0
387;4221 Constructions and construction w.;2017 October;104.5;2.8
388;4221 Constructions and construction w.;2018 January;107.2;3.7
389;4221 Constructions and construction w.;2018 April;108.3;5.0
390;4221 Constructions and construction w.;2018 July;108.3;3.1
391;4221 Constructions and construction w.;2018 October;110.0;5.3
392;4221 Constructions and construction w.;2019 January;110.4;2.9
393;4221 Constructions and construction w.;2019 April;112.2;3.6
394;4221 Constructions and construction w.;2019 July;112.1;3.5
395;4221 Constructions and construction w.;2019 October;112.5;2.2
396;4221 Constructions and construction w.;2020 January;116.3;5.4
397;4221 Constructions and construction w.;2020 April;116.5;3.9
398;4221 Constructions and construction w.;2020 July;117.2;4.6
399;4221 Constructions and construction w.;2020 October;118.1;5.0
400;4221 Constructions and construction w.;2021 January;119.0;2.3
401;4221 Constructions and construction w.;2021 April;123.4;5.9
402;4221 Constructions and construction w.;2021 July;125.4;6.9
403;4221 Constructions and construction w.;2021 October;121.3;2.7
404;4221 Constructions and construction w.;2022 January;128.4;8.0
405;4221 Constructions and construction w.;2022 April;137.7;11.6
406;4221 Constructions and construction w.;2022 July;136.6;8.9
407;4221 Constructions and construction w.;2022 October;145.4;19.9
408;4221 Constructions and construction w.;2023 January;143.0;11.4
409;4221 Constructions and construction w.;2023 April;146.7;6.5
410;4221 Constructions and construction w.;2023 July;151.7;11.1
411;4221 Constructions and construction w.;2023 October;151.3;4.0
412;4221 Constructions and construction w.;2024 January;153.0;7.0
413;4221 Constructions and construction w.;2024 April;153.8;4.9
414;4221 Constructions and construction w.;2024 July;157.5;3.8
415;4221 Constructions and construction w.;2024 October;157.4;4.0
416;4291 Constructions and construction w.;2012 January;100.1;
417;4291 Constructions and construction w.;2012 April;101.8;
418;4291 Constructions and construction w.;2012 July;104.4;
419;4291 Constructions and construction w.;2012 October;105.2;
420;4291 Constructions and construction w.;2013 January;104.8;4.8
421;4291 Constructions and construction w.;2013 April;104.2;2.4
422;4291 Constructions and construction w.;2013 July;103.5;-0.9
423;4291 Constructions and construction w.;2013 October;104.0;-1.1
424;4291 Constructions and construction w.;2014 January;104.4;-0.4
425;4291 Constructions and construction w.;2014 April;103.8;-0.4
426;4291 Constructions and construction w.;2014 July;103.9;0.4
427;4291 Constructions and construction w.;2014 October;104.0;0.0
428;4291 Constructions and construction w.;2015 January;99.6;-4.6
429;4291 Constructions and construction w.;2015 April;100.3;-3.4
430;4291 Constructions and construction w.;2015 July;101.4;-2.5
431;4291 Constructions and construction w.;2015 October;99.3;-4.6
432;4291 Constructions and construction w.;2016 January;96.5;-3.1
433;4291 Constructions and construction w.;2016 April;98.0;-2.3
434;4291 Constructions and construction w.;2016 July;100.5;-0.8
435;4291 Constructions and construction w.;2016 October;100.2;1.0
436;4291 Constructions and construction w.;2017 January;100.6;4.3
437;4291 Constructions and construction w.;2017 April;101.8;3.9
438;4291 Constructions and construction w.;2017 July;101.3;0.8
439;4291 Constructions and construction w.;2017 October;102.4;2.2
440;4291 Constructions and construction w.;2018 January;104.1;3.4
441;4291 Constructions and construction w.;2018 April;104.5;2.6
442;4291 Constructions and construction w.;2018 July;107.5;6.0
443;4291 Constructions and construction w.;2018 October;109.5;7.0
444;4291 Constructions and construction w.;2019 January;108.0;3.8
445;4291 Constructions and construction w.;2019 April;109.8;5.1
446;4291 Constructions and construction w.;2019 July;111.0;3.3
447;4291 Constructions and construction w.;2019 October;110.7;1.1
448;4291 Constructions and construction w.;2020 January;113.5;5.1
449;4291 Constructions and construction w.;2020 April;111.2;1.3
450;4291 Constructions and construction w.;2020 July;113.2;2.0
451;4291 Constructions and construction w.;2020 October;112.7;1.8
452;4291 Constructions and construction w.;2021 January;114.9;1.2
453;4291 Constructions and construction w.;2021 April;116.5;4.7
454;4291 Constructions and construction w.;2021 July;118.1;4.2
455;4291 Constructions and construction w.;2021 October;119.5;6.1
456;4291 Constructions and construction w.;2022 January;125.6;9.3
457;4291 Constructions and construction w.;2022 April;136.2;16.9
458;4291 Constructions and construction w.;2022 July;138.2;17.1
459;4291 Constructions and construction w.;2022 October;137.4;15.0
460;4291 Constructions and construction w.;2023 January;137.7;9.7
461;4291 Constructions and construction w.;2023 April;140.9;3.5
462;4291 Constructions and construction w.;2023 July;144.9;4.8
463;4291 Constructions and construction w.;2023 October;148.3;7.9
464;4291 Constructions and construction w.;2024 January;151.2;9.8
465;4291 Constructions and construction w.;2024 April;152.2;8.0
466;4291 Constructions and construction w.;2024 July;153.9;6.2
467;4291 Constructions and construction w.;2024 October;153.3;3.4
468;4312 Site preparation works;2012 January;98.3;
