ID;Leeftijd;RegioS;Inwoners_1;Bijstandontvangers_2;Bijstandsdichtheid_3;Instromers_4;Instromers_5;Uitstromers_6;Uitstromers_7;UitstromersNaarWerk_8;UitstromersNaarWerk_9;PersonenMetReIntegratievoorziening_10;WerkendenNaReIntegratie_11;WerkendenNaReIntegratie_12;PersonenMetBijstandEnReIntegratie_13;BijstandontvangersMetReIntegratie_14;ReIntegratieontvangersMetBijstand_15;WSWWerknemers_16;WSWDichtheid_17
22;15 jaar of ouder;Zuidoost-Friesland (CR);155460;5470;35.0;1920;26.5;1700;23.5;870.0;12.5;2010.0;730.0;25.5;1620.0;30.5;80.5;1430.0;9.0
23;15 jaar of ouder;Noord-Drenthe (CR);158370;4280;27.0;1830;30.5;1610;27.0;830.0;14.5;1670.0;570.0;21.5;1180.0;29.0;71.0;1310.0;8.5
24;15 jaar of ouder;Zuidoost-Drenthe (CR);142470;5680;40.0;1690;23.0;1620;22.0;770.0;11.0;2740.0;770.0;22.0;2020.0;37.0;73.5;1670.0;11.5
25;15 jaar of ouder;Zuidwest-Drenthe (CR);108640;2810;26.0;1050;27.5;950;25.0;470.0;13.0;2500.0;590.0;19.0;2080.0;78.5;83.5;1290.0;12.0
26;15 jaar of ouder;Noord-Overijssel (CR);295540;7560;25.5;2590;26.5;2250;23.0;1090.0;12.0;3040.0;1080.0;23.0;2400.0;34.0;79.0;2140.0;7.0
27;15 jaar of ouder;Zuidwest-Overijssel (CR);127270;3980;31.0;1360;26.5;1040;20.5;470.0;10.0;1640.0;550.0;24.5;1340.0;36.0;81.5;1200.0;9.5
28;15 jaar of ouder;Twente (CR);519880;19730;38.0;6040;24.0;5380;21.5;2490.0;11.0;6370.0;1440.0;14.0;5200.0;29.5;81.5;4560.0;9.0
29;15 jaar of ouder;Veluwe (CR);553840;11580;21.0;4190;27.5;3550;23.5;1690.0;12.0;8350.0;1890.0;18.5;6690.0;62.5;80.0;3340.0;6.0
30;15 jaar of ouder;Achterhoek (CR);336130;7770;23.0;2730;27.0;2340;23.0;1090.0;11.5;4620.0;1200.0;20.5;3430.0;47.0;74.0;3180.0;9.5
31;15 jaar of ouder;Arnhem/Nijmegen (CR);612280;24730;40.5;7270;23.5;6260;20.0;2780.0;9.5;4640.0;1320.0;17.0;3260.0;14.5;70.0;4900.0;8.0
32;15 jaar of ouder;Zuidwest-Gelderland (CR);195370;4370;22.5;1480;26.5;1180;21.0;550.0;10.5;2070.0;500.0;20.5;1650.0;41.5;80.0;1290.0;6.5
33;15 jaar of ouder;Utrecht (CR);1045470;29330;28.0;9410;25.0;7970;21.5;3330.0;10.0;8160.0;2460.0;19.5;6350.0;24.0;78.0;4140.0;4.0
34;15 jaar of ouder;Kop van Noord-Holland (CR);310800;7130;23.0;2360;26.0;1900;21.0;960.0;11.0;2040.0;460.0;14.5;1660.0;25.0;81.0;1530.0;5.0
35;15 jaar of ouder;Alkmaar en omgeving (CR);201520;4670;23.0;1530;25.5;1260;21.0;620.0;11.5;1540.0;410.0;17.0;1210.0;28.5;78.5;930.0;4.5
36;15 jaar of ouder;IJmond (CR);164020;4150;25.5;1350;25.5;1170;22.0;560.0;11.0;1240.0;420.0;19.5;960.0;24.5;77.0;740.0;4.5
37;15 jaar of ouder;Agglomeratie Haarlem (CR);191050;5040;26.5;1520;24.0;1290;20.0;540.0;9.0;1500.0;200.0;14.5;1000.0;21.5;66.5;870.0;4.5
38;15 jaar of ouder;Zaanstreek (CR);139810;5010;36.0;1560;24.5;1370;21.5;590.0;10.0;1020.0;450.0;23.5;730.0;16.0;71.5;500.0;3.5
39;15 jaar of ouder;Groot-Amsterdam (CR);1118910;56520;50.5;13990;19.5;13770;19.5;5820.0;9.5;21330.0;4090.0;16.5;13090.0;27.0;61.5;4770.0;4.5
40;15 jaar of ouder;Het Gooi en Vechtstreek (CR);205620;5170;25.0;1560;24.5;1240;19.5;540.0;9.5;1770.0;410.0;17.0;1490.0;32.0;84.0;660.0;3.0
41;15 jaar of ouder;Agglomeratie Leiden en Bollenstreek (CR);350380;7820;22.5;2600;26.0;2160;21.5;1010.0;11.0;2050.0;900.0;26.0;1630.0;23.0;79.5;1910.0;5.5
42;15 jaar of ouder;Agglomeratie 's-Gravenhage (CR);698610;40050;57.5;12020;24.0;10000;20.0;4230.0;9.5;13560.0;3430.0;14.0;10950.0;31.5;81.0;2800.0;4.0
43;15 jaar of ouder;Delft en Westland (CR);191500;5190;27.0;1650;25.0;1450;22.0;670.0;11.0;1590.0;650.0;21.0;1330.0;28.5;83.5;930.0;5.0
44;15 jaar of ouder;Oost-Zuid-Holland (CR);264950;5780;22.0;2010;27.0;1640;22.0;770.0;11.5;1500.0;470.0;20.5;1100.0;21.5;73.5;1500.0;5.5
45;15 jaar of ouder;Groot-Rijnmond (CR);1177430;66060;56.0;18110;22.0;16170;19.5;6810.0;9.0;15140.0;4540.0;13.0;12460.0;21.5;82.5;5210.0;4.5
46;15 jaar of ouder;Zuidoost-Zuid-Holland (CR);330050;9870;30.0;3120;25.0;2680;21.5;1220.0;10.5;2120.0;670.0;22.0;1640.0;18.5;77.5;1910.0;6.0
47;15 jaar of ouder;Zeeuwsch-Vlaanderen (CR);90670;2010;22.0;670;25.5;600;23.0;250.0;10.5;1230.0;300.0;21.5;920.0;50.5;74.5;790.0;8.5
48;15 jaar of ouder;Overig Zeeland (CR);230260;6400;28.0;2160;27.0;1620;20.0;840.0;11.0;1900.0;460.0;13.0;1490.0;25.0;79.0;1670.0;7.5
49;15 jaar of ouder;West-Noord-Brabant (CR);527920;14710;28.0;4740;25.0;4000;21.0;1730.0;10.0;5870.0;1400.0;18.0;4430.0;33.0;75.5;4330.0;8.0
50;15 jaar of ouder;Midden-Noord-Brabant (CR);394370;12160;31.0;4230;27.5;3310;21.5;1460.0;10.0;3140.0;730.0;19.0;2370.0;21.0;75.5;2860.0;7.0
51;15 jaar of ouder;Noordoost-Noord-Brabant (CR);542080;11870;22.0;4160;26.5;3530;22.5;1700.0;12.0;4060.0;1140.0;17.0;3190.0;29.5;78.5;5870.0;11.0
52;15 jaar of ouder;Zuidoost-Noord-Brabant (CR);637580;17370;27.0;5310;24.0;4470;20.5;2040.0;10.0;4700.0;1570.0;16.5;3970.0;25.0;84.5;5190.0;8.0
53;15 jaar of ouder;Noord-Limburg (CR);237310;6360;27.0;2160;26.0;1930;23.0;1010.0;13.0;1440.0;410.0;26.0;740.0;12.5;51.5;2300.0;9.5
54;15 jaar of ouder;Midden-Limburg (CR);202300;5280;26.0;1900;27.5;1510;22.0;680.0;10.5;3120.0;690.0;17.5;2560.0;53.5;82.0;1890.0;9.5
55;15 jaar of ouder;Zuid-Limburg (CR);525720;20750;39.5;5930;22.5;5180;20.0;2140.0;8.5;6790.0;1580.0;17.5;5160.0;27.0;76.0;6430.0;12.0
56;15 jaar of ouder;Flevoland (CR);324140;11950;37.0;4280;27.0;3710;23.0;1760.0;12.0;4360.0;1380.0;20.0;3460.0;32.0;79.5;1300.0;4.0
57;15 jaar of ouder;Aa en Hunze;21530;370;17.5;170;31.5;150;28.0;90.0;17.5;120.0;50.0;26.0;70.0;19.5;60.5;140.0;6.5
58;15 jaar of ouder;Aalburg;10460;110;10.0;40;32.0;30;22.0;10.0;9.5;10.0;0.0;;10.0;7.0;78.0;50.0;4.5
59;15 jaar of ouder;Aalsmeer;25290;280;11.0;90;26.5;70;19.5;30.0;9.5;170.0;30.0;11.0;140.0;53.5;82.0;40.0;1.5
60;15 jaar of ouder;Aalten;22410;370;16.5;110;24.0;110;23.0;60.0;13.0;260.0;80.0;26.0;200.0;59.5;78.0;320.0;14.5
61;15 jaar of ouder;Achtkarspelen;22790;780;34.0;250;25.0;230;22.5;110.0;11.5;380.0;130.0;14.0;310.0;41.5;83.5;240.0;10.5
62;15 jaar of ouder;Alblasserdam;15970;360;22.5;110;24.0;90;20.0;50.0;11.0;50.0;20.0;26.5;30.0;8.0;60.0;70.0;4.5
63;15 jaar of ouder;Albrandswaard;20250;290;14.5;100;26.0;90;23.5;40.0;11.0;200.0;40.0;17.5;150.0;57.5;76.5;50.0;2.5
64;15 jaar of ouder;Alkmaar;90230;2890;32.0;910;25.0;750;20.5;350.0;11.0;790.0;270.0;19.5;680.0;26.5;86.0;540.0;6.0
65;15 jaar of ouder;Almelo;59980;3590;60.0;1010;22.5;880;19.5;390.0;10.0;860.0;170.0;7.5;750.0;24.0;87.5;610.0;10.0
66;15 jaar of ouder;Almere;159290;6850;43.0;2380;26.0;2210;24.0;1090.0;13.0;2220.0;810.0;19.5;1810.0;29.5;81.5;550.0;3.5
67;15 jaar of ouder;Alphen aan den Rijn;89140;1880;21.0;670;28.0;510;21.0;260.0;12.0;450.0;170.0;20.0;370.0;21.5;82.0;560.0;6.5
68;15 jaar of ouder;Alphen-Chaam;8400;90;10.0;40;34.0;30;26.5;20.0;18.0;20.0;0.0;;10.0;16.5;72.0;40.0;4.5
69;15 jaar of ouder;Ameland;2990;10;3.5;10;38.5;0;;0.0;;0.0;0.0;;0.0;;;20.0;5.5
70;15 jaar of ouder;Amersfoort;123510;3930;32.0;1150;23.5;1000;20.5;420.0;9.5;1440.0;460.0;19.5;1180.0;34.0;81.5;910.0;7.5
71;15 jaar of ouder;Amstelveen;73460;1230;16.5;400;25.5;350;23.0;160.0;12.0;570.0;180.0;25.5;450.0;42.5;79.5;130.0;1.5
72;15 jaar of ouder;Amsterdam;708090;48850;69.0;11460;19.0;11510;19.0;4720.0;9.0;17760.0;3190.0;15.5;10370.0;25.0;58.5;3610.0;5.0
73;15 jaar of ouder;Apeldoorn;133030;3970;30.0;1450;27.5;1330;25.0;560.0;11.5;4270.0;780.0;15.5;3530.0;95.5;83.0;1060.0;8.0
74;15 jaar of ouder;Appingedam;10180;510;50.5;150;24.0;130;20.5;70.0;12.0;120.0;50.0;16.0;120.0;24.0;96.5;200.0;19.5
75;15 jaar of ouder;Arnhem;128510;8770;68.5;2290;21.5;1990;18.5;800.0;8.0;900.0;420.0;20.5;530.0;6.5;59.0;1430.0;11.0
76;15 jaar of ouder;Assen;55290;2330;42.0;920;28.0;890;27.5;440.0;14.0;670.0;270.0;23.0;420.0;19.0;63.0;700.0;12.5
77;15 jaar of ouder;Asten;13930;230;16.5;70;25.0;50;18.5;30.0;10.5;60.0;20.0;13.5;50.0;22.0;82.5;100.0;7.0
78;15 jaar of ouder;Baarle-Nassau;5690;70;12.5;30;28.0;20;20.5;10.0;9.0;30.0;0.0;;10.0;14.0;36.0;30.0;4.5
79;15 jaar of ouder;Baarn;20590;390;19.0;120;24.0;110;21.0;50.0;10.0;270.0;60.0;16.5;200.0;55.5;73.5;60.0;3.0
80;15 jaar of ouder;Barendrecht;38380;560;14.5;230;30.5;180;24.0;70.0;9.5;290.0;60.0;17.0;240.0;46.5;81.5;80.0;2.0
81;15 jaar of ouder;Barneveld;43410;630;14.5;200;25.0;180;22.0;100.0;12.5;420.0;140.0;28.5;340.0;57.0;81.0;130.0;3.0
82;15 jaar of ouder;Bedum;8690;180;20.5;80;35.0;70;28.0;40.0;15.5;150.0;40.0;22.0;120.0;69.5;79.0;70.0;8.5
83;15 jaar of ouder;Beek (L.);14030;340;24.5;90;22.0;70;17.0;30.0;8.0;60.0;20.0;26.5;40.0;13.5;80.0;90.0;6.5
84;15 jaar of ouder;Beemster;7520;90;12.0;30;20.5;30;26.0;20.0;15.0;50.0;10.0;19.0;40.0;47.0;81.0;20.0;2.5
85;15 jaar of ouder;Beesel;11360;270;23.5;70;21.5;70;20.5;40.0;11.5;70.0;30.0;27.0;60.0;24.5;82.0;90.0;8.0
86;15 jaar of ouder;Bellingwedde;7760;240;31.5;150;38.0;100;23.5;40.0;11.0;150.0;40.0;16.0;130.0;53.5;83.0;120.0;15.5
87;15 jaar of ouder;Bergeijk;15420;170;11.0;70;30.0;70;29.5;30.0;15.0;40.0;0.0;;40.0;24.0;88.5;140.0;9.0
88;15 jaar of ouder;Bergen (L.);11210;190;17.0;70;25.5;70;25.0;40.0;16.5;90.0;30.0;24.5;70.0;38.0;73.0;140.0;12.0
89;15 jaar of ouder;Bergen (NH.);26000;310;12.0;120;28.0;100;22.5;50.0;12.5;100.0;10.0;15.0;50.0;18.0;54.0;70.0;3.0
90;15 jaar of ouder;Bergen op Zoom;56160;2110;37.5;660;24.0;630;23.0;260.0;10.5;610.0;190.0;20.5;430.0;23.0;71.0;540.0;9.5
91;15 jaar of ouder;Berkelland;37460;600;16.0;220;27.5;200;25.0;110.0;14.0;670.0;160.0;21.5;500.0;86.5;74.0;340.0;9.0
92;15 jaar of ouder;Bernheze;24720;290;11.5;100;27.5;70;20.0;40.0;10.5;140.0;20.0;11.0;120.0;42.0;83.5;260.0;10.5
93;15 jaar of ouder;Best;24080;500;21.0;170;27.0;130;21.0;60.0;10.5;240.0;60.0;24.0;160.0;33.0;65.5;160.0;6.5
94;15 jaar of ouder;Beuningen;21310;440;21.0;150;26.5;130;23.0;80.0;14.5;70.0;10.0;7.5;60.0;13.5;75.5;160.0;7.5
95;15 jaar of ouder;Beverwijk;33600;1150;34.0;440;29.5;370;24.5;180.0;13.0;320.0;100.0;19.0;250.0;23.5;77.5;220.0;6.5
96;15 jaar of ouder;het Bildt;8720;290;33.5;130;33.0;70;17.0;30.0;6.5;170.0;40.0;14.5;130.0;47.5;80.0;50.0;6.0
97;15 jaar of ouder;De Bilt;35170;710;20.0;210;25.5;140;17.5;50.0;6.5;160.0;40.0;16.5;130.0;19.5;83.0;70.0;2.0
98;15 jaar of ouder;Binnenmaas;24130;230;9.5;90;32.0;60;21.0;30.0;11.5;180.0;40.0;15.5;150.0;66.5;85.0;50.0;2.0
99;15 jaar of ouder;Bladel;16720;170;10.5;80;31.5;80;32.0;50.0;19.5;30.0;10.0;17.0;30.0;15.5;83.5;270.0;16.0
100;15 jaar of ouder;Blaricum;8050;120;15.0;40;23.5;30;16.5;20.0;11.5;70.0;20.0;23.5;40.0;40.5;66.5;10.0;1.0
101;15 jaar of ouder;Bloemendaal;18400;200;11.0;70;26.0;60;22.0;30.0;11.5;200.0;30.0;13.5;170.0;92.0;84.5;30.0;2.0
102;15 jaar of ouder;Bodegraven-Reeuwijk;27300;300;11.0;120;30.5;100;25.0;50.0;13.5;100.0;40.0;21.0;90.0;33.5;86.5;100.0;3.5
103;15 jaar of ouder;Boekel;8430;80;9.0;20;19.5;30;25.0;20.0;15.5;20.0;10.0;42.5;20.0;22.0;80.0;70.0;8.0
104;15 jaar of ouder;Ten Boer;6010;110;18.0;20;17.5;30;19.0;20.0;14.0;30.0;10.0;26.0;30.0;24.5;89.5;30.0;5.0
105;15 jaar of ouder;Borger-Odoorn;21680;530;24.5;180;25.5;160;22.5;70.0;10.5;200.0;80.0;28.0;170.0;32.5;83.0;240.0;11.0
106;15 jaar of ouder;Borne;18400;370;20.5;160;30.0;110;20.0;60.0;11.5;70.0;10.0;16.0;50.0;15.5;72.0;140.0;8.0
107;15 jaar of ouder;Borsele;18530;240;13.0;110;33.0;80;25.5;40.0;13.5;140.0;30.0;13.0;110.0;49.5;76.0;80.0;4.0
108;15 jaar of ouder;Boxmeer;24130;380;15.5;220;38.0;120;20.5;70.0;12.0;120.0;40.0;21.5;100.0;27.5;84.5;260.0;11.0
109;15 jaar of ouder;Boxtel;25350;510;20.0;200;29.0;190;27.0;100.0;16.0;140.0;60.0;26.0;110.0;24.0;80.0;410.0;16.5
110;15 jaar of ouder;Breda;152310;5420;35.5;1580;23.0;1330;19.5;540.0;8.5;1960.0;530.0;15.5;1720.0;35.0;88.0;1200.0;8.0
111;15 jaar of ouder;Brielle;14190;250;17.5;90;29.0;70;21.5;40.0;12.5;80.0;30.0;24.0;70.0;28.5;93.5;30.0;2.0
112;15 jaar of ouder;Bronckhorst;30940;370;12.0;160;33.0;100;22.0;50.0;11.5;130.0;20.0;16.5;90.0;24.5;66.5;200.0;6.5
113;15 jaar of ouder;Brummen;17880;350;19.5;120;26.5;90;20.0;40.0;9.5;390.0;60.0;14.0;330.0;97.0;85.0;90.0;5.0
114;15 jaar of ouder;Brunssum;24660;1110;45.0;310;21.5;310;21.5;140.0;10.0;260.0;110.0;19.5;210.0;20.5;82.5;490.0;20.0
115;15 jaar of ouder;Bunnik;12090;130;10.5;50;29.5;40;25.5;20.0;13.0;30.0;10.0;29.5;20.0;19.0;70.5;20.0;1.5
116;15 jaar of ouder;Bunschoten;16660;190;11.5;60;24.0;50;19.5;20.0;7.5;110.0;20.0;13.0;90.0;49.5;84.0;50.0;3.0
117;15 jaar of ouder;Buren;21750;240;11.0;120;37.0;110;33.0;50.0;14.5;60.0;20.0;31.5;40.0;18.5;70.5;110.0;5.0
118;15 jaar of ouder;Bussum;26850;640;24.0;190;24.0;160;20.0;60.0;8.5;70.0;30.0;23.0;70.0;11.5;90.5;70.0;2.5
119;15 jaar of ouder;Capelle aan den IJssel;55440;2670;48.0;850;24.5;740;21.5;290.0;9.5;1290.0;320.0;16.0;1110.0;46.5;86.0;330.0;6.0
120;15 jaar of ouder;Castricum;29380;320;11.0;120;29.5;90;21.0;40.0;10.0;190.0;50.0;25.5;140.0;45.5;74.5;50.0;1.5
121;15 jaar of ouder;Coevorden;29790;1020;34.0;320;24.5;250;18.5;120.0;9.5;890.0;160.0;23.5;510.0;51.5;57.0;210.0;7.0
122;15 jaar of ouder;Cranendonck;17670;300;16.5;120;29.0;80;19.5;40.0;9.5;60.0;30.0;26.0;50.0;16.5;82.0;110.0;6.0
123;15 jaar of ouder;Cromstrijen;10810;100;9.0;50;37.5;30;21.5;10.0;5.0;60.0;10.0;15.0;50.0;56.5;89.5;30.0;2.5
124;15 jaar of ouder;Cuijk;20690;510;24.5;180;26.5;160;24.0;60.0;11.0;150.0;70.0;31.0;110.0;25.5;75.0;300.0;14.5
125;15 jaar of ouder;Culemborg;22680;760;33.5;210;22.0;180;19.0;80.0;9.0;400.0;60.0;13.0;360.0;54.5;89.0;180.0;7.5
126;15 jaar of ouder;Dalfsen;22880;260;11.5;120;33.0;100;27.5;50.0;13.0;40.0;20.0;35.5;30.0;13.5;79.0;150.0;6.5
127;15 jaar of ouder;Dantumadiel;15750;540;34.0;150;21.5;150;21.5;80.0;11.0;100.0;30.0;19.0;80.0;15.0;79.5;210.0;13.5
128;15 jaar of ouder;Delft;88580;3620;41.0;1130;24.5;1040;22.5;480.0;11.5;1110.0;490.0;19.0;930.0;29.0;84.0;540.0;6.0
129;15 jaar of ouder;Delfzijl;21540;1090;50.5;400;26.5;350;23.5;160.0;11.5;270.0;80.0;10.5;240.0;24.0;90.5;210.0;10.0
130;15 jaar of ouder;Deurne;27000;460;17.0;140;24.0;110;19.5;70.0;12.5;80.0;40.0;15.0;70.0;16.0;82.0;210.0;7.5
131;15 jaar of ouder;Deventer;81740;3360;41.0;1130;26.5;840;19.5;390.0;9.5;1210.0;440.0;25.5;980.0;31.5;81.5;880.0;11.0
132;15 jaar of ouder;Diemen;22880;640;27.5;180;22.5;200;24.0;80.0;11.5;230.0;50.0;19.5;160.0;29.5;68.5;100.0;4.0
133;15 jaar of ouder;Dinkelland;21680;240;11.0;90;29.5;50;16.5;30.0;11.5;60.0;10.0;10.0;50.0;22.0;85.5;140.0;6.0
134;15 jaar of ouder;Doesburg;9640;390;41.0;140;25.5;130;25.0;50.0;11.0;280.0;60.0;16.5;230.0;63.5;82.0;100.0;10.5
135;15 jaar of ouder;Doetinchem;47550;1370;28.5;480;26.5;440;24.5;180.0;10.5;400.0;150.0;19.0;270.0;21.5;69.0;430.0;9.0
136;15 jaar of ouder;Dongen;21360;340;15.5;150;33.0;120;26.5;60.0;13.5;260.0;50.0;21.5;150.0;50.5;57.5;100.0;4.5
137;15 jaar of ouder;Dongeradeel;19670;680;34.5;200;22.0;190;21.0;100.0;12.0;150.0;50.0;21.5;130.0;19.5;82.0;310.0;15.5
138;15 jaar of ouder;Dordrecht;99310;4750;48.0;1520;24.5;1370;22.0;600.0;10.5;750.0;270.0;24.0;520.0;12.0;69.0;820.0;8.5
139;15 jaar of ouder;Drechterland;16090;170;10.5;60;27.5;50;23.5;30.0;13.0;80.0;10.0;5.0;70.0;47.0;91.5;60.0;3.5
140;15 jaar of ouder;Drimmelen;22790;190;8.5;90;34.0;80;29.5;40.0;17.0;120.0;30.0;20.5;80.0;46.5;70.5;100.0;4.5
141;15 jaar of ouder;Dronten;33390;820;24.5;360;31.5;220;19.5;90.0;8.5;320.0;90.0;18.0;270.0;36.0;84.0;80.0;2.5
142;15 jaar of ouder;Druten;15290;330;21.5;120;28.0;70;17.5;40.0;11.0;50.0;10.0;12.0;40.0;12.5;77.0;120.0;8.0
143;15 jaar of ouder;Duiven;21250;480;22.5;150;25.0;140;22.0;70.0;11.0;100.0;30.0;16.5;80.0;16.5;73.0;90.0;4.5
144;15 jaar of ouder;Echt-Susteren;27790;550;20.0;270;34.5;190;24.5;90.0;12.0;260.0;60.0;24.0;160.0;32.0;63.5;240.0;8.5
145;15 jaar of ouder;Edam-Volendam;24020;280;11.5;90;24.5;70;20.5;40.0;11.5;100.0;40.0;28.0;90.0;34.0;89.0;90.0;4.0
146;15 jaar of ouder;Ede;91630;2110;23.0;690;26.0;510;19.0;270.0;11.0;1060.0;290.0;20.0;890.0;47.0;84.5;460.0;5.0
147;15 jaar of ouder;Eemnes;7310;90;12.5;30;22.0;30;21.0;10.0;11.0;50.0;0.0;;30.0;35.5;64.5;20.0;2.5
148;15 jaar of ouder;Eemsmond;13250;470;35.5;180;28.0;160;26.0;70.0;11.5;450.0;60.0;10.5;370.0;80.5;82.5;250.0;18.5
149;15 jaar of ouder;Eersel;15710;160;10.0;50;25.0;50;24.0;20.0;11.0;30.0;20.0;34.0;30.0;18.0;0.0;170.0;10.5
150;15 jaar of ouder;Eijsden-Margraten;21700;240;11.0;70;22.5;50;17.0;20.0;8.5;110.0;20.0;17.5;90.0;37.0;80.0;90.0;4.0
151;15 jaar of ouder;Eindhoven;191530;7960;41.5;2330;23.5;1920;19.5;830.0;9.5;2190.0;730.0;16.0;1920.0;27.0;87.5;1510.0;8.0
152;15 jaar of ouder;Elburg;18480;240;13.0;130;38.0;110;31.0;60.0;17.0;130.0;40.0;31.5;90.0;36.5;66.0;160.0;8.5
153;15 jaar of ouder;Emmen;90990;4130;45.5;1180;22.0;1210;22.5;580.0;11.0;1650.0;530.0;21.0;1340.0;34.0;81.5;1220.0;13.5
154;15 jaar of ouder;Enkhuizen;15470;410;26.5;120;22.5;110;21.5;60.0;12.5;140.0;40.0;13.0;120.0;31.5;86.0;80.0;5.0
155;15 jaar of ouder;Enschede;133650;8670;65.0;2380;21.5;2230;20.5;970.0;10.0;2770.0;610.0;13.0;2390.0;31.0;86.5;1430.0;10.5
156;15 jaar of ouder;Epe;27370;510;18.5;190;28.0;170;25.5;70.0;11.5;550.0;100.0;15.0;440.0;96.5;79.0;220.0;8.0
157;15 jaar of ouder;Ermelo;22450;380;17.0;140;29.5;90;19.5;40.0;8.5;130.0;50.0;21.0;110.0;28.5;82.5;170.0;7.5
158;15 jaar of ouder;Etten-Leur;35520;810;22.5;280;26.0;260;24.0;130.0;13.5;410.0;70.0;19.0;280.0;38.5;67.0;290.0;8.0
