ID;SBI93;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
84;40 Energiebedrijven;2007;166;-1.0
85;40 Energiebedrijven;2008 januari;194;-4.0
86;40 Energiebedrijven;2008 februari;230;12.0
87;40 Energiebedrijven;2008 maart;203;6.0
88;40 Energiebedrijven;2008 1e kwartaal;209;4.0
89;40 Energiebedrijven;2008 april;162;15.0
90;40 Energiebedrijven;2008 mei;149;10.0
91;40 Energiebedrijven;2008 juni;132;2.0
92;40 Energiebedrijven;2008 2e kwartaal;148;9.0
93;40 Energiebedrijven;2008 juli;120;-7.0
94;40 Energiebedrijven;2008 augustus;145;13.0
95;40 Energiebedrijven;2008 september;156;14.0
96;40 Energiebedrijven;2008 3e kwartaal;140;7.0
97;40 Energiebedrijven;2008 oktober;158;-10.0
98;40 Energiebedrijven;2008 november;199;1.0
99;40 Energiebedrijven;2008 december;229;4.0
100;40 Energiebedrijven;2008 4e kwartaal;195;-1.0
101;40 Energiebedrijven;2008;173;4.0
102;41 Waterleidingbedrijven;2003 januari;116;
103;41 Waterleidingbedrijven;2003 februari;98;
104;41 Waterleidingbedrijven;2003 maart;101;
105;41 Waterleidingbedrijven;2003 1e kwartaal;105;
106;41 Waterleidingbedrijven;2003 april;115;
107;41 Waterleidingbedrijven;2003 mei;89;
108;41 Waterleidingbedrijven;2003 juni;101;
109;41 Waterleidingbedrijven;2003 2e kwartaal;102;
110;41 Waterleidingbedrijven;2003 juli;118;
111;41 Waterleidingbedrijven;2003 augustus;107;
112;41 Waterleidingbedrijven;2003 september;91;
113;41 Waterleidingbedrijven;2003 3e kwartaal;105;
114;41 Waterleidingbedrijven;2003 oktober;115;
115;41 Waterleidingbedrijven;2003 november;94;
116;41 Waterleidingbedrijven;2003 december;85;
117;41 Waterleidingbedrijven;2003 4e kwartaal;98;
118;41 Waterleidingbedrijven;2003;103;
119;41 Waterleidingbedrijven;2004 januari;124;7.0
120;41 Waterleidingbedrijven;2004 februari;89;-9.0
121;41 Waterleidingbedrijven;2004 maart;87;-13.0
122;41 Waterleidingbedrijven;2004 1e kwartaal;100;-4.0
123;41 Waterleidingbedrijven;2004 april;113;-2.0
124;41 Waterleidingbedrijven;2004 mei;103;15.0
125;41 Waterleidingbedrijven;2004 juni;88;-12.0
126;41 Waterleidingbedrijven;2004 2e kwartaal;101;0.0
127;41 Waterleidingbedrijven;2004 juli;124;5.0
128;41 Waterleidingbedrijven;2004 augustus;95;-11.0
129;41 Waterleidingbedrijven;2004 september;86;-6.0
130;41 Waterleidingbedrijven;2004 3e kwartaal;102;-4.0
131;41 Waterleidingbedrijven;2004 oktober;107;-7.0
132;41 Waterleidingbedrijven;2004 november;100;7.0
133;41 Waterleidingbedrijven;2004 december;91;8.0
134;41 Waterleidingbedrijven;2004 4e kwartaal;100;2.0
135;41 Waterleidingbedrijven;2004;101;-2.0
136;41 Waterleidingbedrijven;2005 januari;128;3.0
137;41 Waterleidingbedrijven;2005 februari;91;3.0
138;41 Waterleidingbedrijven;2005 maart;88;1.0
139;41 Waterleidingbedrijven;2005 1e kwartaal;102;2.0
140;41 Waterleidingbedrijven;2005 april;114;2.0
141;41 Waterleidingbedrijven;2005 mei;97;-6.0
142;41 Waterleidingbedrijven;2005 juni;99;11.0
143;41 Waterleidingbedrijven;2005 2e kwartaal;103;2.0
144;41 Waterleidingbedrijven;2005 juli;114;-8.0
145;41 Waterleidingbedrijven;2005 augustus;101;6.0
146;41 Waterleidingbedrijven;2005 september;87;2.0
147;41 Waterleidingbedrijven;2005 3e kwartaal;101;-1.0
148;41 Waterleidingbedrijven;2005 oktober;118;10.0
149;41 Waterleidingbedrijven;2005 november;94;-6.0
150;41 Waterleidingbedrijven;2005 december;95;4.0
151;41 Waterleidingbedrijven;2005 4e kwartaal;102;3.0
152;41 Waterleidingbedrijven;2005;102;2.0
153;41 Waterleidingbedrijven;2006 januari;129;1.0
154;41 Waterleidingbedrijven;2006 februari;93;2.0
155;41 Waterleidingbedrijven;2006 maart;90;2.0
156;41 Waterleidingbedrijven;2006 1e kwartaal;104;1.0
157;41 Waterleidingbedrijven;2006 april;112;-2.0
158;41 Waterleidingbedrijven;2006 mei;97;0.0
159;41 Waterleidingbedrijven;2006 juni;97;-2.0
160;41 Waterleidingbedrijven;2006 2e kwartaal;102;-1.0
161;41 Waterleidingbedrijven;2006 juli;141;24.0
162;41 Waterleidingbedrijven;2006 augustus;101;1.0
163;41 Waterleidingbedrijven;2006 september;111;27.0
164;41 Waterleidingbedrijven;2006 3e kwartaal;118;17.0
165;41 Waterleidingbedrijven;2006 oktober;119;1.0
166;41 Waterleidingbedrijven;2006 november;92;-2.0
167;41 Waterleidingbedrijven;2006 december;97;2.0
168;41 Waterleidingbedrijven;2006 4e kwartaal;103;0.0
169;41 Waterleidingbedrijven;2006;107;4.0
170;41 Waterleidingbedrijven;2007 januari;131;2.0
171;41 Waterleidingbedrijven;2007 februari;102;10.0
172;41 Waterleidingbedrijven;2007 maart;90;0.0
173;41 Waterleidingbedrijven;2007 1e kwartaal;108;4.0
174;41 Waterleidingbedrijven;2007 april;118;5.0
175;41 Waterleidingbedrijven;2007 mei;91;-6.0
176;41 Waterleidingbedrijven;2007 juni;104;8.0
177;41 Waterleidingbedrijven;2007 2e kwartaal;105;2.0
178;41 Waterleidingbedrijven;2007 juli;100;-29.0
179;41 Waterleidingbedrijven;2007 augustus;99;-2.0
180;41 Waterleidingbedrijven;2007 september;100;-10.0
181;41 Waterleidingbedrijven;2007 3e kwartaal;100;-15.0
182;41 Waterleidingbedrijven;2007 oktober;111;-7.0
183;41 Waterleidingbedrijven;2007 november;101;11.0
184;41 Waterleidingbedrijven;2007 december;119;23.0
185;41 Waterleidingbedrijven;2007 4e kwartaal;110;8.0
186;41 Waterleidingbedrijven;2007;106;-1.0
187;41 Waterleidingbedrijven;2008 januari;113;-14.0
188;41 Waterleidingbedrijven;2008 februari;124;21.0
189;41 Waterleidingbedrijven;2008 maart;76;-15.0
190;41 Waterleidingbedrijven;2008 1e kwartaal;104;-3.0
191;41 Waterleidingbedrijven;2008 april;115;-3.0
192;41 Waterleidingbedrijven;2008 mei;101;10.0
193;41 Waterleidingbedrijven;2008 juni;109;5.0
194;41 Waterleidingbedrijven;2008 2e kwartaal;108;4.0
195;41 Waterleidingbedrijven;2008 juli;110;10.0
196;41 Waterleidingbedrijven;2008 augustus;105;6.0
197;41 Waterleidingbedrijven;2008 september;104;4.0
198;41 Waterleidingbedrijven;2008 3e kwartaal;106;7.0
199;41 Waterleidingbedrijven;2008 oktober;108;-3.0
200;41 Waterleidingbedrijven;2008 november;99;-3.0
201;41 Waterleidingbedrijven;2008 december;103;-13.0
202;41 Waterleidingbedrijven;2008 4e kwartaal;103;-7.0
203;41 Waterleidingbedrijven;2008;106;0.0
