ID;Mineralen;Perioden;TotaalAanvoerNaarVeehouderij_1;TotaalKrachtvoer_2;Rundvee_3;Varkens_4;Pluimvee_5;OverigeDieren_6;TotaalRuwvoer_7;Rundvee_8;Varkens_9;Pluimvee_10;OverigeDieren_11;TotaalAfvoerVanVeehouderij_12;TotaalVastlegging_13;Rundvee_14;Varkens_15;Pluimvee_16;OverigeDieren_17;TotaalUitscheidingVeestapel_18;Rundvee_19;Varkens_20;Pluimvee_21;OverigeDieren_22;TotaalVeehouderij_23;Rundvee_24;Varkens_25;Pluimvee_26;OverigeDieren_27;TotaalAanvoerNaarCultuurgrond_28;TotaalDierlijkMest_29;Weidemest_30;Stalmest_31;TotaalUitscheidingVeestapel_32;UitscheidingInDeWei_33;UitscheidingInDeStal_34;TotaalStikstofvervluchtiging_35;Ammoniakvervluchtiging_36;OverigeStikstofvervluchtiging_37;MestafzetBuitenDeLandbouw_38;Kunstmest_39;TotaalLuchtdepositie_40;HerkomstLandbouw_41;HerkomstNietLandbouw_42;TotaalOverigeAanvoer_43;BiologischeStikstofbinding_44;OverigeAanvoer_45;TotaalAfvoerVanCultuurgrond_46;TotaalStikstofvervluchtiging_47;TotaalDierlijkMest_48;Weidemest_49;Stalmest_50;Kunstmest_51;OverigeAanvoer_52;TotaalAfvoerViaGewassen_53;TotaalRuwvoer_54;Kuilgras_55;Weidegras_56;Hooi_57;Snijmais_58;TotaalAfzetPlantaardigeProducten_59;TotaalAkkerbouwgewassen_60;Aardappelen_61;Suikerbieten_62;Tarwe_63;OverigeAkkerbouwgewassen_64;TotaalTuinbouwgewassen_65;GroenteEnFruit_66;OverigeTuinbouwgewassen_67;TotaalStikstofvervluchtiging_68;Conserveringsverlies_69;GewasrestenEnAfrijpendeGewassen_70;VerliesNaarDeBodem_71;BenuttingMineralenCultuurgrond_72;TotaalAanvoer_73;DierlijkeMest_74;Kunstmest_75;Luchtdepositie_76;OverigeAanvoer_77;TotaalAfvoer_78;StikstofvervluchtigingWeiEnToediening_79;Ruwvoer_80;Akkerbouwgewassen_81;Tuinbouwgewassen_82;StikstofvervluchtigingGewassen_83;VerliesNaarDeBodem_84;TotaalAanvoerNaarSectorLandbouw_85;Krachtvoer_86;Kunstmest_87;LuchtdepositieHerkomstNietLandbouw_88;OverigeAanvoer_89;TotaalAfvoerVanSectorLandbouw_90;MestafzetBuitenDeLandbouw_91;VastleggingInDierlijkeProductie_92;AfzetPlantaardigeProducten_93;VoorraadmutatieRuwvoer_94;TotaalVerlies_95;VerliesNaarDeBodem_96;TotaalVerliesNaarLucht_97;StikstofvervluchtigingStalEnOpslag_98;StikstofvervluchtigingWeiEnToediening_99;StikstofvervluchtigingGewassen_100;LuchtdepositieHerkomstLandbouw_101;BenuttingMineralenLandbouw_102
18;Stikstof (N);2008;680;405;127;169;102;7;275;258;0;0;17;680;191;85;61;42;3;489;300;109;60;21;28;22;36;41;12;643;357;86;272;489;86;404;69.0;59.0;10.0;63;221;50.0;22.0;29.0;15;6.0;9;643;39.0;31.0;2.0;29.0;8.0;0.0;384;287;137;102;3;45;88;72;22;9;24;17;16;10;6;8.0;5.0;3.0;220;60;333;185;114;26.0;8;333;20.0;149;38;8;4.0;114;669;405;221;29.0;15;669;63;191;88;12;315;220;95.0;69.0;39.0;8.0;22.0;46
19;Stikstof (N);2009;675;404;124;170;103;7;272;255;0;0;17;675;193;86;62;42;3;482;293;108;61;20;29;23;36;41;13;620;346;73;272;482;73;409;69.0;59.0;10.0;67;211;47.0;20.0;27.0;15;6.0;10;620;36.0;29.0;2.0;28.0;7.0;0.0;368;269;141;80;4;43;91;75;23;10;25;17;16;10;6;8.0;5.0;3.0;216;59;323;180;110;25.0;8;323;19.0;140;39;8;4.0;113;658;404;211;27.0;15;658;67;193;91;-3;310;216;94.0;69.0;36.0;8.0;20.0;48
20;Stikstof (N);2010;685;410;129;168;107;7;274;257;0;0;17;685;197;88;62;44;3;488;299;106;63;21;29;23;37;41;13;615;351;74;278;488;74;414;67.0;57.0;10.0;69;205;44.0;17.0;27.0;15;6.0;9;615;35.0;29.0;2.0;27.0;6.0;0.0;368;274;144;85;3;42;86;70;22;9;24;15;16;10;6;8.0;5.0;3.0;212;60;329;188;110;23.0;8;329;19.0;146;37;8;5.0;113;658;410;205;27.0;15;658;69;197;86;0;306;212;95.0;67.0;35.0;8.0;17.0;48
21;Stikstof (N);2011;671;406;125;170;104;8;265;249;0;0;16;671;195;87;63;43;3;476;288;107;61;20;29;23;37;42;13;610;343;61;281;476;61;414;65.0;55.0;10.0;68;200;51.0;24.0;27.0;15;6.0;9;610;36.0;29.0;1.0;27.0;6.0;0.0;362;269;146;78;3;43;84;68;23;10;21;13;17;10;6;8.0;5.0;3.0;212;59;328;184;108;28.0;8;328;19.0;145;36;9;4.0;114;649;406;200;27.0;15;649;68;195;84;4;297;212;85.0;65.0;36.0;8.0;24.0;48
22;Stikstof (N);2012;653;394;120;166;99;8;259;244;0;0;15;653;194;87;61;43;3;459;277;105;57;20;30;24;37;43;13;590;330;58;272;459;58;402;62.0;52.0;10.0;68;200;45.0;19.0;26.0;16;6.0;10;590;35.0;28.0;1.0;27.0;7.0;0.0;343;251;147;61;4;39;84;68;22;10;23;13;16;10;6;8.0;5.0;3.0;212;58;320;179;108;25.0;8;320;19.0;136;37;9;4.0;115;635;394;200;26.0;16;635;68;194;84;-8;298;212;86.0;62.0;35.0;8.0;19.0;49
23;Stikstof (N);2013;669;404;130;163;103;8;265;249;0;0;16;669;198;90;61;44;3;471;289;102;59;21;30;24;37;43;13;613;340;61;279;471;61;411;59.0;49.0;10.0;72;216;40.0;17.0;23.0;16;6.0;10;613;35.0;27.0;1.0;26.0;8.0;0.0;363;271;155;74;4;38;84;68;21;10;24;13;16;10;6;9.0;5.0;3.0;214;59;332;184;117;22.0;9;332;19.0;147;37;9;5.0;116;660;404;216;23.0;16;660;72;198;84;6;300;214;86.0;59.0;35.0;9.0;17.0;48
24;Stikstof (N);2014;686;414;142;160;104;8;272;257;0;0;15;686;201;91;61;46;3;485;308;99;58;20;29;23;38;44;14;626;353;61;292;485;61;424;61.0;51.0;11.0;71;213;43.0;18.0;25.0;16;6.0;10;626;37.0;29.0;1.0;27.0;8.0;0.0;394;298;180;76;3;39;87;70;23;12;23;13;16;10;6;9.0;6.0;3.0;195;63;340;192;116;24.0;9;340;20.0;162;38;9;5.0;106;668;414;213;25.0;16;668;71;201;87;25;284;195;90.0;61.0;37.0;9.0;18.0;48
25;Stikstof (N);2015;706;423;144;162;108;9;283;268;0;0;15;706;210;96;63;48;3;496;316;99;60;21;30;23;39;44;14;658;357;57;300;496;57;439;63.0;52.0;11.0;76;245;39.0;16.0;23.0;17;7.0;9;658;37.0;28.0;1.0;26.0;9.0;0.0;369;276;173;60;4;40;84;67;22;8;23;14;17;11;6;9.0;6.0;3.0;251;56;356;193;133;21.0;9;356;20.0;150;36;9;5.0;136;708;423;245;23.0;17;708;76;210;84;-6;344;251;93.0;63.0;37.0;9.0;16.0;47
26;Stikstof (N);2016;719;438;161;159;109;8;281;269;0;0;12;719;216;103;62;49;3;503;327;97;60;18;30;24;39;45;15;646;360;51;309;503;51;451;64.0;52.0;12.0;79;230;39.0;16.0;23.0;18;8.0;10;646;37.0;28.0;1.0;27.0;8.0;1.0;365;277;178;63;4;32;79;62;22;9;18;13;17;10;6;9.0;6.0;3.0;245;56;360;200;128;22.0;10;360;21.0;154;35;9;5.0;136;708;438;230;23.0;18;708;79;216;79;-4;339;245;94.0;64.0;37.0;9.0;16.0;47
27;Stikstof (N);2017 ;726;434;160;160;105;9;292;279;0;0;13;726;215;102;62;47;3;511;337;97;57;19;30;23;39;45;14;656;369;52;317;511;52;458;65.0;53.0;12.0;77;230;40.0;17.0;23.0;17;8.0;9;656;38.0;29.0;1.0;28.0;8.0;0.0;404;307;188;79;3;37;87;70;25;14;19;12;18;11;6;10.0;6.0;3.0;214;62;366;206;129;22.0;10;366;21.0;171;39;10;5.0;120;704;434;230;23.0;17;704;77;215;87;15;309;214;95.0;65.0;38.0;10.0;17.0;48
28;Stikstof (N);2018 ;711;421;153;159;98;10;291;274;0;0;17;711;208;100;62;42;4;504;327;97;57;23;29;23;39;42;15;640;369;52;317;504;52;452;63.0;51.0;12.0;72;212;42.0;19.0;23.0;17;7.0;9;640;38.0;30.0;1.0;29.0;7.0;0.0;351;264;162;65;2;35;78;61;20;11;18;13;16;10;6;9.0;5.0;3.0;252;55;351;202;117;23.0;9;351;21.0;145;34;9;5.0;138;673;421;212;23.0;17;673;72;208;78;-27;342;252;90.0;63.0;38.0;9.0;19.0;47
29;Stikstof (N);2019 ;697;410;147;156;97;10;287;269;0;0;18;697;207;100;63;41;4;490;316;94;56;24;30;24;40;42;15;624;355;51;304;490;51;439;60.0;48.0;11.0;75;215;37.0;17.0;20.0;17;8.0;9;624;35.0;27.0;1.0;26.0;8.0;0.0;380;283;181;63;3;36;87;70;23;11;21;14;18;11;6;10.0;6.0;4.0;209;61;343;196;118;20.0;10;343;19.0;156;38;10;5.0;115;662;410;215;20.0;17;662;75;207;87;-4;296;209;88.0;60.0;35.0;10.0;17.0;50
30;Stikstof (N);2020 ;698;415;155;154;97;9;283;265;0;0;18;698;208;101;62;42;4;489;320;92;55;23;30;24;40;43;15;626;357;51;306;489;51;439;59.0;48.0;11.0;73;217;34.0;16.0;18.0;18;9.0;9;626;35.0;27.0;1.0;26.0;7.0;0.0;370;278;161;76;4;37;83;66;23;11;17;14;18;11;6;9.0;5.0;3.0;221;59;345;197;120;19.0;10;345;19.0;153;36;10;5.0;122;668;415;217;18.0;18;668;73;208;83;-5;309;221;88.0;59.0;35.0;9.0;16.0;49
31;Stikstof (N);2021 ;673;408;157;149;93;8;266;248;0;0;18;673;202;99;60;39;4;471;306;89;54;22;30;24;40;42;15;615;346;48;299;471;48;423;57.0;46.0;11.0;68;212;38.0;18.0;20.0;19;10.0;9;615;36.0;28.0;1.0;27.0;8.0;0.0;369;276;179;60;4;33;83;65;22;11;18;14;18;12;6;9.0;6.0;3.0;210;60;339;191;117;21.0;10;339;20.0;152;36;10;5.0;116;658;408;212;20.0;19;658;68;202;83;10;295;210;85.0;57.0;36.0;9.0;18.0;48
32;Stikstof (N);2022 ;667;410;163;148;90;8;257;239;0;0;18;667;200;100;60;36;4;467;302;89;54;22;30;25;40;40;15;587;346;48;299;467;48;419;56.0;45.0;10.0;65;188;34.0;16.0;19.0;17;8.0;9;587;35.0;28.0;1.0;27.0;7.0;0.0;328;230;145;48;4;33;90;73;23;12;22;16;17;10;6;8.0;5.0;4.0;223;56;325;192;104;19.0;10;325;19.0;127;41;9;5.0;124;634;410;188;19.0;17;634;65;200;90;-27;306;223;83.0;56.0;35.0;8.0;16.0;51
33;Stikstof (N);2023 ;663;396;158;139;89;10;267;251;0;0;17;663;200;102;57;36;4;464;307;82;53;22;30;25;41;41;16;590;342;50;292;464;50;414;56.0;45.0;11.0;66;193;34.0;16.0;19.0;21;12.0;9;590;33.0;26.0;1.0;24.0;7.0;0.0;375;281;174;70;5;32;84;68;22;8;19;18;17;10;6;9.0;6.0;3.0;182;64;327;190;107;19.0;12;327;19.0;156;37;9;5.0;101;628;396;193;19.0;21;628;66;200;84;14;265;182;83.0;56.0;33.0;9.0;16.0;51
34;Fosfor (P);1990 ;138;91;26;43;20;1;47;44;0;0;3;138;37;18;13;6;0;100;53;30;14;4;27;25;31;28;12;134;96;19;77;100;19;82;;;;4;32;;;;5;;5;134;;;;;;;65;47;17;23;1;5;18;15;4;4;4;3;3;1;2;;;;69;49;67;48;16;;3;67;;24;7;1;;34;128;91;32;;5;128;4;37;18;0;69;69;;;;;;44
35;Fosfor (P);1991 ;140;92;26;43;21;1;49;46;0;0;3;140;37;18;13;6;1;103;54;30;15;4;27;25;30;28;12;136;100;18;82;103;18;85;;;;3;31;;;;5;;5;136;;;;;;;60;43;16;22;1;4;16;13;4;4;3;3;3;1;2;;;;76;44;68;50;16;;3;68;;22;7;1;;38;128;92;31;;5;128;3;37;16;-6;76;76;;;;;;43
36;Fosfor (P);1992;140;94;27;44;22;1;46;43;0;0;3;140;38;18;14;6;1;102;52;30;15;4;27;25;31;29;12;135;97;18;79;102;18;83;;;;4;33;;;;5;;5;135;;;;;;;66;49;17;26;1;5;17;14;5;4;3;2;3;2;2;;;;69;49;68;49;16;;2;68;;25;7;2;;35;131;94;33;;5;131;4;38;17;3;69;69;;;;;;44
37;Fosfor (P);1993 ;144;95;27;46;21;1;49;45;0;0;3;144;39;17;14;6;1;105;55;31;15;4;27;24;32;29;11;132;100;20;81;105;20;86;;;;5;28;;;;4;;4;132;;;;;;;68;50;19;25;1;6;18;15;5;4;4;3;3;2;2;;;;64;51;67;50;14;;2;67;;25;7;2;;32;128;95;28;;4;128;5;39;18;2;64;64;;;;;;46
38;Fosfor (P);1994;136;90;27;42;20;1;46;43;0;0;3;136;37;17;14;6;0;99;53;28;14;4;28;25;33;29;12;123;91;17;74;99;17;81;;;;7;29;;;;4;;4;123;;;;;;;58;42;15;21;1;5;16;13;4;3;3;2;3;2;2;;;;66;47;63;46;15;;2;63;;21;7;2;;33;122;90;29;;4;122;7;37;16;-4;66;66;;;;;;47
39;Fosfor (P);1995;131;89;29;40;18;1;43;40;0;0;3;131;38;17;14;6;0;94;52;26;12;4;29;25;35;32;11;116;87;17;70;94;17;77;;;;7;26;;;;3;;3;116;;;;;;;56;39;14;20;1;4;17;14;4;3;4;2;3;2;2;;;;60;49;59;44;13;;2;59;;20;7;2;;30;118;89;26;;3;118;7;38;17;-3;60;60;;;;;;49
40;Fosfor (P);1996;123;85;27;39;18;1;38;36;0;0;3;123;37;17;14;6;0;86;45;25;12;3;30;28;35;32;13;112;81;15;66;86;15;71;;;;5;28;;;;3;;3;112;;;;;;;53;36;13;18;1;5;17;14;5;3;4;3;3;2;2;;;;59;47;57;41;14;;2;57;;18;7;2;;30;116;85;28;;3;116;5;37;17;-3;59;59;;;;;;49
41;Fosfor (P);1997;122;82;26;37;18;1;40;37;0;0;3;122;37;17;13;6;0;85;46;24;12;4;30;27;35;34;12;111;81;16;64;85;16;69;;;;5;27;;;;3;;3;111;;;;;;;62;45;17;21;1;6;17;14;5;3;4;3;3;2;2;;;;49;56;56;41;14;;2;56;;23;7;2;;25;113;82;27;;3;113;5;37;17;5;49;49;;;;;;50
42;Fosfor (P);1998;122;82;24;37;19;1;41;38;0;0;3;122;37;16;14;7;0;85;45;24;12;4;30;26;37;35;11;112;79;15;64;85;15;70;;;;6;30;;;;3;;3;112;;;;;;;56;41;20;15;1;5;15;12;3;2;4;3;3;1;2;;;;56;50;57;40;15;;2;57;;21;6;2;;29;114;82;30;;3;114;6;37;15;0;56;56;;;;;;48
43;Fosfor (P);1999;124;80;23;36;20;1;44;41;0;0;3;124;37;16;14;7;1;87;47;22;14;4;30;25;39;32;12;110;80;16;64;87;16;71;;;;7;27;;;;3;;3;110;;;;;;;59;43;16;19;1;6;17;14;5;3;3;3;3;2;2;;;;51;54;56;41;14;;2;56;;22;7;2;;26;111;80;27;;3;111;7;37;17;-1;51;51;;;;;;52
