ID;BedrijfstakkenBranchesSBI2008;Perioden;OndernemingenMetEPOPatentaanvragen_1;PatentaanvragenBijHetEPO_2;OndernemingenMetNLOCPatentaanvragen_3;PatentaanvragenBijHetNLOC_4
43;20 Chemische industrie;2010;19.0;274.0;5.0;11.0
44;21 Farmaceutische industrie;2009;8.0;54.0;2.0;2.0
45;21 Farmaceutische industrie;2010;7.0;56.0;1.0;1.0
46;22 Rubber- en kunststofproductindustrie;2009;19.0;32.0;29.0;38.0
47;22 Rubber- en kunststofproductindustrie;2010;17.0;20.0;20.0;39.0
48;23 Bouwmaterialenindustrie;2009;3.0;3.0;10.0;12.0
49;23 Bouwmaterialenindustrie;2010;7.0;9.0;10.0;12.0
50;24 Basismetaalindustrie;2009;4.0;12.0;4.0;5.0
51;24 Basismetaalindustrie;2010;2.0;15.0;3.0;3.0
52;25 Metaalproductenindustrie;2009;36.0;46.0;62.0;76.0
53;25 Metaalproductenindustrie;2010;30.0;47.0;48.0;59.0
54;26 Elektrotechnische industrie;2009;24.0;557.0;16.0;19.0
55;26 Elektrotechnische industrie;2010;20.0;270.0;20.0;38.0
56;27 Elektrische apparatenindustrie;2009;13.0;1305.0;20.0;46.0
57;27 Elektrische apparatenindustrie;2010;12.0;1013.0;13.0;26.0
58;28 Machine-industrie;2009;69.0;226.0;83.0;384.0
59;28 Machine-industrie;2010;63.0;193.0;68.0;336.0
60;29 Auto- en aanhangwagenindustrie;2009;13.0;26.0;14.0;25.0
61;29 Auto- en aanhangwagenindustrie;2010;12.0;23.0;12.0;30.0
62;30 Overige transportmiddelenindustrie;2009;6.0;9.0;11.0;24.0
63;30 Overige transportmiddelenindustrie;2010;7.0;13.0;13.0;25.0
64;31 Meubelindustrie;2009;3.0;4.0;7.0;8.0
65;31 Meubelindustrie;2010;2.0;3.0;6.0;9.0
66;32 Overige industrie;2009;19.0;22.0;10.0;13.0
67;32 Overige industrie;2010;12.0;14.0;16.0;20.0
68;33 Reparatie en installatie van machines;2009;9.0;12.0;23.0;35.0
69;33 Reparatie en installatie van machines;2010;14.0;20.0;10.0;11.0
70;D Energievoorziening;2009;7.0;12.0;2.0;4.0
71;D Energievoorziening;2010;4.0;5.0;5.0;7.0
72;35 Energiebedrijven;2009;7.0;12.0;2.0;4.0
73;35 Energiebedrijven;2010;4.0;5.0;5.0;7.0
74;E Waterbedrijven en afvalbeheer;2009;6.0;7.0;3.0;4.0
75;E Waterbedrijven en afvalbeheer;2010;3.0;3.0;7.0;8.0
76;36 Waterleidingbedrijven;2009;1.0;2.0;1.0;1.0
77;36 Waterleidingbedrijven;2010;1.0;1.0;1.0;1.0
78;37 Afvalwaterinzameling en -behandeling;2009;1.0;1.0;;
79;37 Afvalwaterinzameling en -behandeling;2010;;;;
80;38 Afvalbehandeling en recycling;2009;4.0;4.0;2.0;3.0
81;38 Afvalbehandeling en recycling;2010;1.0;1.0;6.0;8.0
82;39 Sanering en overig afvalbeheer;2009;;;;
83;39 Sanering en overig afvalbeheer;2010;1.0;1.0;;
84;F Bouwnijverheid;2009;20.0;26.0;71.0;85.0
85;F Bouwnijverheid;2010;30.0;35.0;84.0;100.0
86;41 Algemene bouw en projectontwikkeling;2009;9.0;11.0;22.0;27.0
87;41 Algemene bouw en projectontwikkeling;2010;7.0;9.0;23.0;24.0
88;42 Grond-, water-  en wegenbouw;2009;5.0;7.0;12.0;16.0
89;42 Grond-, water-  en wegenbouw;2010;9.0;14.0;12.0;24.0
90;43 Gespecialiseerde bouw;2009;6.0;8.0;37.0;43.0
91;43 Gespecialiseerde bouw;2010;14.0;13.0;49.0;52.0
92;G+I Handel en horeca;2009;139.0;244.0;209.0;281.0
93;G+I Handel en horeca;2010;130.0;225.0;235.0;302.0
94;G Handel;2009;137.0;243.0;203.0;275.0
95;G Handel;2010;129.0;224.0;231.0;298.0
96;45 Autohandel en -reparatie;2009;6.0;12.0;11.0;17.0
97;45 Autohandel en -reparatie;2010;5.0;5.0;16.0;19.0
98;46 Groothandel en handelsbemiddeling;2009;121.0;217.0;175.0;238.0
99;46 Groothandel en handelsbemiddeling;2010;112.0;209.0;192.0;253.0
100;47 Detailhandel (niet in auto’s);2009;10.0;15.0;17.0;21.0
101;47 Detailhandel (niet in auto’s);2010;12.0;11.0;23.0;26.0
102;H+J Vervoer, informatie en communicatie;2009;28.0;69.0;51.0;52.0
103;H+J Vervoer, informatie en communicatie;2010;35.0;77.0;38.0;41.0
104;H Vervoer en opslag;2009;4.0;5.0;10.0;13.0
105;H Vervoer en opslag;2010;4.0;5.0;6.0;7.0
106;49 Vervoer over land;2009;;;4.0;6.0
107;49 Vervoer over land;2010;1.0;1.0;3.0;4.0
108;50 Vervoer over water;2009;;;;
109;50 Vervoer over water;2010;;;1.0;1.0
110;51 Vervoer door de lucht;2009;;;1.0;2.0
111;51 Vervoer door de lucht;2010;;;;
112;52 Opslag, dienstverlening voor vervoer;2009;3.0;4.0;5.0;5.0
113;52 Opslag, dienstverlening voor vervoer;2010;2.0;3.0;2.0;2.0
114;53 Post en koeriers;2009;1.0;1.0;;
115;53 Post en koeriers;2010;1.0;1.0;;
116;I Horeca;2009;2.0;2.0;6.0;6.0
117;I Horeca;2010;1.0;1.0;4.0;4.0
118;55 Logiesverstrekking;2009;;;1.0;1.0
119;55 Logiesverstrekking;2010;;;1.0;1.0
120;56 Eet- en drinkgelegenheden;2009;2.0;2.0;5.0;5.0
121;56 Eet- en drinkgelegenheden;2010;1.0;1.0;3.0;3.0
122;J Informatie en communicatie;2009;24.0;64.0;41.0;39.0
123;J Informatie en communicatie;2010;31.0;72.0;32.0;35.0
124;58 Uitgeverijen;2009;;;1.0;1.0
125;58 Uitgeverijen;2010;;;1.0;1.0
126;"59 Film- en tv-productie; geluidsopname";2009;2.0;2.0;;
127;"59 Film- en tv-productie; geluidsopname";2010;1.0;1.0;2.0;1.0
128;60 Radio- en televisieomroepen;2009;1.0;3.0;;
129;60 Radio- en televisieomroepen;2010;;;;
130;61 Telecommunicatie;2009;1.0;14.0;3.0;3.0
131;61 Telecommunicatie;2010;4.0;22.0;1.0;1.0
132;62 IT-dienstverlening;2009;19.0;44.0;35.0;33.0
133;62 IT-dienstverlening;2010;25.0;48.0;26.0;29.0
134;63 Diensten op het gebied van informatie;2009;1.0;1.0;2.0;2.0
135;63 Diensten op het gebied van informatie;2010;1.0;1.0;2.0;3.0
136;K Financiële dienstverlening;2009;36.0;58.0;73.0;84.0
137;K Financiële dienstverlening;2010;18.0;31.0;45.0;48.0
138;64 Bankwezen;2009;32.0;54.0;62.0;65.0
139;64 Bankwezen;2010;16.0;29.0;39.0;42.0
140;65 Verzekeraars en pensioenfondsen;2009;;;;
141;65 Verzekeraars en pensioenfondsen;2010;;;;
142;66 Overige financiële dienstverlening;2009;4.0;4.0;11.0;19.0
143;66 Overige financiële dienstverlening;2010;2.0;2.0;6.0;7.0
144;L Verhuur en handel van onroerend goed;2009;7.0;8.0;11.0;13.0
145;L Verhuur en handel van onroerend goed;2010;2.0;2.0;8.0;10.0
146;68 Verhuur en handel van onroerend goed;2009;7.0;8.0;11.0;13.0
147;68 Verhuur en handel van onroerend goed;2010;2.0;2.0;8.0;10.0
148;M-U Zakelijke en persoonlijke diensten;2009;240.0;850.0;322.0;413.0
149;M-U Zakelijke en persoonlijke diensten;2010;206.0;656.0;320.0;418.0
150;M Specialistische zakelijke diensten;2009;169.0;665.0;239.0;293.0
151;M Specialistische zakelijke diensten;2010;151.0;512.0;241.0;296.0
152;69 Juridische diensten en administratie;2009;4.0;5.0;7.0;9.0
153;69 Juridische diensten en administratie;2010;6.0;6.0;7.0;7.0
154;70 Holdings en managementadviesbureaus;2009;19.0;22.0;46.0;53.0
155;70 Holdings en managementadviesbureaus;2010;21.0;162.0;37.0;39.0
156;71 Architecten-, ingenieursbureaus e.d.;2009;68.0;94.0;115.0;129.0
157;71 Architecten-, ingenieursbureaus e.d.;2010;52.0;87.0;122.0;143.0
158;72 Research;2009;64.0;528.0;33.0;64.0
159;72 Research;2010;56.0;236.0;39.0;71.0
160;73 Reclamewezen en marktonderzoek;2009;5.0;7.0;25.0;25.0
161;73 Reclamewezen en marktonderzoek;2010;6.0;8.0;23.0;22.0
162;74 Design, fotografie, vertaalbureaus;2009;7.0;7.0;12.0;14.0
163;74 Design, fotografie, vertaalbureaus;2010;10.0;13.0;12.0;14.0
164;75 Veterinaire dienstverlening;2009;2.0;2.0;1.0;1.0
165;75 Veterinaire dienstverlening;2010;;;1.0;1.0
166;N Verhuur en overige zakelijke diensten;2009;27.0;38.0;32.0;38.0
167;N Verhuur en overige zakelijke diensten;2010;16.0;30.0;28.0;42.0
168;77 Verhuur van roerende goederen;2009;19.0;30.0;18.0;24.0
169;77 Verhuur van roerende goederen;2010;10.0;17.0;17.0;32.0
170;78 Uitzendbureaus en arbeidsbemiddeling;2009;3.0;2.0;5.0;5.0
171;78 Uitzendbureaus en arbeidsbemiddeling;2010;3.0;11.0;2.0;2.0
172;79 Reisbureaus, reisorganisatie en -info;2009;;;1.0;1.0
173;79 Reisbureaus, reisorganisatie en -info;2010;;;;
174;80 Beveiligings- en opsporingsdiensten;2009;2.0;3.0;;
175;80 Beveiligings- en opsporingsdiensten;2010;;;2.0;3.0
176;81 Schoonmaakbedrijven, hoveniers e.d.;2009;3.0;3.0;8.0;8.0
177;81 Schoonmaakbedrijven, hoveniers e.d.;2010;3.0;2.0;7.0;5.0
178;82 Overige zakelijke dienstverlening;2009;;;;
179;82 Overige zakelijke dienstverlening;2010;;;;
180;O Openbaar bestuur en overheidsdiensten;2009;1.0;3.0;1.0;1.0
181;O Openbaar bestuur en overheidsdiensten;2010;;;1.0;1.0
182;84 Openbaar bestuur en overheidsdiensten;2009;1.0;3.0;1.0;1.0
183;84 Openbaar bestuur en overheidsdiensten;2010;;;1.0;1.0
184;P Onderwijs;2009;12.0;61.0;5.0;36.0
185;P Onderwijs;2010;13.0;58.0;17.0;49.0
186;85 Onderwijs;2009;12.0;61.0;5.0;36.0
187;85 Onderwijs;2010;13.0;58.0;17.0;49.0
188;Q Gezondheids- en welzijnszorg;2009;17.0;50.0;13.0;13.0
189;Q Gezondheids- en welzijnszorg;2010;16.0;43.0;10.0;10.0
190;86 Gezondheidszorg;2009;17.0;50.0;12.0;13.0
191;86 Gezondheidszorg;2010;15.0;42.0;9.0;9.0
192;87 Verpleging en zorg met overnachting;2009;;;;
193;87 Verpleging en zorg met overnachting;2010;;;;
194;88 Welzijnszorg zonder overnachting;2009;;;1.0;1.0
195;88 Welzijnszorg zonder overnachting;2010;1.0;1.0;1.0;1.0
196;R Cultuur, sport en recreatie;2009;6.0;6.0;21.0;22.0
197;R Cultuur, sport en recreatie;2010;3.0;3.0;10.0;9.0
198;90 Kunst;2009;4.0;4.0;14.0;15.0
199;90 Kunst;2010;2.0;2.0;7.0;7.0
200;91 Bibliotheken, musea en natuurbehoud;2009;;;;
201;91 Bibliotheken, musea en natuurbehoud;2010;;;;
202;92 Loterijen en kansspelen;2009;;;1.0;1.0
203;92 Loterijen en kansspelen;2010;;;;
204;93 Sport en recreatie;2009;2.0;2.0;6.0;7.0
205;93 Sport en recreatie;2010;1.0;1.0;3.0;3.0
206;S Overige dienstverlening;2009;8.0;26.0;11.0;10.0
207;S Overige dienstverlening;2010;7.0;10.0;13.0;12.0
208;94 Ideële, belangen-, hobbyverenigingen;2009;7.0;25.0;6.0;5.0
209;94 Ideële, belangen-, hobbyverenigingen;2010;4.0;7.0;3.0;3.0
210;95 Reparatie van consumentenartikelen;2009;;;;
211;95 Reparatie van consumentenartikelen;2010;1.0;1.0;3.0;3.0
212;96 Overige persoonlijke dienstverlening;2009;1.0;1.0;5.0;5.0
213;96 Overige persoonlijke dienstverlening;2010;2.0;2.0;7.0;6.0
214;T Huishoudens;2009;;;;
215;T Huishoudens;2010;;;;
216;97 Huishoudens met personeel;2009;;;;
217;97 Huishoudens met personeel;2010;;;;
218;98 Huishoudproductie voor eigen gebruik;2009;;;;
219;98 Huishoudproductie voor eigen gebruik;2010;;;;
220;U Extraterritoriale organisaties;2009;;;;
221;U Extraterritoriale organisaties;2010;;;;
222;99 Extraterritoriale organisaties;2009;;;;
223;99 Extraterritoriale organisaties;2010;;;;
224;112;2009;;104.0;;188.0
225;112;2010;;76.0;;226.0
