ID;Grootteklasse;SBI93;Periode;Bedrijven_1;WerkzamePersonen_2;NettoOmzetExclBTW_3;BrutoWinst_4;TotaalBedrijfslasten_5;Personeelskosten_6;Afschrijvingen_7;Huisvestingskosten_8;InventarisEnMachinekosten_9;Autokosten_10;Verkoopkosten_11;AndereBedrijfslasten_12;Bedrijfsresultaat_13;ResultaatVoorBelasting_14;InvesteringenInVasteActiva_15
49;10 tot 100 werknemers;2;1999;0.4;14.2;9.3;11.1;10.2;4.5;0.7;0.8;0.2;0.6;2.1;1.3;2.2;1.9;0.1
50;10 tot 100 werknemers;9;1998;0.6;15.9;12.7;11.5;9.2;4.0;0.8;0.6;0.3;0.5;1.7;1.2;2.7;2.3;0.1
51;10 tot 100 werknemers;9;1999;0.5;16.5;14.7;12.1;9.6;4.1;0.9;0.7;0.4;0.5;1.9;1.2;3.0;2.7;0.3
52;10 tot 100 werknemers;6;1998;2.5;79.4;39.4;18.7;15.3;6.1;0.9;0.9;0.2;0.6;4.3;2.2;4.2;3.8;0.5
53;10 tot 100 werknemers;6;1999;2.5;84.0;40.8;19.1;15.8;6.4;1.0;0.9;0.2;0.7;4.2;2.4;4.2;3.8;0.6
54;10 tot 100 werknemers;4;1998;1.0;34.7;20.2;13.1;11.4;4.7;0.9;0.8;0.2;0.6;2.9;1.4;2.6;2.3;0.3
55;10 tot 100 werknemers;4;1999;1.0;37.2;20.5;13.8;12.0;5.1;1.1;0.8;0.2;0.7;2.7;1.5;2.8;2.5;0.3
56;10 tot 100 werknemers;8;1998;1.5;44.7;19.2;24.6;19.3;7.6;0.9;1.1;0.1;0.7;5.8;3.1;6.0;5.3;0.3
57;10 tot 100 werknemers;8;1999;1.5;46.8;20.3;24.4;19.5;7.8;0.9;1.1;0.1;0.7;5.7;3.3;5.7;5.1;0.3
58;10 tot 100 werknemers;5153 en 5154 Bouwmaterialen;1998;0.9;25.2;8.3;23.1;19.1;10.0;1.2;1.5;0.5;1.0;2.6;2.3;4.4;4.1;0.2
59;10 tot 100 werknemers;5153 en 5154 Bouwmaterialen;1999;0.9;25.8;8.5;23.5;19.1;9.9;1.3;1.5;0.5;1.0;2.6;2.4;4.8;4.6;0.2
60;10 tot 100 werknemers;516,51711-51714 Kapitaalgoederen;1998;2.0;64.2;23.6;22.8;17.6;9.4;0.9;1.1;0.2;0.8;2.5;2.7;5.8;5.8;0.4
61;10 tot 100 werknemers;516,51711-51714 Kapitaalgoederen;1999;2.3;68.0;25.7;23.5;17.8;9.5;0.9;1.0;0.2;0.8;2.5;2.8;6.5;6.3;0.4
62;10 tot 100 werknemers;516 Machines, apparaten en toebehoren;1998;1.8;56.4;21.4;22.4;17.2;9.3;0.9;1.0;0.2;0.8;2.4;2.6;5.8;5.9;0.3
63;10 tot 100 werknemers;516 Machines, apparaten en toebehoren;1999;2.0;59.8;23.4;23.2;17.4;9.3;0.9;1.0;0.2;0.8;2.5;2.8;6.7;6.6;0.4
64;10 tot 100 werknemers;51711-51714 Bedrijfsmeubels,emballage;1998;0.3;7.7;2.2;26.8;21.7;11.0;1.3;1.8;0.3;1.0;3.5;2.8;5.6;5.2;0.1
65;10 tot 100 werknemers;51711-51714 Bedrijfsmeubels,emballage;1999;0.3;8.2;2.3;26.1;22.0;11.5;1.4;1.9;0.3;0.9;3.0;3.0;4.7;4.0;0.1
66;100 en meer werknemers;3;1998;0.4;114.1;61.0;21.2;18.5;7.6;0.9;0.8;0.3;0.6;4.9;3.3;3.4;3.5;1.0
67;100 en meer werknemers;3;1999;0.4;130.1;72.4;21.5;17.9;7.3;0.9;0.8;0.3;0.5;4.9;3.4;4.3;4.7;0.9
68;100 en meer werknemers;1;1998;0.1;17.4;10.6;16.4;15.0;6.2;1.2;0.9;0.6;0.4;3.7;2.0;2.3;2.1;0.3
69;100 en meer werknemers;1;1999;0.1;19.0;12.8;14.5;13.3;5.6;1.0;0.8;0.4;0.4;3.3;1.7;2.0;2.1;0.2
70;100 en meer werknemers;2;1998;0.0;9.1;5.4;12.8;13.0;5.2;0.6;0.7;0.4;0.3;4.1;1.7;0.9;0.8;0.0
71;100 en meer werknemers;2;1999;0.0;10.2;5.9;12.6;12.8;5.2;0.6;0.7;0.3;0.3;3.9;1.8;0.8;0.7;0.1
72;100 en meer werknemers;9;1998;0.0;8.3;5.2;20.2;17.2;7.3;1.8;1.2;0.7;0.6;3.3;2.3;3.8;3.6;0.3
73;100 en meer werknemers;9;1999;0.0;8.8;6.9;16.0;13.7;5.9;1.4;0.9;0.6;0.4;2.9;1.7;3.1;3.2;0.1
74;100 en meer werknemers;6;1998;0.1;40.5;23.2;21.0;18.8;6.4;0.8;0.8;0.3;0.5;5.7;4.3;3.0;3.5;0.3
75;100 en meer werknemers;6;1999;0.1;49.1;26.2;20.9;18.3;6.5;0.9;0.8;0.3;0.5;5.5;3.9;3.5;4.7;0.4
76;100 en meer werknemers;4;1998;0.1;20.7;11.2;13.6;12.2;5.7;0.8;0.9;0.3;0.6;2.8;1.1;2.2;2.0;0.2
77;100 en meer werknemers;4;1999;0.1;22.4;12.4;14.4;13.0;5.9;0.8;0.9;0.4;0.5;3.1;1.4;2.1;2.0;0.2
78;100 en meer werknemers;8;1998;0.1;19.8;12.0;28.4;25.4;7.1;0.7;0.7;0.2;0.5;8.6;7.5;3.8;5.0;0.1
79;100 en meer werknemers;8;1999;0.1;26.7;13.8;26.8;23.1;7.0;0.9;0.7;0.2;0.4;7.7;6.1;4.8;7.2;0.2
80;100 en meer werknemers;5153 en 5154 Bouwmaterialen;1998;0.0;11.4;3.2;23.7;20.7;12.0;1.3;1.5;0.6;0.9;2.2;2.1;3.5;3.0;0.1
81;100 en meer werknemers;5153 en 5154 Bouwmaterialen;1999;0.0;12.8;3.5;24.1;20.9;12.4;1.3;1.4;0.5;0.9;2.2;2.2;3.8;3.4;0.1
82;100 en meer werknemers;516,51711-51714 Kapitaalgoederen;1998;0.1;44.8;24.0;23.2;19.5;8.7;0.8;0.8;0.2;0.7;5.0;3.2;4.3;4.1;0.3
83;100 en meer werknemers;516,51711-51714 Kapitaalgoederen;1999;0.2;49.3;29.9;24.8;19.3;8.0;0.8;0.6;0.2;0.6;5.2;3.7;5.9;6.0;0.3
84;100 en meer werknemers;516 Machines, apparaten en toebehoren;1998;0.1;43.9;23.7;23.1;19.5;8.7;0.8;0.7;0.2;0.7;5.1;3.2;4.3;4.0;0.2
85;100 en meer werknemers;516 Machines, apparaten en toebehoren;1999;0.1;48.0;29.5;24.8;19.2;8.0;0.8;0.6;0.2;0.6;5.2;3.8;5.9;6.0;0.3
86;100 en meer werknemers;51711-51714 Bedrijfsmeubels,emballage;1998;0.0;0.9;0.3;27.2;20.4;11.0;1.2;1.8;0.5;0.6;3.6;1.7;6.8;7.4;0.0
87;100 en meer werknemers;51711-51714 Bedrijfsmeubels,emballage;1999;0.0;1.2;0.4;28.9;23.0;12.3;1.5;1.8;0.6;0.6;4.7;1.5;6.5;7.5;0.0
