ID;KenmerkenDagtochten;Perioden;TotaleUitgavenAanDagtochten_1;TotaleEntreeEnDeelnamekosten_2;TotaleConsumptiekosten_3;TotaleReiskosten_4;UitgavenPerPersoonPerDagtocht_5;EntreeEnDeelnamekostenPPPDagt_6;ConsumptiekostenPerPersoonPerDagt_7;ReiskostenPerPersoonPerDagtocht_8
55;Paardrijden (manege en buitenritten);2006 oktober - 2007 september;85;65;11;9;11.09;8.54;1.37;1.18
56;Binnen of buiten trimmen, fitness;1990 mei - 1991 april;84;50;24;9;4.57;2.74;1.33;0.5
57;Binnen of buiten trimmen, fitness;1995 september - 1996 augustus;164;106;43;16;5.27;3.38;1.37;0.51
58;Binnen of buiten trimmen, fitness;2001 december - 2002 november;263;172;62;29;7.85;5.13;1.87;0.86
59;Binnen of buiten trimmen, fitness;2006 oktober - 2007 september;296;193;73;29;10.41;6.81;2.58;1.02
60;Schaatsen op kunstijsbaan en natuurijs;1990 mei - 1991 april;23;7;10;6;1.73;0.54;0.72;0.47
61;Schaatsen op kunstijsbaan en natuurijs;1995 september - 1996 augustus;36;11;16;9;2.1;0.64;0.92;0.53
62;Schaatsen op kunstijsbaan en natuurijs;2001 december - 2002 november;48;24;12;12;8.53;4.31;2.04;2.17
63;Schaatsen op kunstijsbaan en natuurijs;2006 oktober - 2007 september;33;22;5;6;8.84;5.86;1.29;1.69
64;Overige binnensport;1990 mei - 1991 april;233;78;125;30;4.03;1.35;2.16;0.52
65;Overige binnensport;1995 september - 1996 augustus;303;117;151;36;4.82;1.86;2.4;0.57
66;Overige binnensport;2001 december - 2002 november;503;227;213;64;8.45;3.8;3.58;1.07
67;Overige binnensport;2006 oktober - 2007 september;375;111;206;59;7.82;2.31;4.29;1.22
68;Overige buitensport;1990 mei - 1991 april;191;33;125;34;3.59;0.62;2.34;0.64
69;Overige buitensport;1995 september - 1996 augustus;225;57;137;31;3.95;1.0;2.41;0.54
70;Overige buitensport;2001 december - 2002 november;327;95;192;39;5.19;1.51;3.06;0.62
71;Overige buitensport;2006 oktober - 2007 september;403;125;216;63;6.67;2.06;3.57;1.04
72;Toeschouwer/begeleider bij sport;1990 mei - 1991 april;142;34;78;30;5.19;1.26;2.84;1.09
73;Toeschouwer/begeleider bij sport;1995 september - 1996 augustus;215;66;100;49;6.48;2.0;3.01;1.47
74;Toeschouwer/begeleider bij sport;2001 december - 2002 november;347;108;163;76;9.61;3.0;4.52;2.09
75;Toeschouwer/begeleider bij sport;2006 oktober - 2007 september;416;140;194;81;10.95;3.69;5.12;2.14
76;Toeren;1990 mei - 1991 april;209;20;93;96;10.2;0.97;4.53;4.71
77;Toeren;1995 september - 1996 augustus;178;21;79;78;10.25;1.23;4.54;4.47
78;Toeren;2001 december - 2002 november;283;30;132;121;13.18;1.39;6.13;5.66
79;Toeren;2006 oktober - 2007 september;262;77;106;80;24.02;7.02;9.68;7.32
80;Bez. att.punt, bez.w.heid, evenem.totaal;1990 mei - 1991 april;674;153;324;197;8.31;1.89;4.0;2.43
81;Bez. att.punt, bez.w.heid, evenem.totaal;1995 september - 1996 augustus;863;234;392;237;9.61;2.61;4.36;2.64
82;Bez. att.punt, bez.w.heid, evenem.totaal;2001 december - 2002 november;1519;442;719;358;14.14;4.11;6.69;3.34
83;Bez. att.punt, bez.w.heid, evenem.totaal;2006 oktober - 2007 september;1874;540;914;420;15.75;4.54;7.68;3.53
84;Bezoek attractiepunt totaal;1990 mei - 1991 april;228;78;92;57;8.23;2.83;3.32;2.08
85;Bezoek attractiepunt totaal;1995 september - 1996 augustus;326;126;118;82;9.94;3.84;3.59;2.51
86;Bezoek attractiepunt totaal;2001 december - 2002 november;645;279;236;129;13.92;6.03;5.1;2.79
87;Bezoek attractiepunt totaal;2006 oktober - 2007 september;731;306;290;135;14.97;6.26;5.94;2.77
88;Speeltuin, uitspanning;1990 mei - 1991 april;16;4;8;4;2.79;0.74;1.37;0.68
89;Speeltuin, uitspanning;1995 september - 1996 augustus;21;6;10;5;3.4;1.0;1.59;0.81
90;Speeltuin, uitspanning;2001 december - 2002 november;69;28;31;10;5.82;2.34;2.6;0.88
91;Speeltuin, uitspanning;2006 oktober - 2007 september;116;43;58;14;7.61;2.85;3.83;0.93
92;Pretpark, sprookjesp., miniat. stad e.d.;1990 mei - 1991 april;105;39;40;26;14.76;5.52;5.64;3.6
93;Pretpark, sprookjesp., miniat. stad e.d.;1995 september - 1996 augustus;154;65;50;40;18.29;7.7;5.87;4.73
94;Pretpark, sprookjesp., miniat. stad e.d.;2001 december - 2002 november;258;119;93;46;24.67;11.34;8.91;4.42
95;Pretpark, sprookjesp., miniat. stad e.d.;2006 oktober - 2007 september;251;121;86;44;25.2;12.17;8.62;4.41
96;Dierentuin, vogel-, apenpark,dolfinarium;1990 mei - 1991 april;80;30;31;19;10.5;3.92;4.03;2.55
97;Dierentuin, vogel-, apenpark,dolfinarium;1995 september - 1996 augustus;116;47;43;27;12.34;4.97;4.53;2.84
98;Dierentuin, vogel-, apenpark,dolfinarium;2001 december - 2002 november;193;92;68;33;17.58;8.4;6.18;3.0
99;Dierentuin, vogel-, apenpark,dolfinarium;2006 oktober - 2007 september;278;104;113;62;20.38;7.59;8.25;4.54
100;Kinderboerderij, heemtuin,modeltuin e.d.;1990 mei - 1991 april;27;5;13;9;3.63;0.68;1.79;1.17
101;Kinderboerderij, heemtuin,modeltuin e.d.;1995 september - 1996 augustus;34;8;16;10;3.89;0.91;1.79;1.2
102;Kinderboerderij, heemtuin,modeltuin e.d.;2001 december - 2002 november;125;41;45;40;9.63;3.13;3.44;3.05
103;Kinderboerderij, heemtuin,modeltuin e.d.;2006 oktober - 2007 september;86;38;33;15;8.62;3.77;3.31;1.54
104;Bezoek bezienswaardigheid totaal;1990 mei - 1991 april;253;39;121;93;9.96;1.53;4.76;3.67
105;Bezoek bezienswaardigheid totaal;1995 september - 1996 augustus;261;45;122;94;10.36;1.78;4.83;3.75
106;Bezoek bezienswaardigheid totaal;2001 december - 2002 november;417;71;196;149;14.52;2.48;6.84;5.2
107;Bezoek bezienswaardigheid totaal;2006 oktober - 2007 september;583;121;284;178;18.19;3.77;8.87;5.55
108;Bezoek (oude) stad/dorp;1990 mei - 1991 april;98;7;56;35;15.88;1.13;9.07;5.68
109;Bezoek (oude) stad/dorp;1995 september - 1996 augustus;91;7;50;34;14.16;1.11;7.8;5.25
110;Bezoek (oude) stad/dorp;2001 december - 2002 november;139;10;83;45;21.44;1.62;12.91;6.91
111;Bezoek (oude) stad/dorp;2006 oktober - 2007 september;175;14;104;58;21.1;1.65;12.49;6.95
112;Bezoek museum;1990 mei - 1991 april;88;22;36;30;8.29;2.11;3.36;2.82
113;Bezoek museum;1995 september - 1996 augustus;97;26;40;31;10.05;2.67;4.18;3.2
114;Bezoek museum;2001 december - 2002 november;163;42;64;57;14.54;3.75;5.72;5.07
115;Bezoek museum;2006 oktober - 2007 september;231;57;109;65;18.23;4.47;8.65;5.11
116;Monumenten en overige bezienswaardigh.;1990 mei - 1991 april;66;9;29;28;7.74;1.1;3.38;3.27
117;Monumenten en overige bezienswaardigh.;1995 september - 1996 augustus;72;12;31;30;8.0;1.31;3.42;3.28
118;Monumenten en overige bezienswaardigh.;2001 december - 2002 november;115;19;49;48;10.45;1.69;4.42;4.34
119;Monumenten en overige bezienswaardigh.;2006 oktober - 2007 september;177;50;71;56;15.97;4.55;6.4;5.01
120;Bezoek aan evenement totaal;1990 mei - 1991 april;194;36;112;46;6.91;1.28;3.98;1.65
121;Bezoek aan evenement totaal;1995 september - 1996 augustus;276;63;152;61;8.67;1.99;4.78;1.9
122;Bezoek aan evenement totaal;2001 december - 2002 november;457;91;286;80;14.13;2.83;8.84;2.47
123;Bezoek aan evenement totaal;2006 oktober - 2007 september;554;111;338;105;14.74;2.95;8.99;2.8
124;Bezoek jaarmarkt, braderie, corso e.d.;1990 mei - 1991 april;70;7;51;12;5.63;0.58;4.07;0.98
125;Bezoek jaarmarkt, braderie, corso e.d.;1995 september - 1996 augustus;93;11;70;13;6.97;0.8;5.22;0.95
126;Bezoek jaarmarkt, braderie, corso e.d.;2001 december - 2002 november;146;17;109;20;11.6;1.32;8.66;1.62
127;Bezoek jaarmarkt, braderie, corso e.d.;2006 oktober - 2007 september;180;21;132;28;11.67;1.36;8.52;1.79
128;Bezoek beurs, tentoonstelling, show;1990 mei - 1991 april;84;24;33;27;8.57;2.46;3.33;2.79
129;Bezoek beurs, tentoonstelling, show;1995 september - 1996 augustus;132;42;50;40;11.24;3.6;4.24;3.4
130;Bezoek beurs, tentoonstelling, show;2001 december - 2002 november;168;55;73;40;17.12;5.6;7.47;4.05
131;Bezoek beurs, tentoonstelling, show;2006 oktober - 2007 september;167;49;67;51;18.18;5.36;7.27;5.55
132;Bezoek overige evenementen;1990 mei - 1991 april;39;5;28;7;6.82;0.78;4.89;1.15
133;Bezoek overige evenementen;1995 september - 1996 augustus;50;10;32;8;7.56;1.54;4.86;1.16
134;Bezoek overige evenementen;2001 december - 2002 november;143;20;104;20;14.37;1.99;10.42;1.96
135;Bezoek overige evenementen;2006 oktober - 2007 september;188;34;132;23;15.67;2.83;10.96;1.88
136;Recreatief winkelen;1990 mei - 1991 april;564;22;365;178;4.38;0.17;2.83;1.38
137;Recreatief winkelen;1995 september - 1996 augustus;627;39;392;196;4.86;0.3;3.04;1.52
138;Recreatief winkelen;2001 december - 2002 november;893;61;563;270;7.92;0.54;4.99;2.39
139;Recreatief winkelen;2006 oktober - 2007 september;1459;45;991;423;10.87;0.34;7.38;3.15
140;Uitgaan;1990 mei - 1991 april;2226;397;1646;184;13.29;2.37;9.83;1.1
141;Uitgaan;1995 september - 1996 augustus;2943;576;2129;238;15.8;3.09;11.43;1.28
142;Uitgaan;2001 december - 2002 november;5345;1030;3872;442;23.9;4.61;17.32;1.98
143;Uitgaan;2006 oktober - 2007 september;5486;1111;3875;500;25.36;5.13;17.92;2.31
144;Naar film, toneel, concert,ballet totaal;1990 mei - 1991 april;396;222;132;42;11.19;6.27;3.74;1.18
145;Naar film, toneel, concert,ballet totaal;1995 september - 1996 augustus;581;332;191;57;14.06;8.04;4.63;1.39
146;Naar film, toneel, concert,ballet totaal;2001 december - 2002 november;1158;631;423;104;19.95;10.87;7.29;1.79
147;Naar film, toneel, concert,ballet totaal;2006 oktober - 2007 september;1331;752;441;138;23.48;13.26;7.78;2.44
148;Naar de film;1990 mei - 1991 april;129;74;43;11;9.42;5.46;3.16;0.8
149;Naar de film;1995 september - 1996 augustus;178;99;65;15;10.22;5.66;3.72;0.85
150;Naar de film;2001 december - 2002 november;365;184;151;31;13.92;7.01;5.74;1.16
151;Naar de film;2006 oktober - 2007 september;367;182;145;39;14.7;7.32;5.81;1.57
152;Naar toneel, concert, ballet e.d.;1990 mei - 1991 april;267;147;89;31;12.3;6.78;4.1;1.42
153;Naar toneel, concert, ballet e.d.;1995 september - 1996 augustus;402;233;126;43;16.87;9.79;5.3;1.78
154;Naar toneel, concert, ballet e.d.;2001 december - 2002 november;793;447;272;73;24.94;14.06;8.57;2.31
155;Naar toneel, concert, ballet e.d.;2006 oktober - 2007 september;964;569;296;99;30.38;17.93;9.33;3.12
156;Overig uitgaan totaal;1990 mei - 1991 april;1831;175;1514;142;13.86;1.33;11.46;1.08
157;Overig uitgaan totaal;1995 september - 1996 augustus;2362;244;1937;181;16.3;1.68;13.37;1.25
158;Overig uitgaan totaal;2001 december - 2002 november;4186;399;3449;338;25.29;2.41;20.83;2.04
159;Overig uitgaan totaal;2006 oktober - 2007 september;4155;359;3434;362;26.03;2.25;21.51;2.27
160;Terrasje zitten, koffie drinken e.d.;1990 mei - 1991 april;62;2;49;10;9.64;0.39;7.74;1.52
161;Terrasje zitten, koffie drinken e.d.;1995 september - 1996 augustus;49;3;39;8;10.24;0.61;8.04;1.59
162;Terrasje zitten, koffie drinken e.d.;2001 december - 2002 november;131;9;107;16;13.8;0.9;11.21;1.69
163;Terrasje zitten, koffie drinken e.d.;2006 oktober - 2007 september;126;3;104;19;15.11;0.31;12.49;2.31
164;Uit eten gaan;1990 mei - 1991 april;819;12;764;43;20.17;0.29;18.82;1.05
165;Uit eten gaan;1995 september - 1996 augustus;946;25;864;57;21.9;0.59;19.99;1.32
166;Uit eten gaan;2001 december - 2002 november;1759;41;1615;102;31.9;0.74;29.3;1.85
167;Uit eten gaan;2006 oktober - 2007 september;2050;53;1878;119;32.38;0.84;29.67;1.87
168;Bar- cafébezoek;1990 mei - 1991 april;431;20;379;32;13.59;0.63;11.96;0.99
169;Bar- cafébezoek;1995 september - 1996 augustus;771;37;685;48;16.17;0.79;14.37;1.01
170;Bar- cafébezoek;2001 december - 2002 november;1360;91;1163;106;25.04;1.67;21.42;1.95
171;Bar- cafébezoek;2006 oktober - 2007 september;1208;65;1030;113;28.04;1.5;23.91;2.63
172;Kermis, circus;1990 mei - 1991 april;78;41;33;4;9.56;5.04;4.06;0.46
173;Kermis, circus;1995 september - 1996 augustus;87;48;35;5;11.03;6.08;4.36;0.6
174;Kermis, circus;2001 december - 2002 november;123;73;44;6;14.88;8.81;5.36;0.7
175;Kermis, circus;2006 oktober - 2007 september;110;58;45;6;14.53;7.69;6.01;0.82
176;Disco, bowling;1990 mei - 1991 april;331;62;239;31;11.97;2.24;8.61;1.11
177;Disco, bowling;1995 september - 1996 augustus;348;75;244;29;15.6;3.36;10.96;1.29
178;Disco, bowling;2001 december - 2002 november;572;117;396;58;29.69;6.08;20.58;3.03
179;Disco, bowling;2006 oktober - 2007 september;387;94;255;37;24.51;5.97;16.18;2.36
180;Overig uitgaan;1990 mei - 1991 april;110;37;49;23;6.26;2.13;2.79;1.34
181;Overig uitgaan;1995 september - 1996 augustus;161;55;71;35;8.47;2.89;3.75;1.82
182;Overig uitgaan;2001 december - 2002 november;242;69;123;50;12.67;3.61;6.45;2.6
183;Overig uitgaan;2006 oktober - 2007 september;259;80;113;66;12.49;3.85;5.47;3.17
184;Overig (verenigingen hobby's) totaal;1990 mei - 1991 april;389;129;188;72;3.28;1.09;1.59;0.6
185;Overig (verenigingen hobby's) totaal;1995 september - 1996 augustus;514;194;230;90;3.98;1.5;1.78;0.7
186;Overig (verenigingen hobby's) totaal;2001 december - 2002 november;766;324;289;154;6.71;2.83;2.53;1.35
187;Overig (verenigingen hobby's) totaal;2006 oktober - 2007 september;823;347;321;155;8.58;3.62;3.34;1.62
188;Bezoek denksport activiteit;1990 mei - 1991 april;36;5;25;6;3.8;0.53;2.64;0.63
189;Bezoek denksport activiteit;1995 september - 1996 augustus;43;10;28;5;4.19;0.95;2.76;0.49
190;Bezoek denksport activiteit;2001 december - 2002 november;53;13;34;7;6.6;1.56;4.17;0.87
191;Bezoek denksport activiteit;2006 oktober - 2007 september;52;14;31;7;6.1;1.61;3.62;0.87
192;Verenigingsact., hobbyclubs, cursus;1990 mei - 1991 april;327;118;151;57;3.57;1.29;1.65;0.63
193;Verenigingsact., hobbyclubs, cursus;1995 september - 1996 augustus;433;172;188;72;4.46;1.77;1.94;0.74
194;Verenigingsact., hobbyclubs, cursus;2001 december - 2002 november;601;260;224;116;7.18;3.11;2.68;1.39
195;Verenigingsact., hobbyclubs, cursus;2006 oktober - 2007 september;554;227;232;96;9.28;3.79;3.88;1.6
196;Bezoek kinderactiviteiten;1990 mei - 1991 april;10;4;5;1;1.58;0.58;0.87;0.14
197;Bezoek kinderactiviteiten;1995 september - 1996 augustus;14;7;5;2;1.7;0.83;0.64;0.23
198;Bezoek kinderactiviteiten;2001 december - 2002 november;33;14;13;6;4.46;1.89;1.71;0.86
199;Bezoek kinderactiviteiten;2006 oktober - 2007 september;37;17;14;5;3.98;1.9;1.49;0.59
200;Bezoek volkstuin;1990 mei - 1991 april;2;0;1;1;0.36;0.02;0.11;0.23
201;Bezoek volkstuin;1995 september - 1996 augustus;4;1;1;2;1.06;0.22;0.31;0.54
202;Bezoek volkstuin;2001 december - 2002 november;6;0;0;5;1.69;0.13;0.1;1.46
203;Bezoek volkstuin;2006 oktober - 2007 september;8;2;3;3;4.03;1.01;1.36;1.67
204;Bezoek natuur- en overige activiteiten;1990 mei - 1991 april;14;2;6;6;2.36;0.31;0.99;1.06
205;Bezoek natuur- en overige activiteiten;1995 september - 1996 augustus;20;4;7;9;2.14;0.42;0.76;0.95
206;Bezoek natuur- en overige activiteiten;2001 december - 2002 november;73;36;17;19;6.28;3.14;1.5;1.64
207;Bezoek natuur- en overige activiteiten;2006 oktober - 2007 september;153;78;38;38;10.16;5.14;2.52;2.49
