ID;FruitFarmingRegions;Periods;TotalAppleVarieties_1;CoxSOrangePippin_2;DelbarestivaleDelcorf_3;Elstar_4;GoldenDelicious_5;Jonagold_6;Jonagored_7;Junami_8;Kanzi_9;RodeBoskoopRennetApple_10;Rubens_11;OtherAppleVarieties_12;TotalPearVarieties_13;BeurreAlexandreLucas_14;Conference_15;DoyenneDuComice_16;CookingPears_17;TriompheDeVienne_18;OtherPearVarieties_19;TotalAppleVarieties_20;CoxSOrangePippin_21;DelbarestivaleDelcorf_22;Elstar_23;GoldenDelicious_24;Jonagold_25;Jonagored_26;Junami_27;Kanzi_28;RodeBoskoopRennetApple_29;Rubens_30;OtherAppleVarieties_31;TotalPearVarieties_32;BeurreAlexandreLucas_33;Conference_34;DoyenneDuComice_35;CookingPears_36;TriompheDeVienne_37;OtherPearVarieties_38
20;Total Netherlands;2017;227;1;4;95;11;49;12;9.0;18.0;11;;17;330;27.0;262;18;6;3;14;6953;46;189;3068;280;1203;299;461.0;500.0;366;;539;9741;778.0;7261;771;270;95;567
21;Region North;1997;86;10;0;30;5;23;8;;;3;;7;21;;12;5;2;1;1;2798;294;22;1046;207;607;251;;;181;;190;849;;499;202;70;18;60
22;Region North;1998;109;8;0;45;7;27;10;;;5;;7;22;;16;4;1;0;1;2587;251;23;1006;167;570;239;;;163;;168;823;;498;190;66;16;53
23;Region North;1999;109;8;1;38;7;31;10;;;6;;7;26;;18;6;1;0;1;2545;230;24;1020;157;561;237;;;152;;164;887;;551;199;68;16;53
24;Region North;2000;87;5;0;37;4;23;9;;;3;;6;34;;25;6;2;0;0;2154;169;22;883;124;482;225;;;111;;138;847;;543;183;64;12;45
25;Region North;2001;75;5;0;30;4;22;7;;;3;;4;14;;10;3;0;0;1;1879;118;21;791;88;453;204;;;86;;118;920;;607;194;68;10;41
26;Region North;2002;55;2;0;23;2;16;8;;;1;;3;23;;16;4;1;0;1;1800;100;20;779;70;449;194;;;74;;114;907;;613;188;64;7;35
27;Region North;2003;59;2;0;24;3;17;9;;;2;;2;26;;22;2;1;0;1;1650;70;17;760;63;411;178;;;55;;96;920;;645;175;59;6;35
28;Region North;2004;82;2;0;34;4;23;14;;0.0;2;;3;36;1.0;25;7;3;0;0;1614;53;14;776;65;364;218;;0.0;41;;83;961;16.0;685;181;55;7;17
29;Region North;2005;42;1;0;20;3;9;5;0.0;0.0;1;0.0;3;25;1.0;20;3;1;0;0;1497;39;17;766;62;329;143;0.0;0.0;39;0.0;102;953;26.0;681;157;58;8;23
