ID;Financieringsvorm;Wijken;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijken_4;WmoClienten_5;WmoClientenPer1000Inwoners_6
125;Totaal;Wijk 01 Centrum;2017;Achtkarspelen                           ;Wijk     ;WK005901;1.0;150.0;46.0
126;Totaal;Wijk 02 Zuid;1e halfjaar 2017;Achtkarspelen                           ;Wijk     ;WK005902;1.0;715.0;56.0
127;Totaal;Wijk 02 Zuid;2e halfjaar 2017;Achtkarspelen                           ;Wijk     ;WK005902;1.0;745.0;59.0
128;Totaal;Wijk 02 Zuid;2017;Achtkarspelen                           ;Wijk     ;WK005902;1.0;790.0;62.0
129;Totaal;Alblasserdam;1e halfjaar 2017;                                        ;         ;        ;;;
130;Totaal;Alblasserdam;2e halfjaar 2017;Alblasserdam                            ;Gemeente ;GM0482  ;;1120.0;56.0
131;Totaal;Alblasserdam;2017;                                        ;         ;        ;;;
132;Totaal;Wijk 01 Centrum;1e halfjaar 2017;                                        ;         ;        ;;;
133;Totaal;Wijk 01 Centrum;2e halfjaar 2017;Alblasserdam                            ;Wijk     ;WK048201;1.0;270.0;57.0
134;Totaal;Wijk 01 Centrum;2017;                                        ;         ;        ;;;
135;Totaal;Wijk 02 Kinderdijk;1e halfjaar 2017;                                        ;         ;        ;;;
136;Totaal;Wijk 02 Kinderdijk;2e halfjaar 2017;Alblasserdam                            ;Wijk     ;WK048202;1.0;205.0;53.0
137;Totaal;Wijk 02 Kinderdijk;2017;                                        ;         ;        ;;;
138;Totaal;Wijk 03 Blokweer;1e halfjaar 2017;                                        ;         ;        ;;;
139;Totaal;Wijk 03 Blokweer;2e halfjaar 2017;Alblasserdam                            ;Wijk     ;WK048203;1.0;280.0;37.0
140;Totaal;Wijk 03 Blokweer;2017;                                        ;         ;        ;;;
141;Totaal;Wijk 04 Souburgh;1e halfjaar 2017;                                        ;         ;        ;;;
142;Totaal;Wijk 04 Souburgh;2e halfjaar 2017;Alblasserdam                            ;Wijk     ;WK048204;1.0;320.0;88.0
143;Totaal;Wijk 04 Souburgh;2017;                                        ;         ;        ;;;
144;Totaal;Wijk 05 Bedrijventerrein;1e halfjaar 2017;                                        ;         ;        ;;;
145;Totaal;Wijk 05 Bedrijventerrein;2e halfjaar 2017;Alblasserdam                            ;Wijk     ;WK048205;1.0;0.0;
146;Totaal;Wijk 05 Bedrijventerrein;2017;                                        ;         ;        ;;;
147;Totaal;Wijk 06 Landelijk gebied;1e halfjaar 2017;                                        ;         ;        ;;;
148;Totaal;Wijk 06 Landelijk gebied;2e halfjaar 2017;Alblasserdam                            ;Wijk     ;WK048206;1.0;0.0;
149;Totaal;Wijk 06 Landelijk gebied;2017;                                        ;         ;        ;;;
150;Totaal;Albrandswaard;1e halfjaar 2017;Albrandswaard                           ;Gemeente ;GM0613  ;;1180.0;47.0
151;Totaal;Albrandswaard;2e halfjaar 2017;Albrandswaard                           ;Gemeente ;GM0613  ;;1175.0;47.0
152;Totaal;Albrandswaard;2017;Albrandswaard                           ;Gemeente ;GM0613  ;;1255.0;50.0
153;Totaal;Wijk 01 Poortugaal-Noord;1e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061301;1.0;55.0;21.0
154;Totaal;Wijk 01 Poortugaal-Noord;2e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061301;1.0;55.0;21.0
155;Totaal;Wijk 01 Poortugaal-Noord;2017;Albrandswaard                           ;Wijk     ;WK061301;1.0;55.0;21.0
156;Totaal;Wijk 02 Rhoon-Noord;1e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061302;1.0;70.0;37.0
157;Totaal;Wijk 02 Rhoon-Noord;2e halfjaar 2017;Albrandswaard                           ;Wijk     ;WK061302;1.0;75.0;40.0
