ID;NederlandseEconomie;Perioden;RamingCO2EmissieMlnKg_1;RamingCO2EmissieJaarmutatie_2;RamingCO2EmissieWeersgecorrigeerd_3
161;CO2 emissies transportbedrijven;2022 1e kwartaal;5068.0;8.8;
162;CO2 emissies transportbedrijven;2022 2e kwartaal;5947.0;16.4;
163;CO2 emissies transportbedrijven;2022 3e kwartaal;5928.0;0.7;
164;CO2 emissies transportbedrijven;2022 4e kwartaal;6461.0;6.9;
165;CO2 emissies transportbedrijven;2022;23404.0;7.9;
166;CO2 emissies transportbedrijven;2023 1e kwartaal;6134.0;8.8;
167;CO2 emissies transportbedrijven;2023 2e kwartaal;6799.0;6.1;
168;CO2 emissies transportbedrijven;2023 3e kwartaal;5759.0;-1.9;
169;CO2 emissies transportbedrijven;2023 4e kwartaal;5926.0;-2.5;
170;CO2 emissies transportbedrijven;2023;23485.0;1.8;
171;CO2 emissies transportbedrijven;2024 1e kwartaal;5513.0;1.2;
172;CO2 emissies transportbedrijven;2024 2e kwartaal;6633.0;3.8;
173;CO2 emissies transportbedrijven;2024 3e kwartaal;6097.0;-2.3;
174;CO2 emissies transportbedrijven;2024 4e kwartaal;5528.0;-8.3;
175;CO2 emissies transportbedrijven;2024;23455.0;-1.7;
176;CO2 emissies landbouw, industrie, bouw;2015 1e kwartaal;;2.6;
177;CO2 emissies landbouw, industrie, bouw;2015 2e kwartaal;;-3.9;
178;CO2 emissies landbouw, industrie, bouw;2015 3e kwartaal;;0.2;
179;CO2 emissies landbouw, industrie, bouw;2015 4e kwartaal;;1.9;
180;CO2 emissies landbouw, industrie, bouw;2016 1e kwartaal;;-1.5;
181;CO2 emissies landbouw, industrie, bouw;2016 2e kwartaal;;2.7;
182;CO2 emissies landbouw, industrie, bouw;2016 3e kwartaal;;-2.2;
183;CO2 emissies landbouw, industrie, bouw;2016 4e kwartaal;;2.3;
184;CO2 emissies landbouw, industrie, bouw;2017 1e kwartaal;;1.7;
185;CO2 emissies landbouw, industrie, bouw;2017 2e kwartaal;;0.3;
186;CO2 emissies landbouw, industrie, bouw;2017 3e kwartaal;;4.1;
187;CO2 emissies landbouw, industrie, bouw;2017 4e kwartaal;;5.0;
188;CO2 emissies landbouw, industrie, bouw;2018 1e kwartaal;;3.9;
189;CO2 emissies landbouw, industrie, bouw;2018 2e kwartaal;;1.8;
190;CO2 emissies landbouw, industrie, bouw;2018 3e kwartaal;;0.5;
191;CO2 emissies landbouw, industrie, bouw;2018 4e kwartaal;;0.5;
192;CO2 emissies landbouw, industrie, bouw;2019 1e kwartaal;;0.0;
193;CO2 emissies landbouw, industrie, bouw;2019 2e kwartaal;;0.4;
194;CO2 emissies landbouw, industrie, bouw;2019 3e kwartaal;;-5.4;
195;CO2 emissies landbouw, industrie, bouw;2019 4e kwartaal;;2.6;
196;CO2 emissies landbouw, industrie, bouw;2020 1e kwartaal;;-2.5;
197;CO2 emissies landbouw, industrie, bouw;2020 2e kwartaal;;-9.2;
198;CO2 emissies landbouw, industrie, bouw;2020 3e kwartaal;;-4.3;
199;CO2 emissies landbouw, industrie, bouw;2020 4e kwartaal;;-3.9;
200;CO2 emissies landbouw, industrie, bouw;2021 1e kwartaal;29970.0;-1.9;
201;CO2 emissies landbouw, industrie, bouw;2021 2e kwartaal;15815.0;16.9;
202;CO2 emissies landbouw, industrie, bouw;2021 3e kwartaal;13442.0;-3.1;
203;CO2 emissies landbouw, industrie, bouw;2021 4e kwartaal;13937.0;-12.7;
204;CO2 emissies landbouw, industrie, bouw;2021;59204.0;-0.5;
205;CO2 emissies landbouw, industrie, bouw;2022 1e kwartaal;14529.0;-12.2;
206;CO2 emissies landbouw, industrie, bouw;2022 2e kwartaal;12902.0;-15.9;
207;CO2 emissies landbouw, industrie, bouw;2022 3e kwartaal;11511.0;-16.2;
208;CO2 emissies landbouw, industrie, bouw;2022 4e kwartaal;11906.0;-15.1;
209;CO2 emissies landbouw, industrie, bouw;2022;50848.0;-14.7;
210;CO2 emissies landbouw, industrie, bouw;2023 1e kwartaal;12503.0;-5.9;
211;CO2 emissies landbouw, industrie, bouw;2023 2e kwartaal;11642.0;-3.7;
212;CO2 emissies landbouw, industrie, bouw;2023 3e kwartaal;13070.0;1.5;
213;CO2 emissies landbouw, industrie, bouw;2023 4e kwartaal;13888.0;3.8;
214;CO2 emissies landbouw, industrie, bouw;2023;54147.0;-1.7;
215;CO2 emissies landbouw, industrie, bouw;2024 1e kwartaal;14477.0;0.9;
216;CO2 emissies landbouw, industrie, bouw;2024 2e kwartaal;13620.0;2.4;
217;CO2 emissies landbouw, industrie, bouw;2024 3e kwartaal;12506.0;0.0;
218;CO2 emissies landbouw, industrie, bouw;2024 4e kwartaal;13538.0;-1.7;
219;CO2 emissies landbouw, industrie, bouw;2024;52823.0;0.5;
220;CO2 emissies overige dienstverlening;2015 1e kwartaal;;8.3;
221;CO2 emissies overige dienstverlening;2015 2e kwartaal;;4.7;
222;CO2 emissies overige dienstverlening;2015 3e kwartaal;;1.9;
223;CO2 emissies overige dienstverlening;2015 4e kwartaal;;-5.8;
224;CO2 emissies overige dienstverlening;2016 1e kwartaal;;-1.3;
225;CO2 emissies overige dienstverlening;2016 2e kwartaal;;-1.5;
226;CO2 emissies overige dienstverlening;2016 3e kwartaal;;-6.2;
227;CO2 emissies overige dienstverlening;2016 4e kwartaal;;15.0;
228;CO2 emissies overige dienstverlening;2017 1e kwartaal;;0.0;
229;CO2 emissies overige dienstverlening;2017 2e kwartaal;;0.7;
230;CO2 emissies overige dienstverlening;2017 3e kwartaal;;8.2;
231;CO2 emissies overige dienstverlening;2017 4e kwartaal;;-4.4;
232;CO2 emissies overige dienstverlening;2018 1e kwartaal;;6.3;
233;CO2 emissies overige dienstverlening;2018 2e kwartaal;;-9.3;
234;CO2 emissies overige dienstverlening;2018 3e kwartaal;;-2.9;
235;CO2 emissies overige dienstverlening;2018 4e kwartaal;;1.1;
236;CO2 emissies overige dienstverlening;2019 1e kwartaal;;-3.6;
237;CO2 emissies overige dienstverlening;2019 2e kwartaal;;16.8;
238;CO2 emissies overige dienstverlening;2019 3e kwartaal;;3.1;
239;CO2 emissies overige dienstverlening;2019 4e kwartaal;;1.0;
240;CO2 emissies overige dienstverlening;2020 1e kwartaal;;-6.0;
241;CO2 emissies overige dienstverlening;2020 2e kwartaal;;-11.8;
242;CO2 emissies overige dienstverlening;2020 3e kwartaal;;2.8;
243;CO2 emissies overige dienstverlening;2020 4e kwartaal;;-8.3;
244;CO2 emissies overige dienstverlening;2021 1e kwartaal;3798.0;5.4;
245;CO2 emissies overige dienstverlening;2021 2e kwartaal;3089.0;16.9;
246;CO2 emissies overige dienstverlening;2021 3e kwartaal;2216.0;-5.5;
247;CO2 emissies overige dienstverlening;2021 4e kwartaal;4156.0;4.9;
248;CO2 emissies overige dienstverlening;2021;14212.0;4.5;
249;CO2 emissies overige dienstverlening;2022 1e kwartaal;3929.0;-15.0;
250;CO2 emissies overige dienstverlening;2022 2e kwartaal;2390.0;-13.1;
251;CO2 emissies overige dienstverlening;2022 3e kwartaal;1826.0;-2.4;
252;CO2 emissies overige dienstverlening;2022 4e kwartaal;3307.0;-15.6;
253;CO2 emissies overige dienstverlening;2022;11453.0;-13.0;
254;CO2 emissies overige dienstverlening;2023 1e kwartaal;3674.0;-8.8;
255;CO2 emissies overige dienstverlening;2023 2e kwartaal;2437.0;0.5;
256;CO2 emissies overige dienstverlening;2023 3e kwartaal;1720.0;-14.4;
257;CO2 emissies overige dienstverlening;2023 4e kwartaal;3516.0;-3.8;
258;CO2 emissies overige dienstverlening;2023;12064.0;-5.9;
259;CO2 emissies overige dienstverlening;2024 1e kwartaal;3843.0;-4.5;
260;CO2 emissies overige dienstverlening;2024 2e kwartaal;2360.0;-13.1;
261;CO2 emissies overige dienstverlening;2024 3e kwartaal;2042.0;3.9;
262;CO2 emissies overige dienstverlening;2024 4e kwartaal;3674.0;-3.6;
263;CO2 emissies overige dienstverlening;2024;12400.0;-5.2;
