ID;Interval;Leeftijd;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3
100;1;5-9 jaar;2007;1024087;523285;500802
101;1;5-9 jaar;2008;1031251;527366;503885
102;1;5-9 jaar;2009;1030699;527166;503533
103;1;5-9 jaar;2010;1025297;524313;500984
104;1;5-9 jaar;2011;1011921;517775;494146
105;1;5-9 jaar;2012;999465;511439;488026
106;1;5-9 jaar;2013;986306;504740;481566
107;1;5-9 jaar;2014;972108;497508;474600
108;1;5-9 jaar;2015;959210;490941;468269
109;1;5-9 jaar;2016;948335;485407;462928
110;1;5-9 jaar;2017;939899;481117;458782
111;1;5-9 jaar;2018;934128;478186;455942
112;1;5-9 jaar;2019;930929;476567;454362
113;1;5-9 jaar;2020;930140;476172;453968
114;1;5-9 jaar;2021;931382;476822;454560
115;1;5-9 jaar;2022;934277;478314;455963
116;1;5-9 jaar;2023;938492;480486;458006
117;1;5-9 jaar;2024;943672;483153;460519
118;1;5-9 jaar;2025;949623;486215;463408
119;1;5-9 jaar;2026;955902;489446;466456
120;1;5-9 jaar;2027;962308;492743;469565
121;1;5-9 jaar;2028;968555;495956;472599
122;1;5-9 jaar;2029;974388;498958;475430
123;1;5-9 jaar;2030;979672;501678;477994
124;1;5-9 jaar;2031;984417;504123;480294
125;1;5-9 jaar;2032;988529;506242;482287
126;1;5-9 jaar;2033;992038;508054;483984
127;1;5-9 jaar;2034;994910;509540;485370
128;1;5-9 jaar;2035;997189;510720;486469
129;1;5-9 jaar;2036;998792;511555;487237
130;1;5-9 jaar;2037;999729;512049;487680
131;1;5-9 jaar;2038;999919;512157;487762
132;1;5-9 jaar;2039;999313;511857;487456
133;1;5-9 jaar;2040;997821;511108;486713
134;1;5-9 jaar;2041;995545;509954;485591
135;1;5-9 jaar;2042;992453;508382;484071
136;1;5-9 jaar;2043;988755;506500;482255
137;1;5-9 jaar;2044;984614;504391;480223
138;1;5-9 jaar;2045;980275;502178;478097
139;1;5-9 jaar;2046;975935;499965;475970
140;1;5-9 jaar;2047;971869;497894;473975
141;1;5-9 jaar;2048;968255;496052;472203
142;1;5-9 jaar;2049;965310;494552;470758
143;1;5-9 jaar;2050;963101;493430;469671
144;1;10-14 jaar;2003;1003398;513121;490277
145;1;10-14 jaar;2004;1010476;516550;493926
146;1;10-14 jaar;2005;1015831;519523;496308
147;1;10-14 jaar;2006;1008010;515114;492896
148;1;10-14 jaar;2007;1000217;511683;488534
149;1;10-14 jaar;2008;996923;509436;487487
150;1;10-14 jaar;2009;1002023;512123;489900
151;1;10-14 jaar;2010;1008158;515396;492762
152;1;10-14 jaar;2011;1024071;523377;500694
153;1;10-14 jaar;2012;1036254;529150;507104
154;1;10-14 jaar;2013;1044285;533688;510597
155;1;10-14 jaar;2014;1044424;533860;510564
156;1;10-14 jaar;2015;1039491;531259;508232
157;1;10-14 jaar;2016;1026455;524900;501555
158;1;10-14 jaar;2017;1014120;518632;495488
159;1;10-14 jaar;2018;1001009;511956;489053
160;1;10-14 jaar;2019;986878;504758;482120
161;1;10-14 jaar;2020;974063;498239;475824
162;1;10-14 jaar;2021;963266;492747;470519
163;1;10-14 jaar;2022;954912;488501;466411
164;1;10-14 jaar;2023;949213;485607;463606
165;1;10-14 jaar;2024;946066;484018;462048
166;1;10-14 jaar;2025;945306;483645;461661
167;1;10-14 jaar;2026;946556;484305;462251
168;1;10-14 jaar;2027;949439;485798;463641
169;1;10-14 jaar;2028;953631;487968;465663
170;1;10-14 jaar;2029;958778;490624;468154
171;1;10-14 jaar;2030;964674;493668;471006
172;1;10-14 jaar;2031;970901;496878;474023
173;1;10-14 jaar;2032;977254;500156;477098
174;1;10-14 jaar;2033;983449;503351;480098
175;1;10-14 jaar;2034;989233;506335;482898
176;1;10-14 jaar;2035;994467;509036;485431
177;1;10-14 jaar;2036;999174;511469;487705
178;1;10-14 jaar;2037;1003251;513576;489675
179;1;10-14 jaar;2038;1006731;515381;491350
180;1;10-14 jaar;2039;1009580;516862;492718
181;1;10-14 jaar;2040;1011846;518042;493804
182;1;10-14 jaar;2041;1013439;518877;494562
183;1;10-14 jaar;2042;1014383;519380;495003
184;1;10-14 jaar;2043;1014580;519498;495082
185;1;10-14 jaar;2044;1013993;519216;494777
186;1;10-14 jaar;2045;1012531;518489;494042
187;1;10-14 jaar;2046;1010293;517358;492935
188;1;10-14 jaar;2047;1007245;515814;491431
189;1;10-14 jaar;2048;1003604;513965;489639
190;1;10-14 jaar;2049;999520;511888;487632
191;1;10-14 jaar;2050;995241;509710;485531
192;1;15-19 jaar;2003;957434;491120;466314
193;1;15-19 jaar;2004;972448;498851;473597
194;1;15-19 jaar;2005;984484;504355;480129
195;1;15-19 jaar;2006;1001304;513171;488133
196;1;15-19 jaar;2007;1012668;519004;493664
197;1;15-19 jaar;2008;1020283;522448;497835
198;1;15-19 jaar;2009;1027114;525606;501508
199;1;15-19 jaar;2010;1032887;528705;504182
200;1;15-19 jaar;2011;1025914;524698;501216
201;1;15-19 jaar;2012;1018967;521673;497294
202;1;15-19 jaar;2013;1016326;519741;496585
203;1;15-19 jaar;2014;1021787;522588;499199
204;1;15-19 jaar;2015;1028070;525909;502161
205;1;15-19 jaar;2016;1043870;533801;510069
206;1;15-19 jaar;2017;1055942;539485;516457
207;1;15-19 jaar;2018;1063881;543941;519940
208;1;15-19 jaar;2019;1063986;544067;519919
209;1;15-19 jaar;2020;1059035;541427;517608
210;1;15-19 jaar;2021;1046071;535069;511002
211;1;15-19 jaar;2022;1033735;528766;504969
212;1;15-19 jaar;2023;1020603;522052;498551
213;1;15-19 jaar;2024;1006467;514824;491643
214;1;15-19 jaar;2025;993650;508273;485377
215;1;15-19 jaar;2026;982853;502752;480101
216;1;15-19 jaar;2027;974495;498477;476018
217;1;15-19 jaar;2028;968785;495549;473236
218;1;15-19 jaar;2029;965618;493923;471695
219;1;15-19 jaar;2030;964825;493506;471319
220;1;15-19 jaar;2031;966023;494115;471908
221;1;15-19 jaar;2032;968846;495552;473294
222;1;15-19 jaar;2033;972957;497654;475303
223;1;15-19 jaar;2034;978011;500238;477773
224;1;15-19 jaar;2035;983811;503205;480606
225;1;15-19 jaar;2036;989939;506340;483599
226;1;15-19 jaar;2037;996186;509538;486648
227;1;15-19 jaar;2038;1002270;512648;489622
228;1;15-19 jaar;2039;1007955;515555;492400
229;1;15-19 jaar;2040;1013089;518179;494910
230;1;15-19 jaar;2041;1017700;520537;497163
231;1;15-19 jaar;2042;1021681;522568;499113
232;1;15-19 jaar;2043;1025077;524302;500775
233;1;15-19 jaar;2044;1027842;525711;502131
234;1;15-19 jaar;2045;1030026;526819;503207
235;1;15-19 jaar;2046;1031552;527593;503959
236;1;15-19 jaar;2047;1032425;528032;504393
237;1;15-19 jaar;2048;1032560;528090;504470
238;1;15-19 jaar;2049;1031917;527748;504169
239;1;15-19 jaar;2050;1030405;526964;503441
240;1;20-24 jaar;2003;972676;491470;481206
241;1;20-24 jaar;2004;968753;489735;479018
242;1;20-24 jaar;2005;970239;491305;478934
243;1;20-24 jaar;2006;968694;490752;477942
244;1;20-24 jaar;2007;975260;494312;480948
245;1;20-24 jaar;2008;988885;501528;487357
246;1;20-24 jaar;2009;1004223;509149;495074
247;1;20-24 jaar;2010;1017531;515065;502466
248;1;20-24 jaar;2011;1035948;524503;511445
249;1;20-24 jaar;2012;1048991;531094;517897
250;1;20-24 jaar;2013;1057959;535208;522751
251;1;20-24 jaar;2014;1065655;538802;526853
252;1;20-24 jaar;2015;1071940;542160;529780
253;1;20-24 jaar;2016;1065451;538437;527014
254;1;20-24 jaar;2017;1058755;535552;523203
255;1;20-24 jaar;2018;1056215;533692;522523
256;1;20-24 jaar;2019;1061618;536519;525099
257;1;20-24 jaar;2020;1067822;539802;528020
258;1;20-24 jaar;2021;1083313;547531;535782
259;1;20-24 jaar;2022;1095146;553101;542045
260;1;20-24 jaar;2023;1102891;557443;545448
261;1;20-24 jaar;2024;1102956;557553;545403
262;1;20-24 jaar;2025;1098033;554938;543095
263;1;20-24 jaar;2026;1085283;548698;536585
264;1;20-24 jaar;2027;1073094;542485;530609
265;1;20-24 jaar;2028;1060101;535857;524244
266;1;20-24 jaar;2029;1046141;528732;517409
