ID;Geslacht;Leeftijd;Generatie;Perioden;TotaleBevolking_1;Autochtoon_2;Allochtoon_3;TotaalNietWesters_4;Afrika_5;Azie_6;LatijnsAmerika_7;Marokko_8;NederlandseAntillenEnAruba_9;Suriname_10;Turkije_11;TotaalWesters_12;k_26EULanden_13;OverigEuropa_14;Indonesie_15;OverigBuitenEuropa_16
13;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2024;17440240;13314431.0;4125811;2355730;274889;508892;129516;434509;185299;376502;446135;1770081;1120873;210419;346329;92447
14;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2025;17488351;13316101.0;4172242;2387875;279174;520487;132458;439046;188780;378275;449657;1784368;1131857;215058;343446;94017
15;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2026;17533989;13316045.0;4217937;2419852;283532;532222;135382;443446;192249;379946;453088;1798086;1142371;219661;340462;95593
16;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2027;17576850;13313945.0;4262903;2451647;287913;544086;138299;447732;195705;381490;456431;1811261;1152456;224220;337389;97185
17;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2028;17616875;13309675.0;4307196;2483268;292340;556072;141201;451905;199157;382919;459671;1823928;1162169;228743;334218;98806
18;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2029;17653878;13303024.0;4350851;2514725;296798;568197;144099;455979;202596;384231;462830;1836121;1171556;233212;330933;100427
19;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2030;17687796;13293847.0;4393946;2546045;301286;580462;146998;459969;206017;385420;465894;1847899;1180703;237634;327518;102060
20;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2031;17718519;13282006.0;4436511;2577176;305791;592872;149890;463863;209425;386493;468859;1859324;1189661;242001;323975;103688
21;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2032;17745912;13267398.0;4478512;2608081;310301;605371;152784;467656;212808;387447;471710;1870434;1198498;246315;320287;105335
22;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2033;17769836;13249786.0;4520045;2638737;314813;617974;155673;471367;216163;388271;474478;1881309;1207290;250577;316465;106981
23;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2034;17790219;13229116.0;4561113;2669105;319333;630648;158552;474977;219469;388982;477139;1892011;1216104;254785;312507;108629
24;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2035;17806978;13205241.0;4601732;2699134;323837;643366;161433;478491;222760;389561;479700;1902604;1225008;258927;308395;110277
25;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2036;17820197;13178225.0;4641967;2728800;328306;656104;164302;481901;226004;390016;482151;1913172;1234099;263020;304131;111916
26;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2037;17829954;13148186.0;4681765;2758042;332749;668853;167167;485190;229220;390350;484512;1923724;1243414;267058;299711;113549
27;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2038;17836459;13115381.0;4721079;2786828;337145;681586;170007;488374;232406;390557;486772;1934250;1252903;271042;295135;115175
28;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2039;17839931;13080055.0;4759875;2815155;341499;694289;172853;491405;235560;390628;488913;1944722;1262574;274971;290397;116792
29;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2040;17840780;13042604.0;4798179;2843006;345818;706972;175684;494322;238689;390584;490945;1955178;1272435;278848;285504;118396
30;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2041;17839401;13003442.0;4835960;2870357;350087;719598;178501;497095;241784;390412;492875;1965601;1282465;282683;280462;119987
31;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2042;17836147;12962985.0;4873151;2897150;354317;732145;181289;499725;244863;390114;494692;1976003;1292671;286468;275302;121572
32;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2043;17831393;12921623.0;4909768;2923382;358486;744611;184062;502206;247921;389697;496414;1986384;1303034;290207;270012;123137
33;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2044;17825511;12879731.0;4945775;2949008;362594;756950;186821;504524;250953;389150;498015;1996768;1313555;293906;264617;124692
34;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2045;17818806;12837677.0;4981127;2973979;366637;769171;189540;506687;253960;388499;499491;2007150;1324216;297570;259146;126220
35;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2046;17811546;12795702.0;5015850;2998315;370620;781268;192240;508694;256937;387729;500835;2017524;1334990;301194;253604;127741
36;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2047;17804054;12754123.0;5049931;3021998;374549;793248;194901;510520;259892;386855;502046;2027929;1345878;304774;248037;129236
37;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2048;17796503;12713104.0;5083391;3045051;378403;805112;197533;512182;262825;385880;503123;2038340;1356852;308309;242463;130724
38;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2049;17789028;12672795.0;5116235;3067469;382209;816859;200138;513670;265734;384804;504057;2048759;1367861;311806;236886;132206
39;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2050;17781684;12633261.0;5148422;3089252;385949;828501;202717;514986;268612;383645;504843;2059175;1378905;315255;231342;133682
40;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2051;17774567;12594587.0;5179972;3110395;389643;840020;205260;516133;271467;382396;505490;2069572;1389952;318668;225829;135137
41;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2052;17767743;12556869.0;5210867;3130929;393273;851448;207771;517106;274293;381064;505976;2079934;1400958;322012;220365;136596
42;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2053;17761370;12520270.0;5241096;3150848;396841;862762;210262;517914;277084;379671;506313;2090255;1411935;325311;214958;138043
43;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2054;17755581;12484922.0;5270660;3170133;400358;873969;212721;518549;279855;378201;506486;2100524;1422842;328566;209641;139481
44;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2055;17750564;12450998.0;5299576;3188819;403831;885070;215144;519009;282588;376688;506499;2110751;1433674;331761;204409;140907
45;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2056;17746477;12418632.0;5327840;3206909;407232;896064;217540;519304;285296;375119;506355;2120932;1444425;334901;199277;142326
46;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2057;17743505;12387984.0;5355519;3224444;410598;906965;219900;519437;287973;373505;506058;2131084;1455082;337983;194278;143739
47;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2058;17741739;12359123.0;5382614;3241423;413905;917770;222248;519403;290620;371862;505622;2141194;1465658;340998;189399;145131
48;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2059;17741277;12332140.0;5409137;3257865;417157;928464;224550;519221;293241;370187;505050;2151282;1476143;343964;184660;146513
49;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2060;17742220;12307070.0;5435147;3273783;420360;939057;226835;518883;295817;368484;504349;2161368;1486537;346866;180081;147879
50;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2011;1731561;;1731561;1068689;134574;249350;53680;167283;82470;184473;196861;662871;407396;100940;116508;38026
51;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2012;1761574;;1761574;1081080;136660;255520;55969;167790;83571;183992;197596;680492;424753;103082;114120;38538
52;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2013;1790484;;1790484;1092871;137426;261650;58063;168809;84692;183757;198481;697613;441354;105412;111885;38967
53;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2014;1819098;;1819098;1105316;138198;267824;59996;169885;86100;183840;199452;713792;456581;107972;109869;39365
54;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2015;1847018;;1847018;1117963;138996;274058;61794;170947;87667;184131;200363;729056;470745;110593;107959;39759
55;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2016;1874040;;1874040;1130586;139822;280372;63439;171997;89199;184478;201275;743457;483986;113226;106075;40168
56;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2017;1900221;;1900221;1143099;140677;286734;64949;173039;90717;184792;202184;757132;496420;115890;104202;40626
57;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2018;1925698;;1925698;1155548;141562;293117;66429;174071;92210;185069;203081;770150;508126;118566;102333;41118
58;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2019;1950533;;1950533;1167952;142512;299502;67889;175084;93703;185303;203956;782582;519161;121267;100476;41684
59;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2020;1974677;;1974677;1180213;143518;305832;69304;176066;95191;185493;204816;794468;529578;123947;98621;42321
60;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2021;1998139;;1998139;1192302;144610;312032;70699;177023;96668;185637;205650;805839;539397;126643;96766;43026
61;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2022;2020999;;2020999;1204330;145795;318211;72074;177948;98131;185729;206450;816671;548665;129326;94904;43762
62;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2023;2043257;;2043257;1216312;147068;324412;73423;178832;99593;185763;207227;826956;557387;132009;93052;44520
63;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2024;2064977;;2064977;1228209;148406;330653;74755;179673;101028;185735;207950;836762;565608;134658;91191;45314
64;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2025;2086147;;2086147;1240044;149821;336928;76079;180471;102448;185650;208633;846108;573374;137285;89331;46112
65;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2026;2106770;;2106770;1251754;151285;343247;77390;181220;103856;185496;209266;855019;580730;139888;87466;46927
66;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2027;2126882;;2126882;1263348;152806;349616;78695;181912;105236;185255;209834;863532;587719;142470;85603;47752
67;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2028;2146502;;2146502;1274807;154370;356033;79979;182554;106596;184938;210345;871697;594365;145010;83726;48595
68;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2029;2165672;;2165672;1286124;155964;362512;81254;183137;107933;184524;210802;879548;600744;147515;81854;49444
69;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2030;2184403;;2184403;1297289;157587;369027;82519;183672;109244;184040;211197;887117;606887;149980;79965;50288
70;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2031;2202754;;2202754;1308277;159231;375588;83776;184151;110546;183456;211547;894474;612854;152412;78076;51139
71;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2032;2220727;;2220727;1319070;160889;382186;85021;184580;111808;182772;211823;901662;618682;154800;76187;51993
72;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2033;2238393;;2238393;1329661;162563;388798;86254;184957;113047;181997;212053;908733;624439;157141;74310;52848
73;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2034;2255780;;2255780;1340027;164237;395428;87477;185285;114254;181130;212227;915752;630185;159442;72436;53690
74;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2035;2272899;;2272899;1350119;165900;402042;88685;185562;115428;180158;212344;922783;635953;161694;70590;54543
75;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2036;2289791;;2289791;1359909;167541;408625;89878;185792;116582;179088;212409;929884;641828;163911;68774;55380
76;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2037;2306418;;2306418;1369361;169166;415151;91057;185967;117694;177919;212409;937060;647806;166076;66975;56205
77;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2038;2322728;;2322728;1378462;170755;421616;92206;186097;118781;176658;212359;944263;653846;168190;65205;57026
78;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2039;2338695;;2338695;1387215;172311;428012;93349;186170;119840;175289;212243;951487;659927;170260;63465;57835
79;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2040;2354292;;2354292;1395592;173833;434324;94473;186183;120881;173835;212067;958696;666025;172278;61766;58639
80;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2041;2369478;;2369478;1403591;175325;440544;95562;186138;121896;172289;211828;965893;672123;174249;60114;59417
81;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2042;2384235;;2384235;1411166;176786;446662;96630;186025;122889;170653;211530;973075;678204;176180;58511;60185
82;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2043;2398537;;2398537;1418300;178189;452638;97663;185849;123867;168928;211155;980251;684268;178053;56987;60934
83;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2044;2412366;;2412366;1424977;179549;458492;98668;185594;124824;167124;210705;987389;690295;179882;55554;61672
84;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2045;2425684;;2425684;1431161;180867;464188;99642;185264;125766;165246;210192;994520;696267;181662;54202;62384
85;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2046;2438503;;2438503;1436876;182128;469747;100576;184860;126684;163291;209586;1001627;702187;183404;52958;63080
86;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2047;2450848;;2450848;1442125;183346;475167;101478;184368;127591;161276;208899;1008732;708042;185094;51840;63763
87;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2048;2462724;;2462724;1446910;184515;480458;102343;183799;128481;159206;208123;1015811;713814;186739;50834;64419
88;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2049;2474138;;2474138;1451259;185639;485620;103180;183134;129355;157083;207259;1022881;719501;188344;49955;65079
89;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2050;2485102;;2485102;1455185;186715;490663;103986;182389;130212;154922;206300;1029923;725101;189895;49196;65727
90;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2051;2495609;;2495609;1458685;187743;495598;104759;181547;131055;152730;205253;1036924;730591;191413;48557;66362
91;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2052;2505672;;2505672;1461799;188731;500422;105514;180618;131894;150518;204108;1043876;735981;192870;48034;66992
92;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2053;2515296;;2515296;1464537;189687;505144;106233;179605;132708;148301;202866;1050752;741256;194285;47596;67619
93;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2054;2524508;;2524508;1466947;190602;509766;106930;178510;133516;146085;201543;1057562;746422;195655;47251;68233
94;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2055;2533327;;2533327;1469060;191479;514297;107606;177336;134315;143881;200145;1064276;751471;196967;46980;68846
95;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2056;2541779;;2541779;1470895;192331;518749;108254;176096;135098;141707;198673;1070884;756411;198245;46782;69454
96;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2057;2549907;;2549907;1472515;193153;523102;108887;174777;135883;139575;197135;1077386;761226;199466;46637;70051
97;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2058;2557722;;2557722;1473950;193952;527387;109503;173412;136650;137493;195568;1083782;765931;200651;46543;70657
98;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2059;2565275;;2565275;1475234;194730;531586;110085;171990;137414;135465;193961;1090048;770511;201798;46498;71241
99;Mannen en Vrouwen;Totaal over alle leeftijden;Eerstegeneratieallochtoon;2060;2572586;;2572586;1476407;195491;535717;110652;170525;138168;133499;192339;1096184;774982;202886;46479;71831
100;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2011;1692982;;1692982;830442;86352;110535;33739;188353;59381;160236;191885;862539;512012;49512;263299;37719
101;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2012;1726577;;1726577;858015;90457;116098;35473;194952;61410;163325;196297;868558;515427;51509;263136;38481
102;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2013;1759134;;1759134;884530;94141;121554;37157;201470;63298;166227;200691;874609;518933;53468;262940;39262
103;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2014;1790065;;1790065;909642;97404;126744;38823;207701;65123;169026;204829;880423;522387;55443;262613;39971
104;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2015;1818852;;1818852;933189;100465;131885;40390;213346;66837;171519;208755;885661;525540;57442;262031;40645
105;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2016;1847462;;1847462;956457;103475;137062;41964;218815;68607;173966;212575;891007;528779;59472;261418;41337
106;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2017;1875519;;1875519;979173;106436;142212;43535;224053;70443;176308;216205;896349;532033;61516;260778;42022
107;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2018;1903120;;1903120;1001429;109364;147330;45111;229054;72326;178567;219683;901692;535316;63563;260100;42719
108;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2019;1930285;;1930285;1023218;112248;152458;46694;233845;74243;180758;222984;907066;538636;65604;259385;43434
109;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2020;1957108;;1957108;1044663;115117;157564;48299;238419;76213;182864;226201;912453;542002;67654;258635;44157
110;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2021;1983505;;1983505;1065720;117944;162657;49906;242786;78197;184914;229323;917788;545358;69689;257843;44894
111;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2022;2009583;;2009583;1086519;120787;167794;51527;246959;80202;186904;232349;923064;548708;71725;257001;45634
112;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2023;2035340;;2035340;1107086;123624;172986;53146;250963;82217;188858;235299;928247;552011;73750;256108;46388
113;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2024;2060832;;2060832;1127517;126485;178238;54760;254833;84261;190758;238182;933316;555270;75763;255140;47142
114;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2025;2086095;;2086095;1147831;129357;183560;56372;258571;86321;192630;241020;938255;558477;77772;254108;47904
115;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2026;2111159;;2111159;1168106;132238;188969;57992;262226;88393;194458;243824;943060;561635;79771;252997;48670
116;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2027;2136015;;2136015;1188298;135112;194470;59602;265817;90473;196239;246593;947725;564746;81764;251790;49435
117;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2028;2160694;;2160694;1208463;137977;200037;61224;269360;92564;197983;249320;952229;567795;83732;250486;50204
118;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2029;2185183;;2185183;1228605;140837;205689;62844;272839;94656;199701;252026;956578;570817;85703;249082;50981
119;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2030;2209545;;2209545;1248757;143705;211438;64481;276298;96771;201389;254691;960784;573817;87651;247552;51760
120;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2031;2233755;;2233755;1268904;146553;217281;66123;279708;98886;203042;257315;964852;576814;89599;245896;52550
121;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2032;2257783;;2257783;1289010;149408;223188;67766;283083;101006;204676;259890;968782;579821;91520;244105;53343
122;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2033;2281652;;2281652;1309080;152258;229178;69414;286412;103116;206279;262425;972579;582844;93438;242159;54139
123;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2034;2305334;;2305334;1329080;155097;235220;71079;289693;105219;207857;264916;976256;585919;95331;240067;54932
124;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2035;2328833;;2328833;1349016;157931;241324;72749;292923;107324;209403;267350;979825;589054;97229;237802;55735
125;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2036;2352173;;2352173;1368891;160766;247485;74424;296103;109428;210928;269747;983287;592283;99110;235364;56537
126;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2037;2375351;;2375351;1388681;163585;253698;76111;299223;111534;212430;272105;986669;595603;100986;232738;57336
127;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2038;2398348;;2398348;1408371;166391;259962;77806;302269;113627;213895;274404;989985;599055;102850;229936;58143
128;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2039;2421182;;2421182;1427939;169192;266280;79503;305240;115718;215338;276664;993240;602648;104714;226930;58955
129;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2040;2443889;;2443889;1447412;171982;272647;81216;308141;117813;216747;278874;996484;606409;106574;223741;59761
130;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2041;2466482;;2466482;1466768;174774;279057;82939;310953;119889;218118;281047;999712;610345;108433;220363;60572
131;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2042;2488913;;2488913;1485979;177539;285490;84657;313703;121966;219456;283171;1002932;614459;110295;216791;61390
132;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2043;2511234;;2511234;1505086;180298;291961;86395;316360;124051;220759;285257;1006144;618774;112157;213022;62202
133;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2044;2533414;;2533414;1524035;183045;298462;88144;318932;126130;222019;287303;1009385;623266;114024;209074;63023
134;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2045;2555452;;2555452;1542818;185774;304981;89897;321420;128199;223250;289301;1012630;627945;115910;204951;63839
135;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2046;2577342;;2577342;1561447;188492;311521;91661;323823;130250;224435;291247;1015902;632805;117786;200647;64661
136;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2047;2599079;;2599079;1579883;191196;318078;93423;326151;132310;225582;293146;1019196;637838;119679;196203;65481
137;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2048;2620669;;2620669;1598140;193888;324655;95196;328382;134351;226681;294999;1022525;643030;121572;191626;66304
138;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2049;2642092;;2642092;1616209;196568;331235;96963;330532;136383;227726;296796;1025881;648357;123463;186936;67128
139;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2050;2663322;;2663322;1634067;199242;337832;98728;332606;138400;228719;298548;1029248;653807;125358;182138;67951
140;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2051;2684361;;2684361;1651712;201894;344431;100497;334586;140413;229666;300237;1032648;659357;127252;177264;68779
141;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2052;2705195;;2705195;1669135;204536;351025;102263;336491;142399;230553;301867;1036059;664983;129142;172329;69606
142;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal tweedegeneratieallochtonen;2053;2725804;;2725804;1686301;207158;357618;104031;338313;144378;231375;303441;1039504;670677;131034;167363;70430
