ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;TotaalVerleendeDiensten_28;VerzorgenVanFinancieleAdministraties_29;AdviseringExclBelastingadvies_30;Accountantscontrolewerkzaamheden_31;VerzorgenVanNietFinancieleAdm_32;BelastingAdviesWerkzaamheden_33;OverigeDienstverlening_34;TotaalOverigeActiviteiten_35;OntvangstenVoorUitleenEnSubsidie_36;TotaalPersoneelskosten_37;BrutoLonenEnSalarissen_38;SocialeLasten_39;Pensioenpremies_40;KostenUitzendkrachten_41;KostenIngeleendPersoneel_42;OverigePersoneelskosten_43;TotaalOverigeBedrijfslasten_44;TotaalHuisvestingskosten_45;BetaaldeHurenPachtenEDVanLeasing_46;OnroerendeZaakbelastingMilieuheffing_47;Energiekosten_48;ReparatieEnOnderhoudskosten_49;Verzekeringen_50;OverigeHuisvestingskosten_51;TotaalInventarisEnMachinekosten_52;BetaaldeHurenEnKostenVanOperLease_53;Onderhoudskosten_54;OverigeInventarisEnMachinekosten_55;TotaalAutokosten_56;BetaaldeHurenEnKostenVanOperLease_57;Brandstof_58;OverigeAutokosten_59;TotaalVerkoopkosten_60;ReclameEnAdvertentiekosten_61;ReisVerblijfsEnRepresentatiekosten_62;OverigeVerkoopkosten_63;TotaalAndereKosten_64;AccountantsEnAdviesdiensten_65;KantoorbenodigdhDrukwerkVakliteratuur_66;OverigeVerzekeringen_67;OverigeKostprijsverhogendeBelastingen_68;Communicatiekosten_69;Beheerskosten_70;OverigeAutomatiseringskosten_71;NogNietEerderGenoemdeBedrijfskosten_72;TotaalAantalWerkzamePersonen_73;WerknemersOpDeLoonlijst_74;WerknemersNietOpLoonlijst_75;OverigPersoneel_76;AantalVte_77;TotaalInvesteringen_78;TotaalMaterieleVasteActiva_79;Bedrijfsruimten_80;Vervoermiddelen_81;Computers_82;OverigeMachinesApparatenED_83;OverigeMaterieleVasteActiva_84;TotaalImmaterieleVasteActiva_85
10;250 000 tot 500 000 euro;1998;7.5;269;265;265;0;4;225;3.8;60.8;8.7;26.8;60;14;3;8;6;29;44;0;44;96.8;14.9;16.5;7.9;;;265;100.0;59.4;6.2;6.7;7.1;16.2;4.3;0.0;0.5;137;76.3;8.4;5.2;0.6;5.1;5.0;60;14;;;;;;;3;;;;8;;;;6;;;;29;;;;;;;;;56;85.8;9.9;4.3;48;21;99.5;26.8;26.4;28.4;5.2;12.8;0.5
11;250 000 tot 500 000 euro;1999;7.0;261;258;258;0;3;214;6.0;60.0;8.0;26.0;56;13;3;7;5;29;47;12;59;95.0;17.6;22.5;9.4;;;258;100.0;57.2;6.7;5.3;5.8;19.1;6.0;0.0;1.3;129;75.6;7.6;5.7;0.9;6.5;5.0;56;13;;;;;;;3;;;;7;;;;5;;;;29;;;;;;;;;47;87.4;10.5;2.1;39;24;95.3;52.3;13.0;20.6;2.2;7.2;4.7
12;500 000 tot 1 000 000 euro;1996;4.2;289;288;288;0;1;229;6.2;63.7;7.5;22.6;52;14;3;7;5;23;60;-7;53;95.1;18.5;18.4;5.2;;;288;99.9;;;;;;;0.1;0.7;146;78.4;6.6;3.2;0.4;5.9;6.2;52;14;73.9;1.2;9.3;7.3;0.9;7.4;3;26.3;50.7;23.0;7;43.8;18.4;37.7;5;47.6;28.4;24.0;23;17.7;24.4;4.7;1.1;13.6;13.8;8.2;16.5;57;87.5;10.0;2.5;51;15;87.9;16.8;15.6;27.7;16.9;10.9;12.1
13;500 000 tot 1 000 000 euro;1997;4.2;293;291;290;1;2;242;9.2;61.3;6.3;23.1;56;14;2;7;4;29;51;-4;47;92.3;16.2;15.9;6.9;;;291;99.8;;;;;;;0.2;0.3;148;79.5;6.4;4.2;0.7;2.7;6.8;56;14;65.5;1.7;9.5;12.3;2.1;9.1;2;35.3;46.5;18.2;7;40.1;21.6;38.3;4;36.7;40.5;22.8;29;15.7;32.1;4.4;0.0;13.7;11.8;7.5;14.9;54;91.5;6.4;2.2;48;20;65.8;8.2;11.4;27.8;8.3;10.1;34.2
14;500 000 tot 1 000 000 euro;1998;4.4;309;307;307;0;2;251;3.6;65.0;5.9;25.5;64;16;4;8;4;32;58;1;59;97.0;18.2;19.1;5.3;;;307;100.0;53.6;7.9;15.6;6.0;14.7;2.2;0.0;0.3;163;74.0;8.8;5.5;1.0;4.2;6.7;64;16;;;;;;;4;;;;8;;;;4;;;;32;;;;;;;;;54;90.3;6.1;3.7;47;16;99.2;12.2;24.9;27.9;12.7;21.5;0.8
15;500 000 tot 1 000 000 euro;1999;4.4;307;305;305;0;2;263;5.9;61.5;6.0;26.7;70;17;6;8;6;33;45;3;48;94.9;14.9;15.5;7.5;;;305;100.0;55.8;11.5;9.3;5.6;12.0;5.7;0.0;0.2;162;73.5;9.3;5.9;1.5;3.5;6.6;70;17;;;;;;;6;;;;8;;;;6;;;;33;;;;;;;;;56;91.1;6.3;2.6;44;23;92.9;35.1;9.5;28.3;6.7;13.4;7.1
16;1 000 000 euro en meer;1996;2.9;2807;2753;2750;3;54;2471;2.9;67.5;5.4;24.1;595;147;22;83;72;271;336;-67;269;97.4;9.9;9.6;6.3;;;2753;99.9;;;;;;;0.1;0.1;1669;80.2;4.4;4.6;1.6;1.2;8.1;595;147;66.2;1.2;7.6;8.8;0.6;15.6;22;22.5;51.7;25.8;83;67.0;5.9;27.2;72;32.3;50.8;16.9;271;8.9;21.3;9.7;0.1;15.2;18.4;4.6;21.7;409;92.2;4.2;3.6;378;178;87.5;13.0;8.0;47.0;6.0;13.5;12.5
17;1 000 000 euro en meer;1997;3.1;3057;3011;3009;3;46;2703;3.2;67.4;5.3;24.1;652;162;27;84;80;299;354;-15;339;97.1;10.6;11.1;6.5;;;3011;99.9;;;;;;;0.1;0.1;1823;79.6;4.1;4.4;1.7;1.6;8.7;652;162;68.7;1.1;7.5;8.8;0.5;13.4;27;25.0;55.1;19.9;84;67.4;6.7;25.9;80;34.4;47.4;18.2;299;7.2;21.6;10.1;0.1;17.3;15.2;5.0;23.4;437;91.6;4.2;4.1;404;200;76.8;17.6;6.6;33.3;6.8;12.5;23.2
18;1 000 000 euro en meer;1998;3.6;3554;3489;3484;5;65;3117;5.2;65.2;5.5;24.1;751;182;34;96;87;354;437;-47;390;95.3;11.1;11.0;5.5;;;3489;99.9;22.4;12.4;31.2;6.6;19.8;7.5;0.1;0.1;2031;77.1;6.5;4.1;2.1;1.8;8.7;751;182;;;;;;;34;;;;96;;;;87;;;;354;;;;;;;;;485;92.1;4.4;3.5;448;195;98.2;22.4;4.9;41.2;6.4;23.4;1.8
19;1 000 000 euro en meer;1999;3.8;4074;4015;4013;2;59;3648;6.5;63.8;5.2;24.4;891;193;31;110;83;474;426;-59;367;94.1;9.4;9.0;5.9;;;4015;100.0;20.6;12.8;33.8;5.6;17.9;9.1;0.0;0.2;2329;77.0;7.3;4.4;2.3;1.4;7.7;891;193;;;;;;;31;;;;110;;;;83;;;;474;;;;;;;;;519;93.4;4.1;2.4;472;240;86.7;17.3;7.9;42.3;4.3;14.9;13.3
