ID;TypeReIntegratieParticipatievoorz;StatusVoorziening;RegioS;Perioden;ReIntegratieParticipatievoorzieningen_1
60;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2024 juli;52120
61;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2024 augustus;52030
62;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Oost-Nederland (LD);2024 september;52660
63;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2023 januari;103900
64;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2023 februari;103360
65;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2023 maart;104570
66;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2023 april;105800
67;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2023 mei;106800
68;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2023 juni;106620
69;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2023 juli;106680
70;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2023 augustus;107430
71;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2023 september;109120
72;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2023 oktober;109510
73;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2023 november;110160
74;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2023 december;107690
75;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2024 januari;111110
76;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2024 februari;112290
77;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2024 maart;112940
78;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2024 april;112480
79;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2024 mei;112740
80;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2024 juni;112010
81;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2024 juli;112420
82;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2024 augustus;112500
83;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;West-Nederland (LD);2024 september;114480
84;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2023 januari;38060
85;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2023 februari;38280
86;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2023 maart;38700
87;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2023 april;38800
88;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2023 mei;39200
89;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2023 juni;38730
90;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2023 juli;39220
91;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2023 augustus;39250
92;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2023 september;40000
93;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2023 oktober;39960
94;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2023 november;40850
95;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2023 december;38480
96;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2024 januari;40770
97;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2024 februari;40950
98;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2024 maart;41330
99;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2024 april;41950
100;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2024 mei;42230
101;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2024 juni;41930
102;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2024 juli;42100
103;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2024 augustus;42020
104;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Zuid-Nederland (LD);2024 september;42960
105;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2023 januari;10330
106;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2023 februari;10550
107;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2023 maart;11130
108;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2023 april;11350
109;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2023 mei;11130
110;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2023 juni;11150
111;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2023 juli;11230
112;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2023 augustus;11310
113;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2023 september;11750
114;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2023 oktober;11910
115;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2023 november;12450
116;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2023 december;12200
117;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2024 januari;12640
118;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2024 februari;12860
119;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2024 maart;12930
120;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2024 april;13050
121;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2024 mei;13170
122;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2024 juni;12980
123;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2024 juli;12980
124;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2024 augustus;12860
125;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Groningen (PV);2024 september;13080
126;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2023 januari;11540
127;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2023 februari;11590
128;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2023 maart;11710
129;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2023 april;11890
130;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2023 mei;11930
131;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2023 juni;11970
132;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2023 juli;12070
133;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2023 augustus;11890
134;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2023 september;12000
135;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2023 oktober;12000
136;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2023 november;12010
137;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2023 december;11490
138;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2024 januari;11900
139;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2024 februari;11750
140;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2024 maart;11770
141;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2024 april;11970
142;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2024 mei;12030
143;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2024 juni;11840
144;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2024 juli;11880
145;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2024 augustus;12200
146;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Fryslân (PV);2024 september;12530
147;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2023 januari;8710
148;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2023 februari;8770
149;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2023 maart;6980
150;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2023 april;6950
151;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2023 mei;6970
152;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2023 juni;6960
153;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2023 juli;7300
154;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2023 augustus;7380
155;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2023 september;7140
156;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2023 oktober;7180
157;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2023 november;7150
158;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2023 december;6870
159;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2024 januari;7200
160;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2024 februari;7280
161;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2024 maart;7510
162;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2024 april;7610
163;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2024 mei;7700
164;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2024 juni;7710
165;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2024 juli;7640
166;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2024 augustus;7640
167;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Drenthe (PV);2024 september;7710
168;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2023 januari;15370
169;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2023 februari;15480
170;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2023 maart;15670
171;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2023 april;15850
172;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2023 mei;16010
173;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2023 juni;16080
174;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2023 juli;15990
175;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2023 augustus;16030
176;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2023 september;16320
177;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2023 oktober;16670
178;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2023 november;16780
179;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2023 december;15840
180;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2024 januari;16700
181;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2024 februari;16920
182;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2024 maart;16650
183;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2024 april;16540
184;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2024 mei;16750
185;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2024 juni;16730
186;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2024 juli;16740
187;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2024 augustus;16720
188;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Overijssel (PV);2024 september;16850
189;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2023 januari;5480
190;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2023 februari;5490
191;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2023 maart;5490
192;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2023 april;5490
193;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2023 mei;5560
194;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2023 juni;5540
195;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2023 juli;5540
196;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2023 augustus;5560
197;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2023 september;5640
198;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2023 oktober;5730
199;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2023 november;5750
200;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2023 december;5320
201;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2024 januari;5720
202;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2024 februari;5730
203;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2024 maart;5800
204;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2024 april;5850
205;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2024 mei;5900
206;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2024 juni;5820
207;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2024 juli;5810
208;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2024 augustus;5720
209;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Flevoland (PV);2024 september;5740
210;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2023 januari;26480
211;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2023 februari;26660
212;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2023 maart;26760
213;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2023 april;26780
214;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2023 mei;26970
215;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2023 juni;27290
216;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2023 juli;27490
217;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2023 augustus;27190
218;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2023 september;27750
219;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2023 oktober;27940
220;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2023 november;28440
221;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2023 december;27350
222;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2024 januari;28640
223;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2024 februari;28980
224;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2024 maart;28960
225;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2024 april;29230
226;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2024 mei;29340
227;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2024 juni;29420
228;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2024 juli;29570
229;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2024 augustus;29590
230;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Gelderland (PV);2024 september;30060
231;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2023 januari;15480
232;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2023 februari;15560
233;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2023 maart;15790
234;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2023 april;15820
235;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2023 mei;15940
236;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2023 juni;15890
237;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2023 juli;15840
238;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2023 augustus;15890
239;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2023 september;15980
240;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2023 oktober;15990
241;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2023 november;16010
242;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2023 december;15290
243;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2024 januari;15910
244;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2024 februari;16090
245;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2024 maart;16260
246;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2024 april;16310
247;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2024 mei;16450
248;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2024 juni;16550
249;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2024 juli;16650
250;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2024 augustus;16640
251;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Utrecht (PV);2024 september;16880
252;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Holland (PV);2023 januari;34320
253;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Holland (PV);2023 februari;34320
254;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Holland (PV);2023 maart;34680
255;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Holland (PV);2023 april;35020
256;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Holland (PV);2023 mei;35270
257;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Holland (PV);2023 juni;35460
258;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Holland (PV);2023 juli;35300
259;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Holland (PV);2023 augustus;35370
260;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Holland (PV);2023 september;36310
261;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Holland (PV);2023 oktober;36680
262;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Holland (PV);2023 november;36700
263;Totaal re-integratie-/participatievoorz.;Lopend eind verslagperiode;Noord-Holland (PV);2023 december;37420
