ID;BedrijfstakkenBranchesSBI2008;TypeGefailleerde;Perioden;UitgesprokenFaillissementen_1
32;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 33;77
33;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 34;74
34;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 35;65
35;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 36;49
36;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 37;87
37;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 38;93
38;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 39;68
39;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 40;64
40;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 41;74
41;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 42;69
42;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 43;44
43;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 44;95
44;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 45;74
45;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 46;84
46;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 47;78
47;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 48;79
48;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 49;81
49;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 50;71
50;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 51;96
51;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 week 52;55
52;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 1;25
53;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 2;72
54;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 3;70
55;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 4;73
56;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 5;82
57;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 6;67
58;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 7;114
59;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 8;73
60;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 9;68
61;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 10;80
62;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 11;76
63;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 12;68
64;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 13;47
65;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 14;74
66;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 15;96
67;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 16;65
68;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 17;111
69;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 18;80
70;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 19;58
71;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 20;92
72;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 21;85
73;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 22;79
74;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 23;72
75;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 24;60
76;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 25;86
77;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 26;31
78;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 27;65
79;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 28;64
80;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 29;57
81;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 30;38
82;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 31;52
83;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 32;46
84;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 33;61
85;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 34;33
86;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 35;49
87;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 36;38
88;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 37;46
89;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 38;58
90;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 39;63
91;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 40;47
92;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 41;52
93;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 42;46
94;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 43;46
95;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 44;40
96;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 45;64
97;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 46;40
98;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 47;58
99;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 48;40
100;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 49;51
101;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 50;42
102;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 51;48
103;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 52;34
104;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 week 53;32
105;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 1;34
106;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 2;33
107;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 3;42
108;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 4;54
109;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 5;35
110;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 6;38
111;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 7;34
112;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 8;29
113;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 9;34
114;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 10;51
115;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 11;44
116;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 12;36
117;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 13;30
118;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 14;54
119;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 15;37
120;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 16;41
121;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 17;15
122;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 18;49
123;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 19;26
124;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 20;34
125;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 21;43
126;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 22;34
127;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 23;34
128;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 24;28
129;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 25;28
130;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 26;40
131;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 27;37
132;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 28;32
133;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 29;26
134;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 30;24
135;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 31;22
136;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 32;38
137;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 33;18
138;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 34;28
139;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 35;19
140;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 36;31
141;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 37;24
142;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 38;33
143;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 39;51
144;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 40;30
145;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 41;31
146;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 42;27
147;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 43;31
148;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 44;34
149;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 45;47
150;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 46;30
151;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 47;47
152;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 48;59
153;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 49;43
154;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 50;34
155;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 51;43
156;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 week 52;28
157;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 1;2
158;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 2;9
159;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 3;14
160;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 4;14
161;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 5;16
162;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 6;14
163;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 7;14
164;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 8;18
165;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 9;16
166;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 10;11
167;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 11;9
168;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 12;11
169;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 13;11
170;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 14;11
171;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 15;14
172;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 16;12
173;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 17;8
174;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 18;9
175;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 19;16
176;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 20;8
177;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 21;12
178;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 22;8
179;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 23;8
180;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 24;7
181;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 25;7
182;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 26;7
183;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 27;7
184;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 28;8
185;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 29;17
186;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 30;5
187;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 31;8
188;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 32;12
189;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 33;11
190;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 34;8
191;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 35;9
192;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 36;7
193;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 37;17
194;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 38;15
195;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 39;18
196;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 40;9
197;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 41;13
198;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 42;8
199;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 43;7
200;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 44;11
201;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 45;16
202;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 46;11
203;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 47;14
204;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 48;8
205;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 49;13
206;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 50;10
207;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 51;17
208;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2019 week 52;12
209;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 1;3
210;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 2;12
211;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 3;12
212;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 4;10
213;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 5;11
214;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 6;21
215;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 7;12
216;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 8;17
217;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 9;14
218;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 10;7
219;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 11;16
220;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 12;8
221;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 13;3
222;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 14;5
223;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 15;8
224;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 16;5
225;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 17;13
226;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 18;16
227;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 19;9
228;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 20;19
229;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 21;16
230;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 22;10
231;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 23;8
232;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 24;6
233;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 25;12
234;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 26;1
235;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 27;11
236;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 28;8
237;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 29;11
238;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 30;2
239;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 31;6
240;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 32;4
241;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 33;8
242;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 34;4
243;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 35;8
244;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 36;5
245;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 37;3
246;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 38;7
247;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 39;12
248;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 40;10
249;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 41;6
250;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 42;6
251;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 43;4
252;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 44;6
253;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 45;11
254;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 46;8
255;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 47;10
256;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 48;6
257;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 49;10
258;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 50;8
259;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 51;16
260;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 52;11
261;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2020 week 53;5
262;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 1;8
263;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 2;6
264;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 3;7
265;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 4;4
266;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 5;8
267;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 6;9
268;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 7;7
269;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 8;5
270;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 9;8
271;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 10;9
272;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 11;6
273;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 12;5
274;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 13;2
275;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 14;12
276;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 15;7
277;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 16;6
278;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 17;3
279;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 18;11
280;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 19;8
281;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 20;5
282;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 21;4
283;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 22;2
284;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 23;4
285;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 24;4
286;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 25;6
287;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 26;8
288;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 27;5
289;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 28;6
290;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 29;3
291;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 30;3
292;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 31;2
293;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 32;6
294;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 33;0
295;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 34;5
296;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 35;1
297;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 36;7
298;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 37;5
299;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 38;6
300;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 39;6
301;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 40;3
302;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 41;5
303;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 42;5
304;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 43;5
305;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 44;5
306;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 45;2
307;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 46;4
308;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 47;6
309;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 48;7
310;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 49;7
311;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 50;4
312;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 51;8
313;A-U Alle economische activiteiten;Natuurlijke personen met eenmanszaak;2021 week 52;4
314;A-U Alle economische activiteiten;Bedrijven en instellingen;2019 week 1;15
315;A-U Alle economische activiteiten;Bedrijven en instellingen;2019 week 2;65
