ID;Sex;Age;Citizenship;Periods;TotalAsylumRequests_1;FirstAsylumRequests_2
99;Total male and female, including unknown;Total age;Total nationality;2012 December;1115;940
100;Total male and female, including unknown;Total age;Total nationality;2012 4th Quarter;3640;2880
101;Total male and female, including unknown;Total age;Total nationality;2012;13170;9715
102;Total male and female, including unknown;Total age;Total nationality;2013 January;1060;735
103;Total male and female, including unknown;Total age;Total nationality;2013 February;945;675
104;Total male and female, including unknown;Total age;Total nationality;2013 March;985;695
105;Total male and female, including unknown;Total age;Total nationality;2013 1st Quarter;2990;2105
106;Total male and female, including unknown;Total age;Total nationality;2013 April;940;690
107;Total male and female, including unknown;Total age;Total nationality;2013 May;885;615
108;Total male and female, including unknown;Total age;Total nationality;2013 June;990;705
109;Total male and female, including unknown;Total age;Total nationality;2013 2nd Quarter;2815;2005
110;Total male and female, including unknown;Total age;Total nationality;2013 July;1065;765
111;Total male and female, including unknown;Total age;Total nationality;2013 August;1010;740
112;Total male and female, including unknown;Total age;Total nationality;2013 September;1235;1025
113;Total male and female, including unknown;Total age;Total nationality;2013 3rd Quarter;3310;2530
114;Total male and female, including unknown;Total age;Total nationality;2013 October;1510;1185
115;Total male and female, including unknown;Total age;Total nationality;2013 November;1290;1055
116;Total male and female, including unknown;Total age;Total nationality;2013 December;1180;960
117;Total male and female, including unknown;Total age;Total nationality;2013 4th Quarter;3985;3200
118;Total male and female, including unknown;Total age;Total nationality;2013;13095;9840
119;Total male and female, including unknown;Total age;Total nationality;2014 January;1490;1380
120;Total male and female, including unknown;Total age;Total nationality;2014 February;1110;910
121;Total male and female, including unknown;Total age;Total nationality;2014 March;1160;960
122;Total male and female, including unknown;Total age;Total nationality;2014 1st Quarter;3760;3255
123;Total male and female, including unknown;Total age;Total nationality;2014 April;2430;2225
124;Total male and female, including unknown;Total age;Total nationality;2014 May;3445;3260
125;Total male and female, including unknown;Total age;Total nationality;2014 June;1940;1700
126;Total male and female, including unknown;Total age;Total nationality;2014 2nd Quarter;7815;7185
127;Total male and female, including unknown;Total age;Total nationality;2014 July;2260;2000
128;Total male and female, including unknown;Total age;Total nationality;2014 August;2410;2125
129;Total male and female, including unknown;Total age;Total nationality;2014 September;3120;2865
130;Total male and female, including unknown;Total age;Total nationality;2014 3rd Quarter;7795;6985
131;Total male and female, including unknown;Total age;Total nationality;2014 October;2250;1905
132;Total male and female, including unknown;Total age;Total nationality;2014 November;1455;1255
133;Total male and female, including unknown;Total age;Total nationality;2014 December;1460;1230
134;Total male and female, including unknown;Total age;Total nationality;2014 4th Quarter;5165;4385
135;Total male and female, including unknown;Total age;Total nationality;2014;24535;21810
136;Total male and female, including unknown;Total age;Total nationality;2015 January;1060;895
137;Total male and female, including unknown;Total age;Total nationality;2015 February;960;735
138;Total male and female, including unknown;Total age;Total nationality;2015 March;990;805
139;Total male and female, including unknown;Total age;Total nationality;2015 1st Quarter;3010;2435
140;Total male and female, including unknown;Total age;Total nationality;2015 April;1320;1140
141;Total male and female, including unknown;Total age;Total nationality;2015 May;2375;2250
142;Total male and female, including unknown;Total age;Total nationality;2015 June;3060;2925
143;Total male and female, including unknown;Total age;Total nationality;2015 2nd Quarter;6735;6275
144;Total male and female, including unknown;Total age;Total nationality;2015 July;3145;2980
145;Total male and female, including unknown;Total age;Total nationality;2015 August;5470;5330
146;Total male and female, including unknown;Total age;Total nationality;2015 September;6625;6435
147;Total male and female, including unknown;Total age;Total nationality;2015 3rd Quarter;15240;14745
148;Total male and female, including unknown;Total age;Total nationality;2015 October;10135;9980
149;Total male and female, including unknown;Total age;Total nationality;2015 November;6375;6240
150;Total male and female, including unknown;Total age;Total nationality;2015 December;3520;3380
151;Total male and female, including unknown;Total age;Total nationality;2015 4th Quarter;20030;19600
152;Total male and female, including unknown;Total age;Total nationality;2015;45035;43095
153;Total male and female, including unknown;Total age;Total nationality;2016 January;2670;2550
154;Total male and female, including unknown;Total age;300;2007 January;60;35
155;Total male and female, including unknown;Total age;300;2007 February;45;15
156;Total male and female, including unknown;Total age;300;2007 March;40;10
157;Total male and female, including unknown;Total age;300;2007 1st Quarter;140;60
158;Total male and female, including unknown;Total age;300;2007 April;45;15
159;Total male and female, including unknown;Total age;300;2007 May;50;10
160;Total male and female, including unknown;Total age;300;2007 June;65;25
161;Total male and female, including unknown;Total age;300;2007 2nd Quarter;160;50
162;Total male and female, including unknown;Total age;300;2007 July;45;5
163;Total male and female, including unknown;Total age;300;2007 August;40;20
164;Total male and female, including unknown;Total age;300;2007 September;45;20
165;Total male and female, including unknown;Total age;300;2007 3rd Quarter;130;45
166;Total male and female, including unknown;Total age;300;2007 October;40;10
167;Total male and female, including unknown;Total age;300;2007 November;35;10
168;Total male and female, including unknown;Total age;300;2007 December;15;10
169;Total male and female, including unknown;Total age;300;2007 4th Quarter;85;30
170;Total male and female, including unknown;Total age;300;2007;520;190
171;Total male and female, including unknown;Total age;300;2008 January;55;15
172;Total male and female, including unknown;Total age;300;2008 February;55;30
173;Total male and female, including unknown;Total age;300;2008 March;30;10
174;Total male and female, including unknown;Total age;300;2008 1st Quarter;140;55
175;Total male and female, including unknown;Total age;300;2008 April;45;15
176;Total male and female, including unknown;Total age;300;2008 May;35;20
177;Total male and female, including unknown;Total age;300;2008 June;55;30
178;Total male and female, including unknown;Total age;300;2008 2nd Quarter;135;60
179;Total male and female, including unknown;Total age;300;2008 July;60;20
180;Total male and female, including unknown;Total age;300;2008 August;65;35
181;Total male and female, including unknown;Total age;300;2008 September;50;35
182;Total male and female, including unknown;Total age;300;2008 3rd Quarter;175;90
183;Total male and female, including unknown;Total age;300;2008 October;100;60
184;Total male and female, including unknown;Total age;300;2008 November;70;50
185;Total male and female, including unknown;Total age;300;2008 December;85;80
186;Total male and female, including unknown;Total age;300;2008 4th Quarter;255;190
187;Total male and female, including unknown;Total age;300;2008;705;395
188;Total male and female, including unknown;Total age;300;2009 January;110;95
189;Total male and female, including unknown;Total age;300;2009 February;140;130
190;Total male and female, including unknown;Total age;300;2009 March;145;135
191;Total male and female, including unknown;Total age;300;2009 1st Quarter;395;360
192;Total male and female, including unknown;Total age;300;2009 April;135;125
193;Total male and female, including unknown;Total age;300;2009 May;90;85
194;Total male and female, including unknown;Total age;300;2009 June;95;80
195;Total male and female, including unknown;Total age;300;2009 2nd Quarter;320;285
196;Total male and female, including unknown;Total age;300;2009 July;70;65
197;Total male and female, including unknown;Total age;300;2009 August;95;80
198;Total male and female, including unknown;Total age;300;2009 September;90;80
199;Total male and female, including unknown;Total age;300;2009 3rd Quarter;255;225
200;Total male and female, including unknown;Total age;300;2009 October;125;120
201;Total male and female, including unknown;Total age;300;2009 November;140;140
202;Total male and female, including unknown;Total age;300;2009 December;165;150
203;Total male and female, including unknown;Total age;300;2009 4th Quarter;430;410
204;Total male and female, including unknown;Total age;300;2009;1400;1280
205;Total male and female, including unknown;Total age;300;2010 January;215;200
206;Total male and female, including unknown;Total age;300;2010 February;130;125
207;Total male and female, including unknown;Total age;300;2010 March;135;125
208;Total male and female, including unknown;Total age;300;2010 1st Quarter;485;455
209;Total male and female, including unknown;Total age;300;2010 April;90;65
210;Total male and female, including unknown;Total age;300;2010 May;80;60
211;Total male and female, including unknown;Total age;300;2010 June;110;95
212;Total male and female, including unknown;Total age;300;2010 2nd Quarter;280;220
213;Total male and female, including unknown;Total age;300;2010 July;70;70
214;Total male and female, including unknown;Total age;300;2010 August;95;85
215;Total male and female, including unknown;Total age;300;2010 September;170;145
216;Total male and female, including unknown;Total age;300;2010 3rd Quarter;340;300
217;Total male and female, including unknown;Total age;300;2010 October;145;110
218;Total male and female, including unknown;Total age;300;2010 November;195;160
219;Total male and female, including unknown;Total age;300;2010 December;145;125
220;Total male and female, including unknown;Total age;300;2010 4th Quarter;485;395
221;Total male and female, including unknown;Total age;300;2010;1585;1365
222;Total male and female, including unknown;Total age;300;2011 January;115;95
223;Total male and female, including unknown;Total age;300;2011 February;135;120
224;Total male and female, including unknown;Total age;300;2011 March;190;155
225;Total male and female, including unknown;Total age;300;2011 1st Quarter;440;365
226;Total male and female, including unknown;Total age;300;2011 April;165;145
227;Total male and female, including unknown;Total age;300;2011 May;190;150
228;Total male and female, including unknown;Total age;300;2011 June;240;195
229;Total male and female, including unknown;Total age;300;2011 2nd Quarter;595;490
230;Total male and female, including unknown;Total age;300;2011 July;250;210
231;Total male and female, including unknown;Total age;300;2011 August;265;200
232;Total male and female, including unknown;Total age;300;2011 September;220;170
233;Total male and female, including unknown;Total age;300;2011 3rd Quarter;740;575
234;Total male and female, including unknown;Total age;300;2011 October;245;195
235;Total male and female, including unknown;Total age;300;2011 November;225;160
236;Total male and female, including unknown;Total age;300;2011 December;145;95
237;Total male and female, including unknown;Total age;300;2011 4th Quarter;620;450
238;Total male and female, including unknown;Total age;300;2011;2395;1885
239;Total male and female, including unknown;Total age;300;2012 January;190;120
240;Total male and female, including unknown;Total age;300;2012 February;150;105
241;Total male and female, including unknown;Total age;300;2012 March;185;135
242;Total male and female, including unknown;Total age;300;2012 1st Quarter;525;355
243;Total male and female, including unknown;Total age;300;2012 April;160;100
244;Total male and female, including unknown;Total age;300;2012 May;130;75
245;Total male and female, including unknown;Total age;300;2012 June;125;80
246;Total male and female, including unknown;Total age;300;2012 2nd Quarter;420;250
247;Total male and female, including unknown;Total age;300;2012 July;135;75
248;Total male and female, including unknown;Total age;300;2012 August;110;65
249;Total male and female, including unknown;Total age;300;2012 September;90;55
250;Total male and female, including unknown;Total age;300;2012 3rd Quarter;340;195
251;Total male and female, including unknown;Total age;300;2012 October;145;90
252;Total male and female, including unknown;Total age;300;2012 November;105;65
253;Total male and female, including unknown;Total age;300;2012 December;90;65
254;Total male and female, including unknown;Total age;300;2012 4th Quarter;340;220
255;Total male and female, including unknown;Total age;300;2012;1620;1025
256;Total male and female, including unknown;Total age;300;2013 January;120;50
257;Total male and female, including unknown;Total age;300;2013 February;105;40
258;Total male and female, including unknown;Total age;300;2013 March;130;40
259;Total male and female, including unknown;Total age;300;2013 1st Quarter;355;135
260;Total male and female, including unknown;Total age;300;2013 April;130;55
261;Total male and female, including unknown;Total age;300;2013 May;130;30
262;Total male and female, including unknown;Total age;300;2013 June;120;25
263;Total male and female, including unknown;Total age;300;2013 2nd Quarter;380;110
264;Total male and female, including unknown;Total age;300;2013 July;140;50
265;Total male and female, including unknown;Total age;300;2013 August;90;25
266;Total male and female, including unknown;Total age;300;2013 September;105;30
267;Total male and female, including unknown;Total age;300;2013 3rd Quarter;335;110
268;Total male and female, including unknown;Total age;300;2013 October;130;50
269;Total male and female, including unknown;Total age;300;2013 November;95;20
270;Total male and female, including unknown;Total age;300;2013 December;75;30
271;Total male and female, including unknown;Total age;300;2013 4th Quarter;300;100
272;Total male and female, including unknown;Total age;300;2013;1365;455
273;Total male and female, including unknown;Total age;300;2014 January;75;50
274;Total male and female, including unknown;Total age;300;2014 February;90;40
275;Total male and female, including unknown;Total age;300;2014 March;65;25
276;Total male and female, including unknown;Total age;300;2014 1st Quarter;225;115
277;Total male and female, including unknown;Total age;300;2014 April;80;50
278;Total male and female, including unknown;Total age;300;2014 May;55;25
279;Total male and female, including unknown;Total age;300;2014 June;85;40
280;Total male and female, including unknown;Total age;300;2014 2nd Quarter;215;115
281;Total male and female, including unknown;Total age;300;2014 July;55;25
282;Total male and female, including unknown;Total age;300;2014 August;80;50
283;Total male and female, including unknown;Total age;300;2014 September;80;55
284;Total male and female, including unknown;Total age;300;2014 3rd Quarter;215;125
285;Total male and female, including unknown;Total age;300;2014 October;75;35
286;Total male and female, including unknown;Total age;300;2014 November;80;30
287;Total male and female, including unknown;Total age;300;2014 December;65;35
288;Total male and female, including unknown;Total age;300;2014 4th Quarter;220;95
289;Total male and female, including unknown;Total age;300;2014;880;450
290;Total male and female, including unknown;Total age;300;2015 January;70;35
291;Total male and female, including unknown;Total age;300;2015 February;70;35
292;Total male and female, including unknown;Total age;300;2015 March;65;30
293;Total male and female, including unknown;Total age;300;2015 1st Quarter;205;95
294;Total male and female, including unknown;Total age;300;2015 April;75;45
295;Total male and female, including unknown;Total age;300;2015 May;75;40
296;Total male and female, including unknown;Total age;300;2015 June;70;50
297;Total male and female, including unknown;Total age;300;2015 2nd Quarter;220;135
298;Total male and female, including unknown;Total age;300;2015 July;95;65
299;Total male and female, including unknown;Total age;300;2015 August;150;140
300;Total male and female, including unknown;Total age;300;2015 September;180;160
301;Total male and female, including unknown;Total age;300;2015 3rd Quarter;425;365
302;Total male and female, including unknown;Total age;300;2015 October;470;445
303;Total male and female, including unknown;Total age;300;2015 November;900;885
304;Total male and female, including unknown;Total age;300;2015 December;640;625
305;Total male and female, including unknown;Total age;300;2015 4th Quarter;2010;1950
306;Total male and female, including unknown;Total age;300;2015;2860;2550
307;Total male and female, including unknown;Total age;300;2016 January;400;385
308;Total male and female, including unknown;Total age;50;2007 January;0;0
309;Total male and female, including unknown;Total age;50;2007 February;0;0
310;Total male and female, including unknown;Total age;50;2007 March;0;0
311;Total male and female, including unknown;Total age;50;2007 1st Quarter;0;0
312;Total male and female, including unknown;Total age;50;2007 April;0;0
313;Total male and female, including unknown;Total age;50;2007 May;0;0
314;Total male and female, including unknown;Total age;50;2007 June;0;0
315;Total male and female, including unknown;Total age;50;2007 2nd Quarter;0;0
316;Total male and female, including unknown;Total age;50;2007 July;0;0
317;Total male and female, including unknown;Total age;50;2007 August;0;0
318;Total male and female, including unknown;Total age;50;2007 September;0;0
319;Total male and female, including unknown;Total age;50;2007 3rd Quarter;0;0
320;Total male and female, including unknown;Total age;50;2007 October;0;0
321;Total male and female, including unknown;Total age;50;2007 November;0;0
322;Total male and female, including unknown;Total age;50;2007 December;0;0
323;Total male and female, including unknown;Total age;50;2007 4th Quarter;5;5
324;Total male and female, including unknown;Total age;50;2007;10;10
325;Total male and female, including unknown;Total age;50;2008 January;0;0
326;Total male and female, including unknown;Total age;50;2008 February;0;0
327;Total male and female, including unknown;Total age;50;2008 March;0;0
328;Total male and female, including unknown;Total age;50;2008 1st Quarter;5;5
329;Total male and female, including unknown;Total age;50;2008 April;0;0
330;Total male and female, including unknown;Total age;50;2008 May;0;0
331;Total male and female, including unknown;Total age;50;2008 June;0;0
332;Total male and female, including unknown;Total age;50;2008 2nd Quarter;5;5
333;Total male and female, including unknown;Total age;50;2008 July;0;0
334;Total male and female, including unknown;Total age;50;2008 August;0;0
335;Total male and female, including unknown;Total age;50;2008 September;0;0
336;Total male and female, including unknown;Total age;50;2008 3rd Quarter;0;0
337;Total male and female, including unknown;Total age;50;2008 October;0;0
338;Total male and female, including unknown;Total age;50;2008 November;0;0
339;Total male and female, including unknown;Total age;50;2008 December;0;0
340;Total male and female, including unknown;Total age;50;2008 4th Quarter;0;0
341;Total male and female, including unknown;Total age;50;2008;10;10
342;Total male and female, including unknown;Total age;50;2009 January;0;0
343;Total male and female, including unknown;Total age;50;2009 February;0;0
344;Total male and female, including unknown;Total age;50;2009 March;0;0
345;Total male and female, including unknown;Total age;50;2009 1st Quarter;5;5
346;Total male and female, including unknown;Total age;50;2009 April;0;0
347;Total male and female, including unknown;Total age;50;2009 May;0;0
348;Total male and female, including unknown;Total age;50;2009 June;0;0
349;Total male and female, including unknown;Total age;50;2009 2nd Quarter;5;5
350;Total male and female, including unknown;Total age;50;2009 July;5;5
351;Total male and female, including unknown;Total age;50;2009 August;5;5
352;Total male and female, including unknown;Total age;50;2009 September;0;0
353;Total male and female, including unknown;Total age;50;2009 3rd Quarter;5;5
354;Total male and female, including unknown;Total age;50;2009 October;0;0
355;Total male and female, including unknown;Total age;50;2009 November;0;0
356;Total male and female, including unknown;Total age;50;2009 December;0;0
357;Total male and female, including unknown;Total age;50;2009 4th Quarter;0;0
358;Total male and female, including unknown;Total age;50;2009;15;15
359;Total male and female, including unknown;Total age;50;2010 January;10;10
360;Total male and female, including unknown;Total age;50;2010 February;0;0
361;Total male and female, including unknown;Total age;50;2010 March;0;0
362;Total male and female, including unknown;Total age;50;2010 1st Quarter;10;10
363;Total male and female, including unknown;Total age;50;2010 April;0;0
364;Total male and female, including unknown;Total age;50;2010 May;0;0
365;Total male and female, including unknown;Total age;50;2010 June;5;5
366;Total male and female, including unknown;Total age;50;2010 2nd Quarter;5;5
367;Total male and female, including unknown;Total age;50;2010 July;0;0
368;Total male and female, including unknown;Total age;50;2010 August;0;0
369;Total male and female, including unknown;Total age;50;2010 September;5;5
370;Total male and female, including unknown;Total age;50;2010 3rd Quarter;5;5
371;Total male and female, including unknown;Total age;50;2010 October;0;0
372;Total male and female, including unknown;Total age;50;2010 November;0;0
373;Total male and female, including unknown;Total age;50;2010 December;0;0
374;Total male and female, including unknown;Total age;50;2010 4th Quarter;0;0
375;Total male and female, including unknown;Total age;50;2010;15;15
376;Total male and female, including unknown;Total age;50;2011 January;0;0
377;Total male and female, including unknown;Total age;50;2011 February;0;0
378;Total male and female, including unknown;Total age;50;2011 March;5;5
379;Total male and female, including unknown;Total age;50;2011 1st Quarter;5;5
380;Total male and female, including unknown;Total age;50;2011 April;5;0
381;Total male and female, including unknown;Total age;50;2011 May;0;0
382;Total male and female, including unknown;Total age;50;2011 June;5;5
383;Total male and female, including unknown;Total age;50;2011 2nd Quarter;10;5
384;Total male and female, including unknown;Total age;50;2011 July;5;5
385;Total male and female, including unknown;Total age;50;2011 August;0;0
386;Total male and female, including unknown;Total age;50;2011 September;0;0
387;Total male and female, including unknown;Total age;50;2011 3rd Quarter;10;10
388;Total male and female, including unknown;Total age;50;2011 October;0;0
389;Total male and female, including unknown;Total age;50;2011 November;0;0
390;Total male and female, including unknown;Total age;50;2011 December;0;0
391;Total male and female, including unknown;Total age;50;2011 4th Quarter;5;5
392;Total male and female, including unknown;Total age;50;2011;30;20
393;Total male and female, including unknown;Total age;50;2012 January;0;0
394;Total male and female, including unknown;Total age;50;2012 February;5;5
395;Total male and female, including unknown;Total age;50;2012 March;0;0
396;Total male and female, including unknown;Total age;50;2012 1st Quarter;5;5
397;Total male and female, including unknown;Total age;50;2012 April;0;0
398;Total male and female, including unknown;Total age;50;2012 May;5;5
399;Total male and female, including unknown;Total age;50;2012 June;0;0
400;Total male and female, including unknown;Total age;50;2012 2nd Quarter;0;0
401;Total male and female, including unknown;Total age;50;2012 July;5;5
402;Total male and female, including unknown;Total age;50;2012 August;0;0
403;Total male and female, including unknown;Total age;50;2012 September;0;0
404;Total male and female, including unknown;Total age;50;2012 3rd Quarter;10;5
405;Total male and female, including unknown;Total age;50;2012 October;0;0
406;Total male and female, including unknown;Total age;50;2012 November;0;0
407;Total male and female, including unknown;Total age;50;2012 December;0;0
408;Total male and female, including unknown;Total age;50;2012 4th Quarter;0;0
409;Total male and female, including unknown;Total age;50;2012;20;15
410;Total male and female, including unknown;Total age;50;2013 January;0;0
411;Total male and female, including unknown;Total age;50;2013 February;5;5
412;Total male and female, including unknown;Total age;50;2013 March;0;0
413;Total male and female, including unknown;Total age;50;2013 1st Quarter;5;5
414;Total male and female, including unknown;Total age;50;2013 April;0;0
415;Total male and female, including unknown;Total age;50;2013 May;5;5
416;Total male and female, including unknown;Total age;50;2013 June;5;5
417;Total male and female, including unknown;Total age;50;2013 2nd Quarter;10;10
418;Total male and female, including unknown;Total age;50;2013 July;0;0
419;Total male and female, including unknown;Total age;50;2013 August;5;0
420;Total male and female, including unknown;Total age;50;2013 September;0;0
421;Total male and female, including unknown;Total age;50;2013 3rd Quarter;5;0
422;Total male and female, including unknown;Total age;50;2013 October;10;10
423;Total male and female, including unknown;Total age;50;2013 November;5;5
424;Total male and female, including unknown;Total age;50;2013 December;0;0
425;Total male and female, including unknown;Total age;50;2013 4th Quarter;15;15
426;Total male and female, including unknown;Total age;50;2013;35;30
427;Total male and female, including unknown;Total age;50;2014 January;5;5
428;Total male and female, including unknown;Total age;50;2014 February;10;10
429;Total male and female, including unknown;Total age;50;2014 March;10;10
430;Total male and female, including unknown;Total age;50;2014 1st Quarter;25;25
431;Total male and female, including unknown;Total age;50;2014 April;0;0
432;Total male and female, including unknown;Total age;50;2014 May;5;5
433;Total male and female, including unknown;Total age;50;2014 June;5;0
434;Total male and female, including unknown;Total age;50;2014 2nd Quarter;10;10
435;Total male and female, including unknown;Total age;50;2014 July;10;10
436;Total male and female, including unknown;Total age;50;2014 August;5;5
437;Total male and female, including unknown;Total age;50;2014 September;10;10
438;Total male and female, including unknown;Total age;50;2014 3rd Quarter;25;25
439;Total male and female, including unknown;Total age;50;2014 October;10;10
440;Total male and female, including unknown;Total age;50;2014 November;5;5
441;Total male and female, including unknown;Total age;50;2014 December;15;15
442;Total male and female, including unknown;Total age;50;2014 4th Quarter;30;30
443;Total male and female, including unknown;Total age;50;2014;90;85
444;Total male and female, including unknown;Total age;50;2015 January;10;10
445;Total male and female, including unknown;Total age;50;2015 February;15;15
446;Total male and female, including unknown;Total age;50;2015 March;10;10
