ID;WijkenEnGemeenten;BewoondeHuizen_1;OnbewoondeWoonhuizen_2;WoonhuizenInAanbouw_3;OverigeOnbewoondeGebouwen_4;PermanentAanwezig_5;TijdelijkAanwezig_6;PermanentAanwezig_7;TijdelijkAanwezig_8;Mannen_9;Vrouwen_10;TotaleBevolking_11;Mannen_12;Vrouwen_13;Pagina_14
41;B, F, Dorp Solwerd, Schepen;0;0;0;0;3;0;0;0;10;7;17;0;0;GR005
42;B, F, Dorp Solwerd, Tijd. aanw. schepen;0;0;0;0;0;2;0;0;0;0;0;5;4;GR005
43;B, G, Dorp Marsum, Huizen;13;0;0;1;0;0;0;0;40;45;85;1;1;GR005
44;B, H, Dorp Jukwerd, Huizen;18;1;0;1;0;0;0;0;53;38;91;1;2;GR005
45;B, I, Dorp Tjamsweer, Huizen;106;2;0;13;0;0;0;0;322;289;611;7;4;GR005
46;B, I, Dorp Tjamsweer, Schepen;0;0;0;0;23;0;0;0;61;60;121;0;0;GR005
47;B, I, Dorp Tjamsweer, Tijd. aanw. sch.;0;0;0;0;0;3;0;0;0;0;0;8;9;GR005
48;B, K, Buurts. Bolwerk, en Wierde, Huizen;45;0;0;10;0;0;0;0;152;154;306;6;4;GR005
49;B, K, Buurts. Bolwerk, en Wierde, Sch.;0;0;0;0;9;0;0;0;27;20;47;0;0;GR005
50;B, K, Buurts. Bolwerk, en Wierde, Td....;0;0;0;0;0;7;0;0;0;0;0;9;3;GR005
51;K, Totaal;419;1;1;53;1;1;0;0;1086;1262;2348;45;55;GR005
52;K, A, Appingedam, Rijks Strafgevangenis;1;0;0;0;0;0;0;0;0;3;3;0;10;GR005
53;K, A, Appingedam, Weesh. der N. H. Gem.;1;0;0;0;0;0;0;0;2;3;5;0;0;GR005
54;K, A, Appingedam, Overige huizen;62;0;0;10;0;0;0;0;172;192;364;8;6;GR005
55;K, B, Appingedam, Huizen;123;1;0;7;0;0;0;0;265;343;608;15;8;GR005
56;K, C, Appingedam, Huizen;142;0;1;17;0;0;0;0;428;455;883;9;15;GR005
57;K, C, Appingedam, Schepen;0;0;0;0;1;0;0;0;0;1;1;0;0;GR005
58;K, C, Appingedam, Tijd. aanw. schip;0;0;0;0;0;1;0;0;0;0;0;3;4;GR005
59;K, D, Appingedam, Huizen;80;0;0;19;0;0;0;0;204;241;445;8;10;GR005
60;K, K, Buurtsch. Bolwerk, Huizen;10;0;0;0;0;0;0;0;15;24;39;2;2;GR005
61;Onbekend;0;0;0;0;0;0;0;0;0;1;1;0;0;GR005
62;Algemeen totaal;449;4;0;17;8;5;1;0;1300;1267;2567;54;36;GR006
63;B, Totaal;86;2;0;2;1;3;0;0;323;282;605;16;12;GR006
64;B, A, Dorp Andel, Huizen;28;1;0;0;0;0;0;0;95;86;181;2;0;GR006
65;B, A, Dorp Andel, Schepen;0;0;0;0;1;0;0;0;1;1;2;0;0;GR006
66;B, B, Dorp Baflo, Huizen;13;0;0;2;0;0;0;0;50;41;91;2;0;GR006
67;B, R, Dorp Rasquert, Huizen;16;0;0;0;0;0;0;0;56;52;108;3;2;GR006
68;B, R, Dorp Rasquert, Tijd. aanw. schepen;0;0;0;0;0;2;0;0;0;0;0;4;2;GR006
69;B, S, Dorp Saaxumhuizen, Huizen;15;0;0;0;0;0;0;0;61;58;119;2;1;GR006
70;B, S, Dorp Saaxumhuizen, Td. aanw. sch.;0;0;0;0;0;1;0;0;0;0;0;3;5;GR006
71;B, T, Dorp Tinallinge, Huizen;14;1;0;0;0;0;0;0;60;44;104;0;2;GR006
72;K, Totaal;363;2;0;15;7;2;1;0;977;985;1962;38;24;GR006
73;K, A, Dorp Andel, Huizen;114;0;0;4;0;0;0;0;363;355;718;11;6;GR005
74;K, B, Dorp Baflo, Huizen;151;2;0;6;0;0;0;0;352;374;726;12;13;GR005
75;K, B, Dorp Baflo, Schepen;0;0;0;0;7;0;0;0;15;16;31;0;0;GR005
76;K, B, Dorp Baflo, Tijd. aanw. schip;0;0;0;0;0;1;0;0;0;0;0;2;1;GR005
77;K, R, Geh. Rasquert, Huizen;52;0;0;0;0;0;0;0;153;132;285;4;2;GR005
78;K, R, Geh. Rasquert, Tijd. aanw. schip;0;0;0;0;0;1;0;0;0;0;0;1;0;GR005
79;K, R, Geh. Rasquert, Woonwagen;0;0;0;0;0;0;1;0;1;3;4;0;0;GR005
80;K, S, Dorp Saaxumhuizen, Huizen;16;0;0;3;0;0;0;0;35;43;78;2;0;GR006
81;K, F, Dorp Tinnallinge, Huizen;30;0;0;2;0;0;0;0;58;62;120;6;2;GR006
82;Algemeen totaal;802;9;0;72;23;10;0;0;2415;2479;4894;93;64;GR007
83;B, Totaal;323;3;0;22;0;0;0;0;951;937;1888;15;12;GR007
84;B, Dorp Bedum, Huizen;79;0;0;10;0;0;0;0;196;191;387;5;2;GR006
85;B, Buurtsch. den Haver, Huizen;2;0;0;0;0;0;0;0;6;7;13;0;0;GR006
86;B, Buurtsch. ter Laan, Huizen;20;1;0;0;0;0;0;0;54;52;106;0;2;GR006
87;B, Buurtsch. Waterleuzen, Huizen;3;0;0;0;0;0;0;0;13;9;22;0;0;GR006
88;B, Buurtsch. Lutjewolde, Huizen;1;0;0;0;0;0;0;0;2;3;5;0;0;GR006
89;B, Buurtsch. Schultinga, Huizen;2;0;0;0;0;0;0;0;9;7;16;0;0;GR006
90;B, Buurtsch. Reidland, Huizen;9;0;0;2;0;0;0;0;34;34;68;0;0;GR006
91;B, Buurtsch. Ellerhuizen, Huizen;24;0;0;0;0;0;0;0;81;75;156;1;1;GR006
92;B, Buurtsch. Westerdijkshorn, Huizen;20;0;0;2;0;0;0;0;63;61;124;1;0;GR006
93;B, Dorp Onderdendam, Huizen;9;0;0;0;0;0;0;0;13;12;25;0;0;GR006
94;B, Buurtsch. Roodewolt, Huizen;8;2;0;1;0;0;0;0;23;22;45;0;0;GR006
95;B, Buurtsch. Menkeweer, Huizen;2;0;0;0;0;0;0;0;6;8;14;0;0;GR006
96;B, Buurtsch. Onderwierum, Huizen;20;0;0;1;0;0;0;0;54;62;116;1;0;GR006
97;B, Dorp Zuidwolde, Huizen;31;0;0;4;0;0;0;0;95;98;193;4;4;GR007
98;B, Buurtsch. Beijnum, Huizen;8;0;0;0;0;0;0;0;27;24;51;1;2;GR007
99;B, Buurtsch. Zuidwending, Huizen;1;0;0;0;0;0;0;0;1;4;5;0;0;GR007
100;B, Buurtsch. Oost van Zuidwolde, Huizen;18;0;0;0;0;0;0;0;58;59;117;0;0;GR007
101;B, Buurtsch. Nienhuizen, Huizen;2;0;0;0;0;0;0;0;11;5;16;0;0;GR007
102;B, Buurtsch. Noorder Hoogebrug, Huizen;17;0;0;0;0;0;0;0;56;46;102;0;0;GR007
103;B, Dorp Noordwolde, Huizen;42;0;0;2;0;0;0;0;135;148;283;1;1;GR007
104;B, Buurtsch. Plattenburg, Huizen;5;0;0;0;0;0;0;0;14;10;24;1;0;GR007
105;K, Totaal;479;6;0;50;23;10;0;0;1463;1542;3005;78;52;GR006
106;K, Dorp Bedum, Huizen;277;4;0;27;0;0;0;0;846;885;1731;25;23;GR006
107;K, Dorp Bedum, Schepen;0;0;0;0;8;0;0;0;19;15;34;0;0;GR006
108;K, Dorp Bedum, Tijd. aanw. schepen;0;0;0;0;0;2;0;0;0;0;0;7;4;GR006
109;K, Dorp Onderdendam, Huizen;108;2;0;13;0;0;0;0;275;315;590;9;8;GR006
110;K, Dorp Onderdendam, Schepen;0;0;0;0;13;0;0;0;33;29;62;0;0;GR006
111;K, Dorp Onderdendam, Tijd. aanw. schepen;0;0;0;0;0;6;0;0;0;0;0;19;9;GR006
112;K, Dorp Zuidwolde, Huizen;67;0;0;9;0;0;0;0;215;215;430;5;1;GR006
113;K, Dorp Zuidwolde, Schepen;0;0;0;0;2;0;0;0;4;8;12;0;0;GR006
114;K, Dorp Zuidwolde, Tijd. aanw. schepen;0;0;0;0;0;2;0;0;0;0;0;9;3;GR006
115;K, Dorp Noordwolde, Huizen;27;0;0;1;0;0;0;0;71;75;146;4;4;GR006
116;Onbekend;0;0;0;0;0;0;0;0;1;0;1;0;0;GR007
117;Algemeen totaal;949;20;1;7;11;4;0;0;2089;2034;4123;78;56;GR008
118;B, Totaal;511;13;0;4;11;4;0;0;1195;1134;2329;46;30;GR008
119;B, A, Dorp Nieuw-Beerta, Huizen;94;4;0;2;0;0;0;0;226;244;470;14;5;GR007
120;B, A, Geh. Oudedijk, Huizen;118;6;0;1;0;0;0;0;245;215;460;2;1;GR007
121;B, A, Geh. Schanskerdijk, Huizen;5;0;0;0;0;0;0;0;15;8;23;0;0;GR007
122;B, A, Geh. Oudezijl, Huizen;52;0;0;0;0;0;0;0;104;105;209;1;0;GR007
123;B, A, Geh. Oudezijl, Schepen;0;0;0;0;5;0;0;0;8;9;17;0;0;GR007
124;B, A, Geh. Oudezijl, Tijd. aanw. schepen;0;0;0;0;0;3;0;0;0;0;0;13;9;GR007
125;B, A, Geh. Kroonpolder, Huizen;9;0;0;0;0;0;0;0;34;28;62;0;2;GR007
126;B, A, Geh. Oude Statenzijl, Huizen;2;0;0;0;0;0;0;0;5;5;10;0;0;GR007
127;B, A, Geh. Nieuwe Statenzijl, Huizen;2;0;0;0;0;0;0;0;5;4;9;0;0;GR007
128;B, A, Geh. Stadspolder, Huizen;10;0;0;0;0;0;0;0;34;35;69;1;3;GR007
129;B, A, Geh. Reiderwolderpolder, Huizen;2;0;0;0;0;0;0;0;8;4;12;0;0;GR007
130;B, B, Dorp Beerta West, Huizen;182;3;0;1;0;0;0;0;400;360;760;9;3;GR007
131;B, B, Dorp Beerta Oost, Huizen;1;0;0;0;0;0;0;0;1;1;2;0;0;GR007
132;B, B, Geh. Beersterhoogen, Huizen;18;0;0;0;0;0;0;0;52;52;104;4;1;GR007
133;B, B, Geh. Zandhoogte, Huizen;1;0;0;0;0;0;0;0;2;4;6;0;1;GR007
134;B, B, Geh. Kloostergare, Huizen;1;0;0;0;0;0;0;0;5;4;9;0;0;GR007
135;B, B, Geh. Winschoterzijl, Huizen;4;0;0;0;0;0;0;0;6;11;17;0;0;GR008
136;B, B, Geh. Winschoterzijl, Schepen;0;0;0;0;6;0;0;0;17;17;34;0;0;GR008
137;B, B, Geh. Winschoterzijl, Td. aw. sch.;0;0;0;0;0;1;0;0;0;0;0;1;5;GR008
138;B, B, Geh. Ulsda, Huizen;10;0;0;0;0;0;0;0;28;28;56;1;0;GR008
139;K, Totaal;438;7;1;3;0;0;0;0;894;900;1794;32;26;GR007
140;K, A, Dorp Nieuw-Beerta, Huizen;74;0;0;0;0;0;0;0;149;133;282;7;1;GR007
141;K, A, Geh. Drieborg, Huizen;38;2;0;0;0;0;0;0;81;95;176;5;2;GR007
142;K, A, Geh. Oudedijk, Huizen;1;0;0;0;0;0;0;0;3;3;6;0;0;GR007
143;K, B, Dorp Beerta Oost, Burg. Armenh.;1;0;0;0;0;0;0;0;15;5;20;0;0;GR007
144;K, B, Dorp Beerta Oost, Overige huizen;324;5;1;3;0;0;0;0;646;664;1310;20;23;GR007
145;Algemeen totaal;792;38;0;27;14;2;0;0;1823;1862;3685;49;27;GR009
146;B, Totaal;237;10;0;2;0;0;0;0;659;649;1308;18;6;GR009
147;B, A, Dorp Bierum, Huizen;14;1;0;0;0;0;0;0;48;48;96;1;0;GR009
148;B, A, Gehucht Nieuwstad, Huizen;11;0;0;0;0;0;0;0;25;30;55;0;0;GR009
149;B, A, Gehucht Oude Dijk, Huizen;6;1;0;0;0;0;0;0;15;13;28;0;0;GR009
150;B, A, Gehucht Hoog Watum, Huizen;2;0;0;0;0;0;0;0;9;5;14;3;1;GR009
151;B, B, Dorp Godlinze, Huizen;28;1;0;0;0;0;0;0;72;69;141;2;1;GR009
152;B, C, Dorp Holwierde, Huizen;5;0;0;0;0;0;0;0;18;20;38;0;0;GR009
153;B, C, Gehucht Katmis, Huizen;20;2;0;0;0;0;0;0;36;47;83;0;1;GR009
154;B, C, Gehucht Uitende, Huizen;15;0;0;0;0;0;0;0;48;41;89;2;0;GR009
155;B, C, Gehucht Nansum, Huizen;20;1;0;0;0;0;0;0;38;41;79;0;0;GR009
156;B, C, Gehucht Bansum, Huizen;13;2;0;0;0;0;0;0;26;35;61;2;2;GR009
157;B, C, Gehucht Kleinwierum, Huizen;3;0;0;0;0;0;0;0;6;8;14;1;0;GR009
158;B, C, Gehucht Lutjeburen, Huizen;2;1;0;0;0;0;0;0;9;7;16;0;0;GR009
159;B, C, Gehucht Oldenklooster, Huizen;3;0;0;0;0;0;0;0;10;9;19;0;0;GR009
160;B, D, Dorp Krewerd, Huizen;9;0;0;0;0;0;0;0;18;14;32;0;0;GR009
161;B, D, Gehucht de Klip, Huizen;2;0;0;0;0;0;0;0;3;5;8;0;0;GR009
162;B, D, Gehucht Arwerd, Huizen;7;0;0;2;0;0;0;0;24;25;49;0;0;GR009
163;B, D, Gehucht Nieuwenklooster, Huizen;3;0;0;0;0;0;0;0;12;8;20;0;0;GR009
164;B, E, Dorp Losdorp, Huizen;6;0;0;0;0;0;0;0;20;16;36;0;0;GR009
165;B, F, Dorp Spijk, Huizen;53;1;0;0;0;0;0;0;167;160;327;5;1;GR009
166;B, F, Gehucht Tweehuizen, Huizen;3;0;0;0;0;0;0;0;15;10;25;1;0;GR009
167;B, F, Gehucht Dekkershuizen, Huizen;3;0;0;0;0;0;0;0;10;8;18;0;0;GR009
168;B, F, Gehucht Vierhuizen, Huizen;4;0;0;0;0;0;0;0;15;16;31;0;0;GR009
169;B, F, Buurtsch. Oostpolder, Huizen;5;0;0;0;0;0;0;0;15;14;29;1;0;GR009
170;K, Totaal;555;28;0;25;14;2;0;0;1164;1213;2377;31;21;GR009
171;K, A, dorp Bierum, Huizen;103;12;0;5;0;0;0;0;202;244;446;10;3;GR008
172;K, A, dorp Bierum, Schepen;0;0;0;0;3;0;0;0;8;5;13;0;0;GR008
173;K, B, dorp Godlinze, Huizen;100;6;0;3;0;0;0;0;199;207;406;5;1;GR008
174;K, C, dorp Holwierde, Huizen;26;3;0;3;0;0;0;0;55;52;107;3;0;GR008
175;K, C, dorp Holwierde, Schepen;0;0;0;0;3;0;0;0;6;10;16;0;0;GR008
176;K, C, dorp Holwierde, Tijd. aanw. sch.;0;0;0;0;0;2;0;0;0;0;0;4;4;GR008
177;K, C, gehucht Katmis, Huizen;68;1;0;2;0;0;0;0;140;140;280;2;4;GR008
178;K, D, Krewerd, Huizen;36;1;0;2;0;0;0;0;64;64;128;1;4;GR008
179;K, D, Krewerd, Schepen;0;0;0;0;1;0;0;0;1;0;1;0;0;GR008
180;K, E, dorp, Losdorp, Huizen;34;1;0;2;0;0;0;0;69;74;143;1;2;GR008
181;K, E, dorp, Losdorp, Schepen;0;0;0;0;1;0;0;0;1;4;5;0;0;GR008
182;K, F, Dorp Spijk, Huizen;188;4;0;8;0;0;0;0;405;398;803;5;3;GR009
183;K, F, Dorp Spijk, Schepen;0;0;0;0;6;0;0;0;14;15;29;0;0;GR009
184;Algemeen totaal;1087;43;0;82;27;4;0;0;2454;2450;4904;56;30;GR035
185;B, Totaal;343;8;0;42;3;2;0;0;963;883;1846;17;15;GR035
186;B, A, Ten Boer, Huizen;28;2;0;3;0;0;0;0;79;73;152;1;0;GR034
187;B, A, Boltklapstreek, Huizen;14;1;0;2;0;0;0;0;37;29;66;1;0;GR034
188;B, A, Boltklapstreek, Tijd. aanw. schip;0;0;0;0;0;1;0;0;0;0;0;1;0;GR034
189;B, A, Bouwerschap, Huizen;6;0;0;0;0;0;0;0;17;19;36;1;0;GR034
190;B, A, Lutjewolde, Huizen;6;0;0;2;0;0;0;0;16;18;34;0;0;GR034
191;B, A, Sint Annen, Huizen;16;0;0;2;0;0;0;0;41;40;81;1;1;GR034
192;B, B, Heidenschap, Huizen;48;2;0;3;0;0;0;0;132;130;262;1;1;GR034
193;B, B, Heidenschap, Schepen;0;0;0;0;2;0;0;0;6;3;9;0;0;GR034
194;B, B, Heidenschap, Tijd. aanw. schip;0;0;0;0;0;1;0;0;0;0;0;1;2;GR034
195;B, B, Garmerwolde, Huizen;42;1;0;8;0;0;0;0;102;95;197;3;1;GR034
196;B, B, Garmerwolde, Schepen;0;0;0;0;1;0;0;0;1;1;2;0;0;GR034
197;B, B, Bovenrijge, Huizen;8;0;0;1;0;0;0;0;34;32;66;1;3;GR034
198;B, C, Thesinge, Huizen;29;0;0;4;0;0;0;0;93;86;179;0;2;GR034
199;B, D, Lellens, Huizen;10;0;0;1;0;0;0;0;27;22;49;0;0;GR034
200;B, D, Heemert, Huizen;6;1;0;0;0;0;0;0;23;18;41;0;1;GR034
201;B, E, Kroddeburen, Huizen;1;0;0;0;0;0;0;0;1;1;2;0;0;GR034
202;B, E, Ten Post, Huizen;20;0;0;8;0;0;0;0;55;43;98;0;0;GR034
203;B, E, Winneweer, Huizen;19;0;0;0;0;0;0;0;42;47;89;2;0;GR034
204;B, E, Wittewierum, Huizen;25;1;0;0;0;0;0;0;83;70;153;1;1;GR034
205;B, E, Over 't Schild, Huizen;21;0;0;1;0;0;0;0;48;43;91;1;1;GR034
206;B, F, Woltersum, Huizen;29;0;0;6;0;0;0;0;83;68;151;1;2;GR034
207;B, F, Luddeweer, Huizen;6;0;0;1;0;0;0;0;21;20;41;0;0;GR035
208;B, F, Blokum, Huizen;9;0;0;0;0;0;0;0;22;25;47;1;0;GR035
209;K, Totaal;744;35;0;40;24;2;0;0;1489;1567;3056;39;15;GR034
210;K, A, Ten Boer, Huizen;98;3;0;5;0;0;0;0;205;187;392;2;2;GR034
211;K, A, Boltklapstreek, Huizen;69;0;0;9;0;0;0;0;140;159;299;1;1;GR034
212;K, A, Boltklapstreek, Schepen;0;0;0;0;4;0;0;0;9;7;16;0;0;GR034
213;K, A, Boltklapstreek. Tijd. aanw. schip;0;0;0;0;0;1;0;0;0;0;0;2;2;GR034
214;K, A, Sint Annen, Huizen;75;3;0;2;0;0;0;0;137;138;275;3;2;GR034
215;K, B, Garmerwolde, Huizen;60;6;0;5;0;0;0;0;134;136;270;14;0;GR034
216;K, C, Thesinge, Huizen;110;5;0;5;0;0;0;0;220;244;464;5;0;GR034
217;K, C, Thesinge, Schepen;0;0;0;0;1;0;0;0;3;2;5;0;0;GR034
218;K, D, Lellens, Huizen;26;4;0;2;0;0;0;0;56;48;104;1;2;GR034
219;K, E, Kroddeburen, Huizen;39;4;0;1;0;0;0;0;67;78;145;1;0;GR034
220;K, E, Kroddeburen, Schepen;0;0;0;0;1;0;0;0;2;4;6;0;0;GR034
221;K, E, Wittewierum, Huizen;19;0;0;1;0;0;0;0;45;46;91;0;1;GR034
222;K, E, Ten Post, Huizen;104;2;0;5;0;0;0;0;177;187;364;2;2;GR034
223;K, E, Ten Post, Schepen;0;0;0;0;9;0;0;0;18;19;37;0;0;GR034
224;K, F, Woltersum, Huizen;144;8;0;5;0;0;0;0;254;289;543;7;2;GR034
225;K, F, Woltersum, Schepen;0;0;0;0;9;0;0;0;22;23;45;0;0;GR034
226;K, F, Woltersum, Tijd. aanw. schip;0;0;0;0;0;1;0;0;0;0;0;1;1;GR034
227;Onbekend;0;0;0;0;0;0;0;0;2;0;2;0;0;GR035
228;Algemeen totaal;1537;35;2;161;60;49;0;0;3706;3689;7395;159;148;GR010
229;B, Totaal;310;12;0;0;31;49;0;0;850;821;1671;114;101;GR010
230;B, A, Delfzijl, Schepen;0;0;0;0;20;0;0;0;41;33;74;0;0;GR010
231;B, A, Delfzijl, Tijd. aanw. schepen;0;0;0;0;0;47;0;0;0;0;0;96;83;GR010
232;B, B, Dorp Farmsum, Huizen;103;9;0;0;0;0;0;0;273;259;532;4;8;GR010
233;B, B, Dorp Farmsum, Schepen;0;0;0;0;11;0;0;0;23;18;41;0;0;GR010
234;B, C, Dorp Weiwerd, Huizen;36;0;0;0;0;0;0;0;83;91;174;0;0;GR010
235;B, C, Dorp Weiwerd, Tijd. aanw. schip;0;0;0;0;0;1;0;0;0;0;0;3;1;GR010
236;B, D, Dorp Heveskes, Huizen;40;1;0;0;0;0;0;0;97;91;188;3;0;GR010
237;B, E, Dorp Oterdum, Huizen;34;0;0;0;0;0;0;0;88;91;179;1;1;GR010
238;B, F, Dorp Meedhuizen, Huizen;32;1;0;0;0;0;0;0;88;82;170;0;0;GR010
239;B, F, Dorp Meedhuizen, Tijd. aanw. schip;0;0;0;0;0;1;0;0;0;0;0;3;3;GR010
240;B, G, Dorp Uitwierda, Huizen;65;1;0;0;0;0;0;0;157;156;313;4;5;GR010
241;K, Totaal;1227;23;2;161;29;0;0;0;2856;2868;5724;45;47;GR009
242;K, A, Delfzijl, Huizen;561;13;2;49;0;0;0;0;1243;1286;2529;28;29;GR009
243;K, A, Delfzijl, Schepen;0;0;0;0;26;0;0;0;83;61;144;0;0;GR009
244;K, B, Dorp Farmsum, Huizen;401;6;0;67;0;0;0;0;936;935;1871;9;7;GR009
245;K, B, Dorp Farmsum, Schepen;0;0;0;0;3;0;0;0;6;5;11;0;0;GR009
246;K, C, Dorp Weiwerd, Huizen;88;1;0;5;0;0;0;0;175;189;364;2;7;GR009
247;K, D, Dorp Heveskes, Huizen;53;1;0;3;0;0;0;0;127;106;233;3;1;GR009
248;K, E, Dorp Oterdum, Huizen;40;1;0;4;0;0;0;0;104;107;211;2;0;GR009
249;K, F, Dorp Meedhuizen, Huizen;52;1;0;11;0;0;0;0;114;119;233;1;2;GR009
250;K, G, Dorp Uitwierda, Huizen;32;0;0;22;0;0;0;0;68;60;128;0;1;GR009
251;Algemeen totaal;615;24;0;35;7;1;0;0;1312;1413;2725;44;22;GR010
252;B, Totaal;199;14;0;7;7;1;0;0;541;529;1070;11;8;GR010
253;B, A, Dorp Eenrum, Huizen;56;5;0;1;0;0;0;0;173;159;332;3;5;GR010
254;B, B, Dorp Pieterburen, Huizen;48;2;0;2;0;0;0;0;145;125;270;5;1;GR010
255;B, B, Dorp Pieterburen, Schepen;0;0;0;0;5;0;0;0;9;5;14;0;0;GR010
256;B, C, Dorp Westernieland, Huizen;79;6;0;3;0;0;0;0;168;191;359;1;0;GR010
257;B, C, Dorp Westernieland, Schepen;0;0;0;0;2;0;0;0;5;4;9;0;0;GR010
258;B, D, Geh. Broek Wierhuizen, Huizen;16;1;0;1;0;0;0;0;41;45;86;1;0;GR010
259;B, D, Geh. Broek Wierhuizen, Td. aw. ...;0;0;0;0;0;1;0;0;0;0;0;1;2;GR010
260;K, Totaal;416;10;0;28;0;0;0;0;771;884;1655;33;14;GR010
261;K, A, Dorp Eenrum, Gem. Armh.;1;0;0;0;0;0;0;0;6;9;15;0;0;GR010
262;K, A, Dorp Eenrum, Overige huizen;243;7;0;18;0;0;0;0;448;510;958;22;9;GR010
263;K, B, Dorp Pieterburen, Armhuis;1;0;0;0;0;0;0;0;6;6;12;0;0;GR010
264;K, B, Dorp Pieterburen, Overige huizen;98;1;0;6;0;0;0;0;176;216;392;8;4;GR010
265;K, C, Dorp Westernieland, Huizen;49;1;0;4;0;0;0;0;87;97;184;3;1;GR010
266;K, D, Geh. Broek Wierhuizen, Huizen;24;1;0;0;0;0;0;0;48;46;94;0;0;GR010
267;Algemeen totaal;439;27;0;17;5;1;0;0;885;848;1733;22;23;GR011
