ID;StarRating;Regions;Periods;BusinessRelatedOvernightStays_1
224;Total;Amsterdam;2022 February;140
225;Total;Amsterdam;2022 March;220
226;Total;Amsterdam;2022 1th quarter;420
227;Total;Amsterdam;2022 April;320
228;Total;Amsterdam;2022 May;350
229;Total;Amsterdam;2022 June;370
230;Total;Amsterdam;2022 2nd quarter;1040
231;Total;Amsterdam;2022 July;310
232;Total;Amsterdam;2022 August;330
233;Total;Amsterdam;2022 September;380
234;Total;Amsterdam;2022 3rd quarter;1020
235;Total;Amsterdam;2022 October;380
236;Total;Amsterdam;2022 November;320
237;Total;Amsterdam;2022 December;250
238;Total;Amsterdam;2022 4th quarter;940
239;Total;Amsterdam;2022;3410
240;Total;Amsterdam;2023 January;230
241;Total;Amsterdam;2023 February;260
242;Total;Amsterdam;2023 March;320
243;Total;Amsterdam;2023 1st quarter;810
244;Total;Amsterdam;2023 April;350
245;Total;Amsterdam;2023 May;320
246;Total;Amsterdam;2023 June;370
247;Total;Amsterdam;2023 2nd quarter;1040
248;Total;Amsterdam;2023 July;360
249;Total;Amsterdam;2023 August;300
250;Total;Amsterdam;2023 September;320
251;Total;Amsterdam;2023 3rd quarter;990
252;Total;Amsterdam;2023 October;370
253;Total;Amsterdam;2023 November;310
254;Total;Amsterdam;2023 December;240
255;Total;Amsterdam;2023 4th quarter;910
256;Total;Amsterdam;2023;3750
257;Total;Amsterdam;2024 January;230
258;Total;Amsterdam;2024 February;240
259;Total;Amsterdam;2024 March;310
260;Total;Amsterdam;2024 1st quarter;780
261;Total;Amsterdam;2024 April;330
262;Total;Amsterdam;2024 May;350
263;Total;Amsterdam;2024 June;320
264;Total;Amsterdam;2024 2nd quarter;1000
265;Total;Amsterdam;2024 July;310
266;Total;Amsterdam;2024 August;280
267;Total;Amsterdam;2024 September;370
268;Total;Amsterdam;2024 3rd quarter;970
269;Total;Amsterdam;2024 October;310
270;Total;Amsterdam;2024 November;320
271;Total;Amsterdam;2024 December;230
272;Total;Amsterdam;2024 4th quarter;860
273;Total;Amsterdam;2024;3640
274;Total;Amsterdam;2025 January;240
275;Total;Amsterdam;2025 February;250
276;Accommodations without stars;Nederland;2017 January;60
277;Accommodations without stars;Nederland;2017 February;60
278;Accommodations without stars;Nederland;2017 March;80
279;Accommodations without stars;Nederland;2017 1st quarter;200
280;Accommodations without stars;Nederland;2017 April;110
281;Accommodations without stars;Nederland;2017 May;100
282;Accommodations without stars;Nederland;2017 June;90
283;Accommodations without stars;Nederland;2017 2nd quarter;300
284;Accommodations without stars;Nederland;2017 July;100
285;Accommodations without stars;Nederland;2017 August;90
286;Accommodations without stars;Nederland;2017 September;100
287;Accommodations without stars;Nederland;2017 3rd quarter;290
288;Accommodations without stars;Nederland;2017 October;90
289;Accommodations without stars;Nederland;2017 November;80
290;Accommodations without stars;Nederland;2017 December;70
291;Accommodations without stars;Nederland;2017 4th quarter;240
292;Accommodations without stars;Nederland;2017;1020
293;Accommodations without stars;Nederland;2018 January;70
294;Accommodations without stars;Nederland;2018 February;70
295;Accommodations without stars;Nederland;2018 March;80
296;Accommodations without stars;Nederland;2018 1st quarter;230
297;Accommodations without stars;Nederland;2018 April;90
298;Accommodations without stars;Nederland;2018 May;100
299;Accommodations without stars;Nederland;2018 June;100
300;Accommodations without stars;Nederland;2018 2nd quarter;300
301;Accommodations without stars;Nederland;2018 July;90
302;Accommodations without stars;Nederland;2018 August;80
303;Accommodations without stars;Nederland;2018 September;110
304;Accommodations without stars;Nederland;2018 3rd quarter;280
305;Accommodations without stars;Nederland;2018 October;100
306;Accommodations without stars;Nederland;2018 November;80
307;Accommodations without stars;Nederland;2018 December;60
308;Accommodations without stars;Nederland;2018 4th quarter;240
309;Accommodations without stars;Nederland;2018;1050
310;Accommodations without stars;Nederland;2019 January;70
311;Accommodations without stars;Nederland;2019 February;70
312;Accommodations without stars;Nederland;2019 March;90
313;Accommodations without stars;Nederland;2019 1st quarter;230
314;Accommodations without stars;Nederland;2019 April;120
315;Accommodations without stars;Nederland;2019 May;100
316;Accommodations without stars;Nederland;2019 June;110
317;Accommodations without stars;Nederland;2019 2nd quarter;320
318;Accommodations without stars;Nederland;2019 July;100
319;Accommodations without stars;Nederland;2019 August;100
320;Accommodations without stars;Nederland;2019 September;110
321;Accommodations without stars;Nederland;2019 3rd quarter;310
322;Accommodations without stars;Nederland;2019 October;110
323;Accommodations without stars;Nederland;2019 November;80
324;Accommodations without stars;Nederland;2019 December;70
325;Accommodations without stars;Nederland;2019 4th quarter;260
326;Accommodations without stars;Nederland;2019;1120
327;Accommodations without stars;Nederland;2020 January;60
328;Accommodations without stars;Nederland;2020 February;80
329;Accommodations without stars;Nederland;2020 March;40
330;Accommodations without stars;Nederland;2020 1st quarter;180
331;Accommodations without stars;Nederland;2020 April;20
332;Accommodations without stars;Nederland;2020 May;20
333;Accommodations without stars;Nederland;2020 June;30
334;Accommodations without stars;Nederland;2020 2nd quarter;70
335;Accommodations without stars;Nederland;2020 July;40
336;Accommodations without stars;Nederland;2020 August;40
337;Accommodations without stars;Nederland;2020 September;40
338;Accommodations without stars;Nederland;2020 3rd quarter;110
339;Accommodations without stars;Nederland;2020 October;30
340;Accommodations without stars;Nederland;2020 November;20
341;Accommodations without stars;Nederland;2020 December;20
342;Accommodations without stars;Nederland;2020 4th quarter;70
343;Accommodations without stars;Nederland;2020;440
344;Accommodations without stars;Nederland;2021 January;20
345;Accommodations without stars;Nederland;2021 February;10
346;Accommodations without stars;Nederland;2021 March;20
347;Accommodations without stars;Nederland;2021 1th quarter;50
348;Accommodations without stars;Nederland;2021 April;20
349;Accommodations without stars;Nederland;2021 May;30
350;Accommodations without stars;Nederland;2021 June;40
351;Accommodations without stars;Nederland;2021 2nd quarter;100
352;Accommodations without stars;Nederland;2021 July;50
353;Accommodations without stars;Nederland;2021 August;50
354;Accommodations without stars;Nederland;2021 September;70
355;Accommodations without stars;Nederland;2021 3rd quarter;170
356;Accommodations without stars;Nederland;2021 October;60
357;Accommodations without stars;Nederland;2021 November;40
358;Accommodations without stars;Nederland;2021 December;20
359;Accommodations without stars;Nederland;2021 4th quarter;110
360;Accommodations without stars;Nederland;2021;430
361;Accommodations without stars;Nederland;2022 January;30
362;Accommodations without stars;Nederland;2022 February;50
363;Accommodations without stars;Nederland;2022 March;80
364;Accommodations without stars;Nederland;2022 1th quarter;160
365;Accommodations without stars;Nederland;2022 April;100
366;Accommodations without stars;Nederland;2022 May;110
367;Accommodations without stars;Nederland;2022 June;120
368;Accommodations without stars;Nederland;2022 2nd quarter;340
369;Accommodations without stars;Nederland;2022 July;100
370;Accommodations without stars;Nederland;2022 August;90
371;Accommodations without stars;Nederland;2022 September;100
372;Accommodations without stars;Nederland;2022 3rd quarter;290
373;Accommodations without stars;Nederland;2022 October;100
374;Accommodations without stars;Nederland;2022 November;70
375;Accommodations without stars;Nederland;2022 December;60
376;Accommodations without stars;Nederland;2022 4th quarter;230
377;Accommodations without stars;Nederland;2022;1020
378;Accommodations without stars;Nederland;2023 January;50
379;Accommodations without stars;Nederland;2023 February;40
380;Accommodations without stars;Nederland;2023 March;70
381;Accommodations without stars;Nederland;2023 1st quarter;170
382;Accommodations without stars;Nederland;2023 April;80
383;Accommodations without stars;Nederland;2023 May;70
384;Accommodations without stars;Nederland;2023 June;80
385;Accommodations without stars;Nederland;2023 2nd quarter;220
386;Accommodations without stars;Nederland;2023 July;70
387;Accommodations without stars;Nederland;2023 August;60
388;Accommodations without stars;Nederland;2023 September;80
389;Accommodations without stars;Nederland;2023 3rd quarter;210
390;Accommodations without stars;Nederland;2023 October;80
391;Accommodations without stars;Nederland;2023 November;60
392;Accommodations without stars;Nederland;2023 December;40
393;Accommodations without stars;Nederland;2023 4th quarter;180
394;Accommodations without stars;Nederland;2023;770
395;Accommodations without stars;Nederland;2024 January;40
396;Accommodations without stars;Nederland;2024 February;60
397;Accommodations without stars;Nederland;2024 March;70
398;Accommodations without stars;Nederland;2024 1st quarter;170
399;Accommodations without stars;Nederland;2024 April;70
400;Accommodations without stars;Nederland;2024 May;80
401;Accommodations without stars;Nederland;2024 June;70
402;Accommodations without stars;Nederland;2024 2nd quarter;210
403;Accommodations without stars;Nederland;2024 July;80
404;Accommodations without stars;Nederland;2024 August;50
405;Accommodations without stars;Nederland;2024 September;80
406;Accommodations without stars;Nederland;2024 3rd quarter;210
407;Accommodations without stars;Nederland;2024 October;70
408;Accommodations without stars;Nederland;2024 November;90
409;Accommodations without stars;Nederland;2024 December;50
410;Accommodations without stars;Nederland;2024 4th quarter;220
411;Accommodations without stars;Nederland;2024;800
412;Accommodations without stars;Nederland;2025 January;70
413;Accommodations without stars;Nederland;2025 February;60
414;Accommodations without stars;Amsterdam;2017 January;20
415;Accommodations without stars;Amsterdam;2017 February;20
416;Accommodations without stars;Amsterdam;2017 March;40
417;Accommodations without stars;Amsterdam;2017 1st quarter;80
418;Accommodations without stars;Amsterdam;2017 April;50
419;Accommodations without stars;Amsterdam;2017 May;40
420;Accommodations without stars;Amsterdam;2017 June;30
421;Accommodations without stars;Amsterdam;2017 2nd quarter;130
422;Accommodations without stars;Amsterdam;2017 July;40
423;Accommodations without stars;Amsterdam;2017 August;30
424;Accommodations without stars;Amsterdam;2017 September;30
425;Accommodations without stars;Amsterdam;2017 3rd quarter;100
426;Accommodations without stars;Amsterdam;2017 October;40
427;Accommodations without stars;Amsterdam;2017 November;40
428;Accommodations without stars;Amsterdam;2017 December;30
429;Accommodations without stars;Amsterdam;2017 4th quarter;110
430;Accommodations without stars;Amsterdam;2017;420
431;Accommodations without stars;Amsterdam;2018 January;30
432;Accommodations without stars;Amsterdam;2018 February;20
433;Accommodations without stars;Amsterdam;2018 March;30
434;Accommodations without stars;Amsterdam;2018 1st quarter;90
435;Accommodations without stars;Amsterdam;2018 April;30
436;Accommodations without stars;Amsterdam;2018 May;30
437;Accommodations without stars;Amsterdam;2018 June;40
438;Accommodations without stars;Amsterdam;2018 2nd quarter;90
439;Accommodations without stars;Amsterdam;2018 July;30
440;Accommodations without stars;Amsterdam;2018 August;20
441;Accommodations without stars;Amsterdam;2018 September;40
442;Accommodations without stars;Amsterdam;2018 3rd quarter;90
443;Accommodations without stars;Amsterdam;2018 October;30
444;Accommodations without stars;Amsterdam;2018 November;30
445;Accommodations without stars;Amsterdam;2018 December;30
446;Accommodations without stars;Amsterdam;2018 4th quarter;90
447;Accommodations without stars;Amsterdam;2018;370
448;Accommodations without stars;Amsterdam;2019 January;30
449;Accommodations without stars;Amsterdam;2019 February;20
450;Accommodations without stars;Amsterdam;2019 March;30
451;Accommodations without stars;Amsterdam;2019 1st quarter;80
452;Accommodations without stars;Amsterdam;2019 April;40
453;Accommodations without stars;Amsterdam;2019 May;20
454;Accommodations without stars;Amsterdam;2019 June;30
455;Accommodations without stars;Amsterdam;2019 2nd quarter;100
456;Accommodations without stars;Amsterdam;2019 July;20
457;Accommodations without stars;Amsterdam;2019 August;20
458;Accommodations without stars;Amsterdam;2019 September;30
459;Accommodations without stars;Amsterdam;2019 3rd quarter;70
460;Accommodations without stars;Amsterdam;2019 October;30
461;Accommodations without stars;Amsterdam;2019 November;20
462;Accommodations without stars;Amsterdam;2019 December;20
463;Accommodations without stars;Amsterdam;2019 4th quarter;60
464;Accommodations without stars;Amsterdam;2019;300
465;Accommodations without stars;Amsterdam;2020 January;20
466;Accommodations without stars;Amsterdam;2020 February;20
467;Accommodations without stars;Amsterdam;2020 March;10
468;Accommodations without stars;Amsterdam;2020 1st quarter;60
469;Accommodations without stars;Amsterdam;2020 April;0
470;Accommodations without stars;Amsterdam;2020 May;0
471;Accommodations without stars;Amsterdam;2020 June;0
472;Accommodations without stars;Amsterdam;2020 2nd quarter;0
473;Accommodations without stars;Amsterdam;2020 July;10
474;Accommodations without stars;Amsterdam;2020 August;0
475;Accommodations without stars;Amsterdam;2020 September;0
476;Accommodations without stars;Amsterdam;2020 3rd quarter;20
477;Accommodations without stars;Amsterdam;2020 October;10
478;Accommodations without stars;Amsterdam;2020 November;0
479;Accommodations without stars;Amsterdam;2020 December;0
480;Accommodations without stars;Amsterdam;2020 4th quarter;10
481;Accommodations without stars;Amsterdam;2020;90
482;Accommodations without stars;Amsterdam;2021 January;0
483;Accommodations without stars;Amsterdam;2021 February;0
484;Accommodations without stars;Amsterdam;2021 March;0
485;Accommodations without stars;Amsterdam;2021 1th quarter;10
486;Accommodations without stars;Amsterdam;2021 April;0
487;Accommodations without stars;Amsterdam;2021 May;0
488;Accommodations without stars;Amsterdam;2021 June;0
489;Accommodations without stars;Amsterdam;2021 2nd quarter;10
490;Accommodations without stars;Amsterdam;2021 July;0
491;Accommodations without stars;Amsterdam;2021 August;0
492;Accommodations without stars;Amsterdam;2021 September;0
493;Accommodations without stars;Amsterdam;2021 3rd quarter;10
494;Accommodations without stars;Amsterdam;2021 October;0
495;Accommodations without stars;Amsterdam;2021 November;0
496;Accommodations without stars;Amsterdam;2021 December;0
497;Accommodations without stars;Amsterdam;2021 4th quarter;10
498;Accommodations without stars;Amsterdam;2021;30
499;Accommodations without stars;Amsterdam;2022 January;0
500;Accommodations without stars;Amsterdam;2022 February;10
501;Accommodations without stars;Amsterdam;2022 March;10
502;Accommodations without stars;Amsterdam;2022 1th quarter;20
503;Accommodations without stars;Amsterdam;2022 April;20
504;Accommodations without stars;Amsterdam;2022 May;20
505;Accommodations without stars;Amsterdam;2022 June;10
506;Accommodations without stars;Amsterdam;2022 2nd quarter;50
507;Accommodations without stars;Amsterdam;2022 July;10
508;Accommodations without stars;Amsterdam;2022 August;10
509;Accommodations without stars;Amsterdam;2022 September;10
510;Accommodations without stars;Amsterdam;2022 3rd quarter;40
511;Accommodations without stars;Amsterdam;2022 October;10
512;Accommodations without stars;Amsterdam;2022 November;10
513;Accommodations without stars;Amsterdam;2022 December;10
514;Accommodations without stars;Amsterdam;2022 4th quarter;30
515;Accommodations without stars;Amsterdam;2022;140
516;Accommodations without stars;Amsterdam;2023 January;10
517;Accommodations without stars;Amsterdam;2023 February;10
518;Accommodations without stars;Amsterdam;2023 March;10
519;Accommodations without stars;Amsterdam;2023 1st quarter;20
520;Accommodations without stars;Amsterdam;2023 April;10
521;Accommodations without stars;Amsterdam;2023 May;10
522;Accommodations without stars;Amsterdam;2023 June;10
523;Accommodations without stars;Amsterdam;2023 2nd quarter;20
524;Accommodations without stars;Amsterdam;2023 July;10
525;Accommodations without stars;Amsterdam;2023 August;10
526;Accommodations without stars;Amsterdam;2023 September;10
527;Accommodations without stars;Amsterdam;2023 3rd quarter;20
528;Accommodations without stars;Amsterdam;2023 October;10
529;Accommodations without stars;Amsterdam;2023 November;10
530;Accommodations without stars;Amsterdam;2023 December;10
531;Accommodations without stars;Amsterdam;2023 4th quarter;20
532;Accommodations without stars;Amsterdam;2023;90
533;Accommodations without stars;Amsterdam;2024 January;0
534;Accommodations without stars;Amsterdam;2024 February;0
535;Accommodations without stars;Amsterdam;2024 March;10
536;Accommodations without stars;Amsterdam;2024 1st quarter;20
537;Accommodations without stars;Amsterdam;2024 April;0
538;Accommodations without stars;Amsterdam;2024 May;10
539;Accommodations without stars;Amsterdam;2024 June;10
540;Accommodations without stars;Amsterdam;2024 2nd quarter;20
541;Accommodations without stars;Amsterdam;2024 July;10
542;Accommodations without stars;Amsterdam;2024 August;10
543;Accommodations without stars;Amsterdam;2024 September;10
544;Accommodations without stars;Amsterdam;2024 3rd quarter;30
545;Accommodations without stars;Amsterdam;2024 October;10
546;Accommodations without stars;Amsterdam;2024 November;10
547;Accommodations without stars;Amsterdam;2024 December;10
548;Accommodations without stars;Amsterdam;2024 4th quarter;40
549;Accommodations without stars;Amsterdam;2024;110
550;Accommodations without stars;Amsterdam;2025 January;10
551;Accommodations without stars;Amsterdam;2025 February;10
552;1 star accommodations;Nederland;2017 January;10
553;1 star accommodations;Nederland;2017 February;10
554;1 star accommodations;Nederland;2017 March;10
555;1 star accommodations;Nederland;2017 1st quarter;30
556;1 star accommodations;Nederland;2017 April;20
557;1 star accommodations;Nederland;2017 May;10
558;1 star accommodations;Nederland;2017 June;10
559;1 star accommodations;Nederland;2017 2nd quarter;40
560;1 star accommodations;Nederland;2017 July;10
561;1 star accommodations;Nederland;2017 August;10
562;1 star accommodations;Nederland;2017 September;10
563;1 star accommodations;Nederland;2017 3rd quarter;40
564;1 star accommodations;Nederland;2017 October;10
565;1 star accommodations;Nederland;2017 November;10
566;1 star accommodations;Nederland;2017 December;10
567;1 star accommodations;Nederland;2017 4th quarter;30
568;1 star accommodations;Nederland;2017;150
569;1 star accommodations;Nederland;2018 January;10
570;1 star accommodations;Nederland;2018 February;20
571;1 star accommodations;Nederland;2018 March;10
572;1 star accommodations;Nederland;2018 1st quarter;40
573;1 star accommodations;Nederland;2018 April;20
574;1 star accommodations;Nederland;2018 May;10
575;1 star accommodations;Nederland;2018 June;20
576;1 star accommodations;Nederland;2018 2nd quarter;50
577;1 star accommodations;Nederland;2018 July;10
578;1 star accommodations;Nederland;2018 August;10
579;1 star accommodations;Nederland;2018 September;20
580;1 star accommodations;Nederland;2018 3rd quarter;40
581;1 star accommodations;Nederland;2018 October;20
582;1 star accommodations;Nederland;2018 November;20
583;1 star accommodations;Nederland;2018 December;10
584;1 star accommodations;Nederland;2018 4th quarter;50
585;1 star accommodations;Nederland;2018;180
586;1 star accommodations;Nederland;2019 January;10
587;1 star accommodations;Nederland;2019 February;10
588;1 star accommodations;Nederland;2019 March;20
589;1 star accommodations;Nederland;2019 1st quarter;40
590;1 star accommodations;Nederland;2019 April;20
591;1 star accommodations;Nederland;2019 May;20
592;1 star accommodations;Nederland;2019 June;20
593;1 star accommodations;Nederland;2019 2nd quarter;60
594;1 star accommodations;Nederland;2019 July;20
595;1 star accommodations;Nederland;2019 August;20
596;1 star accommodations;Nederland;2019 September;20
597;1 star accommodations;Nederland;2019 3rd quarter;50
598;1 star accommodations;Nederland;2019 October;20
599;1 star accommodations;Nederland;2019 November;20
600;1 star accommodations;Nederland;2019 December;10
601;1 star accommodations;Nederland;2019 4th quarter;50
602;1 star accommodations;Nederland;2019;200
603;1 star accommodations;Nederland;2020 January;10
604;1 star accommodations;Nederland;2020 February;10
605;1 star accommodations;Nederland;2020 March;10
606;1 star accommodations;Nederland;2020 1st quarter;30
607;1 star accommodations;Nederland;2020 April;0
608;1 star accommodations;Nederland;2020 May;10
609;1 star accommodations;Nederland;2020 June;0
610;1 star accommodations;Nederland;2020 2nd quarter;10
611;1 star accommodations;Nederland;2020 July;10
612;1 star accommodations;Nederland;2020 August;10
613;1 star accommodations;Nederland;2020 September;10
614;1 star accommodations;Nederland;2020 3rd quarter;20
615;1 star accommodations;Nederland;2020 October;10
616;1 star accommodations;Nederland;2020 November;0
617;1 star accommodations;Nederland;2020 December;0
618;1 star accommodations;Nederland;2020 4th quarter;10
619;1 star accommodations;Nederland;2020;70
620;1 star accommodations;Nederland;2021 January;0
621;1 star accommodations;Nederland;2021 February;0
622;1 star accommodations;Nederland;2021 March;0
623;1 star accommodations;Nederland;2021 1th quarter;10
624;1 star accommodations;Nederland;2021 April;0
