ID;GoodsAndServices;Periods;VolumeChanges_1;VolumeChangesShoppingdayAdjusted_2;Indices2000100_3;ValueChanges_4;ValueIndices_5;ShareInDomesticConsOfHouseholds_6;AbsoluteValueInEuroS_7
157;8000;2004 April;2.0;1.0;103.9;3.1;115.7;;
158;8000;2004 May;-1.3;1.0;103.8;0.0;115.7;;
159;8000;2004 June;3.2;1.8;105.3;4.4;116.7;;
160;8000;2004 2nd quarter;1.3;1.3;104.3;2.5;116.0;;
161;8000;2004 July;3.4;2.3;104.6;4.2;115.7;;
162;8000;2004 August;-0.1;1.5;99.9;0.8;111.1;;
163;8000;2004 September;2.2;1.2;102.0;3.0;114.1;;
164;8000;2004 3rd quarter;1.8;1.7;102.2;2.7;113.6;;
165;8000;2004 October;-0.2;0.6;104.7;0.7;117.3;;
166;8000;2004 November;1.1;1.3;102.7;2.0;115.0;;
167;8000;2004 December;3.4;1.7;108.4;3.9;120.3;;
168;8000;2004 4th quarter;1.4;1.2;105.3;2.2;117.5;;
169;8000;2004;1.4;1.2;104.0;2.3;115.6;100.0;241684.0
170;8000;2005 January;-1.7;0.3;105.7;0.2;118.2;;
171;8000;2005 February;-0.1;0.2;99.3;2.0;112.2;;
172;8000;2005 March;1.8;1.0;107.3;3.8;121.8;;
173;8000;2005 1st quarter;0.0;0.5;104.1;2.0;117.4;;
174;8000;2005 April;0.5;0.4;104.4;2.4;118.5;;
175;8000;2005 May;0.0;0.7;103.8;1.7;117.7;;
176;8000;2005 June;2.1;1.6;107.5;4.1;121.5;;
177;8000;2005 2nd quarter;0.9;0.9;105.2;2.8;119.2;;
178;8000;2005 July;0.4;1.6;105.1;2.3;118.3;;
179;8000;2005 August;2.8;1.9;102.7;4.9;116.5;;
180;8000;2005 September;2.4;2.0;104.5;4.6;119.4;;
181;8000;2005 3rd quarter;1.9;1.9;104.1;3.9;118.1;;
182;8000;2005 October;0.8;1.6;105.5;3.0;120.9;;
183;8000;2005 November;2.8;2.3;105.5;5.3;121.1;;
184;8000;2005 December;1.7;1.2;110.3;4.6;125.8;;
185;8000;2005 4th quarter;1.7;1.7;107.1;4.3;122.6;;
186;8000;2005;1.1;1.2;105.1;3.2;119.3;100.0;248874.0
187;8000;2006 January;2.9;2.1;108.8;6.1;125.4;;
188;8000;2006 February;2.8;2.8;102.1;5.8;118.7;;
189;8000;2006 March;3.5;2.4;111.0;6.3;129.5;;
190;8000;2006 1st quarter;3.1;2.4;107.3;6.1;124.5;;
191;8000;2006 April;2.6;4.3;107.1;5.0;124.5;;
192;8000;2006 May;5.4;4.2;109.4;7.6;126.6;;
193;8000;2006 June;3.4;3.1;111.1;5.4;128.1;;
194;8000;2006 2nd quarter;3.8;3.9;109.2;6.0;126.4;;
195;8000;2006 July;1.8;2.7;106.9;3.9;122.9;;
196;8000;2006 August;4.7;4.2;107.6;7.0;124.7;;
197;8000;2006 September;3.4;3.3;108.1;5.2;125.5;;
198;8000;2006 3rd quarter;3.3;3.4;107.5;5.3;124.4;;
199;8000;2006 October;2.4;3.0;108.0;3.5;125.1;;
200;8000;2006 November;3.2;2.7;108.8;4.6;126.7;;
201;8000;2006 December;1.6;2.9;112.0;3.2;129.9;;
202;8000;2006 4th quarter;2.4;2.8;109.6;3.8;127.2;;
203;8000;2006;3.1;3.1;108.4;5.3;125.6;100.0;262673.0
204;8000;2007 January;1.0;0.7;109.8;2.4;128.4;;
205;8000;2007 February;1.5;1.5;103.7;3.1;122.4;;
206;8000;2007 March;1.8;1.5;113.0;3.6;134.2;;
207;8000;2007 1st quarter;1.4;1.2;108.8;3.1;128.3;;
208;8000;2007 April;0.0;0.6;107.1;1.8;126.7;;
209;8000;2007 May;0.9;0.6;110.3;2.5;129.7;;
210;8000;2007 June;2.1;1.6;113.4;3.6;132.7;;
211;8000;2007 2nd quarter;1.0;1.0;110.3;2.6;129.7;;
212;8000;2007 July;2.5;3.1;109.6;3.8;127.5;;
213;8000;2007 August;2.2;1.4;110.0;3.2;128.7;;
214;8000;2007 September;1.3;2.7;109.5;2.6;128.8;;
215;8000;2007 3rd quarter;2.0;2.4;109.7;3.2;128.4;;
216;8000;2007 October;4.7;3.8;113.0;6.2;132.9;;
217;8000;2007 November;3.0;2.4;112.1;4.8;132.8;;
218;8000;2007 December;2.7;3.2;115.0;4.5;135.7;;
219;8000;2007 4th quarter;3.4;3.1;113.4;5.2;133.8;;
220;8000;2007;2.0;1.9;110.5;3.5;130.0;100.0;271911.0
221;8000;2008 January;2.2;1.7;112.2;3.2;132.5;;
222;8000;2008 February;5.1;2.9;109.0;6.3;130.1;;
223;8000;2008 March;-0.8;1.2;112.2;0.4;134.7;;
224;8000;2008 1st quarter;2.1;1.9;111.1;3.2;132.4;;
225;8000;2008 April;3.2;2.1;110.5;4.4;132.2;;
