ID;SICOrInstitutionalSector;TypeOfCapitalAsset;Periods;CapitalStockOpeningBalanceSheet_1;Revaluation_2;InvestInFixedAssetsProdAndImport_3;Depreciation_4;TradeAndOtherChanges_5;StatisticalDiscrepancy_6;CapitalStockClosingBalanceSheet_7;VolumeIndices2021100_8
88;A-U All economic activities;Civil engineering works;1996;168485.0;3323.0;7994.0;5307.0;0.0;1.0;174496.0;65.3
89;A-U All economic activities;Civil engineering works;1997;174496.0;2820.0;7518.0;5480.0;0.0;-1.0;179353.0;66.0
90;A-U All economic activities;Civil engineering works;1998;179353.0;3336.0;7970.0;5661.0;14.0;1.0;185013.0;66.9
91;A-U All economic activities;Civil engineering works;1999;185013.0;3692.0;8893.0;5869.0;0.0;0.0;191729.0;68.0
92;A-U All economic activities;Civil engineering works;2000;191729.0;6909.0;10355.0;6211.0;0.0;0.0;202782.0;69.4
93;A-U All economic activities;Civil engineering works;2001;202782.0;9433.0;11374.0;6651.0;0.0;1.0;216939.0;70.9
94;A-U All economic activities;Civil engineering works;2002;216939.0;8313.0;11697.0;7055.0;0.0;0.0;229894.0;72.4
95;A-U All economic activities;Civil engineering works;2003;229894.0;5768.0;11670.0;7363.0;0.0;1.0;239970.0;73.7
96;A-U All economic activities;Civil engineering works;2004;239970.0;1753.0;10863.0;7528.0;0.0;0.0;245058.0;74.7
97;A-U All economic activities;Civil engineering works;2005;245058.0;2129.0;12157.0;7708.0;0.0;0.0;251636.0;76.1
98;A-U All economic activities;Civil engineering works;2006;251636.0;6895.0;13335.0;8056.0;0.0;0.0;263810.0;77.6
99;A-U All economic activities;Civil engineering works;2007;263810.0;8419.0;14577.0;8497.0;5.0;0.0;278314.0;79.3
100;A-U All economic activities;Civil engineering works;2008;278314.0;12155.0;15541.0;9063.0;0.0;0.0;296947.0;81.1
101;A-U All economic activities;Civil engineering works;2009;296947.0;-291.0;15792.0;9235.0;0.0;0.0;303213.0;82.9
102;A-U All economic activities;Civil engineering works;2010;303213.0;7453.0;15989.0;9642.0;0.0;1.0;317014.0;84.6
103;A-U All economic activities;Civil engineering works;2011;317014.0;7350.0;17395.0;10079.0;0.0;0.0;331680.0;86.5
104;A-U All economic activities;Civil engineering works;2012;331680.0;6710.0;15998.0;10490.0;0.0;0.0;343898.0;87.9
105;A-U All economic activities;Civil engineering works;2013;343898.0;3247.0;16961.0;10795.0;0.0;-1.0;353310.0;89.5
106;A-U All economic activities;Civil engineering works;2014;353310.0;457.0;16466.0;11025.0;0.0;1.0;359209.0;90.9
107;A-U All economic activities;Civil engineering works;2015;359209.0;115.0;17643.0;11268.0;0.0;-1.0;365698.0;92.5
108;A-U All economic activities;Civil engineering works;2016;365698.0;-1222.0;17439.0;11508.0;0.0;0.0;370407.0;94.0
109;A-U All economic activities;Civil engineering works;2017;370407.0;9820.0;16903.0;12000.0;0.0;1.0;385131.0;95.2
110;A-U All economic activities;Civil engineering works;2018;385131.0;12951.0;17818.0;12597.0;0.0;0.0;403303.0;96.4
111;A-U All economic activities;Civil engineering works;2019;403303.0;10233.0;18493.0;13085.0;0.0;-1.0;418943.0;97.7
112;A-U All economic activities;Civil engineering works;2020;418943.0;3613.0;18647.0;13357.0;0.0;0.0;427846.0;98.9
113;A-U All economic activities;Civil engineering works;2021;427846.0;20489.0;19108.0;14223.0;0.0;0.0;453220.0;100.0
114;A-U All economic activities;Civil engineering works;2022;453220.0;48069.0;20105.0;16002.0;0.0;0.0;505392.0;100.8
115;A-U All economic activities;Civil engineering works;2023;505392.0;18947.0;21682.0;16805.0;0.0;1.0;529217.0;101.8
116;A-U All economic activities;Cost of ownership transfer on land;1995;6673.0;135.0;737.0;646.0;0.0;0.0;6899.0;72.8
117;A-U All economic activities;Cost of ownership transfer on land;1996;6899.0;367.0;939.0;696.0;0.0;1.0;7510.0;75.3
118;A-U All economic activities;Cost of ownership transfer on land;1997;7510.0;286.0;909.0;743.0;0.0;0.0;7962.0;76.9
119;A-U All economic activities;Cost of ownership transfer on land;1998;7962.0;713.0;1015.0;826.0;6.0;0.0;8870.0;78.6
120;A-U All economic activities;Cost of ownership transfer on land;1999;8870.0;482.0;1131.0;894.0;0.0;0.0;9589.0;80.6
121;A-U All economic activities;Cost of ownership transfer on land;2000;9589.0;1047.0;1462.0;1022.0;0.0;0.0;11076.0;83.9
122;A-U All economic activities;Cost of ownership transfer on land;2001;11076.0;1104.0;1280.0;1153.0;0.0;0.0;12307.0;84.8
123;A-U All economic activities;Cost of ownership transfer on land;2002;12307.0;330.0;1134.0;1197.0;0.0;0.0;12574.0;84.4
124;A-U All economic activities;Cost of ownership transfer on land;2003;12574.0;417.0;839.0;1230.0;0.0;0.0;12600.0;81.9
125;A-U All economic activities;Cost of ownership transfer on land;2004;12600.0;236.0;1021.0;1240.0;0.0;1.0;12618.0;80.5
126;A-U All economic activities;Cost of ownership transfer on land;2005;12618.0;225.0;1114.0;1254.0;0.0;0.0;12703.0;79.6
127;A-U All economic activities;Cost of ownership transfer on land;2006;12703.0;381.0;1164.0;1284.0;0.0;0.0;12964.0;78.9
128;A-U All economic activities;Cost of ownership transfer on land;2007;12964.0;344.0;1112.0;1308.0;0.0;-1.0;13111.0;77.7
129;A-U All economic activities;Cost of ownership transfer on land;2008;13111.0;393.0;1022.0;1331.0;0.0;1.0;13196.0;75.9
130;A-U All economic activities;Cost of ownership transfer on land;2009;13196.0;-27.0;941.0;1305.0;0.0;0.0;12805.0;73.8
131;A-U All economic activities;Cost of ownership transfer on land;2010;12805.0;180.0;1096.0;1301.0;0.0;0.0;12780.0;72.7
132;A-U All economic activities;Cost of ownership transfer on land;2011;12780.0;-1293.0;1124.0;1157.0;0.0;0.0;11454.0;72.5
133;A-U All economic activities;Cost of ownership transfer on land;2012;11454.0;-1527.0;1154.0;1003.0;0.0;0.0;10078.0;73.6
134;A-U All economic activities;Cost of ownership transfer on land;2013;10078.0;-70.0;967.0;996.0;0.0;0.0;9979.0;73.3
135;A-U All economic activities;Cost of ownership transfer on land;2014;9979.0;366.0;1211.0;1034.0;0.0;0.0;10522.0;74.6
136;A-U All economic activities;Cost of ownership transfer on land;2015;10522.0;517.0;1392.0;1095.0;0.0;0.0;11336.0;76.6
137;A-U All economic activities;Cost of ownership transfer on land;2016;11336.0;2600.0;1937.0;1371.0;0.0;0.0;14502.0;79.7
138;A-U All economic activities;Cost of ownership transfer on land;2017;14502.0;734.0;1956.0;1470.0;0.0;0.0;15722.0;82.3
139;A-U All economic activities;Cost of ownership transfer on land;2018;15722.0;511.0;2090.0;1549.0;0.0;0.0;16774.0;85.0
140;A-U All economic activities;Cost of ownership transfer on land;2019;16774.0;272.0;2400.0;1616.0;0.0;0.0;17830.0;88.9
141;A-U All economic activities;Cost of ownership transfer on land;2020;17830.0;414.0;2819.0;1715.0;0.0;0.0;19348.0;94.3
142;A-U All economic activities;Cost of ownership transfer on land;2021;19348.0;515.0;3044.0;1840.0;0.0;0.0;21067.0;100.0
143;A-U All economic activities;Cost of ownership transfer on land;2022;21067.0;3044.0;2717.0;2182.0;0.0;-1.0;24645.0;102.2
144;A-U All economic activities;Cost of ownership transfer on land;2023;24645.0;-613.0;2538.0;2164.0;0.0;1.0;24407.0;103.8
145;A-U All economic activities;Total transport equipment;1995;35331.0;35.0;6434.0;5130.0;-660.0;0.0;36010.0;58.2
146;A-U All economic activities;Total transport equipment;1996;36010.0;161.0;6556.0;5152.0;-834.0;-1.0;36740.0;59.1
147;A-U All economic activities;Total transport equipment;1997;36740.0;-53.0;6441.0;5186.0;-615.0;1.0;37328.0;60.2
148;A-U All economic activities;Total transport equipment;1998;37328.0;727.0;7634.0;5412.0;-966.0;0.0;39311.0;62.2
149;A-U All economic activities;Total transport equipment;1999;39311.0;235.0;8186.0;5647.0;-1098.0;0.0;40987.0;64.4
150;A-U All economic activities;Total transport equipment;2000;40987.0;865.0;8509.0;6059.0;-1070.0;1.0;43233.0;66.6
151;A-U All economic activities;Total transport equipment;2001;43233.0;33.0;8600.0;6348.0;-1700.0;0.0;43818.0;67.4
152;A-U All economic activities;Total transport equipment;2002;43818.0;998.0;7932.0;6489.0;-1755.0;-1.0;44503.0;66.9
153;A-U All economic activities;Total transport equipment;2003;44503.0;329.0;9291.0;6580.0;-2103.0;0.0;45440.0;67.8
154;A-U All economic activities;Total transport equipment;2004;45440.0;357.0;9128.0;6693.0;-2167.0;1.0;46066.0;68.2
155;A-U All economic activities;Total transport equipment;2005;46066.0;1099.0;9272.0;6854.0;-2534.0;0.0;47049.0;68.1
156;A-U All economic activities;Total transport equipment;2006;47049.0;615.0;10508.0;6953.0;-2631.0;-1.0;48587.0;69.4
157;A-U All economic activities;Total transport equipment;2007;48587.0;661.0;11056.0;7136.0;-2914.0;0.0;50254.0;70.8
158;A-U All economic activities;Total transport equipment;2008;50254.0;447.0;11841.0;7242.0;-2866.0;0.0;52434.0;73.2
159;A-U All economic activities;Total transport equipment;2009;52434.0;839.0;9247.0;7281.0;-2867.0;1.0;52373.0;72.0
160;A-U All economic activities;Total transport equipment;2010;52373.0;782.0;9209.0;7099.0;-2991.0;1.0;52275.0;70.8
161;A-U All economic activities;Total transport equipment;2011;52275.0;-243.0;11573.0;7071.0;-3182.0;0.0;53352.0;72.6
162;A-U All economic activities;Total transport equipment;2012;53352.0;771.0;11450.0;7284.0;-2755.0;0.0;55534.0;74.5
163;A-U All economic activities;Total transport equipment;2013;55534.0;432.0;10499.0;7435.0;-2753.0;0.0;56277.0;74.9
164;A-U All economic activities;Total transport equipment;2014;56277.0;722.0;9945.0;7479.0;-3043.0;0.0;56422.0;74.1
165;A-U All economic activities;Total transport equipment;2015;56422.0;1874.0;14026.0;7949.0;-3147.0;0.0;61226.0;77.9
166;A-U All economic activities;Total transport equipment;2016;61226.0;556.0;14784.0;8340.0;-2783.0;-1.0;65442.0;82.5
167;A-U All economic activities;Total transport equipment;2017;65442.0;303.0;17141.0;8895.0;-2625.0;1.0;71367.0;89.5
168;A-U All economic activities;Total transport equipment;2018;71367.0;237.0;16331.0;9692.0;-3228.0;0.0;75015.0;93.8
169;A-U All economic activities;Total transport equipment;2019;75015.0;1998.0;20380.0;10607.0;-3496.0;-1.0;83289.0;101.4
170;A-U All economic activities;Total transport equipment;2020;83289.0;1412.0;14502.0;11228.0;-3665.0;0.0;84310.0;101.0
171;A-U All economic activities;Total transport equipment;2021;84310.0;1931.0;15150.0;11499.0;-4479.0;0.0;85413.0;100.0
172;A-U All economic activities;Total transport equipment;2022;85413.0;5729.0;16195.0;12098.0;-4886.0;-1.0;90352.0;99.1
173;A-U All economic activities;Total transport equipment;2023;90352.0;3944.0;20064.0;12648.0;-5233.0;0.0;96479.0;101.4
174;A-U All economic activities;Passenger cars;1995;9971.0;-47.0;2941.0;2303.0;-554.0;0.0;10008.0;42.7
175;A-U All economic activities;Passenger cars;1996;10008.0;153.0;3318.0;2319.0;-364.0;0.0;10796.0;45.4
176;A-U All economic activities;Passenger cars;1997;10796.0;-58.0;3695.0;2416.0;-398.0;0.0;11619.0;49.1
177;A-U All economic activities;Passenger cars;1998;11619.0;129.0;4183.0;2602.0;-716.0;0.0;12613.0;52.8
178;A-U All economic activities;Passenger cars;1999;12613.0;18.0;4863.0;2788.0;-764.0;0.0;13942.0;58.2
179;A-U All economic activities;Passenger cars;2000;13942.0;479.0;4993.0;3113.0;-800.0;0.0;15501.0;62.6
180;A-U All economic activities;Passenger cars;2001;15501.0;230.0;5250.0;3369.0;-1130.0;0.0;16482.0;65.6
181;A-U All economic activities;Passenger cars;2002;16482.0;136.0;4963.0;3482.0;-1152.0;0.0;16947.0;66.9
182;A-U All economic activities;Passenger cars;2003;16947.0;85.0;5053.0;3571.0;-1364.0;1.0;17151.0;67.4
183;A-U All economic activities;Passenger cars;2004;17151.0;285.0;5617.0;3657.0;-1539.0;0.0;17857.0;69.0
184;A-U All economic activities;Passenger cars;2005;17857.0;400.0;5871.0;3784.0;-1696.0;0.0;18648.0;70.5
185;A-U All economic activities;Passenger cars;2006;18648.0;353.0;6419.0;3908.0;-1656.0;0.0;19856.0;73.6
186;A-U All economic activities;Passenger cars;2007;19856.0;295.0;7111.0;4068.0;-1759.0;1.0;21436.0;78.3
187;A-U All economic activities;Passenger cars;2008;21436.0;-433.0;6612.0;4081.0;-1921.0;0.0;21613.0;80.6
188;A-U All economic activities;Passenger cars;2009;21613.0;154.0;4695.0;4012.0;-2018.0;1.0;20433.0;75.7
189;A-U All economic activities;Passenger cars;2010;20433.0;27.0;5252.0;3788.0;-2250.0;0.0;19674.0;72.8
190;A-U All economic activities;Passenger cars;2011;19674.0;-280.0;6428.0;3749.0;-2105.0;1.0;19969.0;74.9
191;A-U All economic activities;Passenger cars;2012;19969.0;136.0;6493.0;3866.0;-1555.0;0.0;21177.0;78.9
192;A-U All economic activities;Passenger cars;2013;21177.0;40.0;5772.0;3985.0;-1550.0;-1.0;21453.0;79.8
193;A-U All economic activities;Passenger cars;2014;21453.0;111.0;5627.0;4031.0;-1967.0;0.0;21193.0;78.4
194;A-U All economic activities;Passenger cars;2015;21193.0;212.0;8029.0;4292.0;-2222.0;0.0;22920.0;84.0
195;A-U All economic activities;Passenger cars;2016;22920.0;426.0;7066.0;4467.0;-2017.0;1.0;23929.0;86.1
196;A-U All economic activities;Passenger cars;2017;23929.0;347.0;7848.0;4684.0;-1723.0;0.0;25717.0;91.2
197;A-U All economic activities;Passenger cars;2018;25717.0;871.0;9333.0;5230.0;-2328.0;0.0;28363.0;97.2
198;A-U All economic activities;Passenger cars;2019;28363.0;668.0;10852.0;5738.0;-2696.0;1.0;31450.0;105.4
199;A-U All economic activities;Passenger cars;2020;31450.0;1189.0;8605.0;6119.0;-2746.0;-1.0;32378.0;104.5
200;A-U All economic activities;Passenger cars;2021;32378.0;1117.0;8065.0;6216.0;-3294.0;0.0;32050.0;100.0
201;A-U All economic activities;Passenger cars;2022;32050.0;2122.0;8340.0;6356.0;-3871.0;0.0;32285.0;94.5
202;A-U All economic activities;Passenger cars;2023;32285.0;967.0;10522.0;6381.0;-3736.0;0.0;33657.0;95.6
203;A-U All economic activities;Other road transport equipment;1995;7329.0;-83.0;1422.0;1478.0;-64.0;-1.0;7125.0;54.4
204;A-U All economic activities;Other road transport equipment;1996;7125.0;34.0;1528.0;1447.0;-205.0;0.0;7035.0;53.4
205;A-U All economic activities;Other road transport equipment;1997;7035.0;-86.0;1527.0;1394.0;-182.0;0.0;6900.0;53.0
206;A-U All economic activities;Other road transport equipment;1998;6900.0;-49.0;1940.0;1399.0;-239.0;1.0;7154.0;55.4
207;A-U All economic activities;Other road transport equipment;1999;7154.0;-5.0;2097.0;1443.0;-194.0;0.0;7609.0;58.9
208;A-U All economic activities;Other road transport equipment;2000;7609.0;161.0;1851.0;1519.0;-241.0;0.0;7861.0;59.6
209;A-U All economic activities;Other road transport equipment;2001;7861.0;40.0;2126.0;1558.0;-428.0;0.0;8041.0;60.7
210;A-U All economic activities;Other road transport equipment;2002;8041.0;52.0;1874.0;1565.0;-485.0;0.0;7917.0;59.4
211;A-U All economic activities;Other road transport equipment;2003;7917.0;28.0;1978.0;1544.0;-609.0;-1.0;7769.0;58.1
212;A-U All economic activities;Other road transport equipment;2004;7769.0;47.0;2120.0;1543.0;-529.0;-1.0;7863.0;58.4
213;A-U All economic activities;Other road transport equipment;2005;7863.0;110.0;2043.0;1550.0;-711.0;0.0;7755.0;56.8
214;A-U All economic activities;Other road transport equipment;2006;7755.0;50.0;2356.0;1521.0;-847.0;1.0;7794.0;56.7
215;A-U All economic activities;Other road transport equipment;2007;7794.0;177.0;2536.0;1551.0;-1032.0;0.0;7924.0;56.4
216;A-U All economic activities;Other road transport equipment;2008;7924.0;238.0;3125.0;1613.0;-841.0;1.0;8834.0;61.0
217;A-U All economic activities;Other road transport equipment;2009;8834.0;37.0;2157.0;1645.0;-763.0;-1.0;8619.0;59.3
218;A-U All economic activities;Other road transport equipment;2010;8619.0;258.0;1999.0;1630.0;-650.0;0.0;8596.0;57.4
219;A-U All economic activities;Other road transport equipment;2011;8596.0;98.0;2679.0;1637.0;-937.0;0.0;8799.0;58.1
220;A-U All economic activities;Other road transport equipment;2012;8799.0;119.0;2819.0;1671.0;-1028.0;-1.0;9037.0;58.9
221;A-U All economic activities;Other road transport equipment;2013;9037.0;128.0;2605.0;1686.0;-1029.0;1.0;9056.0;58.2
222;A-U All economic activities;Other road transport equipment;2014;9056.0;-28.0;2658.0;1655.0;-875.0;0.0;9156.0;59.0
223;A-U All economic activities;Other road transport equipment;2015;9156.0;26.0;3021.0;1713.0;-836.0;0.0;9654.0;62.0
224;A-U All economic activities;Other road transport equipment;2016;9654.0;79.0;3541.0;1816.0;-620.0;0.0;10838.0;69.1
225;A-U All economic activities;Other road transport equipment;2017;10838.0;-40.0;3782.0;1978.0;-721.0;0.0;11881.0;76.0
