ID;Periods;TermsOfTrade_1;ImportPrices_2;ExportPrices_3;TermsOfTrade_4;ImportPrices_5;ExportPrices_6
65;1998 December;96.2;92.0;88.5;0.7;-6.7;-6.0
66;1998 4th quarter;97.3;91.3;88.9;0.6;-6.4;-5.9
67;1998;98.2;91.1;89.4;1.4;-3.8;-2.5
68;1999 January;96.9;85.2;82.6;1.4;-8.4;-7.1
69;1999 February;97.2;85.1;82.7;0.7;-7.6;-6.9
70;1999 March;98.3;87.6;86.1;0.0;-5.7;-5.7
71;1999 1st quarter;97.5;86.1;84.0;0.7;-7.1;-6.5
72;1999 April;97.0;88.5;85.8;0.2;-4.6;-4.5
73;1999 May;99.4;86.8;86.2;0.5;-4.0;-3.5
74;1999 June;99.6;87.1;86.8;-0.1;-1.9;-2.0
75;1999 2nd quarter;98.6;87.5;86.3;0.2;-3.5;-3.3
76;1999 July;98.8;88.9;87.8;-1.6;-0.9;-2.5
77;1999 August;99.9;89.7;89.6;-0.8;0.0;-0.8
78;1999 September;98.9;91.4;90.4;-0.6;1.7;1.1
79;1999 3rd quarter;99.2;90.1;89.3;-1.0;0.3;-0.7
80;1999 October;97.9;91.0;89.1;-0.6;0.4;-0.2
81;1999 November;96.0;94.1;90.4;-1.2;3.1;1.9
82;1999 December;95.2;97.0;92.4;-1.0;5.4;4.3
83;1999 4th quarter;96.4;94.1;90.6;-0.9;3.0;2.0
84;1999;97.9;89.5;87.6;-0.3;-1.8;-2.1
85;2000 January;95.0;91.3;86.7;-2.0;7.1;4.9
86;2000 February;94.7;92.9;88.0;-2.5;9.1;6.3
87;2000 March;95.5;94.2;90.0;-2.9;7.6;4.5
88;2000 1st quarter;95.1;92.9;88.3;-2.5;7.9;5.2
89;2000 April;97.4;92.8;90.3;0.4;4.8;5.2
90;2000 May;98.4;93.5;91.9;-1.0;7.7;6.6
91;2000 June;98.7;93.7;92.4;-1.0;7.5;6.5
92;2000 2nd quarter;98.1;93.3;91.6;-0.5;6.7;6.1
93;2000 July;99.3;93.6;93.0;0.5;5.3;5.8
94;2000 August;100.0;95.3;95.3;0.1;6.2;6.4
95;2000 September;99.3;98.5;97.8;0.4;7.7;8.2
96;2000 3rd quarter;99.6;95.9;95.4;0.3;6.5;6.8
97;2000 October;97.2;99.4;96.6;-0.7;9.2;8.5
98;2000 November;95.3;101.5;96.8;-0.8;7.9;7.1
99;2000 December;98.8;98.0;96.9;3.8;1.0;4.9
100;2000 4th quarter;97.1;99.7;96.8;0.8;6.0;6.8
101;2000;97.5;95.5;93.1;-0.4;6.7;6.3
102;2001 January;99.0;92.7;91.8;4.3;1.6;5.9
103;2001 February;98.5;93.9;92.5;4.0;1.1;5.2
104;2001 March;99.2;94.0;93.2;3.8;-0.3;3.6
105;2001 1st quarter;98.9;93.5;92.5;4.0;0.7;4.8
106;2001 April;99.5;93.6;93.2;2.2;0.9;3.1
107;2001 May;100.1;93.8;93.9;1.7;0.4;2.2
108;2001 June;99.5;94.2;93.8;0.9;0.6;1.5
109;2001 2nd quarter;99.7;93.9;93.6;1.6;0.6;2.2
110;2001 July;99.2;94.0;93.3;-0.1;0.5;0.4
111;2001 August;99.6;93.7;93.4;-0.4;-1.7;-2.1
112;2001 September;100.5;94.4;94.8;1.1;-4.2;-3.1
113;2001 3rd quarter;99.8;94.0;93.8;0.2;-1.9;-1.7
114;2001 October;98.0;94.3;92.4;0.8;-5.2;-4.4
115;2001 November;97.7;94.8;92.6;2.5;-6.7;-4.3
116;2001 December;98.9;94.1;93.0;0.1;-4.1;-4.0
117;2001 4th quarter;98.2;94.4;92.7;1.1;-5.3;-4.2
118;2001;99.2;94.0;93.2;1.7;-1.6;0.1
119;2002 January;99.8;88.1;87.9;0.8;-5.0;-4.2
120;2002 February;99.0;89.0;88.0;0.5;-5.3;-4.8
121;2002 March;98.4;90.4;89.0;-0.7;-3.8;-4.5
122;2002 1st quarter;99.1;89.2;88.3;0.2;-4.6;-4.5
123;2002 April;100.4;90.1;90.4;0.8;-3.8;-3.0
124;2002 May;102.3;88.7;90.7;2.2;-5.5;-3.5
125;2002 June;102.3;88.0;90.0;2.8;-6.6;-4.0
126;2002 2nd quarter;101.6;88.9;90.4;1.9;-5.3;-3.5
127;2002 July;100.9;88.8;89.7;1.7;-5.5;-3.9
128;2002 August;101.9;89.6;91.2;2.3;-4.4;-2.3
129;2002 September;102.0;90.8;92.6;1.6;-3.8;-2.3
130;2002 3rd quarter;101.6;89.8;91.2;1.9;-4.6;-2.8
131;2002 October;100.1;91.5;91.6;2.2;-2.9;-0.8
132;2002 November;99.2;91.6;90.9;1.5;-3.3;-1.9
133;2002 December;100.6;91.6;92.1;1.7;-2.6;-1.0
134;2002 4th quarter;100.0;91.6;91.5;1.8;-3.0;-1.2
135;2002;100.6;89.9;90.4;1.4;-4.4;-3.0
136;2003 January;100.2;88.2;88.3;0.3;0.1;0.5
137;2003 February;100.3;88.9;89.1;1.3;-0.1;1.3
138;2003 March;100.6;88.8;89.3;2.2;-1.8;0.4
139;2003 1st quarter;100.3;88.6;88.9;1.3;-0.6;0.7
140;2003 April;102.2;87.2;89.1;1.9;-3.2;-1.4
141;2003 May;103.9;85.4;88.7;1.6;-3.7;-2.2
142;2003 June;103.3;85.2;88.0;1.0;-3.2;-2.3
143;2003 2nd quarter;103.1;85.9;88.6;1.5;-3.3;-1.9
144;2003 July;101.4;86.5;87.7;0.5;-2.7;-2.2
145;2003 August;102.0;87.8;89.5;0.1;-2.0;-1.9
146;2003 September;102.3;88.0;90.1;0.3;-3.1;-2.8
147;2003 3rd quarter;101.9;87.4;89.1;0.3;-2.6;-2.3
148;2003 October;101.0;88.5;89.4;0.9;-3.4;-2.5
149;2003 November;99.6;89.8;89.5;0.5;-2.0;-1.5
150;2003 December;100.8;88.7;89.4;0.3;-3.2;-2.9
151;2003 4th quarter;100.5;89.0;89.4;0.6;-2.9;-2.3
152;2003;101.5;87.8;89.0;0.9;-2.4;-1.5
153;2004 January;100.0;85.9;85.9;-0.2;-2.6;-2.7
154;2004 February;100.4;86.0;86.4;0.2;-3.3;-3.1
155;2004 March;99.8;87.9;87.7;-0.8;-1.1;-1.8
156;2004 1st quarter;100.1;86.7;86.7;-0.3;-2.2;-2.5
157;2004 April;101.0;88.4;89.2;-1.2;1.3;0.1
158;2004 May;102.5;87.6;89.9;-1.3;2.6;1.3
159;2004 June;103.0;87.5;90.1;-0.2;2.6;2.4
160;2004 2nd quarter;102.2;87.8;89.8;-0.9;2.2;1.3
161;2004 July;100.5;89.1;89.6;-0.9;3.1;2.2
162;2004 August;100.7;90.3;90.9;-1.3;2.9;1.6
163;2004 September;100.7;91.4;92.0;-1.6;3.9;2.2
164;2004 3rd quarter;100.6;90.3;90.9;-1.3;3.3;2.0
165;2004 October;100.4;91.5;91.9;-0.6;3.5;2.9
166;2004 November;100.0;91.1;91.1;0.3;1.4;1.7
167;2004 December;102.1;89.5;91.3;1.2;0.9;2.2
168;2004 4th quarter;100.8;90.7;91.4;0.3;1.9;2.3
169;2004;100.9;88.9;89.7;-0.5;1.3;0.8
170;2005 January;100.9;88.0;88.8;0.9;2.4;3.3
171;2005 February;101.0;89.3;90.2;0.6;3.8;4.4
172;2005 March;99.9;91.6;91.5;0.1;4.3;4.3
173;2005 1st quarter;100.6;89.7;90.2;0.5;3.5;4.0
174;2005 April;101.4;90.9;92.1;0.4;2.8;3.2
175;2005 May;102.6;89.7;92.1;0.1;2.3;2.4
176;2005 June;102.0;90.5;92.3;-1.0;3.4;2.4
177;2005 2nd quarter;102.0;90.4;92.2;-0.2;2.9;2.7
178;2005 July;100.9;91.9;92.7;0.3;3.1;3.4
179;2005 August;101.3;92.9;94.1;0.6;2.9;3.5
180;2005 September;101.1;94.2;95.2;0.4;3.0;3.4
181;2005 3rd quarter;101.1;93.0;94.0;0.4;3.0;3.4
182;2005 October;101.2;94.0;95.1;0.8;2.7;3.5
183;2005 November;100.7;94.5;95.2;0.7;3.8;4.5
184;2005 December;102.5;94.6;97.0;0.3;5.8;6.2
185;2005 4th quarter;101.5;94.4;95.8;0.6;4.1;4.7
186;2005;101.3;91.9;93.1;0.3;3.4;3.7
187;2006 January;100.4;94.3;94.7;-0.5;7.1;6.6
188;2006 February;101.3;94.0;95.2;0.3;5.2;5.5
189;2006 March;100.2;95.1;95.3;0.4;3.7;4.1
190;2006 1st quarter;100.6;94.5;95.1;0.1;5.3;5.4
191;2006 April;101.2;94.8;96.0;-0.2;4.4;4.2
192;2006 May;102.1;94.7;96.6;-0.5;5.5;5.0
193;2006 June;101.4;94.6;95.9;-0.7;4.6;3.9
194;2006 2nd quarter;101.5;94.7;96.2;-0.5;4.8;4.3
195;2006 July;100.4;95.9;96.3;-0.5;4.4;3.9
196;2006 August;101.7;96.0;97.6;0.4;3.3;3.7
197;2006 September;101.3;95.3;96.5;0.2;1.2;1.4
198;2006 3rd quarter;101.1;95.7;96.8;0.0;2.9;2.9
199;2006 October;102.1;94.4;96.4;0.8;0.5;1.3
200;2006 November;101.3;95.7;96.9;0.5;1.3;1.8
201;2006 December;103.1;95.3;98.2;0.6;0.7;1.3
202;2006 4th quarter;102.1;95.1;97.1;0.7;0.8;1.5
203;2006;101.4;95.0;96.3;0.1;3.4;3.5
204;2007 January;101.9;94.3;96.1;1.5;0.0;1.5
205;2007 February;102.0;94.6;96.5;0.7;0.7;1.4
206;2007 March;100.7;96.3;96.9;0.4;1.3;1.7
207;2007 1st quarter;101.5;95.1;96.5;0.9;0.7;1.6
208;2007 April;101.2;95.8;97.0;0.0;1.0;1.0
209;2007 May;101.6;96.3;97.8;-0.5;1.7;1.2
210;2007 June;100.9;96.1;97.0;-0.5;1.6;1.1
211;2007 2nd quarter;101.2;96.1;97.2;-0.3;1.4;1.1
212;2007 July;101.1;96.5;97.6;0.7;0.6;1.4
213;2007 August;102.2;95.7;97.8;0.4;-0.3;0.2
214;2007 September;100.7;97.2;97.9;-0.5;2.0;1.5
215;2007 3rd quarter;101.3;96.5;97.8;0.2;0.8;1.0
216;2007 October;101.4;97.6;98.9;-0.7;3.3;2.7
217;2007 November;100.3;99.5;99.8;-0.9;3.9;3.0
218;2007 December;101.6;99.6;101.1;-1.5;4.5;3.0
219;2007 4th quarter;101.1;98.9;99.9;-1.0;3.9;2.8
220;2007;101.3;96.6;97.9;-0.1;1.7;1.7
221;2008 January;99.9;100.7;100.6;-1.9;6.7;4.6
222;2008 February;100.6;100.7;101.3;-1.4;6.4;4.9
223;2008 March;99.6;102.1;101.7;-1.0;6.0;4.9
224;2008 1st quarter;100.1;101.1;101.2;-1.4;6.3;4.8
225;2008 April;100.1;101.9;101.9;-1.1;6.4;5.1
226;2008 May;99.8;104.1;103.9;-1.8;8.2;6.3
227;2008 June;98.7;105.4;104.0;-2.2;9.7;7.3
228;2008 2nd quarter;99.5;103.8;103.3;-1.7;8.1;6.2
229;2008 July;99.3;105.5;104.7;-1.9;9.3;7.3
230;2008 August;100.3;104.5;104.9;-1.8;9.2;7.3
231;2008 September;100.7;103.2;104.0;0.0;6.2;6.2
232;2008 3rd quarter;100.1;104.4;104.5;-1.2;8.2;6.9
233;2008 October;102.2;100.9;103.1;0.8;3.4;4.2
234;2008 November;102.8;98.1;100.8;2.5;-1.4;1.1
235;2008 December;103.6;94.7;98.1;2.0;-4.9;-3.0
236;2008 4th quarter;102.9;98.1;100.8;1.8;-0.8;1.0
237;2008;100.6;101.9;102.5;-0.7;5.4;4.7
238;2009 January;103.5;92.4;95.6;3.6;-8.2;-4.9
239;2009 February;102.3;92.9;95.0;1.7;-7.8;-6.2
240;2009 March;101.8;92.6;94.3;2.2;-9.3;-7.3
241;2009 1st quarter;102.6;92.6;95.0;2.5;-8.4;-6.2
242;2009 April;102.1;91.0;92.9;2.0;-10.7;-8.9
243;2009 May;101.6;91.8;93.2;1.8;-11.9;-10.3
244;2009 June;100.9;93.3;94.1;2.2;-11.5;-9.5
245;2009 2nd quarter;101.5;92.0;93.4;2.0;-11.3;-9.5
246;2009 July;102.1;90.8;92.7;2.9;-13.9;-11.5
247;2009 August;101.4;92.1;93.4;1.1;-11.9;-11.0
248;2009 September;101.6;91.9;93.3;0.9;-11.0;-10.3
249;2009 3rd quarter;101.7;91.6;93.1;1.6;-12.3;-10.9
250;2009 October;101.5;93.1;94.5;-0.7;-7.7;-8.4
251;2009 November;101.7;93.5;95.0;-1.1;-4.7;-5.8
252;2009 December;101.2;94.0;95.1;-2.3;-0.8;-3.1
253;2009 4th quarter;101.4;93.5;94.9;-1.4;-4.6;-5.9
254;2009;101.8;92.4;94.1;1.2;-9.2;-8.2
255;2010 January;99.7;96.0;95.7;-3.7;3.9;0.1
256;2010 February;100.2;96.6;96.8;-2.0;3.9;1.9
257;2010 March;99.8;98.3;98.1;-2.0;6.2;4.1
258;2010 1st quarter;99.9;97.0;96.9;-2.6;4.8;2.1
259;2010 April;100.3;99.6;99.9;-1.8;9.5;7.5
260;2010 May;100.8;100.5;101.3;-0.8;9.5;8.6
261;2010 June;100.7;100.8;101.5;-0.1;8.0;7.8
262;2010 2nd quarter;100.6;100.3;100.9;-0.9;9.0;8.0
263;2010 July;99.9;99.8;99.7;-2.2;9.9;7.6
264;2010 August;100.0;100.2;100.3;-1.3;8.8;7.4
265;2010 September;100.3;100.2;100.5;-1.2;9.1;7.8
266;2010 3rd quarter;100.1;100.1;100.2;-1.6;9.3;7.6
267;2010 October;99.8;100.7;100.5;-1.6;8.1;6.4
268;2010 November;99.8;101.9;101.7;-1.8;9.0;7.0
269;2010 December;98.8;104.5;103.2;-2.4;11.2;8.5
270;2010 4th quarter;99.5;102.3;101.8;-1.9;9.4;7.3
271;2010;100.0;100.0;100.0;-1.8;8.2;6.3
272;2011 January;99.0;104.5;103.5;-0.7;8.9;8.1
273;2011 February;98.2;108.3;106.3;-2.1;12.2;9.8
274;2011 March;98.7;107.6;106.3;-1.1;9.5;8.3
275;2011 1st quarter;98.7;106.8;105.4;-1.3;10.1;8.7
276;2011 April;98.5;108.1;106.5;-1.7;8.5;6.6
277;2011 May;97.3;110.3;107.3;-3.4;9.7;6.0
278;2011 June;98.4;107.0;105.3;-2.3;6.2;3.8
279;2011 2nd quarter;98.1;108.4;106.4;-2.5;8.1;5.4
280;2011 July;98.1;107.7;105.7;-1.8;7.9;6.0
281;2011 August;98.4;106.7;105.1;-1.6;6.5;4.8
282;2011 September;97.3;109.0;106.1;-3.0;8.7;5.5
283;2011 3rd quarter;98.0;107.8;105.6;-2.1;7.7;5.4
284;2011 October;97.7;109.7;107.2;-2.1;9.0;6.7
285;2011 November;99.7;108.1;107.8;-0.1;6.1;6.0
286;2011 December;98.0;109.7;107.5;-0.9;5.1;4.1
287;2011 4th quarter;98.5;109.2;107.5;-1.0;6.7;5.6
288;2011;98.3;108.1;106.2;-1.7;8.1;6.2
289;2012 January;99.7;108.8;108.4;0.7;4.1;4.8
290;2012 February;98.1;112.4;110.2;-0.1;3.8;3.7
291;2012 March;98.7;111.4;110.0;0.0;3.5;3.5
292;2012 1st quarter;98.8;110.9;109.5;0.3;3.8;3.9
293;2012 April;98.0;111.5;109.3;0.2;3.1;2.6
294;2012 May;96.8;113.4;109.7;-0.5;2.8;2.2
295;2012 June;98.0;108.9;106.7;-0.6;1.8;1.3
296;2012 2nd quarter;97.6;111.3;108.6;0.1;2.6;2.1
297;2012 July;97.2;111.3;108.2;-0.5;3.3;2.4
298;2012 August;97.3;112.7;109.6;-0.5;5.6;4.3
299;2012 September;97.0;113.2;109.8;-0.9;3.8;3.5
300;2012 3rd quarter;97.1;112.4;109.2;0.6;4.2;3.4
301;2012 October;98.0;113.0;110.7;-1.2;3.0;3.2
302;2012 November;99.8;110.8;110.5;-0.3;2.5;2.5
303;2012 December;98.6;111.1;109.6;-0.8;1.3;1.9
304;2012 4th quarter;98.8;111.6;110.3;0.3;2.3;2.6
305;2012;98.1;111.5;109.4;-0.2;3.2;3.0
306;2013 January;99.9;109.2;109.2;0.3;0.4;0.7
307;2013 February;98.5;112.7;111.0;0.5;0.2;0.7
308;2013 March;99.3;110.1;109.3;0.6;-1.2;-0.6
309;2013 1st quarter;99.2;110.6;109.8;0.4;-0.2;0.2
310;2013 April;99.2;108.4;107.5;1.2;-2.8;-1.7
311;2013 May;97.4;111.4;108.5;0.6;-1.8;-1.2
312;2013 June;98.3;107.9;106.0;0.3;-1.0;-0.7
313;2013 2nd quarter;98.3;109.2;107.3;0.7;-1.8;-1.1
314;2013 July;97.6;109.5;106.8;0.4;-1.7;-1.3
315;2013 August;98.4;108.7;107.0;1.2;-3.5;-2.4
316;2013 September;97.6;110.0;107.3;0.7;-2.8;-2.2
317;2013 3rd quarter;97.9;109.4;107.0;0.7;-2.7;-2.0
318;2013 October;98.3;109.2;107.3;0.3;-3.4;-3.0
319;2013 November;99.5;107.9;107.4;-0.3;-2.6;-2.8
320;2013 December;99.2;108.7;107.9;0.6;-2.2;-1.5
321;2013 4th quarter;99.0;108.6;107.5;0.2;-2.7;-2.5
322;2013;98.6;109.4;107.9;0.5;-1.9;-1.4
323;2014 January;100.2;106.5;106.7;0.3;-2.5;-2.3
324;2014 February;98.8;109.4;108.1;0.3;-2.9;-2.6
325;2014 March;99.3;106.4;105.7;0.0;-3.3;-3.3
326;2014 1st quarter;99.4;107.4;106.8;0.2;-2.9;-2.7
327;2014 April;98.4;106.3;104.6;-0.8;-1.9;-2.7
328;2014 May;96.4;109.6;105.6;-1.0;-1.6;-2.6
329;2014 June;97.3;107.0;104.1;-1.0;-0.8;-1.8
330;2014 2nd quarter;97.3;107.6;104.7;-0.9;-1.5;-2.4
331;2014 July;97.8;107.3;104.9;0.2;-2.0;-1.8
332;2014 August;98.9;106.0;104.8;0.5;-2.5;-2.0
333;2014 September;97.9;107.2;105.0;0.3;-2.5;-2.2
334;2014 3rd quarter;98.2;106.9;104.9;0.3;-2.3;-2.0
335;2014 October;98.9;106.8;105.6;0.6;-2.1;-1.6
336;2014 November;100.2;104.3;104.5;0.7;-3.3;-2.6
337;2014 December;101.1;100.5;101.6;1.9;-7.5;-5.8
338;2014 4th quarter;100.0;104.0;103.9;1.1;-4.3;-3.3
339;2014;98.7;106.4;105.1;0.1;-2.8;-2.6
340;2015 January;102.8;97.4;100.2;2.6;-8.5;-6.1
341;2015 February;100.8;102.5;103.3;2.1;-6.3;-4.4
342;2015 March;101.0;102.3;103.3;1.8;-3.9;-2.2
343;2015 1st quarter;101.5;100.7;102.3;2.1;-6.2;-4.2
344;2015 April;100.9;102.6;103.5;2.6;-3.5;-1.0
345;2015 May;100.5;103.8;104.3;4.3;-5.3;-1.2
346;2015 June;100.7;101.8;102.5;3.5;-4.9;-1.6
347;2015 2nd quarter;100.7;102.7;103.4;3.4;-4.6;-1.3
348;2015 July;101.3;102.4;103.7;3.6;-4.6;-1.1
349;2015 August;101.9;99.0;100.9;3.1;-6.6;-3.7
350;2015 September;100.6;100.8;101.5;2.8;-6.0;-3.4
351;2015 3rd quarter;101.3;100.8;102.1;3.2;-5.7;-2.7
352;2015 October;101.8;99.0;100.8;2.9;-7.3;-4.6
353;2015 November;102.7;98.9;101.6;2.5;-5.2;-2.8
354;2015 December;100.3;98.1;98.4;-0.8;-2.4;-3.2
355;2015 4th quarter;101.6;98.7;100.3;1.6;-5.1;-3.5
356;2015;101.3;100.7;102.0;2.6;-5.4;-2.9
357;2016 January;104.9;92.2;96.7;2.1;-5.4;-3.5
358;2016 February;102.7;95.5;98.1;1.9;-6.9;-5.1
359;2016 March;103.1;94.4;97.3;2.0;-7.7;-5.8
360;2016 1st quarter;103.6;94.0;97.4;2.0;-6.7;-4.8
361;2016 April;102.1;93.7;95.6;1.2;-8.7;-7.6
362;2016 May;102.7;95.4;97.9;2.1;-8.1;-6.1
363;2016 June;101.9;95.8;97.6;1.2;-5.9;-4.7
364;2016 2nd quarter;102.2;95.0;97.1;1.5;-7.5;-6.1
365;2016 July;102.8;96.8;99.5;1.4;-5.5;-4.1
366;2016 August;103.1;95.2;98.2;1.1;-3.8;-2.7
367;2016 September;101.3;97.9;99.2;0.7;-2.9;-2.2
368;2016 3rd quarter;102.4;96.7;99.0;1.1;-4.1;-3.0
369;2016 October;102.4;98.1;100.4;0.6;-1.0;-0.4
370;2016 November;103.1;98.4;101.5;0.4;-0.4;0.0
371;2016 December;99.6;102.0;101.6;-0.6;4.0;3.3
372;2016 4th quarter;101.7;99.4;101.2;0.1;0.7;0.9
373;2016;102.4;96.3;98.7;1.2;-4.4;-3.3
374;2017 January;102.3;100.9;103.2;-2.4;9.4;6.8
375;2017 February;100.7;105.3;106.0;-2.0;10.3;8.1
376;2017 March;101.8;102.0;103.8;-1.2;8.0;6.7
377;2017 1st quarter;101.6;102.7;104.4;-1.9;9.3;7.2
378;2017 April;100.9;101.1;102.0;-1.1;7.9;6.7
379;2017 May;102.3;99.8;102.1;-0.3;4.6;4.3
380;2017 June;101.9;97.8;99.6;0.0;2.1;2.0
381;2017 2nd quarter;101.7;99.5;101.2;-0.5;4.7;4.2
382;2017 July;102.6;98.9;101.4;-0.2;2.2;2.0
383;2017 August;102.7;97.5;100.2;-0.3;2.4;2.0
384;2017 September;101.1;100.7;101.8;-0.3;2.8;2.6
385;2017 3rd quarter;102.1;99.0;101.1;-0.3;2.4;2.2
386;2017 October;102.5;99.9;102.4;0.1;1.9;2.0
387;2017 November;102.8;101.0;103.8;-0.3;2.6;2.2
388;2017 December;99.8;103.0;102.8;0.1;1.0;1.1
389;2017 4th quarter;101.7;101.2;103.0;0.0;1.8;1.8
390;2017;101.8;100.6;102.4;-0.6;4.5;3.8
391;2018 January;103.4;100.6;104.1;1.1;-0.3;0.8
392;2018 February;101.7;103.6;105.4;1.0;-1.6;-0.6
393;2018 March;102.6;100.8;103.3;0.7;-1.2;-0.5
394;2018 1st quarter;102.6;101.7;104.3;0.9;-1.0;-0.1
395;2018 April;100.8;100.8;101.6;-0.2;-0.2;-0.4
396;2018 May;102.5;102.4;104.9;0.2;2.6;2.7
397;2018 June;101.0;102.3;103.3;-0.9;4.6;3.7
398;2018 2nd quarter;101.4;101.9;103.3;-0.3;2.4;2.1
399;2018 July;101.5;103.8;105.4;-1.0;4.9;3.9
