ID;Geslacht;Onderwijssoort;Vooropleiding;Opleidingsfase;Perioden;Eerstejaarsstudenten_1
68;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2023/'24;40590.0
69;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Bachelor- en doctoraalopleidingen;2024/'25;43430.0
70;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2011/'12;10.0
71;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2012/'13;10.0
72;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2013/'14;10.0
73;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2014/'15;10.0
74;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2015/'16;10.0
75;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2016/'17;10.0
76;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2017/'18;10.0
77;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2018/'19;10.0
78;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2019/'20;20.0
79;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2020/'21;20.0
80;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2021/'22;20.0
81;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2022/'23;10.0
82;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2023/'24;20.0
83;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma;Master- en vervolgopleidingen;2024/'25;10.0
84;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2011/'12;320.0
85;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2012/'13;250.0
86;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2013/'14;290.0
87;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2014/'15;240.0
88;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2015/'16;220.0
89;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2016/'17;250.0
90;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2017/'18;140.0
91;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2018/'19;150.0
92;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2019/'20;160.0
93;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2020/'21;190.0
94;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2021/'22;110.0
95;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2022/'23;80.0
96;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2023/'24;70.0
97;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Opleidingsfase totaal;2024/'25;90.0
98;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2011/'12;320.0
99;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2012/'13;240.0
100;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2013/'14;280.0
101;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2014/'15;240.0
102;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2015/'16;210.0
103;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2016/'17;240.0
104;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2017/'18;140.0
105;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2018/'19;150.0
106;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2019/'20;150.0
107;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2020/'21;190.0
108;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2021/'22;110.0
109;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2022/'23;80.0
110;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2023/'24;70.0
111;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Bachelor- en doctoraalopleidingen;2024/'25;90.0
112;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2011/'12;10.0
113;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2012/'13;10.0
114;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2013/'14;10.0
115;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2014/'15;10.0
116;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2015/'16;10.0
117;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2016/'17;0.0
118;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2017/'18;0.0
119;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2018/'19;0.0
120;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2019/'20;10.0
121;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2020/'21;0.0
122;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2021/'22;0.0
123;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2022/'23;0.0
124;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2023/'24;0.0
125;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma zonder profiel;Master- en vervolgopleidingen;2024/'25;0.0
126;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2011/'12;7370.0
127;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2012/'13;6800.0
128;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2013/'14;7380.0
129;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2014/'15;6570.0
130;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2015/'16;5390.0
131;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2016/'17;5160.0
132;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2017/'18;5100.0
133;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2018/'19;5080.0
134;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2019/'20;5190.0
135;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2020/'21;6000.0
136;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2021/'22;5170.0
137;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2022/'23;5040.0
138;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2023/'24;5330.0
139;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Opleidingsfase totaal;2024/'25;6020.0
140;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2011/'12;7370.0
141;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2012/'13;6800.0
142;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2013/'14;7380.0
143;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2014/'15;6570.0
144;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2015/'16;5390.0
145;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2016/'17;5160.0
146;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2017/'18;5090.0
147;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2018/'19;5080.0
148;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2019/'20;5190.0
149;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2020/'21;5990.0
150;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2021/'22;5160.0
151;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2022/'23;5040.0
152;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2023/'24;5330.0
153;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Bachelor- en doctoraalopleidingen;2024/'25;6020.0
154;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2011/'12;0.0
155;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2012/'13;0.0
156;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2013/'14;0.0
157;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2014/'15;0.0
158;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2015/'16;0.0
159;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2016/'17;0.0
160;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2017/'18;0.0
161;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2018/'19;0.0
162;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2019/'20;0.0
163;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2020/'21;0.0
164;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2021/'22;0.0
165;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2022/'23;0.0
166;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2023/'24;0.0
167;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma cultuur en maatschappij;Master- en vervolgopleidingen;2024/'25;0.0
168;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2011/'12;19140.0
169;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2012/'13;19110.0
170;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2013/'14;21060.0
171;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2014/'15;19970.0
172;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2015/'16;17890.0
173;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2016/'17;19230.0
174;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2017/'18;19360.0
175;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2018/'19;20220.0
176;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2019/'20;20550.0
177;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2020/'21;23590.0
178;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2021/'22;19900.0
179;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2022/'23;18570.0
180;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2023/'24;18680.0
181;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Opleidingsfase totaal;2024/'25;19840.0
182;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2011/'12;19140.0
183;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2012/'13;19100.0
184;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2013/'14;21060.0
185;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2014/'15;19970.0
186;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2015/'16;17890.0
187;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2016/'17;19220.0
188;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2017/'18;19350.0
189;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2018/'19;20210.0
190;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2019/'20;20540.0
191;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2020/'21;23590.0
192;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2021/'22;19890.0
193;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2022/'23;18570.0
194;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2023/'24;18680.0
195;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Bachelor- en doctoraalopleidingen;2024/'25;19840.0
196;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2011/'12;0.0
197;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2012/'13;0.0
198;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2013/'14;0.0
199;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2014/'15;0.0
200;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2015/'16;0.0
201;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2016/'17;0.0
202;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2017/'18;0.0
203;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2018/'19;10.0
204;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2019/'20;0.0
205;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2020/'21;0.0
206;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2021/'22;10.0
207;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2022/'23;0.0
208;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2023/'24;0.0
209;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma economie en maatschappij;Master- en vervolgopleidingen;2024/'25;0.0
210;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma natuur en gezondheid;Opleidingsfase totaal;2011/'12;6730.0
211;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma natuur en gezondheid;Opleidingsfase totaal;2012/'13;7080.0
212;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma natuur en gezondheid;Opleidingsfase totaal;2013/'14;7930.0
213;Totaal mannen en vrouwen;Hoger onderwijs;Havo-diploma natuur en gezondheid;Opleidingsfase totaal;2014/'15;8200.0
