ID;Uitvalcategorie;VoertuigType;Perioden;TotaalAantalUitgevallenVoertuigen_1;JongerDan1Jaar_2;k_1Jaar_3;k_2Jaar_4;k_3Jaar_5;k_4Jaar_6;k_5Jaar_7;k_6Jaar_8;k_7Jaar_9;k_8Jaar_10;k_9Jaar_11;k_10Jaar_12;k_11Jaar_13;k_12Jaar_14;k_13Jaar_15;k_14Jaar_16;k_15Jaar_17;k_16Jaar_18;k_17Jaar_19;k_18Jaar_20;k_19Jaar_21;k_20Jaar_22;k_21Jaar_23;k_22Jaar_24;k_23Jaar_25;k_24JaarOfOuder_26
10;Totaal uitval;Bedrijfsmotorvoertuig;2021;60840;783;428;763;1261;1963;2805;2678;2484;2912;3271;3491;2879;2976;4651;4136;3165;2922;4007;3080;2593;1969;1614;1101;801;2107
11;Totaal uitval;Bedrijfsmotorvoertuig;2022;56550;1472;533;572;1150;1682;2415;2803;2733;2452;2966;3162;3239;2677;2751;4252;3631;2688;2518;3049;2299;1815;1482;1095;808;2306
12;Totaal uitval;Bedrijfsmotorvoertuig;2023;65082;1425;615;710;1062;2311;3061;4060;3995;3674;3311;3515;3649;3879;3157;2999;4417;3752;2692;2190;2678;1882;1530;1047;905;2566
13;Totaal uitval;Bedrijfsmotorvoertuig;2024;83338;782;668;659;1340;2006;3690;4744;4788;5346;4953;4456;4314;4644;4948;4315;4130;5986;4922;3270;2739;2844;1890;1447;1042;3415
14;Sloop;Personenauto;2018;195374;80;181;269;299;308;379;536;813;721;707;1124;1390;2730;4304;7016;10956;16832;21555;29094;30491;22897;15502;10677;6671;9842
15;Sloop;Personenauto;2019;184153;57;236;268;339;375;429;503;759;1036;973;895;1527;1921;3916;6153;9529;14301;19745;22206;27395;25674;17051;10863;7102;10900
16;Sloop;Personenauto;2020;172865;43;200;294;264;271;404;434;497;715;1003;1054;940;1644;2642;4992;8034;11928;16816;21121;21939;24190;20852;12652;7580;12356
17;Sloop;Personenauto;2021;174374;61;190;270;315;285;300;433;443;542;922;1097;1177;1281;2531;3856;7020;10502;15095;20095;23147;21765;21674;17230;9825;14318
18;Sloop;Personenauto;2022;140365;41;147;192;258;328;339;347;442;499;652;890;1331;1419;1692;3274;4947;8039;10749;14059;16890;18151;15750;14261;10939;14729
19;Sloop;Personenauto;2023;126323;61;170;234;250;318;373;405;435;578;667;787;1158;1798;1890;2351;4364;6107;9081;10964;13661;15085;14718;12347;10476;18045
20;Sloop;Personenauto;2024;145994;59;242;226;323;332;479;562;544;640;742;815;1021;1555;2475;2805;3589;6847;8972;12634;14336;16859;16774;15585;11875;25703
21;Sloop;Bedrijfsmotorvoertuig;2018;12962;30;84;82;85;88;101;123;159;137;186;398;433;469;556;1009;1182;1387;1575;1456;1329;929;571;264;89;240
22;Sloop;Bedrijfsmotorvoertuig;2019;12428;16;73;75;94;89;107;128;145;158;153;215;467;576;624;733;1215;1315;1331;1278;1154;998;675;381;178;250
23;Sloop;Bedrijfsmotorvoertuig;2020;12360;16;73;72;111;85;110;118;140;176;208;192;281;598;663;682;806;1342;1438;1381;1217;902;744;460;251;294
24;Sloop;Bedrijfsmotorvoertuig;2021;9967;16;32;65;88;91;97;90;107;111;151;194;195;244;531;642;666;715;1163;1205;949;865;625;442;291;392
25;Sloop;Bedrijfsmotorvoertuig;2022;7521;8;65;64;82;99;96;122;105;119;135;139;175;200;242;506;580;500;535;794;785;596;546;336;262;430
26;Sloop;Bedrijfsmotorvoertuig;2023;7614;13;43;93;76;87;117;142;139;148;155;154;185;255;250;295;611;634;564;545;722;644;528;391;283;540
27;Sloop;Bedrijfsmotorvoertuig;2024;9954;16;78;62;91;99;130;184;197;204;194;203;260;286;359;420;585;1010;931;752;755;787;666;477;385;823
28;Export;Personenauto;2018;219345;893;1712;2100;8982;15033;17468;8440;7377;6654;6218;10171;12048;16246;15692;13959;12975;11683;10912;10384;8779;5604;3404;2354;1596;8661
29;Export;Personenauto;2019;251104;2277;2692;3237;6792;23158;19642;9778;8845;10271;8732;8566;12325;13404;16608;15808;14114;12872;11524;10945;10899;8734;5530;3150;2134;9067
30;Export;Personenauto;2020;228835;769;2383;3140;7525;12992;27524;7983;6639;10012;11686;9605;8373;11848;12776;15236;13972;12136;10559;8883;7629;7373;5705;3474;1976;8637
31;Export;Personenauto;2021;260983;1005;1597;2493;7146;13808;13752;15131;7213;9266;13627;15720;12247;10236;13902;14927;16759;15904;14648;12734;10778;9345;8528;6498;3663;10056
32;Export;Personenauto;2022;260463;699;1533;1938;5963;15147;16263;9169;9997;9553;11630;15737;17153;13486;10607;13874;14172;15360;14378;13362;11285;9378;7485;6661;4867;10766
33;Export;Personenauto;2023;237875;889;1295;1902;4561;14264;20137;10263;6743;10312;10695;12546;15811;18350;13351;10353;11931;11727;11496;10360;9141;7351;5814;4378;3777;10428
34;Export;Personenauto;2024;239328;782;1780;2631;4155;11281;25013;10643;7078;7643;11758;12355;13967;16556;18085;13379;9957;10993;10428;9740;8717;7356;5846;4629;3367;11189
35;Export;Bedrijfsmotorvoertuig;2018;44026;809;374;593;1037;1477;1946;2166;2523;2083;2285;4094;3649;2814;2559;2984;2258;2105;1720;1594;1320;939;643;435;271;1348
36;Export;Bedrijfsmotorvoertuig;2019;49867;604;379;716;1320;2237;2269;2341;2976;3411;2707;2878;4460;4020;2896;2591;2831;2147;1983;1533;1377;1014;814;547;372;1444
37;Export;Bedrijfsmotorvoertuig;2020;46383;389;405;662;1112;1990;2384;2238;2319;2718;2979;2499;2560;4033;3339;2657;2177;2548;1950;1664;1263;1116;810;612;406;1553
38;Export;Bedrijfsmotorvoertuig;2021;46229;679;326;621;1075;1716;2461;2242;2055;2486;2770;2991;2427;2488;3792;3271;2331;2072;2677;1788;1537;1025;896;618;460;1425
39;Export;Bedrijfsmotorvoertuig;2022;44834;1402;388;452;981;1472;2073;2304;2328;2062;2565;2730;2777;2248;2328;3493;2872;2076;1862;2135;1433;1132;860;713;510;1638
40;Export;Bedrijfsmotorvoertuig;2023;53424;1225;440;562;937;2115;2732;3564;3516;3261;2934;3124;3240;3381;2731;2564;3624;2947;2038;1558;1866;1187;936;616;584;1742
41;Export;Bedrijfsmotorvoertuig;2024;69402;576;490;558;1165;1810;3351;4191;4237;4846;4506;4057;3876;4134;4405;3743;3420;4823;3879;2431;1907;1996;1176;923;615;2287
42;Buiten de normale registratie gesteld;Personenauto;2018;1262;240;43;36;46;53;45;38;47;46;38;40;49;54;47;50;33;34;36;50;51;52;37;23;21;53
43;Buiten de normale registratie gesteld;Personenauto;2019;1237;216;49;44;64;51;39;49;60;37;41;31;47;42;48;33;33;35;47;38;61;46;37;35;20;34
44;Buiten de normale registratie gesteld;Personenauto;2020;1055;201;43;44;37;51;43;36;37;36;45;37;32;30;37;43;42;35;36;38;28;28;27;16;13;40
45;Buiten de normale registratie gesteld;Personenauto;2021;1011;145;33;29;45;53;54;54;43;42;42;45;38;33;39;35;31;27;34;32;32;31;32;22;11;29
46;Buiten de normale registratie gesteld;Personenauto;2022;1096;191;39;29;37;55;54;51;40;46;43;43;51;39;36;42;41;36;32;31;38;29;20;22;17;34
47;Buiten de normale registratie gesteld;Personenauto;2023;1057;199;33;27;28;44;51;54;41;47;32;35;40;36;32;27;28;34;31;42;28;33;29;31;22;53
48;Buiten de normale registratie gesteld;Personenauto;2024;1128;214;50;39;40;45;58;56;38;49;39;31;30;42;29;33;19;32;34;41;34;28;32;28;19;68
49;Buiten de normale registratie gesteld;Bedrijfsmotorvoertuig;2018;544;1;2;0;0;1;3;5;5;16;19;33;39;37;39;47;49;28;49;35;35;27;13;10;8;43
50;Buiten de normale registratie gesteld;Bedrijfsmotorvoertuig;2019;476;0;0;1;2;1;2;8;10;17;19;33;39;31;37;30;53;29;36;26;23;23;10;5;12;29
51;Buiten de normale registratie gesteld;Bedrijfsmotorvoertuig;2020;468;2;1;1;1;5;0;1;7;12;22;17;23;39;35;49;28;41;18;23;25;25;26;13;11;43
52;Buiten de normale registratie gesteld;Bedrijfsmotorvoertuig;2021;70;0;1;1;0;0;0;1;1;0;0;2;3;3;5;8;6;4;2;4;6;5;5;4;2;7
53;Buiten de normale registratie gesteld;Bedrijfsmotorvoertuig;2022;59;0;0;0;0;1;6;2;3;2;2;1;4;0;2;4;2;0;3;6;2;4;5;1;1;8
54;Buiten de normale registratie gesteld;Bedrijfsmotorvoertuig;2023;83;0;2;0;0;1;1;4;5;4;1;1;2;2;2;2;5;5;7;4;6;2;8;4;2;13
55;Buiten de normale registratie gesteld;Bedrijfsmotorvoertuig;2024;67;6;2;2;2;1;0;3;5;0;6;0;2;1;2;0;4;4;4;3;3;3;2;0;0;12
56;Overige uitval;Personenauto;2018;1621;10;23;20;18;26;21;25;31;32;25;35;37;57;59;67;83;91;88;109;117;78;78;64;36;391
57;Overige uitval;Personenauto;2019;1522;6;16;13;18;23;19;20;26;35;27;27;31;65;77;53;82;77;88;86;113;100;91;51;43;335
58;Overige uitval;Personenauto;2020;1758;0;11;14;20;28;25;20;23;33;24;40;30;59;71;98;100;107;98;121;109;104;115;75;58;375
59;Overige uitval;Personenauto;2021;1919;7;9;13;15;17;21;24;31;22;39;24;49;35;67;91;135;115;120;134;107;150;131;124;60;379
60;Overige uitval;Personenauto;2022;1407;4;7;9;8;13;22;15;15;24;21;59;26;38;44;69;83;79;63;64;97;87;61;70;71;358
61;Overige uitval;Personenauto;2023;1311;2;16;20;12;11;19;18;15;21;22;21;36;29;36;35;43;67;63;76;67;57;71;63;48;443
62;Overige uitval;Personenauto;2024;1193;3;7;13;14;13;16;12;16;11;23;20;22;29;32;27;28;53;44;65;69;56;68;67;59;426
63;Overige uitval;Bedrijfsmotorvoertuig;2018;2739;93;40;25;40;55;97;208;177;173;142;262;186;127;133;151;101;91;95;68;67;54;36;30;29;259
64;Overige uitval;Bedrijfsmotorvoertuig;2019;2972;128;56;37;54;57;134;174;262;208;189;182;237;183;130;118;99;89;99;63;66;63;48;27;32;237
65;Overige uitval;Bedrijfsmotorvoertuig;2020;3491;52;82;46;71;106;164;216;230;265;258;213;192;247;224;172;117;112;102;102;75;66;54;49;32;244
66;Overige uitval;Bedrijfsmotorvoertuig;2021;4574;88;69;76;98;156;247;345;321;315;350;304;254;241;323;215;162;131;165;83;101;74;88;37;48;283
67;Overige uitval;Bedrijfsmotorvoertuig;2022;4136;62;80;56;87;110;240;375;297;269;264;292;283;229;179;249;177;112;118;114;79;83;71;45;35;230
68;Overige uitval;Bedrijfsmotorvoertuig;2023;3961;187;130;55;49;108;211;350;335;261;221;236;222;241;174;138;177;166;83;83;84;49;58;36;36;271
69;Overige uitval;Bedrijfsmotorvoertuig;2024;3915;184;98;37;82;96;209;366;349;296;247;196;176;223;182;152;121;149;108;84;74;58;46;47;42;293
