ID;HoutTextielEdelsteenEnMetaal;WereldEUEnNietEU;Perioden;Invoerwaarde_1;Invoerhoeveelheid_2;Uitvoerwaarde_3;Uitvoerhoeveelheid_4;EenheidVanGoederensoort_5
69;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 mei;;;;;                         
70;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 juni;;;;;                         
71;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 juli;;;;;                         
72;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 augustus;;;;;                         
73;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 september;;;;;                         
74;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 oktober;;;;;                         
75;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 november;;;;;                         
76;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 december;;;;;                         
77;4101201000 Gehele huiden en vellen, v...;Totaal landen;2013 ;;;;;                         
78;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014 januari;;;;;                         
79;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014 februari;;;;;                         
80;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014 maart;;;;;                         
81;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014 april;;;;;                         
82;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014 mei;;;;;                         
83;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014 juni;;;;;                         
84;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014 juli;;;;;                         
85;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014 augustus;;;;;                         
86;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014 september;;;;;                         
87;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014 oktober;;;;;                         
88;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014 november;;;;;                         
89;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014 december;;;;;                         
90;4101201000 Gehele huiden en vellen, v...;Totaal landen;2014;;;;;                         
91;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015 januari;;;;;                         
92;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015 februari;;;;;                         
93;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015 maart;;;;;                         
94;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015 april;;;;;                         
95;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015 mei;;;;;                         
96;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015 juni;;;;;                         
97;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015 juli;;;;;                         
98;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015 augustus;;;;;                         
99;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015 september;;;;;                         
100;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015 oktober;;;;;                         
101;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015 november;;;;;                         
102;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015 december;;;;;                         
103;4101201000 Gehele huiden en vellen, v...;Totaal landen;2015;;;;;                         
104;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016 januari;;;;;                         
105;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016 februari;;;;;                         
106;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016 maart;;;;;                         
107;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016 april;;;;;                         
108;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016 mei;;;;;                         
109;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016 juni;;;;;                         
110;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016 juli;;;;;                         
111;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016 augustus;;;;;                         
112;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016 september;;;;;                         
113;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016 oktober;;;;;                         
114;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016 november;;;;;                         
115;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016 december;;;;;                         
116;4101201000 Gehele huiden en vellen, v...;Totaal landen;2016;;;;;                         
117;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017 januari;;;;;                         
118;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017 februari;;;;;                         
119;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017 maart;;;;;                         
120;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017 april;;;;;                         
121;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017 mei;;;;;                         
122;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017 juni;;;;;                         
123;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017 juli;;;;;                         
124;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017 augustus;;;;;                         
125;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017 september;;;;;                         
126;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017 oktober;;;;;                         
127;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017 november;;;;;                         
128;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017 december;;;;;                         
129;4101201000 Gehele huiden en vellen, v...;Totaal landen;2017;;;;;                         
130;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018 januari;;;;;                         
131;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018 februari;;;;;                         
132;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018 maart;;;;;                         
133;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018 april;;;;;                         
134;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018 mei;;;;;                         
135;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018 juni;;;;;                         
136;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018 juli;;;;;                         
137;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018 augustus;;;;;                         
138;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018 september;;;;;                         
139;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018 oktober;;;;;                         
140;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018 november;;;;;                         
141;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018 december;;;;;                         
142;4101201000 Gehele huiden en vellen, v...;Totaal landen;2018;;;;;                         
143;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019 januari;;;;;                         
144;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019 februari;;;;;                         
145;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019 maart;;;;;                         
146;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019 april;;;;;                         
147;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019 mei;;;;;                         
148;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019 juni;;;;;                         
149;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019 juli;;;;;                         
150;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019 augustus;;;;;                         
151;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019 september;;;;;                         
152;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019 oktober;;;;;                         
153;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019 november;;;;;                         
154;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019 december;;;;;                         
155;4101201000 Gehele huiden en vellen, v...;Totaal landen;2019;;;;;                         
156;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020 januari;;;;;                         
157;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020 februari;;;;;                         
158;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020 maart;;;;;                         
159;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020 april;;;;;                         
160;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020 mei;;;;;                         
161;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020 juni;;;;;                         
162;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020 juli;;;;;                         
163;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020 augustus;;;;;                         
164;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020 september;;;;;                         
165;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020 oktober;;;;;                         
166;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020 november;;;;;                         
167;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020 december;;;;;                         
168;4101201000 Gehele huiden en vellen, v...;Totaal landen;2020;;;;;                         
169;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021 januari;;;;;                         
170;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021 februari;;;;;                         
171;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021 maart;;;;;                         
172;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021 april;;;;;                         
173;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021 mei;;;;;                         
174;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021 juni;;;;;                         
175;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021 juli;;;;;                         
176;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021 augustus;;;;;                         
177;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021 september ;;;;;                         
178;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021 oktober;;;;;                         
179;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021 november;;;;;                         
180;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021 december;;;;;                         
181;4101201000 Gehele huiden en vellen, v...;Totaal landen;2021;;;;;                         
182;4101201000 Gehele huiden en vellen, v...;Totaal landen;2022 januari;;;;;                         
183;4101201000 Gehele huiden en vellen, v...;Totaal landen;2022 februari;;;;;                         
184;4101201000 Gehele huiden en vellen, v...;Totaal landen;2022 maart;;;;;                         
185;4101201000 Gehele huiden en vellen, v...;Totaal landen;2022 april;;;;;                         
186;4101201000 Gehele huiden en vellen, v...;Totaal landen;2022 mei;;;;;                         
187;4101201000 Gehele huiden en vellen, v...;Totaal landen;2022 juni;;;;;                         
188;4101201000 Gehele huiden en vellen, v...;Totaal landen;2022 juli;;;;;                         
189;4101201000 Gehele huiden en vellen, v...;Totaal landen;2022 augustus;;;;;                         
190;4101201000 Gehele huiden en vellen, v...;Totaal landen;2022 januari-augustus;;;;;                         
191;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008 januari;118.0;3764.0;;;stuks                    
192;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008 februari;35.0;1105.0;;;stuks                    
193;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008 maart;1.0;52.0;;;stuks                    
194;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008 april;38.0;1109.0;;;stuks                    
195;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008 mei;1.0;40.0;;;stuks                    
196;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008 juni;1.0;51.0;;;stuks                    
197;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008 juli;0.0;20.0;;;stuks                    
198;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008 augustus;0.0;36.0;;;stuks                    
199;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008 september;0.0;17.0;;;stuks                    
200;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008 oktober;0.0;30.0;;;stuks                    
201;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008 november;0.0;32.0;;;stuks                    
202;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008 december;1.0;64.0;;;stuks                    
203;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2008;196.0;6320.0;;;stuks                    
204;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009 januari;;;0.0;1.0;stuks                    
205;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009 februari;;;;;                         
206;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009 maart;25.0;3032.0;;;stuks                    
207;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009 april;;;;;                         
208;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009 mei;;;;;                         
209;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009 juni;;;;;                         
210;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009 juli;;;;;                         
211;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009 augustus;;;;;                         
212;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009 september;;;;;                         
213;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009 oktober;;;;;                         
214;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009 november;;;;;                         
215;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009 december;;;;;                         
216;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2009;25.0;3032.0;0.0;1.0;stuks                    
217;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010 januari;;;;;                         
218;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010 februari;;;;;                         
219;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010 maart;;;;;                         
220;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010 april;157.0;3440.0;;;stuks                    
221;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010 mei;320.0;6577.0;;;stuks                    
222;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010 juni;170.0;3402.0;;;stuks                    
223;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010 juli;;;;;                         
224;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010 augustus;;;;;                         
225;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010 september;;;;;                         
226;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010 oktober;;;;;                         
227;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010 november;;;;;                         
228;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010 december;2431.0;42690.0;2363.0;37407.0;stuks                    
229;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2010;3078.0;56109.0;2363.0;37407.0;stuks                    
230;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011 januari;2928.0;48375.0;3477.0;48293.0;stuks                    
231;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011 februari;97.0;1759.0;;;stuks                    
232;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011 maart;;;2.0;1.0;stuks                    
233;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011 april;;;0.0;0.0;stuks                    
234;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011 mei;;;;;                         
235;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011 juni;103.0;1713.0;;;stuks                    
236;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011 juli;184.0;3206.0;0.0;0.0;stuks                    
237;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011 augustus;90.0;1630.0;2.0;1.0;stuks                    
238;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011 september;189.0;3582.0;;;stuks                    
239;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011 oktober;280.0;5481.0;2.0;1.0;stuks                    
240;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011 november;304.0;6193.0;2.0;1.0;stuks                    
241;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011 december;213.0;4604.0;187.0;13086.0;stuks                    
242;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2011;4387.0;76543.0;3673.0;61383.0;stuks                    
243;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012 januari;;;;;                         
244;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012 februari;;;;;                         
245;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012 maart;;;;;                         
246;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012 april;;;;;                         
247;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012 mei;;;;;                         
248;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012 juni;;;;;                         
249;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012 juli;;;;;                         
250;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012 augustus;;;;;                         
251;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012 september;;;;;                         
252;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012 oktober;;;;;                         
253;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012 november;;;;;                         
254;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012 december;;;;;                         
255;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2012;;;;;                         
256;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 januari;;;;;                         
257;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 februari;;;;;                         
258;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 maart;;;;;                         
259;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 april;;;;;                         
260;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 mei;;;;;                         
261;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 juni;;;;;                         
262;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 juli;;;;;                         
263;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 augustus;;;;;                         
264;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 september;;;;;                         
265;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 oktober;;;;;                         
266;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 november;;;;;                         
267;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 december;;;;;                         
268;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2013 ;;;;;                         
269;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014 januari;;;;;                         
270;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014 februari;;;;;                         
271;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014 maart;;;;;                         
272;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014 april;;;;;                         
273;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014 mei;;;;;                         
274;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014 juni;;;;;                         
275;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014 juli;;;;;                         
276;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014 augustus;;;;;                         
277;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014 september;;;;;                         
278;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014 oktober;;;;;                         
279;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014 november;;;;;                         
280;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014 december;;;;;                         
281;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2014;;;;;                         
282;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015 januari;;;;;                         
283;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015 februari;;;;;                         
284;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015 maart;;;;;                         
285;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015 april;;;;;                         
286;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015 mei;;;;;                         
287;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015 juni;;;;;                         
288;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015 juli;;;;;                         
289;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015 augustus;;;;;                         
290;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015 september;;;;;                         
291;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015 oktober;;;;;                         
292;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015 november;;;;;                         
293;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015 december;;;;;                         
294;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2015;;;;;                         
295;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2016 januari;;;;;                         
296;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2016 februari;;;;;                         
297;4101201000 Gehele huiden en vellen, v...;EU (exclusief Nederland);2016 maart;;;;;                         
