ID;HuishoudensKenmerken;Perioden;Vermogenssaldo_1;Totaal_2;ChartaalGeldEnDepositoS_3;Schuldbewijzen_4;Leningen_5;AandelenEnOverigeDeelnemingen_6;VerzekeringsPensioenregelingen_7;FinancieleDerivatenEnAandelenopties_8;OverigeVorderingen_9;Totaal_10;Leningen_11;FinancieleDerivatenEnAandelenopties_12;OverigeSchulden_13;Totaal_14;WoningenEnGrondOnderWoningen_15;OverigeNietFinancieleActiva_16;Vermogenssaldo_17;Totaal_18;ChartaalGeldEnDepositoS_19;Schuldbewijzen_20;Leningen_21;AandelenEnOverigeDeelnemingen_22;VerzekeringsPensioenregelingen_23;FinancieleDerivatenEnAandelenopties_24;OverigeVorderingen_25;Totaal_26;Leningen_27;FinancieleDerivatenEnAandelenopties_28;OverigeSchulden_29;Totaal_30;WoningenEnGrondOnderWoningen_31;OverigeNietFinancieleActiva_32;Vermogenssaldo_33;Totaal_34;ChartaalGeldEnDepositoS_35;Schuldbewijzen_36;Leningen_37;AandelenEnOverigeDeelnemingen_38;VerzekeringsPensioenregelingen_39;FinancieleDerivatenEnAandelenopties_40;OverigeVorderingen_41;Totaal_42;Leningen_43;FinancieleDerivatenEnAandelenopties_44;OverigeSchulden_45;Totaal_46;WoningenEnGrondOnderWoningen_47;OverigeNietFinancieleActiva_48;Vermogenssaldo_49;Totaal_50;ChartaalGeldEnDepositoS_51;Schuldbewijzen_52;Leningen_53;AandelenEnOverigeDeelnemingen_54;VerzekeringsPensioenregelingen_55;FinancieleDerivatenEnAandelenopties_56;OverigeVorderingen_57;Totaal_58;Leningen_59;FinancieleDerivatenEnAandelenopties_60;OverigeSchulden_61;Totaal_62;WoningenEnGrondOnderWoningen_63;OverigeNietFinancieleActiva_64
73;Eenpersoonshuishouden: vrouw;2008;212799;122670;45081;2892;1087;24152;46473;56;2929;46717;43212;1;3505;136846;132190;4656;153.3;88.3;32.5;2.1;0.8;17.4;33.5;0.0;2.1;33.6;31.1;0.0;2.5;98.6;95.2;3.4;153.3;88.3;32.5;2.1;0.8;17.4;33.5;0.0;2.1;33.6;31.1;0.0;2.5;98.6;95.2;3.4;100;57.6;21.2;1.4;0.5;11.3;21.8;0.0;1.4;22.0;20.3;0.0;1.6;64.3;62.1;2.2
74;Eenpersoonshuishouden: vrouw;2009;211273;120888;47366;2429;1114;21727;45173;49;3031;48293;44316;1;3976;138678;130338;8340;150.0;85.9;33.6;1.7;0.8;15.4;32.1;0.0;2.2;34.3;31.5;0.0;2.8;98.5;92.6;5.9;150.0;85.8;33.6;1.7;0.8;15.4;32.1;0.0;2.2;34.3;31.5;0.0;2.8;98.5;92.5;5.9;100;57.2;22.4;1.1;0.5;10.3;21.4;0.0;1.4;22.9;21.0;0.0;1.9;65.6;61.7;3.9
75;Eenpersoonshuishouden: vrouw;2010;221696;132917;51128;2185;1156;23076;52476;63;2834;47321;43555;6;3761;136100;127226;8874;156.5;93.8;36.1;1.5;0.8;16.3;37.0;0.0;2.0;33.4;30.7;0.0;2.7;96.1;89.8;6.3;156.5;93.8;36.1;1.5;0.8;16.3;37.0;0.0;2.0;33.4;30.7;0.0;2.7;96.1;89.8;6.3;100;60.0;23.1;1.0;0.5;10.4;23.7;0.0;1.3;21.3;19.6;0.0;1.7;61.4;57.4;4.0
76;Eenpersoonshuishouden: vrouw;2011;235962;149834;50362;1580;971;20312;74353;54;2203;48062;44833;1;3228;134190;125746;8444;163.7;104.0;34.9;1.1;0.7;14.1;51.6;0.0;1.5;33.4;31.1;0.0;2.2;93.1;87.3;5.9;163.7;104.0;34.9;1.1;0.7;14.1;51.6;0.0;1.5;33.4;31.1;0.0;2.2;93.1;87.3;5.9;100;62.6;21.1;0.7;0.4;8.5;31.1;0.0;0.9;20.4;19.0;0.0;1.3;56.1;52.6;3.5
77;Eenpersoonshuishouden: vrouw;2012;233740;155607;51528;1347;939;20301;79207;46;2240;49175;45689;1;3485;127308;120089;7219;160.5;106.8;35.4;0.9;0.6;13.9;54.4;0.0;1.5;33.8;31.4;0.0;2.4;87.4;82.4;5.0;160.5;106.8;35.4;0.9;0.6;13.9;54.4;0.0;1.5;33.8;31.4;0.0;2.4;87.4;82.4;5.0;100;66.6;22.0;0.6;0.4;8.7;33.9;0.0;1.0;21.0;19.5;0.0;1.5;54.5;51.4;3.1
78;Eenpersoonshuishouden: vrouw;2013;226099;152999;51842;890;930;20247;76618;49;2423;49349;45174;1;4174;122449;112990;9459;155.9;105.5;35.8;0.6;0.6;14.0;52.8;0.0;1.7;34.0;31.2;0.0;2.9;84.4;77.9;6.5;155.9;105.5;35.8;0.6;0.6;14.0;52.8;0.0;1.7;34.0;31.2;0.0;2.9;84.4;77.9;6.5;100;67.7;22.9;0.4;0.4;9.0;33.9;0.0;1.1;21.8;20.0;0.0;1.8;54.2;50.0;4.2
79;Eenpersoonshuishouden: vrouw;2014;252969;187997;56631;1163;1037;36345;89899;88;2833;49658;44939;0;4719;114630;110914;3717;170.7;126.9;38.2;0.8;0.7;24.5;60.7;0.1;1.9;33.5;30.3;0.0;3.2;77.4;74.9;2.5;170.7;126.9;38.2;0.8;0.7;24.5;60.7;0.1;1.9;33.5;30.3;0.0;3.2;77.4;74.9;2.5;100;74.3;22.4;0.5;0.4;14.4;35.5;0.0;1.1;19.6;17.8;0.0;1.9;45.3;43.8;1.5
80;Eenouderhuishouden;2005;69928;44310;11170;1063;292;9913;19378;22;2471;22483;20308;1;2174;48102;44460;3642;158.0;100.1;25.2;2.4;0.7;22.4;43.8;0.0;5.6;50.8;45.9;0.0;4.9;108.7;100.5;8.2;107.3;68.0;17.1;1.6;0.4;15.2;29.7;0.0;3.8;34.5;31.2;0.0;3.3;73.8;68.2;5.6;100;63.4;16.0;1.5;0.4;14.2;27.7;0.0;3.5;32.2;29.0;0.0;3.1;68.8;63.6;5.2
81;Eenouderhuishouden;2006;69666;40915;11930;598;313;5687;20870;13;1505;24407;23221;9;1177;53157;49437;3721;154.9;91.0;26.5;1.3;0.7;12.6;46.4;0.0;3.3;54.3;51.6;0.0;2.6;118.2;109.9;8.3;105.0;61.7;18.0;0.9;0.5;8.6;31.5;0.0;2.3;36.8;35.0;0.0;1.8;80.1;74.5;5.6;100;58.7;17.1;0.9;0.4;8.2;30.0;0.0;2.2;35.0;33.3;0.0;1.7;76.3;71.0;5.3
82;Eenouderhuishouden;2007;71810;41235;11787;743;299;6567;20054;16;1769;26819;25257;8;1554;57393;53796;3597;158.1;90.8;26.0;1.6;0.7;14.5;44.2;0.0;3.9;59.1;55.6;0.0;3.4;126.4;118.5;7.9;107.3;61.6;17.6;1.1;0.4;9.8;30.0;0.0;2.6;40.1;37.8;0.0;2.3;85.8;80.4;5.4;100;57.4;16.4;1.0;0.4;9.1;27.9;0.0;2.5;37.3;35.2;0.0;2.2;79.9;74.9;5.0
83;Eenouderhuishouden;2008;82320;55501;12945;1383;312;11553;26096;27;3185;33812;30001;0;3811;60631;58160;2471;176.6;119.1;27.8;3.0;0.7;24.8;56.0;0.1;6.8;72.5;64.4;0.0;8.2;130.1;124.8;5.3;120.1;81.0;18.9;2.0;0.5;16.9;38.1;0.0;4.6;49.3;43.8;0.0;5.6;88.4;84.8;3.6;100;67.4;15.7;1.7;0.4;14.0;31.7;0.0;3.9;41.1;36.4;0.0;4.6;73.7;70.7;3.0
84;Eenouderhuishouden;2009;78286;52335;13596;1033;320;9242;25227;21;2896;36349;32549;0;3800;62300;58798;3502;163.2;109.1;28.4;2.2;0.7;19.3;52.6;0.0;6.0;75.8;67.9;0.0;7.9;129.9;122.6;7.3;110.9;74.2;19.3;1.5;0.5;13.1;35.7;0.0;4.1;51.5;46.1;0.0;5.4;88.3;83.3;5.0;100;66.9;17.4;1.3;0.4;11.8;32.2;0.0;3.7;46.4;41.6;0.0;4.9;79.6;75.1;4.5
85;Eenouderhuishouden;2010;80314;57244;14562;748;329;7897;30161;22;3524;38500;33820;2;4677;61570;58240;3330;167.1;119.1;30.3;1.6;0.7;16.4;62.8;0.0;7.3;80.1;70.4;0.0;9.7;128.1;121.2;6.9;113.5;80.9;20.6;1.1;0.5;11.2;42.6;0.0;5.0;54.4;47.8;0.0;6.6;87.0;82.3;4.7;100;71.3;18.1;0.9;0.4;9.8;37.6;0.0;4.4;47.9;42.1;0.0;5.8;76.7;72.5;4.1
86;Eenouderhuishouden;2011;87521;64215;15224;786;293;10107;35257;27;2519;38539;34848;0;3691;61846;58750;3096;175.4;128.7;30.5;1.6;0.6;20.3;70.6;0.1;5.0;77.2;69.8;0.0;7.4;123.9;117.7;6.2;119.3;87.5;20.8;1.1;0.4;13.8;48.1;0.0;3.4;52.5;47.5;0.0;5.0;84.3;80.1;4.2;100;71.8;17.0;0.9;0.3;11.3;39.4;0.0;2.8;44.0;39.8;0.0;4.1;69.1;65.7;3.5
