ID;Bronnen;Perioden;CO2_1;NMVOS_2;CH4_3;SO2_4;N2O_5;CO_6;NOx_7;NH3_8;PM10_9;PM25_10
32;Stationaire bronnen, totaal;2006;143400;205.41;769.1;58.3;48.0;267.3;157.1;152.0;27.07;16.05
33;Stationaire bronnen, totaal;2007;143600;210.68;770.99;55.3;42.66;252.9;145.7;148.39;26.51;15.0
34;Stationaire bronnen, totaal;2008;147900;208.44;780.25;47.8;30.03;264.0;143.8;136.12;26.35;14.86
35;Stationaire bronnen, totaal;2009;145500;212.59;773.66;35.4;29.48;213.1;131.6;132.21;25.34;14.28
36;Stationaire bronnen, totaal;2010;157800;226.74;770.9;32.9;28.48;251.9;134.1;129.99;26.08;14.97
37;Stationaire bronnen, totaal;2011;144300;222.21;748.26;33.3;27.72;217.5;123.1;128.27;24.93;13.69
38;Stationaire bronnen, totaal;2012;143000;218.55;731.8;33.6;27.15;216.7;119.8;122.87;24.64;13.28
39;Stationaire bronnen, totaal;2013 ;142900;219.91;731.19;29.3;27.9;206.1;119.2;120.36;25.0;13.61
40;Stationaire bronnen, totaal;2014 ;136800;205.98;713.83;28.8;28.43;183.7;110.1;124.09;24.02;12.5
41;Stationaire bronnen, totaal;2015 ;143400;215.47;721.91;30.0;29.17;196.5;113.4;125.51;24.28;12.89
42;Stationaire bronnen, totaal;2016 ;144400;212.14;726.77;27.9;28.17;191.8;108.1;126.72;24.14;12.81
43;Stationaire bronnen, totaal;2017 ;141400;212.78;713.65;26.3;28.94;180.3;102.4;128.45;23.87;12.66
44;Stationaire bronnen, totaal;2018 ;137200;207.28;689.84;24.4;28.23;181.0;100.1;126.33;23.76;12.62
45;Stationaire bronnen, totaal;2019 ;133800;204.01;685.41;22.1;27.83;180.5;96.0;120.99;23.07;12.22
46;Stationaire bronnen, totaal;2020 ;125400;240.19;675.08;19.0;27.37;164.3;90.5;120.29;21.83;11.32
47;Stationaire bronnen, totaal;2021 ;131200;248.14;665.77;20.2;26.22;166.8;91.2;118.77;20.48;10.84
48;Energiesector;1990;52900;33.03;80.02;112.7;0.42;11.3;103.9;0.01;7.94;6.03
49;Energiesector;1995;61400;27.82;80.15;78.3;0.46;11.1;83.2;0.01;5.35;4.17
50;Energiesector;2000;63300;28.04;41.15;48.2;0.42;18.0;64.9;0.02;3.65;2.57
51;Energiesector;2001;67600;20.21;40.87;50.6;0.46;15.9;62.7;0.03;3.3;2.51
52;Energiesector;2002;68100;18.56;39.4;44.4;0.48;19.7;62.9;0.02;2.94;2.06
53;Energiesector;2003;69000;17.05;38.84;43.7;0.48;19.8;63.8;0.07;3.29;2.36
54;Energiesector;2004;70900;15.32;37.29;43.1;0.49;12.9;56.6;0.08;2.41;1.69
55;Energiesector;2005;69600;19.68;40.06;42.1;0.54;13.7;55.2;0.19;2.15;1.65
56;Energiesector;2006;64400;17.75;36.27;42.2;0.5;11.9;52.0;0.0;2.08;1.87
57;Energiesector;2007;66100;16.88;38.74;38.7;0.52;8.8;43.4;0.01;1.76;1.26
58;Energiesector;2008;66000;16.4;40.35;32.1;0.49;10.6;38.1;0.05;1.67;1.22
59;Energiesector;2009;65600;14.45;35.36;24.2;0.5;9.8;32.3;0.02;0.87;0.58
60;Energiesector;2010;68300;15.22;38.54;19.4;0.51;10.6;32.6;0.02;0.55;0.42
61;Energiesector;2011;63900;15.97;38.88;19.2;0.48;11.1;29.1;0.02;0.43;0.3
62;Energiesector;2012;60700;15.38;36.33;22.1;0.51;11.0;28.3;0.03;0.32;0.18
63;Energiesector;2013 ;59700;15.54;32.75;19.5;0.49;9.7;29.5;0.03;0.46;0.3
64;Energiesector;2014 ;63100;13.97;31.68;18.3;0.52;8.6;26.8;0.02;0.53;0.41
65;Energiesector;2015 ;67600;13.13;30.92;19.7;0.62;9.4;27.6;0.02;0.63;0.49
66;Energiesector;2016 ;65900;11.65;29.21;17.1;0.58;8.4;23.4;0.03;0.47;0.37
67;Energiesector;2017 ;61700;10.83;25.64;15.3;0.52;5.4;21.5;0.03;0.45;0.32
68;Energiesector;2018 ;58000;8.49;23.06;13.6;0.47;6.1;20.7;0.04;0.37;0.3
69;Energiesector;2019 ;57200;7.49;23.14;11.3;0.48;5.9;19.4;0.05;0.33;0.27
70;Energiesector;2020 ;50200;6.86;22.47;8.8;0.44;5.9;17.0;0.06;0.27;0.22
71;Energiesector;2021 ;52400;5.87;20.62;10.4;0.58;6.6;17.7;0.04;0.29;0.24
72;06 Winning van aardolie en aardgas;1990;2300;15.9;77.35;1.5;0.0;1.4;7.9;0.0;0.02;0.02
73;06 Winning van aardolie en aardgas;1995;2000;13.69;76.83;0.8;0.0;2.4;7.0;0.0;0.0;0.0
74;06 Winning van aardolie en aardgas;2000;2000;10.77;37.3;0.3;0.0;1.1;5.8;0.0;0.0;0.0
75;06 Winning van aardolie en aardgas;2001;2000;9.84;36.78;0.4;0.0;1.6;6.6;0.0;0.0;0.0
76;06 Winning van aardolie en aardgas;2002;2100;8.89;35.12;0.4;0.0;1.0;6.3;0.0;0.0;0.0
77;06 Winning van aardolie en aardgas;2003;2000;7.59;34.62;0.2;0.0;1.3;5.8;0.0;0.0;0.0
78;06 Winning van aardolie en aardgas;2004;2100;6.3;32.66;0.2;0.0;1.7;5.1;0.0;0.0;0.0
79;06 Winning van aardolie en aardgas;2005;2200;6.39;35.18;0.2;0.0;1.6;5.2;0.0;0.0;0.0
80;06 Winning van aardolie en aardgas;2006;2100;6.21;31.67;0.2;0.0;1.4;5.2;0.0;0.0;0.0
81;06 Winning van aardolie en aardgas;2007;1900;7.51;34.28;0.2;0.03;0.8;4.9;0.0;0.0;0.0
82;06 Winning van aardolie en aardgas;2008;1900;7.44;35.96;0.2;0.03;0.9;4.8;0.0;0.01;0.01
83;06 Winning van aardolie en aardgas;2009;2000;6.49;30.25;0.2;0.02;0.6;2.8;0.0;0.0;0.0
84;06 Winning van aardolie en aardgas;2010;2100;6.62;33.28;0.3;0.03;;4.4;0.0;0.0;0.0
85;06 Winning van aardolie en aardgas;2011;2000;8.56;33.51;0.4;0.03;;4.5;0.0;0.0;0.0
86;06 Winning van aardolie en aardgas;2012;2100;7.2;31.71;0.3;0.03;;4.9;0.0;0.0;0.0
87;06 Winning van aardolie en aardgas;2013 ;2200;6.56;28.9;0.4;0.03;;5.2;0.0;0.0;0.0
88;06 Winning van aardolie en aardgas;2014 ;2200;6.0;28.01;0.3;0.03;;5.7;0.0;0.0;0.0
89;06 Winning van aardolie en aardgas;2015 ;1900;6.23;26.68;0.2;0.03;;5.5;0.0;0.0;0.0
90;06 Winning van aardolie en aardgas;2016 ;1700;5.27;24.8;0.1;0.03;;4.0;0.0;0.0;0.0
91;06 Winning van aardolie en aardgas;2017 ;1800;4.68;21.43;0.1;0.04;;3.7;0.0;0.0;0.0
92;06 Winning van aardolie en aardgas;2018 ;1700;2.91;18.7;0.0;0.03;;3.4;0.0;0.0;0.0
93;06 Winning van aardolie en aardgas;2019 ;1500;2.55;18.05;0.1;0.09;;2.4;0.0;0.0;0.0
94;06 Winning van aardolie en aardgas;2020 ;1500;2.51;16.74;0.1;0.06;;2.4;0.0;0.0;0.0
95;06 Winning van aardolie en aardgas;2021 ;1400;1.9;15.3;0.1;0.05;;2.4;0.0;0.0;0.0
96;192 Aardolie-industrie;1990;11000;16.58;1.13;67.1;0.05;4.9;18.8;0.01;6.46;4.92
97;192 Aardolie-industrie;1995;11600;13.54;1.03;61.2;0.05;2.2;17.0;0.01;4.78;3.85
98;192 Aardolie-industrie;2000;12400;15.73;0.9;33.1;0.04;2.8;10.3;0.01;3.34;2.34
99;192 Aardolie-industrie;2001;12700;10.1;0.86;34.7;0.04;2.1;10.2;0.03;2.93;2.24
100;192 Aardolie-industrie;2002;11700;9.22;0.87;30.3;0.03;4.4;9.9;0.01;2.42;1.7
101;192 Aardolie-industrie;2003;12200;9.1;0.89;29.5;0.04;3.9;9.8;0.0;2.83;2.06
102;192 Aardolie-industrie;2004;12200;8.7;0.94;32.3;0.04;3.6;9.3;0.0;1.99;1.4
103;192 Aardolie-industrie;2005;12400;12.82;0.87;32.2;0.04;4.8;9.1;0.0;1.65;1.28
104;192 Aardolie-industrie;2006;11600;10.72;0.84;32.4;0.04;5.2;10.1;0.0;1.71;1.6
105;192 Aardolie-industrie;2007;11600;9.04;0.95;29.9;0.04;4.0;9.3;0.0;1.46;1.04
106;192 Aardolie-industrie;2008;11800;8.64;0.83;25.7;0.04;5.3;8.5;0.0;1.36;1.01
107;192 Aardolie-industrie;2009;10800;7.65;1.26;17.9;0.03;5.7;6.2;0.0;0.55;0.34
108;192 Aardolie-industrie;2010;10600;8.01;1.03;12.7;0.02;6.3;5.6;0.0;0.29;0.23
109;192 Aardolie-industrie;2011;10800;6.79;1.48;12.5;0.03;7.3;5.7;0.0;0.32;0.22
110;192 Aardolie-industrie;2012;10500;6.94;1.31;13.9;0.03;5.9;5.3;0.0;0.21;0.11
111;192 Aardolie-industrie;2013 ;10300;7.24;0.86;9.9;0.03;4.5;5.5;0.0;0.24;0.17
112;192 Aardolie-industrie;2014 ;10700;6.4;0.87;9.7;0.03;4.7;5.2;0.0;0.24;0.19
113;192 Aardolie-industrie;2015 ;11200;6.26;0.9;11.1;0.03;5.6;5.2;0.0;0.27;0.23
114;192 Aardolie-industrie;2016 ;10700;5.76;0.92;11.2;0.03;4.8;5.0;0.01;0.23;0.18
115;192 Aardolie-industrie;2017 ;10100;5.55;0.91;11.1;0.03;2.0;4.8;0.01;0.23;0.18
116;192 Aardolie-industrie;2018 ;10200;4.97;1.04;9.8;0.03;2.1;4.9;0.01;0.23;0.18
117;192 Aardolie-industrie;2019 ;11000;4.32;1.08;8.7;0.03;2.6;5.2;0.01;0.22;0.18
118;192 Aardolie-industrie;2020 ;10000;3.79;1.03;7.2;0.03;2.5;4.4;0.01;0.19;0.15
119;192 Aardolie-industrie;2021 ;10500;3.42;0.94;8.1;0.03;2.5;4.5;0.01;0.17;0.14
120;35 Energiebedrijven;1990;39500;0.54;1.53;44.1;0.38;5.1;77.2;0.0;1.46;1.09
121;35 Energiebedrijven;1995;47800;0.59;2.3;16.3;0.41;6.4;59.2;0.0;0.57;0.33
122;35 Energiebedrijven;2000;48900;1.55;2.96;14.8;0.38;14.1;48.8;0.01;0.31;0.23
123;35 Energiebedrijven;2001;52800;0.27;3.23;15.5;0.42;12.2;46.0;0.0;0.37;0.27
124;35 Energiebedrijven;2002;54300;0.44;3.41;13.6;0.44;14.2;46.7;0.01;0.52;0.36
125;35 Energiebedrijven;2003;54800;0.35;3.32;13.9;0.44;14.5;48.3;0.06;0.47;0.3
126;35 Energiebedrijven;2004;56600;0.32;3.69;10.6;0.45;7.6;42.1;0.08;0.42;0.29
127;35 Energiebedrijven;2005;55100;0.48;4.01;9.7;0.5;7.3;40.9;0.19;0.5;0.36
128;35 Energiebedrijven;2006;50700;0.82;3.77;9.6;0.46;5.3;36.8;0.0;0.36;0.27
129;35 Energiebedrijven;2007;52600;0.33;3.5;8.6;0.45;4.1;29.1;0.01;0.31;0.22
130;35 Energiebedrijven;2008;52300;0.31;3.56;6.1;0.43;4.4;24.8;0.05;0.3;0.19
131;35 Energiebedrijven;2009;52900;0.31;3.86;6.0;0.45;3.6;23.3;0.02;0.32;0.24
132;35 Energiebedrijven;2010;55600;0.59;4.23;6.4;0.46;4.3;22.7;0.02;0.26;0.19
133;35 Energiebedrijven;2011;51200;0.62;3.89;6.4;0.43;3.8;18.8;0.02;0.1;0.08
134;35 Energiebedrijven;2012;48100;1.24;3.3;7.9;0.46;5.1;18.1;0.03;0.1;0.07
135;35 Energiebedrijven;2013 ;47200;1.74;2.98;9.2;0.43;5.2;18.7;0.03;0.22;0.13
136;35 Energiebedrijven;2014 ;50300;1.58;2.81;8.4;0.46;3.9;15.9;0.02;0.29;0.21
137;35 Energiebedrijven;2015 ;54500;0.65;3.34;8.4;0.56;3.8;16.9;0.02;0.36;0.26
138;35 Energiebedrijven;2016 ;53500;0.62;3.49;5.8;0.52;3.6;14.4;0.02;0.24;0.2
139;35 Energiebedrijven;2017 ;49800;0.6;3.3;4.0;0.45;3.4;13.1;0.02;0.22;0.14
140;35 Energiebedrijven;2018 ;46100;0.6;3.32;3.8;0.41;3.9;12.4;0.03;0.14;0.11
141;35 Energiebedrijven;2019 ;44600;0.62;4.02;2.5;0.36;3.3;11.7;0.04;0.11;0.09
142;35 Energiebedrijven;2020 ;38700;0.56;4.7;1.5;0.36;3.4;10.2;0.04;0.07;0.06
143;35 Energiebedrijven;2021 ;40500;0.55;4.37;2.2;0.49;4.2;10.8;0.03;0.11;0.1
144;Nijverheid (geen energiesector);1990;40500;159.43;14.0;51.4;24.01;267.4;79.0;4.71;27.74;15.12
145;Nijverheid (geen energiesector);1995;35600;107.37;14.04;29.6;24.03;213.2;57.0;4.16;17.71;10.07
146;Nijverheid (geen energiesector);2000;33700;75.76;14.81;14.0;23.35;159.4;35.1;2.7;10.63;5.76
147;Nijverheid (geen energiesector);2001;33000;64.12;14.6;15.6;21.35;158.1;36.4;2.75;10.04;5.26
148;Nijverheid (geen energiesector);2002;33500;61.14;15.93;15.4;20.45;143.9;35.5;2.45;10.53;5.31
149;Nijverheid (geen energiesector);2003;34000;54.15;15.98;12.0;20.65;138.0;35.0;2.61;9.27;4.89
150;Nijverheid (geen energiesector);2004;34200;50.31;15.99;15.3;22.58;164.9;36.1;3.2;9.31;5.06
151;Nijverheid (geen energiesector);2005;33900;50.17;15.88;14.9;22.72;151.5;35.5;2.41;8.79;4.64
152;Nijverheid (geen energiesector);2006;33900;47.31;14.7;15.3;22.57;158.5;33.7;2.16;8.67;4.62
153;Nijverheid (geen energiesector);2007;34600;48.23;14.74;15.8;18.26;151.0;32.8;1.93;8.68;4.61
154;Nijverheid (geen energiesector);2008;34600;44.2;14.42;14.7;6.08;152.2;32.5;2.0;8.17;4.27
155;Nijverheid (geen energiesector);2009;31800;41.54;13.97;10.2;6.28;101.2;28.1;1.84;8.04;4.35
156;Nijverheid (geen energiesector);2010;34900;49.11;14.82;12.4;5.35;122.9;30.4;1.76;8.14;4.39
157;Nijverheid (geen energiesector);2011;34000;47.15;14.56;12.9;5.36;109.8;29.7;1.96;7.99;4.53
158;Nijverheid (geen energiesector);2012;33300;43.58;14.56;10.5;5.4;104.0;28.4;1.68;7.53;3.88
159;Nijverheid (geen energiesector);2013 ;32900;42.85;14.37;8.9;5.41;90.9;25.7;1.46;7.45;3.9
160;Nijverheid (geen energiesector);2014 ;32100;41.25;14.61;9.6;5.65;90.8;24.9;1.33;7.42;3.83
161;Nijverheid (geen energiesector);2015 ;32000;39.03;14.59;9.4;5.67;96.1;24.5;1.4;7.5;3.89
162;Nijverheid (geen energiesector);2016 ;33800;33.75;14.74;9.0;4.98;92.5;24.8;1.68;7.77;4.03
163;Nijverheid (geen energiesector);2017 ;35500;36.09;15.05;9.4;5.27;88.4;23.9;1.54;7.98;4.22
164;Nijverheid (geen energiesector);2018 ;35400;36.15;14.56;9.6;4.82;90.4;23.5;1.6;7.91;4.15
165;Nijverheid (geen energiesector);2019 ;34000;35.48;15.12;9.7;4.82;93.3;23.1;1.29;7.8;4.12
166;Nijverheid (geen energiesector);2020 ;34400;34.36;16.19;9.3;4.38;82.2;21.6;1.56;7.53;3.8
167;Nijverheid (geen energiesector);2021 ;34800;34.47;15.94;8.8;3.68;78.1;21.5;1.46;7.82;3.96
168;20-21 Chemie en farmaceutische industrie;1990;21500;34.24;12.25;20.0;23.82;23.9;38.8;3.31;4.43;2.78
169;20-21 Chemie en farmaceutische industrie;1995;16600;19.38;11.95;11.3;23.84;34.9;28.0;3.1;3.56;2.34
170;20-21 Chemie en farmaceutische industrie;2000;15700;13.28;12.42;3.1;23.15;26.5;15.1;1.83;1.54;1.02
171;20-21 Chemie en farmaceutische industrie;2001;15200;11.82;12.34;4.2;21.15;27.5;14.0;1.76;1.18;0.73
172;20-21 Chemie en farmaceutische industrie;2002;15600;10.79;13.78;4.1;20.29;24.6;14.0;1.51;1.54;1.01
173;20-21 Chemie en farmaceutische industrie;2003;16100;10.45;13.82;3.6;20.49;21.6;15.2;1.6;1.25;0.83
174;20-21 Chemie en farmaceutische industrie;2004;16000;10.53;13.88;4.2;22.42;24.3;15.3;2.15;1.38;0.91
175;20-21 Chemie en farmaceutische industrie;2005;15700;8.2;13.75;3.9;22.56;19.8;14.6;1.45;1.32;0.82
176;20-21 Chemie en farmaceutische industrie;2006;16300;8.38;12.62;4.0;22.42;19.5;13.9;1.26;1.28;0.79
177;20-21 Chemie en farmaceutische industrie;2007;16800;7.82;12.7;4.0;18.08;19.4;12.9;1.07;1.07;0.64
178;20-21 Chemie en farmaceutische industrie;2008;16500;7.7;12.31;3.3;5.88;16.1;13.1;1.13;0.91;0.54
179;20-21 Chemie en farmaceutische industrie;2009;15600;6.53;11.94;2.2;6.08;12.1;11.5;0.87;1.34;0.89
180;20-21 Chemie en farmaceutische industrie;2010;17600;6.64;12.81;2.1;5.17;11.9;12.2;0.74;1.42;0.95
181;20-21 Chemie en farmaceutische industrie;2011;16900;7.24;12.58;2.4;5.17;14.0;12.0;0.97;1.31;0.88
182;20-21 Chemie en farmaceutische industrie;2012;17000;9.19;12.71;2.1;5.21;16.1;11.3;0.79;1.39;0.92
183;20-21 Chemie en farmaceutische industrie;2013 ;16900;7.14;12.59;1.6;5.22;12.6;9.9;0.65;1.49;1.03
184;20-21 Chemie en farmaceutische industrie;2014 ;16500;6.91;12.81;1.8;5.46;11.2;9.5;0.59;1.34;0.86
185;20-21 Chemie en farmaceutische industrie;2015 ;15700;6.0;12.66;1.6;5.47;12.7;9.0;0.56;1.19;0.78
186;20-21 Chemie en farmaceutische industrie;2016 ;17200;5.54;12.75;1.5;4.78;12.4;9.4;0.82;1.33;0.85
187;20-21 Chemie en farmaceutische industrie;2017 ;18000;5.57;13.08;1.7;5.06;14.2;9.0;0.73;1.46;0.99
188;20-21 Chemie en farmaceutische industrie;2018 ;18100;5.7;12.55;1.7;4.6;11.2;9.0;0.7;1.27;0.83
189;20-21 Chemie en farmaceutische industrie;2019 ;17400;5.35;13.16;1.5;4.6;14.8;8.7;0.44;1.07;0.74
190;20-21 Chemie en farmaceutische industrie;2020 ;19000;5.1;14.29;1.5;4.17;10.7;9.1;0.48;0.87;0.56
191;20-21 Chemie en farmaceutische industrie;2021 ;18500;5.05;13.92;1.5;3.46;11.5;8.8;0.46;0.95;0.63
192;24 Basismetaalindustrie;1990;7500;5.2;0.42;14.6;0.03;225.3;7.8;0.07;10.48;6.98
193;24 Basismetaalindustrie;1995;7800;3.76;0.44;11.9;0.03;148.7;9.8;0.05;6.37;4.27
194;24 Basismetaalindustrie;2000;6400;2.19;0.35;6.9;0.02;106.1;6.6;0.04;2.87;2.02
195;24 Basismetaalindustrie;2001;6500;1.74;0.36;6.4;0.03;102.2;7.5;0.02;2.6;1.82
196;24 Basismetaalindustrie;2002;6700;1.95;0.35;6.5;0.03;95.4;7.3;0.02;2.46;1.69
197;24 Basismetaalindustrie;2003;7100;1.64;0.35;6.5;0.03;106.1;7.6;0.03;2.47;1.63
198;24 Basismetaalindustrie;2004;7300;1.17;0.35;7.3;0.03;125.0;7.9;0.04;2.47;1.72
199;24 Basismetaalindustrie;2005;7200;1.46;0.36;7.7;0.03;115.3;7.5;0.05;2.14;1.46
200;24 Basismetaalindustrie;2006;7100;1.48;0.34;6.9;0.03;125.1;7.0;0.05;2.1;1.44
201;24 Basismetaalindustrie;2007;7300;1.63;0.35;7.3;0.03;117.4;7.1;0.03;2.23;1.53
202;24 Basismetaalindustrie;2008;7300;1.62;0.34;7.1;0.03;122.0;6.7;0.03;1.96;1.35
203;24 Basismetaalindustrie;2009;6100;1.38;0.28;4.0;0.02;73.7;4.9;0.02;1.67;1.14
204;24 Basismetaalindustrie;2010;6900;1.58;0.33;6.1;0.02;95.3;6.5;0.03;1.83;1.26
205;24 Basismetaalindustrie;2011;7000;1.7;0.33;6.4;0.03;80.4;6.3;0.03;1.77;1.35
206;24 Basismetaalindustrie;2012;6400;1.64;0.31;4.4;0.03;75.7;6.5;0.03;1.47;0.83
207;24 Basismetaalindustrie;2013 ;6600;1.34;0.32;3.4;0.03;67.2;6.0;0.02;1.31;0.85
208;24 Basismetaalindustrie;2014 ;6200;1.37;0.32;3.8;0.03;67.7;5.7;0.03;1.29;0.83
209;24 Basismetaalindustrie;2015 ;6600;1.48;0.33;3.7;0.03;71.3;6.4;0.03;1.35;0.85
210;24 Basismetaalindustrie;2016 ;6600;1.58;0.33;3.6;0.03;68.6;6.3;0.03;1.38;0.9
211;24 Basismetaalindustrie;2017 ;7200;1.73;0.32;3.9;0.03;62.6;6.2;0.03;1.32;0.86
212;24 Basismetaalindustrie;2018 ;6900;1.68;0.32;3.9;0.03;66.7;6.1;0.03;1.28;0.83
213;24 Basismetaalindustrie;2019 ;6700;1.66;0.32;4.5;0.03;67.0;6.4;0.02;1.38;0.9
214;24 Basismetaalindustrie;2020 ;6100;1.46;0.3;4.2;0.02;60.6;5.5;0.03;1.22;0.71
215;24 Basismetaalindustrie;2021 ;6300;1.24;0.31;3.6;0.03;55.8;5.5;0.02;1.22;0.71
216;Overige industrie;1990;11000;98.1;1.29;16.3;0.16;18.1;32.0;1.17;11.82;5.0
217;Overige industrie;1995;10500;67.05;1.6;6.0;0.16;29.4;18.7;0.92;6.69;3.07
218;Overige industrie;2000;10900;45.25;1.98;3.3;0.17;26.2;12.3;0.82;4.8;2.17
219;Overige industrie;2001;10500;38.29;1.83;4.6;0.16;27.6;13.8;0.96;4.82;2.14
220;Overige industrie;2002;10400;36.44;1.73;4.2;0.13;23.6;13.3;0.92;5.17;2.09
221;Overige industrie;2003;10000;32.64;1.73;1.7;0.13;9.9;11.4;0.97;4.15;1.82
222;Overige industrie;2004;10000;31.18;1.68;3.6;0.13;14.7;12.1;1.01;4.29;2.01
223;Overige industrie;2005;10100;31.38;1.7;3.2;0.13;15.6;12.5;0.9;4.14;1.93
224;Overige industrie;2006;9800;28.77;1.66;4.2;0.12;13.0;11.9;0.85;4.04;1.94
225;Overige industrie;2007;9700;29.91;1.63;4.4;0.14;12.8;11.9;0.83;4.03;1.95
226;Overige industrie;2008;10000;29.04;1.7;4.3;0.17;13.2;11.8;0.84;3.9;1.87
227;Overige industrie;2009;9400;25.93;1.68;3.9;0.18;15.2;11.1;0.95;3.74;1.87
228;Overige industrie;2010;9600;32.86;1.6;4.2;0.16;15.0;10.8;0.99;3.74;1.77
229;Overige industrie;2011;9300;31.17;1.57;4.1;0.16;14.6;10.8;0.96;3.8;1.9
230;Overige industrie;2012;9100;26.33;1.46;4.0;0.16;11.5;9.9;0.86;3.61;1.75
231;Overige industrie;2013 ;8600;28.46;1.38;3.8;0.16;10.7;9.2;0.78;3.59;1.65
232;Overige industrie;2014 ;8800;26.22;1.41;4.0;0.16;11.4;9.1;0.71;3.72;1.76
233;Overige industrie;2015 ;9200;25.66;1.53;4.0;0.17;11.6;8.6;0.8;3.82;1.85
234;Overige industrie;2016 ;9400;21.79;1.59;3.9;0.17;11.0;8.6;0.82;3.93;1.89
235;Overige industrie;2017 ;9600;23.99;1.56;3.8;0.18;11.0;8.2;0.78;4.07;1.97
236;Overige industrie;2018 ;9700;24.04;1.61;3.9;0.2;11.7;7.8;0.87;4.19;2.07
237;Overige industrie;2019 ;9300;23.83;1.56;3.8;0.19;10.8;7.4;0.82;4.13;2.04
238;Overige industrie;2020 ;8900;22.94;1.53;3.5;0.18;10.4;6.7;1.05;4.22;2.1
