ID;Geslacht;Leeftijd;BurgerlijkeStaat;Perioden;Bevolking_1
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1971;13119430.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1972;13269563.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1973;13387623.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1974;13491020.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1975;13599092.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1976;13733578.0
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1977;13814495.0
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1978;13897874.0
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1979;13985526.0
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1980;14091014.0
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1981;14208586.0
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1982;14285829.0
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1983;14339551.0
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1984;14394589.0
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1985;14453833.0
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1986;14529430.0
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1987;14615125.0
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1988;14714948.0
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1989;14805240.0
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1990;14892574.0
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1991;15010445.0
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1992;15129150.0
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1993;15239182.0
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1994;15341553.0
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1995;15424122.0
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1996;15493889.0
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1997;15567107.0
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1998;15654192.0
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;1999;15760225.0
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2000;15863950.0
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2001;15987075.0
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2002;16105285.0
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2003;16192572.0
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2004;16258032.0
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2005;16305526.0
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2006;16334210.0
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2007;16357992.0
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2008;16405399.0
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2009;16485787.0
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2010;16574989.0
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2011;16655799.0
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2012;16730348.0
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2013;16779575.0
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2014;16829289.0
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2015;16900726.0
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2016;16979120.0
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2017;17081507.0
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2018;17181084.0
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2019;17282163.0
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2020;17407585.0
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2021;17475415.0
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2022;17590672.0
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2023;17811291.0
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2024;17942942.0
75;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1950;5284496.0
76;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1951;5354293.0
77;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1952;5384853.0
78;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1953;5409984.0
79;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1954;5443474.0
80;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1955;5481327.0
81;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1956;5526994.0
82;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1957;5567164.0
83;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1958;5607936.0
84;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1959;5677101.0
85;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1960;5730715.0
86;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1961;5785892.0
87;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1962;5850611.0
88;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1963;5917551.0
89;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1964;5975336.0
90;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1965;6025009.0
91;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1966;6059792.0
92;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1967;6080609.0
93;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1968;6082119.0
94;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1969;6083804.0
95;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1970;6104254.0
96;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1971;6114007.0
97;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1972;6116183.0
98;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1973;6109300.0
99;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1974;6106097.0
100;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1975;6099415.0
101;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1976;6120879.0
102;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1977;6120117.0
103;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1978;6127203.0
104;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1979;6149643.0
105;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1980;6190940.0
106;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1981;6234552.0
107;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1982;6259816.0
108;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1983;6238717.0
109;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1984;6261073.0
110;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1985;6285610.0
111;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1986;6323365.0
112;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1987;6356280.0
113;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1988;6405860.0
114;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1989;6446803.0
115;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1990;6464971.0
116;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1991;6518388.0
117;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1992;6572603.0
118;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1993;6626044.0
119;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1994;6688832.0
120;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1995;6735614.0
121;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1996;6792423.0
122;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1997;6848973.0
123;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1998;6910940.0
124;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1999;6980384.0
125;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2000;7048699.0
126;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2001;7138972.0
127;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2002;7241077.0
128;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2003;7321665.0
129;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2004;7389408.0
130;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2005;7450192.0
131;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2006;7499312.0
132;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2007;7543236.0
133;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2008;7601904.0
134;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2009;7680426.0
135;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2010;7701812.0
136;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2011;7773306.0
137;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2012;7841334.0
138;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2013;7895899.0
139;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2014;7956499.0
140;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2015;8031966.0
141;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2016;8112153.0
142;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2017;8201061.0
143;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2018;8287607.0
144;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2019;8374133.0
145;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2020;8474556.0
146;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2021;8558739.0
147;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2022;8674526.0
148;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2023;8851656.0
149;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2024;8955190.0
150;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1950;4232241.0
151;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1951;4329761.0
152;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1952;4421572.0
153;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1953;4497526.0
154;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1954;4572974.0
155;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1955;4658053.0
156;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1956;4746401.0
157;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1957;4834087.0
158;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1958;4924488.0
159;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1959;5027106.0
160;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1960;5103163.0
161;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1961;5182053.0
162;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1962;5270315.0
163;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1963;5359878.0
164;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1964;5441831.0
165;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1965;5547842.0
166;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1966;5662112.0
167;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1967;5783104.0
168;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1968;5888608.0
169;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1969;6004522.0
170;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1970;6121941.0
171;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1971;6253128.0
172;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1972;6377948.0
173;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1973;6472860.0
174;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1974;6546349.0
175;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1975;6626364.0
176;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1976;6704149.0
177;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1977;6747124.0
178;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1978;6784633.0
179;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1979;6811470.0
180;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1980;6835014.0
181;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1981;6866010.0
182;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1982;6870988.0
183;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1983;6905257.0
184;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1984;6884996.0
185;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1985;6869619.0
186;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1986;6859886.0
187;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1987;6879804.0
188;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1988;6898335.0
189;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1989;6916716.0
190;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1990;6956510.0
191;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1991;6995091.0
192;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1992;7036575.0
193;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1993;7064236.0
194;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1994;7075002.0
195;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1995;7081536.0
196;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1996;7061695.0
197;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1997;7045382.0
198;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1998;7044539.0
199;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1999;7058381.0
200;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2000;7071202.0
201;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2001;7079502.0
202;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2002;7063982.0
203;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2003;7052176.0
204;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2004;7034504.0
205;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2005;7002557.0
206;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2006;6964100.0
207;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2007;6927736.0
208;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2008;6898147.0
209;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2009;6882639.0
210;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2010;6875088.0
211;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2011;6864966.0
212;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2012;6851016.0
213;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2013;6823832.0
214;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2014;6787029.0
215;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2015;6753259.0
216;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2016;6727554.0
217;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2017;6718468.0
218;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2018;6710175.0
219;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2019;6706554.0
220;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2020;6713002.0
221;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2021;6678969.0
222;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2022;6667185.0
223;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2023;6709548.0
224;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2024;6733642.0
225;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1950;435532.0
226;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1951;439933.0
227;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1952;444343.0
228;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1953;449090.0
229;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1954;454436.0
230;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1955;459762.0
231;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1956;465827.0
232;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1957;472164.0
233;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1958;478607.0
234;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1959;487125.0
235;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1960;495131.0
236;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1961;506613.0
237;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1962;516742.0
238;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1963;527100.0
239;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1964;537585.0
240;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1965;549790.0
241;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1966;562821.0
242;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1967;575104.0
243;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1968;588916.0
244;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1969;602271.0
245;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1970;616504.0
246;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1971;631129.0
247;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1972;644911.0
248;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1973;660242.0
249;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1974;674186.0
250;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1975;688197.0
251;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1976;694903.0
252;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1977;708657.0
253;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1978;723362.0
254;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1979;737346.0
255;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1980;751355.0
256;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1981;764965.0
257;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1982;777553.0
258;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1983;786477.0
259;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1984;798174.0
260;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1985;808543.0
261;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1986;818352.0
262;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1987;826934.0
263;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1988;836619.0
264;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1989;845193.0
265;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1990;853599.0
266;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1991;861207.0
267;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1992;866367.0
268;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1993;871905.0
269;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1994;876986.0
270;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1995;875647.0
271;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1996;878081.0
272;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1997;881565.0
273;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1998;882562.0
274;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1999;862537.0
275;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2000;882071.0
276;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2001;882162.0
277;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2002;881876.0
278;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2003;879742.0
279;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2004;877579.0
280;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2005;876605.0
281;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2006;874896.0
282;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2007;871565.0
283;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2008;869611.0
284;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2009;866808.0
285;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2010;866945.0
286;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2011;866497.0
287;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2012;865790.0
288;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2013;864180.0
289;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2014;863292.0
290;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2015;862705.0
291;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2016;860883.0
292;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2017;859720.0
293;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2018;858676.0
294;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2019;858443.0
295;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2020;859020.0
296;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2021;859784.0
297;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2022;862818.0
298;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2023;863244.0
299;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2024;863570.0
300;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1950;74504.0
301;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1951;76293.0
302;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1952;77575.0
303;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1953;79031.0
304;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1954;79853.0
305;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1955;80881.0
306;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1956;82439.0
307;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1957;83625.0
308;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1958;84695.0
309;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1959;86692.0
310;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1960;88245.0
311;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1961;81450.0
312;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1962;83748.0
313;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1963;85433.0
314;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1964;87218.0
315;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1965;89628.0
316;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1966;92469.0
317;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1967;96490.0
318;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1968;101452.0
319;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1969;107749.0
320;Totaal mannen en vrouwen;Totaal leeftijd;Gescheiden;1970;114922.0
