ID;VrachtautoSTrekkersLaadvermogenLV;LeeftijdVoertuig;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometers_4;KilometersInNederland_5;KilometersInHetBuitenland_6;TotaalGemiddeldJaarkilometrage_7;GemiddeldJaarkilometrageInNederland_8;GemiddeldJaarkilometrageInBuitenland_9;NederlandseVrachtvoertuigenInGebruik_10
71;Trekker voor oplegger;Totaal leeftijd voertuig;2023;5443.4;4631.5;811.9;6749.7;5443.4;2118.2;69018;47359;21659;97796
72;Trekker voor oplegger;Voertuig 0 jaar oud;2018;388.8;323.4;65.4;534.5;323.4;211.1;56283;34051;22232;9497
73;Trekker voor oplegger;Voertuig 0 jaar oud;2019;383.6;319.9;63.7;511.8;319.9;191.9;57221;35763;21458;8945
74;Trekker voor oplegger;Voertuig 0 jaar oud;2020;291.8;250.7;41.1;362.8;250.7;112.1;63218;43684;19534;5739
75;Trekker voor oplegger;Voertuig 0 jaar oud;2021;301.9;247.0;54.9;404.0;301.9;157.0;57237;34995;22242;7058
76;Trekker voor oplegger;Voertuig 0 jaar oud;2022;317.2;256.6;60.6;415.8;317.2;159.3;49902;30789;19112;8333
77;Trekker voor oplegger;Voertuig 0 jaar oud;2023;384.4;319.6;64.8;488.7;384.4;169.1;49337;32266;17071;9906
78;Trekker voor oplegger;Voertuig 1 jaar oud;2018;669.9;558.4;111.5;918.3;558.4;360.0;106585;64804;41781;8616
79;Trekker voor oplegger;Voertuig 1 jaar oud;2019;702.8;583.1;119.6;943.6;583.1;360.4;102652;63439;39213;9192
80;Trekker voor oplegger;Voertuig 1 jaar oud;2020;714.3;597.0;117.4;917.0;597.0;320.0;104145;67799;36347;8805
81;Trekker voor oplegger;Voertuig 1 jaar oud;2021;474.9;406.6;68.3;601.8;474.9;195.2;107385;72549;34836;5604
82;Trekker voor oplegger;Voertuig 1 jaar oud;2022;569.2;475.9;93.3;721.1;569.2;245.2;104705;69105;35600;6887
83;Trekker voor oplegger;Voertuig 1 jaar oud;2023;618.4;512.6;105.8;788.6;618.4;276.0;97637;63464;34173;8077
84;Trekker voor oplegger;Voertuig 2 jaar oud;2018;726.2;604.0;122.2;998.4;604.0;394.4;106253;64283;41970;9396
85;Trekker voor oplegger;Voertuig 2 jaar oud;2019;671.3;564.1;107.2;887.0;564.1;322.9;100473;63901;36572;8828
86;Trekker voor oplegger;Voertuig 2 jaar oud;2020;718.1;593.6;124.6;933.3;593.6;339.7;99570;63327;36244;9373
87;Trekker voor oplegger;Voertuig 2 jaar oud;2021;707.6;596.2;111.5;914.6;707.6;318.5;102631;66895;35736;8912
88;Trekker voor oplegger;Voertuig 2 jaar oud;2022;472.0;401.9;70.0;585.9;472.0;184.0;103539;71028;32511;5659
89;Trekker voor oplegger;Voertuig 2 jaar oud;2023;548.7;457.5;91.1;695.3;548.7;237.8;99885;65724;34161;6961
90;Trekker voor oplegger;Voertuig 3 jaar oud;2018;647.9;546.0;101.9;875.0;546.0;329.0;100754;62870;37883;8685
91;Trekker voor oplegger;Voertuig 3 jaar oud;2019;710.7;598.9;111.8;935.8;598.9;336.9;98028;62738;35290;9546
92;Trekker voor oplegger;Voertuig 3 jaar oud;2020;679.5;569.1;110.4;870.2;569.1;301.1;97175;63552;33623;8955
93;Trekker voor oplegger;Voertuig 3 jaar oud;2021;728.1;599.7;128.4;966.5;728.1;366.8;98578;61168;37411;9804
94;Trekker voor oplegger;Voertuig 3 jaar oud;2022;698.9;584.7;114.1;884.6;698.9;299.9;96281;63642;32639;9188
95;Trekker voor oplegger;Voertuig 3 jaar oud;2023;449.6;381.2;68.4;559.7;449.6;178.6;96291;65574;30717;5813
96;Trekker voor oplegger;Voertuig 4 jaar oud;2018;487.9;420.3;67.7;638.7;420.3;218.4;97539;64180;33358;6548
97;Trekker voor oplegger;Voertuig 4 jaar oud;2019;611.2;509.3;101.9;816.2;509.3;306.9;92290;57589;34701;8844
98;Trekker voor oplegger;Voertuig 4 jaar oud;2020;689.6;574.6;115.0;888.1;574.6;313.5;93371;60411;32960;9512
99;Trekker voor oplegger;Voertuig 4 jaar oud;2021;681.3;568.7;112.5;890.3;681.3;321.6;95936;61284;34652;9280
100;Trekker voor oplegger;Voertuig 4 jaar oud;2022;759.5;638.7;120.8;956.1;759.5;317.4;92197;61588;30609;10370
101;Trekker voor oplegger;Voertuig 4 jaar oud;2023;658.3;555.8;102.6;823.4;658.3;267.6;88259;59575;28684;9329
102;Trekker voor oplegger;Voertuig 5 jaar oud;2018;515.6;432.5;83.2;700.9;432.5;268.5;94503;58308;36195;7417
103;Trekker voor oplegger;Voertuig 5 jaar oud;2019;462.0;398.8;63.2;589.1;398.8;190.3;89537;60616;28920;6579
104;Trekker voor oplegger;Voertuig 5 jaar oud;2020;601.3;509.0;92.4;760.8;509.0;251.8;87911;58812;29098;8654
105;Trekker voor oplegger;Voertuig 5 jaar oud;2021;672.1;567.5;104.6;866.3;672.1;298.8;91685;60063;31622;9449
106;Trekker voor oplegger;Voertuig 5 jaar oud;2022;682.2;579.8;102.4;848.9;682.2;269.1;90454;61780;28674;9385
107;Trekker voor oplegger;Voertuig 5 jaar oud;2023;700.2;586.0;114.2;883.9;700.2;297.9;85064;56397;28667;10391
108;Trekker voor oplegger;Voertuig 6 jaar oud;2018;414.3;357.0;57.2;541.8;357.0;184.8;86645;57099;29546;6253
109;Trekker voor oplegger;Voertuig 6 jaar oud;2019;454.6;392.2;62.4;580.2;392.2;188.0;84315;56997;27318;6881
110;Trekker voor oplegger;Voertuig 6 jaar oud;2020;403.1;346.5;56.6;500.7;346.5;154.2;81065;56097;24968;6177
111;Trekker voor oplegger;Voertuig 6 jaar oud;2021;562.9;480.2;82.7;716.4;562.9;236.3;85895;57567;28328;8341
112;Trekker voor oplegger;Voertuig 6 jaar oud;2022;625.2;535.7;89.5;770.8;625.2;235.1;83893;58306;25587;9188
113;Trekker voor oplegger;Voertuig 6 jaar oud;2023;584.3;502.2;82.1;716.4;584.3;214.2;79252;55556;23696;9040
114;Trekker voor oplegger;Voertuig 7 jaar oud;2018;331.6;288.7;42.9;427.1;288.7;138.4;75265;50879;24386;5675
115;Trekker voor oplegger;Voertuig 7 jaar oud;2019;335.0;296.5;38.5;412.4;296.5;115.9;73799;53062;20738;5588
116;Trekker voor oplegger;Voertuig 7 jaar oud;2020;372.5;320.9;51.6;461.7;320.9;140.8;76095;52886;23209;6067
117;Trekker voor oplegger;Voertuig 7 jaar oud;2021;362.0;318.1;43.9;443.4;362.0;125.4;78154;56060;22094;5674
118;Trekker voor oplegger;Voertuig 7 jaar oud;2022;504.7;437.1;67.6;614.7;504.7;177.7;77804;55318;22485;7901
119;Trekker voor oplegger;Voertuig 7 jaar oud;2023;500.0;423.6;76.4;623.0;500.0;199.4;72397;49230;23167;8605
120;Trekker voor oplegger;Voertuig 8 jaar oud;2018;190.3;169.5;20.7;236.4;169.5;66.9;67943;48715;19228;3480
121;Trekker voor oplegger;Voertuig 8 jaar oud;2019;246.9;220.5;26.4;300.0;220.5;79.5;62597;46009;16588;4793
122;Trekker voor oplegger;Voertuig 8 jaar oud;2020;233.3;211.3;22.0;271.3;211.3;59.9;60712;47295;13417;4468
123;Trekker voor oplegger;Voertuig 8 jaar oud;2021;300.7;262.5;38.2;371.7;300.7;109.1;71093;50220;20873;5228
124;Trekker voor oplegger;Voertuig 8 jaar oud;2022;298.8;264.2;34.6;355.2;298.8;90.9;69032;51360;17672;5145
125;Trekker voor oplegger;Voertuig 8 jaar oud;2023;375.4;328.8;46.6;450.4;375.4;121.6;63867;46623;17244;7052
126;Trekker voor oplegger;Voertuig 9 jaar of ouder;2018;753.9;683.9;70.1;910.0;683.9;226.2;40453;30399;10053;22496
127;Trekker voor oplegger;Voertuig 9 jaar of ouder;2019;631.4;572.1;59.3;750.7;572.1;178.6;35062;26721;8340;21411
128;Trekker voor oplegger;Voertuig 9 jaar of ouder;2020;551.9;495.6;56.3;649.1;495.6;153.5;31190;23814;7376;20812
129;Trekker voor oplegger;Voertuig 9 jaar of ouder;2021;592.0;534.0;58.0;699.8;592.0;165.8;33961;25914;8047;20605
130;Trekker voor oplegger;Voertuig 9 jaar of ouder;2022;666.8;609.1;57.7;760.8;666.8;151.7;34475;27601;6874;22069
131;Trekker voor oplegger;Voertuig 9 jaar of ouder;2023;624.0;564.1;59.8;720.2;624.0;156.1;31837;24937;6900;22622
132;Trekker (LV) tot 40 000 kg;Totaal leeftijd voertuig;2018;802.2;686.7;115.5;1059.5;686.7;372.8;50762;32902;17860;20871
133;Trekker (LV) tot 40 000 kg;Totaal leeftijd voertuig;2019;833.1;714.1;119.0;1072.6;714.1;358.6;49066;32663;16403;21861
134;Trekker (LV) tot 40 000 kg;Totaal leeftijd voertuig;2020;827.8;705.4;122.4;1039.1;705.4;333.7;47760;32421;15339;21757
135;Trekker (LV) tot 40 000 kg;Totaal leeftijd voertuig;2021;847.9;723.9;124.1;1078.4;847.9;354.5;48233;32376;15858;22358
136;Trekker (LV) tot 40 000 kg;Totaal leeftijd voertuig;2022;883.4;760.4;123.0;1083.7;883.4;323.2;46571;32681;13891;23269
137;Trekker (LV) tot 40 000 kg;Totaal leeftijd voertuig;2023;842.3;721.3;121.0;1037.1;842.3;315.8;43290;30107;13182;23957
138;Trekker (LV) tot 40 000 kg;Voertuig 0 jaar oud;2018;54.9;45.7;9.2;75.5;45.7;29.8;43440;26281;17159;1737
139;Trekker (LV) tot 40 000 kg;Voertuig 0 jaar oud;2019;45.0;37.5;7.5;60.1;37.5;22.5;37583;23489;14094;1598
140;Trekker (LV) tot 40 000 kg;Voertuig 0 jaar oud;2020;24.8;21.3;3.5;30.9;21.3;9.5;33313;23019;10294;927
141;Trekker (LV) tot 40 000 kg;Voertuig 0 jaar oud;2021;28.1;23.0;5.1;37.6;28.1;14.6;32354;19781;12573;1163
142;Trekker (LV) tot 40 000 kg;Voertuig 0 jaar oud;2022;31.7;25.6;6.1;41.6;31.7;15.9;32049;19774;12275;1297
143;Trekker (LV) tot 40 000 kg;Voertuig 0 jaar oud;2023;42.6;35.4;7.2;54.1;42.6;18.7;31028;20293;10736;1744
144;Trekker (LV) tot 40 000 kg;Voertuig 1 jaar oud;2018;104.5;87.1;17.4;143.2;87.1;56.1;84307;51259;33048;1699
145;Trekker (LV) tot 40 000 kg;Voertuig 1 jaar oud;2019;94.9;78.8;16.2;127.4;78.8;48.7;74095;45791;28304;1720
146;Trekker (LV) tot 40 000 kg;Voertuig 1 jaar oud;2020;83.2;69.5;13.7;106.8;69.5;37.3;66269;43141;23128;1612
147;Trekker (LV) tot 40 000 kg;Voertuig 1 jaar oud;2021;49.2;42.1;7.1;62.3;49.2;20.2;64821;43793;21028;961
148;Trekker (LV) tot 40 000 kg;Voertuig 1 jaar oud;2022;60.9;51.0;10.0;77.2;60.9;26.2;67422;44499;22923;1145
149;Trekker (LV) tot 40 000 kg;Voertuig 1 jaar oud;2023;62.0;51.4;10.6;79.0;62.0;27.7;64683;42044;22639;1222
150;Trekker (LV) tot 40 000 kg;Voertuig 2 jaar oud;2018;126.0;104.8;21.2;173.2;104.8;68.4;87996;53238;34758;1968
151;Trekker (LV) tot 40 000 kg;Voertuig 2 jaar oud;2019;111.6;93.7;17.8;147.4;93.7;53.7;80769;51369;29400;1825
152;Trekker (LV) tot 40 000 kg;Voertuig 2 jaar oud;2020;96.7;79.9;16.8;125.7;79.9;45.8;69519;44214;25305;1808
153;Trekker (LV) tot 40 000 kg;Voertuig 2 jaar oud;2021;85.7;72.2;13.5;110.8;85.7;38.6;65776;42873;22903;1685
154;Trekker (LV) tot 40 000 kg;Voertuig 2 jaar oud;2022;49.4;42.1;7.3;61.3;49.4;19.2;64661;44357;20303;948
155;Trekker (LV) tot 40 000 kg;Voertuig 2 jaar oud;2023;64.3;53.6;10.7;81.5;64.3;27.9;68894;45333;23562;1183
156;Trekker (LV) tot 40 000 kg;Voertuig 3 jaar oud;2018;88.7;74.7;13.9;119.7;74.7;45.0;75776;47284;28492;1580
157;Trekker (LV) tot 40 000 kg;Voertuig 3 jaar oud;2019;128.0;107.8;20.1;168.5;107.8;60.7;80418;51468;28951;2095
158;Trekker (LV) tot 40 000 kg;Voertuig 3 jaar oud;2020;118.3;99.1;19.2;151.6;99.1;52.4;79513;52001;27511;1906
159;Trekker (LV) tot 40 000 kg;Voertuig 3 jaar oud;2021;103.2;85.0;18.2;137.0;103.2;52.0;69374;43047;26328;1975
160;Trekker (LV) tot 40 000 kg;Voertuig 3 jaar oud;2022;88.4;74.0;14.4;111.9;88.4;37.9;62933;41598;21334;1778
161;Trekker (LV) tot 40 000 kg;Voertuig 3 jaar oud;2023;48.0;40.7;7.3;59.8;48.0;19.1;60509;41207;19302;988
162;Trekker (LV) tot 40 000 kg;Voertuig 4 jaar oud;2018;82.0;70.6;11.4;107.3;70.6;36.7;77512;51003;26509;1384
163;Trekker (LV) tot 40 000 kg;Voertuig 4 jaar oud;2019;90.5;75.5;15.1;120.9;75.5;45.5;69298;43242;26056;1745
164;Trekker (LV) tot 40 000 kg;Voertuig 4 jaar oud;2020;128.5;107.1;21.4;165.5;107.1;58.4;75543;48876;26667;2191
165;Trekker (LV) tot 40 000 kg;Voertuig 4 jaar oud;2021;125.1;104.5;20.7;163.5;125.1;59.1;77310;49386;27924;2115
166;Trekker (LV) tot 40 000 kg;Voertuig 4 jaar oud;2022;114.8;96.6;18.3;144.6;114.8;48.0;66561;44462;22098;2172
167;Trekker (LV) tot 40 000 kg;Voertuig 4 jaar oud;2023;88.1;74.4;13.7;110.2;88.1;35.8;59470;40142;19328;1853
168;Trekker (LV) tot 40 000 kg;Voertuig 5 jaar oud;2018;83.5;70.0;13.5;113.5;70.0;43.5;70233;43334;26899;1616
169;Trekker (LV) tot 40 000 kg;Voertuig 5 jaar oud;2019;81.5;70.4;11.1;104.0;70.4;33.6;70399;47660;22739;1477
170;Trekker (LV) tot 40 000 kg;Voertuig 5 jaar oud;2020;92.5;78.3;14.2;117.0;78.3;38.7;67003;44825;22178;1746
171;Trekker (LV) tot 40 000 kg;Voertuig 5 jaar oud;2021;129.8;109.6;20.2;167.3;129.8;57.7;73715;48291;25424;2269
172;Trekker (LV) tot 40 000 kg;Voertuig 5 jaar oud;2022;130.0;110.5;19.5;161.8;130.0;51.3;72987;49850;23137;2217
173;Trekker (LV) tot 40 000 kg;Voertuig 5 jaar oud;2023;109.0;91.2;17.8;137.6;109.0;46.4;62758;41609;21150;2193
174;Trekker (LV) tot 40 000 kg;Voertuig 6 jaar oud;2018;53.8;46.4;7.4;70.4;46.4;24.0;58271;38401;19870;1208
175;Trekker (LV) tot 40 000 kg;Voertuig 6 jaar oud;2019;73.2;63.2;10.0;93.4;63.2;30.3;63907;43201;20706;1462
176;Trekker (LV) tot 40 000 kg;Voertuig 6 jaar oud;2020;71.5;61.4;10.0;88.8;61.4;27.3;62885;43517;19369;1412
177;Trekker (LV) tot 40 000 kg;Voertuig 6 jaar oud;2021;90.4;77.1;13.3;115.0;90.4;37.9;65440;43858;21582;1758
178;Trekker (LV) tot 40 000 kg;Voertuig 6 jaar oud;2022;122.9;105.3;17.6;151.5;122.9;46.2;67305;46777;20528;2251
179;Trekker (LV) tot 40 000 kg;Voertuig 6 jaar oud;2023;113.3;97.3;15.9;138.9;113.3;41.5;64258;45045;19213;2161
180;Trekker (LV) tot 40 000 kg;Voertuig 7 jaar oud;2018;44.5;38.7;5.8;57.3;38.7;18.6;47367;32020;15347;1210
181;Trekker (LV) tot 40 000 kg;Voertuig 7 jaar oud;2019;46.1;40.8;5.3;56.8;40.8;16.0;49999;35949;14050;1136
182;Trekker (LV) tot 40 000 kg;Voertuig 7 jaar oud;2020;60.2;51.9;8.3;74.6;51.9;22.8;56714;39416;17298;1316
183;Trekker (LV) tot 40 000 kg;Voertuig 7 jaar oud;2021;63.7;56.0;7.7;78.1;63.7;22.1;59206;42468;16737;1319
184;Trekker (LV) tot 40 000 kg;Voertuig 7 jaar oud;2022;84.0;72.7;11.3;102.3;84.0;29.6;59242;42121;17121;1727
185;Trekker (LV) tot 40 000 kg;Voertuig 7 jaar oud;2023;100.5;85.1;15.4;125.2;100.5;40.1;58216;39587;18629;2150
186;Trekker (LV) tot 40 000 kg;Voertuig 8 jaar oud;2018;23.7;21.1;2.6;29.4;21.1;8.3;38373;27513;10859;767
187;Trekker (LV) tot 40 000 kg;Voertuig 8 jaar oud;2019;36.6;32.7;3.9;44.5;32.7;11.8;39746;29213;10533;1119
